要許可台帳一覧表,,,,,
"指令番号 
業種","受付日 
決裁日",有効期間,"営業者住所 
申請者名","営業所所在地 
屋号",許可条件
志保 34 78 飲食店営業 (一般食堂·レ ストラン等),令和04/06/27 令和04/06/29,令和04/06/29 令和10/07/31,,"曽於市末吉町岩﨑6224 
NACS 
090-8765-6066",
,,,紙屋 大次郎,,
志保 34 58 飲食店営業 (一般食堂·レ ストラン等),令和04/05/12 令和04/05/13,令和04/05/13 令和10/07/31,"鹿児島県曽於郡大崎町永吉8371 
株式会社うなぎ太郎 
代表取締役 日髙 謙太","曽於郡大崎町永吉8371 
うなぎ太郎 
0994-63-3515",
志保 34 55 飲食店営業 (仕出し屋· 弁当屋),令和04/05/10 令和04/05/11,令和04/05/11 令和10/07/31,"鹿児島県志布志市志布志町志布志2-16-17 
株式会社見守り配食サービス 
代表取締役 廣川 勉","志布志市志布志町志布志2-1 6-17 
株式会社見守り配食サービス
099-472-5987",
志保 34 62 飲食店営業 (その他),令和04/05/17 令和04/05/18,令和04/05/18 令和09/07/31,,"曽於市財部町下財部1909- 1 
K.sカラオケオフィス",簡易な調理に限る。
,,,須賀 和文,,
志保 34 73 菓子製造業,令和04/06/13 令和04/06/15,令和04/06/15 令和10/07/31,,"曽於市末吉町深川2144-1
FUJINO工房 0986-76-3203",
,,,藤野 裕子,,
志保 34 69 菓子製造業,令和04/06/01 令和04/06/08,令和04/06/08 令和10/07/31,"鹿児島県曽於市末吉町諏訪方8397-1 
株式会社Hilo House 
代表取締役 宮原 知博","曽於市末吉町二之方2100 
bakery at last 
0986-36-8470",
志保 34 79 食肉処理業,令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,"鹿児島県曽於市大隅町岩川6569-2 
有限会社ケイ·ショップ味彩館 
代表取締役 中迫 健一","曽於市大隅町岩川6569-2 
有限会社ケイ·ショップ味彩館 
099-482-0048",
志保 34 74 そうざい製造 業,令和04/06/13 令和04/06/15,令和04/06/15 令和10/07/31,,"曽於市末吉町深川2144-1 
FUJINO工房 
0986-76-3203",
,,,藤野 裕子,,
志保 34 56 そうざい製造 業,令和04/05/11 令和04/05/11,令和04/05/11 令和09/07/31,"鹿児島県志布志市志布志町安楽3092-5
株式会社志布志フーズ 
代表取締役 西村 博文","志布志市志布志町安楽3092 -5 
株式会社志布志フーズ 
099-478-8400",アルファ米等の製造に限る。
志保 34 57 そうざい製造 業,令和04/05/11 令和04/05/13,令和04/05/13 令和10/07/31,"東京都新宿区神楽坂4-3近江屋ビル1階
株式会社神楽坂五十番 
代表取締役 中島 竜作","曽於郡大崎町菱田2848-1 
神楽坂五十番 鹿児島工場 
080-4653-8351",
志保 34 59 水産製品製造業,令和04/05/12 令和04/05/13,令和04/05/13 令和10/07/31,"鹿児島県曽於郡大崎町永吉8371 
株式会社うなぎ太郎 
代表取締役 日髙 謙太","曽於郡大崎町永吉8371 
うなぎ太郎 
0994-63-3515",うなぎの蒲焼等に限る。
鹿屋保34 121 飲食店営業 (一般食堂·レ ストラン等),令和04/05/06 令和04/05/09,令和04/05/09 令和10/07/31,,"肝属郡錦江町城元658 大村ビル
ラウンジ宴 
050-8884-0832",
,,,小脇 あけみ,,
鹿屋保34 136 飲食店営業 (一般食堂·レ ストラン等),令和04/06/07 令和04/06/09,令和04/06/09 令和10/07/31,"愛知県西尾市米津町落合2-1 (3F) 
合同会社Zimo 
代表社員 李 金峰","鹿屋市札元2-3683-1 
台湾料理 金都 
0994-45-5554",
鹿屋保34 145 飲食店営業 (その他),令和04/06/24 令和04/06/28,令和04/06/28 令和10/07/31,,"鹿屋市串良町有里8591-306 
梅とハーブの森 
0994-62-3295",
,,,西田 香里,,
鹿屋保34 118 飲食店営業 (その他),令和04/04/26 令和04/05/02,令和04/05/02 令和10/07/31,,"鹿屋市新川町819 
JAN CACAO",
,,,白坂 純一,,
鹿屋保34 126 飲食店営業 (その他),令和04/05/18 令和04/05/19,令和04/05/19 令和10/07/31,,"鹿屋市朝日町1-5 
スナック古都 
090-3730-2969",
,,,愛甲 洋一,,
鹿屋保34 144 飲食店営業 (その他),令和04/06/20 令和04/06/21,令和04/06/21 令和10/07/31,,"鹿屋市朝日町4835青木屋ビル201 
Bar GooDIE's 
080-1781-4117",
,,,藤田 豪,,
鹿屋保34 133 飲食店営業 (その他),令和04/06/01 令和04/06/03,令和04/06/03 令和10/07/31,,"鹿屋市本町5-12若松電気ビル201 
Link",
,,,泰 一世,,
鹿屋保34 146 飲食店営業 (その他),令和04/06/28 令和04/06/28,令和04/06/28 令和10/07/31,,"鹿屋市本町8-37 ロイヤルビルⅡ 202号 
蓮華 
080-4698-0268",
,,,小谷 直美,,
鹿屋保34 149 飲食店営業 (その他),令和04/06/29 令和04/06/30,令和04/06/30 令和10/07/31,"鹿児島県鹿屋市大手町9-1マルイビル101号 
合同会社鹿児島リテイル 
代表社員 下田 隆文","鹿屋市白崎町6499-1 
ローソン鹿屋白崎町店 
0994-43-9680",
鹿屋保34 128 飲食店営業 (その他),令和04/05/19 令和04/05/20,令和04/05/20 令和10/07/31,"鹿児島県肝属郡錦江町田代麓5138-759 
原一林業株式会社 
代表取締役 原口 良一","鹿屋市本町4-13 2F 203号 
スナックBar あいちゃんち",
鹿屋保34 124 飲食店営業 (その他),令和04/05/09 令和04/05/09,令和04/05/09 令和09/07/31,"鹿児島県鹿屋市浜田町203 
合同会社JG 
代表社員 鶴田 志伸","鹿屋市浜田町203 
カフェ MOCA 
0994-47-3450",
鹿屋保34 134 菓子製造業,令和04/06/02 令和04/06/06,令和04/06/06 令和10/07/31,,"鹿屋市吾平町上名3927-1 
K&M (米粉とモリンガ)",
,,,木場迫 由美子,,
鹿屋保34 143 魚介類販売業,令和04/06/14 令和04/06/17,令和04/06/17 令和10/07/31,"鹿児島県鹿屋市串良町有里3287-1 
有限会社 有里養魚場 
代表取締役 宮脇 均","鹿屋市串良町有里3287-1 
かわぜん 
0994-63-2762",
鹿屋保34 131 そうざい製造 業,令和04/05/31 令和04/06/02,令和04/06/02 令和10/07/31,"鹿児島県鹿屋市串良町岡崎3426 
有限会社 一心館 
代表取締役 出水澤 美鈴","鹿屋市串良町岡崎3426 
有限会社 一心館 美味処 鈴家
0994-63-2230",他の業種の製造 (調理) を同時に行わないこ と。
鹿屋保34 132 漬物製造業,令和04/06/01 令和04/06/03,令和04/06/03 令和10/07/31,,"垂水市新城3452 
新城地区公民館 
0994-35-3619",
,,,市野 美里子,,
鹿屋保34 130 密封包装食品 製造業,令和04/05/31 令和04/06/02,令和04/06/02 令和10/07/31,"鹿児島県鹿屋市串良町岡崎3426 
有限会社 一心館 
代表取締役 出水澤 美鈴","鹿屋市串良町岡崎3426 
有限会社 一心館 美味処 鈴家
0994-63-2230",他の業種の製造 (調理) を同時に行わないこ と。
鹿屋保34 135 密封包装食品 製造業,令和04/06/08 令和04/06/09,令和04/06/09 令和10/07/31,"鹿児島県鹿屋市吾平町上名6162-2 
社会福祉法人 岳風会 
理事長 松下 隆治","鹿屋市吾平町上名6162-2 
陵北荘 
0994-58-5051",
鹿屋保34 148 密封包装食品 製造業,令和04/06/28 令和04/06/30,令和04/06/30 令和10/07/31,"鹿児島県鹿屋市串良町上小原1972-1 
有限会社えこふぁーむ 
代表取締役 中村 えい子","鹿屋市串良町上小原1972-1 
レストラン 森小休 
0994-45-5611",
西保 34 48 飲食店営業 (一般食堂·レ ストラン等),令和04/06/23 令和04/06/24,令和04/06/24 令和10/07/31,,"熊毛郡中種子町野間5102 
らーめん濱商 中種子店",
,,,田邊 典子,,
西保 34 43 飲食店営業 (一般食堂·レストラン等),令和04/05/26 令和04/05/27,令和04/05/27 令和10/07/31,,"熊毛郡中種子町野間5298-35 
カフェダイニング SAKURA 
0997-27-1511",
,,,富岡 聡,,
西保 34 49 飲食店営業 (一般食堂·レ ストラン等),令和04/06/23 令和04/06/24,令和04/06/24 令和10/07/31,"東京都国分寺市本町4-12-22ハイネス国分寺1階 
株式会社エイゼット 
代表取締役 外薗 輝美","熊毛郡中種子町野間16900 
横浜家系ラーメン翔 
0997-27-1691",
西保 34 31 飲食店営業 (仕出し屋· 弁当屋),令和04/04/28 令和04/05/02,令和04/05/02 令和10/07/31,,"熊毛郡中種子町納官5460 
ぺちゃこのパン工房 
090-9090-9333",
,,,朝田 厚司,,
西保 34 46 飲食店営業 (仕出し屋· 弁当屋),令和04/06/22 令和04/06/24,令和04/06/24 令和10/07/31,,"西之表市安納299-4 
安納農産加工施設",他業種の製造を 同時に行わない こと
,,,中園 由美子,,
西保 34 50 飲食店営業 (仕出し屋· 弁当屋),令和04/06/29 令和04/06/30,令和04/06/30 令和09/07/31,,"西之表市住吉1603 
きっちん だんだん 
0997-22-2824",
,,,丸山 和久,,
西保 34 34 飲食店営業 (仕出し屋· 弁当屋),令和04/05/13 令和04/05/17,令和04/05/17 令和10/07/31,"鹿児島県鹿児島市真砂本町3- 67 
株式会社南九州ファミリーマート 
代表取締役社長 飯塚 隆","熊毛郡中種子町野間16857 -7 
ファミリーマート中種子野間店
0997-24-2050",
西保 34 39 飲食店営業 (旅館),令和04/05/23 令和04/05/24,令和04/05/24 令和10/07/31,,"熊毛郡南種子町島間4374- 1 
小山ん家 (Oyamanchi) 
080-3372-4374",
,,,廣濱 幸奈,,
西保 34 33 飲食店営業 (その他),令和04/05/10 令和04/05/12,令和04/05/12 令和10/07/31,,"熊毛郡中種子町野間5187-3 
居酒屋 さざんか 
090-8762-0315",
,,,和島 みどり,,
西保 34 32 菓子製造業,令和04/04/28 令和04/05/02,令和04/05/02 令和10/07/31,,"熊毛郡中種子町納官5460 
ぺちゃこのパン工房 
090-9090-9333",
,,,朝田 厚司,,
西保 34 37 菓子製造業,令和04/05/17 令和04/05/18,令和04/05/18 令和10/07/31,,"熊毛郡中種子町野間5137- 13
鎌田 律子",
,,,鎌田 律子,,
西保 34 41 菓子製造業,令和04/05/26 令和04/05/27,令和04/05/27 令和09/07/31,,"熊毛郡中種子町野間5172- 11 
のぐっちゃんの店 
090-7293-1713",
,,,野口 まゆみ,,
西保 34 47 菓子製造業,令和04/06/22 令和04/06/24,令和04/06/24 令和10/07/31,,"西之表市安納299-4 
安納農産加工施設",他業種の製造を 同時に行わない こと
,,,中園 由美子,,
西保 34 35 菓子製造業,令和04/05/13 令和04/05/17,令和04/05/17 令和10/07/31,"鹿児島県鹿児島市真砂本町3- 67 
株式会社南九州ファミリーマート 
代表取締役社長 飯塚 隆","熊毛郡中種子町野間16857 -7 
ファミリーマート中種子野間店
0997-24-2050",
西保 34 42 そうざい製造 業,令和04/05/26 令和04/05/27,令和04/05/27 令和09/07/31,,"熊毛郡中種子町野間5172- 11 
のぐっちゃんの店 
090-7293-1713",
,,,野口 まゆみ,,
西保 34 38 水産製品製造 業,令和04/05/18 令和04/05/19,令和04/05/19 令和10/07/31,,"西之表市国上2011-6 
国上中央公民館",
,,,荒河 大輔,,
西保 34 45 漬物製造業,令和04/06/14 令和04/06/15,令和04/06/15 令和09/07/31,,"西之表市西之表7442 
美坐 忠一 
0997-23-0535",
,,,美坐 忠一,,
屋保 34 32 飲食店営業 (一般食堂·レストラン等),令和04/05/25 令和04/05/26,令和04/05/26 令和09/07/31,,"熊毛郡屋久島町中間580
オーガニックカフェ me 
080-1255-8875",
,,,堤 萌子,,
屋保 34 36 飲食店営業 (その他),令和04/06/14 令和04/06/16,令和04/06/16 令和10/07/31,"鹿児島県熊毛郡屋久島町宮之浦 94 
株式会社 新月堂 
代表取締役 田淵 誠","熊毛郡屋久島町宮之浦94 
株式会社 新月堂 
0997-42-0131",
屋保 34 30 菓子製造業,令和04/05/13 令和04/05/19,令和04/05/19 令和10/07/31,,"熊毛郡屋久島町安房103-2 
蕗苳 Bake Shop 
080-5865-0465",
,,,小髙 美和,,
屋保 34 31 菓子製造業,令和04/05/20 令和04/05/26,令和04/05/26 令和10/07/31,,"熊毛郡屋久島町安房122-1
め〜ぐる yakushima Bagel 
080-4326-9007",
,,,髙橋 恵美,,
屋保 34 33 菓子製造業,令和04/05/25 令和04/05/26,令和04/05/26 令和09/07/31,,"熊毛郡屋久島町中間580 
オーガニックカフェ me
080-1255-8875",
,,,堤 萌子,,
屋保 34 37 そうざい製造 業,令和04/06/27 令和04/06/29,令和04/06/29 令和10/07/31,,"熊毛郡屋久島町尾之間672- 1 
パン·ド·シュクル 
0997-47-2983",
,,,佐藤 満彦,,
屋保 34 34 みそ又はしょ うゆ製造業,令和04/05/31 令和04/06/01,令和04/06/01 令和10/07/31,,"熊毛郡屋久島町麦生898-2 
西原ヴィレッジ 
050-3551-2347",みその製造に限る
,,,鎌田 慎一郎,,
屋保 34 29 漬物製造業,令和04/04/28 令和04/05/10,令和04/05/10 令和10/07/31,,"熊毛郡屋久島町永田2872 
Yaku Plant",
,,,荒田 伸作,,
名保 34 57 飲食店営業 (一般食堂·レ ストラン等),令和04/06/16 令和04/06/17,令和04/06/17 令和09/07/31,,"奄美市笠利町用131-1 
まごや堂 
0997-63-9105",他の業種と同時に製造を行わないこと
,,,赤間 文子,,
名保 34 58 飲食店営業 (一般食堂·レ ストラン等),令和04/06/16 令和04/06/17,令和04/06/17 令和10/07/31,,"奄美市笠利町和野364-3 
山田珈琲 
090-2590-0900",他の業種と同時に製造を行わないこと
,,,山田 拓郎,,
名保 34 96 飲食店営業 (一般食堂·レ ストラン等),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬伊津部町13-1 
おうちカフェ. ランチ. BAR garden 0997-52-7359",
,,,清正 雅美,,
名保 34 54 飲食店営業 (一般食堂·レ ストラン等),令和04/06/13 令和04/06/15,令和04/06/15 令和10/07/31,,"奄美市名瀬港町3-12柳原ビル1階 
麺屋 AMAMI 
070-8402-9301",
,,,喜元 晃乙,,
名保 34 112 飲食店営業 (一般食堂·レストラン等),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬石橋町4-16 
あまみの魚たち 
090-5008-2680",
,,,神山 宗徳,,
名保 34 43 飲食店営業 (一般食堂·レ ストラン等),令和04/05/23 令和04/05/24,令和04/05/24 令和09/07/31,,"奄美市名瀬末広町12-23 
GONDWANA COFFEE 
090-6891-7793",
,,,前田 克仁,,
名保 34 42 飲食店営業 (一般食堂·レストラン等),令和04/05/18 令和04/05/23,令和04/05/23 令和09/07/31,,"大島郡瀬戸内町瀬相114-1 
たね 
080-1262-7333",
,,,瀬田 留美,,
名保 34 60 飲食店営業 (一般食堂·レ ストラン等),令和04/06/17 令和04/06/22,令和04/06/22 令和09/07/31,,"大島郡瀬戸内町網野子213 
かあちゃん家 春代 
090-5088-9399",
,,,東原 美雲,,
名保 34 127 飲食店営業 (一般食堂·レ ストラン等),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"大島郡龍郷町赤尾木1665- 1 
和·カフェ 花うさぎ 
090-9596-4852",
,,,且 睦惠,,
名保 34 128 飲食店営業 (一般食堂·レ ストラン等),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"大島郡龍郷町中勝819-3 
めんくいラーメン 
0997-62-5543",
,,,山下 美貴代,,
名保 34 109 飲食店営業 (一般食堂·レ ストラン等),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,"鹿児島県奄美市名瀬小浜町34- 3 
有限会社六興産業 
代表取締役 指宿 良治","奄美市名瀬小浜町27-6 
まんてん 
0997-53-3312",
名保 34 39 飲食店営業 (一般食堂·レストラン等),令和04/05/12 令和04/05/16,令和04/05/16 令和10/07/31,"鹿児島県奄美市名瀬港町6-16 
株式会社PISCIS 
代表取締役 前川 晃一","奄美市名瀬港町6-25 
FISH 
0997-58-8607",
名保 34 104 飲食店営業 (仕出し屋· 弁当屋),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬古田町2-53-1 
おしゃべりキッチン 
0997-54-0893",
,,,里 健一郎,,
名保 34 122 飲食店営業 (仕出し屋· 弁当屋),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬末広町13-25永田橋市場
こだま屋 
090-4774-0021",
,,,児玉 葉子,,
名保 34 48 飲食店営業 (仕出し屋· 弁当屋),令和04/05/26 令和04/05/27,令和04/05/27 令和10/07/31,,"奄美市名瀬有屋町32-16 
アレコレキッチン 
080-1784-5965",
,,,政田 美千代,,
名保 34 124 飲食店営業 (仕出し屋· 弁当屋),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"大島郡龍郷町浦451-3 
森山ストアー 
0997-62-2161",
,,,森山 美代子,,
名保 34 125 飲食店営業 (仕出し屋· 弁当屋),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"大島郡龍郷町浦451-4 
コンビニエンスストア 重野薬局
0997-62-2780",
,,,重野 洋子,,
名保 34 126 飲食店営業 (仕出し屋· 弁当屋),令和04/06/20 令和04/06/27,令和04/06/27 令和09/07/31,,"大島郡龍郷町秋名1121-1 
山田商店 
0997-62-4866",
,,,山田 祥浩,,
名保 34 87 飲食店営業 (仕出し屋· 弁当屋),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,"鹿児島県奄美市名瀬仲勝町299 -23サザンハイツB-103 
株式会社 共成 
代表取締役 山田 陽一","大島郡瀬戸内町古仁屋字下間原 16-5 
ファミリーマート 瀬戸内店 
0997-73-7007",
名保 34 68 飲食店営業 (仕出し屋· 弁当屋),令和04/06/28 令和04/06/30,令和04/06/30 令和10/07/31,"福岡県福岡市博多区博多駅南2丁目9-11
イオン九州株式会社 
代表取締役 柴田 祐司","奄美市名瀬小浜町23-1 
イオンプラザ大島店 
0997-53-4100",
名保 34 120 飲食店営業 (仕出し屋· 弁当屋),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,鹿児島県鹿児島市真砂本町3- 67 株式会社南九州ファミリーマート 代表取締役 飯塚 隆,"奄美市名瀬平田町1048-1 
ファミリーマート名瀬平田店 
0997-55-0800",
名保 34 100 飲食店営業 (仕出し屋· 弁当屋),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,"鹿児島県奄美市名瀬金久町12- 9 
有限会社 フレッシュミート 
代表取締役 平田 哲雄","奄美市名瀬金久町12-13 
スーパー フレッシュミート 
0997-52-5556",
名保 34 64 飲食店営業 (仕出し屋· 弁当屋),令和04/06/27 令和04/06/30,令和04/06/30 令和10/07/31,"鹿児島県奄美市名瀬入舟町18- 21 
株式会社グリーンストア 
代表取締役社長 里 綾子","奄美市名瀬入舟町18-21 
グリーンストア入舟店 
0997-53-7087",
名保 34 95 飲食店営業 (旅館),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市笠利町万屋カヨタ1839-1 
ひかるダイバーズ 
0997-63-2424",
,,,山下 久美子,,
名保 34 31 飲食店営業 (その他),令和04/05/09 令和04/05/10,令和04/05/10 令和09/07/31,,"奄美市名瀬安勝町5-24 
おだんごびより 
0997-52-1546",他の業種と同時に製造しないこ と
,,,西 和美,,
名保 34 99 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬久里町9-4 
小料理 宝玉 
0997-52-6175",
,,,田中 茂雄,,
名保 34 50 飲食店営業 (その他),令和04/06/03 令和04/06/08,令和04/06/08 令和10/07/31,,"奄美市名瀬金久町12-4 
ラ ポールビル205号室 
GIRLSBAR RING 
090-6808-1818",
,,,富岡 一八,,
名保 34 129 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬金久町14-2-101
Pub NaNa 
090-2390-3721",
,,,小田原 まるみ,,
名保 34 101 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬金久町16-7 
ゆらい処 しげや 
0997-52-2323",
,,,重田 幸二,,
名保 34 103 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和09/07/31,,"奄美市名瀬金久町3-2 
kichen+cafe わさもん 
0997-69-3688",
,,,三浦 俊浩,,
名保 34 34 飲食店営業 (その他),令和04/05/11 令和04/05/12,令和04/05/12 令和10/07/31,,"奄美市名瀬幸町4-1 
BY THE TREE COFFEE 
080-9038-4635",他の業種と同時に製造しないこ と
,,,杉本 尚音,,
名保 34 107 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬港町5-26 マルサンビル105 
ジェラテリア アンティカ 
0997-69-3345",
,,,前田 龍也,,
名保 34 51 飲食店営業 (その他),令和04/06/07 令和04/06/08,令和04/06/08 令和10/07/31,,"奄美市名瀬小浜町24-1 
ピザ屋 
090-8836-0121",
,,,峯得 信雄,,
名保 34 47 飲食店営業 (その他),令和04/05/26 令和04/05/27,令和04/05/27 令和09/07/31,,"奄美市名瀬石橋町8-1 
たこやき 京",
,,,森山 裕子,,
名保 34 61 飲食店営業 (その他),令和04/06/22 令和04/06/23,令和04/06/23 令和09/07/31,,"奄美市名瀬朝戸913-3 
さっちゃんハウス 
090-7299-0312",
,,,古賀 裕介,,
名保 34 113 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和09/07/31,,"奄美市名瀬朝仁町29-3 
クレープ あんどれ 
090-8414-8866",
,,,久保 俊子,,
名保 34 114 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬長浜町7-8 
海風荘 
0997-52-8904",
,,,松田 哲志,,
名保 34 56 飲食店営業 (その他),令和04/06/16 令和04/06/17,令和04/06/17 令和10/07/31,,"奄美市名瀬長浜町9-23 
50s Bar 
090-4587-2724",
,,,篤 英人,,
名保 34 115 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬入舟町14-1 アメリカンハウスビル3F 
パブ ZIPPER 
0997-53-8393",
,,,安部 健二,,
名保 34 116 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬入舟町14-1アメ リカンハウスビル303号 
ちょっとば一 
0997-54-1997",
,,,林 久仁明,,
名保 34 117 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬入舟町1-6 
小料理 ふく福 
090-1080-8427",
,,,福 枝美子,,
名保 34 118 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬入舟町17-14 一番軒ビル2階
ARENA 
080-3227-1025",
,,,久保 耕平,,
名保 34 119 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬入舟町18-1名瀬レインボービル401号 
Club Blanche",
,,,稲江 嘉,,
名保 34 123 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和09/07/31,,"奄美市名瀬柳町10-10 2F 
いもーれ 
090-8668-3961",
,,,田中 恵美,,
名保 34 35 飲食店営業 (その他),令和04/05/11 令和04/05/12,令和04/05/12 令和10/07/31,,"大島郡宇検村部連674-3 
カフェ. トラン. トロア 
090-8985-2679",
,,,依藤 佳美,,
名保 34 92 飲食店営業 (その他),令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"大島郡瀬戸内町古仁屋大湊3-2 
MI SHORANBAR MARMA 
0997-72-1266",
,,,長 雅之,,
名保 34 59 菓子製造業,令和04/06/16 令和04/06/17,令和04/06/17 令和10/07/31,,"奄美市笠利町和野364-3 
山田珈琲 
090-2590-0900",他の業種と同時に製造を行わないこと
,,,山田 拓郎,,
名保 34 29 菓子製造業,令和04/04/28 令和04/05/06,令和04/05/06 令和10/07/31,,"奄美市住用町摺勝555-13奄美市農林産物加工センター 
奄美伍郷商店 
0997-69-5077",他の業種と同時に製造しないこと
,,,長瀬 悠,,
名保 34 32 菓子製造業,令和04/05/09 令和04/05/10,令和04/05/10 令和09/07/31,,"奄美市名瀬安勝町5-24 
おだんごびより 
0997-52-1546",他の業種と同時に製造しないこと
,,,西 和美,,
名保 34 98 菓子製造業,令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬久里町2-16 
菓子工房 春風堂 
0997-53-3638",
,,,日野山 文浩,,
名保 34 36 菓子製造業,令和04/05/11 令和04/05/12,令和04/05/12 令和10/07/31,,奄美市名瀬幸町4-1 BY THE TREE CO FFEE 080-9038-4635,他の業種と同時 に製造しないこ と
,,,杉本 尚音,,
名保 34 89 菓子製造業,令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"大島郡瀬戸内町古仁屋春日2 
ダッフルコート de ふじえん 
0997-72-0278",
,,,藤井 愛一郎,,
名保 34 53 菓子製造業,令和04/06/09 令和04/06/13,令和04/06/13 令和10/07/31,,"大島郡瀬戸内町古仁屋船津31 (せとうち物産館) 
ツクルとできる。 
0997-72-4595",
,,,永井 芳泉,,
名保 34 55 菓子製造業,令和04/06/14 令和04/06/16,令和04/06/16 令和10/07/31,,"大島郡瀬戸内町古仁屋船津31 (せとうち物産館) 
カニ宇宙 
0997-76-3456",
,,,青木 聡美,,
名保 34 52 菓子製造業,令和04/06/08 令和04/06/09,令和04/06/09 令和10/07/31,,"大島郡大和村思勝4-1 
やまとや 
090-6112-2872",
,,,三田 もも子,,
名保 34 41 菓子製造業,令和04/05/16 令和04/05/18,令和04/05/18 令和09/07/31,,"大島郡龍郷町瀬留771-1 
miroku 
080-2758-6365",
,,,則 真美,,
名保 34 88 菓子製造業,令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,"鹿児島県奄美市名瀬仲勝町299 -23サザンハイツB-103 
株式会社 共成 
代表取締役 山田 陽一","大島郡瀬戸内町古仁屋字下間原16-5 
ファミリーマート 瀬戸内店 
0997-73-7007",
名保 34 69 菓子製造業,令和04/06/28 令和04/06/30,令和04/06/30 令和10/07/31,"福岡県福岡市博多区博多駅南2丁目9-11
イオン九州株式会社 
代表取締役 柴田 祐司","奄美市名瀬小浜町23-1 
イオンプラザ大島店 
0997-53-4100",
名保 34 90 菓子製造業,令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,"鹿児島県大島郡瀬戸内町古仁屋春日3-12 
有限会社 ウエキ 
代表取締役 植木 忠典","大島郡瀬戸内町古仁屋春日3- 12 
パン工房 イマジン 
0997-72-0067",
名保 34 111 菓子製造業,令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,"鹿児島県奄美市名瀬小俣町18- 5 
奄美産業株式会社 
代表取締役 中村 洋仁","奄美市名瀬小俣町18-5 
ヤマア 
0997-52-0149",
名保 34 121 菓子製造業,令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,"鹿児島県鹿児島市真砂本町3- 67 
株式会社南九州ファミリーマート 
代表取締役 飯塚 隆","奄美市名瀬平田町1048-1 
ファミリーマート名瀬平田店 
0997-55-0800",
名保 34 44 菓子製造業,令和04/05/24 令和04/05/26,令和04/05/26 令和10/07/31,"鹿児島県奄美市住用町役勝80 
NPO法人すみようヤムラランド 
理事長 満田 英和","奄美市住用町摺勝555-13奄美市農産物加工センター 
三太郎の里 
0997-69-5077",他の業種と同時に製造を行わないこと
名保 34 67 菓子製造業,令和04/06/27 令和04/06/30,令和04/06/30 令和10/07/31,"鹿児島県奄美市名瀬入舟町18- 21 
株式会社グリーンストア 
代表取締役社長 里 綾子","奄美市名瀬入舟町18-21 
グリーンストア入舟店 
0997-53-7087",
名保 34 66 食肉販売業,令和04/06/27 令和04/06/30,令和04/06/30 令和10/07/31,"鹿児島県奄美市名瀬入舟町18- 21 
株式会社グリーンストア 
代表取締役社長 里 綾子","奄美市名瀬入舟町18-21 
グリーンストア入舟店 
0997-53-7087",
