№,営業所所在地,営業所方書,屋号,営業者名,代表者名,営業所電話,許可番号
106,東京都中野区江原町三丁目１番４号,,手打蕎麦じゆうさん,髙橋  定雄,,03-3951-3397,"4中健衛食第
141号"
,飲食店営業,,※※※※※,※※※※※,R04/05/27,R04/05/27,R11/05/31
107,東京都中野区江古田二丁目９番１１号,,中野区立第七中学校,葉隠勇進株式会社,大隈  太嘉志,03-3389-4171,"3中健衛食第
2036号"
,飲食店営業,,東京都港区芝四丁目１３－３ＰＭＯ田町東１０Ｆ,03-3457-3000,R04/04/07,R04/04/07,R11/04/30
108,東京都中野区丸山一丁目１番１９号,中野区立緑野中学校内,４６２６中野,株式会社ジーエスエフ,岩東  光男,03-3386-5423,"3中健衛食第
2035号"
,飲食店営業,,東京都新宿区西新宿三丁目２０番２号,03-6276-3875,R04/04/07,R04/04/07,R11/04/30
109,東京都中野区丸山二丁目２０番１号,笹生ビル１Ｆ,三宝丼丸  野方店,簔輪  秀道,,3338-1668,"4中健衛食第
118号"
,飲食店営業,,※※※※※,※※※※※,R04/05/20,R04/05/20,R11/05/31
110,東京都中野区野方三丁目６番１７号,,東京都立中野工業高等学校,エコーライフ株式会社,諏訪  以江子,,"4中健衛食第
54号"
,飲食店営業,,神奈川県横浜市栄区笠間二丁目１７番４号,,R04/05/02,R04/05/02,R10/05/31
111,東京都中野区野方三丁目２２番８号,野方ビル  １階,つけ麺  花みずき,有限会社ジェムインターナショナル,佐藤  浩,3388-2946,"4中健衛食第
47号"
,飲食店営業,,東京都中野区野方二丁目４０番２号,03-5380-8310,R04/04/25,R04/04/25,R11/04/30
112,東京都中野区野方五丁目１６番５号,,ダイニング  桜,嘉村  厚子,,,"4中健衛食第
104号"
,飲食店営業,,※※※※※,,R04/05/31,R04/05/31,R10/05/31
113,東京都中野区野方五丁目１６番６号,青木ハイツ  地下１階,焼酎場  ぁ〜  くんちゃん,岡田  邦裕,,03-3310-5023,"4中健衛食第
15号"
,飲食店営業,,※※※※※※※※※※,,R04/04/22,R04/04/22,R10/04/30
114,東京都中野区野方五丁目２３番９号,武田テナント,ガトー,中田  秀雄,,03-3314-3403,"3中健衛食第
2025号"
,飲食店営業,,※※※※※,※※※※※,R04/04/01,R04/04/01,R11/03/31
115,東京都中野区野方五丁目２３番９号,武田テナント,ミスティ,中田  靖子,,03-3314-3403,"3中健衛食第
2027号"
,飲食店営業,,※※※※※,※※※※※,R04/04/01,R04/04/01,R11/03/31
116,東京都中野区野方六丁目１８番１３号,,ほんま門,中村  匡,,03-3223-0254,"4中健衛食第
42号"
,飲食店営業,,※※※※※※※※※※,,R04/04/28,R04/04/28,R10/04/30
117,東京都中野区大和町一丁目６５番５号,奥村ビル  １階,ボカン亭,日野  康恵,,03-3336-0325,"4中健衛食第
2号"
,飲食店営業,,※※※※※※※※※※,,R04/04/19,R04/04/19,R11/04/30
118,東京都中野区若宮一丁目２７番８号,エトワール１階,ナユタベーカリー,山田  広明,,03-5356-9160,"4中健衛食第
39号"
,菓子製造業,,※※※※※※※※※※,,R04/04/22,R04/04/22,R11/04/30
119,東京都中野区若宮三丁目５８番２７号,,フレンドマミー,青栁  智,,3339-4128,"4中健衛食第
94号"
,飲食店営業,,※※※※※,※※※※※,R04/05/25,R04/05/25,R11/05/31
120,東京都中野区白鷺二丁目４７番８号,,エル・ビエント,荻原  公,,3337-1266,"4中健衛食第
86号"
,飲食店営業,,※※※※※,※※※※※,R04/05/12,R04/05/12,R10/05/31
121,東京都中野区鷺宮三丁目７番１号,,ＨＡＴＯＢＡ,伊藤  成男,,,"4中健衛食第
73号"
,飲食店営業,,※※※※※※※※※※,,R04/05/27,R04/05/27,R10/05/31
122,東京都中野区鷺宮三丁目１５番３号,むさしの１Ｆ,株式会社吉吾鷺ノ宮,牧山  修人,,03-5356-8118,"3中健衛食第
2016号"
,飲食店営業,,※※※※※,,R04/04/01,R04/04/01,R11/03/31
123,東京都中野区鷺宮四丁目１番１１号,,満月松田,松田  玲,,3339-1510,"4中健衛食第
78号"
,飲食店営業,,※※※※※,※※※※※,R04/05/01,R04/05/02,R10/04/30
124,東京都中野区鷺宮四丁目２番１９号,小林ビル１Ｆ,備長  鷺ノ宮店,川村  佳央,,3336-7435,"4中健衛食第
23号"
,飲食店営業,,※※※※※※※※※※,,R04/04/14,R04/04/14,R11/04/30
125,東京都中野区鷺宮四丁目３番１９号,,タバスムインド料理＆ハラルフード,株式会社ＭＫコーポレーション,前田  広美,,"4中健衛食第
12号"
,飲食店営業,,東京都港区赤坂二丁目８番９号２Ｆ,03-6426-5580,R04/04/08,R04/04/08,R11/04/30
126,東京都中野区鷺宮四丁目３番２０号,,Ｓｗｅｅｔｓ  ＆  ｃａｆｅ  Ｃａｍｅｌｌｉａ,株式会社ＫＰＣ,馮  鈺  淳,,"4中健衛食第
111号"
,飲食店営業,,東京都中央区八丁堀三丁目１７番１６号,,R04/05/16,R04/05/16,R11/05/31
127,東京都中野区鷺宮四丁目３番２０号,,Ｓｗｅｅｔｓ  ＆  ｃａｆｅ  Ｃａｍｅｌｌｉａ,株式会社ＫＰＣ,馮  鈺  淳,,"4中健衛食第
112号"
,菓子製造業,,東京都中央区八丁堀三丁目１７番１６号,,R04/05/16,R04/05/16,R11/05/31
