https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,n処理終了,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設-住所1,施設-住所2,施設-マンション名,施設名,施設-電話番号1,申請-住所1,申請-住所2,申請-マンション名,申請-電話番号1,申請者1,,申請者2,許可年月日,許可期間開始日,許可期間終了日,確認番号,業種,業態,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神奈川県相模原市,中央区淵野辺５－８－６,,湘和礼殯館淵野辺,042-730-6662  ,神奈川県,平塚市桜ヶ丘１－３５,,0463-34-2771  ,平安レイサービス（株）,（代）,相馬　秀行,R04.01.07,R04.01.07,R11.01.31,03-001-0753,飲食店営業,飲食店（客席を設ける営業）,河野　直子,,143,湘和礼殯館淵野辺,042,042-730-6662,,,,神奈川県相模原市　中央区淵野辺５－８－６,神奈川県相模原市中央区淵野辺５－８－６,,80776,14,14152,淵野辺５,,,2022/01/07,2022/01/07,2029/01/31,平安レイサービス（株）,相馬　秀行,0463-34-2771  ,神奈川県　平塚市桜ヶ丘１－３５,神奈川県平塚市桜が丘１－３５,,81340,神奈川県,平塚市,桜が丘,03-001-0753,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,湘和礼殯館淵野辺042-730-66628077614152,e9c7561d-0c4a-410d-b6c3-58ba83b9f440,平安レイサービス株式会社81340,2f70b7ef-1d8e-4799-b81e-b58810717919,64f504a3-764d-45bf-8875-f4f3cd3bf08e,2022/01/07,湘和礼殯館淵野辺,湘和礼殯館淵野辺,平安レイサービス株式会社
神奈川県相模原市,中央区南橋本１－５－８,,おかず屋,,神奈川県,相模原市緑区町屋４－８－４,,,（株）Ｓｉｅｇｅｒ,（代）,佐々木　和彦,R04.01.14,R04.01.14,R11.01.13,03-001-0764,飲食店営業,弁当屋,佐々木　和彦,,143,おかず屋,042,,,,,神奈川県相模原市　中央区南橋本１－５－８,神奈川県相模原市中央区南橋本１－５－８,,80790,14,14152,南橋本１,,,2022/01/14,2022/01/14,2029/01/13,（株）Ｓｉｅｇｅｒ,佐々木　和彦,,神奈川県　相模原市緑区町屋４－８－４,神奈川県相模原市緑区町屋４－８－４,,80654,神奈川県,相模原市緑区,町屋４,03-001-0764,,飲食店営業, 弁当屋,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,おかず屋8079014152,a700bae7-0a53-4ce3-8ce1-f9b20be5ec85,株式会社Ｓｉｅｇｅｒ80654,61190014-0c1a-42e7-a4c1-bb53015e5129,d8455007-b2d0-4c7d-9f93-5e0e707c7694,2022/01/14,おかず屋,おかず屋,株式会社Ｓｉｅｇｅｒ
神奈川県相模原市,中央区東淵野辺５－２７－８,,一八商店,042-756-7549  ,東京都,新宿区西落合１－２－１７,,03-3952-5801  ,（株）一八商店,（代）,羽場　恭一,R04.01.19,R04.01.19,R11.01.18,03-012-0028,食肉販売業,食肉販売,羽場　恭一,,143,一八商店,042,042-756-7549,,,,神奈川県相模原市　中央区東淵野辺５－２７－８,神奈川県相模原市中央区東淵野辺５－２７－８,,80764,14,14152,東淵野辺５,,,2022/01/19,2022/01/19,2029/01/18,（株）一八商店,羽場　恭一,03-3952-5801  ,東京都　新宿区西落合１－２－１７,東京都新宿区西落合１－２－１７,,73252,東京都,新宿区,西落合１,03-012-0028,,食肉販売業, 食肉販売,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,I,58,583,,一八商店042-756-75498076414152,8bcdebdc-1f90-4fb1-b63e-141bd596e948,株式会社一八商店73252,68fee441-3100-4b92-9d5f-147cbddb6fe8,1fa7dc54-d0d7-4545-98dd-826d948a1e8d,2022/01/19,一八商店,一八商店,株式会社一八商店
神奈川県相模原市,中央区田名２８７２－１,,三菱重工業株式会社　相模クラブ,042-763-1640  ,東京都,千代田区九段北１－３－６,,03-3261-5231  ,（株）セーキ,（代）,矢野　正隆,R04.01.14,R04.01.14,R11.03.01,03-001-0766,飲食店営業,飲食店（客席を設ける営業）,西塚　努,,143,三菱重工業株式会社　相模クラブ,042,042-763-1640,,,,神奈川県相模原市　中央区田名２８７２－１,神奈川県相模原市中央区田名２８７２－１,,80734,14,14152,田名,,,2022/01/14,2022/01/14,2029/03/01,（株）セーキ,矢野　正隆,03-3261-5231  ,東京都　千代田区九段北１－３－６,東京都千代田区九段北１－３－６,,72887,東京都,千代田区,九段北１,03-001-0766,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,三菱重工業株式会社相模クラブ042-763-16408073414152,3a62ee0d-4f5b-448d-9e0f-ae917217d456,株式会社セーキ72887,7a99a3f7-549e-48f7-8dd4-6eb0e2c3047b,4647f1bb-3d8b-423a-a022-f90cb9a1daa3,2022/01/14,三菱重工業株式会社相模クラブ,三菱重工業株式会社相模クラブ,株式会社セーキ
神奈川県相模原市,中央区相模原４－６－１７,,ほっともっと相模原中央店,042-786-6075  ,,,,,益﨑　智史,,,R04.01.27,R04.01.27,R11.01.26,03-001-0798,飲食店営業,弁当屋,益﨑　智史,,143,ほっともっと相模原中央店,042,042-786-6075,,,,神奈川県相模原市　中央区相模原４－６－１７,神奈川県相模原市中央区相模原４－６－１７,,80712,14,14152,相模原４,,,2022/01/27,2022/01/27,2029/01/26,,益﨑　智史 ,,　,,,,,,,03-001-0798,,飲食店営業, 弁当屋,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,ほっともっと相模原中央店042-786-60758071214152,e30e19d6-70b3-4283-88a1-a9131f191cea,,personal,4a084f8a-75f6-4ff0-b9e7-17fa26a1bf8c,2022/01/27,ほっともっと相模原中央店,ほっともっと相模原中央店,
神奈川県相模原市,中央区相模原４－３－１７,相模原ＴＯＢビル,セブン－イレブン相模原４丁目店,              ,神奈川県,相模原市中央区矢部１－７－１５,,042-707-1577  ,（有）壹貮参,（代）,田村　謙二,R04.01.27,R04.01.27,R11.01.26,03-001-0797,飲食店営業,コンビニエンスストア,早川　美穂,,143,セブン－イレブン相模原４丁目店,042,,,,,神奈川県相模原市　中央区相模原４－３－１７,神奈川県相模原市中央区相模原４－３－１７,相模原ＴＯＢビル,80712,14,14152,相模原４,,,2022/01/27,2022/01/27,2029/01/26,（有）壹貮参,田村　謙二,042-707-1577  ,神奈川県　相模原市中央区矢部１－７－１５,神奈川県相模原市中央区矢部１－７－１５,,80803,神奈川県,相模原市中央区,矢部１,03-001-0797,,飲食店営業, コンビニエンスストア,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,セブンイレブン相模原４丁目店8071214152,738f8664-c407-4ee7-b2d2-3c3ec3d94979,有限会社壹貮参80803,ca815e72-3461-4aa3-8120-555439e14edd,203f0084-4f36-4488-a0c5-5a6f56baacd7,2022/01/27,セブンイレブン相模原４丁目店,セブンイレブン相模原４丁目店,有限会社壹貮参
神奈川県相模原市,中央区相模原２－２－５,島ビル２階,蘭美,042-707-1288  ,,,,,梁　受喜,,,R04.01.11,R04.01.11,R10.02.28,03-001-0760,飲食店営業,接待飲食等営業,村山　未英,,143,蘭美,042,042-707-1288,,,,神奈川県相模原市　中央区相模原２－２－５,神奈川県相模原市中央区相模原２－２－５,島ビル２階,80710,14,14152,相模原２,,,2022/01/11,2022/01/11,2028/02/28,,梁　受喜 ,,　,,,,,,,03-001-0760,,飲食店営業, 接待飲食等営業,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,蘭美042-707-12888071014152,2e25aa25-1d23-470f-8976-31e51a9d5c89,,personal,e9bd90f9-afb1-4d72-a5fc-0999f69807c0,2022/01/11,蘭美,蘭美,
神奈川県相模原市,中央区相模原２－１－１２,,ローソン相模原二丁目店,042-750-1332  ,,,,,山室　守弘,,,R04.01.11,R04.01.11,R10.02.11,03-001-0758,飲食店営業,コンビニエンスストア,竹内　美香,,143,ローソン相模原二丁目店,042,042-750-1332,,,,神奈川県相模原市　中央区相模原２－１－１２,神奈川県相模原市中央区相模原２－１－１２,,80710,14,14152,相模原２,,,2022/01/11,2022/01/11,2028/02/11,,山室　守弘 ,,　,,,,,,,03-001-0758,,飲食店営業, コンビニエンスストア,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,ロソン相模原二丁目店042-750-13328071014152,00143_e5e19a8b-b4c5-4d55-a3e9-4b48493d6e65,,personal,2340f691-6878-4e74-bd89-2d95c91b9bc4,2022/01/11,ローソン相模原二丁目店,ロソン相模原二丁目店,
神奈川県相模原市,中央区千代田５－９－１０,グランシャリオ深瀬１Ｆ,牛兵衛,042-712-6577  ,,,,,赤坂　和成,,,R04.01.24,R04.01.24,R11.02.18,03-001-0786,飲食店営業,飲食店（客席を設ける営業）,赤坂　和成,,143,牛兵衛,042,042-712-6577,,,,神奈川県相模原市　中央区千代田５－９－１０,神奈川県相模原市中央区千代田５－９－１０,グランシャリオ深瀬１Ｆ,80749,14,14152,千代田５,,,2022/01/24,2022/01/24,2029/02/18,,赤坂　和成 ,,　,,,,,,,03-001-0786,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,牛兵衛042-712-65778074914152,a91ca3c8-3506-4043-82b4-6f949e305e34,,personal,ecece04c-72bb-4565-8b6d-19cbce9a4d47,2022/01/24,牛兵衛,牛兵衛,
神奈川県相模原市,中央区清新８－２－７,,社会福祉法人　相模福祉村　照手,042-754-6803  ,神奈川県,相模原市中央区田名６７６９,,042-761-7788  ,社会福祉法人相模福祉村,理事長,赤間　源太郎,R04.01.21,R04.01.21,R11.02.25,03-032-0020,そうざい製造業,そうざい,山本　裕美,,143,社会福祉法人　相模福祉村　照手,042,042-754-6803,,,,神奈川県相模原市　中央区清新８－２－７,神奈川県相模原市中央区清新８－２－７,,80730,14,14152,清新８,,,2022/01/21,2022/01/21,2029/02/25,社会福祉法人相模福祉村,赤間　源太郎,042-761-7788  ,神奈川県　相模原市中央区田名６７６９,神奈川県相模原市中央区田名６７６９,,80734,神奈川県,相模原市中央区,田名,03-032-0020,,そうざい製造業, そうざい,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,E,9,,,社会福祉法人相模福祉村照手042-754-68038073014152,167ec3c8-f357-458d-a503-93e853affce8,社会福祉法人相模福祉村80734,99fd7be3-72ac-4265-9fcb-e01fce1e184f,545240fb-897b-4130-bc26-dc9b2e5163b7,2022/01/21,社会福祉法人相模福祉村　照手,社会福祉法人相模福祉村照手,社会福祉法人相模福祉村
神奈川県相模原市,中央区清新５－２４－１４,,ＳＨＲＥＥ　ＩＮＤＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＡＮＤ　ＡＳＩＡＮ　ＢＡＲ,042-774-8588  ,東京都,墨田区横川３－１－８－４０２,八峰ビル,,ＳＡＦＡＬ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ（株）,（代）,アチャリャ・ジョティ,R04.01.14,R04.01.14,R10.01.13,03-001-0765,飲食店営業,飲食店（客席を設ける営業）,アチャリャ　ジョティ,,143,ＳＨＲＥＥ　ＩＮＤＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＡＮＤ　ＡＳＩＡＮ　ＢＡＲ,042,042-774-8588,,,,神奈川県相模原市　中央区清新５－２４－１４,神奈川県相模原市中央区清新５－２４－１４,,80727,14,14152,清新５,,,2022/01/14,2022/01/14,2028/01/13,ＳＡＦＡＬ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ（株）,アチャリャ・ジョティ,,東京都　墨田区横川３－１－８－４０２,東京都墨田区横川３－１－８－４０２,八峰ビル,73591,東京都,墨田区,横川３,03-001-0765,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,ＳＨＲＥＥＩＮＤＩＡＮＲＥＳＴＡＵＲＡＮＴＡＮＤＡＳＩＡＮＢＡＲ042-774-85888072714152,54612e4c-761c-46a7-bf11-b7536f4379c6,ＳＡＦＡＬ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ株式会社73591,5cb57457-c678-4129-9cd8-b014ac293413,f5520fb5-853d-4501-8508-62e4086a6110,2022/01/14,ＳＨＲＥＥ　ＩＮＤＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＡＮＤ　ＡＳＩＡＮ　ＢＡＲ,ＳＨＲＥＥＩＮＤＩＡＮＲＥＳＴＡＵＲＡＮＴＡＮＤＡＳＩＡＮＢＡＲ,ＳＡＦＡＬ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ株式会社
神奈川県相模原市,中央区清新５－１１－２４,,ライフデリ相模原,042-703-1377  ,,,,,高見澤　怜,,,R04.01.25,R04.01.25,R10.01.24,03-001-0787,飲食店営業,仕出し屋,高見澤　怜,,143,ライフデリ相模原,042,042-703-1377,,,,神奈川県相模原市　中央区清新５－１１－２４,神奈川県相模原市中央区清新５－１１－２４,,80727,14,14152,清新５,,,2022/01/25,2022/01/25,2028/01/24,,高見澤　怜 ,,　,,,,,,,03-001-0787,,飲食店営業, 仕出し屋,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,ライフデリ相模原042-703-13778072714152,1d62068e-d86a-45b5-83c9-4b8867f082f9,,personal,27ce8cc5-674c-49b5-87a6-c4f7c2252770,2022/01/25,ライフデリ相模原,ライフデリ相模原,
神奈川県相模原市,中央区上溝７－１６－９,,ちんや,042-762-6673  ,,,,,北川　ヤチヨ,,,R04.01.21,R04.01.21,R10.02.15,03-001-0779,飲食店営業,飲食店（客席を設ける営業）,北川　ヤチヨ,,143,ちんや,042,042-762-6673,,,,神奈川県相模原市　中央区上溝７－１６－９,神奈川県相模原市中央区上溝７－１６－９,,80695,14,14152,上溝７,,,2022/01/21,2022/01/21,2028/02/15,,北川　ヤチヨ ,,　,,,,,,,03-001-0779,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,ちんや042-762-66738069514152,ba37fb17-627f-424d-9204-ca8297792f76,,personal,e072327b-1836-4c24-9b4b-14732651cd4a,2022/01/21,ちんや,ちんや,
神奈川県相模原市,中央区上溝５－３－１６,フルール上溝１０２,呑み処　さくら,              ,,,,,大内　ひろ子,,,R04.01.21,R04.01.21,R10.01.20,03-001-0783,飲食店営業,飲食店（客席を設ける営業）,大内　ひろ子,,143,呑み処　さくら,042,,,,,神奈川県相模原市　中央区上溝５－３－１６,神奈川県相模原市中央区上溝５－３－１６,フルール上溝１０２,80693,14,14152,上溝５,,,2022/01/21,2022/01/21,2028/01/20,,大内　ひろ子 ,,　,,,,,,,03-001-0783,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,呑み処さくら8069314152,dc192b95-6be9-4276-bd42-94b5c283acc7,,personal,676fa37e-b2c8-4225-8a3e-2d275bd1d22e,2022/01/21,呑み処　さくら,呑み処さくら,
神奈川県相模原市,中央区小山３－３７－１,ホームセンターコーナン　相模原小山店１Ｆ,文左亭　相模原小山店,042-700-9616  ,東京都,葛飾区堀切５－４２－１,,03-3601-2231  ,カナディアングループ（株）,（代）,山崎　雄司,R04.01.21,R04.01.21,R10.02.25,03-001-0781,飲食店営業,飲食店（客席を設ける営業）,住井　浩子,,143,文左亭　相模原小山店,042,042-700-9616,,,,神奈川県相模原市　中央区小山３－３７－１,神奈川県相模原市中央区小山３－３７－１,ホームセンターコーナン　相模原小山店１Ｆ,80684,14,14152,小山３,,,2022/01/21,2022/01/21,2028/02/25,カナディアングループ（株）,山崎　雄司,03-3601-2231  ,東京都　葛飾区堀切５－４２－１,東京都葛飾区堀切５－４２－１,,75767,東京都,葛飾区,堀切５,03-001-0781,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,文左亭相模原小山店042-700-96168068414152,4cf1de38-7487-4482-a86d-7e091a74fdb4,カナディアングループ株式会社75767,3a80f035-0d4f-48fd-ab76-79c284292674,92a7f3e1-979a-47f3-883a-3826fecaae9c,2022/01/21,文左亭　相模原小山店,文左亭相模原小山店,カナディアングループ株式会社
神奈川県相模原市,中央区横山台２－１０－３,,エム・エム・シー,,,,,,山本　好宏,,,R04.01.28,R04.01.28,R11.01.27,03-003-0072,菓子製造業,菓子,内田　雅巳,,143,エム・エム・シー,042,,,,,神奈川県相模原市　中央区横山台２－１０－３,神奈川県相模原市中央区横山台２－１０－３,,80823,14,14152,横山台２,,,2022/01/28,2022/01/28,2029/01/27,,山本　好宏 ,,　,,,,,,,03-003-0072,,菓子製造業, 菓子,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,E,9,,,エムエムシ8082314152,defe6792-516d-49c7-8ed7-d948db7aa942,,personal,67ce4e2c-b870-4333-8773-94da1077224b,2022/01/28,エム・エム・シー,エムエムシ,
神奈川県相模原市,中央区すすきの町２６－６,,こめくまカフェ,042-851-3916  ,,,,,村田　麻琴,,,R04.01.11,R04.01.11,R10.01.10,03-001-0759,飲食店営業,飲食店（客席を設ける営業）,村田　麻琴,,143,こめくまカフェ,042,042-851-3916,,,,神奈川県相模原市　中央区すすきの町２６－６,神奈川県相模原市中央区すすきの町２６－６,,80722,14,14152,すすきの町,,,2022/01/11,2022/01/11,2028/01/10,,村田　麻琴 ,,　,,,,,,,03-001-0759,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,こめくまカフェ042-851-39168072214152,d879e94a-f82e-40b6-8cec-b68cbdad28d3,,personal,9af8ae81-5554-435a-b989-a515162cb2e4,2022/01/11,こめくまカフェ,こめくまカフェ,
神奈川県相模原市,南区南台２－１－２８,,セブン－イレブン相模原南台２丁目店,042-766-2189  ,,,,,川越　隆,,,R04.01.26,R04.01.26,R10.02.11,03-001-0792,飲食店営業,コンビニエンスストア,川越　隆,,143,セブン－イレブン相模原南台２丁目店,042,042-766-2189,,,,神奈川県相模原市　南区南台２－１－２８,神奈川県相模原市南区南台２－１－２８,,80941,14,14153,南台２,,,2022/01/26,2022/01/26,2028/02/11,,川越　隆 ,,　,,,,,,,03-001-0792,,飲食店営業, コンビニエンスストア,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,セブンイレブン相模原南台２丁目店042-766-21898094114153,00143_7159451e-af36-466e-8a16-5778093e5b48,,personal,33e5dee6-a324-4e5e-b75d-2d09f4b26f91,2022/01/26,セブンイレブン相模原南台２丁目店,セブンイレブン相模原南台２丁目店,
神奈川県相模原市,南区東林間５－４－９,希和マノアール１Ｆ,ラ　パッキア,042-765-5511  ,神奈川県,厚木市妻田西１－１４－４,,046-225-1488  ,（株）Ｐｉａｚｚａ　ｄｅｌｌａ　ｖｉｔａ,（代）,谷村　和紀,R04.01.31,R04.01.31,R10.02.07,03-001-0803,飲食店営業,飲食店（客席を設ける営業）,谷村　和紀,,143,ラ　パッキア,042,042-765-5511,,,,神奈川県相模原市　南区東林間５－４－９,神奈川県相模原市南区東林間５－４－９,希和マノアール１Ｆ,80926,14,14153,東林間５,,,2022/01/31,2022/01/31,2028/02/07,（株）Ｐｉａｚｚａ　ｄｅｌｌａ　ｖｉｔａ,谷村　和紀,046-225-1488  ,神奈川県　厚木市妻田西１－１４－４,神奈川県厚木市妻田西１－１４－４,,82405,神奈川県,厚木市,妻田西１,03-001-0803,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,ラパッキア042-765-55118092614153,31e231f7-a5ca-43d1-9b20-b477085691a4,株式会社Ｐｉａｚｚａ　ｄｅｌｌａ　ｖｉｔａ82405,d64fe72b-5b6f-4d8b-83ac-dcb9504b8226,59f57c48-b050-46a4-8201-0187c460fd21,2022/01/31,ラ　パッキア,ラパッキア,株式会社Ｐｉａｚｚａ　ｄｅｌｌａ　ｖｉｔａ
神奈川県相模原市,南区大野台７－７－１,Ｂ号,ｋｏｔｏｈｉｍｅ,              ,,,,,梅津　ひとみ,,,R04.01.26,R04.01.26,R11.02.25,03-001-0793,飲食店営業,飲食店（客席を設ける営業）,梅津　ひとみ,,143,ｋｏｔｏｈｉｍｅ,042,,,,,神奈川県相模原市　南区大野台７－７－１,神奈川県相模原市南区大野台７－７－１,Ｂ号,80853,14,14153,大野台７,,,2022/01/26,2022/01/26,2029/02/25,,梅津　ひとみ ,,　,,,,,,,03-001-0793,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,ｋｏｔｏｈｉｍｅ8085314153,6350d0ca-44b4-41eb-a3d0-c813798d1666,,personal,5815bfaf-3587-40a9-915d-f6048de76330,2022/01/26,ｋｏｔｏｈｉｍｅ,ｋｏｔｏｈｉｍｅ,
神奈川県相模原市,南区相模大野８－３－３,センチュリーＫＩビル１０１－Ｂ,鳥清,042-744-6007  ,,,,,清都　文子,,,R04.01.18,R04.01.18,R10.03.14,03-001-0771,飲食店営業,飲食店（客席を設ける営業）,清都　文子,,143,鳥清,042,042-744-6007,,,,神奈川県相模原市　南区相模大野８－３－３,神奈川県相模原市南区相模大野８－３－３,センチュリーＫＩビル１０１－Ｂ,80890,14,14153,相模大野８,,,2022/01/18,2022/01/18,2028/03/14,,清都　文子 ,,　,,,,,,,03-001-0771,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,鳥清042-744-60078089014153,fed18615-2ff0-48ae-9902-0fcf88bf2771,,personal,d4d7ca10-f099-4995-b760-34533f9acb31,2022/01/18,鳥清,鳥清,
神奈川県相模原市,南区相模大野８－２－６,,ファミリーマート相模大野南口店,042-701-5201  ,,,,,新野　健太,,,R04.01.13,R04.01.13,R11.01.12,03-001-0773,飲食店営業,コンビニエンスストア,,,143,ファミリーマート相模大野南口店,042,042-701-5201,,,,神奈川県相模原市　南区相模大野８－２－６,神奈川県相模原市南区相模大野８－２－６,,80890,14,14153,相模大野８,,,2022/01/13,2022/01/13,2029/01/12,,新野　健太 ,,　,,,,,,,03-001-0773,,飲食店営業, コンビニエンスストア,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,ファミリマト相模大野南口店042-701-52018089014153,00143_84b932f5-1f70-4a17-af23-c51d5a5c4b66,,personal,e1b22288-dc79-4784-819a-3d80020a0db4,2022/01/13,ファミリーマート相模大野南口店,ファミリマト相模大野南口店,
神奈川県相模原市,南区相模大野８－１４－４,相模大野８丁目戸建１階,ＨＵＹ　ＨＯＡＮＧ　ベトナムアジア食品店,,神奈川県,相模原市南区相模大野８－１４－４,相模大野８丁目戸建１階,,ＨＵＹ　ＨＯＡＮＧ合同会社,代表社員,グエンタイホアン,R04.01.21,R04.01.21,R10.01.20,03-001-0778,飲食店営業,飲食店（客席を設ける営業）,ＮＧＵＹＥＮ　ＴＨＡＩ　ＨＯＡＮＧ,,143,ＨＵＹ　ＨＯＡＮＧ　ベトナムアジア食品店,042,,,,,神奈川県相模原市　南区相模大野８－１４－４,神奈川県相模原市南区相模大野８－１４－４,相模大野８丁目戸建１階,80890,14,14153,相模大野８,,,2022/01/21,2022/01/21,2028/01/20,ＨＵＹ　ＨＯＡＮＧ合同会社,グエンタイホアン,,神奈川県　相模原市南区相模大野８－１４－４,神奈川県相模原市南区相模大野８－１４－４,相模大野８丁目戸建１階,80890,神奈川県,相模原市南区,相模大野８,03-001-0778,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,ＨＵＹＨＯＡＮＧベトナムアジア食品店8089014153,9ba18711-0cd6-4bf1-9bdd-25bce5c4bc8f,ＨＵＹ　ＨＯＡＮＧ合同会社80890,000ff604-2d41-4801-8d95-24e6bc1ab216,0958c794-4439-4c13-b930-7d8c740dfd38,2022/01/21,ＨＵＹ　ＨＯＡＮＧ　ベトナムアジア食品店,ＨＵＹＨＯＡＮＧベトナムアジア食品店,ＨＵＹ　ＨＯＡＮＧ合同会社
神奈川県相模原市,南区相模大野３－８－１,小田急相模大野　ステーションスクエア４Ｆ,エクセルシオールカフェ相模大野ＳＳ店,042-767-1251  ,東京都,渋谷区神南１－１０－１,,03-5459-9032  ,（株）ドトールコーヒー,（代）,星野　正則,R04.01.14,R04.01.14,R11.02.26,03-001-0767,飲食店営業,飲食店（客席を設ける営業）,小原　錦弥,,143,エクセルシオールカフェ相模大野ＳＳ店,042,042-767-1251,,,,神奈川県相模原市　南区相模大野３－８－１,神奈川県相模原市南区相模大野３－８－１,小田急相模大野　ステーションスクエア４Ｆ,80885,14,14153,相模大野３,,,2022/01/14,2022/01/14,2029/02/26,（株）ドトールコーヒー,星野　正則,03-5459-9032  ,東京都　渋谷区神南１－１０－１,東京都渋谷区神南１－１０－１,,74506,東京都,渋谷区,神南１,03-001-0767,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,エクセルシオルカフェ相模大野ＳＳ店042-767-12518088514153,6ea1aeb6-0961-422a-9c08-65aaad51fb98,株式会社ドトールコーヒー74506,12f87562-433c-4c27-a194-59a013a5633a,30f42804-dc8b-44ec-b6d7-2a7ab72ee740,2022/01/14,エクセルシオールカフェ相模大野ＳＳ店,エクセルシオルカフェ相模大野ＳＳ店,株式会社ドトールコーヒー
