https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,,申請者2,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名（屋号）,,施設所在地,,,施設電話番号,業種,氏名又は法人名,肩書,代表者氏名,連絡先,初回許可年月日,最新許可年月日,申請の別,施設番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
レインボーステイ,神奈川県,鎌倉市二階堂４０２－４,鎌倉市二階堂４０２－４,,0467-25-6963  ,そうざい製造業,中里　真喜子,,,,R04.01.26,R04.01.26,新規施設,第2021-032-0025号,,148,レインボーステイ,0467,0467-25-6963,,,,神奈川県　鎌倉市二階堂４０２－４,神奈川県鎌倉市二階堂４０２－４,,81573,14,14204,二階堂,,2022/01/26,2022/01/26,,,,中里　真喜子 ,,,,,,,,,第2021-032-0025号,,そうざい製造業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,レインボステイ0467-25-69638157314204,147a8322-9b2b-4db5-ad12-d333233ce32c,,personal,1d8d73ff-c770-420a-a33e-e1608de483f1,2022/01/26,レインボーステイ,レインボステイ,
仕立屋　東急鎌倉店,神奈川県,鎌倉市小町１－２－７３Ｆ,鎌倉市小町１－２－７,３Ｆ,0467-61-3770  ,そうざい製造業,株式会社魚喜,代表取締役,有吉　美和,0466-45-9861  ,R04.01.27,R04.01.27,新規施設,第2021-032-0027号,,148,仕立屋　東急鎌倉店,0467,0467-61-3770,,,,神奈川県　鎌倉市小町１－２－７,神奈川県鎌倉市小町１－２－７,３Ｆ,81514,14,14204,小町１,,2022/01/27,2022/01/27,,,株式会社魚喜,有吉　美和,0466-45-9861  ,,,,,,,,第2021-032-0027号,,そうざい製造業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,仕立屋東急鎌倉店0467-61-37708151414204,3fd5a69b-0bb3-411f-b12f-559cf192a625,株式会社魚喜,2fbefc09-4766-459a-99ce-67bb3f704a09,7e1c6dd3-d5d9-4dc8-9009-2b4882e239fc,2022/01/27,仕立屋　東急鎌倉店,仕立屋東急鎌倉店,株式会社魚喜
茶屋　赤ねこ,神奈川県,逗子市新宿１－４－３２ビーチフロントＣ号室,逗子市新宿１－４－３２,ビーチフロントＣ号室,              ,飲食店営業,齊藤　顕吉,,,,R04.01.28,R04.01.28,新規施設,第2021-001-0542号,,148,茶屋　赤ねこ,046,,,,,神奈川県　逗子市新宿１－４－３２,神奈川県逗子市新宿１－４－３２,ビーチフロントＣ号室,82110,14,14208,新宿１,,2022/01/28,2022/01/28,,,,齊藤　顕吉 ,,,,,,,,,第2021-001-0542号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,茶屋赤ねこ8211014208,406d7ac8-b442-4afb-902c-f1579f153eca,,personal,64e00181-cebf-45e5-8f56-f42e3b34fc35,2022/01/28,茶屋　赤ねこ,茶屋赤ねこ,
ＣＲＥＭＡＨＯＰ　逗子店,神奈川県,逗子市逗子１－７－４清水屋ビル１ＦＢ,逗子市逗子１－７－４,清水屋ビル１ＦＢ,,飲食店営業,ＩＳＵＰＲＥＭＥ株式会社,代表取締役,小松原　和明,              ,R04.01.28,R04.01.28,新規施設,第2021-001-0543号,,148,ＣＲＥＭＡＨＯＰ　逗子店,046,,,,,神奈川県　逗子市逗子１－７－４,神奈川県逗子市逗子１－７－４,清水屋ビル１ＦＢ,82115,14,14208,逗子１,,2022/01/28,2022/01/28,,,ＩＳＵＰＲＥＭＥ株式会社,小松原　和明,,,,,,,,,第2021-001-0543号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ＣＲＥＭＡＨＯＰ逗子店8211514208,6fb4e12b-5349-4086-9c74-08dbc79e1a2a,ＩＳＵＰＲＥＭＥ株式会社,cb18c574-e796-4af8-80a2-622fb62064c2,9e63930a-13cc-4e84-a7e4-eff542dfe93d,2022/01/28,ＣＲＥＭＡＨＯＰ　逗子店,ＣＲＥＭＡＨＯＰ逗子店,ＩＳＵＰＲＥＭＥ株式会社
セブン―イレブン逗子５丁目店,神奈川県,逗子市逗子５－１０－３５,逗子市逗子５－１０－３５,,046-873-6822  ,飲食店営業,内田　與一,,,,R04.01.28,R04.01.28,新規施設,第2021-001-0535号,,148,セブン―イレブン逗子５丁目店,046,046-873-6822,,,,神奈川県　逗子市逗子５－１０－３５,神奈川県逗子市逗子５－１０－３５,,82119,14,14208,逗子５,,2022/01/28,2022/01/28,,,,内田　與一 ,,,,,,,,,第2021-001-0535号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,セブンイレブン逗子５丁目店046-873-68228211914208,bddfbf91-9b6b-4b6f-aa99-6d92e6de61ae,,personal,cfea6b56-7391-4c3b-8ab3-7fd35084e3fb,2022/01/28,セブンイレブン逗子５丁目店,セブンイレブン逗子５丁目店,
ペレズジュースバー,神奈川県,鎌倉市七里ガ浜東３－１－１　２Ｆ,鎌倉市七里ガ浜東３－１－１,２Ｆ,              ,飲食店営業,武内　郁,,,,R04.01.31,R04.01.31,新規施設,第2021-001-0541号,,148,ペレズジュースバー,0467,,,,,神奈川県　鎌倉市七里ガ浜東３－１－１,神奈川県鎌倉市七里ガ浜東３－１－１,２Ｆ,81535,14,14204,七里ガ浜東３,,2022/01/31,2022/01/31,,,,武内　郁 ,,,,,,,,,第2021-001-0541号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ペレズジュスバ8153514204,1d4c8450-f052-4093-896d-835e5ada09ea,,personal,e18e2e59-cb1c-44a8-93e8-dacc4e971181,2022/01/31,ペレズジュースバー,ペレズジュスバ,
こ寿々わらびもち蔵 ,神奈川県,鎌倉市由比ガ浜３－３－２５,鎌倉市由比ガ浜３－３－２５,,              ,菓子製造業,株式会社江戸コーポレーション,代表取締役,小堺　孝雄,              ,H20.01.11,R03.12.14,既存施設,第2021-003-0083号,,148,こ寿々わらびもち蔵 ,0467,,,,,神奈川県　鎌倉市由比ガ浜３－３－２５,神奈川県鎌倉市由比ガ浜３－３－２５,,81596,14,14204,由比ガ浜３,,2008/01/11,2021/12/14,,,株式会社江戸コーポレーション,小堺　孝雄,,,,,,,,,第2021-003-0083号,,菓子製造業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,こ寿わらびもち蔵8159614204,b273c58b-1f97-4f29-9d60-311ccdd78088,株式会社江戸コーポレーション,1c167f46-2986-4638-b248-50785fac12fe,8ce2d0d1-e7f7-43a7-a223-63e14cc7eca5,2021/12/14,こ寿々わらびもち蔵　,こ寿わらびもち蔵,株式会社江戸コーポレーション
吉乃寿司,神奈川県,三浦郡葉山町一色３４６－１,三浦郡葉山町一色３４６－１,,046-875-5566  ,飲食店営業,前﨑　龍一,,,,H28.02.24,R04.01.12,既存施設,第2021-001-0502号,,148,吉乃寿司,046,046-875-5566,,,,神奈川県　三浦郡葉山町一色３４６－１,神奈川県三浦郡葉山町一色３４６－１,,82942,14,14301,一色,,2016/02/24,2022/01/12,,,,前﨑　龍一 ,,,,,,,,,第2021-001-0502号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,吉乃寿司046-875-55668294214301,72740a58-d299-415d-a2da-0774e67c9a2b,,personal,d0fc44cd-15f6-413e-9062-35620a5a5487,2022/01/12,吉乃寿司,吉乃寿司,
ＲＥ：ＲＯＯＭ（リ・ルーム）,神奈川県,鎌倉市大船１－２０－５エスポワールⅦ４Ｆ,鎌倉市大船１－２０－５,エスポワールⅦ４Ｆ,              ,飲食店営業,渡邊　万里子,,,,H28.02.29,R04.01.12,既存施設,第2021-001-0518号,,148,ＲＥ：ＲＯＯＭ（リ・ルーム）,0467,,,,,神奈川県　鎌倉市大船１－２０－５,神奈川県鎌倉市大船１－２０－５,エスポワールⅦ４Ｆ,81481,14,14204,大船１,,2016/02/29,2022/01/12,,,,渡邊　万里子 ,,,,,,,,,第2021-001-0518号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ＲＥＲＯＯＭリルム8148114204,6865bb3a-c6a8-4ae4-8f2e-2f1d4976005e,,personal,af5b65e4-f10e-481c-9a36-ebaea69a3d8d,2022/01/12,ＲＥ：ＲＯＯＭ（リ・ルーム）,ＲＥＲＯＯＭリルム,
コペン　ローカルベース　鎌倉,神奈川県,鎌倉市御成町４－１０,鎌倉市御成町４－１０,,0467-38-8520  ,飲食店営業,株式会社エクスペリエンスＤ,代表取締役,柴田　拡,03-5144-7306  ,H27.02.23,R04.01.12,既存施設,第2021-001-0522号,,148,コペン　ローカルベース　鎌倉,0467,0467-38-8520,,,,神奈川県　鎌倉市御成町４－１０,神奈川県鎌倉市御成町４－１０,,81497,14,14204,御成町,,2015/02/23,2022/01/12,,,株式会社エクスペリエンスＤ,柴田　拡,03-5144-7306  ,,,,,,,,第2021-001-0522号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,コペンロカルベス鎌倉0467-38-85208149714204,0e600b72-fcee-4a81-803b-b811f7264c92,株式会社エクスペリエンスＤ,0dcbb418-17f3-4346-8e2d-c0d40183b6ca,6accd43f-5609-4df3-9a61-1f9c3958f1cd,2022/01/12,コペン　ローカルベース　鎌倉,コペンロカルベス鎌倉,株式会社エクスペリエンスＤ
狸穴,神奈川県,鎌倉市山ノ内４０３,鎌倉市山ノ内４０３,,0467-33-4866  ,飲食店営業,大倉　功匡,,,,H28.02.08,R04.01.13,既存施設,第2021-001-0512号,,148,狸穴,0467,0467-33-4866,,,,神奈川県　鎌倉市山ノ内４０３,神奈川県鎌倉市山ノ内４０３,,81593,14,14204,山ノ内,,2016/02/08,2022/01/13,,,,大倉　功匡 ,,,,,,,,,第2021-001-0512号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,狸穴0467-33-48668159314204,6deecf66-0496-44f6-9d3d-5796cc2b8b8f,,personal,a23ab982-b3db-4bcc-addb-b50acbaef9e0,2022/01/13,狸穴,狸穴,
ひ路花,神奈川県,鎌倉市山ノ内３７５,鎌倉市山ノ内３７５,,0467-23-2424  ,飲食店営業,広川　隆司,,,,H27.02.04,R04.01.13,既存施設,第2021-001-0500号,,148,ひ路花,0467,0467-23-2424,,,,神奈川県　鎌倉市山ノ内３７５,神奈川県鎌倉市山ノ内３７５,,81593,14,14204,山ノ内,,2015/02/04,2022/01/13,,,,広川　隆司 ,,,,,,,,,第2021-001-0500号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ひ路花0467-23-24248159314204,2f331fe9-fb8b-4204-8745-1475d2e1b6b4,,personal,09fce8d0-bea5-4b9e-9b15-9de1b77a6a2a,2022/01/13,ひ路花,ひ路花,
Ｏｃｅａｎ　ｈａｒｖｅｓｔ　ｃｏｃｏｍｏ,神奈川県,鎌倉市長谷２－８－８,鎌倉市長谷２－８－８,,0467-33-4584  ,飲食店営業,株式会社ＣＯＣＯＭＯ,代表取締役,中山　昌士,0467-33-4584  ,H27.01.19,R04.01.14,既存施設,第2021-001-0470号,,148,Ｏｃｅａｎ　ｈａｒｖｅｓｔ　ｃｏｃｏｍｏ,0467,0467-33-4584,,,,神奈川県　鎌倉市長谷２－８－８,神奈川県鎌倉市長谷２－８－８,,81581,14,14204,長谷２,,2015/01/19,2022/01/14,,,株式会社ＣＯＣＯＭＯ,中山　昌士,0467-33-4584  ,,,,,,,,第2021-001-0470号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,Ｏｃｅａｎｈａｒｖｅｓｔｃｏｃｏｍｏ0467-33-45848158114204,da1b098d-5720-4fe0-8963-4b213a138d5d,株式会社ＣＯＣＯＭＯ,e5e0b3d1-bc5e-4b7d-bb1a-27690482c11c,638cb9b7-7a8f-44ca-b60c-28dd80e90b04,2022/01/14,Ｏｃｅａｎ　ｈａｒｖｅｓｔ　ｃｏｃｏｍｏ,Ｏｃｅａｎｈａｒｖｅｓｔｃｏｃｏｍｏ,株式会社ＣＯＣＯＭＯ
鎌倉長谷　栞庵,神奈川県,鎌倉市長谷１－１６－２１新倭人館Ｃ号室,鎌倉市長谷１－１６－２１,新倭人館Ｃ号室,0467-37-9484  ,飲食店営業,恩田　智博,,,,H28.02.10,R04.01.14,既存施設,第2021-001-0503号,,148,鎌倉長谷　栞庵,0467,0467-37-9484,,,,神奈川県　鎌倉市長谷１－１６－２１,神奈川県鎌倉市長谷１－１６－２１,新倭人館Ｃ号室,81580,14,14204,長谷１,,2016/02/10,2022/01/14,,,,恩田　智博 ,,,,,,,,,第2021-001-0503号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,鎌倉長谷栞庵0467-37-94848158014204,c977f92d-f485-4ca9-bb21-4b672b5a6d2c,,personal,138cea66-b8d2-4526-a95d-b33fd2cb3999,2022/01/14,鎌倉長谷　栞庵,鎌倉長谷栞庵,
米倉,神奈川県,鎌倉市二階堂３４０－２,鎌倉市二階堂３４０－２,,0467-25-2395  ,飲食店営業,株式会社米倉,代表取締役,米倉　敏貴,0467-25-2395  ,H27.02.13,R04.01.17,既存施設,第2021-001-0527号,,148,米倉,0467,0467-25-2395,,,,神奈川県　鎌倉市二階堂３４０－２,神奈川県鎌倉市二階堂３４０－２,,81573,14,14204,二階堂,,2015/02/13,2022/01/17,,,株式会社米倉,米倉　敏貴,0467-25-2395  ,,,,,,,,第2021-001-0527号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,米倉0467-25-23958157314204,09fc5cd3-26d3-4e5c-ac45-d5a681359260,株式会社米倉,e261779f-0a32-467a-8e05-12c56cbbdee5,056811a8-2930-4e06-a956-3e408af32c30,2022/01/17,米倉,米倉,株式会社米倉
セブン－イレブン　逗子インター西店,神奈川県,逗子市沼間３－８－３,逗子市沼間３－８－３,,046-871-7107  ,飲食店営業,有限会社かまくらや,代表取締役,木村　温良,046-871-3745  ,H28.02.24,R04.01.19,既存施設,第2021-001-0516号,,148,セブン－イレブン　逗子インター西店,046,046-871-7107,,,,神奈川県　逗子市沼間３－８－３,神奈川県逗子市沼間３－８－３,,82124,14,14208,沼間３,,2016/02/24,2022/01/19,,,有限会社かまくらや,木村　温良,046-871-3745  ,,,,,,,,第2021-001-0516号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,セブンイレブン逗子インタ西店046-871-71078212414208,afd2046f-d9fe-449b-ba41-b8be33930d13,有限会社かまくらや,3929b4a3-54bb-49e5-86f6-046994fce52c,887a0f04-b0e4-4e4a-99d8-100000948b17,2022/01/19,セブンイレブン　逗子インター西店,セブンイレブン逗子インタ西店,有限会社かまくらや
Ｌｅｏ,神奈川県,逗子市逗子５－２－５１　２Ｆ,逗子市逗子５－２－５１,２Ｆ,046-854-9969  ,飲食店営業,原田　隆之,,,,H28.02.04,R04.01.19,既存施設,第2021-001-0526号,,148,Ｌｅｏ,046,046-854-9969,,,,神奈川県　逗子市逗子５－２－５１,神奈川県逗子市逗子５－２－５１,２Ｆ,82119,14,14208,逗子５,,2016/02/04,2022/01/19,,,,原田　隆之 ,,,,,,,,,第2021-001-0526号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,Ｌｅｏ046-854-99698211914208,f1569070-269f-465d-b66c-fefa304be8f4,,personal,d6f82c3e-5a32-44a5-b9d4-9b4262820623,2022/01/19,Ｌｅｏ,Ｌｅｏ,
Ｃｒｅａｍ　Ｔｅａ　Ｒｏｏｍ,神奈川県,逗子市逗子５－２－２１,逗子市逗子５－２－２１,,              ,飲食店営業,高山　規子,,,,R01.12.27,R04.01.19,既存施設,第2021-001-0533号,,148,Ｃｒｅａｍ　Ｔｅａ　Ｒｏｏｍ,046,,,,,神奈川県　逗子市逗子５－２－２１,神奈川県逗子市逗子５－２－２１,,82119,14,14208,逗子５,,2019/12/27,2022/01/19,,,,高山　規子 ,,,,,,,,,第2021-001-0533号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ＣｒｅａｍＴｅａＲｏｏｍ8211914208,093e3bcf-4ce6-4fc1-bd02-62e9f21fc587,,personal,dc489e52-70c1-4a36-bc9e-2366f4525b19,2022/01/19,Ｃｒｅａｍ　Ｔｅａ　Ｒｏｏｍ,ＣｒｅａｍＴｅａＲｏｏｍ,
珈琲店　般若坊,神奈川県,鎌倉市長谷２－１４－２４,鎌倉市長谷２－１４－２４,,              ,飲食店営業,平山　紀子,,,,H01.02.14,R04.01.21,既存施設,第2021-001-0510号,,148,珈琲店　般若坊,0467,,,,,神奈川県　鎌倉市長谷２－１４－２４,神奈川県鎌倉市長谷２－１４－２４,,81581,14,14204,長谷２,,1989/02/14,2022/01/21,,,,平山　紀子 ,,,,,,,,,第2021-001-0510号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,珈琲店般若坊8158114204,4c0e168c-4af8-4bb6-8bff-d2329c563032,,personal,004a4d7d-365a-468e-ac12-d2c00d556fae,2022/01/21,珈琲店　般若坊,珈琲店般若坊,
ラーメン魁力屋　鎌倉手広店,神奈川県,鎌倉市手広１－５－１４,鎌倉市手広１－５－１４,,0467-50-0669  ,飲食店営業,株式会社魁力屋,代表取締役,藤田　宗,075-211-3338  ,H27.02.17,R04.01.21,既存施設,第2021-001-0521号,,148,ラーメン魁力屋　鎌倉手広店,0467,0467-50-0669,,,,神奈川県　鎌倉市手広１－５－１４,神奈川県鎌倉市手広１－５－１４,,81562,14,14204,手広１,,2015/02/17,2022/01/21,,,株式会社魁力屋,藤田　宗,075-211-3338  ,,,,,,,,第2021-001-0521号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ラメン魁力屋鎌倉手広店0467-50-06698156214204,3b543d7c-5c2b-40cb-b000-b71541da78e3,株式会社魁力屋,34ec01b5-12e0-4826-b000-1652f725ae28,9eda3cc9-3f92-4045-b048-91ae07504d0b,2022/01/21,ラーメン魁力屋　鎌倉手広店,ラメン魁力屋鎌倉手広店,株式会社魁力屋
寿司　いいじま,神奈川県,逗子市逗子３－１－２４,逗子市逗子３－１－２４,,046-876-6113  ,飲食店営業,飯島　学,,,,H27.02.09,R04.01.24,既存施設,第2021-001-0514号,,148,寿司　いいじま,046,046-876-6113,,,,神奈川県　逗子市逗子３－１－２４,神奈川県逗子市逗子３－１－２４,,82117,14,14208,逗子３,,2015/02/09,2022/01/24,,,,飯島　学 ,,,,,,,,,第2021-001-0514号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,寿司いいじま046-876-61138211714208,6715a667-a51c-4f99-8c0a-131d25a500e4,,personal,9ccc0566-f5ab-4f43-a79f-c950c0a905f1,2022/01/24,寿司　いいじま,寿司いいじま,
マッチポイント,神奈川県,逗子市逗子５－１－１３,逗子市逗子５－１－１３,,046-873-0371  ,飲食店営業,株式会社５０ＫＩＤ’Ｓ,代表取締役,田村　大輔,046-873-0371  ,H22.02.02,R04.01.24,既存施設,第2021-001-0511号,,148,マッチポイント,046,046-873-0371,,,,神奈川県　逗子市逗子５－１－１３,神奈川県逗子市逗子５－１－１３,,82119,14,14208,逗子５,,2010/02/02,2022/01/24,,,株式会社５０ＫＩＤ’Ｓ,田村　大輔,046-873-0371  ,,,,,,,,第2021-001-0511号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,マッチポイント046-873-03718211914208,2eac3508-d0ef-4b0d-8f93-d8d5072b5497,株式会社５０ＫＩＤ＇Ｓ,48b0096a-4aa1-457c-8074-cb12593fd69d,fe1e9146-d322-4885-81ac-315395739638,2022/01/24,マッチポイント,マッチポイント,株式会社５０ＫＩＤ＇Ｓ
セブン－イレブン鎌倉城廻店,神奈川県,鎌倉市城廻７９９－１,鎌倉市城廻７９９－１,,0467-45-8377  ,飲食店営業,高橋　直也,,,,H20.02.19,R04.01.24,既存施設,第2021-001-0524号,,148,セブン－イレブン鎌倉城廻店,0467,0467-45-8377,,,,神奈川県　鎌倉市城廻７９９－１,神奈川県鎌倉市城廻７９９－１,,81538,14,14204,城廻,,2008/02/19,2022/01/24,,,,高橋　直也 ,,,,,,,,,第2021-001-0524号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,セブンイレブン鎌倉城廻店0467-45-83778153814204,5639810c-4236-4996-a81a-3977f761714d,,personal,482791e5-1f64-4a42-bd99-824af876b33f,2022/01/24,セブンイレブン鎌倉城廻店,セブンイレブン鎌倉城廻店,
スイーツファクトリー,神奈川県,鎌倉市岡本２－１５－１１,鎌倉市岡本２－１５－１１,,0467-42-7166  ,菓子製造業,河野　良雄,,,,H28.02.16,R04.01.24,既存施設,第2021-003-0093号,,148,スイーツファクトリー,0467,0467-42-7166,,,,神奈川県　鎌倉市岡本２－１５－１１,神奈川県鎌倉市岡本２－１５－１１,,81496,14,14204,岡本２,,2016/02/16,2022/01/24,,,,河野　良雄 ,,,,,,,,,第2021-003-0093号,,菓子製造業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,スイツファクトリ0467-42-71668149614204,b71d0116-9fb6-4247-b446-4b19951f5e9a,,personal,03514d11-397e-4d94-af7a-5e4f03b0e01c,2022/01/24,スイーツファクトリー,スイツファクトリ,
オシノ,神奈川県,鎌倉市扇ガ谷１－８－６小黒ビルＢ１,鎌倉市扇ガ谷１－８－６,小黒ビルＢ１,0467-55-5327  ,飲食店営業,株式会社ホシノ,代表取締役,星野　裕亮,0467-55-5327  ,H27.02.02,R04.01.26,既存施設,第2021-001-0517号,,148,オシノ,0467,0467-55-5327,,,,神奈川県　鎌倉市扇ガ谷１－８－６,神奈川県鎌倉市扇が谷１－８－６,小黒ビルＢ１,81476,14,14204,扇ガ谷１,,2015/02/02,2022/01/26,,,株式会社ホシノ,星野　裕亮,0467-55-5327  ,,,,,,,,第2021-001-0517号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,オシノ0467-55-53278147614204,3321d913-543f-48eb-8fef-4049363086ab,株式会社ホシノ,f706c4d2-611a-46c8-b6b7-6309e545512a,c5437e26-599f-4ae8-b156-e1424fc94803,2022/01/26,オシノ,オシノ,株式会社ホシノ
カフェテラス・無嵐亭,神奈川県,鎌倉市台４－２０－１９,鎌倉市台４－２０－１９,,0467-46-5651  ,飲食店営業,杉本　幸子,,,,H01.02.13,R04.01.26,既存施設,第2021-001-0519号,,148,カフェテラス・無嵐亭,0467,0467-46-5651,,,,神奈川県　鎌倉市台４－２０－１９,神奈川県鎌倉市台４－２０－１９,,81556,14,14204,台４,,1989/02/13,2022/01/26,,,,杉本　幸子 ,,,,,,,,,第2021-001-0519号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,カフェテラス無嵐亭0467-46-56518155614204,2e320e85-5948-4483-8d86-7a68786c63d3,,personal,7fc9bacf-9145-464c-99aa-9f269e063e20,2022/01/26,カフェテラス・無嵐亭,カフェテラス無嵐亭,
カフェ＆コンディトライ　ベルグフェルド,神奈川県,鎌倉市長谷２－１３－４７,鎌倉市長谷２－１３－４７,,0467-24-2706  ,飲食店営業,有限会社ベルグフェルド,代表取締役,山田　元,0467-24-2706  ,H01.01.31,R04.01.26,既存施設,第2021-001-0538号,,148,カフェ＆コンディトライ　ベルグフェルド,0467,0467-24-2706,,,,神奈川県　鎌倉市長谷２－１３－４７,神奈川県鎌倉市長谷２－１３－４７,,81581,14,14204,長谷２,,1989/01/31,2022/01/26,,,有限会社ベルグフェルド,山田　元,0467-24-2706  ,,,,,,,,第2021-001-0538号,,飲食店営業,,既存施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,カフェコンディトライベルグフェルド0467-24-27068158114204,0ef40eff-35c1-487b-a329-f354f100f0bc,有限会社ベルグフェルド,632acf45-e07f-464e-a75b-26291d25e1ed,4d347fa2-3746-4e62-bfea-d1540497b577,2022/01/26,カフェ＆コンディトライ　ベルグフェルド,カフェコンディトライベルグフェルド,有限会社ベルグフェルド
