,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,飲食店営業,カフェ・バー・キャバレー,クラブ　バース,高崎市新紺屋町19-1 福田ﾋﾞﾙ1F,高崎市新紺屋町１９－１,福田ﾋﾞﾙ１F,027-386-8713,株式会社バース,小川 力也,高崎市新紺屋町19-1 福田ﾋﾞﾙ1F,027-386-8713,常設,R04/07/20,R04/07/20,R11/03/31,,高崎市保健所,クラブ　バース,027,027-386-8713,,,,高崎市新紺屋町１９－１,群馬県高崎市新紺屋町１９－１,福田ﾋﾞﾙ１F,60112,群馬県,高崎市,新紺屋町,,2022/07/20,,2022/07/20,2029/03/31,株式会社バース,小川 力也,027-386-8713,高崎市新紺屋町19-1 福田ﾋﾞﾙ1F,群馬県高崎市新紺屋町１９－１福田ﾋﾞﾙ１F,,60112,群馬県,高崎市,新紺屋町,575,,飲食店営業, カフェ・バー・キャバレー,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,クラブ　バース,クラブバス,株式会社バース,,1,,,,,
577,菓子製造業,,つぼ福,高崎市筑縄町14-15,高崎市筑縄町１４－１５,,027-315-9933,株式会社プレイン,町田 圭吾,高崎市八幡町1156-22,027-333-3091,常設,R04/07/20,R04/07/20,R11/03/31,,高崎市保健所,つぼ福,027,027-315-9933,,,,高崎市筑縄町１４－１５,群馬県高崎市筑縄町１４－１５,,60128,群馬県,高崎市,筑縄町,,2022/07/20,,2022/07/20,2029/03/31,株式会社プレイン,町田 圭吾,027-333-3091,高崎市八幡町1156-22,群馬県高崎市八幡町１１５６－２２,,60185,群馬県,高崎市,八幡町,577,,菓子製造業,,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,つぼ福,つぼ福,株式会社プレイン,,1,,,,,
578,麺類製造業,,手打そば亀鶴庵,高崎市中室田町5982-1,高崎市中室田町５９８２－１,,,相模 實,,高崎市中室田町2110 榛名春光園417,,常設,R04/07/20,R04/07/20,R11/06/30,,高崎市保健所,手打そば亀鶴庵,027,,,,,高崎市中室田町５９８２－１,群馬県高崎市中室田町５９８２－１,,60260,群馬県,高崎市,中室田町,,2022/07/20,,2022/07/20,2029/06/30,,相模 實,,高崎市中室田町2110 榛名春光園417,群馬県高崎市中室田町２１１０榛名春光園４１７,,60260,群馬県,高崎市,中室田町,578,,麺類製造業,,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,手打そば亀鶴庵,手打そば亀鶴庵,,,1,,,,,
580,飲食店営業,一般飲食店,お好み焼きKANSAI高崎緑町店,高崎市緑町2-2-5,高崎市緑町２－２－５,,027-388-9333,株式会社コラボレーション,山﨑 健一,伊勢崎市曲輪町29-2-1,0270-23-4774,常設,R04/07/22,R04/07/22,R11/06/30,,高崎市保健所,お好み焼きKANSAI高崎緑町店,027,027-388-9333,,,,高崎市緑町２－２－５,群馬県高崎市緑町２－２－５,,60201,群馬県,高崎市,緑町２,,2022/07/22,,2022/07/22,2029/06/30,株式会社コラボレーション,山﨑 健一,0270-23-4774,伊勢崎市曲輪町29-2-1,群馬県伊勢崎市曲輪町２９－２－１,,60433,群馬県,伊勢崎市,曲輪町,580,,飲食店営業, 一般飲食店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,お好み焼きＫＡＮＳＡＩ高崎緑町店,お好み焼きＫＡＮＳＡＩ高崎緑町店,株式会社コラボレーション,,1,,,,,
581,飲食店営業,焼肉店,豚の出番,高崎市上小塙町848-10,高崎市上小塙町８４８－１０,,027-340-2585,株式会社メイクワン,武井 一樹,高崎市上大類町785-1,027-310-1177,常設,R04/07/26,R04/07/26,R11/03/31,,高崎市保健所,豚の出番,027,027-340-2585,,,,高崎市上小塙町８４８－１０,群馬県高崎市上小塙町８４８－１０,,60066,群馬県,高崎市,上小塙町,,2022/07/26,,2022/07/26,2029/03/31,株式会社メイクワン,武井 一樹,027-310-1177,高崎市上大類町785-1,群馬県高崎市上大類町７８５－１,,60064,群馬県,高崎市,上大類町,581,,飲食店営業, 焼肉店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,豚の出番,豚の出番,株式会社メイクワン,,1,,,,,
582,飲食店営業,一般飲食店,LINDA,高崎市江木町412-5,高崎市江木町４１２－５,,,株式会社ALATA,柴原 遼太郎,高崎市田町72 1F,,常設,R04/07/26,R04/07/26,R10/12/31,,高崎市保健所,LINDA,027,,,,,高崎市江木町４１２－５,群馬県高崎市江木町４１２－５,,60052,群馬県,高崎市,江木町,,2022/07/26,,2022/07/26,2028/12/31,株式会社ALATA,柴原 遼太郎,,高崎市田町72 1F,群馬県高崎市田町７２１F,,60125,群馬県,高崎市,田町,582,,飲食店営業, 一般飲食店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＬＩＮＤＡ,ＬＩＮＤＡ,株式会社ＡＬＡＴＡ,,1,,,,,
583,飲食店営業,自動車営業,ろしなん亭,高崎市内一円,高崎市内一円,,,清水 角栄,,安中市高別当880-8,,常設,R04/07/26,R04/07/26,R10/06/30,,高崎市保健所,ろしなん亭,,,,,,高崎市内一円,群馬県高崎市内一円,,60036,群馬県,高崎市,,,2022/07/26,,2022/07/26,2028/06/30,,清水 角栄,,安中市高別当880-8,群馬県安中市高別当８８０－８,,61033,群馬県,安中市,高別当,583,,飲食店営業, 自動車営業,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ろしなん亭,ろしなん亭,,,1,,,,,
584,飲食店営業,給食,ファイン高崎,高崎市江木町1511,高崎市江木町１５１１,,027-321-2601,株式会社サクセス,町田 賢舟,伊勢崎市羽黒町18-3,0270-32-5708,常設,R04/07/27,R04/07/27,R10/12/31,,高崎市保健所,ファイン高崎,027,027-321-2601,,,,高崎市江木町１５１１,群馬県高崎市江木町１５１１,,60052,群馬県,高崎市,江木町,,2022/07/27,,2022/07/27,2028/12/31,株式会社サクセス,町田 賢舟,0270-32-5708,伊勢崎市羽黒町18-3,群馬県伊勢崎市羽黒町１８－３,,60488,群馬県,伊勢崎市,羽黒町,584,,飲食店営業, 給食,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファイン高崎,ファイン高崎,株式会社サクセス,,1,,,,,
585,飲食店営業,コンビニエンスストア,セブン-イレブン高崎駅東口店,高崎市栄町16-11,高崎市栄町１６－１１,,027-321-2133,株式会社セブン－イレブン・ジャパン,永松 文彦,東京都千代田区二番町8-8,03-6238-3711,常設,R04/07/27,R04/07/27,R10/12/31,,高崎市保健所,セブン-イレブン高崎駅東口店,027,027-321-2133,,,,高崎市栄町１６－１１,群馬県高崎市栄町１６－１１,,60085,群馬県,高崎市,栄町,,2022/07/27,,2022/07/27,2028/12/31,株式会社セブン－イレブン・ジャパン,永松 文彦,03-6238-3711,東京都千代田区二番町8-8,東京都千代田区二番町８－８,,72918,東京都,千代田区,二番町,585,,飲食店営業, コンビニエンスストア,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,セブンイレブン高崎駅東口店,セブンイレブン高崎駅東口店,株式会社セブン－イレブン・ジャパン,セブンイレブン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
586,飲食店営業,レストラン,トラットリアバンビーナ　ハリスホテル店,高崎市北双葉町5-1 ﾊﾘｽﾎﾃﾙEAST1階,高崎市北双葉町５－１,ﾊﾘｽﾎﾃﾙEAST１階,027-387-0262,バンフーズ株式会社,須田 正之,高崎市浜川町1938-2,027-386-6498,常設,R04/07/27,R04/07/27,R10/12/31,,高崎市保健所,トラットリアバンビーナ　ハリスホテル店,027,027-387-0262,,,,高崎市北双葉町５－１,群馬県高崎市北双葉町５－１,ﾊﾘｽﾎﾃﾙEAST１階,60076,群馬県,高崎市,北双葉町,,2022/07/27,,2022/07/27,2028/12/31,バンフーズ株式会社,須田 正之,027-386-6498,高崎市浜川町1938-2,群馬県高崎市浜川町１９３８－２,,60157,群馬県,高崎市,浜川町,586,,飲食店営業, レストラン,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,トラットリアバンビーナ　ハリスホテル店,トラットリアバンビナハリスホテル店,バンフーズ株式会社,,1,,,,,
587,飲食店営業,レストラン,イタリアン＆グリル　Cielo,高崎市南大類町4-1,高崎市南大類町４－１,,,澤田 智弘,,高崎市井野町874-3,,常設,R04/07/27,R04/07/27,R10/12/31,,高崎市保健所,イタリアン＆グリル　Cielo,027,,,,,高崎市南大類町４－１,群馬県高崎市南大類町４－１,,60167,群馬県,高崎市,南大類町,,2022/07/27,,2022/07/27,2028/12/31,,澤田 智弘,,高崎市井野町874-3,群馬県高崎市井野町８７４－３,,60047,群馬県,高崎市,井野町,587,,飲食店営業, レストラン,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,イタリアン＆グリル　Ｃｉｅｌｏ,イタリアングリルＣｉｅｌｏ,,,1,,,,,
588,飲食店営業,カフェ・バー・キャバレー,Bar 群馬秘密基地,高崎市鞘町13,高崎市鞘町１３,,0273-93-6499,AKOGARE株式会社,藤塚 拓哉,高崎市中豊岡町500-5 ﾕﾆｳﾞｪｰﾙA103号,,常設,R04/07/27,R04/07/27,R11/03/31,,高崎市保健所,Bar 群馬秘密基地,027,0273-93-6499,,,,高崎市鞘町１３,群馬県高崎市鞘町１３,,60087,群馬県,高崎市,鞘町,,2022/07/27,,2022/07/27,2029/03/31,AKOGARE株式会社,藤塚 拓哉,,高崎市中豊岡町500-5 ﾕﾆｳﾞｪｰﾙA103号,群馬県高崎市中豊岡町５００－５ﾕﾆｳﾞｪｰﾙA１０３号,,60147,群馬県,高崎市,中豊岡町,588,,飲食店営業, カフェ・バー・キャバレー,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｂａｒ　群馬秘密基地,Ｂａｒ群馬秘密基地,ＡＫＯＧＡＲＥ株式会社,,1,,,,,
589,菓子製造業,,FUTURENAUT株式会社,高崎市上並榎町1300 高崎経済大学内,高崎市上並榎町１３００,高崎経済大学内,,FUTURENAUT株式会社,櫻井 連,高崎市上並榎町1300 高崎経済大学内,,常設,R04/07/27,R04/07/27,R11/03/31,,高崎市保健所,FUTURENAUT株式会社,027,,,,,高崎市上並榎町１３００,群馬県高崎市上並榎町１３００,高崎経済大学内,60071,群馬県,高崎市,上並榎町,,2022/07/27,,2022/07/27,2029/03/31,FUTURENAUT株式会社,櫻井 連,,高崎市上並榎町1300 高崎経済大学内,群馬県高崎市上並榎町１３００高崎経済大学内,,60071,群馬県,高崎市,上並榎町,589,,菓子製造業,,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＦＵＴＵＲＥＮＡＵＴ株式会社,ＦＵＴＵＲＥＮＡＵＴ株式会社,ＦＵＴＵＲＥＮＡＵＴ株式会社,,1,,,,,
590,飲食店営業,一般飲食店,かんざわ,高崎市通町141-3,高崎市通町１４１－３,,,神澤 英子,,高崎市竜見町17-9,,常設,R04/07/27,R04/07/27,R10/12/31,,高崎市保健所,かんざわ,027,,,,,高崎市通町１４１－３,群馬県高崎市通町１４１－３,,60133,群馬県,高崎市,通町,,2022/07/27,,2022/07/27,2028/12/31,,神澤 英子,,高崎市竜見町17-9,群馬県高崎市竜見町１７－９,,60124,群馬県,高崎市,竜見町,590,,飲食店営業, 一般飲食店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,かんざわ,かんざわ,,,1,,,,,
591,飲食店営業,専門料理店,スタミナ餃子坊,高崎市京目町116-2,高崎市京目町１１６－２,,027-384-2834,QXQ合同会社,秦 子毅,茨城県日立市大みか町4-20-5,0294-33-9885,常設,R04/07/27,R04/07/27,R11/06/30,,高崎市保健所,スタミナ餃子坊,027,027-384-2834,,,,高崎市京目町１１６－２,群馬県高崎市京目町１１６－２,,60078,群馬県,高崎市,京目町,,2022/07/27,,2022/07/27,2029/06/30,QXQ合同会社,秦 子毅,0294-33-9885,茨城県日立市大みか町4-20-5,茨城県日立市大みか町４－２０－５,,53771,茨城県,日立市,大みか町４,591,,飲食店営業, 専門料理店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スタミナ餃子坊,スタミナ餃子坊,ＱＸＱ合同会社,,1,,,,,
