https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,,申請者2,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名,施設の住所,,,,施設の電話番号※,業種,営業者氏名,代表職,代表者氏名,営業者の電話番号※,初回の許可年月日,最新の許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ｔｉｇｒｅ珈琲,豊橋市東田町１５８番地,愛知県,豊橋市東田町１５８番地,,,飲食店営業(一般食堂・レストラン等),株式会社　Ｂ．Ｔグループ,代表取締役,鈴木　裕也,0532-75-0130,2021/5/28,2021/5/28,豊橋市指令3豊保生第711－47号,,246,ｔｉｇｒｅ珈琲,0532,,,,,愛知県　豊橋市東田町１５８番地,愛知県豊橋市東田町１５８番地,,117658,23,23201,東田町,,2021/05/28,2021/05/28,,,株式会社　Ｂ．Ｔグループ,鈴木　裕也,0532-75-0130,,,,,,,,豊橋市指令3豊保生第711－47号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ｔｉｇｒｅ珈琲11765823201,b02cf674-cde3-48a3-82a8-51b26d1919ab,株式会社Ｂ．Ｔグループ,e05045ed-8af6-4ab5-a53d-5b71c7144efe,8313faf6-9109-4f99-8fd4-a78c7039f217,2021/05/28,ｔｉｇｒｅ珈琲,ｔｉｇｒｅ珈琲,株式会社Ｂ．Ｔグループ
Ｖanish,豊橋市松葉町一丁目９２番地  近藤ビル１階,愛知県,豊橋市松葉町１丁目９２番地, 近藤ビル１階,55-3200,飲食店営業(その他),株式会社　ＢＵＲＥＺ９,代表取締役,福田　亮,,2021/6/21,2021/6/21,豊橋市指令3豊保生第111－28号,,246,Ｖanish,0532,0532-55-3200,,,,愛知県　豊橋市松葉町１丁目９２番地,愛知県豊橋市松葉町１丁目９２番地, 近藤ビル１階,117909,23,23201,松葉町１,,2021/06/21,2021/06/21,,,株式会社　ＢＵＲＥＺ９,福田　亮,,,,,,,,,豊橋市指令3豊保生第111－28号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,Ｖａｎｉｓｈ0532-55-320011790923201,00246_e5117b03-d8d9-47da-8d23-ab972b24b668,株式会社ＢＵＲＥＺ９,2098b07b-6583-4034-b3d2-5d3b47e74056,95519469-224d-4f9a-a061-790ba6f2186d,2021/06/21,Ｖａｎｉｓｈ,Ｖａｎｉｓｈ,株式会社ＢＵＲＥＺ９
ＶＥＨＩＣＬＥ　ＳＮＡＣＫ　ＢＡＲ　ＹＵＣＯ,豊橋市多米町字大門２１番地３,愛知県,豊橋市多米町字大門２１番地３,,,飲食店営業(一般食堂・レストラン等),大木　裕子,,,,2021/5/31,2021/5/31,豊橋市指令3豊保生第711－44号,,246,ＶＥＨＩＣＬＥ　ＳＮＡＣＫ　ＢＡＲ　ＹＵＣＯ,0532,,,,,愛知県　豊橋市多米町字大門２１番地３,愛知県豊橋市多米町字大門２１番地３,,117783,23,23201,多米町,,2021/05/31,2021/05/31,,,,大木　裕子 ,,,,,,,,,豊橋市指令3豊保生第711－44号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ＶＥＨＩＣＬＥＳＮＡＣＫＢＡＲＹＵＣＯ11778323201,0b03d6c9-5546-47fd-b93b-52bdfbb88c60,,personal,fe4a5599-71c5-4c5e-9a99-32c4b6b402e1,2021/05/31,ＶＥＨＩＣＬＥ　ＳＮＡＣＫ　ＢＡＲ　ＹＵＣＯ,ＶＥＨＩＣＬＥＳＮＡＣＫＢＡＲＹＵＣＯ,
Ｖｉｏｓ,豊橋市松葉町一丁目７７番地１  第２イズムビル１階,愛知県,豊橋市松葉町１丁目７７番地１,第２イズムビル１階,,飲食店営業(その他),大羽　風輝,,,,2021/5/13,2021/5/13,豊橋市指令3豊保生第711－36号,,246,Ｖｉｏｓ,0532,,,,,愛知県　豊橋市松葉町１丁目７７番地１,愛知県豊橋市松葉町１丁目７７番地１,第２イズムビル１階,117909,23,23201,松葉町１,,2021/05/13,2021/05/13,,,,大羽　風輝 ,,,,,,,,,豊橋市指令3豊保生第711－36号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,Ｖｉｏｓ11790923201,d04ec089-38b2-4f72-b74e-930d006c74a4,,personal,7b3e09d6-c99e-4cf7-92cb-f934142a9de4,2021/05/13,Ｖｉｏｓ,Ｖｉｏｓ,
アジアンレストラン　アティティ,豊橋市新栄町字南小向９４番地１２,愛知県,豊橋市新栄町字南小向９４番地１２,,32-7713,飲食店営業(一般食堂・レストラン等),Ｇａｕｔａｍ　Ｐｕｒｕｓｈｏｔａｍ,,,,2021/6/9,2021/6/9,豊橋市指令3豊保生第111－4号,,246,アジアンレストラン　アティティ,0532,0532-32-7713,,,,愛知県　豊橋市新栄町字南小向９４番地１２,愛知県豊橋市新栄町字南小向９４番地１２,,117766,23,23201,新栄町,,2021/06/09,2021/06/09,,,,Ｇａｕｔａｍ　Ｐｕｒｕｓｈｏｔａｍ ,,,,,,,,,豊橋市指令3豊保生第111－4号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,アジアンレストランアティティ0532-32-771311776623201,00246_36d39da9-dc03-4d4b-bcf9-6d5987c4bf6f,,personal,28722bec-deb3-40d0-be1e-6cbfc90cbcd5,2021/06/09,アジアンレストラン　アティティ,アジアンレストランアティティ,
あつみ食堂,豊橋市山田三番町６６番地,愛知県,豊橋市山田三番町６６番地,,37-1177,飲食店営業(一般食堂・レストラン等),株式会社　渥美フーズ,代表取締役,渡会　一仁,0531-33-0380,2016/5/10,2016/5/10,豊橋市指令28豊保生第101－3号,,246,あつみ食堂,0532,0532-37-1177,,,,愛知県　豊橋市山田三番町６６番地,愛知県豊橋市山田三番町６６番地,,117945,23,23201,山田三番町,,2016/05/10,2016/05/10,,,株式会社　渥美フーズ,渡会　一仁,0531-33-0380,,,,,,,,豊橋市指令28豊保生第101－3号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,あつみ食堂0532-37-117711794523201,01ba748f-bc8f-4991-88ac-19513af435ef,株式会社渥美フーズ,ce0cecde-7c4b-4f56-b91a-4e7c6cbfd755,cecbd534-a10b-42a9-a715-cb41524f0854,2016/05/10,あつみ食堂,あつみ食堂,株式会社渥美フーズ
あづ木,豊橋市往完町字郷社東９番地３,愛知県,豊橋市往完町字郷社東９番地３,,31-3150,菓子製造業(一般),石川　明宗,,,,2021/6/16,2021/6/16,豊橋市指令3豊保生第121－4号,,246,あづ木,0532,0532-31-3150,,,,愛知県　豊橋市往完町字郷社東９番地３,愛知県豊橋市往完町字郷社東９番地３,,117696,23,23201,往完町,,2021/06/16,2021/06/16,,,,石川　明宗 ,,,,,,,,,豊橋市指令3豊保生第121－4号,,菓子製造業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,あづ木0532-31-315011769623201,00246_f8688341-e086-46e3-9875-d2005e94433e,,personal,f503a68e-1390-4ad4-97e0-a6e2c7eb7516,2021/06/16,あづ木,あづ木,
アミューズメントポーカー＆ｂａｒ～祇園～稲荷～豊橋,豊橋市駅前大通一丁目８１番地  ユトリロ駅前大通１階,愛知県,豊橋市駅前大通１丁目８１番地, ユトリロ駅前大通１階,,飲食店営業(その他),鈴木　史哉,,,,2021/5/6,2021/5/6,豊橋市指令3豊保生第711－6号,,246,アミューズメントポーカー＆ｂａｒ～祇園～稲荷～豊橋,0532,,,,,愛知県　豊橋市駅前大通１丁目８１番地,愛知県豊橋市駅前大通１丁目８１番地, ユトリロ駅前大通１階,117690,23,23201,駅前大通１,,2021/05/06,2021/05/06,,,,鈴木　史哉 ,,,,,,,,,豊橋市指令3豊保生第711－6号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,アミュズメントポカｂａｒ祇園稲荷豊橋11769023201,5e369eb9-56dd-423b-ade7-7f7762df2573,,personal,2217459d-e95e-4dcb-a07a-23a33f307904,2021/05/06,アミューズメントポーカー＆ｂａｒ～祇園～稲荷～豊橋,アミュズメントポカｂａｒ祇園稲荷豊橋,
エッグノッグ,豊橋市忠興一丁目１０番地１１,愛知県,豊橋市忠興１丁目１０番地１１,,,飲食店営業(一般食堂・レストラン等),林　綾華,,,,2021/12/16,2021/12/16,豊橋市指令3豊保生第111－348号,,246,エッグノッグ,0532,,,,,愛知県　豊橋市忠興１丁目１０番地１１,愛知県豊橋市忠興１丁目１０番地１１,,117960,23,23201,忠興１,,2021/12/16,2021/12/16,,,,林　綾華 ,,,,,,,,,豊橋市指令3豊保生第111－348号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,エッグノッグ11796023201,764a17f4-8712-4caa-9000-6188192b018d,,personal,9cce5cdf-ea0c-42a0-90b4-3e24308b98f3,2021/12/16,エッグノッグ,エッグノッグ,
お食事処　カネツ,豊橋市石巻町字内屋敷３２番地,愛知県,豊橋市石巻町字内屋敷３２番地,,88-0310,飲食店営業(一般食堂・レストラン等),ファミリーショップ・カネツ有限会社,代表取締役,森北　章敬,88-0310,2013/9/18,2019/12/1,豊橋市指令1豊保生第102－161号,,246,お食事処　カネツ,0532,0532-88-0310,,,,愛知県　豊橋市石巻町字内屋敷３２番地,愛知県豊橋市石巻町字内屋敷３２番地,,117665,23,23201,石巻町,,2013/09/18,2019/12/01,,,ファミリーショップ・カネツ有限会社,森北　章敬,0532-88-0310,,,,,,,,豊橋市指令1豊保生第102－161号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,お食事処カネツ0532-88-031011766523201,1c70c472-31e2-4da3-8025-36c752ba109f,ファミリーショップ・カネツ有限会社,aacd1db5-c39d-41d0-91fb-86a3a55d3680,04061587-5e51-4f32-a293-bf27d6322c9f,2019/12/01,お食事処　カネツ,お食事処カネツ,ファミリーショップ・カネツ有限会社
カードショップ　トワイライト,豊橋市岩屋町字岩屋下６２番地１３  ドリームプラザ１階　１－Ｂ号室,愛知県,豊橋市岩屋町字岩屋下６２番地１３,ドリームプラザ１階 １－Ｂ号室,66-0188,飲食店営業(一般食堂・レストラン等),合同会社　匠コーポレーション,代表社員,渡邉　哲也,25-3286,2021/5/19,2021/5/19,豊橋市指令3豊保生第711－38号,,246,カードショップ　トワイライト,0532,0532-66-0188,,,,愛知県　豊橋市岩屋町字岩屋下６２番地１３,愛知県豊橋市岩屋町字岩屋下６２番地１３,ドリームプラザ１階 １－Ｂ号室,117680,23,23201,岩屋町,,2021/05/19,2021/05/19,,,合同会社　匠コーポレーション,渡邉　哲也,0532-25-3286,,,,,,,,豊橋市指令3豊保生第711－38号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,カドショップトワイライト0532-66-018811768023201,00246_5ddf12f7-77d2-4681-885c-60afb37c1158,合同会社匠コーポレーション,1522c08c-c921-4a48-ab91-e4ed4ada778e,58fb8759-17ec-4a42-8317-a1276b17b3a3,2021/05/19,カードショップ　トワイライト,カドショップトワイライト,合同会社匠コーポレーション
かき氷専門店　あんどりゅ。　豊橋店,豊橋市南大清水町字富士見７２２番地３,愛知県,豊橋市南大清水町字富士見７２２番地３,,,飲食店営業(一般食堂・レストラン等),ＫＩＡＲＡ合同会社,代表社員,藤野　真実,,2021/6/30,2021/6/30,豊橋市指令3豊保生第111－43号,,246,かき氷専門店　あんどりゅ。　豊橋店,0532,,,,,愛知県　豊橋市南大清水町字富士見７２２番地３,愛知県豊橋市南大清水町字富士見７２２番地３,,117920,23,23201,南大清水町,,2021/06/30,2021/06/30,,,ＫＩＡＲＡ合同会社,藤野　真実,,,,,,,,,豊橋市指令3豊保生第111－43号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,かき氷専門店あんどりゅ豊橋店11792023201,e68c43a7-adc2-4fad-8283-ddf4f69a521b,ＫＩＡＲＡ合同会社,48707742-c4ec-4068-ba1e-15ba68cb53d7,2463c695-ce68-40ef-9ed2-bf6658ee6b73,2021/06/30,かき氷専門店　あんどりゅ。　豊橋店,かき氷専門店あんどりゅ豊橋店,ＫＩＡＲＡ合同会社
かつ兆花田店,豊橋市花田町字荒木４３番地１,愛知県,豊橋市花田町字荒木４３番地１,,34-3515,飲食店営業(一般食堂・レストラン等),株式会社　甲羅,代表取締役,鈴木　雅貴,32-8880,2018/7/24,2018/7/24,豊橋市指令30豊保生第101－103号,,246,かつ兆花田店,0532,0532-34-3515,,,,愛知県　豊橋市花田町字荒木４３番地１,愛知県豊橋市花田町字荒木４３番地１,,117856,23,23201,花田町,,2018/07/24,2018/07/24,,,株式会社　甲羅,鈴木　雅貴,0532-32-8880,,,,,,,,豊橋市指令30豊保生第101－103号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,かつ兆花田店0532-34-351511785623201,5389c09c-acc7-46f9-8bed-5ce32a6818cd,株式会社甲羅,397411cf-2102-4eac-ba3f-575e4bb33b92,5ac6f649-2012-48bd-a87d-fce203c43d05,2018/07/24,かつ兆花田店,かつ兆花田店,株式会社甲羅
ゲンキー小鷹野店,豊橋市西小鷹野一丁目１番地１１,愛知県,豊橋市西小鷹野１丁目１番地１１,,39-3430,食肉販売業(一般),ゲンキー株式会社,代表取締役,藤永　賢一,0776-67-5240,2021/5/21,2021/5/21,豊橋市指令3豊保生第722－2号,,246,ゲンキー小鷹野店,0532,0532-39-3430,,,,愛知県　豊橋市西小鷹野１丁目１番地１１,愛知県豊橋市西小鷹野１丁目１番地１１,,117963,23,23201,西小鷹野１,,2021/05/21,2021/05/21,,,ゲンキー株式会社,藤永　賢一,0776-67-5240,,,,,,,,豊橋市指令3豊保生第722－2号,,食肉販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,583,,ゲンキ小鷹野店0532-39-343011796323201,00246_5c7be5b4-6159-4994-aef1-3179d4c62bcc,ゲンキー株式会社,153d1bf5-1a93-453c-8dcd-ee93fd70b844,5d5515b7-df69-446f-ba21-b4192745fc40,2021/05/21,ゲンキー小鷹野店,ゲンキ小鷹野店,ゲンキー株式会社
ゲンキー小鷹野店,豊橋市西小鷹野一丁目１番地１１,愛知県,豊橋市西小鷹野１丁目１番地１１,,39-3430,魚介類販売業(一般),ゲンキー株式会社,代表取締役,藤永　賢一,0776-67-5240,2021/5/21,2021/5/21,豊橋市指令3豊保生第724－1号,,246,ゲンキー小鷹野店,0532,0532-39-3430,,,,愛知県　豊橋市西小鷹野１丁目１番地１１,愛知県豊橋市西小鷹野１丁目１番地１１,,117963,23,23201,西小鷹野１,,2021/05/21,2021/05/21,,,ゲンキー株式会社,藤永　賢一,0776-67-5240,,,,,,,,豊橋市指令3豊保生第724－1号,,魚介類販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,,,ゲンキ小鷹野店0532-39-343011796323201,00246_5c7be5b4-6159-4994-aef1-3179d4c62bcc,ゲンキー株式会社,153d1bf5-1a93-453c-8dcd-ee93fd70b844,5e72d2fe-6da8-4850-8584-f3fade27ee07,2021/05/21,ゲンキー小鷹野店,ゲンキ小鷹野店,ゲンキー株式会社
コーミ株式会社　豊橋工場,豊橋市西山町字西山３４５番地,愛知県,豊橋市西山町字西山３４５番地,,21-2826,密封包装食品製造業,コーミ株式会社,代表取締役,川澄　亮太,052-931-2471,2021/6/29,2021/6/29,豊橋市指令3豊保生第140－1号,,246,コーミ株式会社　豊橋工場,0532,0532-21-2826,,,,愛知県　豊橋市西山町字西山３４５番地,愛知県豊橋市西山町字西山３４５番地,,117830,23,23201,西山町,,2021/06/29,2021/06/29,,,コーミ株式会社,川澄　亮太,052-931-2471,,,,,,,,豊橋市指令3豊保生第140－1号,,密封包装食品製造業,,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,コミ株式会社豊橋工場0532-21-282611783023201,00246_e46b0f5e-6e90-428a-955b-c8e79119d5f9,コーミ株式会社,116a2f61-da85-43c5-afc0-12b7e76c3c52,212a826a-3c0a-4f90-990e-de6a921cfebe,2021/06/29,コーミ株式会社豊橋工場,コミ株式会社豊橋工場,コーミ株式会社
サントアマロ株式会社,豊橋市南大清水町字藤ヶ谷２２３番地の２,愛知県,豊橋市南大清水町字藤ヶ谷２２３番地の２,,29-7065,乳製品製造業,サントアマロ株式会社,代表取締役,タチザワ　サウロ　ヒデキ,29-7065,2005/10/5,2018/4/1,豊橋市指令29豊保生第114－1号,,246,サントアマロ株式会社,0532,0532-29-7065,,,,愛知県　豊橋市南大清水町字藤ヶ谷２２３番地の２,愛知県豊橋市南大清水町字藤が谷２２３番地ノ２,,117920,23,23201,南大清水町,,2005/10/05,2018/04/01,,,サントアマロ株式会社,タチザワ　サウロ　ヒデキ,0532-29-7065,,,,,,,,豊橋市指令29豊保生第114－1号,,乳製品製造業,,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,サントアマロ株式会社0532-29-706511792023201,05df8d00-3c2f-4f02-8618-6010218b2006,サントアマロ株式会社,50a9cc5e-37f9-47aa-90a6-1922126ca98e,0d962d2a-79b4-412c-9c1e-4b5835d34c85,2018/04/01,サントアマロ株式会社,サントアマロ株式会社,サントアマロ株式会社
サントアマロ株式会社,豊橋市南大清水町字藤ヶ谷２２３番地の２,愛知県,豊橋市南大清水町字藤ヶ谷２２３番地の２,,29-7065,食肉処理業(一般),サントアマロ株式会社,代表取締役,タチザワ　サウロ　ヒデキ,29-7065,2001/12/21,2020/4/1,豊橋市指令1豊保生第120－9号,,246,サントアマロ株式会社,0532,0532-29-7065,,,,愛知県　豊橋市南大清水町字藤ヶ谷２２３番地の２,愛知県豊橋市南大清水町字藤が谷２２３番地ノ２,,117920,23,23201,南大清水町,,2001/12/21,2020/04/01,,,サントアマロ株式会社,タチザワ　サウロ　ヒデキ,0532-29-7065,,,,,,,,豊橋市指令1豊保生第120－9号,,食肉処理業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,A,1,,,サントアマロ株式会社0532-29-706511792023201,05df8d00-3c2f-4f02-8618-6010218b2006,サントアマロ株式会社,50a9cc5e-37f9-47aa-90a6-1922126ca98e,3cd214bc-08ce-4337-84e1-45716746b72f,2020/04/01,サントアマロ株式会社,サントアマロ株式会社,サントアマロ株式会社
サントアマロ株式会社,豊橋市南大清水町字藤ヶ谷２２３番地の２,愛知県,豊橋市南大清水町字藤ヶ谷２２３番地の２,,29-7065,食肉製品製造業,サントアマロ株式会社,代表取締役,タチザワ　サウロ　ヒデキ,29-7065,2001/12/21,2020/4/1,豊橋市指令1豊保生第124－2号,,246,サントアマロ株式会社,0532,0532-29-7065,,,,愛知県　豊橋市南大清水町字藤ヶ谷２２３番地の２,愛知県豊橋市南大清水町字藤が谷２２３番地ノ２,,117920,23,23201,南大清水町,,2001/12/21,2020/04/01,,,サントアマロ株式会社,タチザワ　サウロ　ヒデキ,0532-29-7065,,,,,,,,豊橋市指令1豊保生第124－2号,,食肉製品製造業,,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,サントアマロ株式会社0532-29-706511792023201,05df8d00-3c2f-4f02-8618-6010218b2006,サントアマロ株式会社,50a9cc5e-37f9-47aa-90a6-1922126ca98e,e830bf33-7326-4665-b2dc-b73607628b1c,2020/04/01,サントアマロ株式会社,サントアマロ株式会社,サントアマロ株式会社
スギドラッグ　井原店,豊橋市井原町２９番地の１,愛知県,豊橋市井原町２９番地の１,,69-3510,食肉販売業(一般),株式会社　スギ薬局,代表取締役,榊原　栄一,0562-45-2720,2021/5/7,2021/5/7,豊橋市指令3豊保生第722－1号,,246,スギドラッグ　井原店,0532,0532-69-3510,,,,愛知県　豊橋市井原町２９番地の１,愛知県豊橋市井原町２９番地ノ１,,117674,23,23201,井原町,,2021/05/07,2021/05/07,,,株式会社　スギ薬局,榊原　栄一,0562-45-2720,,,,,,,,豊橋市指令3豊保生第722－1号,,食肉販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,583,,スギドラッグ井原店0532-69-351011767423201,00246_f242710e-d6a3-4dfc-95c6-e6c36887b9eb,株式会社スギ薬局,fbe7ad4f-3a16-4add-bb6d-41fd98326a3f,62fc63c3-c296-45d1-abde-ea9bc2204342,2021/05/07,スギドラッグ　井原店,スギドラッグ井原店,株式会社スギ薬局
スターバックスコーヒー　豊橋柱店,豊橋市牟呂町字扇田５３番地１,愛知県,豊橋市牟呂町字扇田５３番地１,,,飲食店営業(一般食堂・レストラン等),スターバックスコーヒージャパン株式会社,代表取締役,水口　貴文,03-5745-5819,2021/6/30,2021/6/30,豊橋市指令3豊保生第111－30号,,246,スターバックスコーヒー　豊橋柱店,0532,,,,,愛知県　豊橋市牟呂町字扇田５３番地１,愛知県豊橋市牟呂町字扇田５３番地１,,117940,23,23201,牟呂町,,2021/06/30,2021/06/30,,,スターバックスコーヒージャパン株式会社,水口　貴文,03-5745-5819,,,,,,,,豊橋市指令3豊保生第111－30号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,スタバックスコヒ豊橋柱店11794023201,14134c58-886d-480c-b005-ec1c6d129233,スターバックスコーヒージャパン株式会社,6eed61c8-84f3-4c9c-8785-99e8d6d74260,8524a98f-54da-4511-b8f6-87fdcd096dc8,2021/06/30,スターバックスコーヒー　豊橋柱店,スタバックスコヒ豊橋柱店,スターバックスコーヒージャパン株式会社
スナック　サファイア,豊橋市牛川通一丁目１９番地９,愛知県,豊橋市牛川通１丁目１９番地９,,62-8800,飲食店営業(その他),丸山　妙子,,,,2021/5/6,2021/5/6,豊橋市指令3豊保生第711－29号,,246,スナック　サファイア,0532,0532-62-8800,,,,愛知県　豊橋市牛川通１丁目１９番地９,愛知県豊橋市牛川通１丁目１９番地９,,117955,23,23201,牛川通１,,2021/05/06,2021/05/06,,,,丸山　妙子 ,,,,,,,,,豊橋市指令3豊保生第711－29号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,スナックサファイア0532-62-880011795523201,00246_8c324689-b05e-46da-ad2e-ed60ad848cb5,,personal,cd7d247d-a49c-4e7d-ae60-cbaef45feebe,2021/05/06,スナック　サファイア,スナックサファイア,
たつみストアー　二川店,豊橋市大脇町字大脇３６番地２,愛知県,豊橋市大脇町字大脇３６番地２,,41-6215,菓子製造業(一般),たつみストアー株式会社,代表取締役,大久保　守晃,31-8199,2021/6/7,2021/6/7,豊橋市指令3豊保生第121－2号,,246,たつみストアー　二川店,0532,0532-41-6215,,,,愛知県　豊橋市大脇町字大脇３６番地２,愛知県豊橋市大脇町字大脇３６番地２,,117707,23,23201,大脇町,,2021/06/07,2021/06/07,,,たつみストアー株式会社,大久保　守晃,0532-31-8199,,,,,,,,豊橋市指令3豊保生第121－2号,,菓子製造業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,たつみストア二川店0532-41-621511770723201,00246_27642683-e9b4-4a02-b1d8-2f6cea67e7cb,たつみストアー株式会社,2f711f08-4bce-46d6-b617-31025f47d16d,ca33234d-8817-49d7-b741-3106f1a77320,2021/06/07,たつみストアー　二川店,たつみストア二川店,たつみストアー株式会社
チーズの海に溺れたい,豊橋市松葉町三丁目１０１  １階、２階西側部分,愛知県,豊橋市松葉町３丁目１０１,１階、２階西側部分,,飲食店営業(一般食堂・レストラン等),合同会社　ＦＨＫ,代表社員,新井　弘斗,,2020/5/25,2020/5/25,豊橋市指令2豊保生第101－5号,,246,チーズの海に溺れたい,0532,,,,,愛知県　豊橋市松葉町３丁目１０１,愛知県豊橋市松葉町３丁目１０１,１階、２階西側部分,117911,23,23201,松葉町３,,2020/05/25,2020/05/25,,,合同会社　ＦＨＫ,新井　弘斗,,,,,,,,,豊橋市指令2豊保生第101－5号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,チズの海に溺れたい11791123201,811a3448-0cc1-4035-bf7f-c3f083efa47f,合同会社ＦＨＫ,4d6b9015-4fc7-404c-a45b-0342a4ef1236,ac01908e-14f7-4dbe-8890-b8125d3c653c,2020/05/25,チーズの海に溺れたい,チズの海に溺れたい,合同会社ＦＨＫ
トモ愛知　豊橋医療センター,豊橋市飯村町字浜道上５０番地,愛知県,豊橋市飯村町字浜道上５０番地,,51-5640,飲食店営業(集団給食施設),株式会社　トモ愛知,代表取締役,岩崎　一郎,0562-55-4800,2021/5/24,2021/5/24,豊橋市指令3豊保生第711－43号,,246,トモ愛知　豊橋医療センター,0532,0532-51-5640,,,,愛知県　豊橋市飯村町字浜道上５０番地,愛知県豊橋市飯村町字浜道上５０番地,,117676,23,23201,飯村町,,2021/05/24,2021/05/24,,,株式会社　トモ愛知,岩崎　一郎,0562-55-4800,,,,,,,,豊橋市指令3豊保生第711－43号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,トモ愛知豊橋医療センタ0532-51-564011767623201,00246_52ec4921-4d1e-4536-ab72-61392604025e,株式会社トモ愛知,59fb62c1-e7ff-4e99-a582-d008fe06c0de,0466b77d-140f-4119-b687-0b8fcda6706a,2021/05/24,トモ愛知　豊橋医療センター,トモ愛知豊橋医療センタ,株式会社トモ愛知
