https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,施設名,施設-住所1,施設-マンション名,申請者1,申請者2,申請者3,申請-住所1,申請-マンション名,施設-電話番号1,許可期間開始日,許可期間終了日,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,営業の種類,施設の名称,施設所在地,施設所在地ビル名,営業者氏名,代表者肩書き,代表者氏名,営業者住所,営業者住所ビル名,施設電話番号,有効期間始期,有効期間終期,許可年月日,初回許可日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3令豊保衛第125-7号,そうざい製造業,花の木,豊田市富岡町花ノ木１番地,,有限会社　花の木,代表取締役,安藤　鎗一,愛知県豊田市富岡町花ノ木１番地,,62-0190,2021/12/6,2027/12/31,2021/12/6,2021/12/6,,248,花の木,0565,0565-62-0190,,,,豊田市富岡町花ノ木１番地,愛知県豊田市富岡町花ノ木１番地,,124614,23,23211,富岡町,,2021/12/06,2021/12/06,2021/12/06,2027/12/31,有限会社　花の木,代表取締役 安藤　鎗一,,愛知県豊田市富岡町花ノ木１番地,愛知県豊田市富岡町花ノ木１番地,,124614,愛知県,豊田市,富岡町,3令豊保衛第125-7号,,そうざい製造業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,,,花の木0565-62-019012461423211,4957f74b-b925-4553-a9a1-99b9e14401e9,有限会社花の木124614,e20ff9a8-314f-4f4c-b7f1-273bd4610d89,fdbd96a1-a6e2-4114-a99b-3bfb026deb6e,2021/12/06,花の木,花の木,有限会社花の木
3令豊保衛第101-440号,飲食店営業,テラコッタ,豊田市富岡町日向１６－１,,河合　昭王,,,,,62-0206,2021/12/6,2026/12/31,2021/12/6,2021/12/6,,248,テラコッタ,0565,0565-62-0206,,,,豊田市富岡町日向１６－１,愛知県豊田市富岡町日向１６－１,,124614,23,23211,富岡町,,2021/12/06,2021/12/06,2021/12/06,2026/12/31,,河合　昭王  ,,,,,,,,,3令豊保衛第101-440号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,テラコッタ0565-62-020612461423211,5da0d69b-8c72-40a9-8453-75e43772b213,,personal,b3ddb4e8-9b2e-47d8-b09b-b7469619b78a,2021/12/06,テラコッタ,テラコッタ,
3令豊保衛第101-432号,飲食店営業,カノンファーマーズパーラー,豊田市高崎町兼近７０番地,豊田市公設地方卸売市場１階,ＥＬＥＣ　ＰＬＵＳ株式会社,代表取締役,鏡味　徹也,愛知県豊田市広久手町五丁目２８番地７,,,2021/12/3,2027/12/31,2021/12/3,2021/12/3,,248,カノンファーマーズパーラー,0565,,,,,豊田市高崎町兼近７０番地,愛知県豊田市高崎町兼近７０番地,,123713,23,23211,高崎町兼近,,2021/12/03,2021/12/03,2021/12/03,2027/12/31,ＥＬＥＣ　ＰＬＵＳ株式会社,代表取締役 鏡味　徹也,,愛知県豊田市広久手町五丁目２８番地７,愛知県豊田市広久手町５丁目２８番地７,,124055,愛知県,豊田市,広久手町５,3令豊保衛第101-432号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,カノンファマズパラ12371323211,3f05b6d9-6342-4e93-8c2c-0bc1ee46830c,ＥＬＥＣ　ＰＬＵＳ株式会社124055,e86c5261-3d44-40f5-ab6b-aa962d72be5f,dc54980c-7005-4049-bea5-e0c6dbf9d267,2021/12/03,カノンファーマーズパーラー,カノンファマズパラ,ＥＬＥＣ　ＰＬＵＳ株式会社
3令豊保衛第101-435号,飲食店営業,トヨタ自動車株式会社　テクニカルセンター下山　事務棟食堂,豊田市下山田代町後山下切１番地１,,トヨタ生活協同組合,代表理事,加藤　昭夫,愛知県豊田市豊栄町二丁目１１１番地,,90-3750,2021/12/3,2027/12/31,2021/12/3,2021/12/3,,248,トヨタ自動車株式会社　テクニカルセンター下山　事務棟食堂,0565,0565-90-3750,,,,豊田市下山田代町後山下切１番地１,愛知県豊田市下山田代町後山下切１番地１,,124580,23,23211,下山田代町,,2021/12/03,2021/12/03,2021/12/03,2027/12/31,トヨタ生活協同組合,代表理事 加藤　昭夫,,愛知県豊田市豊栄町二丁目１１１番地,愛知県豊田市豊栄町２丁目１１１番地,,124125,愛知県,豊田市,豊栄町２,3令豊保衛第101-435号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,トヨタ自動車株式会社テクニカルセンタ下山事務棟食堂0565-90-375012458023211,edea17d8-6761-4416-8117-5c061daa3cca,トヨタ生活協同組合124125,b628994f-b8f0-44af-b067-d79e1971de49,2eda9934-2842-4a99-8440-a93fe9fc1883,2021/12/03,トヨタ自動車株式会社テクニカルセンター下山　事務棟食堂,トヨタ自動車株式会社テクニカルセンタ下山事務棟食堂,トヨタ生活協同組合
3令豊保衛第101-422号,飲食店営業,アージェントパルム,豊田市喜多町５－６０,,株式会社　ブラス,代表取締役,河合　達明,名古屋市中村区名駅二丁目３６番２０号,,31-2020,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,アージェントパルム,0565,0565-31-2020,,,,豊田市喜多町５－６０,愛知県豊田市喜多町５－６０,,123411,23,23211,喜多町５,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,株式会社　ブラス,代表取締役 河合　達明,,名古屋市中村区名駅二丁目３６番２０号,愛知県名古屋市中村区名駅２丁目３６番２０号,,114782,愛知県,名古屋市中村区,名駅２,3令豊保衛第101-422号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,アジェントパルム0565-31-202012341123211,3b4620f4-31da-4d19-996f-0d46826c8267,株式会社ブラス114782,3d1e3e67-a7db-4f6e-a803-9ee71fcb0010,26f3c82b-dc4c-450c-bea4-b757105d553c,2021/12/02,アージェントパルム,アジェントパルム,株式会社ブラス
3令豊保衛第101-399号,飲食店営業,ホテルルートイン　豊田陣中,豊田市陣中町二丁目１８－１３,,ルートインジャパン　株式会社,代表取締役,永山　泰樹,東京都品川区大井一丁目３５番３号,,36-4511,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,ホテルルートイン　豊田陣中,0565,0565-36-4511,,,,豊田市陣中町二丁目１８－１３,愛知県豊田市陣中町２丁目１８－１３,,123656,23,23211,陣中町２,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,ルートインジャパン　株式会社,代表取締役 永山　泰樹,,東京都品川区大井一丁目３５番３号,東京都品川区大井１丁目３５番３号,,73766,東京都,品川区,大井１,3令豊保衛第101-399号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,ホテルルトイン豊田陣中0565-36-451112365623211,1223ba91-e731-416c-afc2-a4ada9bd45aa,ルートインジャパン　株式会社73766,179caa36-6790-4445-bb39-b05b48d2f78d,e231249f-36aa-41d7-ad03-135cf63c999e,2021/12/02,ホテルルートイン　豊田陣中,ホテルルトイン豊田陣中,ルートインジャパン　株式会社
3令豊保衛第101-380号,飲食店営業,清,豊田市月見町２丁目１番地１,,二村　靖章,,,,,32-4986,2021/12/2,2026/12/31,2021/12/2,2021/12/2,,248,清,0565,0565-32-4986,,,,豊田市月見町２丁目１番地１,愛知県豊田市月見町２丁目１番地１,,123786,23,23211,月見町２,,2021/12/02,2021/12/02,2021/12/02,2026/12/31,,二村　靖章  ,,,,,,,,,3令豊保衛第101-380号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,清0565-32-498612378623211,eb4cb62f-713a-4b58-b9a9-777066b59e9a,,personal,f6007db9-4ede-4700-9e8a-058008bc618b,2021/12/02,清,清,
3令豊保衛第101-433号,飲食店営業,ファミリーマート　エスタシオ　名鉄豊田市駅店,豊田市若宮町１－３５,（豊田市駅（２Ｆ）構内）,名鉄産業株式会社,代表取締役,林　裕二,名古屋市南区前浜通七丁目２８番地,,36-4066,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,ファミリーマート　エスタシオ　名鉄豊田市駅店,0565,0565-36-4066,,,,豊田市若宮町１－３５,愛知県豊田市若宮町１－３５,,124408,23,23211,若宮町１,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,名鉄産業株式会社,代表取締役 林　裕二,,名古屋市南区前浜通七丁目２８番地,愛知県名古屋市南区前浜通７丁目２８番地,,116840,愛知県,名古屋市南区,前浜通７,3令豊保衛第101-433号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,ファミリマトエスタシオ名鉄豊田市駅店0565-36-406612440823211,5467ee6c-b093-4985-bd3a-073d351f57d7,名鉄産業株式会社116840,d8a8e900-3902-412e-8c99-c3a6fff00f0e,e475b9a4-0f7d-44c5-998d-713cd009e270,2021/12/02,ファミリーマート　エスタシオ　名鉄豊田市駅店,ファミリマトエスタシオ名鉄豊田市駅店,名鉄産業株式会社
3令豊保衛第101-392号,飲食店営業,居酒屋　ちいちゃん,豊田市小川町一丁目１４番地　　,川澄荘　３号,長石　康,,,,,31-1887,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,居酒屋　ちいちゃん,0565,0565-31-1887,,,,豊田市小川町一丁目１４番地　　,愛知県豊田市小川町１丁目１４番地,,123197,23,23211,小川町１,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,長石　康  ,,,,,,,,,3令豊保衛第101-392号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,居酒屋ちいちゃん0565-31-188712319723211,42d115a0-75ba-4d7e-aaa2-9356639e4fe3,,personal,947314dc-0c53-4118-bdbd-207d9d576f9c,2021/12/02,居酒屋　ちいちゃん,居酒屋ちいちゃん,
3令豊保衛第101-409号,飲食店営業,スナック華咲,豊田市神田町２－５－２,,河村　みさき,,,,,33-0150,2021/12/2,2026/12/31,2021/12/2,2021/12/2,,248,スナック華咲,0565,0565-33-0150,,,,豊田市神田町２－５－２,愛知県豊田市神田町２－５－２,,123403,23,23211,神田町２,,2021/12/02,2021/12/02,2021/12/02,2026/12/31,,河村　みさき  ,,,,,,,,,3令豊保衛第101-409号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,スナック華咲0565-33-015012340323211,72661d25-3577-4037-90fb-5d7907994ef9,,personal,3602c807-7953-4c5b-bd53-41cf4a8c3c38,2021/12/02,スナック華咲,スナック華咲,
3令豊保衛第101-374号,飲食店営業,スナック　エルメス,豊田市小坂町４－１３－１,,小川　ひふみ,,,,,42-6797,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,スナック　エルメス,0565,0565-42-6797,,,,豊田市小坂町４－１３－１,愛知県豊田市小坂町４－１３－１,,123442,23,23211,小坂町４,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,小川　ひふみ  ,,,,,,,,,3令豊保衛第101-374号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,スナックエルメス0565-42-679712344223211,c3ed00a0-122d-462f-8d6d-92e6611b6c0a,,personal,280e65ac-6675-405d-83fb-9cd3ed016cb8,2021/12/02,スナック　エルメス,スナックエルメス,
3令豊保衛第101-400号,飲食店営業,童子苑　,豊田市小坂本町８丁目５番地１,,豊田市　　　　　　　,市長,太田　稔彦,愛知県豊田市西町３丁目６０番地,,34-6748,2021/12/2,2026/12/31,2021/12/2,2021/12/2,,248,童子苑　,0565,0565-34-6748,,,,豊田市小坂本町８丁目５番地１,愛知県豊田市小坂本町８丁目５番地１,,123462,23,23211,小坂本町８,,2021/12/02,2021/12/02,2021/12/02,2026/12/31,豊田市市長,太田　稔彦,,愛知県豊田市西町３丁目６０番地,愛知県豊田市西町３丁目６０番地,,123912,愛知県,豊田市,西町３,3令豊保衛第101-400号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,童子苑0565-34-674812346223211,bffa0b9a-398f-44c5-b95b-dd446eda7b52,123912,1fd256f3-4c83-46c4-867d-bbda28ffd276,5f98346f-74bb-4644-b638-2645e22fbbb5,2021/12/02,童子苑　,童子苑,
3令豊保衛第151-33号,飲食店営業,えぷろん生鮮館　リブレ元宮店,豊田市元宮町二丁目１１番地,,えぷろんフーズ　株式会社,代表取締役,河合　岳史,愛知県豊田市宮上町三丁目３９番地３,,37-8833,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,えぷろん生鮮館　リブレ元宮店,0565,0565-37-8833,,,,豊田市元宮町二丁目１１番地,愛知県豊田市元宮町２丁目１１番地,,124354,23,23211,元宮町２,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,えぷろんフーズ　株式会社,代表取締役 河合　岳史,,愛知県豊田市宮上町三丁目３９番地３,愛知県豊田市宮上町３丁目３９番地３,,124289,愛知県,豊田市,宮上町３,3令豊保衛第151-33号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,えぷろん生鮮館リブレ元宮店0565-37-883312435423211,250c70a2-ac8d-4e01-aa4f-81231cab3158,えぷろんフーズ　株式会社124289,0f5f12a2-a7af-4817-926e-dd8daf396fd9,73b0e449-261b-414d-8b6f-d29432d67cb0,2021/12/02,えぷろん生鮮館　リブレ元宮店,えぷろん生鮮館リブレ元宮店,えぷろんフーズ　株式会社
3令豊保衛第153-10号,食肉販売業,えぷろん生鮮館　リブレ元宮店,豊田市元宮町二丁目１１番地,,えぷろんフーズ　株式会社,代表取締役,河合　岳史,愛知県豊田市宮上町三丁目３９番地３,,37-8833,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,えぷろん生鮮館　リブレ元宮店,0565,0565-37-8833,,,,豊田市元宮町二丁目１１番地,愛知県豊田市元宮町２丁目１１番地,,124354,23,23211,元宮町２,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,えぷろんフーズ　株式会社,代表取締役 河合　岳史,,愛知県豊田市宮上町三丁目３９番地３,愛知県豊田市宮上町３丁目３９番地３,,124289,愛知県,豊田市,宮上町３,3令豊保衛第153-10号,,食肉販売業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,I,58,583,,えぷろん生鮮館リブレ元宮店0565-37-883312435423211,250c70a2-ac8d-4e01-aa4f-81231cab3158,えぷろんフーズ　株式会社124289,0f5f12a2-a7af-4817-926e-dd8daf396fd9,9d902d2a-25a9-47e7-aa98-e984f3631a30,2021/12/02,えぷろん生鮮館　リブレ元宮店,えぷろん生鮮館リブレ元宮店,えぷろんフーズ　株式会社
3令豊保衛第154-8号,魚介類販売業,えぷろん生鮮館　リブレ元宮店,豊田市元宮町二丁目１１番地,,えぷろんフーズ　株式会社,代表取締役,河合　岳史,愛知県豊田市宮上町三丁目３９番地３,,37-8833,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,えぷろん生鮮館　リブレ元宮店,0565,0565-37-8833,,,,豊田市元宮町二丁目１１番地,愛知県豊田市元宮町２丁目１１番地,,124354,23,23211,元宮町２,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,えぷろんフーズ　株式会社,代表取締役 河合　岳史,,愛知県豊田市宮上町三丁目３９番地３,愛知県豊田市宮上町３丁目３９番地３,,124289,愛知県,豊田市,宮上町３,3令豊保衛第154-8号,,魚介類販売業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,I,58,,,えぷろん生鮮館リブレ元宮店0565-37-883312435423211,250c70a2-ac8d-4e01-aa4f-81231cab3158,えぷろんフーズ　株式会社124289,0f5f12a2-a7af-4817-926e-dd8daf396fd9,547ec94f-c946-43df-88f4-42e4b373ff02,2021/12/02,えぷろん生鮮館　リブレ元宮店,えぷろん生鮮館リブレ元宮店,えぷろんフーズ　株式会社
3令豊保衛第161-19号,菓子製造業,えぷろん生鮮館　リブレ元宮店,豊田市元宮町二丁目１１番地,,えぷろんフーズ　株式会社,代表取締役,河合　岳史,愛知県豊田市宮上町三丁目３９番地３,,37-8833,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,えぷろん生鮮館　リブレ元宮店,0565,0565-37-8833,,,,豊田市元宮町二丁目１１番地,愛知県豊田市元宮町２丁目１１番地,,124354,23,23211,元宮町２,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,えぷろんフーズ　株式会社,代表取締役 河合　岳史,,愛知県豊田市宮上町三丁目３９番地３,愛知県豊田市宮上町３丁目３９番地３,,124289,愛知県,豊田市,宮上町３,3令豊保衛第161-19号,,菓子製造業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,,,えぷろん生鮮館リブレ元宮店0565-37-883312435423211,250c70a2-ac8d-4e01-aa4f-81231cab3158,えぷろんフーズ　株式会社124289,0f5f12a2-a7af-4817-926e-dd8daf396fd9,63750d38-6d7a-44fd-ad05-b76e8fe38e62,2021/12/02,えぷろん生鮮館　リブレ元宮店,えぷろん生鮮館リブレ元宮店,えぷろんフーズ　株式会社
3令豊保衛第101-418号,飲食店営業,トヨタ自動車株式会社　技術本館４Ｆ食堂,豊田市トヨタ町５番地,技術本館４階,トヨタ生活協同組合,代表理事,加藤　昭夫,愛知県豊田市豊栄町二丁目１１１番地,,,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,トヨタ自動車株式会社　技術本館４Ｆ食堂,0565,,,,,豊田市トヨタ町５番地,愛知県豊田市トヨタ町５番地,,123870,23,23211,トヨタ町,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,トヨタ生活協同組合,代表理事 加藤　昭夫,,愛知県豊田市豊栄町二丁目１１１番地,愛知県豊田市豊栄町２丁目１１１番地,,124125,愛知県,豊田市,豊栄町２,3令豊保衛第101-418号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,トヨタ自動車株式会社技術本館４Ｆ食堂12387023211,9d68bf39-2be4-49a0-bc23-2baa3793fc54,トヨタ生活協同組合124125,b628994f-b8f0-44af-b067-d79e1971de49,8009c783-9a25-46ad-ae0d-cdf9b8016213,2021/12/02,トヨタ自動車株式会社技術本館４Ｆ食堂,トヨタ自動車株式会社技術本館４Ｆ食堂,トヨタ生活協同組合
3令豊保衛第101-419号,飲食店営業,トヨタ自動車株式会社技術本館１４Ｆ食堂,豊田市トヨタ町５番地,技術本館１４階,トヨタ生活協同組合,代表理事,加藤　昭夫,愛知県豊田市豊栄町二丁目１１１番地,,,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,トヨタ自動車株式会社技術本館１４Ｆ食堂,0565,,,,,豊田市トヨタ町５番地,愛知県豊田市トヨタ町５番地,,123870,23,23211,トヨタ町,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,トヨタ生活協同組合,代表理事 加藤　昭夫,,愛知県豊田市豊栄町二丁目１１１番地,愛知県豊田市豊栄町２丁目１１１番地,,124125,愛知県,豊田市,豊栄町２,3令豊保衛第101-419号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,トヨタ自動車株式会社技術本館１４Ｆ食堂12387023211,f424e450-1a4a-4988-909c-f300022fd63e,トヨタ生活協同組合124125,b628994f-b8f0-44af-b067-d79e1971de49,6788d24f-157e-4b81-995c-601d574b389d,2021/12/02,トヨタ自動車株式会社技術本館１４Ｆ食堂,トヨタ自動車株式会社技術本館１４Ｆ食堂,トヨタ生活協同組合
3令豊保衛第101-417号,飲食店営業,珈琲　遇暖　豊田丸山店,豊田市丸山町３丁目４２番１,,株式会社　イトウ珈琲商会,代表取締役,伊藤　太一,名古屋市東区泉一丁目７番２５号,,63-5245,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,珈琲　遇暖　豊田丸山店,0565,0565-63-5245,,,,豊田市丸山町３丁目４２番１,愛知県豊田市丸山町３丁目４２番１,,124241,23,23211,丸山町３,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,株式会社　イトウ珈琲商会,代表取締役 伊藤　太一,,名古屋市東区泉一丁目７番２５号,愛知県名古屋市東区泉１丁目７番２５号,,113834,愛知県,名古屋市東区,泉１,3令豊保衛第101-417号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,珈琲遇暖豊田丸山店0565-63-524512424123211,28492388-e903-49ba-8a16-0f99ede83cb3,株式会社イトウ珈琲商会113834,6c46db9e-4fb1-423b-832c-da3462cf2af9,bfd3de3a-2469-4403-90a6-2a1eb882c566,2021/12/02,珈琲　遇暖　豊田丸山店,珈琲遇暖豊田丸山店,株式会社イトウ珈琲商会
3令豊保衛第101-401号,飲食店営業,ピザーラ　豊田南店、ビバ・パエリア　豊田南店,豊田市山之手８－８９,グランディールＴＡＧＵＣＨＩ　１Ｃ,株式会社　フォーシーズ,代表取締役,浅野　秀則,東京都港区南青山５丁目１２番４号,全菓連ビル７Ｆ,0565-27-8100,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,ピザーラ　豊田南店、ビバ・パエリア　豊田南店,0565,0565-27-8100,,,,豊田市山之手８－８９,愛知県豊田市山ノ手８－８９,グランディールＴＡＧＵＣＨＩ　１Ｃ,124390,23,23211,山ノ手８,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,株式会社　フォーシーズ,代表取締役 浅野　秀則,,東京都港区南青山５丁目１２番４号,東京都港区南青山５丁目１２番４号,全菓連ビル７Ｆ,73141,東京都,港区,南青山５,3令豊保衛第101-401号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,ピザラ豊田南店ビバパエリア豊田南店0565-27-810012439023211,82259e03-ce72-4637-9127-9cd8095decbd,株式会社フォーシーズ73141,c5fbb3a3-9b5e-4467-bbde-08af8c60b4da,4afa6e19-2c2e-400d-9959-e4d471721b2c,2021/12/02,ピザーラ　豊田南店、ビバ・パエリア　豊田南店,ピザラ豊田南店ビバパエリア豊田南店,株式会社フォーシーズ
3令豊保衛第101-385号,飲食店営業,紅葉,豊田市市木町３丁目２－３,,趙　東,,,,,89-3156,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,紅葉,0565,0565-89-3156,,,,豊田市市木町３丁目２－３,愛知県豊田市市木町３丁目２－３,,122978,23,23211,市木町３,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,趙　東  ,,,,,,,,,3令豊保衛第101-385号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,紅葉0565-89-315612297823211,aee2914f-08e5-4f1a-85f2-ffce0fbbd4ea,,personal,0e7986d4-ce8c-454b-a175-2dd5a608f818,2021/12/02,紅葉,紅葉,
3令豊保衛第101-425号,飲食店営業,豊田スタジアム　スポーツプラザショップ,豊田市千石町７丁目２番地,豊田スタジアム　地下１階,株式会社　豊田スタジアム,代表取締役,山本　秀樹,愛知県豊田市千石町七丁目２番地,,87-5200,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,豊田スタジアム　スポーツプラザショップ,0565,0565-87-5200,,,,豊田市千石町７丁目２番地,愛知県豊田市千石町７丁目２番地,,123682,23,23211,千石町７,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,株式会社　豊田スタジアム,代表取締役 山本　秀樹,,愛知県豊田市千石町七丁目２番地,愛知県豊田市千石町７丁目２番地,,123682,愛知県,豊田市,千石町７,3令豊保衛第101-425号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,豊田スタジアムスポツプラザショップ0565-87-520012368223211,8727cb5e-4386-4f3e-94de-93648c3c9fa7,株式会社豊田スタジアム123682,1310deff-7b7d-46a6-9f98-332e39c22488,f31490b9-724b-4acb-b48f-3078daba59d6,2021/12/02,豊田スタジアム　スポーツプラザショップ,豊田スタジアムスポツプラザショップ,株式会社豊田スタジアム
3令豊保衛第101-404号,飲食店営業,凛,豊田市若林東町新屋敷１２,,国井　千代子,,,,,,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,凛,0565,,,,,豊田市若林東町新屋敷１２,愛知県豊田市若林東町新屋敷１２,,124407,23,23211,若林東町,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,国井　千代子  ,,,,,,,,,3令豊保衛第101-404号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,凛12440723211,f1dded5b-66f8-4b97-90e8-48cc8e2db162,,personal,dfba328d-3658-4294-a2ab-bba892b9e3eb,2021/12/02,凛,凛,
3令豊保衛第101-429号,飲食店営業,エヌエスディ株式会社篠原工場社員食堂,豊田市篠原町霧山２－９,,日本ケータリング株式会社,代表取締役,一ノ宮　光,愛知県尾張旭市庄中町二丁目１３番地２,,48-4531,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,エヌエスディ株式会社篠原工場社員食堂,0565,0565-48-4531,,,,豊田市篠原町霧山２－９,愛知県豊田市篠原町霧山２－９,,123557,23,23211,篠原町,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,日本ケータリング株式会社,代表取締役 一ノ宮　光,,愛知県尾張旭市庄中町二丁目１３番地２,愛知県尾張旭市庄中町２丁目１３番地２,,129730,愛知県,尾張旭市,庄中町２,3令豊保衛第101-429号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,エヌエスディ株式会社篠原工場社員食堂0565-48-453112355723211,c2d05e91-7e07-41a1-ad13-c15906451311,日本ケータリング株式会社129730,1d401874-4bd5-4c7f-b604-9fdc2ccd0aee,363607fd-4d4a-4ea2-ba6a-36dfdbd92250,2021/12/02,エヌエスディ株式会社篠原工場社員食堂,エヌエスディ株式会社篠原工場社員食堂,日本ケータリング株式会社
3令豊保衛第151-35号,飲食店営業,株式会社　フォックスマート,豊田市保見ケ丘五丁目１番地,,株式会社　フォックスマート,代表取締役,小野　常夫,愛知県豊田市保見ケ丘五丁目１番地,,43-3015,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,株式会社　フォックスマート,0565,0565-43-3015,,,,豊田市保見ケ丘五丁目１番地,愛知県豊田市保見が丘５丁目１番地,,124430,23,23211,保見が丘５,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,株式会社　フォックスマート,代表取締役 小野　常夫,,愛知県豊田市保見ケ丘五丁目１番地,愛知県豊田市保見が丘５丁目１番地,,124430,愛知県,豊田市,保見が丘５,3令豊保衛第151-35号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,株式会社フォックスマト0565-43-301512443023211,868f8c42-cb0c-4458-a570-4b5d489ba834,株式会社フォックスマート124430,b6804d60-f07a-4026-970e-05597c9d96fc,64cbecae-226b-4696-ac72-0b4388639094,2021/12/02,株式会社フォックスマート,株式会社フォックスマト,株式会社フォックスマート
