11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＫＩＴＣＨＥＮ　ＳＴＵＤＩＯ　ＪＡＭＭＩＮＧ,,        ,宜野湾市大謝名１－１２－２,天久学店舗１０３,              ,そうざい製造業,そうざい製造業,徳村寛達,,R04.06.15,R04.06.15,第03202200398号,,中部保健所,ＫＩＴＣＨＥＮ　ＳＴＵＤＩＯ　ＪＡＭＭＩＮＧ,098,,        ,,,宜野湾市大謝名１－１２－２,沖縄県宜野湾市大謝名１－１２－２,天久学店舗１０３,215553,沖縄県,宜野湾市,大謝名１,,2022/06/15,2022/06/15,,,,,,,,,,,,,第03202200398号,,そうざい製造業, そうざい製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＫＩＴＣＨＥＮ　ＳＴＵＤＩＯ　ＪＡＭＭＩＮＧ,ＫＩＴＣＨＥＮＳＴＵＤＩＯＪＡＭＭＩＮＧ,,,2,,,,,
ＫＩＴＣＨＥＮ　ＳＴＵＤＩＯ　ＪＡＭＭＩＮＧ,,        ,宜野湾市大謝名１－１２－２,天久学店舗１０３,              ,飲食店営業,仕出し屋,徳村寛達,,R04.06.15,R04.06.15,第03202200399号,,中部保健所,ＫＩＴＣＨＥＮ　ＳＴＵＤＩＯ　ＪＡＭＭＩＮＧ,098,,        ,,,宜野湾市大謝名１－１２－２,沖縄県宜野湾市大謝名１－１２－２,天久学店舗１０３,215553,沖縄県,宜野湾市,大謝名１,,2022/06/15,2022/06/15,,,,,,,,,,,,,第03202200399号,,飲食店営業, 仕出し屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＫＩＴＣＨＥＮ　ＳＴＵＤＩＯ　ＪＡＭＭＩＮＧ,ＫＩＴＣＨＥＮＳＴＵＤＩＯＪＡＭＭＩＮＧ,,,2,,,,,
カフェ　ビ・クレア　胡屋店,,904-0021,沖縄市胡屋３－６－２６,（１Ｆ）,098-930-0514  ,飲食店営業,レストラン,知念豊光,,R04.06.15,R04.06.15,第03202200400号,,中部保健所,カフェ　ビ・クレア　胡屋店,098,098-930-0514,904-0021,,,沖縄市胡屋３－６－２６,沖縄県沖縄市胡屋３－６－２６,（１Ｆ）,215869,沖縄県,沖縄市,胡屋３,,2022/06/15,2022/06/15,,,,,,,,,,,,,第03202200400号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,カフェ　ビ・クレア　胡屋店,カフェビクレア胡屋店,,,1,,,,,
大東寿司　まる,,901-2321,北中城村美崎９６,５号室,              ,そうざい製造業,そうざい製造業,大城浩美,,R04.06.15,R04.06.15,第03202200404号,,中部保健所,大東寿司　まる,098,,901-2321,,,北中城村美崎９６,沖縄県中頭郡北中城村美崎９６,５号室,701999,沖縄県,中頭郡北中城村,美崎,,2022/06/15,2022/06/15,,,,,,,,,,,,,第03202200404号,,そうざい製造業, そうざい製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,大東寿司　まる,大東寿司まる,,,1,,,,,
バルコラボ　グランデ　中城店,,901-2424,中城村南上原８２３－４,,098-988-3381  ,飲食店営業,レストラン,株式会社Ｏｎｅｌｉｍｉｔｅｄ,              ,R04.06.17,R04.06.17,第03202200409号,,中部保健所,バルコラボ　グランデ　中城店,098,098-988-3381,901-2424,,,中城村南上原８２３－４,沖縄県中頭郡中城村南上原８２３－４,,216312,沖縄県,中頭郡中城村,南上原,,2022/06/17,2022/06/17,,,株式会社Ｏｎｅｌｉｍｉｔｅｄ,,-undefined-    ,,,,,,,,第03202200409号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,バルコラボ　グランデ　中城店,バルコラボグランデ中城店,株式会社Ｏｎｅｌｉｍｉｔｅｄ,,1,,,,,
カフェ　つちなる,,904-0326,読谷村渡慶次１１８３－１,,958-1868      ,菓子製造業,菓子製造業,新城　康弘,,R04.06.17,R04.06.17,第03202200412号,,中部保健所,カフェ　つちなる,098,098-958-1868,904-0326,,,読谷村渡慶次１１８３－１,沖縄県中頭郡読谷村渡慶次１１８３－１,,216355,沖縄県,中頭郡読谷村,渡慶次,,2022/06/17,2022/06/17,,,,,,,,,,,,,第03202200412号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,カフェ　つちなる,カフェつちなる,,,2,,,,,
カフェ　つちなる,,904-0326,読谷村渡慶次１１８３－１,,958-1868      ,飲食店営業,食堂,新城　康弘,,R04.06.17,R04.06.17,第03202200413号,,中部保健所,カフェ　つちなる,098,098-958-1868,904-0326,,,読谷村渡慶次１１８３－１,沖縄県中頭郡読谷村渡慶次１１８３－１,,216355,沖縄県,中頭郡読谷村,渡慶次,,2022/06/17,2022/06/17,,,,,,,,,,,,,第03202200413号,,飲食店営業, 食堂,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,カフェ　つちなる,カフェつちなる,,,2,,,,,
ＡｒＢａｒ　麻,,        ,宜野湾市大山２－２１－５,サニーパートナー宜野湾７－Ｂ,              ,飲食店営業,バー,上運天　麻美,,R04.06.17,R04.06.17,第03202200414号,,中部保健所,ＡｒＢａｒ　麻,098,,        ,,,宜野湾市大山２－２１－５,沖縄県宜野湾市大山２－２１－５,サニーパートナー宜野湾７－Ｂ,215560,沖縄県,宜野湾市,大山２,,2022/06/17,2022/06/17,,,,,,,,,,,,,第03202200414号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡｒＢａｒ　麻,ＡｒＢａｒ麻,,,1,,,,,
小料理　かっぱ木,,901-2202,宜野湾市普天間２－４９－１１,,              ,飲食店営業,小料理,石川　真明,,R04.06.17,R04.06.17,第03202200415号,,中部保健所,小料理　かっぱ木,098,,901-2202,,,宜野湾市普天間２－４９－１１,沖縄県宜野湾市普天間２－４９－１１,,215602,沖縄県,宜野湾市,普天間２,,2022/06/17,2022/06/17,,,,,,,,,,,,,第03202200415号,,飲食店営業, 小料理,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,小料理　かっぱ木,小料理かっぱ木,,,1,,,,,
Ｇｒｅｅｎ　Ｓｋｙ,,904-2163,沖縄市大里１－２６－２９,,098-989-3326  ,乳製品製造業,乳製品製造業,株式会社ゆいふぁーむ沖縄,098-989-3326  ,R04.06.17,R04.06.17,第03202200416号,,中部保健所,Ｇｒｅｅｎ　Ｓｋｙ,098,098-989-3326,904-2163,,,沖縄市大里１－２６－２９,沖縄県沖縄市大里１－２６－２９,,215949,沖縄県,沖縄市,大里１,,2022/06/17,2022/06/17,,,株式会社ゆいふぁーむ沖縄,,098-989-3326  ,,,,,,,,第03202200416号,,乳製品製造業, 乳製品製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｇｒｅｅｎ　Ｓｋｙ,ＧｒｅｅｎＳｋｙ,株式会社ゆいふぁーむ沖縄,,4,,,,,
Ｇｒｅｅｎ　Ｓｋｙ,,904-2163,沖縄市大里１－２６－２９,,098-989-3326  ,食用油脂製造業,食用油脂製造業,株式会社ゆいふぁーむ沖縄,098-989-3326  ,R04.06.17,R04.06.17,第03202200417号,,中部保健所,Ｇｒｅｅｎ　Ｓｋｙ,098,098-989-3326,904-2163,,,沖縄市大里１－２６－２９,沖縄県沖縄市大里１－２６－２９,,215949,沖縄県,沖縄市,大里１,,2022/06/17,2022/06/17,,,株式会社ゆいふぁーむ沖縄,,098-989-3326  ,,,,,,,,第03202200417号,,食用油脂製造業, 食用油脂製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｇｒｅｅｎ　Ｓｋｙ,ＧｒｅｅｎＳｋｙ,株式会社ゆいふぁーむ沖縄,,4,,,,,
Ｇｒｅｅｎ　Ｓｋｙ,,        ,沖縄市大里１－２６－２９,,098-989-3326  ,菓子製造業,菓子製造業,株式会社ゆいふぁーむ沖縄,098-989-3326  ,R04.06.17,R04.06.17,第03202200418号,,中部保健所,Ｇｒｅｅｎ　Ｓｋｙ,098,098-989-3326,        ,,,沖縄市大里１－２６－２９,沖縄県沖縄市大里１－２６－２９,,215949,沖縄県,沖縄市,大里１,,2022/06/17,2022/06/17,,,株式会社ゆいふぁーむ沖縄,,098-989-3326  ,,,,,,,,第03202200418号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｇｒｅｅｎ　Ｓｋｙ,ＧｒｅｅｎＳｋｙ,株式会社ゆいふぁーむ沖縄,,4,,,,,
Ｇｒｅｅｎ　Ｓｋｙ,,        ,沖縄市大里１－２６－２９,,098-989-3326  ,飲食店営業,レストラン,株式会社ゆいふぁーむ沖縄,098-989-3326  ,R04.06.17,R04.06.17,第03202200419号,,中部保健所,Ｇｒｅｅｎ　Ｓｋｙ,098,098-989-3326,        ,,,沖縄市大里１－２６－２９,沖縄県沖縄市大里１－２６－２９,,215949,沖縄県,沖縄市,大里１,,2022/06/17,2022/06/17,,,株式会社ゆいふぁーむ沖縄,,098-989-3326  ,,,,,,,,第03202200419号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｇｒｅｅｎ　Ｓｋｙ,ＧｒｅｅｎＳｋｙ,株式会社ゆいふぁーむ沖縄,,4,,,,,
スナック　ゆい,,        ,沖縄市照屋１－３２－１（１Ｆ）,,098-934-7177  ,飲食店営業,スナック,橋本　久子,,R04.06.17,R04.06.17,第03202200421号,,中部保健所,スナック　ゆい,098,098-934-7177,        ,,,沖縄市照屋１－３２－１（１Ｆ）,沖縄県沖縄市照屋１－３２－１（１Ｆ）,,215880,沖縄県,沖縄市,照屋１,,2022/06/17,2022/06/17,,,,,,,,,,,,,第03202200421号,,飲食店営業, スナック,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナック　ゆい,スナックゆい,,,1,,,,,
ＢＡＲ　承太郎,,904-2302,うるま市与那城西原９９４（３０１）,,              ,飲食店営業,バー,徳門　勇二,,R04.06.17,R04.06.17,第03202200423号,,中部保健所,ＢＡＲ　承太郎,098,,904-2302,,,うるま市与那城西原９９４（３０１）,沖縄県うるま市与那城西原９９４（３０１）,,216072,沖縄県,うるま市,与那城西原,,2022/06/17,2022/06/17,,,,,,,,,,,,,第03202200423号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＡＲ　承太郎,ＢＡＲ承太郎,,,1,,,,,
えびす屋,,904-2172,沖縄市泡瀬１－３－２８,,098-938-1331  ,飲食店営業,居酒屋,崎原　尚子,,R04.06.17,R04.06.17,第03202200424号,,中部保健所,えびす屋,098,098-938-1331,904-2172,,,沖縄市泡瀬１－３－２８,沖縄県沖縄市泡瀬１－３－２８,,215943,沖縄県,沖縄市,泡瀬１,,2022/06/17,2022/06/17,,,,,,,,,,,,,第03202200424号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,えびす屋,えびす屋,,,1,,,,,
ちんぷん館,,        ,沖縄市胡屋１－９－７（１Ｆ）,,              ,飲食店営業,スナック,比嘉　雅子,,R04.06.21,R04.06.21,第03202200427号,,中部保健所,ちんぷん館,098,,        ,,,沖縄市胡屋１－９－７（１Ｆ）,沖縄県沖縄市胡屋１－９－７（１Ｆ）,,215867,沖縄県,沖縄市,胡屋１,,2022/06/21,2022/06/21,,,,,,,,,,,,,第03202200427号,,飲食店営業, スナック,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ちんぷん館,ちんぷん館,,,1,,,,,
ガールズバー０１（ゼロワン）,,901-2225,宜野湾市大謝名５－２０－１２,シャトー城北Ｐ１（１－Ｃ）,              ,飲食店営業,バー,與那城　正志,,R04.06.21,R04.06.21,第03202200430号,,中部保健所,ガールズバー０１（ゼロワン）,098,,901-2225,,,宜野湾市大謝名５－２０－１２,沖縄県宜野湾市大謝名５－２０－１２,シャトー城北Ｐ１（１－Ｃ）,215557,沖縄県,宜野湾市,大謝名５,,2022/06/21,2022/06/21,,,,,,,,,,,,,第03202200430号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ガールズバー０１（ゼロワン）,ガルズバ０１ゼロワン,,,1,,,,,
ＡＮＤＥＲＢＡＲ,,904-0113,北谷町宮城２－１３,,              ,飲食店営業,バー,平井高広,,R04.06.21,R04.06.21,第03202200432号,,中部保健所,ＡＮＤＥＲＢＡＲ,098,,904-0113,,,北谷町宮城２－１３,沖縄県中頭郡北谷町宮城２－１３,,216288,沖縄県,中頭郡北谷町,宮城,,2022/06/21,2022/06/21,,,,,,,,,,,,,第03202200432号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡＮＤＥＲＢＡＲ,ＡＮＤＥＲＢＡＲ,,,1,,,,,
Ｐａｔｉｓｓｅｒｉｅ　ＪｏｉｅＪｏｉｅ３２６,,904-0304,読谷村楚辺１０９４,比嘉アパート１Ｆ,              ,密封包装食品製造業,密封包装,宮國　充,,R04.06.21,R04.06.21,第03202200440号,,中部保健所,Ｐａｔｉｓｓｅｒｉｅ　ＪｏｉｅＪｏｉｅ３２６,098,,904-0304,,,読谷村楚辺１０９４,沖縄県中頭郡読谷村楚辺１０９４,比嘉アパート１Ｆ,216352,沖縄県,中頭郡読谷村,楚辺,,2022/06/21,2022/06/21,,,,,,,,,,,,,第03202200440号,,密封包装食品製造業, 密封包装,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｐａｔｉｓｓｅｒｉｅ　ＪｏｉｅＪｏｉｅ３２６,ＰａｔｉｓｓｅｒｉｅＪｏｉｅＪｏｉｅ３２６,,,1,,,,,
ｍａｃａｒｏｎｉ,,904-0323,中頭郡読谷村高志保５４－１,,              ,飲食店営業,パーラー,仲西　智斗志,,R04.06.21,R04.06.21,第03202200441号,,中部保健所,ｍａｃａｒｏｎｉ,098,,904-0323,,,中頭郡読谷村高志保５４－１,沖縄県中頭郡読谷村高志保５４－１,,216353,沖縄県,中頭郡読谷村,高志保,,2022/06/21,2022/06/21,,,,,,,,,,,,,第03202200441号,,飲食店営業, パーラー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｍａｃａｒｏｎｉ,ｍａｃａｒｏｎｉ,,,1,,,,,
レンタルスペース　Ｅｉｒ,,904-2243,うるま市宮里３２２－７,,              ,菓子製造業,菓子製造業,又吉　アスカ,,R04.06.22,R04.06.22,第03202200445号,,中部保健所,レンタルスペース　Ｅｉｒ,098,,904-2243,,,うるま市宮里３２２－７,沖縄県うるま市宮里３２２－７,,216487,沖縄県,うるま市,宮里,,2022/06/22,2022/06/22,,,,,,,,,,,,,第03202200445号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,レンタルスペース　Ｅｉｒ,レンタルスペスＥｉｒ,,,2,,,,,
レンタルスペース　Ｅｉｒ,,904-2243,うるま市宮里３２２－７,,              ,飲食店営業,その他,又吉　アスカ,,R04.06.22,R04.06.22,第03202200446号,,中部保健所,レンタルスペース　Ｅｉｒ,098,,904-2243,,,うるま市宮里３２２－７,沖縄県うるま市宮里３２２－７,,216487,沖縄県,うるま市,宮里,,2022/06/22,2022/06/22,,,,,,,,,,,,,第03202200446号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,レンタルスペース　Ｅｉｒ,レンタルスペスＥｉｒ,,,2,,,,,
本と商い　ある日、,,904-2316,うるま市勝連比嘉２０－１,,              ,飲食店営業,カフェー,髙橋　和也,,R04.06.22,R04.06.22,第03202200447号,,中部保健所,本と商い　ある日、,098,,904-2316,,,うるま市勝連比嘉２０－１,沖縄県うるま市勝連比嘉２０－１,,216051,沖縄県,うるま市,勝連比嘉,,2022/06/22,2022/06/22,,,,,,,,,,,,,第03202200447号,,飲食店営業, カフェー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,本と商い　ある日、,本と商いある日,,,1,,,,,
番所亭,,904-0302,中頭郡読谷村喜名４７３,,098-958-3989  ,そうざい製造業,そうざい製造業,喜友名正人,,R04.06.24,R04.06.24,第03202200452号,,中部保健所,番所亭,098,098-958-3989,904-0302,,,中頭郡読谷村喜名４７３,沖縄県中頭郡読谷村喜名４７３,,216348,沖縄県,中頭郡読谷村,喜名,,2022/06/24,2022/06/24,,,,,,,,,,,,,第03202200452号,,そうざい製造業, そうざい製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,番所亭,番所亭,,,4,,,,,
番所亭,,904-0302,中頭郡読谷村喜名４７３,,098-958-3989  ,菓子製造業,菓子製造業,喜友名正人,,R04.06.24,R04.06.24,第03202200453号,,中部保健所,番所亭,098,098-958-3989,904-0302,,,中頭郡読谷村喜名４７３,沖縄県中頭郡読谷村喜名４７３,,216348,沖縄県,中頭郡読谷村,喜名,,2022/06/24,2022/06/24,,,,,,,,,,,,,第03202200453号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,番所亭,番所亭,,,4,,,,,
番所亭,,904-0302,中頭郡読谷村喜名４７３,,098-958-3989  ,麺類製造業,めん類製造業,喜友名正人,,R04.06.24,R04.06.24,第03202200454号,,中部保健所,番所亭,098,098-958-3989,904-0302,,,中頭郡読谷村喜名４７３,沖縄県中頭郡読谷村喜名４７３,,216348,沖縄県,中頭郡読谷村,喜名,,2022/06/24,2022/06/24,,,,,,,,,,,,,第03202200454号,,麺類製造業, めん類製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,番所亭,番所亭,,,4,,,,,
番所亭,,904-0302,中頭郡読谷村喜名４７３,,              ,飲食店営業,食堂,喜友名正人,,R04.06.24,R04.06.24,第03202200455号,,中部保健所,番所亭,098,,904-0302,,,中頭郡読谷村喜名４７３,沖縄県中頭郡読谷村喜名４７３,,216348,沖縄県,中頭郡読谷村,喜名,,2022/06/24,2022/06/24,,,,,,,,,,,,,第03202200455号,,飲食店営業, 食堂,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,番所亭,番所亭,,,4,,,,,
Ｍｒ．Ｋａｔｏ　Ｓｕｓｈｉ　Ｂａｒ　＆　Ａｍｅｒｉｃａｎ　Ｃａｓｕａｌ,,904-0117,北谷町北前１－１７－１,,              ,飲食店営業,レストラン,ウェルフェアー・Ｊ・ユナイテッド株式会社,03-5322-1396  ,R04.06.24,R04.06.24,第03202200456号,,中部保健所,Ｍｒ．Ｋａｔｏ　Ｓｕｓｈｉ　Ｂａｒ　＆　Ａｍｅｒｉｃａｎ　Ｃａｓｕａｌ,098,,904-0117,,,北谷町北前１－１７－１,沖縄県中頭郡北谷町北前１－１７－１,,216291,沖縄県,中頭郡北谷町,北前１,,2022/06/24,2022/06/24,,,ウェルフェアー・Ｊ・ユナイテッド株式会社,,03-5322-1396  ,,,,,,,,第03202200456号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｍｒ．Ｋａｔｏ　Ｓｕｓｈｉ　Ｂａｒ　＆　Ａｍｅｒｉｃａｎ　Ｃａｓｕａｌ,ＭｒＫａｔｏＳｕｓｈｉＢａｒＡｍｅｒｉｃａｎＣａｓｕａｌ,ウェルフェアー・Ｊ・ユナイテッド株式会社,,1,,,,,
ラーメン魁力屋北谷美浜店,,904-0115,中頭郡北谷町美浜２－１－１４,,              ,飲食店営業,中華料理,株式会社Ｙｏｕ　Ｓｕｎ,098-989-9039  ,R04.06.24,R04.06.24,第03202200457号,,中部保健所,ラーメン魁力屋北谷美浜店,098,,904-0115,,,中頭郡北谷町美浜２－１－１４,沖縄県中頭郡北谷町美浜２－１－１４,,216295,沖縄県,中頭郡北谷町,美浜２,,2022/06/24,2022/06/24,,,株式会社Ｙｏｕ　Ｓｕｎ,,098-989-9039  ,,,,,,,,第03202200457号,,飲食店営業, 中華料理,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ラーメン魁力屋北谷美浜店,ラメン魁力屋北谷美浜店,株式会社Ｙｏｕ　Ｓｕｎ,,1,,,,,
ｈｕｂｂｌｅ’ｓ,,904-0114,中頭郡北谷町港１５－６４,,              ,飲食店営業,パーラー,吉田　薫,,R04.06.24,R04.06.24,第03202200458号,,中部保健所,ｈｕｂｂｌｅ’ｓ,098,,904-0114,,,中頭郡北谷町港１５－６４,沖縄県中頭郡北谷町港１５－６４,,216485,沖縄県,中頭郡北谷町,港,,2022/06/24,2022/06/24,,,,,,,,,,,,,第03202200458号,,飲食店営業, パーラー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｈｕｂｂｌｅ＇ｓ,ｈｕｂｂｌｅｓ,,,1,,,,,
ＢＬＵＥ　ＭＡＲＫＥＴ,,904-0112,中頭郡北谷町浜川１５２－１,１Ｆ,098-936-1227  ,飲食店営業,食堂,奥原　綾子,,R04.06.24,R04.06.24,第03202200459号,,中部保健所,ＢＬＵＥ　ＭＡＲＫＥＴ,098,098-936-1227,904-0112,,,中頭郡北谷町浜川１５２－１,沖縄県中頭郡北谷町浜川１５２－１,１Ｆ,216287,沖縄県,中頭郡北谷町,浜川,,2022/06/24,2022/06/24,,,,,,,,,,,,,第03202200459号,,飲食店営業, 食堂,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＬＵＥ　ＭＡＲＫＥＴ,ＢＬＵＥＭＡＲＫＥＴ,,,1,,,,,
カフェ　ＴｉＦＦＡＮＹ,,904-0304,読谷村楚辺１３９５－６５,,098-957-1232  ,飲食店営業,カフェー,山城　タケ子,,R04.06.24,R04.06.24,第03202200460号,,中部保健所,カフェ　ＴｉＦＦＡＮＹ,098,098-957-1232,904-0304,,,読谷村楚辺１３９５－６５,沖縄県中頭郡読谷村楚辺１３９５－６５,,216352,沖縄県,中頭郡読谷村,楚辺,,2022/06/24,2022/06/24,,,,,,,,,,,,,第03202200460号,,飲食店営業, カフェー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,カフェ　ＴｉＦＦＡＮＹ,カフェＴｉＦＦＡＮＹ,,,1,,,,,
ローソン県総合運動公園前店,,901-2321,中頭郡北中城村字美崎１７,,098-935-5711  ,飲食店営業,その他,﨑山　洋美,,R04.06.24,R04.06.24,第03202200463号,,中部保健所,ローソン県総合運動公園前店,098,098-935-5711,901-2321,,,中頭郡北中城村字美崎１７,沖縄県中頭郡北中城村字美崎１７,,701999,沖縄県,中頭郡北中城村,美崎,,2022/06/24,2022/06/24,,,,,,,,,,,,,第03202200463号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ローソン県総合運動公園前店,ロソン県総合運動公園前店,,ローソン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
リブマックス　アムス・カンナリゾートヴィラ,,904-1304,国頭郡宜野座村漢那３９７－１,,098-968-7011  ,飲食店営業,ホテル,株式会社リブマックスフーズ,03-3505-3042  ,R04.06.27,R04.06.27,第03202200468号,,中部保健所,リブマックス　アムス・カンナリゾートヴィラ,098,098-968-7011,904-1304,,,国頭郡宜野座村漢那３９７－１,沖縄県国頭郡宜野座村漢那３９７－１,,216171,沖縄県,国頭郡宜野座村,漢那,,2022/06/27,2022/06/27,,,株式会社リブマックスフーズ,,03-3505-3042  ,,,,,,,,第03202200468号,,飲食店営業, ホテル,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,リブマックス　アムス・カンナリゾートヴィラ,リブマックスアムスカンナリゾトヴィラ,株式会社リブマックスフーズ,,1,,,,,
沖縄食堂琉華亭　真栄城そば,,904-0404,国頭郡恩納村瀬良垣１６７８－１,１Ｆ,098-966-8332  ,飲食店営業,中華料理,真栄城　涼子,,R04.06.27,R04.06.27,第03202200469号,,中部保健所,沖縄食堂琉華亭　真栄城そば,098,098-966-8332,904-0404,,,国頭郡恩納村瀬良垣１６７８－１,沖縄県国頭郡恩納村瀬良垣１６７８－１,１Ｆ,216158,沖縄県,国頭郡恩納村,瀬良垣,,2022/06/27,2022/06/27,,,,,,,,,,,,,第03202200469号,,飲食店営業, 中華料理,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,沖縄食堂琉華亭　真栄城そば,沖縄食堂琉華亭真栄城そば,,,1,,,,,
マルマス食品,,904-1203,国頭郡金武町屋嘉２２０８,,              ,そうざい製造業,そうざい製造業,宮城　千代恵,,R04.06.27,R04.06.27,第03202200470号,,中部保健所,マルマス食品,098,,904-1203,,,国頭郡金武町屋嘉２２０８,沖縄県国頭郡金武町屋嘉２２０８,,216169,沖縄県,国頭郡金武町,屋嘉,,2022/06/27,2022/06/27,,,,,,,,,,,,,第03202200470号,,そうざい製造業, そうざい製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,マルマス食品,マルマス食品,,,1,,,,,
