https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4066,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,分割処理中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886,ホテル　フクイキャッスル,福井県,福井市大手２丁目１９－５,福井市大手２丁目１９－５,,0776-23-7700,飲食店営業,,有限会社ホテルフクイキャッスル,塩崎 恭一,福井県福井市大手２丁目１９－５,福井県福井市大手２丁目１９－５,,0776-23-7700,2021年9月21日,2021年9月21日,福井市指令生衛第21-4-367,,221,ホテル　フクイキャッスル,0776,0776-23-7700,,,,福井県　福井市大手２丁目１９－５,福井県福井市大手２丁目１９－５,,97092,18,18201,大手２,,2021/09/21,2021/09/21,,,有限会社ホテルフクイキャッスル,塩崎 恭一,0776-23-7700,福井県福井市大手２丁目１９－５,福井県福井市大手２丁目１９－５,,97092,福井県,福井市,大手２,福井市指令生衛第21-4-367,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ホテルフクイキャッスル0776-23-77009709218201,bd1ecb31-6f18-49ac-ab51-5b6c8f4d899d,有限会社ホテルフクイキャッスル97092,f7b3aad9-d17c-4453-b10a-e67a140565bc,e2105ced-8930-4040-a845-e69881ee69f2,2021/09/21,ホテル　フクイキャッスル,ホテルフクイキャッスル,有限会社ホテルフクイキャッスル
3887,福井マンテンホテル駅前,福井県,福井市中央１丁目１１－１,福井市中央１丁目１１－１,,0776-20-0100,飲食店営業,,マンテンホテル株式会社,大谷 治郎,富山県富山市本町２－１７,富山県富山市本町２－１７,,076-441-2177,2021年9月21日,2021年9月21日,福井市指令生衛第21-4-369,,221,福井マンテンホテル駅前,0776,0776-20-0100,,,,福井県　福井市中央１丁目１１－１,福井県福井市中央１丁目１１－１,,97308,18,18201,中央１,,2021/09/21,2021/09/21,,,マンテンホテル株式会社,大谷 治郎,076-441-2177,富山県富山市本町２－１７,富山県富山市本町２－１７,,91157,富山県,富山市,本町,福井市指令生衛第21-4-369,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,福井マンテンホテル駅前0776-20-01009730818201,23f7b82f-5817-4c83-8ba6-b1a36ba5ec6e,マンテンホテル株式会社91157,a0deee3a-06ac-487f-be68-a7ba39a13dda,dff47222-92ec-4e13-98d5-ae993af7dc84,2021/09/21,福井マンテンホテル駅前,福井マンテンホテル駅前,マンテンホテル株式会社
3883,スナック　せせらぎ,,福井市順化２丁目２０－１８片町ビル２Ｆ,福井市順化２丁目２０－１８,片町ビル２Ｆ,0776-30-1520,飲食店営業,,,磯田 親均,,,,,2021年9月17日,2021年9月17日,福井市指令生衛第21-3-115,,221,スナック　せせらぎ,0776,0776-30-1520,,,,　福井市順化２丁目２０－１８,福井県福井市順化２丁目２０－１８,片町ビル２Ｆ,97262,18,18201,順化２,,2021/09/17,2021/09/17,,,,磯田 親均,,,,,,,,,福井市指令生衛第21-3-115,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,スナックせせらぎ0776-30-15209726218201,092418df-f819-4ae5-8482-36dc8e8ce786,,personal,9686fd7f-5275-4c86-81d5-cc4e5401bef3,2021/09/17,スナック　せせらぎ,スナックせせらぎ,
3880,おふくろの味　まきの,,福井市宝永３丁目１０－１６,福井市宝永３丁目１０－１６,,0776-22-0296,飲食店営業,,,牧野 重一,,,,,2021年9月16日,2021年9月16日,福井市指令生衛第21-4-325,,221,おふくろの味　まきの,0776,0776-22-0296,,,,　福井市宝永３丁目１０－１６,福井県福井市宝永３丁目１０－１６,,97464,18,18201,宝永３,,2021/09/16,2021/09/16,,,,牧野 重一,,,,,,,,,福井市指令生衛第21-4-325,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,おふくろの味まきの0776-22-02969746418201,54ed2fd1-1e9f-4296-b87d-4b5e4a87d5dc,,personal,d9fd699f-d1cf-4628-afde-56a9556a1a30,2021/09/16,おふくろの味　まきの,おふくろの味まきの,
3881,Ｖ８,福井県,福井市順化２丁目８－１４パークサイドタワービル７Ｆ,福井市順化２丁目８－１４,パークサイドタワービル７Ｆ,,飲食店営業,,株式会社ＥＩＧＨＴ,岡本 晃平,福井県福井市下馬３丁目１３０２,福井県福井市下馬３丁目１３０２,,0776-97-5784,2021年9月16日,2021年9月16日,福井市指令生衛第21-3-119,,221,Ｖ８,0776,,,,,福井県　福井市順化２丁目８－１４,福井県福井市順化２丁目８－１４,パークサイドタワービル７Ｆ,97262,18,18201,順化２,,2021/09/16,2021/09/16,,,株式会社ＥＩＧＨＴ,岡本 晃平,0776-97-5784,福井県福井市下馬３丁目１３０２,福井県福井市下馬３丁目１３０２,,97607,福井県,福井市,下馬３,福井市指令生衛第21-3-119,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,Ｖ８9726218201,0df513fb-9bde-4830-bd11-ae523f0dfb80,株式会社ＥＩＧＨＴ97607,efc4073a-a2c0-44d0-a029-875e04ebdea6,65422947-5262-45dd-9905-36b381f4130d,2021/09/16,Ｖ８,Ｖ８,株式会社ＥＩＧＨＴ
3882,ホテル　リバージュアケボノ,福井県,福井市中央３丁目１０－１２,福井市中央３丁目１０－１２,,0776-22-1000,飲食店営業,,有限会社ホテルあけぼの,清水 嗣能,福井県福井市中央３丁目１０－１２,福井県福井市中央３丁目１０－１２,,0776-22-1000,2021年9月16日,2021年9月16日,福井市指令生衛第21-4-345,,221,ホテル　リバージュアケボノ,0776,0776-22-1000,,,,福井県　福井市中央３丁目１０－１２,福井県福井市中央３丁目１０－１２,,97310,18,18201,中央３,,2021/09/16,2021/09/16,,,有限会社ホテルあけぼの,清水 嗣能,0776-22-1000,福井県福井市中央３丁目１０－１２,福井県福井市中央３丁目１０－１２,,97310,福井県,福井市,中央３,福井市指令生衛第21-4-345,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ホテルリバジュアケボノ0776-22-10009731018201,fc520811-a2aa-40bf-a678-a6b459a9c33c,有限会社ホテルあけぼの97310,cbdc9dc8-2543-4d10-9d7d-3952730d671e,3107f6b0-7c6c-4308-92fd-c7448b6cb588,2021/09/16,ホテル　リバージュアケボノ,ホテルリバジュアケボノ,有限会社ホテルあけぼの
3877,医療法人　三精病院内　富士産業株式会社営業所,福井県,福井市大島町柳２０５三精病院１Ｆ,福井市大島町柳２０５,三精病院１Ｆ,0776-36-6086,飲食店営業,,富士産業株式会社,中村 勝彦,東京都港区新橋５丁目３２－７ＦＩビル,東京都港区新橋５丁目３２－７,ＦＩビル,03-5400-6111,2021年9月15日,2021年9月15日,福井市指令生衛第21-4-304,,221,医療法人　三精病院内　富士産業株式会社営業所,0776,0776-36-6086,,,,福井県　福井市大島町柳２０５,福井県福井市大島町柳２０５,三精病院１Ｆ,97087,18,18201,大島町,,2021/09/15,2021/09/15,,,富士産業株式会社,中村 勝彦,03-5400-6111,東京都港区新橋５丁目３２－７,東京都港区新橋５丁目３２－７,ＦＩビル,73107,東京都,港区,新橋５,福井市指令生衛第21-4-304,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,医療法人三精病院内富士産業株式会社営業所0776-36-60869708718201,2a0ac1f2-903d-4a59-9d8b-d13c1b5e7835,富士産業株式会社73107,f386d856-5777-4994-9d16-b7be8ff50a28,98ee7cc2-dbb0-4b2f-95dd-6710340c75a0,2021/09/15,医療法人三精病院内　富士産業株式会社営業所,医療法人三精病院内富士産業株式会社営業所,富士産業株式会社
3878,やきとりの名門　秋吉　福井駅前店,福井県,福井市大手２丁目５－１６,福井市大手２丁目５－１６,,0776-21-3572,飲食店営業,,株式会社秋吉グループ本部,島川 勝典,福井県福井市下河北町５－３０,福井県福井市下河北町５－３０,,0776-38-5000,2021年9月15日,2021年9月15日,福井市指令生衛第21-4-326,,221,やきとりの名門　秋吉　福井駅前店,0776,0776-21-3572,,,,福井県　福井市大手２丁目５－１６,福井県福井市大手２丁目５－１６,,97092,18,18201,大手２,,2021/09/15,2021/09/15,,,株式会社秋吉グループ本部,島川 勝典,0776-38-5000,福井県福井市下河北町５－３０,福井県福井市下河北町５－３０,,97238,福井県,福井市,下河北町,福井市指令生衛第21-4-326,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,やきとりの名門秋吉福井駅前店0776-21-35729709218201,ea87e263-727f-4103-91fb-c0ffb775a78b,株式会社秋吉グループ本部97238,f75557bf-496f-4b50-9761-c7b9a44bb41c,69df5c25-0159-4214-a716-11a75729bde7,2021/09/15,やきとりの名門　秋吉　福井駅前店,やきとりの名門秋吉福井駅前店,株式会社秋吉グループ本部
3879,宝永旅館,福井県,福井市宝永３丁目７－１６,福井市宝永３丁目７－１６,,0776-22-5204,飲食店営業,,有限会社宝永旅館,国広 欣希,福井県福井市宝永３丁目７－１６,福井県福井市宝永３丁目７－１６,,0776-22-5204,2021年9月15日,2021年9月15日,福井市指令生衛第21-4-331,,221,宝永旅館,0776,0776-22-5204,,,,福井県　福井市宝永３丁目７－１６,福井県福井市宝永３丁目７－１６,,97464,18,18201,宝永３,,2021/09/15,2021/09/15,,,有限会社宝永旅館,国広 欣希,0776-22-5204,福井県福井市宝永３丁目７－１６,福井県福井市宝永３丁目７－１６,,97464,福井県,福井市,宝永３,福井市指令生衛第21-4-331,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,宝永旅館0776-22-52049746418201,e325eef6-7a90-46ec-ab05-b41cdf464205,有限会社宝永旅館97464,b01d35a1-a964-45b1-9f08-1b6e76d05539,5c201b67-16e9-4f4f-bd73-3c1b82731dc3,2021/09/15,宝永旅館,宝永旅館,有限会社宝永旅館
3873,竹内菓子舗,福井県,福井市花堂北２丁目１２－３,福井市花堂北２丁目１２－３,,0776-36-2456,菓子製造業,,株式会社竹内菓子舗,竹内 信仁,福井県福井市花堂北２丁目１２－３,福井県福井市花堂北２丁目１２－３,,0776-36-2456,2021年9月14日,2021年9月14日,福井市指令生衛第21-4-281,,221,竹内菓子舗,0776,0776-36-2456,,,,福井県　福井市花堂北２丁目１２－３,福井県福井市花堂北２丁目１２－３,,97550,18,18201,花堂北２,,2021/09/14,2021/09/14,,,株式会社竹内菓子舗,竹内 信仁,0776-36-2456,福井県福井市花堂北２丁目１２－３,福井県福井市花堂北２丁目１２－３,,97550,福井県,福井市,花堂北２,福井市指令生衛第21-4-281,,菓子製造業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,E,9,,,竹内菓子舗0776-36-24569755018201,00221_67dc4bad-d800-4a52-a833-ae11fbce6432,株式会社竹内菓子舗97550,4ab05988-d753-4b77-a8dc-d39fe360c206,6e9397b4-3570-498e-bbcc-176ef6530a78,2021/09/14,竹内菓子舗,竹内菓子舗,株式会社竹内菓子舗
3874,京,,福井市順化１丁目１４－２１アルバビル４Ｆ,福井市順化１丁目１４－２１,アルバビル４Ｆ,,飲食店営業,,,川﨑 弥生,,,,,2021年9月14日,2021年9月14日,福井市指令生衛第21-3-106,,221,京,0776,,,,,　福井市順化１丁目１４－２１,福井県福井市順化１丁目１４－２１,アルバビル４Ｆ,97261,18,18201,順化１,,2021/09/14,2021/09/14,,,,川﨑 弥生,,,,,,,,,福井市指令生衛第21-3-106,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,京9726118201,0655fb62-f584-40bd-a3db-324d31aa9761,,personal,1c8c544f-fcb9-48b5-a362-c71f1b90993b,2021/09/14,京,京,
3875,４７７５２事業所,福井県,福井市文京４丁目１４－１１,福井市文京４丁目１４－１１,,,飲食店営業,,一冨士フードサービス株式会社,大西 博史,大阪府大阪市北区梅田３丁目３－２０明治安田生命大阪梅田ビル２６階,大阪府大阪市北区梅田３丁目３－２０,明治安田生命大阪梅田ビル２６階,06-6458-8801,2021年9月14日,2021年9月14日,福井市指令生衛第21-3-107,,221,４７７５２事業所,0776,,,,,福井県　福井市文京４丁目１４－１１,福井県福井市文京４丁目１４－１１,,97456,18,18201,文京４,,2021/09/14,2021/09/14,,,一冨士フードサービス株式会社,大西 博史,06-6458-8801,大阪府大阪市北区梅田３丁目３－２０,大阪府大阪市北区梅田３丁目３－２０,明治安田生命大阪梅田ビル２６階,155830,大阪府,大阪市北区,梅田３,福井市指令生衛第21-3-107,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,４７７５２事業所9745618201,aff42e26-1856-49fc-b330-7a98a41b2cf6,一冨士フードサービス株式会社155830,8a13d929-4ba2-4d27-95dd-8dbed4f19b9c,9ce1de23-d82c-40e0-8263-80c0be361660,2021/09/14,４７７５２事業所,４７７５２事業所,一冨士フードサービス株式会社
3876,リカレパ,,福井市木田町９－２０,福井市木田町９－２０,,0776-35-0191,菓子製造業,,,米田 パトリシア,,,,,2021年9月14日,2021年9月14日,福井市指令生衛第21-4-293,,221,リカレパ,0776,0776-35-0191,,,,　福井市木田町９－２０,福井県福井市木田町９－２０,,97175,18,18201,木田町,,2021/09/14,2021/09/14,,,,米田 パトリシア,,,,,,,,,福井市指令生衛第21-4-293,,菓子製造業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,E,9,,,リカレパ0776-35-01919717518201,df408e38-e1e6-4846-9df7-c6c11a123710,,personal,9eb83840-9e53-43c9-8205-ed2e91de96f1,2021/09/14,リカレパ,リカレパ,
3870,池田町産マーケット　こっぽい屋,福井県,福井市花堂南２丁目１６―１ショッピングシティー・ベル内１階,福井市花堂南２丁目１６―１,ショッピングシティー・ベル内１階,0776-35-0051,そうざい製造業,,一般社団法人池田町農業公社,杉本 博文,福井県今立郡池田町稲荷３５―４,福井県今立郡池田町稲荷３５―４,,0778-44-7731,2021年9月13日,2021年9月13日,福井市指令生衛第21-3-93,,221,池田町産マーケット　こっぽい屋,0776,0776-35-0051,,,,福井県　福井市花堂南２丁目１６―１,福井県福井市花堂南２丁目１６―１,ショッピングシティー・ベル内１階,97554,18,18201,花堂南２,,2021/09/13,2021/09/13,,,一般社団法人池田町農業公社,杉本 博文,0778-44-7731,福井県今立郡池田町稲荷３５―４,福井県今立郡池田町稲荷３５―４,,99408,福井県,今立郡池田町,稲荷,福井市指令生衛第21-3-93,,そうざい製造業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,E,9,,,池田町産マケットこっぽい屋0776-35-00519755418201,1ef5c115-e85e-44dc-aaf2-dd7af30ad69f,一般社団法人池田町農業公社99408,8b2b6239-e4f5-4a93-9e24-f87d87f35b71,b2c65190-d660-40cd-9931-e6e0bdb9fb77,2021/09/13,池田町産マーケット　こっぽい屋,池田町産マケットこっぽい屋,一般社団法人池田町農業公社
3871,池田町産マーケット　こっぽい屋,福井県,福井市花堂南２丁目１６―１ショッピングシティー・ベル内１階,福井市花堂南２丁目１６―１,ショッピングシティー・ベル内１階,0776-35-0051,菓子製造業,,一般社団法人池田町農業公社,杉本 博文,福井県今立郡池田町稲荷３５―４,福井県今立郡池田町稲荷３５―４,,0778-44-7731,2021年9月13日,2021年9月13日,福井市指令生衛第21-3-94,,221,池田町産マーケット　こっぽい屋,0776,0776-35-0051,,,,福井県　福井市花堂南２丁目１６―１,福井県福井市花堂南２丁目１６―１,ショッピングシティー・ベル内１階,97554,18,18201,花堂南２,,2021/09/13,2021/09/13,,,一般社団法人池田町農業公社,杉本 博文,0778-44-7731,福井県今立郡池田町稲荷３５―４,福井県今立郡池田町稲荷３５―４,,99408,福井県,今立郡池田町,稲荷,福井市指令生衛第21-3-94,,菓子製造業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,E,9,,,池田町産マケットこっぽい屋0776-35-00519755418201,1ef5c115-e85e-44dc-aaf2-dd7af30ad69f,一般社団法人池田町農業公社99408,8b2b6239-e4f5-4a93-9e24-f87d87f35b71,626f29b9-c809-4979-9d67-b9dc1c35aa3c,2021/09/13,池田町産マーケット　こっぽい屋,池田町産マケットこっぽい屋,一般社団法人池田町農業公社
3872,Ｌ　ａｎｄ　Ｈｅａｒｔ,福井県,福井市順化２丁目１２－１４プリンスビル３０２号室,福井市順化２丁目１２－１４,プリンスビル３０２号室,0776-50-6517,飲食店営業,,株式会社　Ｌ＆Ｈ,水口 信之,福井県福井市二の宮４丁目３９－１５ボナール二の宮４０１,福井県福井市二の宮４丁目３９－１５,ボナール二の宮４０１,,2021年9月13日,2021年9月13日,福井市指令生衛第21-3-109,,221,Ｌ　ａｎｄ　Ｈｅａｒｔ,0776,0776-50-6517,,,,福井県　福井市順化２丁目１２－１４,福井県福井市順化２丁目１２－１４,プリンスビル３０２号室,97262,18,18201,順化２,,2021/09/13,2021/09/13,,,株式会社　Ｌ＆Ｈ,水口 信之,,福井県福井市二の宮４丁目３９－１５,福井県福井市二ノ宮４丁目３９－１５,ボナール二の宮４０１,97403,福井県,福井市,二の宮４,福井市指令生衛第21-3-109,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ＬａｎｄＨｅａｒｔ0776-50-65179726218201,c2fc557d-6c83-4a82-bd49-ac4119ed25a5,株式会社Ｌ＆Ｈ97403,ead1feec-0da4-4b3b-9027-ce0128399b02,9ad4c5c7-a02f-4f77-9a68-1cb13303b4af,2021/09/13,Ｌ　ａｎｄ　Ｈｅａｒｔ,ＬａｎｄＨｅａｒｔ,株式会社Ｌ＆Ｈ
3869,ラウンジ　雪ほたる,,福井市順化１丁目１７－８勝ビル　１Ｆ　１号室,福井市順化１丁目１７－８,勝ビル１Ｆ １号室,0776-26-0195,飲食店営業,,,中谷 雪,,,,,2021年9月10日,2021年9月10日,福井市指令生衛第21-3-80,,221,ラウンジ　雪ほたる,0776,0776-26-0195,,,,　福井市順化１丁目１７－８,福井県福井市順化１丁目１７－８,勝ビル１Ｆ １号室,97261,18,18201,順化１,,2021/09/10,2021/09/10,,,,中谷 雪,,,,,,,,,福井市指令生衛第21-3-80,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ラウンジ雪ほたる0776-26-01959726118201,e8b50c99-7beb-448e-a83d-82962a16cbfc,,personal,773ba84f-4439-409c-9070-6e47ae6cde45,2021/09/10,ラウンジ　雪ほたる,ラウンジ雪ほたる,
3865,蝋金餅店,,福井市左内町９－２７,福井市左内町９－２７,,0776-35-3041,菓子製造業,,,中村 美由紀,,,,,2021年9月9日,2021年9月9日,福井市指令生衛第21-3-82,,221,蝋金餅店,0776,0776-35-3041,,,,　福井市左内町９－２７,福井県福井市左内町９－２７,,97217,18,18201,左内町,,2021/09/09,2021/09/09,,,,中村 美由紀,,,,,,,,,福井市指令生衛第21-3-82,,菓子製造業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,E,9,,,蝋金餅店0776-35-30419721718201,476f561d-28b6-44e6-b3b3-1de08fcefd21,,personal,749dc7ef-fa47-4844-bf3e-acdfac069a35,2021/09/09,蝋金餅店,蝋金餅店,
3866,岸豆腐店,,福井市江端町３３－１,福井市江端町３３－１,,0776-38-2603,豆腐製造業,,,岸 義博,,,,,2021年9月9日,2021年9月9日,福井市指令生衛第21-4-259,,221,岸豆腐店,0776,0776-38-2603,,,,　福井市江端町３３－１,福井県福井市江端町３３－１,,97078,18,18201,江端町,,2021/09/09,2021/09/09,,,,岸 義博,,,,,,,,,福井市指令生衛第21-4-259,,豆腐製造業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,E,9,,,岸豆腐店0776-38-26039707818201,29c17357-8b9b-4f47-bad4-4e8943f06b7d,,personal,e711bc80-5795-410f-99f1-024761eca2a4,2021/09/09,岸豆腐店,岸豆腐店,
3867,日清医療食品株式会社,福井県,福井市日光１丁目２―１,福井市日光１丁目２―１,,0776-43-0662,飲食店営業,,日清医療食品株式会社,菅井 正一,東京都千代田区丸の内２丁目７－３東京ビルディング２０階,東京都千代田区丸の内２丁目７－３,東京ビルディング２０階,03-3287-3611,2021年9月9日,2021年9月9日,福井市指令生衛第21-3-104,,221,日清医療食品株式会社,0776,0776-43-0662,,,,福井県　福井市日光１丁目２―１,福井県福井市日光１丁目２―１,,97575,18,18201,日光１,,2021/09/09,2021/09/09,,,日清医療食品株式会社,菅井 正一,03-3287-3611,東京都千代田区丸の内２丁目７－３,東京都千代田区丸ノ内２丁目７－３,東京ビルディング２０階,72931,東京都,千代田区,丸の内２,福井市指令生衛第21-3-104,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,日清医療食品株式会社0776-43-06629757518201,ff4a4a47-4859-43cc-ad7d-125bcf1d5b95,日清医療食品株式会社72931,caed14bb-a0f4-4953-b6b1-63211d3b8f27,7503abb1-c177-4558-b0d2-2f673c16d699,2021/09/09,日清医療食品株式会社,日清医療食品株式会社,日清医療食品株式会社
3868,スバル食品,福井県,福井市森行町２４－１,福井市森行町２４－１,,0776-38-1111,そうざい製造業,,スバル食品株式会社,園 幸雄,福井県福井市森行町２４－１,福井県福井市森行町２４－１,,0776-38-1111,2021年9月9日,2021年9月9日,福井市指令生衛第21-4-290,,221,スバル食品,0776,0776-38-1111,,,,福井県　福井市森行町２４－１,福井県福井市森行町２４－１,,97511,18,18201,森行町,,2021/09/09,2021/09/09,,,スバル食品株式会社,園 幸雄,0776-38-1111,福井県福井市森行町２４－１,福井県福井市森行町２４－１,,97511,福井県,福井市,森行町,福井市指令生衛第21-4-290,,そうざい製造業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,E,9,,,スバル食品0776-38-11119751118201,42bf1aac-52ae-4601-9dce-50e9fff6c410,スバル食品株式会社97511,967757a6-2d4c-4e44-a808-d26eb551c472,e5a3a993-069d-4921-ae9a-79216a577e11,2021/09/09,スバル食品,スバル食品,スバル食品株式会社
3860,ぷーとん麺りん,福井県,福井市花堂南２丁目１６－１ベル２Ｆ,福井市花堂南２丁目１６－１,ベル２Ｆ,0776-34-8180,飲食店営業,,有限会社プートン,亀田 勇,福井県福井市花堂南２丁目１６－１ショッピングシティベル内,福井県福井市花堂南２丁目１６－１,ショッピングシティベル内,0776-34-8180,2021年9月8日,2021年9月8日,福井市指令生衛第21-4-236,,221,ぷーとん麺りん,0776,0776-34-8180,,,,福井県　福井市花堂南２丁目１６－１,福井県福井市花堂南２丁目１６－１,ベル２Ｆ,97554,18,18201,花堂南２,,2021/09/08,2021/09/08,,,有限会社プートン,亀田 勇,0776-34-8180,福井県福井市花堂南２丁目１６－１,福井県福井市花堂南２丁目１６－１,ショッピングシティベル内,97554,福井県,福井市,花堂南２,福井市指令生衛第21-4-236,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ぷとん麺りん0776-34-81809755418201,2defaf90-fd57-4519-b161-d475cffaf416,有限会社プートン97554,13a6e3ee-25ea-4a1b-88d8-5f8a7a79290e,31cd973b-d044-4848-9376-447075caa82b,2021/09/08,ぷーとん麺りん,ぷとん麺りん,有限会社プートン
3861,来々軒,福井県,福井市つくも２丁目１－２２,福井市つくも２丁目１－２２,,0776-36-8200,飲食店営業,,有限会社来々軒,光森 幸夫,福井県福井市つくも２丁目１－５,福井県福井市つくも２丁目１－５,,0776-36-8200,2021年9月8日,2021年9月8日,福井市指令生衛第21-4-300,,221,来々軒,0776,0776-36-8200,,,,福井県　福井市つくも２丁目１－２２,福井県福井市つくも２丁目１－２２,,97318,18,18201,つくも２,,2021/09/08,2021/09/08,,,有限会社来々軒,光森 幸夫,0776-36-8200,福井県福井市つくも２丁目１－５,福井県福井市つくも２丁目１－５,,97318,福井県,福井市,つくも２,福井市指令生衛第21-4-300,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,来軒0776-36-82009731818201,3508c9d7-105e-4e64-b627-3555f97d9be7,有限会社来々軒97318,9581add8-b3ec-46ca-a172-6e35d4573e93,e59f4384-31ae-4cbf-98c7-3da308098872,2021/09/08,来々軒,来軒,有限会社来々軒
3862,越前つるきそば　ベル店,福井県,福井市花堂南２丁目１６－１ベル１Ｆ,福井市花堂南２丁目１６－１,ベル１Ｆ,0776-34-1878,飲食店営業,,有限会社越前つるきそば,森下 励次朗,福井県福井市中央２丁目３－１３,福井県福井市中央２丁目３－１３,,0776-27-0555,2021年9月8日,2021年9月8日,福井市指令生衛第21-4-306,,221,越前つるきそば　ベル店,0776,0776-34-1878,,,,福井県　福井市花堂南２丁目１６－１,福井県福井市花堂南２丁目１６－１,ベル１Ｆ,97554,18,18201,花堂南２,,2021/09/08,2021/09/08,,,有限会社越前つるきそば,森下 励次朗,0776-27-0555,福井県福井市中央２丁目３－１３,福井県福井市中央２丁目３－１３,,97309,福井県,福井市,中央２,福井市指令生衛第21-4-306,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,越前つるきそばベル店0776-34-18789755418201,124b2905-2e2a-4495-bdae-7e2c908c9609,有限会社越前つるきそば97309,5c3a918c-a04b-4125-abc7-1ed6b3ae3e58,2d2d20c5-5fec-42e6-b28f-f2210cf087ef,2021/09/08,越前つるきそば　ベル店,越前つるきそばベル店,有限会社越前つるきそば
3863,セブン－イレブン　福井板垣３丁目店,,福井市板垣３丁目１６０３,福井市板垣３丁目１６０３,,0776-35-1192,飲食店営業,,,間 亮,,,,,2021年9月8日,2021年9月8日,福井市指令生衛第21-4-317,,221,セブン－イレブン　福井板垣３丁目店,0776,0776-35-1192,,,,　福井市板垣３丁目１６０３,福井県福井市板垣３丁目１６０３,,97582,18,18201,板垣３,,2021/09/08,2021/09/08,,,,間 亮,,,,,,,,,福井市指令生衛第21-4-317,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,セブンイレブン福井板垣３丁目店0776-35-11929758218201,efb8c9bd-2371-4646-841c-7351a15d489b,,personal,9401a3ea-6938-4e00-8bdc-a01189389970,2021/09/08,セブンイレブン　福井板垣３丁目店,セブンイレブン福井板垣３丁目店,
