https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,n処理終了,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,申請者1,施設名,,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,業種,,営業所所在地,,,営業者氏名,屋号または商号,変更事項,,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
30板保生食ほ-  292,飲食店営業,東京都,板橋区小豆沢二丁目21番17号　Ａ＆Ｋ小豆沢１０２,板橋区小豆沢２丁目２１番１７号, Ａ＆Ｋ小豆沢１０２,森屋　武,ＤＩＮＩＮＧ ａｉａｉ,住所（個人）,変更,,板橋区保健所,ＤＩＮＩＮＧ ａｉａｉ,03,,,,,東京都　板橋区小豆沢２丁目２１番１７号,東京都板橋区小豆沢２丁目２１番１７号, Ａ＆Ｋ小豆沢１０２,75040,東京都,板橋区,小豆沢２,,,,,,,森屋　武,,,,,,,,,30板保生食ほ-  292,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＤＩＮＩＮＧ　ａｉａｉ,ＤＩＮＩＮＧａｉａｉ,
28板保生食ほ-  914,喫茶店営業（自動販売機）,東京都,板橋区中丸町12番1号,板橋区中丸町１２番１号,,ナショナル・ベンディング株式会社,陸王交通,本社所在地（法人）,変更,,板橋区保健所,陸王交通,03,,,,,東京都　板橋区中丸町１２番１号,東京都板橋区中丸町１２番１号,,75112,東京都,板橋区,中丸町,,,,,,ナショナル・ベンディング株式会社,,,,,,,,,,28板保生食ほ-  914,変更,喫茶店営業,自動販売機,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,陸王交通,陸王交通,ナショナル・ベンディング株式会社
29板保生食ほ-  543,飲食店営業（臨時）,東京都,都内一円,都内一円,,田口　鮎子,アユキチ,住所（個人）,変更,,板橋区保健所,アユキチ,,,,,,東京都　都内一円,東京都都内一円,,,東京都,,,,,,,,,田口　鮎子,,,,,,,,,29板保生食ほ-  543,変更,飲食店営業,臨時,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,アユキチ,アユキチ,
28板保生食ほ-  962,飲食店営業（自動車）,東京都,都内一円,都内一円,,田口　鮎子,ayukayu,住所（個人）,変更,,板橋区保健所,ayukayu,,,,,,東京都　都内一円,東京都都内一円,,,東京都,,,,,,,,,田口　鮎子,,,,,,,,,28板保生食ほ-  962,変更,飲食店営業,自動車,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,ａｙｕｋａｙｕ,ａｙｕｋａｙｕ,
28板保生食ほ-  962,飲食店営業（自動車）,東京都,都内一円,都内一円,,田口　鮎子,ayukayu,営業設備の大要,変更,,板橋区保健所,ayukayu,,,,,,東京都　都内一円,東京都都内一円,,,東京都,,,,,,,,,田口　鮎子,,,,,,,,,28板保生食ほ-  962,変更,飲食店営業,自動車,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,ａｙｕｋａｙｕ,ａｙｕｋａｙｕ,
31板保生食ほ-  638,飲食店営業,東京都,板橋区常盤台四丁目25番6号,板橋区常盤台４丁目２５番６号,,株式会社セブン＆アイ・フードシステムズ,デニーズ上板橋店,その他,変更,,板橋区保健所,デニーズ上板橋店,03,,,,,東京都　板橋区常盤台４丁目２５番６号,東京都板橋区常盤台４丁目２５番６号,,75097,東京都,板橋区,常盤台４,,,,,,株式会社セブン＆アイ・フードシステムズ,,,,,,,,,,31板保生食ほ-  638,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,デニーズ上板橋店,デニズ上板橋店,株式会社セブン＆アイ・フードシステムズ
31板保生食れ-  107,食料品等販売業,東京都,板橋区常盤台四丁目25番6号,板橋区常盤台４丁目２５番６号,,株式会社セブン＆アイ・フードシステムズ,デニーズ上板橋店,その他,変更,,板橋区保健所,デニーズ上板橋店,03,,,,,東京都　板橋区常盤台４丁目２５番６号,東京都板橋区常盤台４丁目２５番６号,,75097,東京都,板橋区,常盤台４,,,,,,株式会社セブン＆アイ・フードシステムズ,,,,,,,,,,31板保生食れ-  107,変更,食料品販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,農業，林業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,デニーズ上板橋店,デニズ上板橋店,株式会社セブン＆アイ・フードシステムズ
27板保生食ほ-  812,食肉処理業,東京都,板橋区高島平六丁目2番4号,板橋区高島平６丁目２番４号,,株式会社丸富商店,(株)丸富商店,営業設備の大要,変更,,板橋区保健所,(株)丸富商店,03,,,,,東京都　板橋区高島平６丁目２番４号,東京都板橋区高島平６丁目２番４号,,75089,東京都,板橋区,高島平６,,,,,,株式会社丸富商店,,,,,,,,,,27板保生食ほ-  812,変更,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,株式会社丸富商店,株式会社丸富商店,株式会社丸富商店
3板保生食ほ-  245,食肉処理業,東京都,板橋区高島平六丁目2番4号,板橋区高島平６丁目２番４号,,株式会社マルトミ,株式会社マルトミ,営業設備の大要,変更,,板橋区保健所,株式会社マルトミ,03,,,,,東京都　板橋区高島平６丁目２番４号,東京都板橋区高島平６丁目２番４号,,75089,東京都,板橋区,高島平６,,,,,,株式会社マルトミ,,,,,,,,,,3板保生食ほ-  245,変更,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,株式会社マルトミ,株式会社マルトミ,株式会社マルトミ
30板保生食ほ- 1189,飲食店営業,東京都,板橋区上板橋二丁目36番7号,板橋区上板橋２丁目３６番７号,,東武商事株式会社,ファミリーマート上板橋駅店,代表者氏名,変更,,板橋区保健所,ファミリーマート上板橋駅店,03,,,,,東京都　板橋区上板橋２丁目３６番７号,東京都板橋区上板橋２丁目３６番７号,,75061,東京都,板橋区,上板橋２,,,,,,東武商事株式会社,,,,,,,,,,30板保生食ほ- 1189,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート上板橋駅店,ファミリマト上板橋駅店,東武商事株式会社
26板保生食ほ-  797,飲食店営業,東京都,板橋区高島平一丁目27番12号,板橋区高島平１丁目２７番１２号,,株式会社ＫＲホールディングス,かごの屋高島平店,ふぐ加工製品取扱変更届,変更,,板橋区保健所,かごの屋高島平店,03,,,,,東京都　板橋区高島平１丁目２７番１２号,東京都板橋区高島平１丁目２７番１２号,,75084,東京都,板橋区,高島平１,,,,,,株式会社ＫＲホールディングス,,,,,,,,,,26板保生食ほ-  797,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,かごの屋高島平店,かごの屋高島平店,株式会社ＫＲホールディングス
2板保生食ほ-  557,食肉販売業,東京都,板橋区高島平一丁目27番12号,板橋区高島平１丁目２７番１２号,,株式会社ＫＲホールディングス,かごの屋高島平店,ふぐ加工製品取扱変更届,変更,,板橋区保健所,かごの屋高島平店,03,,,,,東京都　板橋区高島平１丁目２７番１２号,東京都板橋区高島平１丁目２７番１２号,,75084,東京都,板橋区,高島平１,,,,,,株式会社ＫＲホールディングス,,,,,,,,,,2板保生食ほ-  557,変更,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,かごの屋高島平店,かごの屋高島平店,株式会社ＫＲホールディングス
2板保生食ほ-  558,魚介類販売業,東京都,板橋区高島平一丁目27番12号,板橋区高島平１丁目２７番１２号,,株式会社ＫＲホールディングス,かごの屋高島平店,ふぐ加工製品取扱変更届,変更,,板橋区保健所,かごの屋高島平店,03,,,,,東京都　板橋区高島平１丁目２７番１２号,東京都板橋区高島平１丁目２７番１２号,,75084,東京都,板橋区,高島平１,,,,,,株式会社ＫＲホールディングス,,,,,,,,,,2板保生食ほ-  558,変更,魚介類販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,,,,,,,,,かごの屋高島平店,かごの屋高島平店,株式会社ＫＲホールディングス
3板保生食ほ-  713,飲食店営業,東京都,板橋区高島平一丁目27番12号,板橋区高島平１丁目２７番１２号,,株式会社ＫＲホールディングス,かごの屋高島平店,ふぐ加工製品取扱変更届,変更,,板橋区保健所,かごの屋高島平店,03,,,,,東京都　板橋区高島平１丁目２７番１２号,東京都板橋区高島平１丁目２７番１２号,,75084,東京都,板橋区,高島平１,,,,,,株式会社ＫＲホールディングス,,,,,,,,,,3板保生食ほ-  713,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,かごの屋高島平店,かごの屋高島平店,株式会社ＫＲホールディングス
28板保生食ほ- 1269,食肉販売業,東京都,板橋区坂下三丁目34番8号,板橋区坂下３丁目３４番８号,,株式会社Ｍ＆Ｎ商事,株式会社Ｍ＆Ｎ商事,ふぐ加工製品取扱申請,変更,,板橋区保健所,株式会社Ｍ＆Ｎ商事,03,,,,,東京都　板橋区坂下３丁目３４番８号,東京都板橋区坂下３丁目３４番８号,,75073,東京都,板橋区,坂下３,,,,,,株式会社Ｍ＆Ｎ商事,,,,,,,,,,28板保生食ほ- 1269,変更,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,株式会社Ｍ＆Ｎ商事,株式会社ＭＮ商事,株式会社Ｍ＆Ｎ商事
28板保生食ほ- 1270,魚介類販売業,東京都,板橋区坂下三丁目34番8号,板橋区坂下３丁目３４番８号,,株式会社Ｍ＆Ｎ商事,株式会社Ｍ＆Ｎ商事,ふぐ加工製品取扱申請,変更,,板橋区保健所,株式会社Ｍ＆Ｎ商事,03,,,,,東京都　板橋区坂下３丁目３４番８号,東京都板橋区坂下３丁目３４番８号,,75073,東京都,板橋区,坂下３,,,,,,株式会社Ｍ＆Ｎ商事,,,,,,,,,,28板保生食ほ- 1270,変更,魚介類販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,,,,,,,,,株式会社Ｍ＆Ｎ商事,株式会社ＭＮ商事,株式会社Ｍ＆Ｎ商事
29板保生食ほ-  851,飲食店営業,東京都,板橋区小豆沢三丁目9番5号　セブンタウン小豆沢　１階,板橋区小豆沢３丁目９番５号,セブンタウン小豆沢 １階,株式会社あをきや,ミスタードーナツセブンタウン小豆沢ショップ,代表者氏名,変更,,板橋区保健所,ミスタードーナツセブンタウン小豆沢ショップ,03,,,,,東京都　板橋区小豆沢３丁目９番５号,東京都板橋区小豆沢３丁目９番５号,セブンタウン小豆沢 １階,75041,東京都,板橋区,小豆沢３,,,,,,株式会社あをきや,,,,,,,,,,29板保生食ほ-  851,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,ミスタードーナツセブンタウン小豆沢ショップ,ミスタドナツセブンタウン小豆沢ショップ,株式会社あをきや
29板保生食ほ-  851,飲食店営業,東京都,板橋区小豆沢三丁目9番5号　セブンタウン小豆沢　１階,板橋区小豆沢３丁目９番５号,セブンタウン小豆沢 １階,株式会社あをきや,ミスタードーナツセブンタウン小豆沢ショップ,その他,変更,,板橋区保健所,ミスタードーナツセブンタウン小豆沢ショップ,03,,,,,東京都　板橋区小豆沢３丁目９番５号,東京都板橋区小豆沢３丁目９番５号,セブンタウン小豆沢 １階,75041,東京都,板橋区,小豆沢３,,,,,,株式会社あをきや,,,,,,,,,,29板保生食ほ-  851,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,ミスタードーナツセブンタウン小豆沢ショップ,ミスタドナツセブンタウン小豆沢ショップ,株式会社あをきや
29板保生食ほ-  852,菓子製造業,東京都,板橋区小豆沢三丁目9番5号　セブンタウン小豆沢　１階,板橋区小豆沢３丁目９番５号,セブンタウン小豆沢 １階,株式会社あをきや,ミスタードーナツセブンタウン小豆沢ショップ,代表者氏名,変更,,板橋区保健所,ミスタードーナツセブンタウン小豆沢ショップ,03,,,,,東京都　板橋区小豆沢３丁目９番５号,東京都板橋区小豆沢３丁目９番５号,セブンタウン小豆沢 １階,75041,東京都,板橋区,小豆沢３,,,,,,株式会社あをきや,,,,,,,,,,29板保生食ほ-  852,変更,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,製造業,食料品製造業,,,,,,,,,ミスタードーナツセブンタウン小豆沢ショップ,ミスタドナツセブンタウン小豆沢ショップ,株式会社あをきや
29板保生食ほ-  852,菓子製造業,東京都,板橋区小豆沢三丁目9番5号　セブンタウン小豆沢　１階,板橋区小豆沢３丁目９番５号,セブンタウン小豆沢 １階,株式会社あをきや,ミスタードーナツセブンタウン小豆沢ショップ,その他,変更,,板橋区保健所,ミスタードーナツセブンタウン小豆沢ショップ,03,,,,,東京都　板橋区小豆沢３丁目９番５号,東京都板橋区小豆沢３丁目９番５号,セブンタウン小豆沢 １階,75041,東京都,板橋区,小豆沢３,,,,,,株式会社あをきや,,,,,,,,,,29板保生食ほ-  852,変更,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,製造業,食料品製造業,,,,,,,,,ミスタードーナツセブンタウン小豆沢ショップ,ミスタドナツセブンタウン小豆沢ショップ,株式会社あをきや
26板保生食ほ- 1313,魚介類販売業,東京都,板橋区桜川三丁目23番2号,板橋区桜川３丁目２３番２号,,株式会社コモディイイダ,コモディイイダ桜川店,代表者氏名,変更,,板橋区保健所,コモディイイダ桜川店,03,,,,,東京都　板橋区桜川３丁目２３番２号,東京都板橋区桜川３丁目２３番２号,,75076,東京都,板橋区,桜川３,,,,,,株式会社コモディイイダ,,,,,,,,,,26板保生食ほ- 1313,変更,魚介類販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,,,,,,,,,コモディイイダ桜川店,コモディイイダ桜川店,株式会社コモディイイダ
26板保生食ほ- 1314,食肉販売業,東京都,板橋区桜川三丁目23番2号,板橋区桜川３丁目２３番２号,,株式会社コモディイイダ,コモディイイダ桜川店,代表者氏名,変更,,板橋区保健所,コモディイイダ桜川店,03,,,,,東京都　板橋区桜川３丁目２３番２号,東京都板橋区桜川３丁目２３番２号,,75076,東京都,板橋区,桜川３,,,,,,株式会社コモディイイダ,,,,,,,,,,26板保生食ほ- 1314,変更,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,コモディイイダ桜川店,コモディイイダ桜川店,株式会社コモディイイダ
26板保生食ほ- 1315,飲食店営業,東京都,板橋区桜川三丁目23番2号,板橋区桜川３丁目２３番２号,,株式会社コモディイイダ,コモディイイダ桜川店,代表者氏名,変更,,板橋区保健所,コモディイイダ桜川店,03,,,,,東京都　板橋区桜川３丁目２３番２号,東京都板橋区桜川３丁目２３番２号,,75076,東京都,板橋区,桜川３,,,,,,株式会社コモディイイダ,,,,,,,,,,26板保生食ほ- 1315,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,コモディイイダ桜川店,コモディイイダ桜川店,株式会社コモディイイダ
28板保生食ほ- 1118,菓子製造業,東京都,板橋区桜川三丁目23番2号,板橋区桜川３丁目２３番２号,,株式会社コモディイイダ,コモディイイダ桜川店,代表者氏名,変更,,板橋区保健所,コモディイイダ桜川店,03,,,,,東京都　板橋区桜川３丁目２３番２号,東京都板橋区桜川３丁目２３番２号,,75076,東京都,板橋区,桜川３,,,,,,株式会社コモディイイダ,,,,,,,,,,28板保生食ほ- 1118,変更,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,製造業,食料品製造業,,,,,,,,,コモディイイダ桜川店,コモディイイダ桜川店,株式会社コモディイイダ
30板保生食ほ-  820,飲食店営業,東京都,板橋区桜川三丁目23番2号,板橋区桜川３丁目２３番２号,,株式会社コモディイイダ,コモディイイダ桜川店,代表者氏名,変更,,板橋区保健所,コモディイイダ桜川店,03,,,,,東京都　板橋区桜川３丁目２３番２号,東京都板橋区桜川３丁目２３番２号,,75076,東京都,板橋区,桜川３,,,,,,株式会社コモディイイダ,,,,,,,,,,30板保生食ほ-  820,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,コモディイイダ桜川店,コモディイイダ桜川店,株式会社コモディイイダ
30板保生食ほ-  821,飲食店営業,東京都,板橋区桜川三丁目23番2号,板橋区桜川３丁目２３番２号,,株式会社コモディイイダ,コモディイイダ桜川店,代表者氏名,変更,,板橋区保健所,コモディイイダ桜川店,03,,,,,東京都　板橋区桜川３丁目２３番２号,東京都板橋区桜川３丁目２３番２号,,75076,東京都,板橋区,桜川３,,,,,,株式会社コモディイイダ,,,,,,,,,,30板保生食ほ-  821,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,コモディイイダ桜川店,コモディイイダ桜川店,株式会社コモディイイダ
30板保生食ほ-  823,菓子製造業,東京都,板橋区桜川三丁目23番2号,板橋区桜川３丁目２３番２号,,株式会社コモディイイダ,コモディイイダ桜川店,代表者氏名,変更,,板橋区保健所,コモディイイダ桜川店,03,,,,,東京都　板橋区桜川３丁目２３番２号,東京都板橋区桜川３丁目２３番２号,,75076,東京都,板橋区,桜川３,,,,,,株式会社コモディイイダ,,,,,,,,,,30板保生食ほ-  823,変更,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,製造業,食料品製造業,,,,,,,,,コモディイイダ桜川店,コモディイイダ桜川店,株式会社コモディイイダ
3板保生食ほ-  182,飲食店営業,東京都,板橋区大山町24番8号,板橋区大山町２４番８号,,合同会社友営,麺屋天成,営業所名称、屋号または商号,変更,,板橋区保健所,麺屋天成,03,,,,,東京都　板橋区大山町２４番８号,東京都板橋区大山町２４番８号,,75055,東京都,板橋区,大山町,,,,,,合同会社友営,,,,,,,,,,3板保生食ほ-  182,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,麺屋天成,麺屋天成,合同会社友営
30板保生食ほ-  716,飲食店営業,東京都,板橋区大山金井町41番6号,板橋区大山金井町４１番６号,,関口　美恵子,スナックたぬき御殿,その他,変更,,板橋区保健所,スナックたぬき御殿,03,,,,,東京都　板橋区大山金井町４１番６号,東京都板橋区大山金井町４１番６号,,75054,東京都,板橋区,大山金井町,,,,,,,関口　美恵子,,,,,,,,,30板保生食ほ-  716,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナックたぬき御殿,スナックたぬき御殿,
27板保生食ほ- 1351,飲食店営業,東京都,板橋区大山町24番17号,板橋区大山町２４番１７号,,岩﨑　達也,居酒家恵風和暢あっと,住所（個人）,変更,,板橋区保健所,居酒家恵風和暢あっと,03,,,,,東京都　板橋区大山町２４番１７号,東京都板橋区大山町２４番１７号,,75055,東京都,板橋区,大山町,,,,,,,岩﨑　達也,,,,,,,,,27板保生食ほ- 1351,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,居酒家恵風和暢あっと,居酒家恵風和暢あっと,
28板保生食ほ- 1302,飲食店営業,東京都,板橋区赤塚一丁目7番2号,板橋区赤塚１丁目７番２号,,株式会社松屋フーズ,松屋下赤塚店,営業設備の大要,変更,,板橋区保健所,松屋下赤塚店,03,,,,,東京都　板橋区赤塚１丁目７番２号,東京都板橋区赤塚１丁目７番２号,,75028,東京都,板橋区,赤塚１,,,,,,株式会社松屋フーズ,,,,,,,,,,28板保生食ほ- 1302,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,松屋下赤塚店,松屋下赤塚店,株式会社松屋フーズ
28板保生食ほ-    1,飲食店営業,東京都,板橋区蓮沼町22番5号,板橋区蓮沼町２２番５号,,株式会社京樽,京樽・スシロー　本蓮沼店,営業所名称、屋号または商号,変更,,板橋区保健所,京樽・スシロー　本蓮沼店,03,,,,,東京都　板橋区蓮沼町２２番５号,東京都板橋区蓮沼町２２番５号,,75122,東京都,板橋区,蓮沼町,,,,,,株式会社京樽,,,,,,,,,,28板保生食ほ-    1,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,京樽・スシロー　本蓮沼店,京樽スシロ本蓮沼店,株式会社京樽
3板保生食ほ-  452,飲食店営業,東京都,板橋区蓮根三丁目9番5号,板橋区蓮根３丁目９番５号,,株式会社京樽,京樽・スシロー　西台店,営業所名称、屋号または商号,変更,,板橋区保健所,京樽・スシロー　西台店,03,,,,,東京都　板橋区蓮根３丁目９番５号,東京都板橋区蓮根３丁目９番５号,,75125,東京都,板橋区,蓮根３,,,,,,株式会社京樽,,,,,,,,,,3板保生食ほ-  452,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,京樽・スシロー　西台店,京樽スシロ西台店,株式会社京樽
26板保生食ほ- 1082,飲食店営業,東京都,板橋区成増二丁目18番12号,板橋区成増２丁目１８番１２号,,有限会社タコスーヤ,ダイナマイト酒場グレート,営業設備の大要,変更,,板橋区保健所,ダイナマイト酒場グレート,03,,,,,東京都　板橋区成増２丁目１８番１２号,東京都板橋区成増２丁目１８番１２号,,75114,東京都,板橋区,成増２,,,,,,有限会社タコスーヤ,,,,,,,,,,26板保生食ほ- 1082,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,ダイナマイト酒場グレート,ダイナマイト酒場グレト,有限会社タコスーヤ
27板保生食ほ-  903,飲食店営業,東京都,板橋区前野町四丁目21番22号,板橋区前野町４丁目２１番２２号,,イオンリテール株式会社,イオンスタイル板橋前野町　地下一階リワードキッチン,営業所名称、屋号または商号,変更,,板橋区保健所,イオンスタイル板橋前野町　地下一階リワードキッチン,03,,,,,東京都　板橋区前野町４丁目２１番２２号,東京都板橋区前野町４丁目２１番２２号,,75142,東京都,板橋区,前野町４,,,,,,イオンリテール株式会社,,,,,,,,,,27板保生食ほ-  903,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,イオンスタイル板橋前野町　地下一階リワードキッチン,イオンスタイル板橋前野町地下一階リワドキッチン,イオンリテール株式会社
27板保生食ほ-  903,飲食店営業,東京都,板橋区前野町四丁目21番22号,板橋区前野町４丁目２１番２２号,,イオンリテール株式会社,イオンスタイル板橋前野町　地下一階リワードキッチン,営業設備の大要,変更,,板橋区保健所,イオンスタイル板橋前野町　地下一階リワードキッチン,03,,,,,東京都　板橋区前野町４丁目２１番２２号,東京都板橋区前野町４丁目２１番２２号,,75142,東京都,板橋区,前野町４,,,,,,イオンリテール株式会社,,,,,,,,,,27板保生食ほ-  903,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,イオンスタイル板橋前野町　地下一階リワードキッチン,イオンスタイル板橋前野町地下一階リワドキッチン,イオンリテール株式会社
27板保生食ほ-  900,飲食店営業,東京都,板橋区前野町四丁目21番22号,板橋区前野町４丁目２１番２２号,,イオンリテール株式会社,イオンスタイル板橋前野町　地下１階デリカ,営業設備の大要,変更,,板橋区保健所,イオンスタイル板橋前野町　地下１階デリカ,03,,,,,東京都　板橋区前野町４丁目２１番２２号,東京都板橋区前野町４丁目２１番２２号,,75142,東京都,板橋区,前野町４,,,,,,イオンリテール株式会社,,,,,,,,,,27板保生食ほ-  900,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,イオンスタイル板橋前野町　地下１階デリカ,イオンスタイル板橋前野町地下１階デリカ,イオンリテール株式会社
