https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,業態,施設名,施設-住所1,施設-マンション名,申請者1,申請-住所1,申請-マンション名,施設-電話番号1,申請-電話番号1,許可期間開始日,許可期間終了日,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,営業の種類,細業種,施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業者住所ビル名,施設電話番号,営業者電話番号,有効期間始期,有効期間終期,施行年月日,初回施行日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3津保第17-15号,魚介類販売業,一般,有限会社 ヤマヨ,津島市高台寺町字新開２,名古屋西流通センター内,有限会社 ヤマヨ,愛知県名古屋市中川区下之一色町中の切７１,,0567-32-1791,052-301-8707,2022/03/01,2028/02/29,2021/12/15,2021/12/15,,254,有限会社 ヤマヨ,0567,0567-32-1791,,,,津島市高台寺町字新開２,愛知県津島市高台寺町字新開２,名古屋西流通センター内,121677,23,23208,高台寺町,,2021/12/15,2021/12/15,2022/03/01,2028/02/29,有限会社 ヤマヨ,,052-301-8707,愛知県名古屋市中川区下之一色町中の切７１,愛知県名古屋市中川区下ノ一色町中ノ切７１,,115770,愛知県,名古屋市中川区,下ノ一色町,3津保第17-15号,,魚介類販売業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,I,58,,,有限会社ヤマヨ0567-32-179112167723208,899b4073-ca85-4848-886b-0880c1f9b7dc,有限会社ヤマヨ115770,5c9a86f0-152e-4a6e-953e-fd84975267fc,537e3fcb-6de9-4c88-b4f7-7df1e9a2c8f2,2021/12/15,有限会社ヤマヨ,有限会社ヤマヨ,有限会社ヤマヨ
3津保第14-185号,飲食店営業,一般食堂・レストラン等,プチ・トマト,津島市立込町４－１４４,津島商工会議所１Ｆ,川﨑 信一,,,0567-24-1196,,2022/02/01,2028/01/31,2021/12/17,2021/12/17,,254,プチ・トマト,0567,0567-24-1196,,,,津島市立込町４－１４４,愛知県津島市立込町４－１４４,津島商工会議所１Ｆ,121716,23,23208,立込町４,,2021/12/17,2021/12/17,2022/02/01,2028/01/31,,川﨑 信一,,,,,,,,,3津保第14-185号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,プチトマト0567-24-119612171623208,854183ac-61e4-4d04-acc0-f816415d11c2,,personal,0f6dec06-0e2d-4635-a45f-1d23aaeefa64,2021/12/17,プチ・トマト,プチトマト,
3津保第14-186号,飲食店営業,一般食堂・レストラン等,ミントハウス,津島市寺野町字下ノ町１２８番地,,井上 法廣,,,0567-28-5124,,2022/03/01,2028/02/29,2021/12/17,2021/12/17,,254,ミントハウス,0567,0567-28-5124,,,,津島市寺野町字下ノ町１２８番地,愛知県津島市寺野町字下ノ町１２８番地,,121720,23,23208,寺野町,,2021/12/17,2021/12/17,2022/03/01,2028/02/29,,井上 法廣,,,,,,,,,3津保第14-186号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ミントハウス0567-28-512412172023208,2bb025c6-e898-4f60-abf5-a0d5e9b6c7c0,,personal,4069f2b2-a3d7-4e4d-9c8d-cc501e5df664,2021/12/17,ミントハウス,ミントハウス,
3津保第1-137号,飲食店営業,その他,ａｎａｂｅｌｌ ｃｏｆｆｅｅ,津島市西柳原町３－１５,,有限会社ピザサンマリノ津島,愛知県津島市南門前町２丁目２７番地,,0567-23-6311,0567-23-0503,2021/12/13,2027/12/31,2021/12/13,2021/12/13,,254,ａｎａｂｅｌｌ ｃｏｆｆｅｅ,0567,0567-23-6311,,,,津島市西柳原町３－１５,愛知県津島市西柳原町３－１５,,121748,23,23208,西柳原町３,,2021/12/13,2021/12/13,2021/12/13,2027/12/31,有限会社ピザサンマリノ津島,,0567-23-0503,愛知県津島市南門前町２丁目２７番地,愛知県津島市南門前町２丁目２７番地,,121809,愛知県,津島市,南門前町２,3津保第1-137号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ａｎａｂｅｌｌｃｏｆｆｅｅ0567-23-631112174823208,473ec8a8-677f-4ca3-9f1c-71360294e57a,有限会社ピザサンマリノ津島121809,8ec2b661-30ad-4dae-8296-0dcc6d556bc5,b0e80b29-f3c3-4f68-985b-e328cdcc7bb8,2021/12/13,ａｎａｂｅｌｌ　ｃｏｆｆｅｅ,ａｎａｂｅｌｌｃｏｆｆｅｅ,有限会社ピザサンマリノ津島
3津保第14-192号,飲食店営業,その他,ホワイト餃子,津島市永楽町１－１２,,加藤 信幸,,,25-5331,,2022/03/01,2028/02/29,2021/12/20,2021/12/20,,254,ホワイト餃子,0567,0567-25-5331,,,,津島市永楽町１－１２,愛知県津島市永楽町１－１２,,121629,23,23208,永楽町１,,2021/12/20,2021/12/20,2022/03/01,2028/02/29,,加藤 信幸,,,,,,,,,3津保第14-192号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ホワイト餃子0567-25-533112162923208,a81676da-7538-48ff-a8c8-6260d86bcc82,,personal,fd1e24d4-3ff7-4506-aa4c-e52b7fcc1554,2021/12/20,ホワイト餃子,ホワイト餃子,
3津保第14-189号,飲食店営業,仕出し屋・弁当屋,合名会社 カネデン,津島市馬場町２８番地,,合名会社 カネデン,愛知県津島市馬場町２８番地,,0567-26-2544,,2022/03/01,2028/02/29,2021/12/20,2021/12/20,,254,合名会社 カネデン,0567,0567-26-2544,,,,津島市馬場町２８番地,愛知県津島市馬場町２８番地,,121758,23,23208,馬場町,,2021/12/20,2021/12/20,2022/03/01,2028/02/29,合名会社 カネデン,,,愛知県津島市馬場町２８番地,愛知県津島市馬場町２８番地,,121758,愛知県,津島市,馬場町,3津保第14-189号,,飲食店営業, 仕出し屋・弁当屋,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,合名会社カネデン0567-26-254412175823208,35bf0454-1c7b-4e48-a17d-eb8a056b6362,合名会社　カネデン121758,bd5e2528-7406-4849-add9-182994e4bfbc,7b5aa850-84ac-4c75-bf1c-2f0fb957e45b,2021/12/20,合名会社　カネデン,合名会社カネデン,合名会社　カネデン
3津保第14-190号,飲食店営業,その他,米乃家 津島店,津島市藤浪町２丁目８,フィール店内 １階,有限会社 太鳳,三重県桑名市赤尾台五丁目６番地１,,0567-28-4117,,2022/03/01,2028/02/29,2021/12/20,2021/12/20,,254,米乃家 津島店,0567,0567-28-4117,,,,津島市藤浪町２丁目８,愛知県津島市藤浪町２丁目８,フィール店内 １階,121779,23,23208,藤浪町２,,2021/12/20,2021/12/20,2022/03/01,2028/02/29,有限会社 太鳳,,,三重県桑名市赤尾台五丁目６番地１,三重県桑名市赤尾台５丁目６番地１,,136308,三重県,桑名市,赤尾台５,3津保第14-190号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,米乃家津島店0567-28-411712177923208,75a10e79-c627-4ef5-985d-e37260d8433c,有限会社太鳳136308,fada2cc4-058a-4217-9384-fab7bbcb8386,142061ef-a2cf-47b8-b909-c4dfae8a2a97,2021/12/20,米乃家　津島店,米乃家津島店,有限会社太鳳
3津保第14-183号,飲食店営業,その他,ローソン津島又吉町二丁目店,津島市又吉町二丁目５－１,,岩下 孝司,,,0567-26-2001,,2022/01/01,2027/12/31,2021/12/15,2021/12/15,,254,ローソン津島又吉町二丁目店,0567,0567-26-2001,,,,津島市又吉町二丁目５－１,愛知県津島市又吉町２丁目５－１,,121792,23,23208,又吉町２,,2021/12/15,2021/12/15,2022/01/01,2027/12/31,,岩下 孝司,,,,,,,,,3津保第14-183号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ロソン津島又吉町二丁目店0567-26-200112179223208,9e673673-16cd-40fc-93a4-827a4f3665d5,,personal,3d83361e-1378-4e7f-b424-6c223168aefb,2021/12/15,ローソン津島又吉町二丁目店,ロソン津島又吉町二丁目店,
3津保第14-193号,飲食店営業,一般食堂・レストラン等,インディアン・レストラン・プルニマ,津島市大和町２－１０５,,ＫＨＡＴＲＩ ＹＡＭ ＢＡＨＡＤＵＲ,,,,,2022/02/01,2028/01/31,2021/12/20,2021/12/20,,254,インディアン・レストラン・プルニマ,0567,,,,,津島市大和町２－１０５,愛知県津島市大和町２－１０５,,121828,23,23208,大和町２,,2021/12/20,2021/12/20,2022/02/01,2028/01/31,,ＫＨＡＴＲＩ ＹＡＭ ＢＡＨＡＤＵＲ,,,,,,,,,3津保第14-193号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,インディアンレストランプルニマ12182823208,6bea879a-198d-425c-825a-2fb29973e0d2,,personal,5a92d4b3-c098-428d-95ea-90223209d691,2021/12/20,インディアン・レストラン・プルニマ,インディアンレストランプルニマ,
3衣保第4-34号,菓子製造業,一般,(有) ゴンゲン製菓,碧南市権現町２丁目３７３番地,,有限会社ゴンゲン製菓,愛知県碧南市権現町２丁目３７３番地,,0566-48-3971,0566-48-3971,2022/03/01,2027/02/28,2021/12/16,2021/12/16,,260,(有) ゴンゲン製菓,0566,0566-48-3971,,,,碧南市権現町２丁目３７３番地,愛知県碧南市権現町２丁目３７３番地,,122012,23,23209,権現町２,,2021/12/16,2021/12/16,2022/03/01,2027/02/28,有限会社ゴンゲン製菓,,0566-48-3971,愛知県碧南市権現町２丁目３７３番地,愛知県碧南市権現町２丁目３７３番地,,122012,愛知県,碧南市,権現町２,3衣保第4-34号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,有限会社ゴンゲン製菓0566-48-397112201223209,81666ec6-c2ab-427f-97b7-3f2ff7d6950a,有限会社ゴンゲン製菓122012,206d71d3-4041-4e40-aff8-a359bb1ab6d6,37e18f0d-6df3-47e0-bb33-2a966f2b7128,2021/12/16,有限会社ゴンゲン製菓,有限会社ゴンゲン製菓,有限会社ゴンゲン製菓
3衣保第2-294号,飲食店営業,その他,ファミリーマート 碧南塩浜町店,碧南市塩浜町３－８９－１、９０－１,,堀之口 正樹,,,0566-45-2039,,2022/02/01,2028/01/31,2021/12/27,2021/12/27,,260,ファミリーマート 碧南塩浜町店,0566,0566-45-2039,,,,碧南市塩浜町３－８９－１、９０－１,愛知県碧南市塩浜町３－８９－１、９０－１,,122051,23,23209,塩浜町３,,2021/12/27,2021/12/27,2022/02/01,2028/01/31,,堀之口 正樹,,,,,,,,,3衣保第2-294号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ファミリマト碧南塩浜町店0566-45-203912205123209,e30304a0-20ff-4b84-bf7d-e6b8e63b1dec,,personal,02b43b02-7db4-456b-a98b-330ace27b100,2021/12/27,ファミリーマート　碧南塩浜町店,ファミリマト碧南塩浜町店,
3衣保第2-272号,飲食店営業,その他,セブン－イレブン 碧南塩浜町店,碧南市塩浜町６－６６－１,,有限会社 わた甚,愛知県碧南市塩浜町６－６６－１,,0566-41-4900,0566-41-0614,2022/03/01,2028/02/29,2021/12/27,2021/12/27,,260,セブン－イレブン 碧南塩浜町店,0566,0566-41-4900,,,,碧南市塩浜町６－６６－１,愛知県碧南市塩浜町６－６６－１,,122054,23,23209,塩浜町６,,2021/12/27,2021/12/27,2022/03/01,2028/02/29,有限会社 わた甚,,0566-41-0614,愛知県碧南市塩浜町６－６６－１,愛知県碧南市塩浜町６－６６－１,,122054,愛知県,碧南市,塩浜町６,3衣保第2-272号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,セブンイレブン碧南塩浜町店0566-41-490012205423209,5b1c7884-0672-4795-b8ac-4d0829b59a9d,有限会社わた甚122054,96c92f93-0516-4411-b4b5-d7113d18bad0,cc6de65f-bd32-47f1-9745-dc2b0630b8b5,2021/12/27,セブンイレブン　碧南塩浜町店,セブンイレブン碧南塩浜町店,有限会社わた甚
3衣保第1-267号,飲食店営業,その他,Ｑｕｅｅｎｓ,碧南市石橋町２丁目５０番地１,ハイツまるみ１階１０３,長谷川 法生,,,0566-46-8600,,2021/12/22,2027/12/31,2021/12/22,2021/12/22,,260,Ｑｕｅｅｎｓ,0566,0566-46-8600,,,,碧南市石橋町２丁目５０番地１,愛知県碧南市石橋町２丁目５０番地１,ハイツまるみ１階１０３,121883,23,23209,石橋町２,,2021/12/22,2021/12/22,2021/12/22,2027/12/31,,長谷川 法生,,,,,,,,,3衣保第1-267号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,Ｑｕｅｅｎｓ0566-46-860012188323209,6530ac5d-2372-446b-bd22-f350648b1668,,personal,3f7ee36f-c830-4a2f-b03d-b56a02f9ef8e,2021/12/22,Ｑｕｅｅｎｓ,Ｑｕｅｅｎｓ,
3衣保第4-33号,菓子製造業,一般,スギ製菓株式会社,碧南市大浜上町３－８５－１,,スギ製菓株式会社,愛知県碧南市大浜上町３－８５－１,,0566-45-2020,0566-42-4383,2022/03/01,2028/02/29,2021/12/23,2021/12/23,,260,スギ製菓株式会社,0566,0566-45-2020,,,,碧南市大浜上町３－８５－１,愛知県碧南市大浜上町３－８５－１,,121909,23,23209,大浜上町３,,2021/12/23,2021/12/23,2022/03/01,2028/02/29,スギ製菓株式会社,,0566-42-4383,愛知県碧南市大浜上町３－８５－１,愛知県碧南市大浜上町３－８５－１,,121909,愛知県,碧南市,大浜上町３,3衣保第4-33号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,スギ製菓株式会社0566-45-202012190923209,124ec34f-b98e-424e-bbed-6abe24ecb96b,スギ製菓株式会社121909,3e2841b3-9afa-498e-9516-a6dbd781ca12,7e2dc698-faf9-4a13-b78e-61b085c37249,2021/12/23,スギ製菓株式会社,スギ製菓株式会社,スギ製菓株式会社
3衣保第2-286号,飲食店営業,その他,カラオケ喫茶 呼子,碧南市志貴崎町１－３７,,杉浦 賀津彦,,,0566-48-7508,,2022/03/01,2028/02/29,2021/12/27,2021/12/27,,260,カラオケ喫茶 呼子,0566,0566-48-7508,,,,碧南市志貴崎町１－３７,愛知県碧南市志貴崎町１－３７,,122356,23,23209,志貴崎町１,,2021/12/27,2021/12/27,2022/03/01,2028/02/29,,杉浦 賀津彦,,,,,,,,,3衣保第2-286号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,カラオケ喫茶呼子0566-48-750812235623209,3c16098b-3a31-4bb7-a490-cca07eea7bae,,personal,458a8705-c323-4fe7-84c6-ed11d1fd116b,2021/12/27,カラオケ喫茶　呼子,カラオケ喫茶呼子,
3衣保第1-257号,飲食店営業,一般食堂・レストラン等,ベトナム料理 ＬＡＤＯ,碧南市野田町１１９番,,ＬＥ ＴＨＯ ＴＵＮＧ,,,0566-78-0106,,2022/01/01,2027/12/31,2021/12/17,2021/12/17,,260,ベトナム料理 ＬＡＤＯ,0566,0566-78-0106,,,,碧南市野田町１１９番,愛知県碧南市野田町１１９番,,122195,23,23209,野田町,,2021/12/17,2021/12/17,2022/01/01,2027/12/31,,ＬＥ ＴＨＯ ＴＵＮＧ,,,,,,,,,3衣保第1-257号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ベトナム料理ＬＡＤＯ0566-78-010612219523209,d609e2c3-7042-4147-b03e-e9cd9feed536,,personal,b9420fd8-427b-4cac-ab5b-6e5cace4d509,2021/12/17,ベトナム料理　ＬＡＤＯ,ベトナム料理ＬＡＤＯ,
3衣保第2-279号,飲食店営業,その他,モンスター碧南,碧南市天王町２－１１,,大矢 正実,,,0566-41-5769,,2022/02/01,2028/01/31,2021/12/22,2021/12/22,,260,モンスター碧南,0566,0566-41-5769,,,,碧南市天王町２－１１,愛知県碧南市天王町２－１１,,122133,23,23209,天王町２,,2021/12/22,2021/12/22,2022/02/01,2028/01/31,,大矢 正実,,,,,,,,,3衣保第2-279号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,モンスタ碧南0566-41-576912213323209,bc796770-492f-495f-bc3c-071877a673e4,,personal,070cedda-ef03-4ccc-9f21-2f125455e9f4,2021/12/22,モンスター碧南,モンスタ碧南,
3衣保第2-266号,飲食店営業,その他,杉浦ストア,碧南市中後町４－１６７,,杉浦 洋子,,,0566-41-1026,,2022/03/01,2027/02/28,2021/12/20,2021/12/20,,260,杉浦ストア,0566,0566-41-1026,,,,碧南市中後町４－１６７,愛知県碧南市中後町４－１６７,,122422,23,23209,中後町４,,2021/12/20,2021/12/20,2022/03/01,2027/02/28,,杉浦 洋子,,,,,,,,,3衣保第2-266号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,杉浦ストア0566-41-102612242223209,c3c4c782-5aa5-474e-a424-c93432c12e69,,personal,fe3bc51f-e5d5-4259-9c19-62a82f16e1e8,2021/12/20,杉浦ストア,杉浦ストア,
3衣保第10-8号,そうざい製造業,,杉浦ストア,碧南市中後町４－１６７,,杉浦 洋子,,,0566-41-1026,,2022/03/01,2027/02/28,2021/12/20,2021/12/20,,260,杉浦ストア,0566,0566-41-1026,,,,碧南市中後町４－１６７,愛知県碧南市中後町４－１６７,,122422,23,23209,中後町４,,2021/12/20,2021/12/20,2022/03/01,2027/02/28,,杉浦 洋子,,,,,,,,,3衣保第10-8号,,そうざい製造業,,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,杉浦ストア0566-41-102612242223209,c3c4c782-5aa5-474e-a424-c93432c12e69,,personal,1805ec0e-f39f-4340-914f-f0f93d71f604,2021/12/20,杉浦ストア,杉浦ストア,
3衣保第1-224号,飲食店営業,一般食堂・レストラン等,紺桜家,碧南市沢渡町６８番地１,,鈴木 美津子,,,,,2021/12/06,2027/12/31,2021/12/06,2021/12/06,,260,紺桜家,0566,,,,,碧南市沢渡町６８番地１,愛知県碧南市沢渡町６８番地１,,122039,23,23209,沢渡町,,2021/12/06,2021/12/06,2021/12/06,2027/12/31,,鈴木 美津子,,,,,,,,,3衣保第1-224号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,紺桜家12203923209,afb74d8d-9581-459e-aca4-4f7ee61a4742,,personal,0cf0c8b6-1691-4815-90c4-469d66e05973,2021/12/06,紺桜家,紺桜家,
3衣保第2-288号,飲食店営業,一般食堂・レストラン等,日本料理 成錦堂,碧南市作塚町２－３３,,小島 保久,,,0566-46-3022,,2022/03/01,2028/02/29,2021/12/22,2021/12/22,,260,日本料理 成錦堂,0566,0566-46-3022,,,,碧南市作塚町２－３３,愛知県碧南市作塚町２－３３,,122030,23,23209,作塚町２,,2021/12/22,2021/12/22,2022/03/01,2028/02/29,,小島 保久,,,,,,,,,3衣保第2-288号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,日本料理成錦堂0566-46-302212203023209,adcff606-0b84-49f7-8cd6-c2ae47770f37,,personal,28e96b8d-799f-48c0-bbe6-b73e17b0847b,2021/12/22,日本料理　成錦堂,日本料理成錦堂,
3衣保第2-300号,飲食店営業,仕出し屋・弁当屋,おふくろ庵 山桂,碧南市鴻島町２－２６,,山岡 ちかこ,,,0566-41-1781,,2022/03/01,2028/02/29,2021/12/20,2021/12/20,,260,おふくろ庵 山桂,0566,0566-41-1781,,,,碧南市鴻島町２－２６,愛知県碧南市鴻島町２－２６,,121999,23,23209,鴻島町２,,2021/12/20,2021/12/20,2022/03/01,2028/02/29,,山岡 ちかこ,,,,,,,,,3衣保第2-300号,,飲食店営業, 仕出し屋・弁当屋,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,おふくろ庵山桂0566-41-178112199923209,6045ef37-c77c-4a6f-9c06-4d4280c4b977,,personal,89e18106-b09f-4c70-846d-385104e94787,2021/12/20,おふくろ庵　山桂,おふくろ庵山桂,
3衣保第9-9号,そうざい製造業,,インド ネパール料理 ポカラ碧南店,碧南市池下町４－１６,,北原 真理,,,0566-48-2914,,2021/12/17,2027/10/31,2021/12/17,2021/12/17,,260,インド ネパール料理 ポカラ碧南店,0566,0566-48-2914,,,,碧南市池下町４－１６,愛知県碧南市池下町４－１６,,122402,23,23209,池下町４,,2021/12/17,2021/12/17,2021/12/17,2027/10/31,,北原 真理,,,,,,,,,3衣保第9-9号,,そうざい製造業,,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,インドネパル料理ポカラ碧南店0566-48-291412240223209,2423361f-c7e3-4f2c-8163-f7dc77e2f485,,personal,3b918b4e-4e9c-456e-9955-ff550d9416f2,2021/12/17,インド　ネパール料理　ポカラ碧南店,インドネパル料理ポカラ碧南店,
3衣保第1-262号,飲食店営業,仕出し屋・弁当屋,ほっともっと碧南照光店,碧南市照光町４－１２,,株式会社ネコノテ商店,愛知県安城市里町４丁目９－４,,0566-43-5090,,2021/12/10,2027/12/31,2021/12/10,2021/12/10,,260,ほっともっと碧南照光店,0566,0566-43-5090,,,,碧南市照光町４－１２,愛知県碧南市照光町４－１２,,122406,23,23209,照光町４,,2021/12/10,2021/12/10,2021/12/10,2027/12/31,株式会社ネコノテ商店,,,愛知県安城市里町４丁目９－４,愛知県安城市里町４丁目９－４,,124725,愛知県,安城市,里町４,3衣保第1-262号,,飲食店営業, 仕出し屋・弁当屋,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ほっともっと碧南照光店0566-43-509012240623209,a8c6a9eb-fb19-42cc-9dc1-2fca0f114870,株式会社ネコノテ商店124725,9375e7e3-9631-4fdc-83db-4a2b9f71fd5f,41877762-8b10-4267-9a54-6c33fcbe5d92,2021/12/10,ほっともっと碧南照光店,ほっともっと碧南照光店,株式会社ネコノテ商店
3衣保第2-265号,飲食店営業,その他, Ｄｉｎｅｒ,碧南市末広町３－４,,西村 直人,,,0566-41-5080,,2022/02/01,2028/01/31,2021/12/22,2021/12/22,,260, Ｄｉｎｅｒ,0566,0566-41-5080,,,,碧南市末広町３－４,愛知県碧南市末広町３－４,,122468,23,23209,末広町３,,2021/12/22,2021/12/22,2022/02/01,2028/01/31,,西村 直人,,,,,,,,,3衣保第2-265号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,Ｄｉｎｅｒ0566-41-508012246823209,7b86cd17-9b11-4640-8167-a5a4f0704934,,personal,8a299870-1088-4b98-b9f6-5c7d6c814347,2021/12/22,　Ｄｉｎｅｒ,Ｄｉｎｅｒ,
3衣保第2-292号,飲食店営業,一般食堂・レストラン等,ホルモン岡ちゃん,碧南市西山町４丁目３６番地１,,岡本 正人,,,,,2022/02/01,2028/01/31,2021/12/22,2021/12/22,,260,ホルモン岡ちゃん,0566,,,,,碧南市西山町４丁目３６番地１,愛知県碧南市西山町４丁目３６番地１,,122182,23,23209,西山町４,,2021/12/22,2021/12/22,2022/02/01,2028/01/31,,岡本 正人,,,,,,,,,3衣保第2-292号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ホルモン岡ちゃん12218223209,2fa27df7-a477-4ab0-a92d-d7d307862ae9,,personal,d9075689-ea43-421e-981e-3206928c9b1b,2021/12/22,ホルモン岡ちゃん,ホルモン岡ちゃん,
3衣保第4-36号,菓子製造業,一般,株式会社 丸繁製菓,碧南市浜寺町２丁目７５番地,,株式会社 丸繁製菓,愛知県碧南市浜寺町２丁目７５番地,,0566-41-2018,0566-41-2018,2022/02/01,2027/01/31,2021/12/23,2021/12/23,,260,株式会社 丸繁製菓,0566,0566-41-2018,,,,碧南市浜寺町２丁目７５番地,愛知県碧南市浜寺町２丁目７５番地,,122209,23,23209,浜寺町２,,2021/12/23,2021/12/23,2022/02/01,2027/01/31,株式会社 丸繁製菓,,0566-41-2018,愛知県碧南市浜寺町２丁目７５番地,愛知県碧南市浜寺町２丁目７５番地,,122209,愛知県,碧南市,浜寺町２,3衣保第4-36号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,株式会社丸繁製菓0566-41-201812220923209,bd7da96d-8792-4034-aa6d-e5e7895d22b2,株式会社丸繁製菓122209,219602ba-fbdc-4560-9776-ba4e1bab54f3,10ae3aca-feb6-493c-8d3f-3c6f51f92158,2021/12/23,株式会社丸繁製菓,株式会社丸繁製菓,株式会社丸繁製菓
3衣保第1-255号,飲食店営業,一般食堂・レストラン等,からやま 愛知刈谷店,刈谷市恩田町４丁目１５４番１,,エバーアクション株式会社,東京都千代田区神田駿河台４丁目３番地,新お茶の水ビルディング１４階,,03-5217-1538,2021/12/17,2027/12/31,2021/12/17,2021/12/17,,260,からやま 愛知刈谷店,0566,,,,,刈谷市恩田町４丁目１５４番１,愛知県刈谷市恩田町４丁目１５４番１,,122548,23,23210,恩田町４,,2021/12/17,2021/12/17,2021/12/17,2027/12/31,エバーアクション株式会社,,03-5217-1538,東京都千代田区神田駿河台４丁目３番地,東京都千代田区神田駿河台４丁目３番地,新お茶の水ビルディング１４階,72869,東京都,千代田区,神田駿河台４,3衣保第1-255号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,からやま愛知刈谷店12254823210,6bc0bac3-12de-43d8-aedc-0b675260d592,エバーアクション株式会社72869,9c4c8dcd-11e0-4763-babc-6006a2a40752,f957fe22-bfc4-4aca-bbd4-f9020de16722,2021/12/17,からやま　愛知刈谷店,からやま愛知刈谷店,エバーアクション株式会社
