https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,カレーハウスCoCo壱番屋　藤沢駅北口店,神奈川県藤沢市藤沢967番地,石井ビル　1階,,1飲食店営業,株式会社Win-d,0466-29-8066,令和3年11月25日,令和3年11月25日,令和3年11月25日,新規,2021-901-0291,,145,カレーハウスCoCo壱番屋　藤沢駅北口店,0466,,,,,神奈川県藤沢市藤沢967番地,神奈川県藤沢市藤沢９６７番地,石井ビル　1階,81753,14,14205,藤沢,,2021/11/25,2021/11/25,,,株式会社Win-d,,0466-29-8066,,,,,,,,2021-901-0291,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,カレハウスＣｏＣｏ壱番屋藤沢駅北口店8175314205,f2e6a9ff-de56-40c3-96ff-49a77c3891b7,株式会社Ｗｉｎ－ｄ,7a67fb66-7dbd-4bec-92ae-1d0da6e52994,6118bf22-8475-4e79-8eb5-b9aa824f91eb,2021/11/25,カレーハウスＣｏＣｏ壱番屋　藤沢駅北口店,カレハウスＣｏＣｏ壱番屋藤沢駅北口店,株式会社Ｗｉｎ－ｄ
28,そば処　くま乃,神奈川県藤沢市片瀬二丁目11番20号,,0466-27-8668,1飲食店営業,有限会社くま乃,0466-27-8668,令和3年11月26日,令和3年11月26日,令和3年11月26日,新規,2021-901-0296,,145,そば処　くま乃,0466,0466-27-8668,,,,神奈川県藤沢市片瀬二丁目11番20号,神奈川県藤沢市片瀬２丁目１１番２０号,,81638,14,14205,片瀬２,,2021/11/26,2021/11/26,,,有限会社くま乃,,0466-27-8668,,,,,,,,2021-901-0296,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,そば処くま乃0466-27-86688163814205,ed93ddaf-fca4-496a-bd1a-b06ecfe2092c,有限会社くま乃,da9c61dc-f4fa-4f6e-9580-e71472aabe19,70753262-a1ec-49ae-bdb9-d1f006ff1ebd,2021/11/26,そば処　くま乃,そば処くま乃,有限会社くま乃
29,有限会社　岩本楼本館1F,神奈川県藤沢市江の島二丁目2番7号,,0466-26-4121,1飲食店営業,有限会社岩本樓本館,0466-26-4121,令和3年11月26日,令和3年11月26日,令和3年11月26日,新規,2021-901-0298,,145,有限会社　岩本楼本館1F,0466,0466-26-4121,,,,神奈川県藤沢市江の島二丁目2番7号,神奈川県藤沢市江ノ島２丁目２番７号,,81629,14,14205,江の島２,,2021/11/26,2021/11/26,,,有限会社岩本樓本館,,0466-26-4121,,,,,,,,2021-901-0298,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,有限会社岩本楼本館１Ｆ0466-26-41218162914205,da0b2709-4b28-4e20-8f55-94c980bbdbcd,有限会社岩本樓本館,3bcc4a92-5609-4c49-a94a-d6f49f9ceb69,c9da5aa6-24c8-445b-83c1-579024c1ed9e,2021/11/26,有限会社岩本楼本館１Ｆ,有限会社岩本楼本館１Ｆ,有限会社岩本樓本館
30,パンとエスプレッソと湘南と,神奈川県藤沢市辻堂元町六丁目20番1号,湘南T-SITE1号館/2号館,0466-47-8001,1飲食店営業,株式会社パンとエスプレッソと東京,03-3470-5030,令和3年11月29日,令和3年11月29日,令和3年11月29日,新規,2021-901-0302,,145,パンとエスプレッソと湘南と,0466,0466-47-8001,,,,神奈川県藤沢市辻堂元町六丁目20番1号,神奈川県藤沢市辻堂元町６丁目２０番１号,湘南T-SITE1号館/2号館,81739,14,14205,辻堂元町６,,2021/11/29,2021/11/29,,,株式会社パンとエスプレッソと東京,,03-3470-5030,,,,,,,,2021-901-0302,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,パンとエスプレッソと湘南と0466-47-80018173914205,62a67341-4c37-4839-a09d-ee5a7fe7deb6,株式会社パンとエスプレッソと東京,be63c8ea-2fe8-4dea-9d88-08e0c174f142,a53c7f0f-31ac-45bb-8109-a11ba06d6ac5,2021/11/29,パンとエスプレッソと湘南と,パンとエスプレッソと湘南と,株式会社パンとエスプレッソと東京
31,パンとエスプレッソと湘南と,神奈川県藤沢市辻堂元町六丁目20番1号,湘南T-SITE1号館/2号館,0466-47-8001,11 菓子製造業,株式会社パンとエスプレッソと東京,03-3470-5030,令和3年11月29日,令和3年11月29日,令和3年11月29日,新規,2021-911-0023,,145,パンとエスプレッソと湘南と,0466,0466-47-8001,,,,神奈川県藤沢市辻堂元町六丁目20番1号,神奈川県藤沢市辻堂元町６丁目２０番１号,湘南T-SITE1号館/2号館,81739,14,14205,辻堂元町６,,2021/11/29,2021/11/29,,,株式会社パンとエスプレッソと東京,,03-3470-5030,,,,,,,,2021-911-0023,新規,菓子製造業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,E,9,,,パンとエスプレッソと湘南と0466-47-80018173914205,62a67341-4c37-4839-a09d-ee5a7fe7deb6,株式会社パンとエスプレッソと東京,be63c8ea-2fe8-4dea-9d88-08e0c174f142,706e732f-7971-41f8-8ba6-61bb4b888755,2021/11/29,パンとエスプレッソと湘南と,パンとエスプレッソと湘南と,株式会社パンとエスプレッソと東京
32,Table　Ogino,神奈川県藤沢市辻堂元町六丁目20番1号,湘南T-SITE,0466-53-7756,1飲食店営業,株式会社オフィス·オギノ,03-6421-5481,令和3年11月29日,令和3年11月29日,令和3年11月29日,新規,2021-901-0301,,145,Table　Ogino,0466,0466-53-7756,,,,神奈川県藤沢市辻堂元町六丁目20番1号,神奈川県藤沢市辻堂元町６丁目２０番１号,湘南T-SITE,81739,14,14205,辻堂元町６,,2021/11/29,2021/11/29,,,株式会社オフィス·オギノ,,03-6421-5481,,,,,,,,2021-901-0301,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,ＴａｂｌｅＯｇｉｎｏ0466-53-77568173914205,1002cd7b-4296-4074-8937-81227d6659e7,株式会社オフィス・オギノ,6a8ad8ef-1e7f-402e-8fe4-f8f0e596e551,d4144d83-6f27-4d54-8f24-5cbf9b9a2c72,2021/11/29,Ｔａｂｌｅ　Ｏｇｉｎｏ,ＴａｂｌｅＯｇｉｎｏ,株式会社オフィス・オギノ
33,フタバフルーツパーラー湘南T-SITE店,神奈川県藤沢市辻堂元町六丁目21番1号,湘南T-SITE3号館　1階,0466-53-8116,1飲食店営業,スタイル·ディベロップ株式会社,03-6800-4923,令和3年11月29日,令和3年11月29日,令和3年11月29日,新規,2021-901-0300,,145,フタバフルーツパーラー湘南T-SITE店,0466,0466-53-8116,,,,神奈川県藤沢市辻堂元町六丁目21番1号,神奈川県藤沢市辻堂元町６丁目２１番１号,湘南T-SITE3号館　1階,81739,14,14205,辻堂元町６,,2021/11/29,2021/11/29,,,スタイル·ディベロップ株式会社,,03-6800-4923,,,,,,,,2021-901-0300,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,フタバフルツパラ湘南ＴＳＩＴＥ店0466-53-81168173914205,680cedf5-1387-43ff-a4bb-d5b54e065366,スタイル・ディベロップ株式会社,b27fca73-5bf7-4cf4-9f63-879c4fd5388d,7bb6627e-7f66-4ddd-9df3-2e79b5367af8,2021/11/29,フタバフルーツパーラー湘南Ｔ－ＳＩＴＥ店,フタバフルツパラ湘南ＴＳＩＴＥ店,スタイル・ディベロップ株式会社
34,肉屋喜平,神奈川県藤沢市藤沢484番地27,,0466-23-2911,3食肉販売業,株式会社エムワイ,045-433-4313,令和3年11月29日,令和3年11月29日,令和3年11月29日,新規,2021-903-0001,,145,肉屋喜平,0466,0466-23-2911,,,,神奈川県藤沢市藤沢484番地27,神奈川県藤沢市藤沢４８４番地２７,,81757,14,14205,藤沢４,,2021/11/29,2021/11/29,,,株式会社エムワイ,,045-433-4313,,,,,,,,2021-903-0001,新規,食肉販売業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,I,58,583,,肉屋喜平0466-23-29118175714205,95de361b-bd29-4261-ac78-9b90b9eb2363,株式会社エムワイ,57607468-b53b-4123-910a-17f649bdaf78,7e774a0a-619b-4518-8063-2b850392990f,2021/11/29,肉屋喜平,肉屋喜平,株式会社エムワイ
35,肉屋喜平,神奈川県藤沢市藤沢484番地27,,0466-23-2911,25そうざい製造業,株式会社エムワイ,045-433-4313,令和3年11月29日,令和3年11月29日,令和3年11月29日,新規,2021-925-0013,,145,肉屋喜平,0466,0466-23-2911,,,,神奈川県藤沢市藤沢484番地27,神奈川県藤沢市藤沢４８４番地２７,,81757,14,14205,藤沢４,,2021/11/29,2021/11/29,,,株式会社エムワイ,,045-433-4313,,,,,,,,2021-925-0013,新規,そうざい製造業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,E,9,,,肉屋喜平0466-23-29118175714205,95de361b-bd29-4261-ac78-9b90b9eb2363,株式会社エムワイ,57607468-b53b-4123-910a-17f649bdaf78,dbcb0ac7-7a58-4ae7-8b35-da013477ead8,2021/11/29,肉屋喜平,肉屋喜平,株式会社エムワイ
36,バーガーキング　Luz湘南辻堂,神奈川県藤沢市辻堂神台一丁目2番12号,1F,0466-52-5102,1飲食店営業,株式会社ビーケー·ジャパン,03-6856-7658,令和3年11月30日,令和3年11月30日,令和3年11月30日,新規,2021-901-0303,,145,バーガーキング　Luz湘南辻堂,0466,0466-52-5102,,,,神奈川県藤沢市辻堂神台一丁目2番12号,神奈川県藤沢市辻堂神台１丁目２番１２号,1F,81719,14,14205,辻堂神台１,,2021/11/30,2021/11/30,,,株式会社ビーケー·ジャパン,,03-6856-7658,,,,,,,,2021-901-0303,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,バガキングＬｕｚ湘南辻堂0466-52-51028171914205,70852fab-c121-4c39-9b24-8e7d737de757,株式会社ビーケー・ジャパン,5db20d67-000a-4f90-bc70-8edb2d302e59,399b3de7-9a34-47c2-a248-7795661198ac,2021/11/30,バーガーキング　Ｌｕｚ湘南辻堂,バガキングＬｕｚ湘南辻堂,株式会社ビーケー・ジャパン
