https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,n処理終了,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,,業種,,施設-住所1,施設-マンション名,,,施設-電話番号1,申請者1,,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,その他,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232025,,愛知県,岡崎市,岡崎市西部学校給食センター,オカザキシセイブガッコウキュウショクセンター,そうざい製造業,,愛知県岡崎市宇頭南町1,,,,(0564)32-1800,公益財団法人 岡崎市学校給食協会,,429-01-515-0006,2013/4/8,2018/3/30,2018/5/1,2024/4/30,,,,,,247,岡崎市西部学校給食センター,0564,0564-32-1800,,,,愛知県岡崎市宇頭南町1,愛知県岡崎市宇頭南町１,,118428,23,23202,宇頭南町,,2013/04/08,2018/03/30,2018/05/01,2024/04/30,公益財団法人 岡崎市学校給食協会,,,,,,,,,,429-01-515-0006,,そうざい製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,岡崎市西部学校給食センタ0564-32-180011842823202,46e3e397-f112-4e4c-9b3a-8bfebc9a6262,公益財団法人岡崎市学校給食協会,93ea65f6-16d7-48b0-8725-e1d80f1e9b78,cf2048d4-5ce1-42ae-a40f-d313a5136f83,2018/03/30,岡崎市西部学校給食センター,岡崎市西部学校給食センタ,公益財団法人岡崎市学校給食協会
232025,,愛知県,岡崎市,岡崎市南部学校給食センター,オカザキシナンブガッコウキュウショクセンター,飲食店営業,,愛知県岡崎市定国町字西浦25-1,,,,(0564)43-4598,公益財団法人 岡崎市学校給食協会,,429-01-502-0025,2013/4/8,2018/3/30,2018/5/1,2024/4/30,,,,,,247,岡崎市南部学校給食センター,0564,0564-43-4598,,,,愛知県岡崎市定国町字西浦25-1,愛知県岡崎市定国町字西浦２５－１,,118160,23,23202,定国町,,2013/04/08,2018/03/30,2018/05/01,2024/04/30,公益財団法人 岡崎市学校給食協会,,,,,,,,,,429-01-502-0025,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,岡崎市南部学校給食センタ0564-43-459811816023202,58754b60-779b-4ca9-a7c3-ab2dc427ed82,公益財団法人岡崎市学校給食協会,93ea65f6-16d7-48b0-8725-e1d80f1e9b78,ea3228bf-05b4-494b-86ce-4955cfd379a3,2018/03/30,岡崎市南部学校給食センター,岡崎市南部学校給食センタ,公益財団法人岡崎市学校給食協会
232025,,愛知県,岡崎市,岡崎市南部学校給食センター,オカザキシナンブガッコウキュウショクセンター,そうざい製造業,,愛知県岡崎市定国町字西浦25-1,,,,(0564)43-4598,公益財団法人 岡崎市学校給食協会,,429-01-515-0007,2013/4/8,2018/3/30,2018/5/1,2024/4/30,,,,,,247,岡崎市南部学校給食センター,0564,0564-43-4598,,,,愛知県岡崎市定国町字西浦25-1,愛知県岡崎市定国町字西浦２５－１,,118160,23,23202,定国町,,2013/04/08,2018/03/30,2018/05/01,2024/04/30,公益財団法人 岡崎市学校給食協会,,,,,,,,,,429-01-515-0007,,そうざい製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,岡崎市南部学校給食センタ0564-43-459811816023202,58754b60-779b-4ca9-a7c3-ab2dc427ed82,公益財団法人岡崎市学校給食協会,93ea65f6-16d7-48b0-8725-e1d80f1e9b78,27742d4f-1bbb-448d-9229-22aeb8b03ea5,2018/03/30,岡崎市南部学校給食センター,岡崎市南部学校給食センタ,公益財団法人岡崎市学校給食協会
232025,,愛知県,岡崎市,岡崎市立額田中学校,オカザキシリツヌカタチュウガッコウ,飲食店営業,,愛知県岡崎市樫山町字原新田88,,,,(0564)82-3160,公益財団法人 岡崎市学校給食協会,,429-01-502-0027,2013/4/8,2018/3/30,2018/5/1,2024/4/30,,,,,,247,岡崎市立額田中学校,0564,0564-82-3160,,,,愛知県岡崎市樫山町字原新田88,愛知県岡崎市樫山町字原新田８８,,118515,23,23202,樫山町,,2013/04/08,2018/03/30,2018/05/01,2024/04/30,公益財団法人 岡崎市学校給食協会,,,,,,,,,,429-01-502-0027,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,岡崎市立額田中学校0564-82-316011851523202,dd348625-e60b-4bad-9f1e-a15c1832b1b8,公益財団法人岡崎市学校給食協会,93ea65f6-16d7-48b0-8725-e1d80f1e9b78,92cf3ea6-a73a-4959-86f4-5b4aa42961ac,2018/03/30,岡崎市立額田中学校,岡崎市立額田中学校,公益財団法人岡崎市学校給食協会
232025,,愛知県,岡崎市,あおい珈琲,アオイコーヒー,飲食店営業,,愛知県岡崎市百々西町6-10,,,,(0564)64-0172,豊田産業株式会社,,431-01-501-0018,2013/4/5,2019/4/26,2019/5/1,2025/4/30,,,,,,247,あおい珈琲,0564,0564-64-0172,,,,愛知県岡崎市百々西町6-10,愛知県岡崎市百々西町６－１０,,118346,23,23202,百々西町,,2013/04/05,2019/04/26,2019/05/01,2025/04/30,豊田産業株式会社,,,,,,,,,,431-01-501-0018,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,あおい珈琲0564-64-017211834623202,2c43ab04-f445-427b-8f43-b260e6fd6088,豊田産業株式会社,c2b364e2-cff7-4b96-bbe8-2c67671eb16b,8bbd5e7c-2048-45c1-a240-b1842441b436,2019/04/26,あおい珈琲,あおい珈琲,豊田産業株式会社
232025,,愛知県,岡崎市,株式会社 ジャパンビバレッジホールディングス,カブシキガイシャ ジャパンビバレッジホールディングス,喫茶店営業,,愛知県岡崎市明大寺町字西郷中38,自然科学研究機構 生理学研究所１Ｆ,,,,株式会社 ジャパンビバレッジホールディングス,,430-01-508-0006,2013/4/18,2018/4/27,2018/5/1,2023/4/30,,,自動販売機による営業に限る,,,247,株式会社 ジャパンビバレッジホールディングス,0564,,,,,愛知県岡崎市明大寺町字西郷中38,愛知県岡崎市明大寺町字西郷中３８,自然科学研究機構 生理学研究所１Ｆ,118291,23,23202,明大寺町,,2013/04/18,2018/04/27,2018/05/01,2023/04/30,株式会社 ジャパンビバレッジホールディングス,,,,,,,,,,430-01-508-0006,,喫茶店営業,,自動販売機による営業に限る,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,株式会社ジャパンビバレッジホルディングス11829123202,aba52e9c-4b17-4f34-bedd-b9839eb60f75,株式会社ジャパンビバレッジホールディングス,e49cfbeb-bd9b-41a4-bd71-145b76cc11ed,bda82e2f-7c38-4b35-a866-efedb1145541,2018/04/27,株式会社ジャパンビバレッジホールディングス,株式会社ジャパンビバレッジホルディングス,株式会社ジャパンビバレッジホールディングス
232025,,愛知県,岡崎市,コカ・コーラボトラーズジャパン株式会社,コカ・コーラボトラーズジャパンカブシキガイシャ,喫茶店営業,,愛知県岡崎市羽根町字小豆坂3,ＷＩＮＧＴＯＷＮ １Ｆ店内シースルー,,,(0564)72-3434,コカ・コーラボトラーズジャパン株式会社,,428-01-008-0046,2017/3/22,2017/3/22,2017/3/22,2022/3/31,,,自動販売機による営業に限る,,,247,コカ・コーラボトラーズジャパン株式会社,0564,0564-72-3434,,,,愛知県岡崎市羽根町字小豆坂3,愛知県岡崎市羽根町字小豆坂３,ＷＩＮＧＴＯＷＮ １Ｆ店内シースルー,118251,23,23202,羽根町,,2017/03/22,2017/03/22,2017/03/22,2022/03/31,コカ・コーラボトラーズジャパン株式会社,,,,,,,,,,428-01-008-0046,,喫茶店営業,,自動販売機による営業に限る,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,コカコラボトラズジャパン株式会社0564-72-343411825123202,00247_5a98d09a-9354-4116-8afe-12c893141ff5,コカ・コーラボトラーズジャパン株式会社,5a22ba3a-c2f1-40a6-bdac-b27718f89f96,5fb301af-4a54-407e-ab53-624c98da9742,2017/03/22,コカ・コーラボトラーズジャパン株式会社,コカコラボトラズジャパン株式会社,コカ・コーラボトラーズジャパン株式会社
232025,,愛知県,岡崎市,コカ・コーラボトラーズジャパン株式会社,コカ・コーラボトラーズジャパンカブシキガイシャ,喫茶店営業,,愛知県岡崎市大和町北組郷中103-1,エーシーマインズ２Ｆカップ,,,(0564)32-1748,コカ・コーラボトラーズジャパン株式会社,,430-01-508-0002,2013/5/1,2018/4/27,2018/5/1,2023/4/30,,,自動販売機による営業に限る,,,247,コカ・コーラボトラーズジャパン株式会社,0564,0564-32-1748,,,,愛知県岡崎市大和町北組郷中103-1,愛知県岡崎市大和町北組郷中１０３－１,エーシーマインズ２Ｆカップ,118188,23,23202,大和町,,2013/05/01,2018/04/27,2018/05/01,2023/04/30,コカ・コーラボトラーズジャパン株式会社,,,,,,,,,,430-01-508-0002,,喫茶店営業,,自動販売機による営業に限る,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,コカコラボトラズジャパン株式会社0564-32-174811818823202,4d9bb751-5f6e-44f7-a78e-abbabe335cdc,コカ・コーラボトラーズジャパン株式会社,5a22ba3a-c2f1-40a6-bdac-b27718f89f96,0fb7ffec-7766-4725-ac3c-43e3d12ff7f5,2018/04/27,コカ・コーラボトラーズジャパン株式会社,コカコラボトラズジャパン株式会社,コカ・コーラボトラーズジャパン株式会社
232025,,愛知県,岡崎市,株式会社 アペックス,カブシキガイシャ アペックス,喫茶店営業,,愛知県岡崎市橋目町字御茶屋1,フタバ産業株式会社 １Ｆ売店前 ロビー,,,,株式会社 アペックス,,430-01-508-0007,2013/5/15,2018/5/16,2018/6/1,2023/5/31,,,自動販売機による営業に限る,,,247,株式会社 アペックス,0564,,,,,愛知県岡崎市橋目町字御茶屋1,愛知県岡崎市橋目町字御茶屋１,フタバ産業株式会社 １Ｆ売店前 ロビー,118238,23,23202,橋目町,,2013/05/15,2018/05/16,2018/06/01,2023/05/31,株式会社 アペックス,,,,,,,,,,430-01-508-0007,,喫茶店営業,,自動販売機による営業に限る,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,株式会社アペックス11823823202,54153849-504f-4ec8-988e-3e65ca844485,株式会社アペックス,309fc722-e467-4a45-8da9-e34f8870dabb,3c87abb2-4fae-4123-ab32-c4795489178a,2018/05/16,株式会社アペックス,株式会社アペックス,株式会社アペックス
232025,,愛知県,岡崎市,くら寿司 岡崎店,クラズシ オカザキテン,飲食店営業,,愛知県岡崎市法性寺町字猿待56-1,,,,(0564)72-6105,くら寿司株式会社,,431-01-501-0036,2013/5/21,2019/5/31,2019/6/1,2025/5/31,,,,,,247,くら寿司 岡崎店,0564,0564-72-6105,,,,愛知県岡崎市法性寺町字猿待56-1,愛知県岡崎市法性寺町字猿待５６－１,,118275,23,23202,法性寺町,,2013/05/21,2019/05/31,2019/06/01,2025/05/31,くら寿司株式会社,,,,,,,,,,431-01-501-0036,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,くら寿司岡崎店0564-72-610511827523202,0633db72-369e-443e-a721-239a85c8e1a7,くら寿司株式会社,b63cda63-3d37-4f61-92f4-0aeb47d87bee,511fd153-03c8-43e2-ad0a-f9889abf9e45,2019/05/31,くら寿司　岡崎店,くら寿司岡崎店,くら寿司株式会社
232025,,愛知県,岡崎市,岡崎健康生活センター,オカザキケンコウセイカツセンター,食肉販売業,,愛知県岡崎市井田町字寺前47-1,加藤ビル１Ｆ,,,(0564)23-7411,有限会社 岡崎健康生活センター,,431-01-507-0010,2013/5/14,2019/5/23,2019/6/1,2025/5/31,,,,,,247,岡崎健康生活センター,0564,0564-23-7411,,,,愛知県岡崎市井田町字寺前47-1,愛知県岡崎市井田町字寺前４７－１,加藤ビル１Ｆ,118059,23,23202,井田町,,2013/05/14,2019/05/23,2019/06/01,2025/05/31,有限会社 岡崎健康生活センター,,,,,,,,,,431-01-507-0010,,食肉販売業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,I,58,583,,岡崎健康生活センタ0564-23-741111805923202,4c55df2f-359e-477b-a409-8ab2a55295a6,有限会社岡崎健康生活センター,f26fdb57-cac4-4605-855b-544d3a6b116b,9a165111-fbc6-42e9-ae34-d800228e0bbf,2019/05/23,岡崎健康生活センター,岡崎健康生活センタ,有限会社岡崎健康生活センター
232025,,愛知県,岡崎市,株式会社 アーテック,カブシキガイシャ アーテック,飲食店営業,,愛知県岡崎市羽根町字若宮30,,,,(0564)51-1812,株式会社 アーテック,,431-01-502-0006,2013/5/28,2019/5/24,2019/6/1,2025/5/31,,,,,,247,株式会社 アーテック,0564,0564-51-1812,,,,愛知県岡崎市羽根町字若宮30,愛知県岡崎市羽根町字若宮３０,,118251,23,23202,羽根町,,2013/05/28,2019/05/24,2019/06/01,2025/05/31,株式会社 アーテック,,,,,,,,,,431-01-502-0006,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,株式会社アテック0564-51-181211825123202,00247_6148d53f-ce9d-4320-87e2-d01987bde0e0,株式会社アーテック,2e6aa5e5-150f-48f9-bb6d-7476f1eaa575,b1849670-4491-4aa6-b2c7-e73e0cd4cd62,2019/05/24,株式会社アーテック,株式会社アテック,株式会社アーテック
232025,,愛知県,岡崎市,株式会社 アーテック,カブシキガイシャ アーテック,そうざい製造業,,愛知県岡崎市羽根町字若宮30,,,,(0564)51-1812,株式会社 アーテック,,431-01-515-0002,2013/5/28,2019/5/24,2019/6/1,2025/5/31,,,,,,247,株式会社 アーテック,0564,0564-51-1812,,,,愛知県岡崎市羽根町字若宮30,愛知県岡崎市羽根町字若宮３０,,118251,23,23202,羽根町,,2013/05/28,2019/05/24,2019/06/01,2025/05/31,株式会社 アーテック,,,,,,,,,,431-01-515-0002,,そうざい製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,株式会社アテック0564-51-181211825123202,00247_6148d53f-ce9d-4320-87e2-d01987bde0e0,株式会社アーテック,2e6aa5e5-150f-48f9-bb6d-7476f1eaa575,03c38632-daa6-49c4-8a56-eb2179b8f891,2019/05/24,株式会社アーテック,株式会社アテック,株式会社アーテック
232025,,愛知県,岡崎市,平安会館 ソサイエ縁,ヘイアンカイカン ソサイエエニシ,飲食店営業,,愛知県岡崎市大平町字大河内7-1,,,,(0564)25-4466,株式会社 クロト,,431-01-504-0023,2013/5/22,2019/5/14,2019/6/1,2025/5/31,,,,,,247,平安会館 ソサイエ縁,0564,0564-25-4466,,,,愛知県岡崎市大平町字大河内7-1,愛知県岡崎市大平町字大河内７－１,,118097,23,23202,大平町,,2013/05/22,2019/05/14,2019/06/01,2025/05/31,株式会社 クロト,,,,,,,,,,431-01-504-0023,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,平安会館ソサイエ縁0564-25-446611809723202,4d5779c4-b0cb-419b-a224-0428b3110ec9,株式会社クロト,a4a7e119-f26b-4878-9574-19618452a4f4,4605dcdd-d675-48d7-a6c0-19a0216291da,2019/05/14,平安会館　ソサイエ縁,平安会館ソサイエ縁,株式会社クロト
232025,,愛知県,岡崎市,いなぐまの虹内㈱魚国総本社,イナグマノニジナイ（カブ）ウオクニソウホンシャ,飲食店営業,,愛知県岡崎市稲熊町字5-112,,,,(0564)25-6551,株式会社 魚国総本社,,431-01-502-0012,2013/7/1,2019/6/24,2019/7/1,2025/6/30,,,,,,247,いなぐまの虹内㈱魚国総本社,0564,0564-25-6551,,,,愛知県岡崎市稲熊町字5-112,愛知県岡崎市稲熊町字５－１１２,,118068,23,23202,稲熊町,,2013/07/01,2019/06/24,2019/07/01,2025/06/30,株式会社 魚国総本社,,,,,,,,,,431-01-502-0012,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,いなぐまの虹内株式会社魚国総本社0564-25-655111806823202,72e7e5f0-f8a1-4aa1-9580-ddfd9be699ee,株式会社魚国総本社,abcca27b-889a-424e-8871-069bd1f6e0ad,0743ca47-fc07-4408-9b6b-f2c315fbe0a2,2019/06/24,いなぐまの虹内株式会社魚国総本社,いなぐまの虹内株式会社魚国総本社,株式会社魚国総本社
232025,,愛知県,岡崎市,ＨＥＡＲＴ ＢＲＥＡＤ ＡＮＴＩＱＵＥ 北岡崎店,ハート ブレッド アンティーク キタオカザキテン,飲食店営業,,愛知県岡崎市百々西町6-1,,,,(0564)64-2400,株式会社 オールハーツ・カンパニー,,430-01-002-0021,2018/12/13,2018/12/13,2018/12/13,2024/12/31,,,,,,247,ＨＥＡＲＴ ＢＲＥＡＤ ＡＮＴＩＱＵＥ 北岡崎店,0564,0564-64-2400,,,,愛知県岡崎市百々西町6-1,愛知県岡崎市百々西町６－１,,118346,23,23202,百々西町,,2018/12/13,2018/12/13,2018/12/13,2024/12/31,株式会社 オールハーツ・カンパニー,,,,,,,,,,430-01-002-0021,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ＨＥＡＲＴＢＲＥＡＤＡＮＴＩＱＵＥ北岡崎店0564-64-240011834623202,00247_e43b0891-71c7-4a15-91e1-91889e84e0ef,株式会社オールハーツ・カンパニー,99ec66b4-d507-4559-a246-167f20938865,8bee684f-013a-4450-aefa-e73bbb78c10d,2018/12/13,ＨＥＡＲＴ　ＢＲＥＡＤ　ＡＮＴＩＱＵＥ　北岡崎店,ＨＥＡＲＴＢＲＥＡＤＡＮＴＩＱＵＥ北岡崎店,株式会社オールハーツ・カンパニー
232025,,愛知県,岡崎市,ＨＥＡＲＴ ＢＲＥＡＤ ＡＮＴＩＱＵＥ 北岡崎店,ハート ブレッド アンティーク キタオカザキテン,菓子製造業,,愛知県岡崎市百々西町6-1,,,,(0564)64-2400,株式会社 オールハーツ・カンパニー,,430-01-010-0058,2018/12/13,2018/12/13,2018/12/13,2024/12/31,,,,,,247,ＨＥＡＲＴ ＢＲＥＡＤ ＡＮＴＩＱＵＥ 北岡崎店,0564,0564-64-2400,,,,愛知県岡崎市百々西町6-1,愛知県岡崎市百々西町６－１,,118346,23,23202,百々西町,,2018/12/13,2018/12/13,2018/12/13,2024/12/31,株式会社 オールハーツ・カンパニー,,,,,,,,,,430-01-010-0058,,菓子製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,ＨＥＡＲＴＢＲＥＡＤＡＮＴＩＱＵＥ北岡崎店0564-64-240011834623202,00247_e43b0891-71c7-4a15-91e1-91889e84e0ef,株式会社オールハーツ・カンパニー,99ec66b4-d507-4559-a246-167f20938865,af89026f-3060-4741-9ebc-eb683c44e417,2018/12/13,ＨＥＡＲＴ　ＢＲＥＡＤ　ＡＮＴＩＱＵＥ　北岡崎店,ＨＥＡＲＴＢＲＥＡＤＡＮＴＩＱＵＥ北岡崎店,株式会社オールハーツ・カンパニー
232025,,愛知県,岡崎市,いきなり！ステーキ 岡崎上和田店,イキナリ！ステーキ オカザキカミワダテン,飲食店営業,,愛知県岡崎市上和田町字南天白21-2,,,,(0564)73-5529,株式会社 マルハンダイニング,,430-01-001-0062,2018/12/17,2018/12/17,2018/12/17,2024/12/31,,,,,,247,いきなり！ステーキ 岡崎上和田店,0564,0564-73-5529,,,,愛知県岡崎市上和田町字南天白21-2,愛知県岡崎市上和田町字南天白２１－２,,118121,23,23202,上和田町,,2018/12/17,2018/12/17,2018/12/17,2024/12/31,株式会社 マルハンダイニング,,,,,,,,,,430-01-001-0062,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,いきなりステキ岡崎上和田店0564-73-552911812123202,9275f47b-4956-4510-8d8a-01e9c54f8faa,株式会社マルハンダイニング,dd9bf386-0c4f-4739-a236-a068eb0a0651,d6675ee9-9b60-4722-875c-c0e9149da20b,2018/12/17,いきなりステーキ　岡崎上和田店,いきなりステキ岡崎上和田店,株式会社マルハンダイニング
232025,,愛知県,岡崎市,日本マクドナルド 矢作ピアゴ店,ニホンマクドナルド ヤハギピアゴテン,菓子製造業,,愛知県岡崎市舳越町字神道35,ピアゴ矢作店１Ｆ,,,(0564)33-6112,日本マクドナルド株式会社,,430-01-010-0062,2019/1/22,2019/1/22,2019/1/22,2025/1/31,,,,,,247,日本マクドナルド 矢作ピアゴ店,0564,0564-33-6112,,,,愛知県岡崎市舳越町字神道35,愛知県岡崎市舳越町字神道３５,ピアゴ矢作店１Ｆ,118271,23,23202,舳越町,,2019/01/22,2019/01/22,2019/01/22,2025/01/31,日本マクドナルド株式会社,,,,,,,,,,430-01-010-0062,,菓子製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,日本マクドナルド矢作ピアゴ店0564-33-611211827123202,00247_f561ede9-5528-425e-b2e8-69c1329659db,日本マクドナルド株式会社,edff8881-cedc-4eda-8be8-7513e7773883,acdf4345-ba9e-4051-b5dd-02ff5e6bc1d7,2019/01/22,日本マクドナルド　矢作ピアゴ店,日本マクドナルド矢作ピアゴ店,日本マクドナルド株式会社
232025,,愛知県,岡崎市,スーパー銭湯 葵湯,スーパーセントウ アオイユ,乳類販売業,,愛知県岡崎市戸崎新町2-1,スーパー銭湯 葵湯 ロビー,,,(0564)74-1126,株式会社 ミカワチルド,,430-01-006-0032,2019/2/28,2019/2/28,2019/2/28,2024/2/29,,,自動販売機による営業に限る,,,247,スーパー銭湯 葵湯,0564,0564-74-1126,,,,愛知県岡崎市戸崎新町2-1,愛知県岡崎市戸崎新町２－１,スーパー銭湯 葵湯 ロビー,118430,23,23202,戸崎新町,,2019/02/28,2019/02/28,2019/02/28,2024/02/29,株式会社 ミカワチルド,,,,,,,,,,430-01-006-0032,,乳類販売業,,自動販売機による営業に限る,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,I,58,,,スパ銭湯葵湯0564-74-112611843023202,83b52fca-b8ba-482c-beaf-20487af794ab,株式会社ミカワチルド,b2655f78-5f73-4ebf-a40d-209727ece690,dec0a12b-6bb8-467d-ace9-aac670312be8,2019/02/28,スーパー銭湯　葵湯,スパ銭湯葵湯,株式会社ミカワチルド
232025,,愛知県,岡崎市,スーパー銭湯 葵湯,スーパーセントウ アオイユ,乳類販売業,,愛知県岡崎市戸崎新町2-1,スーパー銭湯 葵湯 男湯,,,(0564)74-1126,株式会社 ミカワチルド,,430-01-006-0033,2019/2/28,2019/2/28,2019/2/28,2024/2/29,,,自動販売機による営業に限る,,,247,スーパー銭湯 葵湯,0564,0564-74-1126,,,,愛知県岡崎市戸崎新町2-1,愛知県岡崎市戸崎新町２－１,スーパー銭湯 葵湯 男湯,118430,23,23202,戸崎新町,,2019/02/28,2019/02/28,2019/02/28,2024/02/29,株式会社 ミカワチルド,,,,,,,,,,430-01-006-0033,,乳類販売業,,自動販売機による営業に限る,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,I,58,,,スパ銭湯葵湯0564-74-112611843023202,83b52fca-b8ba-482c-beaf-20487af794ab,株式会社ミカワチルド,b2655f78-5f73-4ebf-a40d-209727ece690,a6c0a135-aef7-44fe-9603-76ab81f4392e,2019/02/28,スーパー銭湯　葵湯,スパ銭湯葵湯,株式会社ミカワチルド
232025,,愛知県,岡崎市,スーパー銭湯 葵湯,スーパーセントウ アオイユ,乳類販売業,,愛知県岡崎市戸崎新町2-1,スーパー銭湯 葵湯 女湯,,,(0564)74-1126,株式会社 ミカワチルド,,430-01-006-0034,2019/2/28,2019/2/28,2019/2/28,2024/2/29,,,自動販売機による営業に限る,,,247,スーパー銭湯 葵湯,0564,0564-74-1126,,,,愛知県岡崎市戸崎新町2-1,愛知県岡崎市戸崎新町２－１,スーパー銭湯 葵湯 女湯,118430,23,23202,戸崎新町,,2019/02/28,2019/02/28,2019/02/28,2024/02/29,株式会社 ミカワチルド,,,,,,,,,,430-01-006-0034,,乳類販売業,,自動販売機による営業に限る,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,I,58,,,スパ銭湯葵湯0564-74-112611843023202,83b52fca-b8ba-482c-beaf-20487af794ab,株式会社ミカワチルド,b2655f78-5f73-4ebf-a40d-209727ece690,01c4f65b-f1eb-4e24-ae85-a138852b470f,2019/02/28,スーパー銭湯　葵湯,スパ銭湯葵湯,株式会社ミカワチルド
232025,,愛知県,岡崎市,株式会社 アクティブ,カブシキガイシャ アクティブ,菓子製造業,,愛知県岡崎市柱町字下川田26-4,,,,(0564)53-0223,株式会社 アクティブ,,430-01-010-0064,2019/2/22,2019/2/22,2019/2/22,2025/2/28,,,,,,247,株式会社 アクティブ,0564,0564-53-0223,,,,愛知県岡崎市柱町字下川田26-4,愛知県岡崎市柱町字下川田２６－４,,118239,23,23202,柱町,,2019/02/22,2019/02/22,2019/02/22,2025/02/28,株式会社 アクティブ,,,,,,,,,,430-01-010-0064,,菓子製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,株式会社アクティブ0564-53-022311823923202,00247_0d364fdb-4555-40a8-be5a-04628ff7e4fc,株式会社アクティブ,afcd696f-55cd-49c1-abc2-4d3569691741,9ccab206-8b62-4e3e-bafd-d376958cf96a,2019/02/22,株式会社アクティブ,株式会社アクティブ,株式会社アクティブ
232025,,愛知県,岡崎市,ファミリーマート 岡崎駅前店,ファミリーマート オカザキエキマエテン,飲食店営業,,愛知県岡崎市羽根町東荒子39-1,,,,(0564)72-5430,エフエムエイチ株式会社,,430-01-004-0106,2019/2/27,2019/2/27,2019/2/27,2025/2/28,,,,,,247,ファミリーマート 岡崎駅前店,0564,0564-72-5430,,,,愛知県岡崎市羽根町東荒子39-1,愛知県岡崎市羽根町東荒子３９－１,,118251,23,23202,羽根町,,2019/02/27,2019/02/27,2019/02/27,2025/02/28,エフエムエイチ株式会社,,,,,,,,,,430-01-004-0106,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ファミリマト岡崎駅前店0564-72-543011825123202,4622c84d-2a04-4d2b-a74d-e8f6b7868464,エフエムエイチ株式会社,639d5098-2d9b-4f37-afd5-1e119b4daf11,c8f7944e-17ab-48bf-9ad4-38a7caa166a2,2019/02/27,ファミリーマート　岡崎駅前店,ファミリマト岡崎駅前店,エフエムエイチ株式会社
232025,,愛知県,岡崎市,ファミリーマート 岡崎駅前店,ファミリーマート オカザキエキマエテン,菓子製造業,,愛知県岡崎市羽根町東荒子39-1,,,,(0564)72-5430,エフエムエイチ株式会社,,430-01-010-0066,2019/2/27,2019/2/27,2019/2/27,2025/2/28,,,,,,247,ファミリーマート 岡崎駅前店,0564,0564-72-5430,,,,愛知県岡崎市羽根町東荒子39-1,愛知県岡崎市羽根町東荒子３９－１,,118251,23,23202,羽根町,,2019/02/27,2019/02/27,2019/02/27,2025/02/28,エフエムエイチ株式会社,,,,,,,,,,430-01-010-0066,,菓子製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,ファミリマト岡崎駅前店0564-72-543011825123202,4622c84d-2a04-4d2b-a74d-e8f6b7868464,エフエムエイチ株式会社,639d5098-2d9b-4f37-afd5-1e119b4daf11,38015393-b88b-4d27-95e8-309e233597b8,2019/02/27,ファミリーマート　岡崎駅前店,ファミリマト岡崎駅前店,エフエムエイチ株式会社
