https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-マンション名,申請者1,業種,申請区分,施設-電話番号1,開業年月日,許可年月日,確認番号,申請-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業の種類,申請区分,施設電話番号,初回許可日,許可年月日（有効期間始期）,許可番号,営業者電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
蓮蛙,東京都北区中十条三丁目１６番９号,,樋口希美代,飲食店営業,新規,03-6691-4849,2021/12/17,2021/12/17,3北健生食き第714号,,,196,蓮蛙,03,03-6691-4849,,,,東京都北区中十条三丁目１６番９号,東京都北区中十条３丁目１６番９号,,74952,13,13117,中十条３,,2021/12/17,2021/12/17,,,,樋口希美代,,,,,,,,,3北健生食き第714号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,蓮蛙03-6691-48497495213117,32d0e283-8576-454c-9aa6-f3f80689a094,,personal,6e7f21cb-91f6-412e-95a6-c18e1335f42a,2021/12/17,蓮蛙,蓮蛙,
東十条駅前ホール,東京都北区東十条一丁目２０番５号,,有限会社　うつ味,飲食店営業,新規,,2021/11/30,2021/11/30,3北健生食き第694号,,,196,東十条駅前ホール,03,,,,,東京都北区東十条一丁目２０番５号,東京都北区東十条１丁目２０番５号,,74961,13,13117,東十条１,,2021/11/30,2021/11/30,,,有限会社　うつ味,,,,,,,,,,3北健生食き第694号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,東十条駅前ホル7496113117,c1b4de0f-d321-4223-9840-954ef17b6bc4,有限会社うつ味,ecbcf58d-8b1d-4b0e-8b78-42927d5fd9ed,6386d9c5-522f-4534-8d7e-c8349849f4c2,2021/11/30,東十条駅前ホール,東十条駅前ホル,有限会社うつ味
スナック　ディアー,東京都北区東十条二丁目３番９号,,大谷　美津子,飲食店営業,新規,,2021/12/3,2021/12/3,3北健生食き第700号,,,196,スナック　ディアー,03,,,,,東京都北区東十条二丁目３番９号,東京都北区東十条２丁目３番９号,,74962,13,13117,東十条２,,2021/12/03,2021/12/03,,,,大谷　美津子,,,,,,,,,3北健生食き第700号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,スナックディア7496213117,d5505765-2a51-4363-8329-5eaf21c8bcff,,personal,a351ebb7-3e18-43ae-981a-27aa0305d4a1,2021/12/03,スナック　ディアー,スナックディア,
大衆酒蔵酒だる,東京都北区東十条二丁目４番１０号,近藤ビル201号,田十郎,飲食店営業,新規,03-3911-9921,2021/12/23,2021/12/23,3北健生食き第754号,,,196,大衆酒蔵酒だる,03,03-3911-9921,,,,東京都北区東十条二丁目４番１０号,東京都北区東十条２丁目４番１０号,近藤ビル201号,74962,13,13117,東十条２,,2021/12/23,2021/12/23,,,,田十郎,,,,,,,,,3北健生食き第754号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,大衆酒蔵酒だる03-3911-99217496213117,93e5410f-6e0e-4e68-9502-a2d2c476f4fe,,personal,bd9805ae-619c-4a36-a1e1-332bf14457d7,2021/12/23,大衆酒蔵酒だる,大衆酒蔵酒だる,
ファミリーレストラン相撲料理郁,東京都北区東十条二丁目１５番４号,,高橋正,飲食店営業,新規,03-3914-8986,2021/12/13,2021/12/13,3北健生食き第716号,,,196,ファミリーレストラン相撲料理郁,03,03-3914-8986,,,,東京都北区東十条二丁目１５番４号,東京都北区東十条２丁目１５番４号,,74962,13,13117,東十条２,,2021/12/13,2021/12/13,,,,高橋正,,,,,,,,,3北健生食き第716号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ファミリレストラン相撲料理郁03-3914-89867496213117,207db6ad-c2ac-4311-8248-9d7377853f48,,personal,e1d80772-211e-4bd9-87db-e5522ae11b16,2021/12/13,ファミリーレストラン相撲料理郁,ファミリレストラン相撲料理郁,
浜作　東十条店,東京都北区東十条三丁目１１番４号,FW101号,米口　裕子,飲食店営業,新規,03-3913-5651,2021/12/28,2021/12/28,3北健生食き第757号,,,196,浜作　東十条店,03,03-3913-5651,,,,東京都北区東十条三丁目１１番４号,東京都北区東十条３丁目１１番４号,FW101号,74963,13,13117,東十条３,,2021/12/28,2021/12/28,,,,米口　裕子,,,,,,,,,3北健生食き第757号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,浜作東十条店03-3913-56517496313117,9677b30f-0dde-4c93-b524-3d07e7081247,,personal,a1e3b0c4-1ee8-43f9-88af-8ccf9c67b98b,2021/12/28,浜作　東十条店,浜作東十条店,
居酒屋　よい将,東京都北区東十条三丁目１５番２号,,竹田博史,飲食店営業,新規,03-3913-8955,2021/11/29,2021/11/29,3北健生食き第679号,,,196,居酒屋　よい将,03,03-3913-8955,,,,東京都北区東十条三丁目１５番２号,東京都北区東十条３丁目１５番２号,,74963,13,13117,東十条３,,2021/11/29,2021/11/29,,,,竹田博史,,,,,,,,,3北健生食き第679号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,居酒屋よい将03-3913-89557496313117,62a0e8cf-7276-4d8c-a203-02168a7fe5df,,personal,d4611f59-844a-4728-afe1-c41ee7e8a1dc,2021/11/29,居酒屋　よい将,居酒屋よい将,
千代,東京都北区東十条四丁目１番３号,,小林千代子,飲食店営業,新規,,2021/12/27,2021/12/27,3北健生食き第756号,,,196,千代,03,,,,,東京都北区東十条四丁目１番３号,東京都北区東十条４丁目１番３号,,74964,13,13117,東十条４,,2021/12/27,2021/12/27,,,,小林千代子,,,,,,,,,3北健生食き第756号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,千代7496413117,46dc18ec-a472-47b4-a3f2-b690843e5ecb,,personal,d222e3f1-a9aa-4867-ac1a-694ac8307402,2021/12/27,千代,千代,
Bistrattoria,東京都北区東十条四丁目６番２１号,リヒトライフ侑里東十条１階,飯尾康介,飲食店営業,新規,,2021/12/7,2021/12/7,3北健生食き第688号,,,196,Bistrattoria,03,,,,,東京都北区東十条四丁目６番２１号,東京都北区東十条４丁目６番２１号,リヒトライフ侑里東十条１階,74964,13,13117,東十条４,,2021/12/07,2021/12/07,,,,飯尾康介,,,,,,,,,3北健生食き第688号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,Ｂｉｓｔｒａｔｔｏｒｉａ7496413117,81373aef-ea6e-4d9a-8bb2-fc217e3ac46d,,personal,ae9bc86d-bbb0-40d8-9f2e-5226654eac5c,2021/12/07,Ｂｉｓｔｒａｔｔｏｒｉａ,Ｂｉｓｔｒａｔｔｏｒｉａ,
滝野川信用金庫東十条支店,東京都北区東十条五丁目５番１０号,,一冨士フードサービス株式会社,飲食店営業,新規,,2021/12/23,2021/12/23,3北健生食き第744号,,,196,滝野川信用金庫東十条支店,03,,,,,東京都北区東十条五丁目５番１０号,東京都北区東十条５丁目５番１０号,,74965,13,13117,東十条５,,2021/12/23,2021/12/23,,,一冨士フードサービス株式会社,,,,,,,,,,3北健生食き第744号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,滝野川信用金庫東十条支店7496513117,57bd0848-6564-43cb-878a-c0cdf7e4b09a,一冨士フードサービス株式会社,846e8f7e-6fb0-4717-94eb-5a46fe59d6b3,f3e4769a-fe65-4b2c-a172-e34b00414a2a,2021/12/23,滝野川信用金庫東十条支店,滝野川信用金庫東十条支店,一冨士フードサービス株式会社
稲廼家,東京都北区東十条五丁目１６番１８号,,小澤　年一,飲食店営業,新規,03-3902-6404,2021/11/18,2021/11/18,3北健生食き第654号,,,196,稲廼家,03,03-3902-6404,,,,東京都北区東十条五丁目１６番１８号,東京都北区東十条５丁目１６番１８号,,74965,13,13117,東十条５,,2021/11/18,2021/11/18,,,,小澤　年一,,,,,,,,,3北健生食き第654号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,稲廼家03-3902-64047496513117,22f2589e-5784-4e31-b717-5372efb40d88,,personal,ef69ecf0-dcdc-42db-b347-f7f2d78724cf,2021/11/18,稲廼家,稲廼家,
カレー厨房華らんたん赤羽店,東京都北区赤羽一丁目１番１号,JR赤羽駅南口改札内,株式会社JR東日本クロスステーション,飲食店営業,新規,,2021/12/2,2021/12/2,3北健生食き第658号,050-3644-7177,,196,カレー厨房華らんたん赤羽店,03,,,,,東京都北区赤羽一丁目１番１号,東京都北区赤羽１丁目１番１号,JR赤羽駅南口改札内,74860,13,13117,赤羽１,,2021/12/02,2021/12/02,,,株式会社JR東日本クロスステーション,,050-3644-7177,,,,,,,,3北健生食き第658号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,カレ厨房華らんたん赤羽店7486013117,90eb819e-c658-4b44-9155-ff137b27119d,株式会社ＪＲ東日本クロスステーション,ae78b9ac-a867-4e93-8d83-1fc5ca8285b6,35cefe1a-627f-4a70-bb0d-e956191aa0b5,2021/12/02,カレー厨房華らんたん赤羽店,カレ厨房華らんたん赤羽店,株式会社ＪＲ東日本クロスステーション
お肉のごはん　GOKUI　DELI,東京都北区赤羽一丁目１番１号,エキュート赤羽１階　U-2、J-b-④,株式会社テイスティーズ,飲食店営業,新規,03-5939-7437,2021/11/17,2021/11/17,3北健生食き第623号,087-823-2276,,196,お肉のごはん　GOKUI　DELI,03,03-5939-7437,,,,東京都北区赤羽一丁目１番１号,東京都北区赤羽１丁目１番１号,エキュート赤羽１階　U-2、J-b-④,74860,13,13117,赤羽１,,2021/11/17,2021/11/17,,,株式会社テイスティーズ,,087-823-2276,,,,,,,,3北健生食き第623号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,お肉のごはんＧＯＫＵＩＤＥＬＩ03-5939-74377486013117,c9ca42cf-e3bb-441c-9c8b-53fe183be375,株式会社テイスティーズ,9cb976de-6d42-4e12-a89a-348b43df6c7d,0e717156-b710-49df-b7a0-9cca3b560a20,2021/11/17,お肉のごはん　ＧＯＫＵＩ　ＤＥＬＩ,お肉のごはんＧＯＫＵＩＤＥＬＩ,株式会社テイスティーズ
カフェ＆Bar　Royalbaby,東京都北区赤羽一丁目１番７号,宮森ビル地下１階号室,林　暁建,飲食店営業,新規,,2021/12/8,2021/12/8,3北健生食き第708号,,,196,カフェ＆Bar　Royalbaby,03,,,,,東京都北区赤羽一丁目１番７号,東京都北区赤羽１丁目１番７号,宮森ビル地下１階号室,74860,13,13117,赤羽１,,2021/12/08,2021/12/08,,,,林　暁建,,,,,,,,,3北健生食き第708号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,カフェＢａｒＲｏｙａｌｂａｂｙ7486013117,c6b375d1-8c9e-4f6b-b866-5b496b5b8377,,personal,8334816d-f386-4af9-b1da-d8c224b28b58,2021/12/08,カフェ＆Ｂａｒ　Ｒｏｙａｌｂａｂｙ,カフェＢａｒＲｏｙａｌｂａｂｙ,
百万石,東京都北区赤羽一丁目２番５号,,有限会社昌京苑,飲食店営業,新規,03-3902-7700,2021/11/15,2021/11/15,3北健生食き第659号,03-3902-7700,,196,百万石,03,03-3902-7700,,,,東京都北区赤羽一丁目２番５号,東京都北区赤羽１丁目２番５号,,74860,13,13117,赤羽１,,2021/11/15,2021/11/15,,,有限会社昌京苑,,03-3902-7700,,,,,,,,3北健生食き第659号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,百万石03-3902-77007486013117,11af9cc9-ea4b-4fb5-9c64-73c67cc14fc3,有限会社昌京苑,489dff6a-8c79-4009-b337-0acc9523e6a5,1eb783fa-a0fa-4788-8657-e25f807e91ce,2021/11/15,百万石,百万石,有限会社昌京苑
木蘭,東京都北区赤羽一丁目１０番２号,赤羽パレスビルB１F　１号室,薛　菊芳,飲食店営業,新規,,2021/11/17,2021/11/17,3北健生食き第671号,,,196,木蘭,03,,,,,東京都北区赤羽一丁目１０番２号,東京都北区赤羽１丁目１０番２号,赤羽パレスビルB１F　１号室,74860,13,13117,赤羽１,,2021/11/17,2021/11/17,,,,薛　菊芳,,,,,,,,,3北健生食き第671号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,木蘭7486013117,733f6502-9aa2-4897-942f-7e36b2b81c07,,personal,f1779d48-242e-413d-9a03-b461eb46d267,2021/11/17,木蘭,木蘭,
かぶら屋　赤羽３号店,東京都北区赤羽一丁目１４番３号,Ｔ-スクエアビル,清水フーズ株式会社,飲食店営業,新規,03-5939-6891,2021/11/17,2021/11/17,3北健生食き第657号,054-254-0134,,196,かぶら屋　赤羽３号店,03,03-5939-6891,,,,東京都北区赤羽一丁目１４番３号,東京都北区赤羽１丁目１４番３号,Ｔ-スクエアビル,74860,13,13117,赤羽１,,2021/11/17,2021/11/17,,,清水フーズ株式会社,,054-254-0134,,,,,,,,3北健生食き第657号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,かぶら屋赤羽３号店03-5939-68917486013117,69be629b-bfca-4963-b8d0-9e118bd85da8,清水フーズ株式会社,cbca89ae-fbba-43a2-9c2a-1c4914418319,98481f8a-4ba5-4f8d-996d-bab9527ffb29,2021/11/17,かぶら屋　赤羽３号店,かぶら屋赤羽３号店,清水フーズ株式会社
焼肉　絵のある街　赤羽店,東京都北区赤羽一丁目１５番１号,新仲ビル２Ｆ,株式会社韓,飲食店営業,新規,03-6903-9929,2021/11/8,2021/11/8,3北健生食き第626号,03-6675-4430,,196,焼肉　絵のある街　赤羽店,03,03-6903-9929,,,,東京都北区赤羽一丁目１５番１号,東京都北区赤羽１丁目１５番１号,新仲ビル２Ｆ,74860,13,13117,赤羽１,,2021/11/08,2021/11/08,,,株式会社韓,,03-6675-4430,,,,,,,,3北健生食き第626号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,焼肉絵のある街赤羽店03-6903-99297486013117,561f7eb4-2973-4f8a-8812-be298859c536,株式会社韓,3b67c18c-c3b6-4563-8ec6-1f952326024a,bb0433ca-489e-49d6-85cf-efc4a47d43fe,2021/11/08,焼肉　絵のある街　赤羽店,焼肉絵のある街赤羽店,株式会社韓
ゆうひ屋,東京都北区赤羽一丁目１６番３号,,株式会社ゆうひ屋,飲食店営業,新規,03-5249-3507,2021/11/26,2021/11/26,3北健生食き第676号,,,196,ゆうひ屋,03,03-5249-3507,,,,東京都北区赤羽一丁目１６番３号,東京都北区赤羽１丁目１６番３号,,74860,13,13117,赤羽１,,2021/11/26,2021/11/26,,,株式会社ゆうひ屋,,,,,,,,,,3北健生食き第676号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ゆうひ屋03-5249-35077486013117,3556264d-5e43-436c-bac7-c1d6097c8e40,株式会社ゆうひ屋,483e7900-d53d-48ca-a49c-6fd436d48ebe,9785e230-ca3f-4441-bca2-fa4d6fed3a1f,2021/11/26,ゆうひ屋,ゆうひ屋,株式会社ゆうひ屋
とね川,東京都北区赤羽一丁目１６番４号,,利根川　弘,飲食店営業,新規,03-3902-8657,2021/12/21,2021/12/21,3北健生食き第736号,,,196,とね川,03,03-3902-8657,,,,東京都北区赤羽一丁目１６番４号,東京都北区赤羽１丁目１６番４号,,74860,13,13117,赤羽１,,2021/12/21,2021/12/21,,,,利根川　弘,,,,,,,,,3北健生食き第736号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,とね川03-3902-86577486013117,c2f287e0-e10a-4f0e-aff0-4c7257af71b2,,personal,35834206-9118-4eb9-99e5-d267ddff2660,2021/12/21,とね川,とね川,
洋居正,東京都北区赤羽一丁目１８番４号,,井上正一,飲食店営業,新規,,2021/12/14,2021/12/14,3北健生食き第728号,,,196,洋居正,03,,,,,東京都北区赤羽一丁目１８番４号,東京都北区赤羽１丁目１８番４号,,74860,13,13117,赤羽１,,2021/12/14,2021/12/14,,,,井上正一,,,,,,,,,3北健生食き第728号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,洋居正7486013117,089501ba-e92b-4be5-a822-1274ece7791d,,personal,669b3ecb-f4ee-42e1-b7fd-d557dc511325,2021/12/14,洋居正,洋居正,
カウンターバーライフ,東京都北区赤羽一丁目１８番６号,,定方　勝行,飲食店営業,新規,03-3903-3255,2021/11/19,2021/11/19,3北健生食き第648号,,,196,カウンターバーライフ,03,03-3903-3255,,,,東京都北区赤羽一丁目１８番６号,東京都北区赤羽１丁目１８番６号,,74860,13,13117,赤羽１,,2021/11/19,2021/11/19,,,,定方　勝行,,,,,,,,,3北健生食き第648号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,カウンタバライフ03-3903-32557486013117,cfdabf02-0f69-4c7a-b003-9c2882f5ee29,,personal,c658d75a-09b5-4e98-91e7-1884d8b2c70b,2021/11/19,カウンターバーライフ,カウンタバライフ,
リトルウイング,東京都北区赤羽一丁目１９番１号,,菅野康彦,飲食店営業,新規,03-3901-2255,2021/11/16,2021/11/16,3北健生食き第651号,,,196,リトルウイング,03,03-3901-2255,,,,東京都北区赤羽一丁目１９番１号,東京都北区赤羽１丁目１９番１号,,74860,13,13117,赤羽１,,2021/11/16,2021/11/16,,,,菅野康彦,,,,,,,,,3北健生食き第651号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,リトルウイング03-3901-22557486013117,6fc445b2-19d1-4d47-b7fe-d300ceb1fd54,,personal,7a407960-74d8-4ac7-aa86-a7dff518d500,2021/11/16,リトルウイング,リトルウイング,
郷土料理　みやざき屋,東京都北区赤羽一丁目２０番１号,藤屋ASSORT　BUILD　２階,みやざき屋合同会社,飲食店営業,新規,03-3901-8956,2021/11/9,2021/11/9,3北健生食き第629号,03-3901-8956,,196,郷土料理　みやざき屋,03,03-3901-8956,,,,東京都北区赤羽一丁目２０番１号,東京都北区赤羽１丁目２０番１号,藤屋ASSORT　BUILD　２階,74860,13,13117,赤羽１,,2021/11/09,2021/11/09,,,みやざき屋合同会社,,03-3901-8956,,,,,,,,3北健生食き第629号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,郷土料理みやざき屋03-3901-89567486013117,e1f85dce-7898-4ac5-9274-78d36bad0e31,みやざき屋合同会社,5a36e6aa-2a2c-4119-9a13-1a2e8e14a368,b36eab19-cb38-40ba-97b1-d293ed2134fb,2021/11/09,郷土料理　みやざき屋,郷土料理みやざき屋,みやざき屋合同会社
田舎三昧とんぼ,東京都北区赤羽一丁目２２番９号,,酒本　穂積,飲食店営業,新規,03-3901-1239,2021/12/16,2021/12/16,3北健生食き第725号,,,196,田舎三昧とんぼ,03,03-3901-1239,,,,東京都北区赤羽一丁目２２番９号,東京都北区赤羽１丁目２２番９号,,74860,13,13117,赤羽１,,2021/12/16,2021/12/16,,,,酒本　穂積,,,,,,,,,3北健生食き第725号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,田舎三昧とんぼ03-3901-12397486013117,25e71fde-1c85-41f1-8365-201d319dee81,,personal,a9b7aac2-33ec-4a39-b761-9fb726ad6c7e,2021/12/16,田舎三昧とんぼ,田舎三昧とんぼ,
炭火串焼　ＦＵＪＩＫＯ,東京都北区赤羽一丁目２２番１０号,,ｈｅｍｉｓｐｈｅｒｅ　ＤＩＮＩＮＧ株式会社,飲食店営業,新規,03-6454-4385,2021/12/16,2021/12/16,3北健生食き第721号,03-6454-4385,,196,炭火串焼　ＦＵＪＩＫＯ,03,03-6454-4385,,,,東京都北区赤羽一丁目２２番１０号,東京都北区赤羽１丁目２２番１０号,,74860,13,13117,赤羽１,,2021/12/16,2021/12/16,,,ｈｅｍｉｓｐｈｅｒｅ　ＤＩＮＩＮＧ株式会社,,03-6454-4385,,,,,,,,3北健生食き第721号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,炭火串焼ＦＵＪＩＫＯ03-6454-43857486013117,e714c19c-43bd-41f5-895d-b398f75c77bf,ｈｅｍｉｓｐｈｅｒｅ　ＤＩＮＩＮＧ株式会社,fd5b4138-176f-4cae-8a14-5cd756c1ff7e,2d08816a-58be-437b-b7e5-7722f072dd31,2021/12/16,炭火串焼　ＦＵＪＩＫＯ,炭火串焼ＦＵＪＩＫＯ,ｈｅｍｉｓｐｈｅｒｅ　ＤＩＮＩＮＧ株式会社
かんどころ,東京都北区赤羽一丁目２３番２号,亀屋ビル４Ｆ,株式会社ワンズウェイ,飲食店営業,新規,03-5939-9807,2021/12/15,2021/12/15,3北健生食き第722号,03-5939-9107,,196,かんどころ,03,03-5939-9807,,,,東京都北区赤羽一丁目２３番２号,東京都北区赤羽１丁目２３番２号,亀屋ビル４Ｆ,74860,13,13117,赤羽１,,2021/12/15,2021/12/15,,,株式会社ワンズウェイ,,03-5939-9107,,,,,,,,3北健生食き第722号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,かんどころ03-5939-98077486013117,02ea9b40-e7af-4ba1-89c7-9acdd91a7563,株式会社ワンズウェイ,4e48d6ed-92ce-48a0-97e5-2190356bc493,7cbe62b9-86f6-49bc-8f18-1fe5508d8564,2021/12/15,かんどころ,かんどころ,株式会社ワンズウェイ
海鮮乃里,東京都北区赤羽一丁目２８番４号,,齋藤　義徳,飲食店営業,新規,03-5939-9899,2021/12/9,2021/12/9,3北健生食き第669号,,,196,海鮮乃里,03,03-5939-9899,,,,東京都北区赤羽一丁目２８番４号,東京都北区赤羽１丁目２８番４号,,74860,13,13117,赤羽１,,2021/12/09,2021/12/09,,,,齋藤　義徳,,,,,,,,,3北健生食き第669号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,海鮮乃里03-5939-98997486013117,8a0d38b5-d187-4a1e-805e-743b0eb63ae2,,personal,1799e08b-5f2e-4d38-9c42-4fce37f2fb37,2021/12/09,海鮮乃里,海鮮乃里,
ぶらっと,東京都北区赤羽一丁目３４番３号,,岡本　澄子,飲食店営業,新規,03-3598-2314,2021/11/26,2021/11/26,3北健生食き第667号,,,196,ぶらっと,03,03-3598-2314,,,,東京都北区赤羽一丁目３４番３号,東京都北区赤羽１丁目３４番３号,,74860,13,13117,赤羽１,,2021/11/26,2021/11/26,,,,岡本　澄子,,,,,,,,,3北健生食き第667号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ぶらっと03-3598-23147486013117,18d8d217-fa42-4100-8e37-fdcd53a13204,,personal,e1469a29-9ee4-4b0a-9707-dc54df326329,2021/11/26,ぶらっと,ぶらっと,
炭火焼肉香味苑,東京都北区赤羽一丁目３７番７号,コンチネンタルプラザ赤羽弐番館101,MC国際貿易株式会社,飲食店営業,新規,03-3902-7528,2021/11/26,2021/11/26,3北健生食き第674号,03-3598-0601,,196,炭火焼肉香味苑,03,03-3902-7528,,,,東京都北区赤羽一丁目３７番７号,東京都北区赤羽１丁目３７番７号,コンチネンタルプラザ赤羽弐番館101,74860,13,13117,赤羽１,,2021/11/26,2021/11/26,,,MC国際貿易株式会社,,03-3598-0601,,,,,,,,3北健生食き第674号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,炭火焼肉香味苑03-3902-75287486013117,d005ac8a-0e40-48d8-9276-cf80a2b8307f,ＭＣ国際貿易株式会社,c5c3eb21-e5ad-4ebc-ae43-be571c43b173,206fb6d7-0bdd-4e62-8014-63e1142522cf,2021/11/26,炭火焼肉香味苑,炭火焼肉香味苑,ＭＣ国際貿易株式会社
Paramount　百楽門,東京都北区赤羽一丁目３７番７号,コンチネンタルプラザ赤羽弐番館地下１階B０１号室,尚燕株式会社,飲食店営業,新規,,2021/12/28,2021/12/28,3北健生食き第762号,,,196,Paramount　百楽門,03,,,,,東京都北区赤羽一丁目３７番７号,東京都北区赤羽１丁目３７番７号,コンチネンタルプラザ赤羽弐番館地下１階B０１号室,74860,13,13117,赤羽１,,2021/12/28,2021/12/28,,,尚燕株式会社,,,,,,,,,,3北健生食き第762号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,Ｐａｒａｍｏｕｎｔ百楽門7486013117,bb069878-c834-4939-8fbc-4b55938a2e59,尚燕株式会社,b8b74ae3-0107-4f5e-a770-e24d75939446,10f5ba57-e6fb-40a7-b0e5-f9d9ad573ce2,2021/12/28,Ｐａｒａｍｏｕｎｔ　百楽門,Ｐａｒａｍｏｕｎｔ百楽門,尚燕株式会社
スナックアニー,東京都北区赤羽一丁目４７番１号,,鈴木美和,飲食店営業,新規,03-3901-4777,2021/11/18,2021/11/18,3北健生食き第637号,,,196,スナックアニー,03,03-3901-4777,,,,東京都北区赤羽一丁目４７番１号,東京都北区赤羽１丁目４７番１号,,74860,13,13117,赤羽１,,2021/11/18,2021/11/18,,,,鈴木美和,,,,,,,,,3北健生食き第637号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,スナックアニ03-3901-47777486013117,1241ec78-3157-4bd2-afc4-4078becf292e,,personal,7f3115b6-8ed8-4f4e-b9db-52bf15bb118a,2021/11/18,スナックアニー,スナックアニ,
