https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,申請年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業所名称,,営業所所在地,,,営業所電話番号,業種,営業者氏名（法人にあっては法人名）,営業者電話番号（法人のみ）,初回許可日,届出年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
茶とら,神奈川県川崎市,幸区都町３ ,幸区都町３,,511-8555,①飲食店（一般食堂）,佐藤　正樹,,2022/1/24,,2022/1/24,2110258,,142,茶とら,044,044-511-8555,,,,神奈川県川崎市　幸区都町３,神奈川県川崎市幸区都町３,,80097,14,14132,都町,,2022/01/24,2022/01/24,,,,佐藤　正樹,,,,,,,,,2110258,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,茶とら044-511-85558009714132,b363b3de-4f55-41b8-bc97-87c348587624,,personal,8695f70b-92cd-4dec-82eb-fa659b66cdb9,2022/01/24,茶とら,茶とら,
茶とら,神奈川県川崎市,幸区都町３ ,幸区都町３,,511-8555,⑪菓子製造業（菓子）,佐藤　正樹,,2022/1/24,,2022/1/24,2110259,,142,茶とら,044,044-511-8555,,,,神奈川県川崎市　幸区都町３,神奈川県川崎市幸区都町３,,80097,14,14132,都町,,2022/01/24,2022/01/24,,,,佐藤　正樹,,,,,,,,,2110259,,菓子製造業,（菓子）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,E,9,,,茶とら044-511-85558009714132,b363b3de-4f55-41b8-bc97-87c348587624,,personal,0d3e2b81-d732-4773-97e1-466170819d97,2022/01/24,茶とら,茶とら,
ローソン南加瀬四丁目店,神奈川県川崎市,幸区南加瀬４丁目１２－１３ ,幸区南加瀬４丁目１２－１３,,599-7066,①飲食店（軽飲食等）,有限会社横浜ヨシノ,045-548-0045,2022/1/27,,2022/1/27,2110268,,142,ローソン南加瀬四丁目店,044,044-599-7066,,,,神奈川県川崎市　幸区南加瀬４丁目１２－１３,神奈川県川崎市幸区南加瀬４丁目１２－１３,,80092,14,14132,南加瀬４,,2022/01/27,2022/01/27,,,有限会社横浜ヨシノ,,045-548-0045,,,,,,,,2110268,,飲食店営業,軽飲食等,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ロソン南加瀬四丁目店044-599-70668009214132,758c788d-b566-4163-b9ff-4166d4c4005a,有限会社横浜ヨシノ,2a9939d5-0b46-46d0-806e-1d2f1e90d996,63aef34b-17db-4094-b919-736f6a8c2e0a,2022/01/27,ローソン南加瀬四丁目店,ロソン南加瀬四丁目店,有限会社横浜ヨシノ
ほっともっと南加瀬４丁目店,神奈川県川崎市,幸区南加瀬４丁目２６番１２号 ,幸区南加瀬４丁目２６番１２号, ,,①飲食店（弁当屋）,合同会社Ｎｏ８,589-0371,2022/1/18,,2022/1/18,2110255,,142,ほっともっと南加瀬４丁目店,044,,,,,神奈川県川崎市　幸区南加瀬４丁目２６番１２号,神奈川県川崎市幸区南加瀬４丁目２６番１２号, ,80092,14,14132,南加瀬４,,2022/01/18,2022/01/18,,,合同会社Ｎｏ８,,044-589-0371,,,,,,,,2110255,,飲食店営業,（弁当屋）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ほっともっと南加瀬４丁目店8009214132,ab69ce41-69ff-4265-b3c2-3d6fa18dee91,合同会社Ｎｏ８,ac355d5d-18dc-4b43-b2b1-f69858b69d63,d13ddb3e-132c-4e57-a646-6432fe1b31ae,2022/01/18,ほっともっと南加瀬４丁目店,ほっともっと南加瀬４丁目店,合同会社Ｎｏ８
スナック　たまがわ,神奈川県川崎市,幸区小倉５丁目２－１４鈴木ビル１Ｆ ,幸区小倉５丁目２－１４,鈴木ビル１Ｆ ,599-4453,①飲食店（一般食堂）,玉川　良子,,2022/1/28,,2022/1/28,2110277,,142,スナック　たまがわ,044,044-599-4453,,,,神奈川県川崎市　幸区小倉５丁目２－１４,神奈川県川崎市幸区小倉５丁目２－１４,鈴木ビル１Ｆ ,80044,14,14132,小倉５,,2022/01/28,2022/01/28,,,,玉川　良子,,,,,,,,,2110277,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,スナックたまがわ044-599-44538004414132,ed82e757-e08f-4b01-a4b2-ec9fabe713b0,,personal,9dfbe6e2-23dc-4f92-9c1f-3b26d90cca58,2022/01/28,スナック　たまがわ,スナックたまがわ,
ロ－ソン川崎小倉店,神奈川県川崎市,幸区小倉５丁目２４－１ ,幸区小倉５丁目２４－１,,599-8998,①飲食店（簡易な飲食店）,有限会社　横浜ヨシノ,045-548-0045,2022/1/25,,2022/1/25,2110267,,142,ロ－ソン川崎小倉店,044,044-599-8998,,,,神奈川県川崎市　幸区小倉５丁目２４－１,神奈川県川崎市幸区小倉５丁目２４－１,,80044,14,14132,小倉５,,2022/01/25,2022/01/25,,,有限会社　横浜ヨシノ,,045-548-0045,,,,,,,,2110267,,飲食店営業,（簡易な飲食店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ロソン川崎小倉店044-599-89988004414132,7a1ad117-d5d0-44cc-bb0a-cfdacdc037e4,有限会社横浜ヨシノ,2a9939d5-0b46-46d0-806e-1d2f1e90d996,11883d5b-7080-4929-b8cc-1d81ad39d731,2022/01/25,ロ－ソン川崎小倉店,ロソン川崎小倉店,有限会社横浜ヨシノ
すし屋の昭月,神奈川県川崎市,幸区鹿島田１丁目４－８ ,幸区鹿島田１丁目４－８,,544-2136,①飲食店（すし店）,有限会社　昭月,544-2136,2022/1/26,,2022/1/26,2110274,,142,すし屋の昭月,044,044-544-2136,,,,神奈川県川崎市　幸区鹿島田１丁目４－８,神奈川県川崎市幸区鹿島田１丁目４－８,,80046,14,14132,鹿島田１,,2022/01/26,2022/01/26,,,有限会社　昭月,,044-544-2136,,,,,,,,2110274,,飲食店営業,（すし店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,すし屋の昭月044-544-21368004614132,9ec95a49-1e8e-4102-b478-1548cd190d4c,有限会社昭月,f6acfa57-b8e3-4b4d-ad6a-7647184d1ccd,70501680-a103-4d83-9463-2e687662ccdc,2022/01/26,すし屋の昭月,すし屋の昭月,有限会社昭月
クッチーナ　イル　テット,神奈川県川崎市,幸区鹿島田１丁目９－１ ,幸区鹿島田１丁目９－１,,511-8686,①飲食店（一般食堂）,株式会社　イル・テット,511-8686,2022/1/26,,2022/1/26,2110261,,142,クッチーナ　イル　テット,044,044-511-8686,,,,神奈川県川崎市　幸区鹿島田１丁目９－１,神奈川県川崎市幸区鹿島田１丁目９－１,,80046,14,14132,鹿島田１,,2022/01/26,2022/01/26,,,株式会社　イル・テット,,044-511-8686,,,,,,,,2110261,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,クッチナイルテット044-511-86868004614132,df517399-68b0-4847-b07d-ee0281f8d3d1,株式会社イル・テット,fb9e626f-aaf4-434c-bca0-9d61ccf20c29,8b971626-e658-4bd5-bb3b-47de4249e562,2022/01/26,クッチーナ　イル　テット,クッチナイルテット,株式会社イル・テット
ベイキングスタジオ,神奈川県川崎市,中原区上新城２－７－１　１Ｆ ,中原区上新城２－７－１,１Ｆ ,,⑪菓子製造業（パン類）,山﨑　美雪,,2022/1/31,,2022/1/31,2110502,,142,ベイキングスタジオ,044,,,,,神奈川県川崎市　中原区上新城２－７－１,神奈川県川崎市中原区上新城２－７－１,１Ｆ ,80177,14,14133,上新城２,,2022/01/31,2022/01/31,,,,山﨑　美雪,,,,,,,,,2110502,,菓子製造業,（パン類）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,E,9,,,ベイキングスタジオ8017714133,4f7db88b-d444-4255-9eec-093e283f9a11,,personal,170c3700-58c5-4182-a8da-dc48685b1772,2022/01/31,ベイキングスタジオ,ベイキングスタジオ,
やきとり　近江屋,神奈川県川崎市,中原区上新城２－７－１セシーズイシイ７　１０４ ,中原区上新城２－７－１,セシーズイシイ７　１０４ ,766-8720,①飲食店（大衆酒場）,松本　染五郎,,2022/1/26,,2022/1/26,2110478,,142,やきとり　近江屋,044,044-766-8720,,,,神奈川県川崎市　中原区上新城２－７－１,神奈川県川崎市中原区上新城２－７－１,セシーズイシイ７　１０４ ,80177,14,14133,上新城２,,2022/01/26,2022/01/26,,,,松本　染五郎,,,,,,,,,2110478,,飲食店営業,（大衆酒場）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,やきとり近江屋044-766-87208017714133,d31ba3c1-05fe-4f3b-bb23-8136b20e390f,,personal,572ed956-a1f7-4c69-b131-0aaf71f5f428,2022/01/26,やきとり　近江屋,やきとり近江屋,
かしわや新城店,神奈川県川崎市,中原区上新城２－１１－３１角田ビル１Ｆ ,中原区上新城２－１１－３１,角田ビル１Ｆ ,755-0628,①飲食店（一般食堂）,株式会社柏屋倉石商店,03-3778-3311,2022/1/26,,2022/1/26,2110514,,142,かしわや新城店,044,044-755-0628,,,,神奈川県川崎市　中原区上新城２－１１－３１,神奈川県川崎市中原区上新城２－１１－３１,角田ビル１Ｆ ,80177,14,14133,上新城２,,2022/01/26,2022/01/26,,,株式会社柏屋倉石商店,,03-3778-3311,,,,,,,,2110514,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,かしわや新城店044-755-06288017714133,8b1e7415-82c4-4873-8431-32e1cc062fc9,株式会社柏屋倉石商店,8efb014d-1d79-4cff-b2a6-cc82cc5bf9bc,79c3120d-a9e4-4dff-86e8-e48f4ad0e2a2,2022/01/26,かしわや新城店,かしわや新城店,株式会社柏屋倉石商店
おばこ,神奈川県川崎市,中原区上丸子山王町１－１４３１ ,中原区上丸子山王町１－１４３１,,422-0511,①飲食店（大衆酒場）,田中　光国,,2022/1/26,,2022/1/26,2110495,,142,おばこ,044,044-422-0511,,,,神奈川県川崎市　中原区上丸子山王町１－１４３１,神奈川県川崎市中原区上丸子山王町１－１４３１,,80127,14,14133,上丸子山王町１,,2022/01/26,2022/01/26,,,,田中　光国,,,,,,,,,2110495,,飲食店営業,（大衆酒場）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,おばこ044-422-05118012714133,6aadac89-dd88-4d00-bb9c-5e1f2512e2d4,,personal,f29e562e-c07c-4353-925a-1e4e82acaa0f,2022/01/26,おばこ,おばこ,
ホットヨガスタジオＬＡＶＡ　Ｋｏｓｕｇｉ　３ｒｄ　Ａｖｅｎｕｅ　,神奈川県川崎市,中原区小杉町３丁目６００　３階 ,中原区小杉町３丁目６００,３階 ,739-8058,①飲食店（簡易な飲食店）,株式会社ＬＡＶＡ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,,2022/1/4,,2022/1/4,2110455,,142,ホットヨガスタジオＬＡＶＡ　Ｋｏｓｕｇｉ　３ｒｄ　Ａｖｅｎｕｅ　,044,044-739-8058,,,,神奈川県川崎市　中原区小杉町３丁目６００,神奈川県川崎市中原区小杉町３丁目６００,３階 ,80148,14,14133,小杉町３,,2022/01/04,2022/01/04,,,株式会社ＬＡＶＡ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,,,,,,,,,,2110455,,飲食店営業,（簡易な飲食店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ホットヨガスタジオＬＡＶＡＫｏｓｕｇｉ３ｒｄＡｖｅｎｕｅ044-739-80588014814133,8faf2def-bcff-4db5-8937-6d91f53a59e3,株式会社ＬＡＶＡ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,1c1a33e4-2269-411c-931f-bdfd72bb87bc,f2ed8237-158b-4671-afae-eea0c1671b53,2022/01/04,ホットヨガスタジオＬＡＶＡ　Ｋｏｓｕｇｉ　３ｒｄ　Ａｖｅｎｕｅ　,ホットヨガスタジオＬＡＶＡＫｏｓｕｇｉ３ｒｄＡｖｅｎｕｅ,株式会社ＬＡＶＡ　Ｉｎｔｅｒｎａｔｉｏｎａｌ
６４Ｃａｆｅ＋Ｒａｎａｉ,神奈川県川崎市,中原区小杉町３－２１ ,中原区小杉町３－２１,,733-3243,①飲食店（一般食堂）,有限会社ファーストトレード,722-9490,2022/1/21,,2022/1/21,2110484,,142,６４Ｃａｆｅ＋Ｒａｎａｉ,044,044-733-3243,,,,神奈川県川崎市　中原区小杉町３－２１,神奈川県川崎市中原区小杉町３－２１,,80148,14,14133,小杉町３,,2022/01/21,2022/01/21,,,有限会社ファーストトレード,,044-722-9490,,,,,,,,2110484,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,６４ＣａｆｅＲａｎａｉ044-733-32438014814133,ccf4c440-75bf-4aec-ba79-66802ee9a756,有限会社ファーストトレード,bcad71a1-e294-4b79-ac36-011f89919536,fca14dc1-9549-421f-a41b-36ea5d8ad34c,2022/01/21,６４Ｃａｆｅ＋Ｒａｎａｉ,６４ＣａｆｅＲａｎａｉ,有限会社ファーストトレード
さかだち,神奈川県川崎市,中原区小杉町３－２５８－３石橋ビル１０３ ,中原区小杉町３－２５８－３,石橋ビル１０３ ,733-7597,①飲食店（一般食堂）,坂　穣,,2022/1/31,,2022/1/31,2110522,,142,さかだち,044,044-733-7597,,,,神奈川県川崎市　中原区小杉町３－２５８－３,神奈川県川崎市中原区小杉町３－２５８－３,石橋ビル１０３ ,80148,14,14133,小杉町３,,2022/01/31,2022/01/31,,,,坂　穣,,,,,,,,,2110522,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,さかだち044-733-75978014814133,ffe03642-2721-42bb-84c6-b627ce83b786,,personal,fc9503f0-c255-4113-a558-2d71b73167da,2022/01/31,さかだち,さかだち,
やきとり焼辰,神奈川県川崎市,中原区小杉町３－４３０伊藤ビル１Ｆ ,中原区小杉町３－４３０,伊藤ビル１Ｆ ,733-3289,①飲食店（大衆酒場）,星　祐二,,2022/1/21,,2022/1/21,2110516,,142,やきとり焼辰,044,044-733-3289,,,,神奈川県川崎市　中原区小杉町３－４３０,神奈川県川崎市中原区小杉町３－４３０,伊藤ビル１Ｆ ,80148,14,14133,小杉町３,,2022/01/21,2022/01/21,,,,星　祐二,,,,,,,,,2110516,,飲食店営業,（大衆酒場）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,やきとり焼辰044-733-32898014814133,fe0bec38-3056-46b9-bdea-84a7f9e3c40d,,personal,7d5ce227-f345-475f-908e-26f71b44c6ac,2022/01/21,やきとり焼辰,やきとり焼辰,
Ｎｏｒａｈ,神奈川県川崎市,中原区小杉町３－４３２－７ ,中原区小杉町３－４３２－７,,299-9366,①飲食店（大衆酒場）,株式会社Ｄｌａｌａ’ｅｎｃｈａｎｔｅｄ,,2022/1/26,,2022/1/26,2110477,,142,Ｎｏｒａｈ,044,044-299-9366,,,,神奈川県川崎市　中原区小杉町３－４３２－７,神奈川県川崎市中原区小杉町３－４３２－７,,80148,14,14133,小杉町３,,2022/01/26,2022/01/26,,,株式会社Ｄｌａｌａ’ｅｎｃｈａｎｔｅｄ,,,,,,,,,,2110477,,飲食店営業,（大衆酒場）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,Ｎｏｒａｈ044-299-93668014814133,2bda0937-896c-4bf0-a4d9-8e599450ae8f,株式会社Ｄｌａｌａ＇ｅｎｃｈａｎｔｅｄ,70f9fde4-747c-4958-8023-66eedff43acd,beaad55a-0a39-4020-931e-afdbab8ec70f,2022/01/26,Ｎｏｒａｈ,Ｎｏｒａｈ,株式会社Ｄｌａｌａ＇ｅｎｃｈａｎｔｅｄ
サクタミート,神奈川県川崎市,中原区小杉町３－４４０ ,中原区小杉町３－４４０,,733-2600,③食肉販売業（食肉販売）,株式会社サクタミート,854-1145,2022/1/26,,2022/1/26,2110482,,142,サクタミート,044,044-733-2600,,,,神奈川県川崎市　中原区小杉町３－４４０,神奈川県川崎市中原区小杉町３－４４０,,80148,14,14133,小杉町３,,2022/01/26,2022/01/26,,,株式会社サクタミート,,044-854-1145,,,,,,,,2110482,,食肉販売業,（食肉販売）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,I,58,583,,サクタミト044-733-26008014814133,c00a542d-2844-4f23-985f-451bbd47828c,株式会社サクタミート,a83ba649-438c-4537-8f84-ca85f3f6dfd6,517c7280-bef3-4016-a6e4-705fd72de486,2022/01/26,サクタミート,サクタミト,株式会社サクタミート
中華惣菜上海灘,神奈川県川崎市,中原区小杉町３－１３０１エクラスタワー武蔵小杉１Ｆ１０８ＡＢ ,中原区小杉町３－１３０１,エクラスタワー武蔵小杉１Ｆ１０８ＡＢ ,733-5086,①飲食店（そうざい店）,株式会社東方紅企画,,2022/1/31,,2022/1/31,2110527,,142,中華惣菜上海灘,044,044-733-5086,,,,神奈川県川崎市　中原区小杉町３－１３０１,神奈川県川崎市中原区小杉町３－１３０１,エクラスタワー武蔵小杉１Ｆ１０８ＡＢ ,80148,14,14133,小杉町３,,2022/01/31,2022/01/31,,,株式会社東方紅企画,,,,,,,,,,2110527,,飲食店営業,（そうざい店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,中華惣菜上海灘044-733-50868014814133,cf708250-f9f2-4624-994b-7699d2d849fe,株式会社東方紅企画,d2f3a8a1-fd56-4352-98d2-359cd2c7e6b6,c1f49935-658b-452d-a564-39cbaf967452,2022/01/31,中華惣菜上海灘,中華惣菜上海灘,株式会社東方紅企画
Ｌｉｔｔｌｅ　Ａｓｉａ純。武蔵小杉店,神奈川県川崎市,中原区小杉町３－１３０１エクラスタワー武蔵小杉２Ｆ２０３Ａ・Ｂ ,中原区小杉町３－１３０１,エクラスタワー武蔵小杉２Ｆ２０３Ａ・Ｂ ,,①飲食店（そうざい店）,株式会社珍輝,045-298-1722,2022/1/31,,2022/1/31,2110508,,142,Ｌｉｔｔｌｅ　Ａｓｉａ純。武蔵小杉店,044,,,,,神奈川県川崎市　中原区小杉町３－１３０１,神奈川県川崎市中原区小杉町３－１３０１,エクラスタワー武蔵小杉２Ｆ２０３Ａ・Ｂ ,80148,14,14133,小杉町３,,2022/01/31,2022/01/31,,,株式会社珍輝,,045-298-1722,,,,,,,,2110508,,飲食店営業,（そうざい店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ＬｉｔｔｌｅＡｓｉａ純武蔵小杉店8014814133,62acbfee-f19c-4c59-9c55-08a4169c8301,株式会社珍輝,ab6a4589-f967-493a-ad13-2ecc9e270d17,b17988bb-a3d5-4069-97f8-6503a0475874,2022/01/31,Ｌｉｔｔｌｅ　Ａｓｉａ純。武蔵小杉店,ＬｉｔｔｌｅＡｓｉａ純武蔵小杉店,株式会社珍輝
ピザーラ・ビバパエリア武蔵小杉店,神奈川県川崎市,中原区下小田中２－１８－１３ ,中原区下小田中２－１８－１３,,755-3500,①飲食店（仕出し屋）,株式会社フォーシーズ,03-3409-6000,2022/1/31,,2022/1/31,2110529,,142,ピザーラ・ビバパエリア武蔵小杉店,044,044-755-3500,,,,神奈川県川崎市　中原区下小田中２－１８－１３,神奈川県川崎市中原区下小田中２－１８－１３,,80150,14,14133,下小田中２,,2022/01/31,2022/01/31,,,株式会社フォーシーズ,,03-3409-6000,,,,,,,,2110529,,飲食店営業,（仕出し屋）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ピザラビバパエリア武蔵小杉店044-755-35008015014133,0027b3c5-58a4-4749-9347-ca4ddaa035b4,株式会社フォーシーズ,b5649cc1-095e-424d-b718-57fd93af9856,35773f4b-80b6-48f8-aef8-e63ab263d186,2022/01/31,ピザーラ・ビバパエリア武蔵小杉店,ピザラビバパエリア武蔵小杉店,株式会社フォーシーズ
セブンーイレブン川崎下新城２丁目店,神奈川県川崎市,中原区下新城２－４－２５レオネクストテルス ,中原区下新城２－４－２５,レオネクストテルス ,798-3177,①飲食店（簡易な飲食店）,有限会社ケイ・コーポレーション,045-948-3020,2022/1/21,,2022/1/21,2110491,,142,セブンーイレブン川崎下新城２丁目店,044,044-798-3177,,,,神奈川県川崎市　中原区下新城２－４－２５,神奈川県川崎市中原区下新城２－４－２５,レオネクストテルス ,80179,14,14133,下新城２,,2022/01/21,2022/01/21,,,有限会社ケイ・コーポレーション,,045-948-3020,,,,,,,,2110491,,飲食店営業,（簡易な飲食店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,セブンイレブン川崎下新城２丁目店044-798-31778017914133,21bd7954-43f7-40e2-9979-1797233a56ee,有限会社ケイ・コーポレーション,00277976-dccf-43c5-bc5f-64dc2e6b58f9,4f2a904c-7445-48a0-a785-9fdaacf8b1a4,2022/01/21,セブンイレブン川崎下新城２丁目店,セブンイレブン川崎下新城２丁目店,有限会社ケイ・コーポレーション
味知,神奈川県川崎市,中原区新城１－１１－３ ,中原区新城１－１１－３,,766-9701,①飲食店（一般食堂）,有限会社味知,766-9701,2022/1/28,,2022/1/28,2110490,,142,味知,044,044-766-9701,,,,神奈川県川崎市　中原区新城１－１１－３,神奈川県川崎市中原区新城１－１１－３,,80157,14,14133,新城１,,2022/01/28,2022/01/28,,,有限会社味知,,044-766-9701,,,,,,,,2110490,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,味知044-766-97018015714133,259edb23-07bc-4d99-b331-77393c6d3cf8,有限会社味知,3c110afa-d0c4-45df-a92f-98c017d3f862,41a13b50-31cf-4b6a-937a-f3a482b3001f,2022/01/28,味知,味知,有限会社味知
酒場　かんかん,神奈川県川崎市,中原区新城一丁目１３番１号８ＰＬＡＺＡ１階 ,中原区新城１丁目１３番１号,８ＰＬＡＺＡ１階 ,797-5353,①飲食店（大衆酒場）,株式会社ＡＣＥ　ｃｏｎｎｅｃｔｉｏｎ,380-1319,2022/1/24,,2022/1/24,2110507,,142,酒場　かんかん,044,044-797-5353,,,,神奈川県川崎市　中原区新城１丁目１３番１号,神奈川県川崎市中原区新城１丁目１３番１号,８ＰＬＡＺＡ１階 ,80157,14,14133,新城１,,2022/01/24,2022/01/24,,,株式会社ＡＣＥ　ｃｏｎｎｅｃｔｉｏｎ,,044-380-1319,,,,,,,,2110507,,飲食店営業,（大衆酒場）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,酒場かんかん044-797-53538015714133,87b4c3f0-55da-4fc0-8f42-5519a830fc15,株式会社ＡＣＥ　ｃｏｎｎｅｃｔｉｏｎ,3ec12802-55cb-431e-a24f-673c82cc2154,3b94291d-9447-4fe1-bae6-db4bff0eda98,2022/01/24,酒場　かんかん,酒場かんかん,株式会社ＡＣＥ　ｃｏｎｎｅｃｔｉｏｎ
大衆割烹　かっぱ,神奈川県川崎市,中原区新城２－４－２ ,中原区新城２－４－２,,788-9984,①飲食店（一般食堂）,志村　健一,,2022/1/21,,2022/1/21,2110497,,142,大衆割烹　かっぱ,044,044-788-9984,,,,神奈川県川崎市　中原区新城２－４－２,神奈川県川崎市中原区新城２－４－２,,80158,14,14133,新城２,,2022/01/21,2022/01/21,,,,志村　健一,,,,,,,,,2110497,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,大衆割烹かっぱ044-788-99848015814133,ef44013f-c589-4688-ab73-d9f451cc8519,,personal,69c034d1-e916-4a08-b39a-311715eb9dc3,2022/01/21,大衆割烹　かっぱ,大衆割烹かっぱ,
喫茶　ヴィ,神奈川県川崎市,中原区新城３－９－１トミヤビル２Ｆ ,中原区新城３－９－１,トミヤビル２Ｆ ,,①飲食店（一般食堂）,山形　典子,,2022/1/26,,2022/1/26,2110483,,142,喫茶　ヴィ,044,,,,,神奈川県川崎市　中原区新城３－９－１,神奈川県川崎市中原区新城３－９－１,トミヤビル２Ｆ ,80159,14,14133,新城３,,2022/01/26,2022/01/26,,,,山形　典子,,,,,,,,,2110483,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,喫茶ヴィ8015914133,b1a57e50-872a-4f48-b6aa-7266a38b50b1,,personal,9c0dd0b5-451d-4814-a535-1cc737f3415a,2022/01/26,喫茶　ヴィ,喫茶ヴィ,
スナック　プリンセスＭ,神奈川県川崎市,中原区新城３－９－４新城ビル２Ｆ ,中原区新城３－９－４,新城ビル２Ｆ ,,①飲食店（バー）,川辺　まいこ,,2022/1/26,,2022/1/26,2110501,,142,スナック　プリンセスＭ,044,,,,,神奈川県川崎市　中原区新城３－９－４,神奈川県川崎市中原区新城３－９－４,新城ビル２Ｆ ,80159,14,14133,新城３,,2022/01/26,2022/01/26,,,,川辺　まいこ,,,,,,,,,2110501,,飲食店営業,（バー）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,スナックプリンセスＭ8015914133,97f067d2-2302-4346-bedc-17451795d310,,personal,f571a576-28ba-4ee4-9c35-51013fcf66ac,2022/01/26,スナック　プリンセスＭ,スナックプリンセスＭ,
