https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,業種,申請者1,開業年月日,許可年月日,確認番号,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名（屋号）,施設の住所（所在地）,,,業種,開設者情報,初回の許可年月日,最新の許可年月日,許可番号,区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
お食事処　松屋,愛知県一宮市大和町毛受字辻畑９５　,愛知県一宮市大和町毛受字辻畑９５,,飲食店営業,松久　富貴子,R 3.12. 8,R 3.12. 8,3一宮保衛第7001-386号,許可,,249,お食事処　松屋,0586,,,,,愛知県一宮市大和町毛受字辻畑９５,愛知県一宮市大和町毛受字辻畑９５,,118870,23,23203,大和町毛受,,2021/12/08,2021/12/08,,,,松久　富貴子,,,,,,,,,3一宮保衛第7001-386号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,お食事処松屋11887023203,6a4a6461-4678-4a55-940b-39b4312f7dcc,,personal,317c7639-ebd0-4efb-b162-a75422a93815,2021/12/08,お食事処　松屋,お食事処松屋,
あかつき　一宮本店,愛知県一宮市今伊勢町本神戸字高野池４３－２　,愛知県一宮市今伊勢町本神戸字高野池４３－２,,飲食店営業,株式会社　ガンマコーポレーション,R 3.12. 8,R 3.12. 8,3一宮保衛第7001-387号,許可,,249,あかつき　一宮本店,0586,,,,,愛知県一宮市今伊勢町本神戸字高野池４３－２,愛知県一宮市今伊勢町本神戸字高野池４３－２,,118573,23,23203,今伊勢町本神戸,,2021/12/08,2021/12/08,,,株式会社　ガンマコーポレーション,,,,,,,,,,3一宮保衛第7001-387号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,あかつき一宮本店11857323203,48823f4b-c055-48c4-a713-40fa73d3adca,株式会社ガンマコーポレーション,6ed86d6e-d476-4305-af78-e5890afa9f6c,16a7a76e-a2f3-4c8c-ab54-1072aa9b2436,2021/12/08,あかつき　一宮本店,あかつき一宮本店,株式会社ガンマコーポレーション
カフェテラス　トーキング,愛知県一宮市妙興寺１丁目１－２４　,愛知県一宮市妙興寺１丁目１－２４,,飲食店営業,石田　弘子,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-388号,許可,,249,カフェテラス　トーキング,0586,,,,,愛知県一宮市妙興寺１丁目１－２４,愛知県一宮市妙興寺１丁目１－２４,,118895,23,23203,妙興寺１,,2021/12/07,2021/12/07,,,,石田　弘子,,,,,,,,,3一宮保衛第7001-388号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,カフェテラストキング11889523203,c8649128-a871-46ef-b084-eedaaede099b,,personal,7b3d099d-a120-4991-a50f-d74be852b2ba,2021/12/07,カフェテラス　トーキング,カフェテラストキング,
岩田屋,愛知県一宮市萩原町串作１６２６　,愛知県一宮市萩原町串作１６２６,,飲食店営業,岩田　幸一,R 3.12. 8,R 3.12. 8,3一宮保衛第7001-389号,許可,,249,岩田屋,0586,,,,,愛知県一宮市萩原町串作１６２６,愛知県一宮市萩原町串作１６２６,,118769,23,23203,萩原町串作,,2021/12/08,2021/12/08,,,,岩田　幸一,,,,,,,,,3一宮保衛第7001-389号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,岩田屋11876923203,19ba065a-c83e-478d-904a-7b96b043fe68,,personal,de68c208-a395-47a8-b4aa-7c9cc611a5b9,2021/12/08,岩田屋,岩田屋,
介護老人保健施設　みなみ,愛知県一宮市上祖父江字小稲葉１　,愛知県一宮市上祖父江字小稲葉１,,飲食店営業,株式会社　魚国総本社,R 3.12.15,R 3.12.15,3一宮保衛第7001-390号,許可,,249,介護老人保健施設　みなみ,0586,,,,,愛知県一宮市上祖父江字小稲葉１,愛知県一宮市上祖父江字小稲葉１,,118930,23,23203,上祖父江,,2021/12/15,2021/12/15,,,株式会社　魚国総本社,,,,,,,,,,3一宮保衛第7001-390号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,介護老人保健施設みなみ11893023203,f30f2ad9-f738-4011-b268-0039541e0679,株式会社魚国総本社,abcca27b-889a-424e-8871-069bd1f6e0ad,1b654486-5004-46e9-abf8-bafb1ccf9437,2021/12/15,介護老人保健施設　みなみ,介護老人保健施設みなみ,株式会社魚国総本社
キッチンいろどり,愛知県一宮市富士４丁目７－８　,愛知県一宮市富士４丁目７－８,,飲食店営業,株式会社　Ｒ’ｓダイニング,R 3.12.14,R 3.12.14,3一宮保衛第7001-391号,許可,,249,キッチンいろどり,0586,,,,,愛知県一宮市富士４丁目７－８,愛知県一宮市富士４丁目７－８,,118810,23,23203,富士４,,2021/12/14,2021/12/14,,,株式会社　Ｒ’ｓダイニング,,,,,,,,,,3一宮保衛第7001-391号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,キッチンいろどり11881023203,eeb9ea7e-3615-4218-b334-5ccb2ee230b4,株式会社Ｒ＇ｓダイニング,5f8d03cd-4bfd-42af-9a5e-45a54570e24b,6e3b23a6-3071-40e4-b209-48278d6cc897,2021/12/14,キッチンいろどり,キッチンいろどり,株式会社Ｒ＇ｓダイニング
餃子の王将 一宮バイパス店,愛知県一宮市東島町１丁目３２－１　,愛知県一宮市東島町１丁目３２－１,,飲食店営業,株式会社王将フードサービス,R 3.12. 3,R 3.12. 3,3一宮保衛第7001-393号,許可,,249,餃子の王将 一宮バイパス店,0586,,,,,愛知県一宮市東島町１丁目３２－１,愛知県一宮市東島町１丁目３２－１,,118798,23,23203,東島町１,,2021/12/03,2021/12/03,,,株式会社王将フードサービス,,,,,,,,,,3一宮保衛第7001-393号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,餃子の王将一宮バイパス店11879823203,cec54119-a8d2-4d67-8300-29faf55eeac5,株式会社王将フードサービス,7b6d948b-fc6d-4853-bcbb-e0e2c2e3dfe1,de3d6205-99ac-47b7-a1e7-134f9582ebdd,2021/12/03,餃子の王将　一宮バイパス店,餃子の王将一宮バイパス店,株式会社王将フードサービス
Ｍｙ　Ｃａｆｅ,愛知県一宮市北浦町３３－２　,愛知県一宮市北浦町３３－２,,飲食店営業,後藤　麻衣,R 3.12. 8,R 3.12. 8,3一宮保衛第7001-394号,許可,,249,Ｍｙ　Ｃａｆｅ,0586,,,,,愛知県一宮市北浦町３３－２,愛知県一宮市北浦町３３－２,,118610,23,23203,北浦町,,2021/12/08,2021/12/08,,,,後藤　麻衣,,,,,,,,,3一宮保衛第7001-394号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ＭｙＣａｆｅ11861023203,970fef42-a32e-479e-b64a-9d5d01b90b62,,personal,a28c7253-5457-45f7-9409-768afe11b8bd,2021/12/08,Ｍｙ　Ｃａｆｅ,ＭｙＣａｆｅ,
Ｋ＆Ｋ,愛知県一宮市大和町妙興寺字高畑３８　,愛知県一宮市大和町妙興寺字高畑３８,,飲食店営業,鎌田　富三,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-395号,許可,,249,Ｋ＆Ｋ,0586,,,,,愛知県一宮市大和町妙興寺字高畑３８,愛知県一宮市大和町妙興寺字高畑３８,,118869,23,23203,大和町妙興寺,,2021/12/07,2021/12/07,,,,鎌田　富三,,,,,,,,,3一宮保衛第7001-395号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ＫＫ11886923203,b37aeeae-5cd3-42b0-ba5c-6621e3ee0933,,personal,78e762df-167b-4671-9af8-83581d76db86,2021/12/07,Ｋ＆Ｋ,ＫＫ,
とんかつ宮田,愛知県一宮市今伊勢町本神戸字四ッ割１８－５　,愛知県一宮市今伊勢町本神戸字四ッ割１８－５,,飲食店営業,宮田　一男,R 3.12. 8,R 3.12. 8,3一宮保衛第7001-396号,許可,,249,とんかつ宮田,0586,,,,,愛知県一宮市今伊勢町本神戸字四ッ割１８－５,愛知県一宮市今伊勢町本神戸字四ツ割１８－５,,118573,23,23203,今伊勢町本神戸,,2021/12/08,2021/12/08,,,,宮田　一男,,,,,,,,,3一宮保衛第7001-396号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,とんかつ宮田11857323203,7619e3bb-6ecc-42da-9ee1-609ba0462f36,,personal,76294970-a636-4c70-aea6-974d8e2b0df3,2021/12/08,とんかつ宮田,とんかつ宮田,
モスバーガー　一宮浅野店,愛知県一宮市浅野字山林６４－１　,愛知県一宮市浅野字山林６４－１,,飲食店営業,株式会社クライム,R 3.12.10,R 3.12.10,3一宮保衛第7001-398号,許可,,249,モスバーガー　一宮浅野店,0586,,,,,愛知県一宮市浅野字山林６４－１,愛知県一宮市浅野字山林６４－１,,118560,23,23203,浅野,,2021/12/10,2021/12/10,,,株式会社クライム,,,,,,,,,,3一宮保衛第7001-398号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,モスバガ一宮浅野店11856023203,3ce956bd-a130-4ea4-ad8c-0488819b5950,株式会社クライム,448d9508-df1a-4be1-ae42-938765772ad9,8440e6d3-d501-44cb-9057-a154557b94d9,2021/12/10,モスバーガー　一宮浅野店,モスバガ一宮浅野店,株式会社クライム
きらくや,愛知県一宮市木曽川町黒田二ノ通り１３７－１　,愛知県一宮市木曽川町黒田二ノ通り１３７－１,,飲食店営業,飯塚　徹,R 3.12. 9,R 3.12. 9,3一宮保衛第7001-399号,許可,,249,きらくや,0586,,,,,愛知県一宮市木曽川町黒田二ノ通り１３７－１,愛知県一宮市木曽川町黒田二ノ通り１３７－１,,118933,23,23203,木曽川町黒田,,2021/12/09,2021/12/09,,,,飯塚　徹,,,,,,,,,3一宮保衛第7001-399号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,きらくや11893323203,61a9aae9-34e4-4172-b837-7190f976d848,,personal,27475b1a-f07c-4b43-8d31-a34fabcbab22,2021/12/09,きらくや,きらくや,
カフェ　イーグル,愛知県一宮市東島町１丁目３６－１　,愛知県一宮市東島町１丁目３６－１,,飲食店営業,有限会社　いーぐる,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-400号,許可,,249,カフェ　イーグル,0586,,,,,愛知県一宮市東島町１丁目３６－１,愛知県一宮市東島町１丁目３６－１,,118798,23,23203,東島町１,,2021/12/07,2021/12/07,,,有限会社　いーぐる,,,,,,,,,,3一宮保衛第7001-400号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,カフェイグル11879823203,548ef57a-1354-474a-bb77-6d890e2e15a1,有限会社いーぐる,a9472301-f45f-48e7-97a1-3762f60cd3f0,1352073d-841d-4b48-b1e4-ad38ae817831,2021/12/07,カフェ　イーグル,カフェイグル,有限会社いーぐる
喫茶　絆,愛知県一宮市浅野字上土池２７　エンゼル松坂　１階,愛知県一宮市浅野字上土池２７,エンゼル松坂 １階,飲食店営業,永尾　秀敏,R 3.12.10,R 3.12.10,3一宮保衛第7001-401号,許可,,249,喫茶　絆,0586,,,,,愛知県一宮市浅野字上土池２７,愛知県一宮市浅野字上土池２７,エンゼル松坂 １階,118560,23,23203,浅野,,2021/12/10,2021/12/10,,,,永尾　秀敏,,,,,,,,,3一宮保衛第7001-401号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,喫茶絆11856023203,590323a4-5688-4881-a59b-438dc464c53a,,personal,2973bc64-7b6b-430a-bf15-9cd413ce5eda,2021/12/10,喫茶　絆,喫茶絆,
アオキ－ズピザ一宮川島店,愛知県一宮市浅井町東浅井字桜木５７－２　,愛知県一宮市浅井町東浅井字桜木５７－２,,飲食店営業,西尾　峰征,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-404号,許可,,249,アオキ－ズピザ一宮川島店,0586,,,,,愛知県一宮市浅井町東浅井字桜木５７－２,愛知県一宮市浅井町東浅井字桜木５７－２,,118558,23,23203,浅井町東浅井,,2021/12/07,2021/12/07,,,,西尾　峰征,,,,,,,,,3一宮保衛第7001-404号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,アオキズピザ一宮川島店11855823203,6775a679-7e58-4c7d-a4ff-0285478e36f8,,personal,75b2154c-c535-4334-a406-1871936918d5,2021/12/07,アオキ－ズピザ一宮川島店,アオキズピザ一宮川島店,
びっくりドンキー一宮バイパス店,愛知県一宮市赤見１丁目２　,愛知県一宮市赤見１丁目２,,飲食店営業,株式会社　アジアル,R 3.12.10,R 3.12.10,3一宮保衛第7001-405号,許可,,249,びっくりドンキー一宮バイパス店,0586,,,,,愛知県一宮市赤見１丁目２,愛知県一宮市赤見１丁目２,,118543,23,23203,赤見１,,2021/12/10,2021/12/10,,,株式会社　アジアル,,,,,,,,,,3一宮保衛第7001-405号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,びっくりドンキ一宮バイパス店11854323203,33ad9b14-5477-4f89-b026-acf53ffdd186,株式会社アジアル,4a082794-67de-4bdb-a0e9-57561428fdb6,7c2fff93-ab61-4b95-92fe-1470ccf0b050,2021/12/10,びっくりドンキー一宮バイパス店,びっくりドンキ一宮バイパス店,株式会社アジアル
四川料理　萬福,愛知県一宮市奥町字田畑２６－１　,愛知県一宮市奥町字田畑２６－１,,飲食店営業,李　仕正,R 3.12. 8,R 3.12. 8,3一宮保衛第7001-406号,許可,,249,四川料理　萬福,0586,,,,,愛知県一宮市奥町字田畑２６－１,愛知県一宮市奥町字田畑２６－１,,118596,23,23203,奥町,,2021/12/08,2021/12/08,,,,李　仕正,,,,,,,,,3一宮保衛第7001-406号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,四川料理萬福11859623203,fa492a20-3858-4412-adeb-cc4675d1cf4b,,personal,863e3200-def2-4721-a47a-60c0f80a53fb,2021/12/08,四川料理　萬福,四川料理萬福,
喫茶　雀,愛知県一宮市時之島字大東２１－１　特別養護老人ホーム　たんぽぽ鴇の里　１Ｆ,愛知県一宮市時之島字大東２１－１ ,特別養護老人ホーム たんぽぽ鴇の里 １Ｆ,飲食店営業,社会福祉法人たんぽぽ福祉会,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-407号,許可,,249,喫茶　雀,0586,,,,,愛知県一宮市時之島字大東２１－１ ,愛知県一宮市時ノ島字大東２１－１,特別養護老人ホーム たんぽぽ鴇の里 １Ｆ,118741,23,23203,時ノ島,,2021/12/07,2021/12/07,,,社会福祉法人たんぽぽ福祉会,,,,,,,,,,3一宮保衛第7001-407号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,喫茶雀11874123203,95b3b522-7e40-45fa-8460-b592b068dc54,社会福祉法人たんぽぽ福祉会,df864e7e-36ca-4697-a49b-54ac083d80ad,0b48cc8f-bb62-4b48-a94c-413225136d59,2021/12/07,喫茶　雀,喫茶雀,社会福祉法人たんぽぽ福祉会
旭美屋,愛知県一宮市浅井町東浅井字中島１２１　,愛知県一宮市浅井町東浅井字中島１２１,,飲食店営業,岩田　美代子,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-409号,許可,,249,旭美屋,0586,,,,,愛知県一宮市浅井町東浅井字中島１２１,愛知県一宮市浅井町東浅井字中島１２１,,118558,23,23203,浅井町東浅井,,2021/12/07,2021/12/07,,,,岩田　美代子,,,,,,,,,3一宮保衛第7001-409号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,旭美屋11855823203,f2b98a68-7716-4f13-b1ff-1e88aadde56f,,personal,91cf2b03-ed85-485b-ba84-2e21b6ff5334,2021/12/07,旭美屋,旭美屋,
ファミリーマート　一宮浅井大野店,愛知県一宮市浅井町大野字杁先２９－１　,愛知県一宮市浅井町大野字杁先２９－１,,飲食店営業,Ｎ，ｓＣＫＴ合資会社,R 3.12. 3,R 3.12. 3,3一宮保衛第7001-410号,許可,,249,ファミリーマート　一宮浅井大野店,0586,,,,,愛知県一宮市浅井町大野字杁先２９－１,愛知県一宮市浅井町大野字杁先２９－１,,118548,23,23203,浅井町大野,,2021/12/03,2021/12/03,,,Ｎ，ｓＣＫＴ合資会社,,,,,,,,,,3一宮保衛第7001-410号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ファミリマト一宮浅井大野店11854823203,a2c060fa-f5fc-48c0-9c8e-6a26ae5c0ac4,Ｎ，ｓＣＫＴ合資会社,f1d5f476-9feb-4b5f-87e5-2506bcf0f4c1,3100001b-0bb7-4566-ad01-b5ddc4a89d07,2021/12/03,ファミリーマート　一宮浅井大野店,ファミリマト一宮浅井大野店,Ｎ，ｓＣＫＴ合資会社
有限会社　味愼,愛知県一宮市浅井町江森字石橋天神８６－１　,愛知県一宮市浅井町江森字石橋天神８６－１,,飲食店営業,有限会社　味愼,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-411号,許可,,249,有限会社　味愼,0586,,,,,愛知県一宮市浅井町江森字石橋天神８６－１,愛知県一宮市浅井町江森字石橋天神８６－１,,118547,23,23203,浅井町江森,,2021/12/07,2021/12/07,,,有限会社　味愼,,,,,,,,,,3一宮保衛第7001-411号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,有限会社味愼11854723203,c9e27bf0-b37c-4213-9a3e-e1b76ec21499,有限会社味愼,1dbb5d84-6951-48ef-b523-84749a715224,dab4cffe-e653-4427-9d1d-775ac7aa947b,2021/12/07,有限会社味愼,有限会社味愼,有限会社味愼
中華料理 王記厨房,愛知県一宮市木曽川町黒田字南ハツケ池２５－１　イオンモール木曽川　１Ｆ,愛知県一宮市木曽川町黒田字南ハツケ池２５－１ ,イオンモール木曽川 １Ｆ,飲食店営業,株式会社　ケンコー,R 3.12. 9,R 3.12. 9,3一宮保衛第7001-412号,許可,,249,中華料理 王記厨房,0586,,,,,愛知県一宮市木曽川町黒田字南ハツケ池２５－１ ,愛知県一宮市木曽川町黒田字南ハツが池２５－１,イオンモール木曽川 １Ｆ,118933,23,23203,木曽川町黒田,,2021/12/09,2021/12/09,,,株式会社　ケンコー,,,,,,,,,,3一宮保衛第7001-412号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,中華料理王記厨房11893323203,98c78e73-e17a-4dfb-ae24-141869dc8df3,株式会社ケンコー,c831861e-f376-4518-b415-26e282b52aa4,d7843d88-c5d8-4acd-b0ae-7394055f64b5,2021/12/09,中華料理　王記厨房,中華料理王記厨房,株式会社ケンコー
焼肉　はやかわ,愛知県一宮市大赤見字東川垂１８－３　,愛知県一宮市大赤見字東川垂１８－３,,飲食店営業,松岡　笑美子,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-414号,許可,,249,焼肉　はやかわ,0586,,,,,愛知県一宮市大赤見字東川垂１８－３,愛知県一宮市大赤見字東川垂１８－３,,118584,23,23203,大赤見,,2021/12/07,2021/12/07,,,,松岡　笑美子,,,,,,,,,3一宮保衛第7001-414号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,焼肉はやかわ11858423203,c47efe86-9638-48ae-a17e-5372549476d9,,personal,73cee534-16fa-42d9-96ab-27bad2bc1004,2021/12/07,焼肉　はやかわ,焼肉はやかわ,
ほっともっと一宮奥町店,愛知県一宮市奥町字宮東４７－１　,愛知県一宮市奥町字宮東４７－１,,飲食店営業,サンティエ株式会社,R 3.12.17,R 3.12.17,3一宮保衛第7001-415号,許可,,249,ほっともっと一宮奥町店,0586,,,,,愛知県一宮市奥町字宮東４７－１,愛知県一宮市奥町字宮東４７－１,,118596,23,23203,奥町,,2021/12/17,2021/12/17,,,サンティエ株式会社,,,,,,,,,,3一宮保衛第7001-415号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ほっともっと一宮奥町店11859623203,d714512d-2968-4fc0-a732-d71446199466,サンティエ株式会社,79f3568c-988c-4e10-80a1-0c4e5e5b7fe6,f9c47bc1-039c-45e9-9dea-c801e4cd9734,2021/12/17,ほっともっと一宮奥町店,ほっともっと一宮奥町店,サンティエ株式会社
杉の子,愛知県一宮市萩原町串作字平１３　,愛知県一宮市萩原町串作字平１３,,飲食店営業,杉浦　喜子,R 3.12.17,R 3.12.17,3一宮保衛第7001-416号,許可,,249,杉の子,0586,,,,,愛知県一宮市萩原町串作字平１３,愛知県一宮市萩原町串作字平１３,,118769,23,23203,萩原町串作,,2021/12/17,2021/12/17,,,,杉浦　喜子,,,,,,,,,3一宮保衛第7001-416号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,杉の子11876923203,46b1cef8-268d-4ec2-9619-a6c14b6af77e,,personal,e2acb21e-6165-49c3-b459-f52f1216a143,2021/12/17,杉の子,杉の子,
セブンイレブン一宮浅野大曲り店,愛知県一宮市浅野大曲り８５　,愛知県一宮市浅野大曲り８５,,飲食店営業,村上　正,R 3.12.10,R 3.12.10,3一宮保衛第7001-418号,許可,,249,セブンイレブン一宮浅野大曲り店,0586,,,,,愛知県一宮市浅野大曲り８５,愛知県一宮市浅野大曲り８５,,118560,23,23203,浅野,,2021/12/10,2021/12/10,,,,村上　正,,,,,,,,,3一宮保衛第7001-418号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,セブンイレブン一宮浅野大曲り店11856023203,7816d0b3-c6fc-4d35-97b7-1753a9ad233f,,personal,ab0048e0-5a4a-41ea-a2b1-65dbde808c3f,2021/12/10,セブンイレブン一宮浅野大曲り店,セブンイレブン一宮浅野大曲り店,
ミュージック　シンフォニー,愛知県一宮市松降通７丁目３１　,愛知県一宮市松降通７丁目３１,,飲食店営業,戸田　正美,R 3.12.14,R 3.12.14,3一宮保衛第7001-420号,許可,,249,ミュージック　シンフォニー,0586,,,,,愛知県一宮市松降通７丁目３１,愛知県一宮市松降通７丁目３１,,118837,23,23203,松降通７,,2021/12/14,2021/12/14,,,,戸田　正美,,,,,,,,,3一宮保衛第7001-420号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ミュジックシンフォニ11883723203,3720cf42-5fd1-4028-93fe-8ac33b41e569,,personal,6f547f17-1160-4af8-a3ce-3284981023bc,2021/12/14,ミュージック　シンフォニー,ミュジックシンフォニ,
炭火焼肉　釜山,愛知県一宮市森本３丁目２３－２８　,愛知県一宮市森本３丁目２３－２８,,飲食店営業,三輪　卓也,R 3.12. 6,R 3.12. 6,3一宮保衛第7001-421号,許可,,249,炭火焼肉　釜山,0586,,,,,愛知県一宮市森本３丁目２３－２８,愛知県一宮市森本３丁目２３－２８,,118909,23,23203,森本３,,2021/12/06,2021/12/06,,,,三輪　卓也,,,,,,,,,3一宮保衛第7001-421号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,炭火焼肉釜山11890923203,6671b764-6cfd-4647-be4b-25e280726364,,personal,763385cb-c795-4935-a4cc-d1ff50a40c48,2021/12/06,炭火焼肉　釜山,炭火焼肉釜山,
ラベンダー,愛知県一宮市森本２丁目１－５　,愛知県一宮市森本２丁目１－５,,飲食店営業,柘植　美代子,R 3.12. 6,R 3.12. 6,3一宮保衛第7001-422号,許可,,249,ラベンダー,0586,,,,,愛知県一宮市森本２丁目１－５,愛知県一宮市森本２丁目１－５,,118908,23,23203,森本２,,2021/12/06,2021/12/06,,,,柘植　美代子,,,,,,,,,3一宮保衛第7001-422号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ラベンダ11890823203,599dd82b-7b55-4cc2-a19a-fc0de53cbae2,,personal,979262f6-19f2-4cea-8c77-5e4e20d31d6c,2021/12/06,ラベンダー,ラベンダ,
ジャスト・ブーム,愛知県一宮市三条字賀５－３　,愛知県一宮市三条字賀５－３,,飲食店営業,丸治株式会社,R 3.12.13,R 3.12.13,3一宮保衛第7001-423号,許可,,249,ジャスト・ブーム,0586,,,,,愛知県一宮市三条字賀５－３,愛知県一宮市三条字賀５－３,,118940,23,23203,三条,,2021/12/13,2021/12/13,,,丸治株式会社,,,,,,,,,,3一宮保衛第7001-423号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ジャストブム11894023203,d8a5e9bb-f6db-4a1e-9434-2f7a3ebf928b,丸治株式会社,e4be8620-b50e-47e1-8bf8-e00810bd484a,3235a920-58a8-4079-b5cd-74e0a4b733a0,2021/12/13,ジャスト・ブーム,ジャストブム,丸治株式会社
