https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所1,施設-電話番号1,申請者1,申請者2,申請-住所1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,ネイパル森,茅部郡森町字駒ヶ岳657-15,01374-5-2110,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,ネイパル森,01374,01374-5-2110,,,,茅部郡森町字駒ヶ岳657-15,北海道茅部郡森町字駒が岳６５７－１５,,17313,1,1345,駒が岳,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,ネイパル森01374-5-2110173131345,24ec6fe4-4f57-460a-b728-632c1ddaccf5,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,200a0b50-76fb-4a17-8991-f5d29cf3a226,2021/12/01,ネイパル森,ネイパル森,江崎グリコ株式会社
届出,13その他の食料・飲料販売業,スターゼン株式会社　函館営業所,北斗市萩野33-71,,スターゼン株式会社,横田和彦,東京都港区港南2丁目5-7,03-3471-5521,2021年12月6日,,,,15,スターゼン株式会社　函館営業所,0138,,,,,北斗市萩野33-71,北海道北斗市萩野３３－７１,,17120,1,1236,萩野,,2021/12/06,,,,スターゼン株式会社,横田和彦,03-3471-5521,東京都港区港南2丁目5-7,東京都港区港南２丁目５－７,,73073,東京都,港区,港南２,,,食料品販売業,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,A,58,581,5811,スタゼン株式会社函館営業所171201236,4e956134-8372-45cd-a43a-7baa0e25d26e,スターゼン株式会社73073,1f75d600-01d9-4781-a2b7-0927af071960,9e1d8601-0336-479d-8e73-31a27b716f3b,2021/12/01,スターゼン株式会社函館営業所,スタゼン株式会社函館営業所,スターゼン株式会社
届出,17農産保存食料品製造・加工業,エミちゃん,亀田郡七飯町字軍川69-13,,小室人美,,,,2021年12月6日,,,,15,エミちゃん,0138,,,,,亀田郡七飯町字軍川69-13,北海道亀田郡七飯町字軍川６９－１３,,17209,1,1337,軍川,,2021/12/06,,,,,小室人美 ,,,,,,,,,,,農産保存食料品製造・加工業,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,9,93,,エミちゃん172091337,4879a4d5-1e1c-4c40-80d4-84321cfa6b49,,personal,e4608687-7b61-4b78-b9cc-ea2e9a0d955d,2021/12/01,エミちゃん,エミちゃん,
届出,13その他の食料・飲料販売業,ビアード･パパ イオン上磯店,北斗市七重浜4丁目44-1,0138-48-7877,株式会社夢十勝,土谷直敏,札幌市南区石山2条2丁目3-23,011-826-5988,2021年12月3日,,,,15,ビアード･パパ イオン上磯店,0138,0138-48-7877,,,,北斗市七重浜4丁目44-1,北海道北斗市七重浜４丁目４４－１,,17114,1,1236,七重浜４,,2021/12/03,,,,株式会社夢十勝,土谷直敏,011-826-5988,札幌市南区石山2条2丁目3-23,北海道札幌市南区石山二条２丁目３－２３,,4266,北海道,札幌市南区,石山,,,食料品販売業,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,A,58,581,5811,ビアドパパイオン上磯店0138-48-7877171141236,64932f4e-5011-468a-a6d1-13c9f0b418c8,株式会社夢十勝4266,cf96399e-629c-4567-83d5-54ebbfcd39e4,d2f25ccf-fcaa-4fd2-9c5a-9fbe1cb9f2be,2021/12/01,ビアード・パパ　イオン上磯店,ビアドパパイオン上磯店,株式会社夢十勝
届出,26集団給食施設,介護付き有料老人ホームフルールハピネスななえ,亀田郡七飯町本町3丁目9-17,0138-64-0022,株式会社萌福祉サービス,水戸康智,留萌市海運町1丁目2-1,0164-49-2258,2021年12月3日,,,,15,介護付き有料老人ホームフルールハピネスななえ,0138,0138-64-0022,,,,亀田郡七飯町本町3丁目9-17,北海道亀田郡七飯町本町３丁目９－１７,,17254,1,1337,本町３,,2021/12/03,,,,株式会社萌福祉サービス,水戸康智,0164-49-2258,北海道留萌市海運町1丁目2-1,北海道留萌市開運町１丁目２－１,,12527,北海道,留萌市,開運町１,,,給食施設,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,77,,,介護付き有料老人ホムフルルハピネスななえ0138-64-0022172541337,07e5ce3a-2423-4509-a853-785e650c50b9,株式会社萌福祉サービス12527,926b1864-d80d-45d4-a7ee-fdb959e57a62,0007ca5f-eb6a-49a5-b0c1-ee15494d8e46,2021/12/01,介護付き有料老人ホームフルールハピネスななえ,介護付き有料老人ホムフルルハピネスななえ,株式会社萌福祉サービス
届出,13その他の食料・飲料販売業,ヴィクトリアステーション上磯店,北斗市七重浜4丁目44-4,0138-48-2265,株式会社ビッグボーイジャパン,長久保文康,東京都港区港南2丁目18-1,03-6833-8001,2021年12月1日,,,,15,ヴィクトリアステーション上磯店,0138,0138-48-2265,,,,北斗市七重浜4丁目44-4,北海道北斗市七重浜４丁目４４－４,,17114,1,1236,七重浜４,,2021/12/01,,,,株式会社ビッグボーイジャパン,長久保文康,03-6833-8001,東京都港区港南2丁目18-1,東京都港区港南２丁目１８－１,,73073,東京都,港区,港南２,,,食料品販売業,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,A,58,581,5811,ヴィクトリアステション上磯店0138-48-2265171141236,93d82ecc-1230-4fd8-9028-231de88352bf,株式会社ビッグボーイジャパン73073,b037e51a-8cbc-4b84-a56a-10da309009f6,81c5dc35-94a5-446e-b23c-b8d239f2c3d0,2021/12/01,ヴィクトリアステーション上磯店,ヴィクトリアステション上磯店,株式会社ビッグボーイジャパン
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,グリーンピア大沼温泉ロビー,茅部郡森町字赤井川229,01374-5-2277,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月1日,,,,15,グリーンピア大沼温泉ロビー,01374,01374-5-2277,,,,茅部郡森町字赤井川229,北海道茅部郡森町字赤井川２２９,,17303,1,1345,赤井川,,2021/12/01,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,グリンピア大沼温泉ロビ01374-5-2277173031345,b459c252-de03-49a8-bc3e-5b45e3210a72,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,b1ef9b29-9217-4ecb-82c0-4e3976178a96,2021/12/01,グリーンピア大沼温泉ロビー,グリンピア大沼温泉ロビ,江崎グリコ株式会社
許可,食肉販売業,佐藤精肉店,亀田郡七飯町大川1丁目11-2,,梅川眞弓,,,,1979年12月27日,2022年1月13日,273-174,,15,佐藤精肉店,0138,,,,,亀田郡七飯町大川1丁目11-2,北海道亀田郡七飯町大川１丁目１１－２,,17228,1,1337,大川１,,1979/12/27,2022/01/13,,,,梅川眞弓 ,,,,,,,,,273-174,,食肉販売業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,58,583,,佐藤精肉店172281337,ad467e11-f0c1-4a64-af58-49ab2a2f5a90,,personal,20a4c44c-2b76-485f-bb6e-4d23af4fdc37,2022/01/13,佐藤精肉店,佐藤精肉店,
許可,飲食店,めぐみ鮨,亀田郡七飯町本町4丁目1-36,,林輝明,,,,2010年1月13日,2022年1月12日,273-173,,15,めぐみ鮨,0138,,,,,亀田郡七飯町本町4丁目1-36,北海道亀田郡七飯町本町４丁目１－３６,,17255,1,1337,本町４,,2010/01/13,2022/01/12,,,,林輝明 ,,,,,,,,,273-173,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,めぐみ鮨172551337,20d7e2f6-d8d4-4aa6-8d36-626097acedfa,,personal,276a002b-0a86-45c6-8be6-b857acd203ed,2022/01/12,めぐみ鮨,めぐみ鮨,
許可,菓子製造業,喜夢良菓子舗,亀田郡七飯町本町4丁目5-20,0138-65-3571,有限会社菓子舗喜夢良,木村公二,亀田郡七飯町本町4丁目5-20,0138-65-3571,1986年1月6日,2022年1月5日,273-172,,15,喜夢良菓子舗,0138,0138-65-3571,,,,亀田郡七飯町本町4丁目5-20,北海道亀田郡七飯町本町４丁目５－２０,,17255,1,1337,本町４,,1986/01/06,2022/01/05,,,有限会社菓子舗喜夢良,木村公二,0138-65-3571,亀田郡七飯町本町4丁目5-20,北海道亀田郡七飯町本町４丁目５－２０,,17255,北海道,亀田郡七飯町,本町４,273-172,,菓子製造業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,9,,,喜夢良菓子舗0138-65-3571172551337,b76b4168-840a-484d-afa8-b73bff040856,有限会社菓子舗喜夢良17255,b4efc1e6-5bc8-40fd-81a4-9bc3702131cf,f1e17249-dc3f-4319-8d69-645e8ce91537,2022/01/05,喜夢良菓子舗,喜夢良菓子舗,有限会社菓子舗喜夢良
許可,飲食店,すき焼かみむら,亀田郡七飯町本町1丁目3-17,,上村幸久,,,,1994年11月30日,2021年12月23日,273-171,,15,すき焼かみむら,0138,,,,,亀田郡七飯町本町1丁目3-17,北海道亀田郡七飯町本町１丁目３－１７,,17252,1,1337,本町１,,1994/11/30,2021/12/23,,,,上村幸久 ,,,,,,,,,273-171,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,すき焼かみむら172521337,e7e066c2-363f-4849-944c-25649215be3f,,personal,4bb78251-a62a-4aab-92d1-cc90ebef9569,2021/12/23,すき焼かみむら,すき焼かみむら,
許可,水産製品製造業,有限会社高村商店,茅部郡鹿部町字宮浜314,01372-7-3161,有限会社高村商店,髙村毅,茅部郡鹿部町字宮浜36-1,01372-7-3824,2021年12月20日,2021年12月20日,273-165,,15,有限会社高村商店,01372,01372-7-3161,,,,茅部郡鹿部町字宮浜314,北海道茅部郡鹿部町字宮浜３１４,,17301,1,1343,宮浜,,2021/12/20,2021/12/20,,,有限会社高村商店,髙村毅,01372-7-3824,茅部郡鹿部町字宮浜36-1,北海道茅部郡鹿部町字宮浜３６－１,,17301,北海道,茅部郡鹿部町,宮浜,273-165,,水産製品製造業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,9,92,,有限会社高村商店01372-7-3161173011343,89aa9641-83c6-463e-8046-75a99f2f16a8,有限会社高村商店17301,472e96bd-324a-4ac7-9561-bc55bd152c17,cf733f2c-30bb-49be-8bac-f961c329f1df,2021/12/20,有限会社高村商店,有限会社高村商店,有限会社高村商店
許可,水産製品製造業,岩井商店,茅部郡鹿部町字宮浜350-30,,岩井信憲,,,,2021年12月20日,2021年12月20日,273-166,,15,岩井商店,01372,,,,,茅部郡鹿部町字宮浜350-30,北海道茅部郡鹿部町字宮浜３５０－３０,,17301,1,1343,宮浜,,2021/12/20,2021/12/20,,,,岩井信憲 ,,,,,,,,,273-166,,水産製品製造業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,9,92,,岩井商店173011343,b3558ea2-f5bd-47b0-8fe7-3d6f11944deb,,personal,09007190-1334-4ce2-bf22-eaf707d934fc,2021/12/20,岩井商店,岩井商店,
許可,漬物製造業,本茅部とべ屋,茅部郡森町字本茅部町100-1,,東澄子,,,,2021年12月20日,2021年12月20日,273-169,,15,本茅部とべ屋,01374,,,,,茅部郡森町字本茅部町100-1,北海道茅部郡森町字本茅部町１００－１,,17324,1,1345,本茅部町,,2021/12/20,2021/12/20,,,,東澄子 ,,,,,,,,,273-169,,漬物製造業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,9,,,本茅部とべ屋173241345,45a12fea-9d9a-4600-8c49-3f5046ed5445,,personal,adf8191c-365d-4589-8c9f-401271d2c742,2021/12/20,本茅部とべ屋,本茅部とべ屋,
許可,水産製品製造業,株式会社海童丸,北斗市開発227-17,0138-85-8040,株式会社海童丸,紺野章,北斗市開発227-17,0138-85-8040,2021年12月20日,2021年12月20日,273-168,,15,株式会社海童丸,0138,0138-85-8040,,,,北斗市開発227-17,北海道北斗市開発２２７－１７,,17066,1,1236,開発,,2021/12/20,2021/12/20,,,株式会社海童丸,紺野章,0138-85-8040,北斗市開発227-17,北海道北斗市開発２２７－１７,,17066,北海道,北斗市,開発,273-168,,水産製品製造業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,9,92,,株式会社海童丸0138-85-8040170661236,ef7929ff-817d-4048-9aea-237ee62399f0,株式会社海童丸17066,2238a362-f790-4395-b37d-d08f4bf6b5d8,320d38f7-5e95-4663-9546-76444a1c103d,2021/12/20,株式会社海童丸,株式会社海童丸,株式会社海童丸
許可,飲食店,駒ヶ峯温泉ちゃっぷ林館　湯の膳桜はな,茅部郡森町字駒ヶ岳657-16,01374-7-1513,株式会社ワイエス海商,坂本佑介,茅部郡森町字砂原5丁目121,01374-7-1512,2015年12月7日,2021年12月20日,273-167,,15,駒ヶ峯温泉ちゃっぷ林館　湯の膳桜はな,01374,01374-7-1513,,,,茅部郡森町字駒ヶ岳657-16,北海道茅部郡森町字駒が岳６５７－１６,,17313,1,1345,駒が岳,,2015/12/07,2021/12/20,,,株式会社ワイエス海商,坂本佑介,01374-7-1512,茅部郡森町字砂原5丁目121,北海道茅部郡森町字砂原５丁目１２１,,17334,北海道,茅部郡森町,砂原５,273-167,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,駒ヶ峯温泉ちゃっぷ林館湯の膳桜はな01374-7-1513173131345,be5558d3-f908-4a87-a38a-cca9d8e83070,株式会社ワイエス海商17334,8f5b4ba2-1ce5-4311-a0ee-b21183fd918f,d0740180-ef49-4c48-8c56-9ff5bb1bd7cb,2021/12/20,駒ヶ峯温泉ちゃっぷ林館　湯の膳桜はな,駒ヶ峯温泉ちゃっぷ林館湯の膳桜はな,株式会社ワイエス海商
許可,飲食店,札幌海鮮丸上磯店,北斗市久根別1丁目14-3,0138-73-7744,株式会社札幌海鮮丸,松原淳二,札幌市東区伏古1条2丁目3-13,011-784-0440,2003年11月25日,2021年12月20日,273-170,,15,札幌海鮮丸上磯店,0138,0138-73-7744,,,,北斗市久根別1丁目14-3,北海道北斗市久根別１丁目１４－３,,17069,1,1236,久根別１,,2003/11/25,2021/12/20,,,株式会社札幌海鮮丸,松原淳二,011-784-0440,札幌市東区伏古1条2丁目3-13,北海道札幌市東区伏古一条２丁目３－１３,,3026,北海道,札幌市東区,伏古一条２,273-170,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,札幌海鮮丸上磯店0138-73-7744170691236,61af6a45-466c-411f-8acc-322d02757341,株式会社札幌海鮮丸3026,7a0f102e-4d4e-48fd-9408-5260edbee5f4,4575adf9-dda4-428a-9774-83192e5b97e8,2021/12/20,札幌海鮮丸上磯店,札幌海鮮丸上磯店,株式会社札幌海鮮丸
許可,飲食店,スーパー魚長桜町店,亀田郡七飯町桜町1丁目3-5,0138-65-7700,有限会社魚長,柳沢一弥,函館市西桔梗町589-54,0138-49-2662,2021年12月17日,2021年12月17日,273-164,,15,スーパー魚長桜町店,0138,0138-65-7700,,,,亀田郡七飯町桜町1丁目3-5,北海道亀田郡七飯町桜町１丁目３－５,,17260,1,1337,桜町１,,2021/12/17,2021/12/17,,,有限会社魚長,柳沢一弥,0138-49-2662,函館市西桔梗町589-54,北海道函館市西桔梗町５８９－５４,,6163,北海道,函館市,西桔梗町,273-164,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,スパ魚長桜町店0138-65-7700172601337,a7719d91-cc50-4a49-afb4-6e08f00a313b,有限会社魚長6163,d072cc20-118f-4b3e-87ef-765b42a55dee,d3c7d2e3-a363-4438-96bd-7fec3708a904,2021/12/17,スーパー魚長桜町店,スパ魚長桜町店,有限会社魚長
許可,飲食店,体験工房ろくりん,北斗市大工川48,0138-73-6998,有限会社緑友会六輪村,東寺百合子,北斗市大工川48,0138-73-6998,2005年11月18日,2021年12月17日,273-163,,15,体験工房ろくりん,0138,0138-73-6998,,,,北斗市大工川48,北海道北斗市大工川４８,,17085,1,1236,大工川,,2005/11/18,2021/12/17,,,有限会社緑友会六輪村,東寺百合子,0138-73-6998,北斗市大工川48,北海道北斗市大工川４８,,17085,北海道,北斗市,大工川,273-163,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,体験工房ろくりん0138-73-6998170851236,0fe58603-e750-4c11-a90f-a0d61c69bc17,有限会社緑友会六輪村17085,758af8b5-752b-4edf-8c2f-8cace184f119,67e4d3d9-69cb-4067-8e31-cfc82ece941f,2021/12/17,体験工房ろくりん,体験工房ろくりん,有限会社緑友会六輪村
許可,豆腐製造業,体験工房ろくりん,北斗市大工川48,0138-73-6998,有限会社緑友会六輪村,東寺百合子,北斗市大工川48,0138-73-6998,2005年11月18日,2021年12月17日,273-163,,15,体験工房ろくりん,0138,0138-73-6998,,,,北斗市大工川48,北海道北斗市大工川４８,,17085,1,1236,大工川,,2005/11/18,2021/12/17,,,有限会社緑友会六輪村,東寺百合子,0138-73-6998,北斗市大工川48,北海道北斗市大工川４８,,17085,北海道,北斗市,大工川,273-163,,豆腐製造業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,9,,,体験工房ろくりん0138-73-6998170851236,0fe58603-e750-4c11-a90f-a0d61c69bc17,有限会社緑友会六輪村17085,758af8b5-752b-4edf-8c2f-8cace184f119,f619793c-16fe-4f16-ad80-cedf26f481b5,2021/12/17,体験工房ろくりん,体験工房ろくりん,有限会社緑友会六輪村
許可,飲食店,民宿なりさわ,上磯郡知内町字涌元4-1,,成澤貴美,,,,2021年12月16日,2021年12月16日,273-160,,15,民宿なりさわ,01392,,,,,上磯郡知内町字涌元4-1,北海道上磯郡知内町字涌元４－１,,17294,1,1333,涌元,,2021/12/16,2021/12/16,,,,成澤貴美 ,,,,,,,,,273-160,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,民宿なりさわ172941333,56da1280-73ca-4357-a01b-2ed6288fcd4b,,personal,524e30fd-012a-4854-8c03-bd8b0644fb06,2021/12/16,民宿なりさわ,民宿なりさわ,
許可,飲食店,食道園,北斗市七重浜2丁目36-23,,尾形光子,,,,1997年12月3日,2021年12月16日,273-162,,15,食道園,0138,,,,,北斗市七重浜2丁目36-23,北海道北斗市七重浜２丁目３６－２３,,17112,1,1236,七重浜２,,1997/12/03,2021/12/16,,,,尾形光子 ,,,,,,,,,273-162,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,食道園171121236,4e84cf42-79bf-4bdc-9fe5-712bef3aca7e,,personal,eb5925f4-36a5-4b4a-910e-1884002c0ae9,2021/12/16,食道園,食道園,
許可,飲食店,レストラン菜花館,北斗市追分7丁目4-22,,松本幸徳,,,,1988年10月14日,2021年12月16日,273-161,,15,レストラン菜花館,0138,,,,,北斗市追分7丁目4-22,北海道北斗市追分７丁目４－２２,,17062,1,1236,追分７,,1988/10/14,2021/12/16,,,,松本幸徳 ,,,,,,,,,273-161,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,レストラン菜花館170621236,0da9d036-b1a5-4ebf-974f-76f3422b3e93,,personal,5f4d5b00-212c-48b0-abab-73427cb0693c,2021/12/16,レストラン菜花館,レストラン菜花館,
許可,飲食店,まちかどサロンJun,北斗市七重浜8丁目18-16,0138-49-4491,渡部瑞美,,,,2021年12月13日,2021年12月13日,273-156,,15,まちかどサロンJun,0138,0138-49-4491,,,,北斗市七重浜8丁目18-16,北海道北斗市七重浜８丁目１８－１６,,17118,1,1236,七重浜８,,2021/12/13,2021/12/13,,,,渡部瑞美 ,,,,,,,,,273-156,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,まちかどサロンＪｕｎ0138-49-4491171181236,8e404f95-3293-45e8-bc6e-b40bec93f439,,personal,fcbfb2cb-7c12-4e5b-b684-6a6d50236f9e,2021/12/13,まちかどサロンＪｕｎ,まちかどサロンＪｕｎ,
許可,飲食店,ほっともっと北斗東浜店,北斗市東浜1丁目17-57,0138-74-3750,合同会社紡,船場素子,北斗市東浜1丁目17-57,0138-74-3750,2021年12月13日,2021年12月13日,273-157,,15,ほっともっと北斗東浜店,0138,0138-74-3750,,,,北斗市東浜1丁目17-57,北海道北斗市東浜１丁目１７－５７,,17121,1,1236,東浜１,,2021/12/13,2021/12/13,,,合同会社紡,船場素子,0138-74-3750,北斗市東浜1丁目17-57,北海道北斗市東浜１丁目１７－５７,,17121,北海道,北斗市,東浜１,273-157,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,ほっともっと北斗東浜店0138-74-3750171211236,512c4014-210f-4e32-8529-615e793a7be3,合同会社紡17121,1c887496-f420-4f82-af9e-0754873a6847,440a59b6-46c3-46a4-aa05-130c300051be,2021/12/13,ほっともっと北斗東浜店,ほっともっと北斗東浜店,合同会社紡
許可,水産製品製造業,一印青山水産株式会社,北斗市追分4丁目11-33,0138-49-0166,一印青山水産株式会社,青山正夫,北斗市追分2丁目12-12,0138-49-2972,2021年12月13日,2021年12月13日,273-159,,15,一印青山水産株式会社,0138,0138-49-0166,,,,北斗市追分4丁目11-33,北海道北斗市追分４丁目１１－３３,,17059,1,1236,追分４,,2021/12/13,2021/12/13,,,一印青山水産株式会社,青山正夫,0138-49-2972,北斗市追分2丁目12-12,北海道北斗市追分２丁目１２－１２,,17057,北海道,北斗市,追分２,273-159,,水産製品製造業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,9,92,,一印青山水産株式会社0138-49-0166170591236,8535826b-12d8-419f-86d0-02fb3d4c3064,一印青山水産株式会社17057,b3f1106d-a3fe-4d85-8b1f-2c79c1d70cf8,b96eede6-bc3d-4e9c-935c-c7a9067c8554,2021/12/13,一印青山水産株式会社,一印青山水産株式会社,一印青山水産株式会社
許可,菓子製造業,北海道大野農業高等学校調理教室,北斗市向野2丁目26-1,0138-77-8800,北海道大野農業高等学校,野村博之,北斗市向野2丁目26-1,0138-77-8800,2009年9月24日,2021年12月13日,273-155,,15,北海道大野農業高等学校調理教室,0138,0138-77-8800,,,,北斗市向野2丁目26-1,北海道北斗市向野２丁目２６－１,,17146,1,1236,向野２,,2009/09/24,2021/12/13,,,北海道大野農業高等学校,野村博之,0138-77-8800,北斗市向野2丁目26-1,北海道北斗市向野２丁目２６－１,,17146,北海道,北斗市,向野２,273-155,,菓子製造業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,9,,,北海道大野農業高等学校調理教室0138-77-8800171461236,02e0a8e9-de92-4ec9-832d-7e1bff15ae0d,北海道大野農業高等学校17146,34d666e6-291c-4a4a-aec0-637a44252ee7,0ce8fab6-2e48-42e5-a374-57f8100c3fce,2021/12/13,北海道大野農業高等学校調理教室,北海道大野農業高等学校調理教室,北海道大野農業高等学校
許可,飲食店,ホテル七重浜,北斗市七重浜5丁目1-33,0138-49-9111,株式会社ホテル七重浜,成田恭子,北斗市七重浜5丁目1-33,0138-49-9111,1997年11月18日,2021年12月13日,273-158,,15,ホテル七重浜,0138,0138-49-9111,,,,北斗市七重浜5丁目1-33,北海道北斗市七重浜５丁目１－３３,,17115,1,1236,七重浜５,,1997/11/18,2021/12/13,,,株式会社ホテル七重浜,成田恭子,0138-49-9111,北斗市七重浜5丁目1-33,北海道北斗市七重浜５丁目１－３３,,17115,北海道,北斗市,七重浜５,273-158,,飲食店営業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,76,,,ホテル七重浜0138-49-9111171151236,da44303b-8847-4888-bd72-f9d437cef9f8,株式会社ホテル七重浜17115,c6dc295c-e8d7-4194-8f72-cacf3cec156d,4eb3c180-d7f9-482d-8638-50d2b3fce80c,2021/12/13,ホテル七重浜,ホテル七重浜,株式会社ホテル七重浜
許可,水産製品製造業,有限会社マルジョウ梶谷商店,茅部郡森町字港町56,01374-2-2337,有限会社マルジョウ梶谷商店,輪島大毅,茅部郡森町字港町56,01374-2-2337,2021年12月9日,2021年12月9日,273-152,,15,有限会社マルジョウ梶谷商店,01374,01374-2-2337,,,,茅部郡森町字港町56,北海道茅部郡森町字港町５６,,17326,1,1345,港町,,2021/12/09,2021/12/09,,,有限会社マルジョウ梶谷商店,輪島大毅,01374-2-2337,茅部郡森町字港町56,北海道茅部郡森町字港町５６,,17326,北海道,茅部郡森町,港町,273-152,,水産製品製造業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,9,92,,有限会社マルジョウ梶谷商店01374-2-2337173261345,0c3d32a9-5172-4eb9-bbea-71776b4824d0,有限会社マルジョウ梶谷商店17326,954c3e00-bf0a-42db-a007-09d395a96964,4bc55f4e-7bc2-4ee4-bf95-190f4d13806b,2021/12/09,有限会社マルジョウ梶谷商店,有限会社マルジョウ梶谷商店,有限会社マルジョウ梶谷商店
許可,冷凍食品製造業,有限会社マルジョウ梶谷商店,茅部郡森町字港町56,01374-2-2337,有限会社マルジョウ梶谷商店,輪島大毅,茅部郡森町字港町56,01374-2-2337,2021年12月9日,2021年12月9日,273-152,,15,有限会社マルジョウ梶谷商店,01374,01374-2-2337,,,,茅部郡森町字港町56,北海道茅部郡森町字港町５６,,17326,1,1345,港町,,2021/12/09,2021/12/09,,,有限会社マルジョウ梶谷商店,輪島大毅,01374-2-2337,茅部郡森町字港町56,北海道茅部郡森町字港町５６,,17326,北海道,茅部郡森町,港町,273-152,,冷凍食品製造業,,許可,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,9,,,有限会社マルジョウ梶谷商店01374-2-2337173261345,0c3d32a9-5172-4eb9-bbea-71776b4824d0,有限会社マルジョウ梶谷商店17326,954c3e00-bf0a-42db-a007-09d395a96964,4df09eb4-eceb-438d-accb-8f66cd37751f,2021/12/09,有限会社マルジョウ梶谷商店,有限会社マルジョウ梶谷商店,有限会社マルジョウ梶谷商店
