https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所1,申請-マンション名,申請-電話番号1,業種,確認番号,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,魚と地酒とワイン　りべら,9518063,新潟県,新潟市中央区古町通９番町１４７５番地４,新潟市中央区古町通９番町１４７５番地４,,,古関　悠,,,,,飲食店営業,2789,R 4. 2.24,,151,魚と地酒とワイン　りべら,025,,,,,新潟県　新潟市中央区古町通９番町１４７５番地４,新潟県新潟市中央区古町通九番町１４７５番地４,,83938,15,15103,古町通九番町,,,2022/02/24,,,,古関　悠 ,,,,,,,,,2789,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,魚と地酒とワインりべら8393815103,2a04c6f3-f3f2-461f-87ba-9d8d6c57af50,,personal,d70b2467-ff54-4706-8b1a-300bd7f965e3,2022/02/24,魚と地酒とワイン　りべら,魚と地酒とワインりべら,
29,ＰＨＯ　ＶＩＥＴ,9500911,新潟県,新潟市中央区笹口１丁目１９番１９号１階,新潟市中央区笹口１丁目１９番１９号,１階,,Ｊａｐａｎ　Ｇｏ株式会社,グエン　ティ　クイン,群馬県高崎市鶴見町６―１１,アッコラビル高崎１Ｆ,,飲食店営業,2766,R 4. 2.21,,151,ＰＨＯ　ＶＩＥＴ,025,,,,,新潟県　新潟市中央区笹口１丁目１９番１９号,新潟県新潟市中央区笹口１丁目１９番１９号,１階,83715,15,15103,笹口１,,,2022/02/21,,,Ｊａｐａｎ　Ｇｏ株式会社,グエン　ティ　クイン,,群馬県高崎市鶴見町６―１１,群馬県高崎市鶴見町６―１１,アッコラビル高崎１Ｆ,60130,群馬県,高崎市,鶴見町,2766,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ＰＨＯＶＩＥＴ8371515103,75040eb4-8b17-4e15-9f42-32615b5190c4,Ｊａｐａｎ　Ｇｏ株式会社60130,5d443a27-ad63-4704-93a3-f4e9f15d7353,fa84334f-a250-4a43-bf83-f9d1de711957,2022/02/21,ＰＨＯ　ＶＩＥＴ,ＰＨＯＶＩＥＴ,Ｊａｐａｎ　Ｇｏ株式会社
30,喫茶　ベンチ,9518104,新潟県,新潟市中央区西大畑町５９１番地１異人池ハウス２階,新潟市中央区西大畑町５９１番地,１異人池ハウス２階,,有限会社ｌａ　Ｌｕｃｅ　ｅ　Ｌ’ｏｍｂｒａ,西村　遼平,新潟県柏崎市大字藤井９３７７番地５,,,飲食店営業,2737,R 4. 2.16,,151,喫茶　ベンチ,025,,,,,新潟県　新潟市中央区西大畑町５９１番地１,新潟県新潟市中央区西大畑町５９１番地１,異人池ハウス２階,83829,15,15103,西大畑町,,,2022/02/16,,,有限会社ｌａ　Ｌｕｃｅ　ｅ　Ｌ’ｏｍｂｒａ,西村　遼平,,新潟県柏崎市大字藤井９３７７番地５,新潟県柏崎市藤井９３７７番地５,,86413,新潟県,柏崎市,藤井,2737,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,喫茶ベンチ8382915103,38099cb7-f66f-4d0c-9353-8669c47bf732,有限会社ｌａ　Ｌｕｃｅ　ｅ　Ｌ＇ｏｍｂｒａ86413,d4309e02-3e33-4557-bda2-c4893a55f550,5ae4ae5d-a95a-44a4-b148-f194051fe2f9,2022/02/16,喫茶　ベンチ,喫茶ベンチ,有限会社ｌａ　Ｌｕｃｅ　ｅ　Ｌ＇ｏｍｂｒａ
31,ウル・ラアウ,9500087,新潟県,新潟市中央区東大通１丁目５番２８号セーヌビル３階,新潟市中央区東大通１丁目５番２８号,セーヌビル３階,025-384-0202,津島　結子,,,,,飲食店営業,2773,R 4. 2.21,,151,ウル・ラアウ,025,025-384-0202,,,,新潟県　新潟市中央区東大通１丁目５番２８号,新潟県新潟市中央区東大通１丁目５番２８号,セーヌビル３階,83889,15,15103,東大通１,,,2022/02/21,,,,津島　結子 ,,,,,,,,,2773,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ウルラアウ025-384-02028388915103,2052835d-1b84-4afd-b68d-b9f8822f6a1c,,personal,86ad061e-b235-4102-9bfa-c9be94e1c4bd,2022/02/21,ウル・ラアウ,ウルラアウ,
32,ｋａｓｓａ（カサ）,9518131,新潟県,新潟市中央区白山浦１丁目６２３番地３４,新潟市中央区白山浦１丁目６２３番地３４,,,近藤　明子,,,,,そうざい製造業,2769,R 4. 2.21,,151,ｋａｓｓａ（カサ）,025,,,,,新潟県　新潟市中央区白山浦１丁目６２３番地３４,新潟県新潟市中央区白山浦１丁目６２３番地３４,,83867,15,15103,白山浦１,,,2022/02/21,,,,近藤　明子 ,,,,,,,,,2769,,そうざい製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,E,9,,,ｋａｓｓａカサ8386715103,0a422d05-800c-4413-9b94-14a341f2a143,,personal,3e5d4ee9-388e-43bb-9f4d-e286fd6be566,2022/02/21,ｋａｓｓａ（カサ）,ｋａｓｓａカサ,
33,ｋａｓｓａ（カサ）,9518131,新潟県,新潟市中央区白山浦１丁目６２３番地３４,新潟市中央区白山浦１丁目６２３番地３４,,,近藤　明子,,,,,菓子製造業,2768,R 4. 2.21,,151,ｋａｓｓａ（カサ）,025,,,,,新潟県　新潟市中央区白山浦１丁目６２３番地３４,新潟県新潟市中央区白山浦１丁目６２３番地３４,,83867,15,15103,白山浦１,,,2022/02/21,,,,近藤　明子 ,,,,,,,,,2768,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,E,9,,,ｋａｓｓａカサ8386715103,0a422d05-800c-4413-9b94-14a341f2a143,,personal,99ab54e5-17ec-4ef6-8da3-0060d98fea81,2022/02/21,ｋａｓｓａ（カサ）,ｋａｓｓａカサ,
34,セブン-イレブン新潟白山浦２丁目店,9518131,新潟県,新潟市中央区白山浦２丁目１７１番地１,新潟市中央区白山浦２丁目１７１番地１,,025-267-7011,浅井　勝昭,,,,,飲食店営業,2763,R 4. 2.18,,151,セブン-イレブン新潟白山浦２丁目店,025,025-267-7011,,,,新潟県　新潟市中央区白山浦２丁目１７１番地１,新潟県新潟市中央区白山浦２丁目１７１番地１,,83868,15,15103,白山浦２,,,2022/02/18,,,,浅井　勝昭 ,,,,,,,,,2763,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,セブンイレブン新潟白山浦２丁目店025-267-70118386815103,bbf74393-7af9-4603-b157-74d03f25e2c1,,personal,633fe661-0120-4c9e-9bb2-272386f91e42,2022/02/18,セブンイレブン新潟白山浦２丁目店,セブンイレブン新潟白山浦２丁目店,
35,イデアルセントラルキッチン,9500901,新潟県,新潟市中央区弁天２丁目４番１９号２階,新潟市中央区弁天２丁目４番１９号,２階,025-282-5529,株式会社イデアル,和田　亮,新潟県新潟市中央区東大通二丁目３番２５号,,025-250-5339,そうざい製造業,2691,R 4. 2. 9,,151,イデアルセントラルキッチン,025,025-282-5529,,,,新潟県　新潟市中央区弁天２丁目４番１９号,新潟県新潟市中央区弁天２丁目４番１９号,２階,83952,15,15103,弁天２,,,2022/02/09,,,株式会社イデアル,和田　亮,025-250-5339,新潟県新潟市中央区東大通二丁目３番２５号,新潟県新潟市中央区東大通２丁目３番２５号,,83890,新潟県,新潟市中央区,東大通２,2691,,そうざい製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,E,9,,,イデアルセントラルキッチン025-282-55298395215103,63ba08d7-b9e0-4b78-9a13-8945634c94fb,株式会社イデアル83890,c93ea206-1b4b-400d-b704-33dfa89ead22,db7f44e3-c3c8-4cef-8f0f-1b7c38b68177,2022/02/09,イデアルセントラルキッチン,イデアルセントラルキッチン,株式会社イデアル
36,イデアルセントラルキッチン,9500901,新潟県,新潟市中央区弁天２丁目４番１９号２階,新潟市中央区弁天２丁目４番１９号,２階,025-282-5529,株式会社イデアル,和田　亮,新潟県新潟市中央区東大通二丁目３番２５号,,025-250-5339,菓子製造業,2689,R 4. 2. 9,,151,イデアルセントラルキッチン,025,025-282-5529,,,,新潟県　新潟市中央区弁天２丁目４番１９号,新潟県新潟市中央区弁天２丁目４番１９号,２階,83952,15,15103,弁天２,,,2022/02/09,,,株式会社イデアル,和田　亮,025-250-5339,新潟県新潟市中央区東大通二丁目３番２５号,新潟県新潟市中央区東大通２丁目３番２５号,,83890,新潟県,新潟市中央区,東大通２,2689,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,E,9,,,イデアルセントラルキッチン025-282-55298395215103,63ba08d7-b9e0-4b78-9a13-8945634c94fb,株式会社イデアル83890,c93ea206-1b4b-400d-b704-33dfa89ead22,b4ff00bb-e6a6-493d-b677-cc96e2c3f8fe,2022/02/09,イデアルセントラルキッチン,イデアルセントラルキッチン,株式会社イデアル
37,イデアルセントラルキッチン,9500901,新潟県,新潟市中央区弁天２丁目４番１９号２階,新潟市中央区弁天２丁目４番１９号,２階,025-282-5529,株式会社イデアル,和田　亮,新潟県新潟市中央区東大通二丁目３番２５号,,025-250-5339,水産製品製造業,2690,R 4. 2. 9,,151,イデアルセントラルキッチン,025,025-282-5529,,,,新潟県　新潟市中央区弁天２丁目４番１９号,新潟県新潟市中央区弁天２丁目４番１９号,２階,83952,15,15103,弁天２,,,2022/02/09,,,株式会社イデアル,和田　亮,025-250-5339,新潟県新潟市中央区東大通二丁目３番２５号,新潟県新潟市中央区東大通２丁目３番２５号,,83890,新潟県,新潟市中央区,東大通２,2690,,水産製品製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,E,9,92,,イデアルセントラルキッチン025-282-55298395215103,63ba08d7-b9e0-4b78-9a13-8945634c94fb,株式会社イデアル83890,c93ea206-1b4b-400d-b704-33dfa89ead22,7853f63d-a858-4170-9214-f1b4126634ef,2022/02/09,イデアルセントラルキッチン,イデアルセントラルキッチン,株式会社イデアル
38,らーめん　じゅりむ,9518067,新潟県,新潟市中央区本町通６番町本町中央市場商店街内,新潟市中央区本町通６番,町本町中央市場商店街内,025-229-1808,佐藤　洋子,,,,,飲食店営業,2619,R 4. 2. 1,,151,らーめん　じゅりむ,025,025-229-1808,,,,新潟県　新潟市中央区本町通６番,新潟県新潟市中央区本町通六番町,本町中央市場商店街内,83975,15,15103,本町通六番町,,,2022/02/01,,,,佐藤　洋子 ,,,,,,,,,2619,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,らめんじゅりむ025-229-18088397515103,de58c15c-787d-4799-aef9-3793b0affc62,,personal,a4581b37-561e-4e9e-b7e0-3d81a43f1551,2022/02/01,らーめん　じゅりむ,らめんじゅりむ,
39,肉まんだらけの店,9500088,新潟県,新潟市中央区万代１丁目３番１号万代シネモール１階,新潟市中央区万代１丁目３番１号,万代シネモール１階,,株式会社善丸コーポレーション,武江　善幸,新潟県新潟市中央区本馬越二丁目１７番１２号,,025-241-8274,飲食店営業,2782,R 4. 2.24,,151,肉まんだらけの店,025,,,,,新潟県　新潟市中央区万代１丁目３番１号,新潟県新潟市中央区万代１丁目３番１号,万代シネモール１階,83879,15,15103,万代１,,,2022/02/24,,,株式会社善丸コーポレーション,武江　善幸,025-241-8274,新潟県新潟市中央区本馬越二丁目１７番１２号,新潟県新潟市中央区本馬越２丁目１７番１２号,,84034,新潟県,新潟市中央区,本馬越２,2782,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,肉まんだらけの店8387915103,a61e01bc-bb09-40bd-b006-64e34cb82b90,株式会社善丸コーポレーション84034,1c8f2567-19da-45b9-b477-a9898aa53bcd,8168f4f9-ecdb-4b64-b837-6beb23be8d87,2022/02/24,肉まんだらけの店,肉まんだらけの店,株式会社善丸コーポレーション
40,釜飯　縁家　万代店,9500088,新潟県,新潟市中央区万代４丁目２番６号ミューズ第一ビル１階,新潟市中央区万代４丁目２番６号,ミューズ第一ビル１階,025-250-0811,株式会社オサムフーズ,黒井　修,新潟県新潟市南区上下諏訪木１０４４番地１９,,025-373-0677,飲食店営業,2775,R 4. 2.21,,151,釜飯　縁家　万代店,025,025-250-0811,,,,新潟県　新潟市中央区万代４丁目２番６号,新潟県新潟市中央区万代４丁目２番６号,ミューズ第一ビル１階,83882,15,15103,万代４,,,2022/02/21,,,株式会社オサムフーズ,黒井　修,025-373-0677,新潟県新潟市南区上下諏訪木１０４４番地１９,新潟県新潟市南区上下諏訪木１０４４番地１９,,84591,新潟県,新潟市南区,上下諏訪木,2775,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,釜飯縁家万代店025-250-08118388215103,edc4b234-891e-4d91-a24e-53e68a7491dd,株式会社オサムフーズ84591,cb27abd7-0a5d-4ed1-b034-cbbbcc3be895,5a767e6e-4ecd-454f-aec1-6c011520eb15,2022/02/21,釜飯　縁家　万代店,釜飯縁家万代店,株式会社オサムフーズ
41,日本料理　「みねを」,9500088,新潟県,新潟市中央区万代５丁目４番３４号辰巳ビル１０５,新潟市中央区万代５丁目４番３４号,辰巳ビル１０５,,峰尾　美之,,,,,飲食店営業,2684,R 4. 2. 8,,151,日本料理　「みねを」,025,,,,,新潟県　新潟市中央区万代５丁目４番３４号,新潟県新潟市中央区万代５丁目４番３４号,辰巳ビル１０５,83883,15,15103,万代５,,,2022/02/08,,,,峰尾　美之 ,,,,,,,,,2684,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,日本料理みねを8388315103,1a7afc10-6da2-4234-ae6c-0de399a3e034,,personal,d8630442-0479-4286-a443-b590bc8f8588,2022/02/08,日本料理　「みねを」,日本料理みねを,
42,中華そば　吉田屋,9500893,新潟県,新潟市東区はなみずき３丁目１番２７号,新潟市東区はなみずき３丁目１番２７号,,025-311-5032,株式会社吉田屋,吉田　直哉,新潟県新潟市東区はなみずき一丁目１５番２３号,,025-367-2795,飲食店営業,2680,R 4. 2. 4,,151,中華そば　吉田屋,025,025-311-5032,,,,新潟県　新潟市東区はなみずき３丁目１番２７号,新潟県新潟市東区はなみずき３丁目１番２７号,,83483,15,15102,はなみずき３,,,2022/02/04,,,株式会社吉田屋,吉田　直哉,025-367-2795,新潟県新潟市東区はなみずき一丁目１５番２３号,新潟県新潟市東区はなみずき１丁目１５番２３号,,83481,新潟県,新潟市東区,はなみずき１,2680,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,中華そば吉田屋025-311-50328348315102,a49743b0-9e26-4c64-a829-26b2db2a7750,株式会社吉田屋83481,f2296444-a997-4356-b406-f969f4c47e9d,28cf0333-ed4d-4f75-b241-c7d5480853c1,2022/02/04,中華そば　吉田屋,中華そば吉田屋,株式会社吉田屋
43,ラーチャン家　大形店,9500821,新潟県,新潟市東区岡山３３４番地１,新潟市東区岡山３３４番地１,,025-383-8064,株式会社ぶた家,長川　要,新潟県新潟市中央区女池七丁目１９番８号,,025-383-8064,飲食店営業,2781,R 4. 2.24,,151,ラーチャン家　大形店,025,025-383-8064,,,,新潟県　新潟市東区岡山３３４番地１,新潟県新潟市東区岡山３３４番地１,,83341,15,15102,岡山,,,2022/02/24,,,株式会社ぶた家,長川　要,025-383-8064,新潟県新潟市中央区女池七丁目１９番８号,新潟県新潟市中央区女池７丁目１９番８号,,84014,新潟県,新潟市中央区,女池７,2781,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ラチャン家大形店025-383-80648334115102,ca7321e7-ab42-4d30-be38-ca787c30171c,株式会社ぶた家84014,a7f35a35-ac50-4f07-bf5f-7f87d3027913,bccc85df-2c6b-45aa-ae05-45fdd8afc81d,2022/02/24,ラーチャン家　大形店,ラチャン家大形店,株式会社ぶた家
44,かあちゃん味　　加工場,9501456,新潟県,新潟市南区茨曽根３４５１番地１,新潟市南区茨曽根３４５１番地１,,,有限会社道潟農場,小山　勇十志,新潟県新潟市南区茨曽根２８９４番地２,,025-375-5922,みそ又はしょうゆ製造業,2764,R 4. 2.18,,151,かあちゃん味　　加工場,025,,,,,新潟県　新潟市南区茨曽根３４５１番地１,新潟県新潟市南区茨曽根３４５１番地１,,84517,15,15106,茨曽根,,,2022/02/18,,,有限会社道潟農場,小山　勇十志,025-375-5922,新潟県新潟市南区茨曽根２８９４番地２,新潟県新潟市南区茨曽根２８９４番地２,,84517,新潟県,新潟市南区,茨曽根,2764,,みそ製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,E,9,,,かあちゃん味加工場8451715106,0dc615d1-966f-4624-9b83-fe746175c97c,有限会社道潟農場84517,0b663f60-7dd2-45c8-922d-c4b9056b445a,432c4029-d50b-4365-b3ec-dc4275ddcbe6,2022/02/18,かあちゃん味　加工場,かあちゃん味加工場,有限会社道潟農場
45,ＡＮＯＮ,9501217,新潟県,新潟市南区白根２８３７番地,新潟市南区白根２８３７番地,,025-372-3914,野澤　知博,,,,,飲食店営業,2688,R 4. 2. 9,,151,ＡＮＯＮ,025,025-372-3914,,,,新潟県　新潟市南区白根２８３７番地,新潟県新潟市南区白根２８３７番地,,84574,15,15106,白根,,,2022/02/09,,,,野澤　知博 ,,,,,,,,,2688,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ＡＮＯＮ025-372-39148457415106,ef54a4a1-35e6-4826-880a-131d88799c61,,personal,b0610740-5074-4e02-a4eb-b7ebbc6d8d3a,2022/02/09,ＡＮＯＮ,ＡＮＯＮ,
