https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,申請者1,業種,申請者2,施設-電話番号1,確認番号,開業年月日,許可年月日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,,施設所在地,,,営業者氏名,営業の種類,代表者氏名,施設電話番号,許可番号,初回許可日,許可年月日,許可満了日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
図鑑ｃａｆｅ　ｆｕｍｉｋｕｒａ,東京都,練馬区桜台一丁目４番７号  仙川ビル１階左,練馬区桜台１丁目４番７号, 仙川ビル１階左,合同会社三方善,飲食店営業,井守正暁,03-6914-5886,3練健生練食第12211号,2021/12/6,2021/12/6,2027/12/31,,199,図鑑ｃａｆｅ　ｆｕｍｉｋｕｒａ,03,03-6914-5886,,,,東京都　練馬区桜台１丁目４番７号,東京都練馬区桜台１丁目４番７号, 仙川ビル１階左,75200,13,13120,桜台１,,2021/12/06,2021/12/06,,2027/12/31,合同会社三方善,井守正暁,,,,,,,,,3練健生練食第12211号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,図鑑ｃａｆｅｆｕｍｉｋｕｒａ03-6914-58867520013120,112bef55-51f1-4f14-9997-1f064f869e84,合同会社三方善,5159d544-d96d-45bf-8f31-a0bb1f26cbe3,4182ca93-a1ac-4eaf-9ecb-d736e8d40a41,2021/12/06,図鑑ｃａｆｅ　ｆｕｍｉｋｕｒａ,図鑑ｃａｆｅｆｕｍｉｋｕｒａ,合同会社三方善
ＺＨＥＥＲ　ＨＯＵＳＥ　ＡＳＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＡＮＤ　ＢＡＢＡ　ＨＡＬＡＬ　ＦＯＯＤＳ,東京都,練馬区桜台一丁目５番１１号  １Ｆ　２Ｆ,練馬区桜台１丁目５番１１号,１Ｆ ２Ｆ,ＡＡＭＡＢＡＢＡ株式会社,飲食店営業,ロカ・ヒラ・バハドル,,3練健生練食第12303号,2021/12/7,2021/12/7,2027/12/31,,199,ＺＨＥＥＲ　ＨＯＵＳＥ　ＡＳＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＡＮＤ　ＢＡＢＡ　ＨＡＬＡＬ　ＦＯＯＤＳ,03,,,,,東京都　練馬区桜台１丁目５番１１号,東京都練馬区桜台１丁目５番１１号,１Ｆ ２Ｆ,75200,13,13120,桜台１,,2021/12/07,2021/12/07,,2027/12/31,ＡＡＭＡＢＡＢＡ株式会社,ロカ・ヒラ・バハドル,,,,,,,,,3練健生練食第12303号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,ＺＨＥＥＲＨＯＵＳＥＡＳＩＡＮＲＥＳＴＡＵＲＡＮＴＡＮＤＢＡＢＡＨＡＬＡＬＦＯＯＤＳ7520013120,750da0aa-0bda-42f4-95a5-1539560a4258,ＡＡＭＡＢＡＢＡ株式会社,addc0685-9c02-49ad-a3b4-a2b697e30acb,aa065621-72cb-4e2a-ab1e-c30006fcaec3,2021/12/07,ＺＨＥＥＲ　ＨＯＵＳＥ　ＡＳＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＡＮＤ　ＢＡＢＡ　ＨＡＬＡＬ　ＦＯＯＤＳ,ＺＨＥＥＲＨＯＵＳＥＡＳＩＡＮＲＥＳＴＡＵＲＡＮＴＡＮＤＢＡＢＡＨＡＬＡＬＦＯＯＤＳ,ＡＡＭＡＢＡＢＡ株式会社
ＺＨＥＥＲ　ＨＯＵＳＥ　ＡＳＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＡＮＤ　ＢＡＢＡ　ＨＡＬＡＬ　ＦＯＯＤＳ,東京都,練馬区桜台一丁目５番１１号  １Ｆ　２Ｆ,練馬区桜台１丁目５番１１号,１Ｆ ２Ｆ,ＡＡＭＡＢＡＢＡ株式会社,その他の食料・飲料販売業,ロカ・ヒラ・バハトル,,3練健生練食第12304号,2021/12/6,2021/12/6,,,199,ＺＨＥＥＲ　ＨＯＵＳＥ　ＡＳＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＡＮＤ　ＢＡＢＡ　ＨＡＬＡＬ　ＦＯＯＤＳ,03,,,,,東京都　練馬区桜台１丁目５番１１号,東京都練馬区桜台１丁目５番１１号,１Ｆ ２Ｆ,75200,13,13120,桜台１,,2021/12/06,2021/12/06,,,ＡＡＭＡＢＡＢＡ株式会社,ロカ・ヒラ・バハトル,,,,,,,,,3練健生練食第12304号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,ＺＨＥＥＲＨＯＵＳＥＡＳＩＡＮＲＥＳＴＡＵＲＡＮＴＡＮＤＢＡＢＡＨＡＬＡＬＦＯＯＤＳ7520013120,750da0aa-0bda-42f4-95a5-1539560a4258,ＡＡＭＡＢＡＢＡ株式会社,addc0685-9c02-49ad-a3b4-a2b697e30acb,5da1dddd-4a33-414f-8bb7-01d52d9f1625,2021/12/06,ＺＨＥＥＲ　ＨＯＵＳＥ　ＡＳＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　ＡＮＤ　ＢＡＢＡ　ＨＡＬＡＬ　ＦＯＯＤＳ,ＺＨＥＥＲＨＯＵＳＥＡＳＩＡＮＲＥＳＴＡＵＲＡＮＴＡＮＤＢＡＢＡＨＡＬＡＬＦＯＯＤＳ,ＡＡＭＡＢＡＢＡ株式会社
ひとくち茶屋練馬西友店,東京都,練馬区練馬一丁目３番１０号,練馬区練馬１丁目３番１０号,,株式会社グリーンズプラネット,飲食店営業,鵜澤武雄,5999-6498,3練健生練食第12329号,2021/12/17,2021/12/17,2028/12/31,,199,ひとくち茶屋練馬西友店,03,03-5999-6498,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号,,75286,13,13120,練馬１,,2021/12/17,2021/12/17,,2028/12/31,株式会社グリーンズプラネット,鵜澤武雄,,,,,,,,,3練健生練食第12329号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,ひとくち茶屋練馬西友店03-5999-64987528613120,6c6bd875-e6fd-4dd2-a3b4-23147c168f21,株式会社グリーンズプラネット,be8cf372-fb9b-4896-80d9-e63e1f59f832,67cffa23-9819-43ab-9f3e-7e25c5e4fa25,2021/12/17,ひとくち茶屋練馬西友店,ひとくち茶屋練馬西友店,株式会社グリーンズプラネット
とんかつ新宿さぼてん,東京都,練馬区練馬一丁目３番１０号,練馬区練馬１丁目３番１０号,,株式会社グリーンハウスフーズ,飲食店営業,田沼千秋,03-5984-7560,3練健生練食第12338号,2021/12/20,2021/12/20,2028/12/31,,199,とんかつ新宿さぼてん,03,03-5984-7560,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号,,75286,13,13120,練馬１,,2021/12/20,2021/12/20,,2028/12/31,株式会社グリーンハウスフーズ,田沼千秋,,,,,,,,,3練健生練食第12338号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,とんかつ新宿さぼてん03-5984-75607528613120,d7576709-50cb-46f5-bb47-e1093d526559,株式会社グリーンハウスフーズ,8acb944f-2be0-4495-8117-d6bb7807aa87,17316e3e-160a-473f-b6bd-be4705eefce8,2021/12/20,とんかつ新宿さぼてん,とんかつ新宿さぼてん,株式会社グリーンハウスフーズ
麻布十番モンタボー西友練馬店,東京都,練馬区練馬一丁目３番１０号,練馬区練馬１丁目３番１０号,,株式会社スイートスタイル,飲食店営業,古矢大輔,5912-5400,3練健生練食第12299号,2021/12/10,2021/12/10,2028/12/31,,199,麻布十番モンタボー西友練馬店,03,03-5912-5400,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号,,75286,13,13120,練馬１,,2021/12/10,2021/12/10,,2028/12/31,株式会社スイートスタイル,古矢大輔,,,,,,,,,3練健生練食第12299号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,麻布十番モンタボ西友練馬店03-5912-54007528613120,3dd99d2e-933b-420e-8038-94bac43b9a56,株式会社スイートスタイル,12ed220b-9781-414a-977a-723401e3711a,0c08fb5d-ce59-46c8-a3ab-d5cb1c680f3e,2021/12/10,麻布十番モンタボー西友練馬店,麻布十番モンタボ西友練馬店,株式会社スイートスタイル
麻布十番モンタボー西友練馬店,東京都,練馬区練馬一丁目３番１０号,練馬区練馬１丁目３番１０号,,株式会社スイートスタイル,その他の食料・飲料販売業,古矢大輔,5912-5400,3練健生練食第12300号,2021/12/1,2021/12/1,,,199,麻布十番モンタボー西友練馬店,03,03-5912-5400,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号,,75286,13,13120,練馬１,,2021/12/01,2021/12/01,,,株式会社スイートスタイル,古矢大輔,,,,,,,,,3練健生練食第12300号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,麻布十番モンタボ西友練馬店03-5912-54007528613120,3dd99d2e-933b-420e-8038-94bac43b9a56,株式会社スイートスタイル,12ed220b-9781-414a-977a-723401e3711a,1f846f35-e81b-4636-beb1-8da0a1a5780b,2021/12/01,麻布十番モンタボー西友練馬店,麻布十番モンタボ西友練馬店,株式会社スイートスタイル
ちよだ鮨　西友練馬店,東京都,練馬区練馬一丁目３番１０号  西友練馬店１Ｆ,練馬区練馬１丁目３番１０号, 西友練馬店１Ｆ,株式会社ちよだ鮨,飲食店営業,中島正人,3557-1471,3練健生練食第12257号,2021/12/7,2021/12/7,2028/12/31,,199,ちよだ鮨　西友練馬店,03,03-3557-1471,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号, 西友練馬店１Ｆ,75286,13,13120,練馬１,,2021/12/07,2021/12/07,,2028/12/31,株式会社ちよだ鮨,中島正人,,,,,,,,,3練健生練食第12257号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,ちよだ鮨西友練馬店03-3557-14717528613120,2dc12433-0365-45d3-85ea-f643ed6ec488,株式会社ちよだ鮨,9a285275-b650-45de-a920-79aebad197ab,131609b8-bd7b-4b64-b8ff-19d986ba23e7,2021/12/07,ちよだ鮨　西友練馬店,ちよだ鮨西友練馬店,株式会社ちよだ鮨
キッチンフェスタ,東京都,練馬区練馬一丁目３番１０号,練馬区練馬１丁目３番１０号,,株式会社デリショップ,飲食店営業,飯田眞一,5912-2081,3練健生練食第12316号,2021/12/16,2021/12/16,2028/12/31,,199,キッチンフェスタ,03,03-5912-2081,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号,,75286,13,13120,練馬１,,2021/12/16,2021/12/16,,2028/12/31,株式会社デリショップ,飯田眞一,,,,,,,,,3練健生練食第12316号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,キッチンフェスタ03-5912-20817528613120,59595de9-fc85-43e4-a49f-bac882f11328,株式会社デリショップ,ca120f7a-1391-4526-889e-41c65d232b4c,30f38e0d-9196-44a4-a4e1-096b682fa6df,2021/12/16,キッチンフェスタ,キッチンフェスタ,株式会社デリショップ
キッチンフェスタ,東京都,練馬区練馬一丁目３番１０号,練馬区練馬１丁目３番１０号,,株式会社デリショップ,その他の食料・飲料販売業,飯田眞一,5912-2081,3練健生練食第12317号,2021/12/6,2021/12/6,,,199,キッチンフェスタ,03,03-5912-2081,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号,,75286,13,13120,練馬１,,2021/12/06,2021/12/06,,,株式会社デリショップ,飯田眞一,,,,,,,,,3練健生練食第12317号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,キッチンフェスタ03-5912-20817528613120,59595de9-fc85-43e4-a49f-bac882f11328,株式会社デリショップ,ca120f7a-1391-4526-889e-41c65d232b4c,b6a0270f-c254-47c6-931e-a70c9788d4bf,2021/12/06,キッチンフェスタ,キッチンフェスタ,株式会社デリショップ
京樽　西友練馬店,東京都,練馬区練馬一丁目３番１０号,練馬区練馬１丁目３番１０号,,株式会社京樽,飲食店営業,石井憲,3994-5831,3練健生練食第12319号,2021/12/16,2021/12/16,2028/12/31,,199,京樽　西友練馬店,03,03-3994-5831,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号,,75286,13,13120,練馬１,,2021/12/16,2021/12/16,,2028/12/31,株式会社京樽,石井憲,,,,,,,,,3練健生練食第12319号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,京樽西友練馬店03-3994-58317528613120,e078d114-9716-4933-8440-108e491badbc,株式会社京樽,dc0674b0-cfb4-4d0f-9db4-f745464fb2f4,84fd8d32-bcac-4c7b-bfb8-a221559728ad,2021/12/16,京樽　西友練馬店,京樽西友練馬店,株式会社京樽
日本一西友練馬店,東京都,練馬区練馬一丁目３番１０号,練馬区練馬１丁目３番１０号,,株式会社日本一,飲食店営業,染谷幸雄,3991-3091,3練健生練食第12321号,2021/12/17,2021/12/17,2028/12/31,,199,日本一西友練馬店,03,03-3991-3091,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号,,75286,13,13120,練馬１,,2021/12/17,2021/12/17,,2028/12/31,株式会社日本一,染谷幸雄,,,,,,,,,3練健生練食第12321号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,日本一西友練馬店03-3991-30917528613120,b388a9e2-b737-4e2e-ac91-f20bc0dbf64b,株式会社日本一,8c32fdf7-9538-4e68-b625-8dba1aaaa9c6,0d3cd2a2-ceee-4bfe-8611-a01fdf3e42d6,2021/12/17,日本一西友練馬店,日本一西友練馬店,株式会社日本一
合同会社西友　練馬店　若菜,東京都,練馬区練馬一丁目３番１０号,練馬区練馬１丁目３番１０号,,合同会社西友,飲食店営業,株式会社西友ホールディングス　職務執行者　大久保恒夫,,3練健生練食第12328号,2021/12/10,2021/12/10,2028/12/31,,199,合同会社西友　練馬店　若菜,03,,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号,,75286,13,13120,練馬１,,2021/12/10,2021/12/10,,2028/12/31,合同会社西友株式会社西友ホールディングス　職務執行者　大久保恒夫,,,,,,,,,,3練健生練食第12328号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,合同会社西友練馬店若菜7528613120,4823e30b-ef44-4f62-a023-7265b5f27537,合同会社西友株式会社西友ホールディングス　職務執行者　大久保恒夫,e47b06a8-243a-4030-b719-623cbbca7422,e4f4dc5a-66fb-47f5-818c-3006a467ecae,2021/12/10,合同会社西友　練馬店　若菜,合同会社西友練馬店若菜,合同会社西友株式会社西友ホールディングス　職務執行者　大久保恒夫
合同会社西友練馬店,東京都,練馬区練馬一丁目３番１０号,練馬区練馬１丁目３番１０号,,合同会社西友,魚介類販売業,株式会社西友ホールディングス　職務執行者　大久保恒夫,3991-3091,3練健生練食第12327号,2021/12/10,2021/12/10,2028/12/31,,199,合同会社西友練馬店,03,03-3991-3091,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号,,75286,13,13120,練馬１,,2021/12/10,2021/12/10,,2028/12/31,合同会社西友株式会社西友ホールディングス　職務執行者　大久保恒夫,,,,,,,,,,3練健生練食第12327号,,魚介類販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,,,合同会社西友練馬店03-3991-30917528613120,584c4f11-d08b-43fb-a2e3-6fbfbe8bf8ca,合同会社西友株式会社西友ホールディングス　職務執行者　大久保恒夫,e47b06a8-243a-4030-b719-623cbbca7422,a626c8b2-5bf2-41b3-8f64-a099505ea492,2021/12/10,合同会社西友練馬店,合同会社西友練馬店,合同会社西友株式会社西友ホールディングス　職務執行者　大久保恒夫
合同会社西友練馬店,東京都,練馬区練馬一丁目３番１０号,練馬区練馬１丁目３番１０号,,合同会社西友,魚介類販売業,株式会社西友ホールディングス　職務執行者　大久保恒夫,3991-3091,3練健生練食第12326号,2021/12/10,2021/12/10,2028/12/31,,199,合同会社西友練馬店,03,03-3991-3091,,,,東京都　練馬区練馬１丁目３番１０号,東京都練馬区練馬１丁目３番１０号,,75286,13,13120,練馬１,,2021/12/10,2021/12/10,,2028/12/31,合同会社西友株式会社西友ホールディングス　職務執行者　大久保恒夫,,,,,,,,,,3練健生練食第12326号,,魚介類販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,,,合同会社西友練馬店03-3991-30917528613120,584c4f11-d08b-43fb-a2e3-6fbfbe8bf8ca,合同会社西友株式会社西友ホールディングス　職務執行者　大久保恒夫,e47b06a8-243a-4030-b719-623cbbca7422,a767667c-215b-4228-a4d9-4d8e1c184123,2021/12/10,合同会社西友練馬店,合同会社西友練馬店,合同会社西友株式会社西友ホールディングス　職務執行者　大久保恒夫
ガビンパンパン,東京都,練馬区練馬一丁目６番１７号  ライフビル１Ｆ西,練馬区練馬１丁目６番１７号, ライフビル１Ｆ西,株式会社カネコフードサービス,飲食店営業,金子貴一,,3練健生練食第12343号,2021/12/20,2021/12/20,2027/12/31,,199,ガビンパンパン,03,,,,,東京都　練馬区練馬１丁目６番１７号,東京都練馬区練馬１丁目６番１７号, ライフビル１Ｆ西,75286,13,13120,練馬１,,2021/12/20,2021/12/20,,2027/12/31,株式会社カネコフードサービス,金子貴一,,,,,,,,,3練健生練食第12343号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,ガビンパンパン7528613120,1da8d6f8-ffdd-4a00-adfe-433795fc9d2d,株式会社カネコフードサービス,9eabe5ee-b5b8-44db-a94f-432f872ef709,27bb4815-ad5b-495e-bbc4-5005dc19af47,2021/12/20,ガビンパンパン,ガビンパンパン,株式会社カネコフードサービス
ガビンパンパン,東京都,練馬区練馬一丁目６番１７号  ライフビル１Ｆ西,練馬区練馬１丁目６番１７号, ライフビル１Ｆ西,株式会社カネコフードサービス,漬物製造業,金子貴一,,3練健生練食第12344号,2021/12/20,2021/12/20,2027/12/31,,199,ガビンパンパン,03,,,,,東京都　練馬区練馬１丁目６番１７号,東京都練馬区練馬１丁目６番１７号, ライフビル１Ｆ西,75286,13,13120,練馬１,,2021/12/20,2021/12/20,,2027/12/31,株式会社カネコフードサービス,金子貴一,,,,,,,,,3練健生練食第12344号,,漬物製造業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,,,ガビンパンパン7528613120,1da8d6f8-ffdd-4a00-adfe-433795fc9d2d,株式会社カネコフードサービス,9eabe5ee-b5b8-44db-a94f-432f872ef709,0b182ca0-aeda-409b-9540-3b17672d57f2,2021/12/20,ガビンパンパン,ガビンパンパン,株式会社カネコフードサービス
株式会社まうまう,東京都,練馬区練馬一丁目１７番１号  Ｃｏｃｏｎｅｒｉ３階　産業イベントコーナー,練馬区練馬１丁目１７番１号,Ｃｏｃｏｎｅｒｉ３階 産業イベントコーナー,株式会社まうまう,その他の食料・飲料販売業,山口桂右,03-5315-0882,3練健生練食第12366号,2021/12/21,2021/12/21,,,199,株式会社まうまう,03,03-5315-0882,,,,東京都　練馬区練馬１丁目１７番１号,東京都練馬区練馬１丁目１７番１号,Ｃｏｃｏｎｅｒｉ３階 産業イベントコーナー,75286,13,13120,練馬１,,2021/12/21,2021/12/21,,,株式会社まうまう,山口桂右,,,,,,,,,3練健生練食第12366号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,株式会社まうまう03-5315-08827528613120,4ae3f2cd-a3ad-40ea-a5bb-f5498abd399f,株式会社まうまう,8856d8f4-ff95-4750-a2eb-82f9ee5b0e3d,3c1d268b-1626-49c6-9f2d-b964cdc36a3a,2021/12/21,株式会社まうまう,株式会社まうまう,株式会社まうまう
コミュニティカフェなごみ,東京都,練馬区練馬一丁目１７番１号  ココネリ２階エスカレーター脇,練馬区練馬１丁目１７番１号, ココネリ２階エスカレーター脇,社会福祉法人あかねの会,その他の食料・飲料販売業,吉田由紀子,,3練健生練食第12332号,2021/12/9,2021/12/9,,,199,コミュニティカフェなごみ,03,,,,,東京都　練馬区練馬１丁目１７番１号,東京都練馬区練馬１丁目１７番１号, ココネリ２階エスカレーター脇,75286,13,13120,練馬１,,2021/12/09,2021/12/09,,,社会福祉法人あかねの会,吉田由紀子,,,,,,,,,3練健生練食第12332号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,コミュニティカフェなごみ7528613120,aa5ce839-519f-4693-8acb-9e19a2202d58,社会福祉法人あかねの会,dd62fcc6-e749-444b-bef9-38519c25d055,573937d9-0a7d-47c1-85d1-07163b4c4a1a,2021/12/09,コミュニティカフェなごみ,コミュニティカフェなごみ,社会福祉法人あかねの会
すのうべる,東京都,練馬区練馬一丁目１７番１号  ココネリ２階エスカレーター脇,練馬区練馬１丁目１７番１号, ココネリ２階エスカレーター脇,社会福祉法人江古田明和会,その他の食料・飲料販売業,鴻森和明,,3練健生練食第12336号,2021/12/9,2021/12/9,,,199,すのうべる,03,,,,,東京都　練馬区練馬１丁目１７番１号,東京都練馬区練馬１丁目１７番１号, ココネリ２階エスカレーター脇,75286,13,13120,練馬１,,2021/12/09,2021/12/09,,,社会福祉法人江古田明和会,鴻森和明,,,,,,,,,3練健生練食第12336号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,すのうべる7528613120,1d22abec-468c-4985-8435-60323fc9b18e,社会福祉法人江古田明和会,d0a94c2a-f40f-45b4-a531-c4db213069d2,14ff3ed1-ee35-418f-a950-bde930f59199,2021/12/09,すのうべる,すのうべる,社会福祉法人江古田明和会
べるはうす,東京都,練馬区練馬一丁目１７番１号  ココネリ２階エスカレーター脇,練馬区練馬１丁目１７番１号, ココネリ２階エスカレーター脇,社会福祉法人江古田明和会,その他の食料・飲料販売業,鴻森和明,3867-7740,3練健生練食第12377号,2021/12/27,2021/12/27,,,199,べるはうす,03,03-3867-7740,,,,東京都　練馬区練馬１丁目１７番１号,東京都練馬区練馬１丁目１７番１号, ココネリ２階エスカレーター脇,75286,13,13120,練馬１,,2021/12/27,2021/12/27,,,社会福祉法人江古田明和会,鴻森和明,,,,,,,,,3練健生練食第12377号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,べるはうす03-3867-77407528613120,fa095f0a-2feb-4e80-b721-9543cb70a3da,社会福祉法人江古田明和会,d0a94c2a-f40f-45b4-a531-c4db213069d2,d4ee2cc4-47cf-4235-a379-b363f83f445e,2021/12/27,べるはうす,べるはうす,社会福祉法人江古田明和会
０．００（ｒｅｉ　ｔｅｎ　ｒｅｉ　ｒｅｉ）,東京都,練馬区練馬一丁目２５番７号  １４０４,練馬区練馬１丁目２５番７号,１４０４,井口奈々,その他の食料・飲料販売業,,,3練健生練食第12369号,2021/12/22,2021/12/22,,,199,０．００（ｒｅｉ　ｔｅｎ　ｒｅｉ　ｒｅｉ）,03,,,,,東京都　練馬区練馬１丁目２５番７号,東京都練馬区練馬１丁目２５番７号,１４０４,75286,13,13120,練馬１,,2021/12/22,2021/12/22,,,,井口奈々 ,,,,,,,,,3練健生練食第12369号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,０００ｒｅｉｔｅｎｒｅｉｒｅｉ7528613120,2ff42641-ee10-4374-bf4d-2accf596bee2,,personal,81b20537-3776-4ddd-a480-02fe2f3f8082,2021/12/22,０．００（ｒｅｉ　ｔｅｎ　ｒｅｉ　ｒｅｉ）,０００ｒｅｉｔｅｎｒｅｉｒｅｉ,
ソラスト中村橋保育園,東京都,練馬区向山一丁目１３番２号,練馬区向山１丁目１３番２号,,株式会社ソラスト,集団給食施設,藤河芳一,03-3577-8571,3練健生練食第12293号,2021/12/1,2021/12/1,,,199,ソラスト中村橋保育園,03,03-3577-8571,,,,東京都　練馬区向山１丁目１３番２号,東京都練馬区向山１丁目１３番２号,,75193,13,13120,向山１,,2021/12/01,2021/12/01,,,株式会社ソラスト,藤河芳一,,,,,,,,,3練健生練食第12293号,,給食施設,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,77,,,ソラスト中村橋保育園03-3577-85717519313120,908b5f71-3df9-41f4-865f-12ff9aa29681,株式会社ソラスト,b891c321-f777-48be-856a-36b8c2eab015,8b17f927-7824-4bd7-b093-f3fe2cf9f4f1,2021/12/01,ソラスト中村橋保育園,ソラスト中村橋保育園,株式会社ソラスト
Ｌｉｌｙ,東京都,練馬区貫井一丁目１番２号  ＹＫビルＢ１０２,練馬区貫井１丁目１番２号, ＹＫビルＢ１０２,北嶋隼人,飲食店営業,,3970-0522,3練健生練食第12330号,2021/12/22,2021/12/22,2027/12/31,,199,Ｌｉｌｙ,03,03-3970-0522,,,,東京都　練馬区貫井１丁目１番２号,東京都練馬区貫井１丁目１番２号, ＹＫビルＢ１０２,75281,13,13120,貫井１,,2021/12/22,2021/12/22,,2027/12/31,,北嶋隼人 ,,,,,,,,,3練健生練食第12330号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,Ｌｉｌｙ03-3970-05227528113120,38c47a2f-c723-4cab-92fa-3b9cba6c4dc4,,personal,20362941-b272-4418-bac2-fe1a066dbff1,2021/12/22,Ｌｉｌｙ,Ｌｉｌｙ,
