https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,施設名,施設-住所1,施設-マンション名,,申請者1,許可年月日,申請-電話番号1,施設-電話番号1,許可期間開始日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,屋号または商号,営業所所在地,ビル名,階数,営業者氏名,許可年月日 ,営業許可台帳.申請者電話番号,営業許可台帳.電話番号 ,復命情報.許可開始年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
R03-101-376,ライフ枚方  T -  S  I  T  E 店,枚方市岡東町12番 2号,,,株式会社ライフコーポレーション,2021/12/2, 06-6150-6175,072-844-3701,2021/12/02,,289,ライフ枚方  T -  S  I  T  E 店,072,072-844-3701,,,,枚方市岡東町12番 2号,大阪府枚方市岡東町１２番２号,,158639,27,27210,岡東町,,,2021/12/02,2021/12/02,,株式会社ライフコーポレーション,,06-6150-6175,,,,,,,,R03-101-376,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ライフ枚方ＴＳＩＴＥ店072-844-370115863927210,1b042fd0-54f1-4fe4-8be7-5d03bd085076,株式会社ライフコーポレーション,bbdde605-a690-459f-8941-5643b3b18b9f,a8193b9d-37b9-4834-bcf5-d613b138cf63,2021/12/02,ライフ枚方　Ｔ　－　Ｓ　Ｉ　Ｔ　Ｅ　店,ライフ枚方ＴＳＩＴＥ店,株式会社ライフコーポレーション
R03-101-377,ライフ枚方  T -  S  I  T  E 店,枚方市岡東町12番 2号,,,株式会社ライフコーポレーション,2021/12/2, 06-6150-6175,072-844-3701,2021/12/02,,289,ライフ枚方  T -  S  I  T  E 店,072,072-844-3701,,,,枚方市岡東町12番 2号,大阪府枚方市岡東町１２番２号,,158639,27,27210,岡東町,,,2021/12/02,2021/12/02,,株式会社ライフコーポレーション,,06-6150-6175,,,,,,,,R03-101-377,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ライフ枚方ＴＳＩＴＥ店072-844-370115863927210,1b042fd0-54f1-4fe4-8be7-5d03bd085076,株式会社ライフコーポレーション,bbdde605-a690-459f-8941-5643b3b18b9f,59299ea7-b44c-437e-8a3e-ccfed113a0d7,2021/12/02,ライフ枚方　Ｔ　－　Ｓ　Ｉ　Ｔ　Ｅ　店,ライフ枚方ＴＳＩＴＥ店,株式会社ライフコーポレーション
R03-101-378,ライフ枚方  T -  S  I  T  E 店,枚方市岡東町12番 2号,,,株式会社ライフコーポレーション,2021/12/2, 06-6150-6175,072-844-3701,2021/12/02,,289,ライフ枚方  T -  S  I  T  E 店,072,072-844-3701,,,,枚方市岡東町12番 2号,大阪府枚方市岡東町１２番２号,,158639,27,27210,岡東町,,,2021/12/02,2021/12/02,,株式会社ライフコーポレーション,,06-6150-6175,,,,,,,,R03-101-378,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ライフ枚方ＴＳＩＴＥ店072-844-370115863927210,1b042fd0-54f1-4fe4-8be7-5d03bd085076,株式会社ライフコーポレーション,bbdde605-a690-459f-8941-5643b3b18b9f,df1f7823-79ea-4192-8a41-be54a1d2fb2f,2021/12/02,ライフ枚方　Ｔ　－　Ｓ　Ｉ　Ｔ　Ｅ　店,ライフ枚方ＴＳＩＴＥ店,株式会社ライフコーポレーション
R03-101-379,ライフ枚方  T -  S  I  T  E 店,枚方市岡東町12番 2号,,,株式会社ライフコーポレーション,2021/12/2, 06-6150-6175,072-844-3701,2021/12/02,,289,ライフ枚方  T -  S  I  T  E 店,072,072-844-3701,,,,枚方市岡東町12番 2号,大阪府枚方市岡東町１２番２号,,158639,27,27210,岡東町,,,2021/12/02,2021/12/02,,株式会社ライフコーポレーション,,06-6150-6175,,,,,,,,R03-101-379,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ライフ枚方ＴＳＩＴＥ店072-844-370115863927210,1b042fd0-54f1-4fe4-8be7-5d03bd085076,株式会社ライフコーポレーション,bbdde605-a690-459f-8941-5643b3b18b9f,6335378f-9e00-4d26-b23d-65eda8794f22,2021/12/02,ライフ枚方　Ｔ　－　Ｓ　Ｉ　Ｔ　Ｅ　店,ライフ枚方ＴＳＩＴＥ店,株式会社ライフコーポレーション
R03- 101-402,割烹  下田昇六,枚方市招提北町1丁目2229番地,2,,株式会社昇六下田,2021/12/3,072-867-9727,072-867-9727,2021/12/03,,289,割烹  下田昇六,072,072-867-9727,,,,枚方市招提北町1丁目2229番地,大阪府枚方市招提北町１丁目２２２９番地,2,158717,27,27210,招提北町１,,,2021/12/03,2021/12/03,,株式会社昇六下田,,072-867-9727,,,,,,,,R03- 101-402,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,割烹下田昇六072-867-972715871727210,9ec95f7e-a856-469e-b414-252e79039d88,株式会社昇六下田,de4b0630-0c02-4774-80a7-886856f11874,430268fd-6204-426a-ba31-4958bb0bc338,2021/12/03,割烹　下田昇六,割烹下田昇六,株式会社昇六下田
R03-101-412,G a t e,枚方市伊加賀北町 5番12号,,,甲陽ファクトリー株式会社,2021/12/23,072-844-9804,072-844-9804,2021/12/23,,289,G a t e,072,072-844-9804,,,,枚方市伊加賀北町 5番12号,大阪府枚方市伊加賀北町５番１２号,,158614,27,27210,伊加賀北町,,,2021/12/23,2021/12/23,,甲陽ファクトリー株式会社,,072-844-9804,,,,,,,,R03-101-412,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,Ｇａｔｅ072-844-980415861427210,4e9bb4ef-9cdb-4240-9af6-521a457ff204,甲陽ファクトリー株式会社,e995ef6f-204b-4adc-9ef4-177e2d24d4f0,34985d27-7eb2-455f-b0f5-65745fd3cd3c,2021/12/23,Ｇ　ａ　ｔ　ｅ,Ｇａｔｅ,甲陽ファクトリー株式会社
R03- 101-424,へるしーカレー　ぱくぱく,枚方市星丘3丁目26番 27号,,,信川雄己,2021/12/8,,0120-52 -8989,2021/12/08,,289,へるしーカレー　ぱくぱく,072,0120-52-8989,,,,枚方市星丘3丁目26番 27号,大阪府枚方市星丘３丁目２６番２７号,,158871,27,27210,星丘３,,,2021/12/08,2021/12/08,,,信川雄己,,,,,,,,,R03- 101-424,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,へるしカレぱくぱく0120-52-898915887127210,8823db54-7e79-47f3-ab6b-23045046f352,,personal,94be26e1-7fc9-4ba5-a654-850dad55481a,2021/12/08,へるしーカレー　ぱくぱく,へるしカレぱくぱく,
R03-101-425,ネネチキン     枚方宮之阪駅前店,枚方市宮之阪3丁目6番 33号,1 F,,出口雅己,2021/12/15,,072-894- 7167,2021/12/15,,289,ネネチキン     枚方宮之阪駅前店,072,072-894-7167,,,,枚方市宮之阪3丁目6番 33号,大阪府枚方市宮ノ阪３丁目６番３３号,1 F,158899,27,27210,宮ノ阪３,,,2021/12/15,2021/12/15,,,出口雅己,,,,,,,,,R03-101-425,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ネネチキン枚方宮之阪駅前店072-894-716715889927210,ce8b14e4-d028-4b11-84d4-e15c39564a1a,,personal,644882db-28d7-4cef-b107-4f61846f9017,2021/12/15,ネネチキン　枚方宮之阪駅前店,ネネチキン枚方宮之阪駅前店,
R03-101-428,セブンイレブン     枚方東船橋店,枚方市東船橋2丁目35番地の 2,,,合同会社   The Way,2021/12/16,072-866- 7011,072-866- 7011,2021/12/16,,289,セブンイレブン     枚方東船橋店,072,072-866-7011,,,,枚方市東船橋2丁目35番地の 2,大阪府枚方市東船橋２丁目３５番地ノ２,,158858,27,27210,東船橋２,,,2021/12/16,2021/12/16,,合同会社   The Way,,072-866-7011,,,,,,,,R03-101-428,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,セブンイレブン枚方東船橋店072-866-701115885827210,acd24fdb-f517-4c28-80a8-6deb8b6fe664,合同会社　Ｔｈｅ　Ｗａｙ,b1fd2788-8040-4ef1-9b36-da74dccda864,72470d8d-03dd-4385-a485-3592be1e99f9,2021/12/16,セブンイレブン　枚方東船橋店,セブンイレブン枚方東船橋店,合同会社　Ｔｈｅ　Ｗａｙ
R03-101-429,セブンイレブン     枚方船橋本町店,枚方市船橋本町2丁目83番地の 3,,,合同会社   The Way,2021/12/16,072-866- 7011,072-867-7111,2021/12/16,,289,セブンイレブン     枚方船橋本町店,072,072-867-7111,,,,枚方市船橋本町2丁目83番地の 3,大阪府枚方市船橋本町２丁目８３番地ノ３,,158868,27,27210,船橋本町２,,,2021/12/16,2021/12/16,,合同会社   The Way,,072-866-7011,,,,,,,,R03-101-429,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,セブンイレブン枚方船橋本町店072-867-711115886827210,10124fd5-f63a-438e-8ade-275c54fc964e,合同会社　Ｔｈｅ　Ｗａｙ,b1fd2788-8040-4ef1-9b36-da74dccda864,fbd90e49-73e6-41a6-8c55-61dc6dc9927c,2021/12/16,セブンイレブン　枚方船橋本町店,セブンイレブン枚方船橋本町店,合同会社　Ｔｈｅ　Ｗａｙ
R03- 101-440,キッチン  　モンテ・ラルゴ,枚方市御殿山南町3番,5  3 棟 1  0  5 号室,,長山義幸,2021/12/20,,072-808-8810,2021/12/20,,289,キッチン  　モンテ・ラルゴ,072,072-808-8810,,,,枚方市御殿山南町3番,大阪府枚方市御殿山南町３番,5  3 棟 1  0  5 号室,158712,27,27210,御殿山南町,,,2021/12/20,2021/12/20,,,長山義幸,,,,,,,,,R03- 101-440,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,キッチンモンテラルゴ072-808-881015871227210,ee284402-8e6b-4d47-b42e-6ae915dab905,,personal,28fd6ebe-5610-4e52-a84c-96d4be527bce,2021/12/20,キッチン　モンテ・ラルゴ,キッチンモンテラルゴ,
R03-101-441,大阪王将     くずは朝日店,枚方市楠葉朝日2丁目2番 4号,,,平井雅夫,2021/12/16,,072-867 -8281,2021/12/16,,289,大阪王将     くずは朝日店,072,072-867-8281,,,,枚方市楠葉朝日2丁目2番 4号,大阪府枚方市楠葉朝日２丁目２番４号,,158666,27,27210,楠葉朝日２,,,2021/12/16,2021/12/16,,,平井雅夫,,,,,,,,,R03-101-441,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,大阪王将くずは朝日店072-867-828115866627210,c00faf15-6f96-4720-969d-748310baaf7a,,personal,1befaa78-b460-40a3-8603-2383b039fecf,2021/12/16,大阪王将　くずは朝日店,大阪王将くずは朝日店,
R03-101-447   ,あじむどり     楠葉店        ,枚方市南楠葉1丁目3番12号 ,,,株式会社   KLEINOD , 2021/12/24 ,072-284-8153 ,072-845-6686   ,2021/12/24,,289,あじむどり     楠葉店        ,072,072-845-6686,,,,枚方市南楠葉1丁目3番12号 ,大阪府枚方市南楠葉１丁目３番１２号,,158889,27,27210,南楠葉１,,,2021/12/24,2021/12/24,,株式会社   KLEINOD ,,072-284-8153 ,,,,,,,,R03-101-447   ,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,あじむどり楠葉店072-845-668615888927210,f4e9f1ae-79ef-4ce8-a0ae-44b8d427217e,株式会社　ＫＬＥＩＮＯＤ　,26710d4b-83a3-46b4-a071-a1ec5d1e1798,0959888a-069f-4c3f-9688-fc21c031aea6,2021/12/24,あじむどり　楠葉店　,あじむどり楠葉店,株式会社　ＫＬＥＩＮＯＤ　
