https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請-電話番号1,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,許可年月日,確認番号,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業者名,"営業者
電話番号",営業所名称,営業所所在地,,,"営業所
電話番号",業種,許可年月日,許可番号,許可の有効期限FROM,許可の有効期限TO,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
株式会社トリプロ・プラス 代表取締役　小池正樹,06-6491-1210,鳥ぷろ,名古屋市西区則武新町三丁目１番１７号　イオンモール名古屋ノリタケガーデン,名古屋市西区則武新町３丁目１番１７号 ,イオンモール名古屋ノリタケガーデン,433-4448,飲食店営業,2021/10/6,3西保健第1-223号,2021/10/6,2028/3/20,,245,鳥ぷろ,052,052-433-4448,,,,名古屋市西区則武新町３丁目１番１７号 ,愛知県名古屋市西区則武新町３丁目１番１７号,イオンモール名古屋ノリタケガーデン,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社トリプロ・プラス ,代表取締役　小池正樹,06-6491-1210,,,,,,,,3西保健第1-223号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,鳥ぷろ052-433-444811436223104,65681d83-0cfe-4215-9695-595c7641ae78,株式会社トリプロ・プラス　,43566ae6-b353-42bb-a8ba-d6c9b290431f,7a8dfcc7-2acd-4623-82f3-4ef664519b86,2021/10/06,鳥ぷろ,鳥ぷろ,株式会社トリプロ・プラス　
株式会社　グリーンハウスフーズ 代表取締役社長　田沼　千秋,03-6276-2250,とんかつ新宿さぼてん,名古屋市西区則武新町三丁目１番１７号　１０５区画,名古屋市西区則武新町３丁目１番１７号,１０５区画,052-446-6020,飲食店営業,2021/10/6,3西保健第1-273号,2021/10/6,2028/3/20,,245,とんかつ新宿さぼてん,052,052-446-6020,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号,１０５区画,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　グリーンハウスフーズ ,代表取締役社長　田沼　千秋,03-6276-2250,,,,,,,,3西保健第1-273号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,とんかつ新宿さぼてん052-446-602011436223104,54a0a91a-441f-4f9f-8a30-81a5813a3f9a,株式会社グリーンハウスフーズ　,f4f1299d-398e-494b-8599-c53e56ba2861,e9abd97b-3203-452a-8ce9-8c4a8c051752,2021/10/06,とんかつ新宿さぼてん,とんかつ新宿さぼてん,株式会社グリーンハウスフーズ　
有限会社　大富商会 取締役　山本　文雄,0561-82-0461,黒龍,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,526-1330,飲食店営業,2021/10/6,3西保健第1-222号,2021/10/6,2028/3/20,,245,黒龍,052,052-526-1330,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,有限会社　大富商会 ,取締役　山本　文雄,0561-82-0461,,,,,,,,3西保健第1-222号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,黒龍052-526-133011436223104,820af919-9dff-4ab3-8582-23d853e269eb,有限会社大富商会　,84ad1fc2-74ce-4ffc-803c-4d64a8970689,fcde2fe2-bc38-4b6e-ad94-082ad0040fd6,2021/10/06,黒龍,黒龍,有限会社大富商会　
株式会社　円相フードサービス 代表取締役　武藤洋照,058-322-8415,エリックサウス則武新町店,名古屋市西区則武新町三丁目１番１７号　１階１０９区画,名古屋市西区則武新町３丁目１番１７号,１階１０９区画,052-526-6949,飲食店営業,2021/10/6,3西保健第1-290号,2021/10/6,2028/3/20,,245,エリックサウス則武新町店,052,052-526-6949,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号,１階１０９区画,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　円相フードサービス ,代表取締役　武藤洋照,058-322-8415,,,,,,,,3西保健第1-290号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,エリックサウス則武新町店052-526-694911436223104,8a3e90f8-50b9-498c-b203-1876f954b6ee,株式会社円相フードサービス　,44c7bb71-d139-41bb-845f-503426d47a9b,bb5afc17-7a45-4ddf-b808-bc1a17ddfae4,2021/10/06,エリックサウス則武新町店,エリックサウス則武新町店,株式会社円相フードサービス　
株式会社あいや 代表取締役　杉田　武男,0563562233,西条園抹茶カフェ　則武新町店,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,,飲食店営業,2021/10/6,3西保健第1-294号,2021/10/6,2028/3/20,,245,西条園抹茶カフェ　則武新町店,052,,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社あいや ,代表取締役　杉田　武男,0563-56-2233,,,,,,,,3西保健第1-294号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,西条園抹茶カフェ則武新町店11436223104,9c258756-ad0d-4016-b990-80f6978bfb46,株式会社あいや　,c91613d5-80ba-4fb6-97a1-75d3aa1c93c4,7e4c5838-d470-4439-a3fa-be13db17ff9d,2021/10/06,西条園抹茶カフェ　則武新町店,西条園抹茶カフェ則武新町店,株式会社あいや　
株式会社あいや 代表取締役　杉田　武男,0563562233,西条園抹茶カフェ　則武新町店,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,,菓子製造業,2021/10/6,3西保健第1-295号,2021/10/6,2028/3/20,,245,西条園抹茶カフェ　則武新町店,052,,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社あいや ,代表取締役　杉田　武男,0563-56-2233,,,,,,,,3西保健第1-295号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,E,9,,,西条園抹茶カフェ則武新町店11436223104,9c258756-ad0d-4016-b990-80f6978bfb46,株式会社あいや　,c91613d5-80ba-4fb6-97a1-75d3aa1c93c4,76554054-0272-41d2-bf08-8f2e46b6b642,2021/10/06,西条園抹茶カフェ　則武新町店,西条園抹茶カフェ則武新町店,株式会社あいや　
クリスピー・クリーム・ドーナツ・ジャパン株式会社 代表取締役　若月　貴子,03-5772-1072,クリスピー・クリーム・ドーナツ　則武新町店,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,526-8380,菓子製造業,2021/10/6,3西保健第1-231号,2021/10/6,2028/3/20,,245,クリスピー・クリーム・ドーナツ　則武新町店,052,052-526-8380,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,クリスピー・クリーム・ドーナツ・ジャパン株式会社 ,代表取締役　若月　貴子,03-5772-1072,,,,,,,,3西保健第1-231号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,E,9,,,クリスピクリムドナツ則武新町店052-526-838011436223104,361b9e2b-44c8-4656-b23c-9355a703833a,クリスピー・クリーム・ドーナツ・ジャパン株式会社,cb628326-8a7b-4eeb-aa0b-1c8dbf245754,c69e16c6-5fd7-49bd-8914-1363d86dc639,2021/10/06,クリスピー・クリーム・ドーナツ　則武新町店,クリスピクリムドナツ則武新町店,クリスピー・クリーム・ドーナツ・ジャパン株式会社
猿田彦珈琲株式会社 代表取締役　大塚　朝之,0364556965,猿田彦珈琲　則武新町店,名古屋市西区則武新町三丁目１番１７号　１階,名古屋市西区則武新町３丁目１番１７号,１階,526-8633,飲食店営業,2021/10/6,3西保健第1-283号,2021/10/6,2028/3/20,,245,猿田彦珈琲　則武新町店,052,052-526-8633,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号,１階,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,猿田彦珈琲株式会社 ,代表取締役　大塚　朝之,03-6455-6965,,,,,,,,3西保健第1-283号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,猿田彦珈琲則武新町店052-526-863311436223104,61366ac1-7860-4d99-bba8-2adb987f6092,猿田彦珈琲株式会社,196ea761-841b-464b-b3ca-4ea03072336d,58c7250c-74c9-460c-b060-530dc4eec191,2021/10/06,猿田彦珈琲　則武新町店,猿田彦珈琲則武新町店,猿田彦珈琲株式会社
株式会社　OVA 代表取締役　神保　成章,562-1158,TIFFIN,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,526-5992,飲食店営業,2021/10/6,3西保健第1-275号,2021/10/6,2028/3/20,,245,TIFFIN,052,052-526-5992,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　OVA ,代表取締役　神保　成章,052-562-1158,,,,,,,,3西保健第1-275号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,ＴＩＦＦＩＮ052-526-599211436223104,1cdf2f0e-bdc5-4e6e-a519-3386153cb019,株式会社ＯＶＡ　,4b17c074-1ca9-4487-a836-8b6ccfa7ddd0,f89c80af-cf07-44fa-a199-1cda1272aeef,2021/10/06,ＴＩＦＦＩＮ,ＴＩＦＦＩＮ,株式会社ＯＶＡ　
株式会社　OVA 代表取締役　神保　成章,562-1158,TIFFIN,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,526-5992,菓子製造業,2021/10/6,3西保健第1-274号,2021/10/6,2028/3/20,,245,TIFFIN,052,052-526-5992,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　OVA ,代表取締役　神保　成章,052-562-1158,,,,,,,,3西保健第1-274号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,E,9,,,ＴＩＦＦＩＮ052-526-599211436223104,1cdf2f0e-bdc5-4e6e-a519-3386153cb019,株式会社ＯＶＡ　,4b17c074-1ca9-4487-a836-8b6ccfa7ddd0,54dd0f06-124d-44e4-afbd-8db9823a639a,2021/10/06,ＴＩＦＦＩＮ,ＴＩＦＦＩＮ,株式会社ＯＶＡ　
株式会社　ベスト・モア 代表取締役　三木　規彰,052-934-7746,豚骨麺屋一番軒　則武新町店,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,,飲食店営業,2021/10/6,3西保健第1-277号,2021/10/6,2028/3/20,,245,豚骨麺屋一番軒　則武新町店,052,,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　ベスト・モア ,代表取締役　三木　規彰,052-934-7746,,,,,,,,3西保健第1-277号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,豚骨麺屋一番軒則武新町店11436223104,7c66554d-de45-4137-ae93-2201665c3c3c,株式会社ベスト・モア　,78f5e7e4-de46-41d0-a3f8-a733e8bf725a,c2ffeeff-9af3-4f46-b8b8-3ccc2d678932,2021/10/06,豚骨麺屋一番軒　則武新町店,豚骨麺屋一番軒則武新町店,株式会社ベスト・モア　
株式会社Best Pork 代表取締役社長　安田　哲秀,,豚ステーキ専門店B　名古屋則武新町店,名古屋市西区則武新町三丁目１番１７号　イオンモール名古屋ノリタケガーデン１階,名古屋市西区則武新町３丁目１番１７号 ,イオンモール名古屋ノリタケガーデン１階,462-8588,飲食店営業,2021/10/6,3西保健第1-297号,2021/10/6,2028/3/20,,245,豚ステーキ専門店B　名古屋則武新町店,052,052-462-8588,,,,名古屋市西区則武新町３丁目１番１７号 ,愛知県名古屋市西区則武新町３丁目１番１７号,イオンモール名古屋ノリタケガーデン１階,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社Best Pork ,代表取締役社長　安田　哲秀,,,,,,,,,3西保健第1-297号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,豚ステキ専門店Ｂ名古屋則武新町店052-462-858811436223104,b54807ac-6d51-46ec-9f1d-c813ec129f1c,株式会社Ｂｅｓｔ　Ｐｏｒｋ　,292af393-45be-4785-aed8-c1efacf7e0df,5e78a243-dff4-4833-b1d7-5543d41798f5,2021/10/06,豚ステーキ専門店Ｂ　名古屋則武新町店,豚ステキ専門店Ｂ名古屋則武新町店,株式会社Ｂｅｓｔ　Ｐｏｒｋ　
株式会社みやび屋 代表取締役社長　田辺　雅治,058-214-8874,雅じゃぼ　則武新町店,名古屋市西区則武新町三丁目１番１７号　イオンモール名古屋ノリタケガーデン,名古屋市西区則武新町３丁目１番１７号 ,イオンモール名古屋ノリタケガーデン,,飲食店営業,2021/10/6,3西保健第1-168号,2021/10/6,2028/3/20,,245,雅じゃぼ　則武新町店,052,,,,,名古屋市西区則武新町３丁目１番１７号 ,愛知県名古屋市西区則武新町３丁目１番１７号,イオンモール名古屋ノリタケガーデン,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社みやび屋 ,代表取締役社長　田辺　雅治,058-214-8874,,,,,,,,3西保健第1-168号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,雅じゃぼ則武新町店11436223104,a2558bf7-2e68-4b21-91bc-18d79c0086c0,株式会社みやび屋　,6a6c511f-327f-4f18-bf9e-8ce8fc750949,98cef509-d627-4b5d-a137-9b1090c454c5,2021/10/06,雅じゃぼ　則武新町店,雅じゃぼ則武新町店,株式会社みやび屋　
株式会社　DREAM　ON 代表取締役　赤塚　元気,0586-52-6260,君のハンバーグを食べたい　則武新町店,名古屋市西区則武新町三丁目１番地１７号　１４４区画,名古屋市西区則武新町３丁目１番地１７号,１４４区画,,飲食店営業,2021/10/6,3西保健第1-285号,2021/10/6,2028/3/20,,245,君のハンバーグを食べたい　則武新町店,052,,,,,名古屋市西区則武新町３丁目１番地１７号,愛知県名古屋市西区則武新町３丁目１番地１７号,１４４区画,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　DREAM　ON ,代表取締役　赤塚　元気,0586-52-6260,,,,,,,,3西保健第1-285号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,君のハンバグを食べたい則武新町店11436223104,908d04e8-a48e-4568-a7b9-8995575e3175,株式会社ＤＲＥＡＭ　ＯＮ　,b9a5e39a-7163-404d-b83d-dd0cfdd16b83,52e863f7-71b9-4394-b871-5e81b45411c5,2021/10/06,君のハンバーグを食べたい　則武新町店,君のハンバグを食べたい則武新町店,株式会社ＤＲＥＡＭ　ＯＮ　
株式会社　DREAM　ON 代表取締役　赤塚　元気,0586-52-6260,エスプレッソ ディー ワークス　則武新町店,名古屋市西区則武新町三丁目１番地１７号　１４４区画,名古屋市西区則武新町３丁目１番地１７号,１４４区画,,飲食店営業,2021/10/6,3西保健第1-197号,2021/10/6,2028/3/20,,245,エスプレッソ ディー ワークス　則武新町店,052,,,,,名古屋市西区則武新町３丁目１番地１７号,愛知県名古屋市西区則武新町３丁目１番地１７号,１４４区画,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　DREAM　ON ,代表取締役　赤塚　元気,0586-52-6260,,,,,,,,3西保健第1-197号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,エスプレッソディワクス則武新町店11436223104,e9e2a3d7-7abe-4e9c-bcf4-0b8b4cfae79a,株式会社ＤＲＥＡＭ　ＯＮ　,b9a5e39a-7163-404d-b83d-dd0cfdd16b83,adb998e9-f112-4c50-8c40-85ddc6c4e0ac,2021/10/06,エスプレッソ　ディー　ワークス　則武新町店,エスプレッソディワクス則武新町店,株式会社ＤＲＥＡＭ　ＯＮ　
株式会社　DREAM　ON 代表取締役　赤塚　元気,0586-52-6260,エスプレッソ ディー ワークス　則武新町店,名古屋市西区則武新町三丁目１番地１７号　１４４区画,名古屋市西区則武新町３丁目１番地１７号,１４４区画,,菓子製造業,2021/10/6,3西保健第1-198号,2021/10/6,2028/3/20,,245,エスプレッソ ディー ワークス　則武新町店,052,,,,,名古屋市西区則武新町３丁目１番地１７号,愛知県名古屋市西区則武新町３丁目１番地１７号,１４４区画,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　DREAM　ON ,代表取締役　赤塚　元気,0586-52-6260,,,,,,,,3西保健第1-198号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,E,9,,,エスプレッソディワクス則武新町店11436223104,e9e2a3d7-7abe-4e9c-bcf4-0b8b4cfae79a,株式会社ＤＲＥＡＭ　ＯＮ　,b9a5e39a-7163-404d-b83d-dd0cfdd16b83,edb9fd6c-a336-4ecb-9d85-b515b87e2075,2021/10/06,エスプレッソ　ディー　ワークス　則武新町店,エスプレッソディワクス則武新町店,株式会社ＤＲＥＡＭ　ＯＮ　
株式会社オリジナルあい 代表取締役　纐纈　暁久,0586-86-4800,OCEAN＆TERRE / Gong Cha,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,526-6562,飲食店営業,2021/10/6,3西保健第1-252号,2021/10/6,2028/3/20,,245,OCEAN＆TERRE / Gong Cha,052,052-526-6562,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社オリジナルあい ,代表取締役　纐纈　暁久,0586-86-4800,,,,,,,,3西保健第1-252号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,ＯＣＥＡＮＴＥＲＲＥＧｏｎｇＣｈａ052-526-656211436223104,d71fac49-9072-47d7-844d-b8e447576e1f,株式会社オリジナルあい　,e0391655-7864-477a-bbf7-59e6a726746b,084f937e-ac9c-4cf3-ae9e-edabc08c2d27,2021/10/06,ＯＣＥＡＮ＆ＴＥＲＲＥ　／　Ｇｏｎｇ　Ｃｈａ,ＯＣＥＡＮＴＥＲＲＥＧｏｎｇＣｈａ,株式会社オリジナルあい　
株式会社　角千本店 代表取締役社長　加古　僚太郎,052-901-8591,角千本店,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,526-8870,飲食店営業,2021/10/6,3西保健第1-291号,2021/10/6,2028/3/20,,245,角千本店,052,052-526-8870,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　角千本店 ,代表取締役社長　加古　僚太郎,052-901-8591,,,,,,,,3西保健第1-291号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,角千本店052-526-887011436223104,28ecd330-4724-45b0-9280-cd552a3ce17e,株式会社角千本店　,d2598a8a-b920-497c-8162-1c55e7bb39be,07ff5a5c-131e-4a37-b3a6-f45f348aead3,2021/10/06,角千本店,角千本店,株式会社角千本店　
株式会社　名駅都市開発 代表取締役　鈴木　貞男,052-300-1155,まぐろや石亭　則武新町店,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,526-6420,飲食店営業,2021/10/6,3西保健第1-307号,2021/10/6,2028/3/20,,245,まぐろや石亭　則武新町店,052,052-526-6420,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　名駅都市開発 ,代表取締役　鈴木　貞男,052-300-1155,,,,,,,,3西保健第1-307号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,まぐろや石亭則武新町店052-526-642011436223104,216c05bc-546d-4dfa-82d9-8126e47e902f,株式会社名駅都市開発　,17a6fc4c-691d-45ee-85e5-06155f04563c,4c835d64-0486-40f3-b0a4-ef13fbea2041,2021/10/06,まぐろや石亭　則武新町店,まぐろや石亭則武新町店,株式会社名駅都市開発　
株式会社　イデックス 代表取締役　八木　和典,052-251-3290,べじたん,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,526-3226,飲食店営業,2021/10/6,3西保健第1-254号,2021/10/6,2028/3/20,,245,べじたん,052,052-526-3226,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　イデックス ,代表取締役　八木　和典,052-251-3290,,,,,,,,3西保健第1-254号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,べじたん052-526-322611436223104,adb33bc4-f3fd-4028-9b4b-4737915ece2b,株式会社イデックス　,514e7b6b-f837-4cff-844c-38a9847da9c3,3d0849cc-4629-43f7-afc8-1146f8c25a55,2021/10/06,べじたん,べじたん,株式会社イデックス　
株式会社　食楽 代表取締役　菊地　太陽,0577-62-8286,サーティワンアイスクリーム則武新町店,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,433-5031,飲食店営業,2021/10/6,3西保健第1-210号,2021/10/6,2028/3/20,,245,サーティワンアイスクリーム則武新町店,052,052-433-5031,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社　食楽 ,代表取締役　菊地　太陽,0577-62-8286,,,,,,,,3西保健第1-210号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,サティワンアイスクリム則武新町店052-433-503111436223104,6c85b7e8-e92b-48cd-ab9d-0150c7fb6600,株式会社食楽　,f3d06a25-f347-4906-ba9a-93fba799ba6c,4d6b588c-0e32-4d97-974c-07782e03de4f,2021/10/06,サーティワンアイスクリーム則武新町店,サティワンアイスクリム則武新町店,株式会社食楽　
有限会社　きしめん亭 取締役　柴山　人支,052-452-1955,なごや文六,名古屋市西区則武新町三丁目１番１７号　イオンモール名古屋ノリタケガーデン　３４９区画,名古屋市西区則武新町３丁目１番１７号 ,イオンモール名古屋ノリタケガーデン ３４９区画,526-1955,飲食店営業,2021/10/6,3西保健第1-192号,2021/10/6,2028/3/20,,245,なごや文六,052,052-526-1955,,,,名古屋市西区則武新町３丁目１番１７号 ,愛知県名古屋市西区則武新町３丁目１番１７号,イオンモール名古屋ノリタケガーデン ３４９区画,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,有限会社　きしめん亭 ,取締役　柴山　人支,052-452-1955,,,,,,,,3西保健第1-192号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,なごや文六052-526-195511436223104,acd35908-0b26-4547-9cea-956b993efcbc,有限会社きしめん亭　,1577738a-7f76-4a38-8122-8ae7fa8d0de6,249c1972-b40e-42bb-b8b7-f77077ddef4c,2021/10/06,なごや文六,なごや文六,有限会社きしめん亭　
株式会社YOSHIMI 代表取締役　勝山良美,0115117323,北海道キッチン　YOSHIMI,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,526-4395,飲食店営業,2021/10/6,3西保健第1-319号,2021/10/6,2028/3/20,,245,北海道キッチン　YOSHIMI,052,052-526-4395,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,株式会社YOSHIMI ,代表取締役　勝山良美,011-511-7323,,,,,,,,3西保健第1-319号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,北海道キッチンＹＯＳＨＩＭＩ052-526-439511436223104,bd7319f0-6dca-42c4-9d8e-142d34f1330e,株式会社ＹＯＳＨＩＭＩ　,845fe35a-d6f9-452f-b73d-61b5c27d4ccd,3f235420-0f1f-4558-951b-dbb6b3823b87,2021/10/06,北海道キッチン　ＹＯＳＨＩＭＩ,北海道キッチンＹＯＳＨＩＭＩ,株式会社ＹＯＳＨＩＭＩ　
有限会社　アイ・エス・ビー 代表取締役　浅井　和夫,0598-50-1201,回転焼肉一升びん 名古屋則武新町店,名古屋市西区則武新町三丁目１番１７号　,名古屋市西区則武新町３丁目１番１７号, ,052-433-9666,飲食店営業,2021/10/6,3西保健第1-314号,2021/10/6,2028/3/20,,245,回転焼肉一升びん 名古屋則武新町店,052,052-433-9666,,,,名古屋市西区則武新町３丁目１番１７号,愛知県名古屋市西区則武新町３丁目１番１７号, ,114362,23,23104,則武新町３,,,2021/10/06,2021/10/06,2028/03/20,有限会社　アイ・エス・ビー ,代表取締役　浅井　和夫,0598-50-1201,,,,,,,,3西保健第1-314号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,回転焼肉一升びん名古屋則武新町店052-433-966611436223104,03a7bb88-90fe-4bf8-8599-53bc5d9fed68,有限会社アイ・エス・ビー　,7a91c1a8-bbed-47aa-82c8-8de772f9a552,ae673ca3-f8df-420e-9ddb-5e691bcafde8,2021/10/06,回転焼肉一升びん　名古屋則武新町店,回転焼肉一升びん名古屋則武新町店,有限会社アイ・エス・ビー　
