https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-電話番号1,申請者1,確認番号,許可年月日,業種,申請-電話番号1,開業年月日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所TEL1,営業者名,許可番号,許可開始日,業種,"営業者TEL1
情報公開用",初回許可日,申請区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
Aloha　Amigo,豊島区,西池袋三丁目31番5号,5927-9931,株式会社ゼットン,1-03-01164,令和3年11月19日,1飲食店営業(一般),052-243-2961,令和3年11月19日,新規,,195,Aloha　Amigo,03,03-5927-9931,,,,豊島区　西池袋三丁目31番5号,東京都豊島区西池袋３丁目３１番５号,,74823,13,13116,西池袋３,,2021/11/19,2021/11/19,,,株式会社ゼットン,,052-243-2961,,,,,,,,1-03-01164,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＡｌｏｈａＡｍｉｇｏ03-5927-99317482313116,d29d0929-dee5-44b8-9fac-00bcee5be0dd,株式会社ゼットン,86ed29b5-53ad-462f-9bf4-ade136a5cb71,a7f518d7-8637-48eb-b8c8-af32627af696,2021/11/19,Ａｌｏｈａ　Ａｍｉｇｏ,ＡｌｏｈａＡｍｉｇｏ,株式会社ゼットン
AKABARU　RETZE,豊島区,西池袋三丁目31番15号,6914-0138,株式会社ノーツ,1-03-01177,令和3年11月25日,1飲食店営業(一般),03-3598-4383,令和3年11月25日,新規,,195,AKABARU　RETZE,03,03-6914-0138,,,,豊島区　西池袋三丁目31番15号,東京都豊島区西池袋３丁目３１番１５号,,74823,13,13116,西池袋３,,2021/11/25,2021/11/25,,,株式会社ノーツ,,03-3598-4383,,,,,,,,1-03-01177,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＡＫＡＢＡＲＵＲＥＴＺＥ03-6914-01387482313116,7df3fbe5-3ff6-46ed-82b3-a3011c349f38,株式会社ノーツ,ef0db38e-68b1-4e68-862d-257542087d2d,d8a495fb-40a4-4f37-ab95-415819bf40a5,2021/11/25,ＡＫＡＢＡＲＵ　ＲＥＴＺＥ,ＡＫＡＢＡＲＵＲＥＴＺＥ,株式会社ノーツ
NANATEA&Tsutsumi,豊島区,西池袋三丁目32番5号,070-3539-3002,株式会社リンワン,1-03-01251,,1飲食店営業(一般),6433-5771,,新規,,195,NANATEA&Tsutsumi,03,070-3539-3002,,,,豊島区　西池袋三丁目32番5号,東京都豊島区西池袋３丁目３２番５号,,74823,13,13116,西池袋３,,,,,,株式会社リンワン,,03-6433-5771,,,,,,,,1-03-01251,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＮＡＮＡＴＥＡＴｓｕｔｓｕｍｉ070-3539-30027482313116,5a3f56ee-30ad-46a3-a710-9e6915013257,株式会社リンワン,91af9b1e-c588-4523-b290-f3bc1d794d56,56f4bd36-557a-4503-a69f-b44eb9274e24,2021/11/01,ＮＡＮＡＴＥＡ＆Ｔｓｕｔｓｕｍｉ,ＮＡＮＡＴＥＡＴｓｕｔｓｕｍｉ,株式会社リンワン
NANATEA&Tsutsumi,豊島区,西池袋三丁目32番5号,070-3539-3002,株式会社リンワン,1-03-01252,,11菓子製造業(菓製その他),6433-5771,,新規,,195,NANATEA&Tsutsumi,03,070-3539-3002,,,,豊島区　西池袋三丁目32番5号,東京都豊島区西池袋３丁目３２番５号,,74823,13,13116,西池袋３,,,,,,株式会社リンワン,,03-6433-5771,,,,,,,,1-03-01252,,菓子製造業,(菓製その他),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ＮＡＮＡＴＥＡＴｓｕｔｓｕｍｉ070-3539-30027482313116,5a3f56ee-30ad-46a3-a710-9e6915013257,株式会社リンワン,91af9b1e-c588-4523-b290-f3bc1d794d56,03f0595e-542a-41cd-998c-3bb171322898,2021/11/01,ＮＡＮＡＴＥＡ＆Ｔｓｕｔｓｕｍｉ,ＮＡＮＡＴＥＡＴｓｕｔｓｕｍｉ,株式会社リンワン
すなちゃんの製麺所,豊島区,西池袋三丁目33番17号,,伊藤すなほ,1-03-01294,,24麺類製造業,,,新規,,195,すなちゃんの製麺所,03,,,,,豊島区　西池袋三丁目33番17号,東京都豊島区西池袋３丁目３３番１７号,,74823,13,13116,西池袋３,,,,,,,伊藤すなほ,,,,,,,,,1-03-01294,,麺類製造業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,すなちゃんの製麺所7482313116,ad6cf6c5-2479-47e3-8dcb-356ceadc0947,,personal,d25e99d3-c7e2-4cdb-a569-981155200b7a,2021/11/01,すなちゃんの製麺所,すなちゃんの製麺所,
リングロー株式会社,豊島区,西池袋五丁目1番3号,6747-3600,リングロー株式会社,1-03-01272,令和3年11月30日,11菓子製造業(菓製その他),03-6747-3600,令和3年11月30日,新規,,195,リングロー株式会社,03,03-6747-3600,,,,豊島区　西池袋五丁目1番3号,東京都豊島区西池袋５丁目１番３号,,74825,13,13116,西池袋５,,2021/11/30,2021/11/30,,,リングロー株式会社,,03-6747-3600,,,,,,,,1-03-01272,,菓子製造業,(菓製その他),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,リングロ株式会社03-6747-36007482513116,724dd277-8f5a-432f-af63-616be2b02c94,リングロー株式会社,f92fdcaa-1267-4242-9e82-9ae6ce2a0327,652c2fa8-4b64-4a8a-84b4-c03b4c50fbcc,2021/11/30,リングロー株式会社,リングロ株式会社,リングロー株式会社
神戸牛焼肉　萬貫,豊島区,西池袋五丁目17番12号,5927-9271,君楠株式会社,1-29-01094,平成29年9月19日,【~R3.5】飲食店営業(飲食一般·焼肉等),,平成29年9月19日,新規,,195,神戸牛焼肉　萬貫,03,03-5927-9271,,,,豊島区　西池袋五丁目17番12号,東京都豊島区西池袋５丁目１７番１２号,,74825,13,13116,西池袋５,,2017/09/19,2017/09/19,,,君楠株式会社,,,,,,,,,,1-29-01094,,飲食店営業,(飲食一般·焼肉等),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,神戸牛焼肉萬貫03-5927-92717482513116,0f4a46fe-1d4e-4fa6-8687-49125f55dca7,君楠株式会社,728b5fe4-77fb-4558-9dcb-050f0ea3c91e,89831165-17c1-40aa-aff4-6ec96b7cb78e,2017/09/19,神戸牛焼肉　萬貫,神戸牛焼肉萬貫,君楠株式会社
別邸　壽-kotobuki,豊島区,池袋一丁目1番7号,6903-1610,メイスンワーク株式会社,1-02-01001,令和2年9月1日,【~R3.5】飲食店営業(飲食一般),3974-1419,令和2年9月1日,新規,,195,別邸　壽-kotobuki,03,03-6903-1610,,,,豊島区　池袋一丁目1番7号,東京都豊島区池袋１丁目１番７号,,74776,13,13116,池袋１,,2020/09/01,2020/09/01,,,メイスンワーク株式会社,,03-3974-1419,,,,,,,,1-02-01001,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,別邸壽ｋｏｔｏｂｕｋｉ03-6903-16107477613116,85afa7c7-b7ed-4936-8fdd-f3e3f8b29398,メイスンワーク株式会社,78cda03e-c39e-43c1-afdb-f22367bbfea8,dc914fe0-d84d-4f9c-a6e2-6f12afd18eb7,2020/09/01,別邸　壽－ｋｏｔｏｂｕｋｉ,別邸壽ｋｏｔｏｂｕｋｉ,メイスンワーク株式会社
異世界カフェ&バー みらーじゅ,豊島区,池袋二丁目4番3号,,合同会社KBYS,1-03-01289,,1飲食店営業(一般),,,新規,,195,異世界カフェ&バー みらーじゅ,03,,,,,豊島区　池袋二丁目4番3号,東京都豊島区池袋２丁目４番３号,,74777,13,13116,池袋２,,,,,,合同会社KBYS,,,,,,,,,,1-03-01289,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,異世界カフェバみらじゅ7477713116,86c2555a-e053-4dc3-a462-1ea76f176b2f,合同会社ＫＢＹＳ,64adb7a3-c46e-4ed3-be92-8516ef5ce27a,91fa06fc-3752-4003-9e54-30add6e9e91d,2021/11/01,異世界カフェ＆バー　みらーじゅ,異世界カフェバみらじゅ,合同会社ＫＢＹＳ
Cafe&Bar　Lovely　Doll,豊島区,池袋二丁目7番5号,03-6384-7677,株式会社コズミック,1-03-01254,令和3年11月30日,1飲食店営業(一般),,令和3年11月30日,新規,,195,Cafe&Bar　Lovely　Doll,03,03-6384-7677,,,,豊島区　池袋二丁目7番5号,東京都豊島区池袋２丁目７番５号,,74777,13,13116,池袋２,,2021/11/30,2021/11/30,,,株式会社コズミック,,,,,,,,,,1-03-01254,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＣａｆｅＢａｒＬｏｖｅｌｙＤｏｌｌ03-6384-76777477713116,816d4f0c-3568-4ac5-a76f-9bbab3570e95,株式会社コズミック,ff2637ef-6d28-42e1-82ae-93a491745cc5,013e4f94-3f73-4426-890f-5dd07efbf8b4,2021/11/30,Ｃａｆｅ＆Ｂａｒ　Ｌｏｖｅｌｙ　Ｄｏｌｌ,ＣａｆｅＢａｒＬｏｖｅｌｙＤｏｌｌ,株式会社コズミック
ETERNAL,豊島区,池袋二丁目7番5号,,小野寺航,1-03-01287,,1飲食店営業(一般),,,新規,,195,ETERNAL,03,,,,,豊島区　池袋二丁目7番5号,東京都豊島区池袋２丁目７番５号,,74777,13,13116,池袋２,,,,,,,小野寺航,,,,,,,,,1-03-01287,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＥＴＥＲＮＡＬ7477713116,8b41b109-8f04-4ce4-8204-5b28550d4bb4,,personal,78b1ccb7-b268-409e-aa98-0848cf813c4c,2021/11/01,ＥＴＥＲＮＡＬ,ＥＴＥＲＮＡＬ,
OREZ　BAR,豊島区,池袋二丁目8番3号,6770-6586,株式会社OREZ,1-03-01197,令和3年11月15日,1飲食店営業(一般),6770-6586,令和3年11月15日,新規,,195,OREZ　BAR,03,03-6770-6586,,,,豊島区　池袋二丁目8番3号,東京都豊島区池袋２丁目８番３号,,74777,13,13116,池袋２,,2021/11/15,2021/11/15,,,株式会社OREZ,,03-6770-6586,,,,,,,,1-03-01197,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＯＲＥＺＢＡＲ03-6770-65867477713116,302d1ad8-77be-4937-b621-49d903808001,株式会社ＯＲＥＺ,207fad6f-d0d0-4339-ae61-aaf1b5306d1c,ae929745-e5b9-4a5b-82c3-223adfeb33bf,2021/11/15,ＯＲＥＺ　ＢＡＲ,ＯＲＥＺＢＡＲ,株式会社ＯＲＥＺ
BLACK　CAT,豊島区,池袋二丁目8番5号,,八田美輝,1-03-01187,令和3年11月9日,1飲食店営業(一般),,令和3年11月9日,新規,,195,BLACK　CAT,03,,,,,豊島区　池袋二丁目8番5号,東京都豊島区池袋２丁目８番５号,,74777,13,13116,池袋２,,2021/11/09,2021/11/09,,,,八田美輝,,,,,,,,,1-03-01187,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＢＬＡＣＫＣＡＴ7477713116,2a619459-c0e3-4d79-8ba6-4157afbdee3d,,personal,7b6a69e7-82b0-462d-8d77-c42b4dc38069,2021/11/09,ＢＬＡＣＫ　ＣＡＴ,ＢＬＡＣＫＣＡＴ,
LOUNGE　ACTOR,豊島区,池袋二丁目10番3号,03-5924-6755,合同会社アクター,1-03-01169,令和3年11月9日,1飲食店営業(一般),,令和3年11月9日,新規,,195,LOUNGE　ACTOR,03,03-5924-6755,,,,豊島区　池袋二丁目10番3号,東京都豊島区池袋２丁目１０番３号,,74777,13,13116,池袋２,,2021/11/09,2021/11/09,,,合同会社アクター,,,,,,,,,,1-03-01169,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＬＯＵＮＧＥＡＣＴＯＲ03-5924-67557477713116,99b362ec-7aa8-4026-bae2-32a5ea60d96e,合同会社アクター,78d3b5ad-85ef-4673-99e5-3bddb84ed293,376d40af-9acd-463d-a15e-4d2a2345b275,2021/11/09,ＬＯＵＮＧＥ　ＡＣＴＯＲ,ＬＯＵＮＧＥＡＣＴＯＲ,合同会社アクター
サイゼリヤ　池袋西口,豊島区,池袋二丁目13番1号,5985-2234,株式会社サイゼリヤ,1-03-01166,令和3年11月8日,1飲食店営業(一般),0489-91-9611,令和3年11月8日,新規,,195,サイゼリヤ　池袋西口,03,03-5985-2234,,,,豊島区　池袋二丁目13番1号,東京都豊島区池袋２丁目１３番１号,,74777,13,13116,池袋２,,2021/11/08,2021/11/08,,,株式会社サイゼリヤ,,0489-91-9611,,,,,,,,1-03-01166,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,サイゼリヤ池袋西口03-5985-22347477713116,4b0d004e-9f6b-496e-b46f-d7590c4d981a,株式会社サイゼリヤ,5562d9a0-575c-4b8f-a0e7-c63b8b95a7cc,35efc2c2-473b-472e-b6c5-bea12c79f95c,2021/11/08,サイゼリヤ　池袋西口,サイゼリヤ池袋西口,株式会社サイゼリヤ
バレル　ハウス,豊島区,池袋二丁目22番5号,,園山 聡,1-02-00073,令和2年5月1日,【~R3.5】飲食店営業(飲食一般·スナック),※※※※※,平成11年4月12日,更新,,195,バレル　ハウス,03,,,,,豊島区　池袋二丁目22番5号,東京都豊島区池袋２丁目２２番５号,,74777,13,13116,池袋２,,1999/04/12,2020/05/01,,,,園山 聡,,,,,,,,,1-02-00073,,飲食店営業,(飲食一般·スナック),更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,バレルハウス7477713116,c574ba88-43f8-413e-a970-b88ad9cf1219,,personal,bfe3d16c-29f7-4ff8-97aa-10a7cbe900a1,2020/05/01,バレル　ハウス,バレルハウス,
なぜ蕎麦にラー油を入れるのか。池袋西口店,豊島区,池袋二丁目23番3号,03-6914-2363,株式会社のみもの,1-03-01156,令和3年11月8日,1飲食店営業(一般),03-6264-9351,令和3年11月8日,新規,,195,なぜ蕎麦にラー油を入れるのか。池袋西口店,03,03-6914-2363,,,,豊島区　池袋二丁目23番3号,東京都豊島区池袋２丁目２３番３号,,74777,13,13116,池袋２,,2021/11/08,2021/11/08,,,株式会社のみもの,,03-6264-9351,,,,,,,,1-03-01156,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,なぜ蕎麦にラ油を入れるのか池袋西口店03-6914-23637477713116,62764221-4b90-415a-8d1e-f03187247b66,株式会社のみもの,af5c72c3-90fe-4c45-9da3-c65328de728c,f97f1c07-f85e-479d-bf95-127ecea48c49,2021/11/08,なぜ蕎麦にラー油を入れるのか。池袋西口店,なぜ蕎麦にラ油を入れるのか池袋西口店,株式会社のみもの
スナック　夏,豊島区,池袋二丁目23番3号,3980-8876,吉松 知夏,1-03-01243,,1飲食店営業(一般),※※※※※,,新規,,195,スナック　夏,03,03-3980-8876,,,,豊島区　池袋二丁目23番3号,東京都豊島区池袋２丁目２３番３号,,74777,13,13116,池袋２,,,,,,,吉松 知夏,,,,,,,,,1-03-01243,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,スナック夏03-3980-88767477713116,8cce71a6-bd2c-46ea-ae62-fefba6a2c5f4,,personal,c133737c-81e1-4efa-9d07-3b53dfedf6a8,2021/11/01,スナック　夏,スナック夏,
cococala,豊島区,池袋二丁目40番1号,03-5843-3555,山本友裕,1-03-01267,令和3年11月25日,1飲食店営業(一般),,令和3年11月25日,新規,,195,cococala,03,03-5843-3555,,,,豊島区　池袋二丁目40番1号,東京都豊島区池袋２丁目４０番１号,,74777,13,13116,池袋２,,2021/11/25,2021/11/25,,,,山本友裕,,,,,,,,,1-03-01267,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ｃｏｃｏｃａｌａ03-5843-35557477713116,cb07b8a8-1c59-4e5b-874a-eb5b0284bb17,,personal,0e35dd67-c8f9-4569-9d59-34982960f28c,2021/11/25,ｃｏｃｏｃａｌａ,ｃｏｃｏｃａｌａ,
いきなりステーキ　池袋西口店,豊島区,池袋二丁目40番13号,6914-3629,株式会社ペッパーフードサービス,1-03-01201,令和3年11月15日,1飲食店営業(一般),3829-3210,令和3年11月15日,新規,,195,いきなりステーキ　池袋西口店,03,03-6914-3629,,,,豊島区　池袋二丁目40番13号,東京都豊島区池袋２丁目４０番１３号,,74777,13,13116,池袋２,,2021/11/15,2021/11/15,,,株式会社ペッパーフードサービス,,03-3829-3210,,,,,,,,1-03-01201,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,いきなりステキ池袋西口店03-6914-36297477713116,99d5836d-f53b-4125-a264-373871d131af,株式会社ペッパーフードサービス,9fdadcc1-f1cf-48d5-8856-122d9eaf27fb,b93c7e1e-bba3-4f40-ab17-dcf37b14d6be,2021/11/15,いきなりステーキ　池袋西口店,いきなりステキ池袋西口店,株式会社ペッパーフードサービス
BICHA·美茶,豊島区,池袋二丁目42番9号,,ひろまさ合同会社,1-30-00473,平成30年6月6日,【~R3.5】喫茶店営業(喫茶店舗),03-6879-4592,平成30年6月6日,新規,,195,BICHA·美茶,03,,,,,豊島区　池袋二丁目42番9号,東京都豊島区池袋２丁目４２番９号,,74777,13,13116,池袋２,,2018/06/06,2018/06/06,,,ひろまさ合同会社,,03-6879-4592,,,,,,,,1-30-00473,,喫茶店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＢＩＣＨＡ美茶7477713116,6273f859-1d05-427a-bf58-1a2cacaa3f1d,ひろまさ合同会社,10ddb4af-c47d-49bc-aeb6-599e0755bd83,bcda9cdb-22cd-488f-bb3c-387a3e800a00,2018/06/06,ＢＩＣＨＡ・美茶,ＢＩＣＨＡ美茶,ひろまさ合同会社
Trinity,豊島区,池袋二丁目47番7号,03-6914-1715,吉松靖雄,1-03-01258,令和3年11月22日,1飲食店営業(一般),,令和3年11月22日,新規,,195,Trinity,03,03-6914-1715,,,,豊島区　池袋二丁目47番7号,東京都豊島区池袋２丁目４７番７号,,74777,13,13116,池袋２,,2021/11/22,2021/11/22,,,,吉松靖雄,,,,,,,,,1-03-01258,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,Ｔｒｉｎｉｔｙ03-6914-17157477713116,413610cf-340e-4361-9eac-c93e50a7d375,,personal,1476e113-bb4a-4a7b-8dc2-33f9ec612e7a,2021/11/22,Ｔｒｉｎｉｔｙ,Ｔｒｉｎｉｔｙ,
ギルド,豊島区,池袋二丁目48番2号,,伏木千加子,1-03-01209,令和3年11月16日,1飲食店営業(一般),,令和3年11月16日,新規,,195,ギルド,03,,,,,豊島区　池袋二丁目48番2号,東京都豊島区池袋２丁目４８番２号,,74777,13,13116,池袋２,,2021/11/16,2021/11/16,,,,伏木千加子,,,,,,,,,1-03-01209,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ギルド7477713116,f633e66c-40d2-414b-b8cf-3ae58e5beae9,,personal,d9591aba-bc79-4832-9beb-f2553091cdad,2021/11/16,ギルド,ギルド,
ドミノ·ピザ池袋二丁目,豊島区,池袋二丁目61番7号,5396-7177,株式会社ドミノ·ピザジャパン,1-02-00799,令和2年8月4日,【~R3.5】飲食店営業(飲食一般),03-5820-3794,令和2年8月4日,新規,,195,ドミノ·ピザ池袋二丁目,03,03-5396-7177,,,,豊島区　池袋二丁目61番7号,東京都豊島区池袋２丁目６１番７号,,74777,13,13116,池袋２,,2020/08/04,2020/08/04,,,株式会社ドミノ·ピザジャパン,,03-5820-3794,,,,,,,,1-02-00799,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ドミノピザ池袋二丁目03-5396-71777477713116,ea345b63-26db-48f6-80b7-73051dbddd83,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,30e7fec7-ecee-4776-8151-669f3f0450c6,2020/08/04,ドミノ・ピザ池袋二丁目,ドミノピザ池袋二丁目,株式会社ドミノ・ピザジャパン
ドミノ·ピザ池袋二丁目,豊島区,池袋二丁目61番7号,5396-7177,株式会社ドミノ·ピザジャパン,1-02-00800,令和2年8月4日,【~R3.5】菓子製造業(パン製造業),03-5820-3794,令和2年8月4日,新規,,195,ドミノ·ピザ池袋二丁目,03,03-5396-7177,,,,豊島区　池袋二丁目61番7号,東京都豊島区池袋２丁目６１番７号,,74777,13,13116,池袋２,,2020/08/04,2020/08/04,,,株式会社ドミノ·ピザジャパン,,03-5820-3794,,,,,,,,1-02-00800,,菓子製造業,(パン製造業),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ドミノピザ池袋二丁目03-5396-71777477713116,ea345b63-26db-48f6-80b7-73051dbddd83,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,2332c7b3-7871-4ee2-9b12-5fca0d770a6a,2020/08/04,ドミノ・ピザ池袋二丁目,ドミノピザ池袋二丁目,株式会社ドミノ・ピザジャパン
タイ料理ピラブカウ,豊島区,池袋二丁目62番3号,3971-1518,有限会社タイヤワラー,1-02-00915,令和2年9月1日,【~R3.5】飲食店営業(飲食一般),5911-1179,平成18年8月31日,更新,,195,タイ料理ピラブカウ,03,03-3971-1518,,,,豊島区　池袋二丁目62番3号,東京都豊島区池袋２丁目６２番３号,,74777,13,13116,池袋２,,2006/08/31,2020/09/01,,,有限会社タイヤワラー,,03-5911-1179,,,,,,,,1-02-00915,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,タイ料理ピラブカウ03-3971-15187477713116,52f1460d-e66c-43c0-a8d9-2e1f4af6b76e,有限会社タイヤワラー,2ac004c5-afdb-4e2c-83a5-87e89da42c4d,5e2becbf-9f66-4452-af68-9cb82ce9af8f,2020/09/01,タイ料理ピラブカウ,タイ料理ピラブカウ,有限会社タイヤワラー
おべんとラボ　池袋キッチン,豊島区,池袋三丁目60番5号,3981-5389,株式会社塚田農場プラス,1-03-01277,,1飲食店営業(一般),6450-1942,,新規,,195,おべんとラボ　池袋キッチン,03,03-3981-5389,,,,豊島区　池袋三丁目60番5号,東京都豊島区池袋３丁目６０番５号,,74778,13,13116,池袋３,,,,,,株式会社塚田農場プラス,,03-6450-1942,,,,,,,,1-03-01277,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,おべんとラボ池袋キッチン03-3981-53897477813116,6a46633f-20af-4bd5-a8f4-5c5b1c5caab1,株式会社塚田農場プラス,2db39df0-11d2-4cb0-a817-0324a9157645,3dcadf04-cf9d-4107-b40d-c72b9c22344e,2021/11/01,おべんとラボ　池袋キッチン,おべんとラボ池袋キッチン,株式会社塚田農場プラス
Cco　Kio　Chicken,豊島区,池袋本町二丁目7番5号,6709-4777,株式会社楽園餅,1-02-01867,令和2年12月28日,【~R3.5】飲食店営業(飲食惣菜),03-679-4777,令和2年12月28日,新規,,195,Cco　Kio　Chicken,03,03-6709-4777,,,,豊島区　池袋本町二丁目7番5号,東京都豊島区池袋本町２丁目７番５号,,74781,13,13116,池袋本町２,,2020/12/28,2020/12/28,,,株式会社楽園餅,,03-679-4777,,,,,,,,1-02-01867,,飲食店営業,(飲食惣菜),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＣｃｏＫｉｏＣｈｉｃｋｅｎ03-6709-47777478113116,1059627e-8b6c-47f5-9419-ca5944e5b6c0,株式会社楽園餅,f96bb995-aa65-4244-813f-fbb7d565e429,97069083-29b0-4714-a6ee-6356c8565fed,2020/12/28,Ｃｃｏ　Ｋｉｏ　Ｃｈｉｃｋｅｎ,ＣｃｏＫｉｏＣｈｉｃｋｅｎ,株式会社楽園餅
うまいもん処よしの,豊島区,池袋本町二丁目13番13号,5396-3231,大野正夫,1-03-01207,令和3年11月18日,1飲食店営業(一般),※※※※※,令和3年11月18日,新規,,195,うまいもん処よしの,03,03-5396-3231,,,,豊島区　池袋本町二丁目13番13号,東京都豊島区池袋本町２丁目１３番１３号,,74781,13,13116,池袋本町２,,2021/11/18,2021/11/18,,,,大野正夫,,,,,,,,,1-03-01207,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,うまいもん処よしの03-5396-32317478113116,e77be35e-d853-45ce-9015-e626ab1f8499,,personal,3f04cb07-ca19-4377-8e86-d65c7c1db231,2021/11/18,うまいもん処よしの,うまいもん処よしの,
合資会社亀屋,豊島区,池袋本町二丁目15番14号,3971-1902,合資会社亀屋,1-03-01279,,11菓子製造業(生菓子·和生菓子),3971-1902,,新規,,195,合資会社亀屋,03,03-3971-1902,,,,豊島区　池袋本町二丁目15番14号,東京都豊島区池袋本町２丁目１５番１４号,,74781,13,13116,池袋本町２,,,,,,合資会社亀屋,,03-3971-1902,,,,,,,,1-03-01279,,菓子製造業,（生菓子・和生菓子）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,合資会社亀屋03-3971-19027478113116,59ec2a19-5c2b-4a5e-9011-f9e397b42c37,合資会社亀屋,bb8a46bd-e61e-4c2c-abbf-046402f74dfd,ec57b80f-e1eb-4dd8-99f3-683f8117be16,2021/11/01,合資会社亀屋,合資会社亀屋,合資会社亀屋
