,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オンマの台所,茨城県日立市鹿島町１－２０－１７大和田ビル１０１,茨城県日立市鹿島町１－２０－１７,大和田ビル１０１,0294-77-0086,飲食店営業,その他,金田　和美,,,,,,2022/07/14,2022/07/14,日保指令法第220286号,,日立保健所,オンマの台所,0294,0294-77-0086,,,,茨城県日立市鹿島町１－２０－１７,茨城県日立市鹿島町１－２０－１７,大和田ビル１０１,53785,茨城県,日立市,鹿島町１,,2022/07/14,2022/07/14,,,,,,,,,,,,,日保指令法第220286号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,オンマの台所,オンマの台所,,,1,,,,,
イオン下妻店　ホットデリカ,茨城県下妻市堀篭972-1,茨城県下妻市堀篭９７２－１,,0296-30-1700,飲食店営業,そうざい,イオンリテール株式会社,井出　武美,千葉県千葉市美浜区中瀬1-5-1,千葉県千葉市美浜区中瀬１－５－１,,043-212-6071,2022/07/14,2022/07/14,筑保指令法第220316号,,筑西保健所,イオン下妻店　ホットデリカ,0296,0296-30-1700,,,,茨城県下妻市堀篭９７２－１,茨城県下妻市堀篭９７２－１,,54658,茨城県,下妻市,堀篭,,2022/07/14,2022/07/14,,,イオンリテール株式会社,井出　武美,043-212-6071,千葉県千葉市美浜区中瀬１－５－１,千葉県千葉市美浜区中瀬１－５－１,,67424,千葉県,千葉市美浜区,中瀬１,筑保指令法第220316号,,飲食店営業, そうざい,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,イオン下妻店　ホットデリカ,イオン下妻店ホットデリカ,イオンリテール株式会社,,1,,,,,
㈱キンレイ筑波工場,茨城県稲敷郡阿見町香澄の里13-5,茨城県稲敷郡阿見町香澄の里１３－５,,029-889-0545,複合型冷凍食品製造業,複合型冷凍食品製造業,㈱キンレイ,白潟　昌彦,京都府京都市伏見区南浜町247,京都府京都市伏見区南浜町２４７,,,2022/07/14,2022/07/14,竜保指令法第220412号,,竜ケ崎保健所,㈱キンレイ筑波工場,029,029-889-0545,,,,茨城県稲敷郡阿見町香澄の里１３－５,茨城県稲敷郡阿見町香澄ノ里１３－５,,57155,茨城県,稲敷郡阿見町,香澄の里,,2022/07/14,2022/07/14,,,㈱キンレイ,白潟　昌彦,,京都府京都市伏見区南浜町２４７,京都府京都市伏見区南浜町２４７,,147654,京都府,京都市伏見区,南浜町,竜保指令法第220412号,,冷凍食品製造業, 複合型冷凍食品製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,株式会社キンレイ筑波工場,株式会社キンレイ筑波工場,株式会社キンレイ,,1,,,,,
和食 ふじや支店,茨城県筑西市海老ケ島1058-5,茨城県筑西市海老ケ島１０５８－５,,0296-52-3345,飲食店営業,一般食堂・レストラン,藤木 雅之,,,,,,2022/07/14,2022/07/14,筑保指令法第220320号,,筑西保健所,和食 ふじや支店,0296,0296-52-3345,,,,茨城県筑西市海老ケ島１０５８－５,茨城県筑西市海老が島１０５８－５,,56128,茨城県,筑西市,海老が島,,2022/07/14,2022/07/14,,,,,,,,,,,,,筑保指令法第220320号,,飲食店営業, 一般食堂・レストラン,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,和食　ふじや支店,和食ふじや支店,,,1,,,,,
増田屋,茨城県筑西市関本分中378-2,茨城県筑西市関本分中３７８－２,,0296-37-6107,飲食店営業,その他,増田 正子,,,,,,2022/07/14,2022/07/14,筑保指令法第220321号,,筑西保健所,増田屋,0296,0296-37-6107,,,,茨城県筑西市関本分中３７８－２,茨城県筑西市関本分中３７８－２,,56198,茨城県,筑西市,関本分中,,2022/07/14,2022/07/14,,,,,,,,,,,,,筑保指令法第220321号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,増田屋,増田屋,,,1,,,,,
ＤＡＩＤＯＫＯＲＯＹＡ　結,茨城県ひたちなか市勝田中央3-4,茨城県ひたちなか市勝田中央３－４,,,飲食店営業,その他,高安　みゆき,,,,,,2022/07/15,2022/07/15,ひ保指令法第220520号,,ひたちなか保健所,ＤＡＩＤＯＫＯＲＯＹＡ　結,029,,,,,茨城県ひたちなか市勝田中央３－４,茨城県ひたちなか市勝田中央３－４,,55629,茨城県,ひたちなか市,勝田中央,,2022/07/15,2022/07/15,,,,,,,,,,,,,ひ保指令法第220520号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＤＡＩＤＯＫＯＲＯＹＡ　結,ＤＡＩＤＯＫＯＲＯＹＡ結,,,1,,,,,
丸鴨,茨城県ひたちなか市元町8-6-102,茨城県ひたちなか市元町８－６,１０２,,飲食店営業,その他,鴨志田　修一,,,,,,2022/07/15,2022/07/15,ひ保指令法第220521号,,ひたちなか保健所,丸鴨,029,,,,,茨城県ひたちなか市元町８－６,茨城県ひたちなか市元町８－６,１０２,55733,茨城県,ひたちなか市,元町,,2022/07/15,2022/07/15,,,,,,,,,,,,,ひ保指令法第220521号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,丸鴨,丸鴨,,,1,,,,,
就労支援事業所　直売所　サンファームなるみ,茨城県那珂市飯田2743-2,茨城県那珂市飯田２７４３－２,,029-295-9700,漬物製造業,漬物製造業,社会福祉法人　実誠会　,理事長　仲田　實,茨城県那珂市飯田2529-1,茨城県那珂市飯田２５２９－１,,029-295-9100,2022/07/15,2022/07/15,ひ保指令法第220518号,,ひたちなか保健所,就労支援事業所　直売所　サンファームなるみ,029,029-295-9700,,,,茨城県那珂市飯田２７４３－２,茨城県那珂市飯田２７４３－２,,56062,茨城県,那珂市,飯田,,2022/07/15,2022/07/15,,,社会福祉法人　実誠会　,理事長　仲田　實,029-295-9100,茨城県那珂市飯田２５２９－１,茨城県那珂市飯田２５２９－１,,56062,茨城県,那珂市,飯田,ひ保指令法第220518号,,漬物製造業, 漬物製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,就労支援事業所　直売所　サンファームなるみ,就労支援事業所直売所サンファムなるみ,社会福祉法人実誠会　,,1,,,,,
下町の大統領,茨城県日立市東滑川町５－１－３シーマークスクエアフードコート内,茨城県日立市東滑川町５－１－３,シーマークスクエアフードコート内,,飲食店営業,その他,株式会社宝箱,飛田　宏明,茨城県日立市みなと町７－２,茨城県日立市みなと町７－２,,0294-52-3244,2022/07/15,2022/07/15,日保指令法第220288号,,日立保健所,下町の大統領,0294,,,,,茨城県日立市東滑川町５－１－３,茨城県日立市東滑川町５－１－３,シーマークスクエアフードコート内,53977,茨城県,日立市,東滑川町５,,2022/07/15,2022/07/15,,,株式会社宝箱,飛田　宏明,0294-52-3244,茨城県日立市みなと町７－２,茨城県日立市みなと町７－２,,53978,茨城県,日立市,みなと町,日保指令法第220288号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,下町の大統領,下町の大統領,株式会社宝箱,,1,,,,,
ＣＡＦＥ　ｖｉ　ｄｏｔ,茨城県神栖市波崎4781-55,茨城県神栖市波崎４７８１－５５,,090-5331-7489,飲食店営業,その他,宮内　さとみ,,,,,,2022/07/15,2022/07/15,潮保指令法第220468号,,潮来保健所,ＣＡＦＥ　ｖｉ　ｄｏｔ,0479,090-5331-7489,,,,茨城県神栖市波崎４７８１－５５,茨城県神栖市波崎４７８１－５５,,56658,茨城県,神栖市,波崎,,2022/07/15,2022/07/15,,,,,,,,,,,,,潮保指令法第220468号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＣＡＦＥ　ｖｉ　ｄｏｔ,ＣＡＦＥｖｉｄｏｔ,,,1,,,,,
とり栄,茨城県鉾田市舟木202-57,茨城県鉾田市舟木２０２－５７,,,飲食店営業,その他,木村　栄,,,,,,2022/07/15,2022/07/15,潮保指令法第220467号,,潮来保健所,とり栄,0291,,,,,茨城県鉾田市舟木２０２－５７,茨城県鉾田市舟木２０２－５７,,56805,茨城県,鉾田市,舟木,,2022/07/15,2022/07/15,,,,,,,,,,,,,潮保指令法第220467号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,とり栄,とり栄,,,2,,,,,
とり栄,茨城県鉾田市舟木202-57,茨城県鉾田市舟木２０２－５７,,,食肉処理業,食肉処理業,木村　栄,,,,,,2022/07/15,2022/07/15,潮保指令法第220466号,,潮来保健所,とり栄,0291,,,,,茨城県鉾田市舟木２０２－５７,茨城県鉾田市舟木２０２－５７,,56805,茨城県,鉾田市,舟木,,2022/07/15,2022/07/15,,,,,,,,,,,,,潮保指令法第220466号,,食肉販売業, 食肉処理業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,とり栄,とり栄,,,2,,,,,
オステリア　ディ　クオーレ,茨城県取手市宮和田1006-60,茨城県取手市宮和田１００６－６０,,0297-94-0401,飲食店営業,一般食堂・レストラン,安部　貴之,,,,,,2022/07/15,2022/07/15,竜保指令法第220415号,,竜ケ崎保健所,オステリア　ディ　クオーレ,0297,0297-94-0401,,,,茨城県取手市宮和田１００６－６０,茨城県取手市宮和田１００６－６０,,55200,茨城県,取手市,宮和田,,2022/07/15,2022/07/15,,,,,,,,,,,,,竜保指令法第220415号,,飲食店営業, 一般食堂・レストラン,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,オステリア　ディ　クオーレ,オステリアディクオレ,,,1,,,,,
パンプキンズコーポレーション　かんの産婦人科クリニック厨房店,茨城県取手市藤代1076,茨城県取手市藤代１０７６,,0297-83-0321,飲食店営業,その他,株式会社パンプキンズコーポレーション,緒方　正煕,東京都府中市宮町1-40,東京都府中市宮町１－４０,,042-336-0211,2022/07/15,2022/07/15,竜保指令法第220416号,,竜ケ崎保健所,パンプキンズコーポレーション　かんの産婦人科クリニック厨房店,0297,0297-83-0321,,,,茨城県取手市藤代１０７６,茨城県取手市藤代１０７６,,55196,茨城県,取手市,藤代,,2022/07/15,2022/07/15,,,株式会社パンプキンズコーポレーション,緒方　正煕,042-336-0211,東京都府中市宮町１－４０,東京都府中市宮町１－４０,,76644,東京都,府中市,宮町１,竜保指令法第220416号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,パンプキンズコーポレーション　かんの産婦人科クリニック厨房店,パンプキンズコポレションかんの産婦人科クリニック厨房店,株式会社パンプキンズコーポレーション,,1,,,,,
弁当屋　トポス,茨城県牛久市小坂町1929-150,茨城県牛久市小坂町１９２９－１５０,,029-828-8037,そうざい製造業,そうざい製造業,一般財団法人　おひさま,小林　幸子,茨城県牛久市小坂町1929-150,茨城県牛久市小坂町１９２９－１５０,,029-828-8037,2022/07/15,2022/07/15,竜保指令法第220417号,,竜ケ崎保健所,弁当屋　トポス,029,029-828-8037,,,,茨城県牛久市小坂町１９２９－１５０,茨城県牛久市小坂町１９２９－１５０,,55222,茨城県,牛久市,小坂町,,2022/07/15,2022/07/15,,,一般財団法人　おひさま,小林　幸子,029-828-8037,茨城県牛久市小坂町１９２９－１５０,茨城県牛久市小坂町１９２９－１５０,,55222,茨城県,牛久市,小坂町,竜保指令法第220417号,,そうざい製造業, そうざい製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,弁当屋　トポス,弁当屋トポス,一般財団法人おひさま,,1,,,,,
居酒屋　はな,茨城県稲敷郡阿見町荒川本郷1329-137,茨城県稲敷郡阿見町荒川本郷１３２９－１３７,,,飲食店営業,その他,小松澤　ひろみ,,,,,,2022/07/15,2022/07/15,竜保指令法第220418号,,竜ケ崎保健所,居酒屋　はな,029,,,,,茨城県稲敷郡阿見町荒川本郷１３２９－１３７,茨城県稲敷郡阿見町荒川本郷１３２９－１３７,,57135,茨城県,稲敷郡阿見町,荒川本郷,,2022/07/15,2022/07/15,,,,,,,,,,,,,竜保指令法第220418号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,居酒屋　はな,居酒屋はな,,,1,,,,,
食処　のれん,茨城県稲敷郡美浦村土屋1979-1,茨城県稲敷郡美浦村土屋１９７９－１,,029-891-7878,飲食店営業,その他,㈲ユースフル,酒井　久夫,茨城県稲敷郡美浦村信太2828-1,茨城県稲敷郡美浦村信太２８２８－１,,029-885-3390,2022/07/15,2022/07/15,竜保指令法第220419号,,竜ケ崎保健所,食処　のれん,029,029-891-7878,,,,茨城県稲敷郡美浦村土屋１９７９－１,茨城県稲敷郡美浦村土屋１９７９－１,,57248,茨城県,稲敷郡美浦村,土屋,,2022/07/15,2022/07/15,,,㈲ユースフル,酒井　久夫,029-885-3390,茨城県稲敷郡美浦村信太２８２８－１,茨城県稲敷郡美浦村信太２８２８－１,,57228,茨城県,稲敷郡美浦村,信太,竜保指令法第220419号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,食処　のれん,食処のれん,有限会社ユースフル,,1,,,,,
お食事処．田舎,茨城県土浦市永井1322-2,茨城県土浦市永井１３２２－２,,,飲食店営業,一般食堂・レストラン,三浦　精幸,,,,,,2022/07/15,2022/07/15,土保指令法第220389号,,土浦保健所,お食事処．田舎,029,,,,,茨城県土浦市永井１３２２－２,茨城県土浦市永井１３２２－２,,54192,茨城県,土浦市,永井,,2022/07/15,2022/07/15,,,,,,,,,,,,,土保指令法第220389号,,飲食店営業, 一般食堂・レストラン,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,お食事処．田舎,お食事処田舎,,,1,,,,,
鉄板焼あっちっち,茨城県筑西市外塚745-2,茨城県筑西市外塚７４５－２,,0296-24-2525,飲食店営業,その他,(株)アルタプロモーション,草間　守,茨城県筑西市幸町2-6-11,茨城県筑西市幸町２－６－１１,,0296-28-6637,2022/07/15,2022/07/15,筑保指令法第220322号,,筑西保健所,鉄板焼あっちっち,0296,0296-24-2525,,,,茨城県筑西市外塚７４５－２,茨城県筑西市外塚７４５－２,,56212,茨城県,筑西市,外塚,,2022/07/15,2022/07/15,,,(株)アルタプロモーション,草間　守,0296-28-6637,茨城県筑西市幸町２－６－１１,茨城県筑西市幸町２－６－１１,,56169,茨城県,筑西市,幸町２,筑保指令法第220322号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,鉄板焼あっちっち,鉄板焼あっちっち,株式会社アルタプロモーション,,1,,,,,
Ｈｏｎｅｙ　Ｔｒａｐ,茨城県古河市駒羽根766,茨城県古河市駒羽根７６６,,,飲食店営業,その他,小沢　真由美,,,,,,2022/07/15,2022/07/15,古保指令法第220284号,,古河保健所,Ｈｏｎｅｙ　Ｔｒａｐ,0280,,,,,茨城県古河市駒羽根７６６,茨城県古河市駒羽根７６６,,54279,茨城県,古河市,駒羽根,,2022/07/15,2022/07/15,,,,,,,,,,,,,古保指令法第220284号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｈｏｎｅｙ　Ｔｒａｐ,ＨｏｎｅｙＴｒａｐ,,,1,,,,,
中国家庭料理｢楽陶陶｣,茨城県取手市宮和田978-18,茨城県取手市宮和田９７８－１８,,0297-83-7147,飲食店営業,中華料理店,土田 省三,,,,,,2022/07/15,2022/07/15,竜保指令法第220420号,,竜ケ崎保健所,中国家庭料理｢楽陶陶｣,0297,0297-83-7147,,,,茨城県取手市宮和田９７８－１８,茨城県取手市宮和田９７８－１８,,55200,茨城県,取手市,宮和田,,2022/07/15,2022/07/15,,,,,,,,,,,,,竜保指令法第220420号,,飲食店営業, 中華料理店,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,中国家庭料理｢楽陶陶｣,中国家庭料理｢楽陶陶｣,,,1,,,,,
Ｐｅａｃｅ　ｐｌｕｓ,茨城県土浦市桜町1-6-4　福田ビル2F,茨城県土浦市桜町１－６－４,福田ビル２F,029-875-5775,飲食店営業,バー・キャバレー等,㈱Ｐｅａｃｅ　ｇｒｏｕｐ,村上　裕美（代表取締役）,茨城県土浦市桜町1-6-4　福田ビル1F,茨城県土浦市桜町１－６－４,福田ビル１F,029-875-5775,2022/07/16,2022/07/16,土保指令法第220390号,,土浦保健所,Ｐｅａｃｅ　ｐｌｕｓ,029,029-875-5775,,,,茨城県土浦市桜町１－６－４,茨城県土浦市桜町１－６－４,福田ビル２F,54039,茨城県,土浦市,桜町１,,2022/07/16,2022/07/16,,,㈱Ｐｅａｃｅ　ｇｒｏｕｐ,村上　裕美（代表取締役）,029-875-5775,茨城県土浦市桜町１－６－４,茨城県土浦市桜町１－６－４,,54039,茨城県,土浦市,桜町１,土保指令法第220390号,,飲食店営業, バー・キャバレー等,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｐｅａｃｅ　ｐｌｕｓ,Ｐｅａｃｅｐｌｕｓ,株式会社Ｐｅａｃｅ　ｇｒｏｕｐ,,1,,,,,
お食事とお惣菜の店　すずね食堂,茨城県ひたちなか市東石川1279　ワークプラザ勝田内,茨城県ひたちなか市東石川１２７９,ワークプラザ勝田内,,飲食店営業,その他,株式会社　ネクストワークス,日詰　治,茨城県ひたちなか市勝田泉町1番８号,茨城県ひたちなか市勝田泉町１番８号,,029-275-0327,2022/07/19,2022/07/19,ひ保指令法第220524号,,ひたちなか保健所,お食事とお惣菜の店　すずね食堂,029,,,,,茨城県ひたちなか市東石川１２７９,茨城県ひたちなか市東石川１２７９,ワークプラザ勝田内,55701,茨城県,ひたちなか市,東石川１,,2022/07/19,2022/07/19,,,株式会社　ネクストワークス,日詰　治,029-275-0327,茨城県ひたちなか市勝田泉町１番８号,茨城県ひたちなか市勝田泉町１番８号,,55628,茨城県,ひたちなか市,勝田泉町,ひ保指令法第220524号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,お食事とお惣菜の店　すずね食堂,お食事とお惣菜の店すずね食堂,株式会社ネクストワークス,,1,,,,,
三菱ケミカル知手寮,茨城県神栖市知手中央5-8-5,茨城県神栖市知手中央５－８－５,,,飲食店営業,給食（委託）,株式会社リエイ,代表取締役　椛澤　一,千葉県浦安市入船1-5-2　プライムタワー新浦安14階,千葉県浦安市入船１－５－２,プライムタワー新浦安１４階,047-315-9064,2022/07/19,2022/07/19,潮保指令法第220474号,,潮来保健所,三菱ケミカル知手寮,0299,,,,,茨城県神栖市知手中央５－８－５,茨城県神栖市知手中央５－８－５,,56623,茨城県,神栖市,知手中央５,,2022/07/19,2022/07/19,,,株式会社リエイ,代表取締役　椛澤　一,047-315-9064,千葉県浦安市入船１－５－２,千葉県浦安市入船１－５－２,,71236,千葉県,浦安市,入船１,潮保指令法第220474号,,飲食店営業, 給食（委託）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,三菱ケミカル知手寮,三菱ケミカル知手寮,株式会社リエイ,,1,,,,,
株式会社　カネカ　東雲寮,茨城県神栖市知手中央5-1-43,茨城県神栖市知手中央５－１－４３,,,飲食店営業,給食（委託）,株式会社リエイ,代表取締役　椛澤　一,千葉県浦安市入船1-5-2　プライムタワー新浦安14階,千葉県浦安市入船１－５－２,プライムタワー新浦安１４階,047-315-9064,2022/07/19,2022/07/19,潮保指令法第220475号,,潮来保健所,株式会社　カネカ　東雲寮,0299,,,,,茨城県神栖市知手中央５－１－４３,茨城県神栖市知手中央５－１－４３,,56623,茨城県,神栖市,知手中央５,,2022/07/19,2022/07/19,,,株式会社リエイ,代表取締役　椛澤　一,047-315-9064,千葉県浦安市入船１－５－２,千葉県浦安市入船１－５－２,,71236,千葉県,浦安市,入船１,潮保指令法第220475号,,飲食店営業, 給食（委託）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社カネカ　東雲寮,株式会社カネカ東雲寮,株式会社リエイ,,1,,,,,
ＪＡ山王ホール,茨城県取手市山王223-1,茨城県取手市山王２２３－１,,0297-70-4194,飲食店営業,その他,株式会社P&Eフーズ,片瀬　恒利,千葉県流山市前平井182,千葉県流山市前平井１８２,,04-7178-8880,2022/07/19,2022/07/19,竜保指令法第220422号,,竜ケ崎保健所,ＪＡ山王ホール,0297,0297-70-4194,,,,茨城県取手市山王２２３－１,茨城県取手市山王２２３－１,,55180,茨城県,取手市,山王,,2022/07/19,2022/07/19,,,株式会社P&Eフーズ,片瀬　恒利,04-7178-8880,千葉県流山市前平井１８２,千葉県流山市前平井１８２,,70465,千葉県,流山市,前平井,竜保指令法第220422号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＪＡ山王ホール,ＪＡ山王ホル,株式会社Ｐ＆Ｅフーズ,,1,,,,,
T.S食品株式会社,茨城県稲敷市清水386番地,茨城県稲敷市清水３８６番地,,0299-79-2975,密封包装食品製造業,密封包装食品製造業,T.S食品株式会社,王　明輝,茨城県稲敷市清水386番地,茨城県稲敷市清水３８６番地,,0299-79-2975,2022/07/19,2022/07/19,竜保指令法第220423号,,竜ケ崎保健所,T.S食品株式会社,0299,0299-79-2975,,,,茨城県稲敷市清水３８６番地,茨城県稲敷市清水３８６番地,,56379,茨城県,稲敷市,清水,,2022/07/19,2022/07/19,,,T.S食品株式会社,王　明輝,0299-79-2975,茨城県稲敷市清水３８６番地,茨城県稲敷市清水３８６番地,,56379,茨城県,稲敷市,清水,竜保指令法第220423号,,密封包装食品製造業, 密封包装食品製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,Ｔ．Ｓ食品株式会社,ＴＳ食品株式会社,Ｔ．Ｓ食品株式会社,,1,,,,,
珍来軒,茨城県龍ケ崎市寺後3604,茨城県龍ケ崎市寺後３６０４,,0297-62-4547,飲食店営業,中華料理店,合同会社ドリームワークス,飯野　浩司,茨城県龍ケ崎市寺後3604,茨城県龍ケ崎市寺後３６０４,,0297-62-4547,2022/07/19,2022/07/19,竜保指令法第220424号,,竜ケ崎保健所,珍来軒,0297,0297-62-4547,,,,茨城県龍ケ崎市寺後３６０４,茨城県竜が崎市寺後３６０４,,701475,茨城県,龍ケ崎市,寺後,,2022/07/19,2022/07/19,,,合同会社ドリームワークス,飯野　浩司,0297-62-4547,茨城県龍ケ崎市寺後３６０４,茨城県竜が崎市寺後３６０４,,701475,茨城県,龍ケ崎市,寺後,竜保指令法第220424号,,飲食店営業, 中華料理店,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,珍来軒,珍来軒,合同会社ドリームワークス,,1,,,,,
おうちカフェ麦,茨城県龍ケ崎市緑町140-2,茨城県龍ケ崎市緑町１４０－２,,0297-62-7876,飲食店営業,その他,金田　ふき子,,,,,,2022/07/19,2022/07/19,竜保指令法第220425号,,竜ケ崎保健所,おうちカフェ麦,0297,0297-62-7876,,,,茨城県龍ケ崎市緑町１４０－２,茨城県竜が崎市緑町１４０－２,,54540,茨城県,龍ケ崎市,緑町,,2022/07/19,2022/07/19,,,,,,,,,,,,,竜保指令法第220425号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,おうちカフェ麦,おうちカフェ麦,,,1,,,,,
明治守谷工場,茨城県守谷市野木崎3456,茨城県守谷市野木崎３４５６,,0297-20-6000,飲食店営業,給食（委託）,株式会社サンロール,中川　恭一,茨城県つくばみらい市板橋3063番地1,茨城県つくばみらい市板橋３０６３番地１,,0297-58-3599,2022/07/19,2022/07/19,竜保指令法第220426号,,竜ケ崎保健所,明治守谷工場,0297,0297-20-6000,,,,茨城県守谷市野木崎３４５６,茨城県守谷市野木崎３４５６,,55922,茨城県,守谷市,野木崎,,2022/07/19,2022/07/19,,,株式会社サンロール,中川　恭一,0297-58-3599,茨城県つくばみらい市板橋３０６３番地１,茨城県つくばみらい市板橋３０６３番地１,,56817,茨城県,つくばみらい市,板橋,竜保指令法第220426号,,飲食店営業, 給食（委託）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,明治守谷工場,明治守谷工場,株式会社サンロール,,1,,,,,
炭火や　ＳＩＮＧＯ,茨城県つくば市研究学園5-13-11　2Ｆ,茨城県つくば市研究学園５－１３－１１,２Ｆ,029-893-4688,飲食店営業,その他,株式会社KouShin,髙木　伸悟,茨城県石岡市石岡13961-7,茨城県石岡市石岡１３９６１－７,,0299-24-3399,2022/07/19,2022/07/19,つ保指令法第220455号,,つくば保健所,炭火や　ＳＩＮＧＯ,029,029-893-4688,,,,茨城県つくば市研究学園５－１３－１１,茨城県つくば市研究学園５－１３－１１,２Ｆ,55587,茨城県,つくば市,研究学園５,,2022/07/19,2022/07/19,,,株式会社KouShin,髙木　伸悟,0299-24-3399,茨城県石岡市石岡１３９６１－７,茨城県石岡市石岡１３９６１－７,,54305,茨城県,石岡市,石岡１,つ保指令法第220455号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,炭火や　ＳＩＮＧＯ,炭火やＳＩＮＧＯ,株式会社ＫｏｕＳｈｉｎ,,1,,,,,
