,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/1,,菓子製造業,三重県四日市市大井手３－１５－１９,特定非営利活動法人呼夢・フレンズ,堀川　まり子,355-1515,三重県四日市市大井手３－１４－１３,三重県四日市市大井手３－１４－１３,,コムスイーツ工房奏,318-5204,3122110014,,四日市市保健所,コムスイーツ工房奏,059,059-318-5204,,,,三重県四日市市大井手３－１４－１３,三重県四日市市大井手３－１４－１３,,135279,三重県,四日市市,大井手３,,2022/07/01,,,,特定非営利活動法人呼夢・フレンズ,堀川　まり子,-355-1515,三重県四日市市大井手３－１５－１９,三重県四日市市大井手３－１５－１９,,135279,三重県,四日市市,大井手３,3122110014,,菓子製造業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,製造業,食料品製造業,,,,,,,,,コムスイーツ工房奏,コムスイツ工房奏,特定非営利活動法人呼夢・フレンズ,,1,,,,,
2022/7/1,,飲食店営業,三重県四日市市浜旭町１,株式会社みなとや,酒井　益幸,345-1491,三重県四日市市大協町１－１,三重県四日市市大協町１－１,,コスモ石油株式会社四日市製油所内社員食堂みなとや,354-8708,3122010161,,四日市市保健所,コスモ石油株式会社四日市製油所内社員食堂みなとや,059,059-354-8708,,,,三重県四日市市大協町１－１,三重県四日市市大協町１－１,,135421,三重県,四日市市,大協町１,,2022/07/01,,,,株式会社みなとや,酒井　益幸,-345-1491,三重県四日市市浜旭町１,三重県四日市市浜旭町１,,135500,三重県,四日市市,浜旭町,3122010161,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,コスモ石油株式会社四日市製油所内社員食堂みなとや,コスモ石油株式会社四日市製油所内社員食堂みなとや,株式会社みなとや,,1,,,,,
2022/7/1,,飲食店営業,三重県四日市市浜旭町１,株式会社みなとや,酒井　益幸,345-1491,三重県四日市市大協町２－３,三重県四日市市大協町２－３,,ＫＨネオケム株式会社四日市工場内社員食堂みなとや,331-0624,3122010162,,四日市市保健所,ＫＨネオケム株式会社四日市工場内社員食堂みなとや,059,059-331-0624,,,,三重県四日市市大協町２－３,三重県四日市市大協町２－３,,135422,三重県,四日市市,大協町２,,2022/07/01,,,,株式会社みなとや,酒井　益幸,-345-1491,三重県四日市市浜旭町１,三重県四日市市浜旭町１,,135500,三重県,四日市市,浜旭町,3122010162,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＫＨネオケム株式会社四日市工場内社員食堂みなとや,ＫＨネオケム株式会社四日市工場内社員食堂みなとや,株式会社みなとや,,1,,,,,
2022/7/1,,飲食店営業,三重県四日市市浜旭町１,株式会社みなとや,酒井　益幸,345-1491,三重県四日市市楠町小倉１７０１,三重県四日市市楠町小倉１７０１,,三重機械鐵工株式会社内社員食堂みなとや,345-2311,3122010158,,四日市市保健所,三重機械鐵工株式会社内社員食堂みなとや,059,059-345-2311,,,,三重県四日市市楠町小倉１７０１,三重県四日市市楠町小倉１７０１,,135670,三重県,四日市市,楠町小倉,,2022/07/01,,,,株式会社みなとや,酒井　益幸,-345-1491,三重県四日市市浜旭町１,三重県四日市市浜旭町１,,135500,三重県,四日市市,浜旭町,3122010158,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,三重機械鐵工株式会社内社員食堂みなとや,三重機械鐵工株式会社内社員食堂みなとや,株式会社みなとや,,1,,,,,
2022/7/1,,飲食店営業,三重県四日市市浜旭町１,株式会社みなとや,酒井　益幸,345-1491,三重県四日市市日永東２－４－１６,三重県四日市市日永東２－４－１６,,三菱ガス化学株式会社四日市工場内社員食堂みなとや,345-8800,3122010160,,四日市市保健所,三菱ガス化学株式会社四日市工場内社員食堂みなとや,059,059-345-8800,,,,三重県四日市市日永東２－４－１６,三重県四日市市日永東２－４－１６,,135528,三重県,四日市市,日永東２,,2022/07/01,,,,株式会社みなとや,酒井　益幸,-345-1491,三重県四日市市浜旭町１,三重県四日市市浜旭町１,,135500,三重県,四日市市,浜旭町,3122010160,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,三菱ガス化学株式会社四日市工場内社員食堂みなとや,三菱ガス化学株式会社四日市工場内社員食堂みなとや,株式会社みなとや,,1,,,,,
2022/7/1,,飲食店営業,,磯貝佳澄,　,394-1664,三重県四日市市八田２－１－３３,三重県四日市市八田２－１－３３,,紅茶専門店ニルギリ,,3122010109,,四日市市保健所,紅茶専門店ニルギリ,059,,,,,三重県四日市市八田２－１－３３,三重県四日市市八田２－１－３３,,135487,三重県,四日市市,八田２,,2022/07/01,,,,,磯貝佳澄,-394-1664,,,,,,,,3122010109,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,紅茶専門店ニルギリ,紅茶専門店ニルギリ,,,1,,,,,
2022/7/1,,飲食店営業,,位田寿代,　,,三重県四日市市尾平町天王川原１８０５イオン四日市尾平店内３Ｆ,三重県四日市市尾平町天王川原１８０５,イオン四日市尾平店内３Ｆ,花ぐるま,,3122010140,,四日市市保健所,花ぐるま,059,,,,,三重県四日市市尾平町天王川原１８０５,三重県四日市市尾平町天王川原１８０５,イオン四日市尾平店内３Ｆ,135304,三重県,四日市市,尾平町,,2022/07/01,,,,,位田寿代,,,,,,,,,3122010140,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,花ぐるま,花ぐるま,,,1,,,,,
2022/7/1,,飲食店営業,三重県四日市市浜旭町１,株式会社みなとや,酒井　益幸,345-1491,三重県四日市市浜旭町１,三重県四日市市浜旭町１,,株式会社みなとや,345-1491,3122010157,,四日市市保健所,株式会社みなとや,059,059-345-1491,,,,三重県四日市市浜旭町１,三重県四日市市浜旭町１,,135500,三重県,四日市市,浜旭町,,2022/07/01,,,,株式会社みなとや,酒井　益幸,-345-1491,三重県四日市市浜旭町１,三重県四日市市浜旭町１,,135500,三重県,四日市市,浜旭町,3122010157,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社みなとや,株式会社みなとや,株式会社みなとや,,1,,,,,
2022/7/1,,飲食店営業,,坂本貫二,　,,三重県四日市市富田一色町３２－１６,三重県四日市市富田一色町３２－１６,,和食かんじ,365-1114,3122010119,,四日市市保健所,和食かんじ,059,059-365-1114,,,,三重県四日市市富田一色町３２－１６,三重県四日市市富田一色町３２－１６,,135445,三重県,四日市市,富田一色町,,2022/07/01,,,,,坂本貫二,,,,,,,,,3122010119,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,和食かんじ,和食かんじ,,,1,,,,,
2022/7/1,,飲食店営業,,水谷光紀,　,366-3610,三重県四日市市富田栄町２４－１,三重県四日市市富田栄町２４－１,,居酒屋Ｂａｒ夢道,366-3610,3122010129,,四日市市保健所,居酒屋Ｂａｒ夢道,059,059-366-3610,,,,三重県四日市市富田栄町２４－１,三重県四日市市富田栄町２４－１,,135632,三重県,四日市市,富田栄町,,2022/07/01,,,,,水谷光紀,-366-3610,,,,,,,,3122010129,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,居酒屋Ｂａｒ夢道,居酒屋Ｂａｒ夢道,,,1,,,,,
2022/7/1,,飲食店営業,,長澤充生,　,,三重県四日市市北浜田町１２－５北浜田マンションＢ棟１Ｆ１０７,三重県四日市市北浜田町１２－５,北浜田マンションＢ棟１Ｆ１０７,お食事処ゆず,351-5559,3122010095,,四日市市保健所,お食事処ゆず,059,059-351-5559,,,,三重県四日市市北浜田町１２－５,三重県四日市市北浜田町１２－５,北浜田マンションＢ棟１Ｆ１０７,135326,三重県,四日市市,北浜田町,,2022/07/01,,,,,長澤充生,,,,,,,,,3122010095,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,お食事処ゆず,お食事処ゆず,,,1,,,,,
2022/7/1,,食用油脂製造業,大阪府大阪市平野区加美南５－５－１７,株式会社八代,北野　幹浩,06-6791-2805,三重県四日市市末広町１－３,三重県四日市市末広町１－３,,株式会社八代四日市工場,353-6436,3122190001,,四日市市保健所,株式会社八代四日市工場,059,059-353-6436,,,,三重県四日市市末広町１－３,三重県四日市市末広町１－３,,135401,三重県,四日市市,末広町,,2022/07/01,,,,株式会社八代,北野　幹浩,06-6791-2805,大阪府大阪市平野区加美南５－５－１７,大阪府大阪市平野区加美南５－５－１７,,155733,大阪府,大阪市平野区,加美南５,3122190001,,食用油脂製造業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,製造業,食料品製造業,,,,,,,,,株式会社八代四日市工場,株式会社八代四日市工場,株式会社八代,,1,,,,,
2022/7/3,,飲食店営業,三重県四日市市川島町７５０８,農事組合法人ハサマ共同製茶組合,山中　千佳,321-0354,三重県四日市市川島町７５０８,三重県四日市市川島町７５０８,,ハサマの茶の間,321-0354,3122010132,,四日市市保健所,ハサマの茶の間,059,059-321-0354,,,,三重県四日市市川島町７５０８,三重県四日市市川島町７５０８,,135318,三重県,四日市市,川島町,,2022/07/03,,,,農事組合法人ハサマ共同製茶組合,山中　千佳,-321-0354,三重県四日市市川島町７５０８,三重県四日市市川島町７５０８,,135318,三重県,四日市市,川島町,3122010132,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,ハサマの茶の間,ハサマの茶の間,農事組合法人ハサマ共同製茶組合,,1,,,,,
2022/7/6,,飲食店営業,三重県桑名市立花町２－６－３,すし道場有限会社,伊藤　純子,0594-22-2149,三重県四日市市小生町高腰１８０－１,三重県四日市市小生町高腰１８０－１,,すし道場四日市店,329-7070,3122010081,,四日市市保健所,すし道場四日市店,059,059-329-7070,,,,三重県四日市市小生町高腰１８０－１,三重県四日市市小生町高腰１８０－１,,135342,三重県,四日市市,小生町,,2022/07/06,,,,すし道場有限会社,伊藤　純子,0594-22-2149,三重県桑名市立花町２－６－３,三重県桑名市立花町２－６－３,,136188,三重県,桑名市,立花町２,3122010081,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,すし道場四日市店,すし道場四日市店,すし道場有限会社,,1,,,,,
2022/7/6,,飲食店営業,,高木貴和子,　,,三重県四日市市大矢知町１０７３－１ホワイトビルＮｏ３,三重県四日市市大矢知町１０７３－１,ホワイトビルＮｏ３,ＪＡＳＴＡＷＡＹ（ジャスタウェイ）,,3122010147,,四日市市保健所,ＪＡＳＴＡＷＡＹ（ジャスタウェイ）,059,,,,,三重県四日市市大矢知町１０７３－１,三重県四日市市大矢知町１０７３－１,ホワイトビルＮｏ３,135287,三重県,四日市市,大矢知町,,2022/07/06,,,,,高木貴和子,,,,,,,,,3122010147,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＪＡＳＴＡＷＡＹ（ジャスタウェイ）,ＪＡＳＴＡＷＡＹジャスタウェイ,,,1,,,,,
2022/7/7,,飲食店営業,京都府京都市中京区錦小路通油小路東入る空也町４８７エテルノアレイア２０１,株式会社シンク,吉井　渉,,三重県四日市市諏訪栄町１５－１馬里ビル３Ｆ,三重県四日市市諏訪栄町１５－１,馬里ビル３Ｆ,煙結びシーシャｃａｆｅ＆ｂａｒ,,3122010178,,四日市市保健所,煙結びシーシャｃａｆｅ＆ｂａｒ,059,,,,,三重県四日市市諏訪栄町１５－１,三重県四日市市諏訪栄町１５－１,馬里ビル３Ｆ,135404,三重県,四日市市,諏訪栄町,,2022/07/07,,,,株式会社シンク,吉井　渉,,京都府京都市中京区錦小路通油小路東入る空也町４８７エテルノアレイア２０１,京都府京都市中京区錦小路通油小路東入る空也町４８７エテルノアレイア２０１,,143059,京都府,京都市中京区,錦小路通油小路,3122010178,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,煙結びシーシャｃａｆｅ＆ｂａｒ,煙結びシシャｃａｆｅｂａｒ,株式会社シンク,,1,,,,,
2022/7/7,,飲食店営業,三重県松阪市京町５０８－１　１０１ビル２階,オカダコーポレーション株式会社,岡田　卓也,0598-31-2181,三重県四日市市泊小柳町４－５－１,三重県四日市市泊小柳町４－５－１,,コロッケのころっ家イオンタウン四日市泊店,328-7688,3122010116,,四日市市保健所,コロッケのころっ家イオンタウン四日市泊店,059,059-328-7688,,,,三重県四日市市泊小柳町４－５－１,三重県四日市市泊小柳町４－５－１,,135436,三重県,四日市市,泊小柳町,,2022/07/07,,,,オカダコーポレーション株式会社,岡田　卓也,0598-31-2181,三重県松阪市京町５０８－１　１０１ビル２階,三重県松阪市京町５０８－１１０１ビル２階,,135885,三重県,松阪市,京町,3122010116,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,コロッケのころっ家イオンタウン四日市泊店,コロッケのころっ家イオンタウン四日市泊店,オカダコーポレーション株式会社,,1,,,,,
2022/7/8,,飲食店営業,三重県四日市市日永西２－１９－１０,プロキリティインターナショナル株式会社,ギミレ・ビスヌ・プラサド　,346-7781,三重県四日市市鵜の森１－４－１６大久保ハイム２Ｆ,三重県四日市市鵜の森１－４－１６,大久保ハイム２Ｆ,ハムロキッチン,351-7611,3122010236,,四日市市保健所,ハムロキッチン,059,059-351-7611,,,,三重県四日市市鵜の森１－４－１６,三重県四日市市鵜ノ森１－４－１６,大久保ハイム２Ｆ,135266,三重県,四日市市,鵜の森１,,2022/07/08,,,,プロキリティインターナショナル株式会社,ギミレ・ビスヌ・プラサド,-346-7781,三重県四日市市日永西２－１９－１０,三重県四日市市日永西２－１９－１０,,135523,三重県,四日市市,日永西２,3122010236,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,ハムロキッチン,ハムロキッチン,プロキリティインターナショナル株式会社,,2,,,,,
2022/7/8,,そうざい製造業,三重県四日市市日永西２－１９－１０,プロキリティインターナショナル株式会社,ギミレ・ビスヌ・プラサド　,346-7781,三重県四日市市鵜の森１－４－１６大久保ハイム２Ｆ,三重県四日市市鵜の森１－４－１６,大久保ハイム２Ｆ,ハムロキッチン,351-7611,3122250004,,四日市市保健所,ハムロキッチン,059,059-351-7611,,,,三重県四日市市鵜の森１－４－１６,三重県四日市市鵜ノ森１－４－１６,大久保ハイム２Ｆ,135266,三重県,四日市市,鵜の森１,,2022/07/08,,,,プロキリティインターナショナル株式会社,ギミレ・ビスヌ・プラサド,-346-7781,三重県四日市市日永西２－１９－１０,三重県四日市市日永西２－１９－１０,,135523,三重県,四日市市,日永西２,3122250004,,そうざい製造業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,製造業,食料品製造業,,,,,,,,,ハムロキッチン,ハムロキッチン,プロキリティインターナショナル株式会社,,2,,,,,
2022/7/8,,飲食店営業,,森　一樹,　,,三重県四日市市西新地１０－７ライオンビル伊勢路４０４,三重県四日市市西新地１０－７,ライオンビル伊勢路４０４,ｌｏｕｎｇｅかなで,,3122010237,,四日市市保健所,ｌｏｕｎｇｅかなで,059,,,,,三重県四日市市西新地１０－７,三重県四日市市西新地１０－７,ライオンビル伊勢路４０４,135467,三重県,四日市市,西新地,,2022/07/08,,,,,森　一樹,,,,,,,,,3122010237,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｌｏｕｎｇｅかなで,ｌｏｕｎｇｅかなで,,,1,,,,,
2022/7/9,,飲食店営業,大阪府大阪市中央区千日前１－５－２０,ＢＴＣ合同会社,ＨＯ　ＴＲＯＮＧ　ＢＩＮＨ　,,三重県四日市市鵜の森１－２－１５メゾンヴァンベール３０１、３０２、３０３,三重県四日市市鵜の森１－２－１５,メゾンヴァンベール３０１、３０２、３０３,ＺＯＮＥ　５　ＫＡＲＡＯＫＥ　ＲＥＳＴＡＵＲＡＮＴ,,3122010166,,四日市市保健所,ＺＯＮＥ　５　ＫＡＲＡＯＫＥ　ＲＥＳＴＡＵＲＡＮＴ,059,,,,,三重県四日市市鵜の森１－２－１５,三重県四日市市鵜ノ森１－２－１５,メゾンヴァンベール３０１、３０２、３０３,135266,三重県,四日市市,鵜の森１,,2022/07/09,,,,ＢＴＣ合同会社,ＨＯ　ＴＲＯＮＧ　ＢＩＮＨ,,大阪府大阪市中央区千日前１－５－２０,大阪府大阪市中央区千日前１－５－２０,,156036,大阪府,大阪市中央区,千日前１,3122010166,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＺＯＮＥ　５　ＫＡＲＡＯＫＥ　ＲＥＳＴＡＵＲＡＮＴ,ＺＯＮＥ５ＫＡＲＡＯＫＥＲＥＳＴＡＵＲＡＮＴ,ＢＴＣ合同会社,,1,,,,,
2022/7/12,,飲食店営業,,宇佐美祐貴,　,,三重県四日市市西新地１０－５ホワイトプラザ３階北側２号室,三重県四日市市西新地１０－５,ホワイトプラザ３階北側２号室,Ｃｌｕｂ　ＭＩＮＥＲＶＡ,351-5117,3122010149,,四日市市保健所,Ｃｌｕｂ　ＭＩＮＥＲＶＡ,059,059-351-5117,,,,三重県四日市市西新地１０－５,三重県四日市市西新地１０－５,ホワイトプラザ３階北側２号室,135467,三重県,四日市市,西新地,,2022/07/12,,,,,宇佐美祐貴,,,,,,,,,3122010149,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃｌｕｂ　ＭＩＮＥＲＶＡ,ＣｌｕｂＭＩＮＥＲＶＡ,,,1,,,,,
2022/7/14,,飲食店営業,,榎森　咲,　,,三重県四日市市富田一色町２８－４１,三重県四日市市富田一色町２８－４１,,ポジャン,,3122010137,,四日市市保健所,ポジャン,059,,,,,三重県四日市市富田一色町２８－４１,三重県四日市市富田一色町２８－４１,,135445,三重県,四日市市,富田一色町,,2022/07/14,,,,,榎森　咲,,,,,,,,,3122010137,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,ポジャン,ポジャン,,,1,,,,,
2022/7/15,,飲食店営業,,小林愛華,　,390-6729,三重県四日市市中町１－４,三重県四日市市中町１－４,,はな,,3122010179,,四日市市保健所,はな,059,,,,,三重県四日市市中町１－４,三重県四日市市中町１－４,,135458,三重県,四日市市,中町,,2022/07/15,,,,,小林愛華,-390-6729,,,,,,,,3122010179,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,はな,はな,,,1,,,,,
2022/7/19,,飲食店営業,,信田陽太,　,334-8095,三重県四日市市小杉町東浦１２９３－１,三重県四日市市小杉町東浦１２９３－１,,ファミリーマート四日市小杉町店,334-8095,3122010275,,四日市市保健所,ファミリーマート四日市小杉町店,059,059-334-8095,,,,三重県四日市市小杉町東浦１２９３－１,三重県四日市市小杉町東浦１２９３－１,,135337,三重県,四日市市,小杉町,,2022/07/19,,,,,信田陽太,-334-8095,,,,,,,,3122010275,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート四日市小杉町店,ファミリマト四日市小杉町店,,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
2022/7/25,,飲食店営業,,澤　知美,　,356-4678,三重県四日市市西浦１－７－４祇園ハイツ５番街２Ｆ,三重県四日市市西浦１－７－４,祇園ハイツ５番街２Ｆ,スナックうぐいす,,3122010134,,四日市市保健所,スナックうぐいす,059,,,,,三重県四日市市西浦１－７－４,三重県四日市市西浦１－７－４,祇園ハイツ５番街２Ｆ,135463,三重県,四日市市,西浦１,,2022/07/25,,,,,澤　知美,-356-4678,,,,,,,,3122010134,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナックうぐいす,スナックうぐいす,,,1,,,,,
2022/7/26,,食品の小分け業,三重県四日市市河原田町１００７－１０,株式会社きゅうざい,小川　眞也,347-8500,三重県四日市市河原田町１００７－１０,三重県四日市市河原田町１００７－１０,,株式会社きゅうざい,347-8500,3122310002,,四日市市保健所,株式会社きゅうざい,059,059-347-8500,,,,三重県四日市市河原田町１００７－１０,三重県四日市市河原田町１００７－１０,,135320,三重県,四日市市,河原田町,,2022/07/26,,,,株式会社きゅうざい,小川　眞也,-347-8500,三重県四日市市河原田町１００７－１０,三重県四日市市河原田町１００７－１０,,135320,三重県,四日市市,河原田町,3122310002,,食品の小分け業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,卸売業，小売業,飲食料品小売業,食料・飲料卸売業,その他の食料・飲料卸売業,,,,,,,株式会社きゅうざい,株式会社きゅうざい,株式会社きゅうざい,,1,,,,,
2022/7/26,,飲食店営業,,尾坂裕行,　,,三重県四日市市西浦１－８－２５,三重県四日市市西浦１－８－２５,,居酒屋なんちゃって,356-1151,3122010386,,四日市市保健所,居酒屋なんちゃって,059,059-356-1151,,,,三重県四日市市西浦１－８－２５,三重県四日市市西浦１－８－２５,,135463,三重県,四日市市,西浦１,,2022/07/26,,,,,尾坂裕行,,,,,,,,,3122010386,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,居酒屋なんちゃって,居酒屋なんちゃって,,,1,,,,,
2022/7/26,,飲食店営業,,趙　羅星,　,,三重県四日市市西新地４－１３やき清ビル２Ｆ,三重県四日市市西新地４－１３,やき清ビル２Ｆ,カラオケｂａｒ　Ｐｕｓａｎ,,3122010292,,四日市市保健所,カラオケｂａｒ　Ｐｕｓａｎ,059,,,,,三重県四日市市西新地４－１３,三重県四日市市西新地４－１３,やき清ビル２Ｆ,135467,三重県,四日市市,西新地,,2022/07/26,,,,,趙　羅星,,,,,,,,,3122010292,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,カラオケｂａｒ　Ｐｕｓａｎ,カラオケｂａｒＰｕｓａｎ,,,1,,,,,
2022/7/26,,飲食店営業,,片岡満代,　,322-5170,三重県四日市市浮橋１－１７－１３,三重県四日市市浮橋１－１７－１３,,カフェさんぽ,322-5170,3122010383,,四日市市保健所,カフェさんぽ,059,059-322-5170,,,,三重県四日市市浮橋１－１７－１３,三重県四日市市浮橋１－１７－１３,,135636,三重県,四日市市,浮橋１,,2022/07/26,,,,,片岡満代,-322-5170,,,,,,,,3122010383,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,カフェさんぽ,カフェさんぽ,,,1,,,,,
2022/7/29,,飲食店営業,,田邉理絵,　,,三重県四日市市西新地３－１８小川ビル１０１,三重県四日市市西新地３－１８,小川ビル１０１,そこそこのカレーライス。,,3122010395,,四日市市保健所,そこそこのカレーライス。,059,,,,,三重県四日市市西新地３－１８,三重県四日市市西新地３－１８,小川ビル１０１,135467,三重県,四日市市,西新地,,2022/07/29,,,,,田邉理絵,,,,,,,,,3122010395,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,そこそこのカレーライス。,そこそこのカレライス,,,1,,,,,
