https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請年月日,申請者1,申請者2,申請-電話番号1,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,その他,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,令3年11月29日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス清水亀井店,熊本市北区清水亀井町20-14,熊本市北区清水亀井町２０－１４,,341-2888,百貨店、総合スーパー,,指令（食保）第50974号,,423,ドラッグコスモス清水亀井店,096,096-341-2888,,,,熊本市北区清水亀井町２０－１４,熊本県熊本市北区清水亀井町２０－１４,,208616,43,43105,清水亀井町,2021/11/29,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第50974号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス清水亀井店096-341-288820861643105,8652bf24-c789-4b27-8173-abec52b1ec99,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,98905714-7b19-4778-955a-d9c94ce770a6,2021/11/29,ドラッグコスモス清水亀井店,ドラッグコスモス清水亀井店,株式会社コスモス薬品
878,令3年11月29日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス武蔵ケ丘店,熊本市北区武蔵ケ丘６丁目４－３,熊本市北区武蔵ケ丘６丁目４－３,,348-1155,百貨店、総合スーパー,,指令（食保）第50975号,,423,ドラッグコスモス武蔵ケ丘店,096,096-348-1155,,,,熊本市北区武蔵ケ丘６丁目４－３,熊本県熊本市北区武蔵が丘６丁目４－３,,208692,43,43105,武蔵が丘６,2021/11/29,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第50975号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス武蔵ケ丘店096-348-115520869243105,1da0143f-af59-4555-b2bf-d9fffa7bc3c4,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,ee7cc087-f4d6-4208-87a4-6566bef7b925,2021/11/29,ドラッグコスモス武蔵ケ丘店,ドラッグコスモス武蔵ケ丘店,株式会社コスモス薬品
889,令3年11月29日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス植木南店,熊本市北区植木町投刀塚321-9,熊本市北区植木町投刀塚３２１－９,,215-3800,百貨店、総合スーパー,,指令（食保）第50996号,,423,ドラッグコスモス植木南店,096,096-215-3800,,,,熊本市北区植木町投刀塚３２１－９,熊本県熊本市北区植木町投刀塚３２１－９,,208573,43,43105,植木町投刀塚,2021/11/29,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第50996号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス植木南店096-215-380020857343105,6e7881bf-9e22-4cb0-acd1-f3ea34f26ba2,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,0bfbd6c8-1d3d-4013-8c83-ce315562043e,2021/11/29,ドラッグコスモス植木南店,ドラッグコスモス植木南店,株式会社コスモス薬品
912,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス下硯川店,熊本市北区下硯川２丁目７－８８,熊本市北区下硯川２丁目７－８８,,312-5155,百貨店、総合スーパー,,指令（食保）第50987号,,423,ドラッグコスモス下硯川店,096,096-312-5155,,,,熊本市北区下硯川２丁目７－８８,熊本県熊本市北区下硯川２丁目７－８８,,208635,43,43105,下硯川２,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第50987号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス下硯川店096-312-515520863543105,bfa10273-3d31-4d72-97cd-1d42328c0fec,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,231e07e4-3b80-47b1-a0d8-34c4869b04c0,2021/11/30,ドラッグコスモス下硯川店,ドラッグコスモス下硯川店,株式会社コスモス薬品
918,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス島崎西店,熊本市西区島崎５丁目２－１４,熊本市西区島崎５丁目２－１４,,312-5322,百貨店、総合スーパー,,指令（食保）第51035号,,423,ドラッグコスモス島崎西店,096,096-312-5322,,,,熊本市西区島崎５丁目２－１４,熊本県熊本市西区島崎５丁目２－１４,,208261,43,43103,島崎５,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51035号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス島崎西店096-312-532220826143103,328fdf5b-4a49-4b15-8301-29d6bf1373e5,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,b5730c24-0d6c-46ce-9953-5653c8369c1e,2021/11/30,ドラッグコスモス島崎西店,ドラッグコスモス島崎西店,株式会社コスモス薬品
920,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス野中店,熊本市西区野中２丁目１１－１５,熊本市西区野中２丁目１１－１５,,212-5388,百貨店、総合スーパー,,指令（食保）第51030号,,423,ドラッグコスモス野中店,096,096-212-5388,,,,熊本市西区野中２丁目１１－１５,熊本県熊本市西区野中２丁目１１－１５,,208306,43,43103,野中２,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51030号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス野中店096-212-538820830643103,458e70c6-2ba4-4945-b45d-78269fedc074,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,e8b69eac-23ab-4098-b17f-f637b5f363e7,2021/11/30,ドラッグコスモス野中店,ドラッグコスモス野中店,株式会社コスモス薬品
922,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス横手店,熊本市西区横手３丁目６－３８,熊本市西区横手３丁目６－３８,,319-0130,百貨店、総合スーパー,,指令（食保）第51001号,,423,ドラッグコスモス横手店,096,096-319-0130,,,,熊本市西区横手３丁目６－３８,熊本県熊本市西区横手３丁目６－３８,,208323,43,43103,横手３,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51001号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス横手店096-319-013020832343103,1b6022d4-f15b-4785-8ba7-dd93563723ed,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,841b3217-da93-409d-bbd8-315cddee5051,2021/11/30,ドラッグコスモス横手店,ドラッグコスモス横手店,株式会社コスモス薬品
923,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス天明店,熊本市南区奥古閑町280,熊本市南区奥古閑町２８０,,228-6955,百貨店、総合スーパー,,指令（食保）第51007号,,423,ドラッグコスモス天明店,096,096-228-6955,,,,熊本市南区奥古閑町２８０,熊本県熊本市南区奥古閑町２８０,,208355,43,43104,奥古閑町,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51007号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス天明店096-228-695520835543104,50819ab9-a80d-4cf2-9234-f0106f937719,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,586c8f33-c6ce-42af-9423-fd855174e85f,2021/11/30,ドラッグコスモス天明店,ドラッグコスモス天明店,株式会社コスモス薬品
924,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス近見店,熊本市南区近見７丁目６－１,熊本市南区近見７丁目６－１,,319-0720,百貨店、総合スーパー,,指令（食保）第51008号,,423,ドラッグコスモス近見店,096,096-319-0720,,,,熊本市南区近見７丁目６－１,熊本県熊本市南区近見７丁目６－１,,208430,43,43104,近見７,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51008号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス近見店096-319-072020843043104,317cb270-2f1c-42bc-a8ad-eaf19a2c851a,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,1daa58ff-739d-4f9d-a952-24b857aa4037,2021/11/30,ドラッグコスモス近見店,ドラッグコスモス近見店,株式会社コスモス薬品
925,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス秋津店,熊本市東区沼山津１丁目２０－１,熊本市東区沼山津１丁目２０－１,,331-3515,百貨店、総合スーパー,,指令（食保）第51009号,,423,ドラッグコスモス秋津店,096,096-331-3515,,,,熊本市東区沼山津１丁目２０－１,熊本県熊本市東区沼山津１丁目２０－１,,208162,43,43102,沼山津１,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51009号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス秋津店096-331-351520816243102,90347847-224c-4dac-bc40-80c13cbfc7dd,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,c4aba229-5597-4f04-af73-12e92d99d2a6,2021/11/30,ドラッグコスモス秋津店,ドラッグコスモス秋津店,株式会社コスモス薬品
926,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス戸島西店,熊本市東区戸島西１丁目５－１８,熊本市東区戸島西１丁目５－１８,,331-0190,百貨店、総合スーパー,,指令（食保）第51010号,,423,ドラッグコスモス戸島西店,096,096-331-0190,,,,熊本市東区戸島西１丁目５－１８,熊本県熊本市東区戸島西１丁目５－１８,,208126,43,43102,戸島西１,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51010号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス戸島西店096-331-019020812643102,d92874e6-5ee4-4690-8e93-6151494fb186,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,23c7ee3c-a3ac-4146-ad6b-cc22859e080c,2021/11/30,ドラッグコスモス戸島西店,ドラッグコスモス戸島西店,株式会社コスモス薬品
927,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス長嶺南店,熊本市東区月出８丁目３－２０,熊本市東区月出８丁目３－２０,,386-5380,百貨店、総合スーパー,,指令（食保）第51011号,,423,ドラッグコスモス長嶺南店,096,096-386-5380,,,,熊本市東区月出８丁目３－２０,熊本県熊本市東区月出８丁目３－２０,,208118,43,43102,月出８,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51011号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス長嶺南店096-386-538020811843102,5c518aaf-81b5-4a46-8f57-a955643c1ca6,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,edd6c818-34b8-4b8a-aebd-155849a24854,2021/11/30,ドラッグコスモス長嶺南店,ドラッグコスモス長嶺南店,株式会社コスモス薬品
928,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス白藤店,熊本市南区白藤３丁目２－１,熊本市南区白藤３丁目２－１,,320-3035,百貨店、総合スーパー,,指令（食保）第51012号,,423,ドラッグコスモス白藤店,096,096-320-3035,,,,熊本市南区白藤３丁目２－１,熊本県熊本市南区白藤３丁目２－１,,208382,43,43104,白藤３,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51012号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス白藤店096-320-303520838243104,3dff0128-4bd1-4cb9-9082-0e15c91ecf5d,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,8320b60a-6ff0-43a1-a601-42da0bd7acbe,2021/11/30,ドラッグコスモス白藤店,ドラッグコスモス白藤店,株式会社コスモス薬品
929,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス桜木店,熊本市東区花立４丁目３－９,熊本市東区花立４丁目３－９,,214-6631,百貨店、総合スーパー,,指令（食保）第51013号,,423,ドラッグコスモス桜木店,096,096-214-6631,,,,熊本市東区花立４丁目３－９,熊本県熊本市東区花立４丁目３－９,,208172,43,43102,花立４,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51013号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス桜木店096-214-663120817243102,fe230167-aa92-42d1-9477-e3535cbde0fa,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,4efe7381-aa3a-4e16-8720-aed323cce78e,2021/11/30,ドラッグコスモス桜木店,ドラッグコスモス桜木店,株式会社コスモス薬品
930,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス長嶺店,熊本市東区長嶺南１丁目２－１,熊本市東区長嶺南１丁目２－１,,386-5181,百貨店、総合スーパー,,指令（食保）第51014号,,423,ドラッグコスモス長嶺店,096,096-386-5181,,,,熊本市東区長嶺南１丁目２－１,熊本県熊本市東区長嶺南１丁目２－１,,208150,43,43102,長嶺南１,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51014号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス長嶺店096-386-518120815043102,52a91d01-5e39-4a35-ae33-b72578dae3a1,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,6e003886-a78d-42fe-83cc-256ff538c19c,2021/11/30,ドラッグコスモス長嶺店,ドラッグコスモス長嶺店,株式会社コスモス薬品
931,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,スーパードラッグコスモス田迎店,熊本市南区田迎１丁目５－３,熊本市南区田迎１丁目５－３,,214-3022,百貨店、総合スーパー,,指令（食保）第51015号,,423,スーパードラッグコスモス田迎店,096,096-214-3022,,,,熊本市南区田迎１丁目５－３,熊本県熊本市南区田迎１丁目５－３,,208416,43,43104,田迎１,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51015号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,スパドラッグコスモス田迎店096-214-302220841643104,67353d7d-1dea-4819-a543-0be7c5e8aa37,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,7f71ce59-86a9-416d-a6b2-fd72633c56f9,2021/11/30,スーパードラッグコスモス田迎店,スパドラッグコスモス田迎店,株式会社コスモス薬品
932,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,スーパードラッグコスモス九品寺店,熊本市中央区九品寺３丁目１５－４６,熊本市中央区九品寺３丁目１５－４６,,211-5080,百貨店、総合スーパー,,指令（食保）第51016号,,423,スーパードラッグコスモス九品寺店,096,096-211-5080,,,,熊本市中央区九品寺３丁目１５－４６,熊本県熊本市中央区九品寺３丁目１５－４６,,207848,43,43101,九品寺３,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51016号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,スパドラッグコスモス九品寺店096-211-508020784843101,f38eae1e-ff8b-40f4-a0c7-aa7fe9fba1a3,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,f7cafbc5-57a3-4856-9bfd-429b5f0a1e63,2021/11/30,スーパードラッグコスモス九品寺店,スパドラッグコスモス九品寺店,株式会社コスモス薬品
933,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,スーパードラッグコスモス東海学園前店,熊本市東区渡鹿８丁目２１－２０,熊本市東区渡鹿８丁目２１－２０,,366-4711,百貨店、総合スーパー,,指令（食保）第51017号,,423,スーパードラッグコスモス東海学園前店,096,096-366-4711,,,,熊本市東区渡鹿８丁目２１－２０,熊本県熊本市東区渡鹿８丁目２１－２０,,208135,43,43102,渡鹿８,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51017号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,スパドラッグコスモス東海学園前店096-366-471120813543102,f8d0453f-c228-474d-a310-6255c7f31edf,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,dc507d0e-3831-4375-a625-b248384510ca,2021/11/30,スーパードラッグコスモス東海学園前店,スパドラッグコスモス東海学園前店,株式会社コスモス薬品
934,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス南高江店,熊本市南区南高江２丁目１５－５０,熊本市南区南高江２丁目１５－５０,,320-1288,百貨店、総合スーパー,,指令（食保）第51019号,,423,ドラッグコスモス南高江店,096,096-320-1288,,,,熊本市南区南高江２丁目１５－５０,熊本県熊本市南区南高江２丁目１５－５０,,208483,43,43104,南高江２,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51019号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス南高江店096-320-128820848343104,f113a5dd-90b7-41db-9caa-66fca4830508,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,2963454a-f61e-462e-9efc-d00623d8822a,2021/11/30,ドラッグコスモス南高江店,ドラッグコスモス南高江店,株式会社コスモス薬品
935,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス託麻南店,熊本市東区長嶺東３丁目２－４７,熊本市東区長嶺東３丁目２－４７,,292-7870,百貨店、総合スーパー,,指令（食保）第51020号,,423,ドラッグコスモス託麻南店,096,096-292-7870,,,,熊本市東区長嶺東３丁目２－４７,熊本県熊本市東区長嶺東３丁目２－４７,,208143,43,43102,長嶺東３,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51020号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス託麻南店096-292-787020814343102,ecbadb6b-2b8e-41f1-b0fa-5c0eb85dc2b5,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,dbf7ce1d-9cba-434a-8cc7-bc479508d467,2021/11/30,ドラッグコスモス託麻南店,ドラッグコスモス託麻南店,株式会社コスモス薬品
936,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモスくまなん店,熊本市南区江越２丁目１６－６,熊本市南区江越２丁目１６－６,,278-8008,百貨店、総合スーパー,,指令（食保）第51021号,,423,ドラッグコスモスくまなん店,096,096-278-8008,,,,熊本市南区江越２丁目１６－６,熊本県熊本市南区江越２丁目１６－６,,208354,43,43104,江越２,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51021号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモスくまなん店096-278-800820835443104,1fdece0b-c9ac-470c-b38f-896d9b893ccd,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,3ed1237c-fbd0-40ec-846e-f3ac76440386,2021/11/30,ドラッグコスモスくまなん店,ドラッグコスモスくまなん店,株式会社コスモス薬品
937,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,スーパードラッグコスモス水前寺駅通店,熊本市中央区水前寺３丁目３３－１,熊本市中央区水前寺３丁目３３－１,,213-6611,百貨店、総合スーパー,,指令（食保）第51022号,,423,スーパードラッグコスモス水前寺駅通店,096,096-213-6611,,,,熊本市中央区水前寺３丁目３３－１,熊本県熊本市中央区水前寺３丁目３３－１,,207916,43,43101,水前寺３,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51022号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,スパドラッグコスモス水前寺駅通店096-213-661120791643101,f63fb827-8ac4-47f6-897e-d606e6f7628a,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,b055c140-b4cf-4337-88c5-06c692f133b8,2021/11/30,スーパードラッグコスモス水前寺駅通店,スパドラッグコスモス水前寺駅通店,株式会社コスモス薬品
938,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス八反田店,熊本市東区西原１丁目２２－６４,熊本市東区西原１丁目２２－６４,,213-6071,百貨店、総合スーパー,,指令（食保）第51023号,,423,ドラッグコスモス八反田店,096,096-213-6071,,,,熊本市東区西原１丁目２２－６４,熊本県熊本市東区西原１丁目２２－６４,,208159,43,43102,西原１,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51023号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス八反田店096-213-607120815943102,cedc2184-46dd-4a45-9207-42295c156ff6,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,525d106a-e3a1-48af-b860-d5b6cf2b7d5b,2021/11/30,ドラッグコスモス八反田店,ドラッグコスモス八反田店,株式会社コスモス薬品
939,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,スーパードラッグコスモス月出店,熊本市東区月出１丁目６－８,熊本市東区月出１丁目６－８,,213-1388,百貨店、総合スーパー,,指令（食保）第51024号,,423,スーパードラッグコスモス月出店,096,096-213-1388,,,,熊本市東区月出１丁目６－８,熊本県熊本市東区月出１丁目６－８,,208111,43,43102,月出１,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51024号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,スパドラッグコスモス月出店096-213-138820811143102,e40bd739-f426-4cc6-a573-253d25bd865c,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,7e60e68c-f7b5-4fbd-b5fd-bc147d2ac139,2021/11/30,スーパードラッグコスモス月出店,スパドラッグコスモス月出店,株式会社コスモス薬品
940,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス城南店,熊本市南区城南町阿高312-3,熊本市南区城南町阿高３１２－３,,0964-58-2080,百貨店、総合スーパー,,指令（食保）第51025号,,423,ドラッグコスモス城南店,0964,0964-58-2080,,,,熊本市南区城南町阿高３１２－３,熊本県熊本市南区城南町阿高３１２－３,,208389,43,43104,城南町阿高,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51025号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス城南店0964-58-208020838943104,802a4a8b-a5b0-484a-9b74-66a1e49821b7,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,6ff5b132-f512-43b8-8ad6-fcca2c94de4d,2021/11/30,ドラッグコスモス城南店,ドラッグコスモス城南店,株式会社コスモス薬品
941,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス花園店,熊本市西区花園５丁目３－１１,熊本市西区花園５丁目３－１１,,325-9660,百貨店、総合スーパー,,指令（食保）第51029号,,423,ドラッグコスモス花園店,096,096-325-9660,,,,熊本市西区花園５丁目３－１１,熊本県熊本市西区花園５丁目３－１１,,208312,43,43103,花園５,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51029号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス花園店096-325-966020831243103,60d4eaf4-9e4d-42f0-a533-2bed36f72112,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,5bf7cd78-d36e-4155-8b24-61c330848d56,2021/11/30,ドラッグコスモス花園店,ドラッグコスモス花園店,株式会社コスモス薬品
964,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス新土河原店,熊本市西区新土河原１丁目９－３,熊本市西区新土河原１丁目９－３,,355-0670,百貨店、総合スーパー,,指令（食保）第51041号,,423,ドラッグコスモス新土河原店,096,096-355-0670,,,,熊本市西区新土河原１丁目９－３,熊本県熊本市西区新土河原１丁目９－３,,208264,43,43103,新土河原１,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第51041号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス新土河原店096-355-067020826443103,44b9eda8-c9c5-4630-bc30-811e25c4b52a,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,6666e810-8838-48f4-acc6-57650401104b,2021/11/30,ドラッグコスモス新土河原店,ドラッグコスモス新土河原店,株式会社コスモス薬品
965,令3年11月30日,㈱コスモス薬品,横山英昭,092-433-0660,ドラッグコスモス徳王店,熊本市北区大窪１丁目２－１１,熊本市北区大窪１丁目２－１１,,312-3755,百貨店、総合スーパー,,指令（食保）第50998号,,423,ドラッグコスモス徳王店,096,096-312-3755,,,,熊本市北区大窪１丁目２－１１,熊本県熊本市北区大窪１丁目２－１１,,208591,43,43105,大窪１,2021/11/30,,,,,㈱コスモス薬品,横山英昭,092-433-0660,,,,,,,,指令（食保）第50998号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,ドラッグコスモス徳王店096-312-375520859143105,dc734e9c-20ea-4d62-ae6c-b50d3c9d3cf3,株式会社コスモス薬品,d283edd9-5669-4618-9e0c-37b4bbaf3809,310eea53-33f9-41f0-a50b-b7ac5cf77c0c,2021/11/30,ドラッグコスモス徳王店,ドラッグコスモス徳王店,株式会社コスモス薬品
