https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沖縄化製工業　動物油脂製造工場,,沖縄化製工業　動物油脂製造工場　,南城市大里字大城１９２７,,098-945-6516  ,食用油脂製造業,食用油脂製造業,有限会社沖縄化製工業,098-945-6516  ,R04.01.31,R04.01.31,第05202101210号,,466,沖縄化製工業　動物油脂製造工場　,098,098-945-6516,,,,南城市大里字大城１９２７,沖縄県南城市大里字大城１９２７,,216126,47,47215,大里,,2022/01/31,2022/01/31,,,有限会社沖縄化製工業,,098-945-6516  ,,,,,,,,第05202101210号,,食用油脂製造業, 食用油脂製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,沖縄化製工業動物油脂製造工場098-945-651621612647215,fd57439d-7e3d-4b0d-b8ae-5eed5a6ebe4f,有限会社沖縄化製工業,eecc51c9-c3e4-49ed-b094-e0e5090f63a4,2ab5ef9d-8aa0-470f-bfef-9a2d0f99b19b,2022/01/31,沖縄化製工業　動物油脂製造工場　,沖縄化製工業動物油脂製造工場,有限会社沖縄化製工業
沖縄県畜産副産物事業協同組合　牛カット室,,沖縄県畜産副産物事業協同組合　牛カット室　,南城市大里字大城１９２７,,098-945-6516  ,食肉処理業,食肉処理業,沖縄県畜産副産物事業協同組合,098-945-6516  ,R04.02.24,R04.02.24,第05202101263号,,466,沖縄県畜産副産物事業協同組合　牛カット室　,098,098-945-6516,,,,南城市大里字大城１９２７,沖縄県南城市大里字大城１９２７,,216126,47,47215,大里,,2022/02/24,2022/02/24,,,沖縄県畜産副産物事業協同組合,,098-945-6516  ,,,,,,,,第05202101263号,,食肉販売業, 食肉処理業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,583,,沖縄県畜産副産物事業協同組合牛カット室098-945-651621612647215,29e51881-e031-4ea2-9ff3-5ea592278386,沖縄県畜産副産物事業協同組合,eecc51c9-c3e4-49ed-b094-e0e5090f63a4,4a5bd164-619f-40c2-a357-57efb16a8e59,2022/02/24,沖縄県畜産副産物事業協同組合　牛カット室　,沖縄県畜産副産物事業協同組合牛カット室,沖縄県畜産副産物事業協同組合
農業生産法人有限会社稲穂,,農業生産法人有限会社稲穂　,南城市大里字稲嶺２０３３,,098-946-1385  ,清涼飲料水製造業,清涼飲料水製造業,農業生産法人有限会社稲穂,098-946-1385  ,R04.02.24,R04.02.24,第05202101265号,,466,農業生産法人有限会社稲穂　,098,098-946-1385,,,,南城市大里字稲嶺２０３３,沖縄県南城市大里字稲嶺２０３３,,216126,47,47215,大里,,2022/02/24,2022/02/24,,,農業生産法人有限会社稲穂,,098-946-1385  ,,,,,,,,第05202101265号,,清涼飲料水製造業, 清涼飲料水製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,10,,,農業生産法人有限会社稲穂098-946-138521612647215,b508e30a-33c2-4cef-a30d-2e4aa9acffb9,農業生産法人有限会社稲穂,0a9c5758-7fe6-4b59-b117-5ae6e615cd27,58c3ad41-bde3-4cf5-8c8a-7294d6bf4e71,2022/02/24,農業生産法人有限会社稲穂　,農業生産法人有限会社稲穂,農業生産法人有限会社稲穂
タウンプラザかねひで,豊見城団地前店,タウンプラザかねひで　豊見城団地前店,豊見城市平良１０３－１,,098-850-4934  ,飲食店営業,寿司屋,金秀商事株式会社,098-946-2830  ,R04.01.26,R04.01.26,第05202101171号,,466,タウンプラザかねひで　豊見城団地前店,098,098-850-4934,,,,豊見城市平良１０３－１,沖縄県豊見城市平良１０３－１,,216009,47,47212,平良,,2022/01/26,2022/01/26,,,金秀商事株式会社,,098-946-2830  ,,,,,,,,第05202101171号,,飲食店営業, 寿司屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,タウンプラザかねひで豊見城団地前店098-850-493421600947212,f4c70271-89aa-4b5f-b1fa-645c4950926f,金秀商事株式会社,09fb08d6-6510-46fc-a92b-7943f5e6ff84,fc90c927-f946-4168-a501-803e2c03325c,2022/01/26,タウンプラザかねひで　豊見城団地前店,タウンプラザかねひで豊見城団地前店,金秀商事株式会社
タウンプラザかねひでパイプライン内間市場,,タウンプラザかねひでパイプライン内間市場　,浦添市宮城５－１－１,,098-874-6521  ,そうざい製造業,そうざい製造業,金秀商事株式会社,098-946-2830  ,R04.01.26,R04.01.26,第05202101182号,,466,タウンプラザかねひでパイプライン内間市場　,098,098-874-6521,,,,浦添市宮城５－１－１,沖縄県浦添市宮城５－１－１,,215707,47,47208,宮城５,,2022/01/26,2022/01/26,,,金秀商事株式会社,,098-946-2830  ,,,,,,,,第05202101182号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,タウンプラザかねひでパイプライン内間市場098-874-652121570747208,1d8d1642-9f8a-46a2-b8df-5e2f054951ab,金秀商事株式会社,09fb08d6-6510-46fc-a92b-7943f5e6ff84,3ab5db06-487a-41bf-a485-0983787b1ca7,2022/01/26,タウンプラザかねひでパイプライン内間市場　,タウンプラザかねひでパイプライン内間市場,金秀商事株式会社
タウンプラザかねひでパイプライン内間市場,,タウンプラザかねひでパイプライン内間市場　,浦添市宮城５－１－１,,098-874-6521  ,菓子製造業,菓子製造業,金秀商事株式会社,098-946-2830  ,R04.01.26,R04.01.26,第05202101179号,,466,タウンプラザかねひでパイプライン内間市場　,098,098-874-6521,,,,浦添市宮城５－１－１,沖縄県浦添市宮城５－１－１,,215707,47,47208,宮城５,,2022/01/26,2022/01/26,,,金秀商事株式会社,,098-946-2830  ,,,,,,,,第05202101179号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,タウンプラザかねひでパイプライン内間市場098-874-652121570747208,1d8d1642-9f8a-46a2-b8df-5e2f054951ab,金秀商事株式会社,09fb08d6-6510-46fc-a92b-7943f5e6ff84,141972da-a176-435e-920b-77dbf93369ff,2022/01/26,タウンプラザかねひでパイプライン内間市場　,タウンプラザかねひでパイプライン内間市場,金秀商事株式会社
タウンプラザかねひでパイプライン内間市場,,タウンプラザかねひでパイプライン内間市場　,浦添市宮城５－１－１,,098-874-6521  ,魚介類販売業,魚介類販売業,金秀商事株式会社,098-946-2830  ,R04.01.26,R04.01.26,第05202101180号,,466,タウンプラザかねひでパイプライン内間市場　,098,098-874-6521,,,,浦添市宮城５－１－１,沖縄県浦添市宮城５－１－１,,215707,47,47208,宮城５,,2022/01/26,2022/01/26,,,金秀商事株式会社,,098-946-2830  ,,,,,,,,第05202101180号,,魚介類販売業, 魚介類販売業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,,,タウンプラザかねひでパイプライン内間市場098-874-652121570747208,1d8d1642-9f8a-46a2-b8df-5e2f054951ab,金秀商事株式会社,09fb08d6-6510-46fc-a92b-7943f5e6ff84,37b42908-707d-4335-94a3-7ab63666f315,2022/01/26,タウンプラザかねひでパイプライン内間市場　,タウンプラザかねひでパイプライン内間市場,金秀商事株式会社
タウンプラザかねひでパイプライン内間市場,,タウンプラザかねひでパイプライン内間市場　,浦添市宮城５－１－１,,098-874-6521  ,飲食店営業,寿司屋,金秀商事株式会社,098-946-2830  ,R04.01.26,R04.01.26,第05202101169号,,466,タウンプラザかねひでパイプライン内間市場　,098,098-874-6521,,,,浦添市宮城５－１－１,沖縄県浦添市宮城５－１－１,,215707,47,47208,宮城５,,2022/01/26,2022/01/26,,,金秀商事株式会社,,098-946-2830  ,,,,,,,,第05202101169号,,飲食店営業, 寿司屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,タウンプラザかねひでパイプライン内間市場098-874-652121570747208,1d8d1642-9f8a-46a2-b8df-5e2f054951ab,金秀商事株式会社,09fb08d6-6510-46fc-a92b-7943f5e6ff84,8e72f6a0-0566-491c-86d7-40b292702b36,2022/01/26,タウンプラザかねひでパイプライン内間市場　,タウンプラザかねひでパイプライン内間市場,金秀商事株式会社
タウンプラザかねひでパイプライン内間市場,,タウンプラザかねひでパイプライン内間市場　,浦添市宮城５－１－１,,098-874-6521  ,食肉販売業,食肉販売業,金秀商事株式会社,098-946-2830  ,R04.01.26,R04.01.26,第05202101181号,,466,タウンプラザかねひでパイプライン内間市場　,098,098-874-6521,,,,浦添市宮城５－１－１,沖縄県浦添市宮城５－１－１,,215707,47,47208,宮城５,,2022/01/26,2022/01/26,,,金秀商事株式会社,,098-946-2830  ,,,,,,,,第05202101181号,,食肉販売業, 食肉販売業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,583,,タウンプラザかねひでパイプライン内間市場098-874-652121570747208,1d8d1642-9f8a-46a2-b8df-5e2f054951ab,金秀商事株式会社,09fb08d6-6510-46fc-a92b-7943f5e6ff84,a67ff365-7876-44e8-a9c2-6a0eb63e99dd,2022/01/26,タウンプラザかねひでパイプライン内間市場　,タウンプラザかねひでパイプライン内間市場,金秀商事株式会社
タウンプラザかねひで前田国際市場,,タウンプラザかねひで前田国際市場　,浦添市前田１１５２－２,,098-988-3200  ,そうざい製造業,そうざい製造業,金秀商事株式会社,098-946-2830  ,R04.01.26,R04.01.26,第05202101178号,,466,タウンプラザかねひで前田国際市場　,098,098-988-3200,,,,浦添市前田１１５２－２,沖縄県浦添市前田１１５２－２,,215689,47,47208,前田１,,2022/01/26,2022/01/26,,,金秀商事株式会社,,098-946-2830  ,,,,,,,,第05202101178号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,タウンプラザかねひで前田国際市場098-988-320021568947208,41915a02-af86-4dfd-8fdf-bb97815a85b0,金秀商事株式会社,09fb08d6-6510-46fc-a92b-7943f5e6ff84,8903eb12-9d09-4d4e-a329-f01fe98f0b69,2022/01/26,タウンプラザかねひで前田国際市場　,タウンプラザかねひで前田国際市場,金秀商事株式会社
タウンプラザかねひで前田国際市場,,タウンプラザかねひで前田国際市場　,浦添市前田１１５２－２,,098-988-3200  ,菓子製造業,菓子製造業,金秀商事株式会社,098-946-2830  ,R04.01.26,R04.01.26,第05202101175号,,466,タウンプラザかねひで前田国際市場　,098,098-988-3200,,,,浦添市前田１１５２－２,沖縄県浦添市前田１１５２－２,,215689,47,47208,前田１,,2022/01/26,2022/01/26,,,金秀商事株式会社,,098-946-2830  ,,,,,,,,第05202101175号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,タウンプラザかねひで前田国際市場098-988-320021568947208,41915a02-af86-4dfd-8fdf-bb97815a85b0,金秀商事株式会社,09fb08d6-6510-46fc-a92b-7943f5e6ff84,0b1317e2-bfff-431e-9624-44e0f8c07110,2022/01/26,タウンプラザかねひで前田国際市場　,タウンプラザかねひで前田国際市場,金秀商事株式会社
タウンプラザかねひで前田国際市場,,タウンプラザかねひで前田国際市場　,浦添市前田１１５２－２,,098-988-3200  ,魚介類販売業,魚介類販売業,金秀商事株式会社,098-946-2830  ,R04.01.26,R04.01.26,第05202101176号,,466,タウンプラザかねひで前田国際市場　,098,098-988-3200,,,,浦添市前田１１５２－２,沖縄県浦添市前田１１５２－２,,215689,47,47208,前田１,,2022/01/26,2022/01/26,,,金秀商事株式会社,,098-946-2830  ,,,,,,,,第05202101176号,,魚介類販売業, 魚介類販売業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,,,タウンプラザかねひで前田国際市場098-988-320021568947208,41915a02-af86-4dfd-8fdf-bb97815a85b0,金秀商事株式会社,09fb08d6-6510-46fc-a92b-7943f5e6ff84,902a287a-2996-4c7b-aa48-7772d5608d5d,2022/01/26,タウンプラザかねひで前田国際市場　,タウンプラザかねひで前田国際市場,金秀商事株式会社
タウンプラザかねひで前田国際市場,,タウンプラザかねひで前田国際市場　,浦添市前田１１５２－２,,098-988-3200  ,飲食店営業,寿司屋,金秀商事株式会社,098-946-2830  ,R04.01.26,R04.01.26,第05202101170号,,466,タウンプラザかねひで前田国際市場　,098,098-988-3200,,,,浦添市前田１１５２－２,沖縄県浦添市前田１１５２－２,,215689,47,47208,前田１,,2022/01/26,2022/01/26,,,金秀商事株式会社,,098-946-2830  ,,,,,,,,第05202101170号,,飲食店営業, 寿司屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,タウンプラザかねひで前田国際市場098-988-320021568947208,41915a02-af86-4dfd-8fdf-bb97815a85b0,金秀商事株式会社,09fb08d6-6510-46fc-a92b-7943f5e6ff84,fd845494-a052-42ca-b9ea-45c19b2fd298,2022/01/26,タウンプラザかねひで前田国際市場　,タウンプラザかねひで前田国際市場,金秀商事株式会社
タウンプラザかねひで前田国際市場,,タウンプラザかねひで前田国際市場　,浦添市前田１１５２－２,,098-988-3200  ,食肉販売業,食肉販売業,金秀商事株式会社,098-946-2830  ,R04.01.26,R04.01.26,第05202101177号,,466,タウンプラザかねひで前田国際市場　,098,098-988-3200,,,,浦添市前田１１５２－２,沖縄県浦添市前田１１５２－２,,215689,47,47208,前田１,,2022/01/26,2022/01/26,,,金秀商事株式会社,,098-946-2830  ,,,,,,,,第05202101177号,,食肉販売業, 食肉販売業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,583,,タウンプラザかねひで前田国際市場098-988-320021568947208,41915a02-af86-4dfd-8fdf-bb97815a85b0,金秀商事株式会社,09fb08d6-6510-46fc-a92b-7943f5e6ff84,c0cf7c17-cc87-4038-b0a5-34135e0d6475,2022/01/26,タウンプラザかねひで前田国際市場　,タウンプラザかねひで前田国際市場,金秀商事株式会社
有限会社西原製氷,,有限会社西原製氷　,西原町字幸地４１５－２,,              ,氷雪製造業,氷雪製造業,有限会社西原製氷,098-946-5181  ,R04.02.07,R04.02.07,第05202101222号,,466,有限会社西原製氷　,098,,,,,西原町字幸地４１５－２,沖縄県中頭郡西原町字幸地４１５－２,,216327,47,47329,幸地,,2022/02/07,2022/02/07,,,有限会社西原製氷,,098-946-5181  ,,,,,,,,第05202101222号,,氷雪製造業, 氷雪製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,有限会社西原製氷21632747329,4ce29d57-ba3b-451c-8fc1-0bd6154a8a87,有限会社西原製氷,3ea95dc7-4ae1-459b-9c2b-8007cc973ceb,1c8c4f22-85c6-4cde-8a91-e00ae82560e9,2022/02/07,有限会社西原製氷　,有限会社西原製氷,有限会社西原製氷
ファミリーマート南城大里稲嶺店,,ファミリーマート南城大里稲嶺店　,南城市大里字稲嶺１５１－３,,              ,飲食店営業,そうざい,有限会社　アスティー,098-946-9946  ,R04.02.09,R04.02.09,第05202101228号,,466,ファミリーマート南城大里稲嶺店　,098,,,,,南城市大里字稲嶺１５１－３,沖縄県南城市大里字稲嶺１５１－３,,216126,47,47215,大里,,2022/02/09,2022/02/09,,,有限会社　アスティー,,098-946-9946  ,,,,,,,,第05202101228号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ファミリマト南城大里稲嶺店21612647215,05075c6c-160a-4fa0-986f-944ffb8f02c8,有限会社アスティー,6270c396-c21d-43c1-82be-612a133ea160,55d629bc-57c3-4e4b-a4e8-7ba2a5b1049a,2022/02/09,ファミリーマート南城大里稲嶺店　,ファミリマト南城大里稲嶺店,有限会社アスティー
ユンイチホテル南城　夢宇民,,ユンイチホテル南城　夢宇民　,南城市佐敷字新里１６８８,,098-947-0111  ,飲食店営業,パーラー,タピック沖縄株式会社,098-947-0111  ,R03.12.14,R03.12.14,第05202101065号,,466,ユンイチホテル南城　夢宇民　,098,098-947-0111,,,,南城市佐敷字新里１６８８,沖縄県南城市佐敷字新里１６８８,,216127,47,47215,佐敷,,2021/12/14,2021/12/14,,,タピック沖縄株式会社,,098-947-0111  ,,,,,,,,第05202101065号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ユンイチホテル南城夢宇民098-947-011121612747215,9a1f6183-8239-4d11-a6aa-1887651a54c0,タピック沖縄株式会社,d8976325-c6bd-47f1-8ddf-221d4cd74e6d,e75ab3e0-4a35-4a49-bb4e-b50c5595e0d5,2021/12/14,ユンイチホテル南城　夢宇民　,ユンイチホテル南城夢宇民,タピック沖縄株式会社
与那原日の出園,,与那原日の出園　,与那原町与那原３７８２－１,,098-946-5155  ,飲食店営業,仕出し屋,株式会社　はんたや,098-963-6017  ,R04.01.27,R04.01.27,第05202101185号,,466,与那原日の出園　,098,098-946-5155,,,,与那原町与那原３７８２－１,沖縄県島尻郡与那原町与那原３７８２－１,,216419,47,47348,与那原,,2022/01/27,2022/01/27,,,株式会社　はんたや,,098-963-6017  ,,,,,,,,第05202101185号,,飲食店営業, 仕出し屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,与那原日の出園098-946-515521641947348,ee5bf1f9-db8a-4978-8ad3-e70c00f4c0d3,株式会社はんたや,c2c6298e-fa7d-443f-8ebf-00d99cf00d64,24dc5db5-3e49-4975-ad05-03f1050d0e92,2022/01/27,与那原日の出園　,与那原日の出園,株式会社はんたや
カフェレスト　エバーロイヤル,,カフェレスト　エバーロイヤル　,豊見城市与根１３－１,,098-850-0187  ,飲食店営業,レストラン,有限会社オフィス真珠エバーロイヤル,098-963-6074  ,R04.01.31,R04.01.31,第05202101203号,,466,カフェレスト　エバーロイヤル　,098,098-850-0187,,,,豊見城市与根１３－１,沖縄県豊見城市与根１３－１,,216023,47,47212,与根,,2022/01/31,2022/01/31,,,有限会社オフィス真珠エバーロイヤル,,098-963-6074  ,,,,,,,,第05202101203号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,カフェレストエバロイヤル098-850-018721602347212,2c67fe6a-203b-4e93-a387-5e9bd6d7833c,有限会社オフィス真珠エバーロイヤル,6ebdb704-4f2c-4841-a1c8-5bca4fcc2508,ed513968-a37b-4453-a5c3-58194de72527,2022/01/31,カフェレスト　エバーロイヤル　,カフェレストエバロイヤル,有限会社オフィス真珠エバーロイヤル
Ｍｏｇｌ　ｍａｃｕｒｉ　ｃｉｔｙ,,Ｍｏｇｌ　ｍａｃｕｒｉ　ｃｉｔｙ　,豊見城市豊崎３－３５,イーアス豊崎（２５８０）,              ,飲食店営業,カフェー,株式会社ＳＩＯ　ＣＯ　ＳＨＯＷ,098-975-5816  ,R03.12.16,R03.12.16,第05202101075号,,466,Ｍｏｇｌ　ｍａｃｕｒｉ　ｃｉｔｙ　,098,,,,,豊見城市豊崎３－３５,沖縄県豊見城市豊崎３－３５,イーアス豊崎（２５８０）,216016,47,47212,豊崎,,2021/12/16,2021/12/16,,,株式会社ＳＩＯ　ＣＯ　ＳＨＯＷ,,098-975-5816  ,,,,,,,,第05202101075号,,飲食店営業, カフェー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,Ｍｏｇｌｍａｃｕｒｉｃｉｔｙ21601647212,b0741a1c-f9e0-4aef-8ff7-76dfaefd9b02,株式会社ＳＩＯ　ＣＯ　ＳＨＯＷ,1b802109-2d0a-4872-96bc-21eef1c127a1,3af546c9-9d9d-456f-a870-4e58e0a055dc,2021/12/16,Ｍｏｇｌ　ｍａｃｕｒｉ　ｃｉｔｙ　,Ｍｏｇｌｍａｃｕｒｉｃｉｔｙ,株式会社ＳＩＯ　ＣＯ　ＳＨＯＷ
ほうき星,,ほうき星　,浦添市港川２－１６－２,港川沖商住宅２５号,098-975-7825  ,飲食店営業,カフェー,株式会社ほうき星,098-975-7825  ,R03.12.28,R03.12.28,第05202101097号,,466,ほうき星　,098,098-975-7825,,,,浦添市港川２－１６－２,沖縄県浦添市港川２－１６－２,港川沖商住宅２５号,215701,47,47208,港川２,,2021/12/28,2021/12/28,,,株式会社ほうき星,,098-975-7825  ,,,,,,,,第05202101097号,,飲食店営業, カフェー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ほうき星098-975-782521570147208,699e0026-c4b7-4786-b756-7cfa28f0c698,株式会社ほうき星,8d5fdf3a-b03b-4ce6-9b60-dd3e8034a30d,ae763747-e0bf-450a-9563-d73e4dffc83f,2021/12/28,ほうき星　,ほうき星,株式会社ほうき星
ＹＵＮＡＭＩ　ＦＡＣＴＯＲＹ,,ＹＵＮＡＭＩ　ＦＡＣＴＯＲＹ　,久米島町字兼城１１４６－１,,098-996-5087  ,飲食店営業,パーラー,株式会社　與那嶺商会,098-985-2323  ,R04.01.28,R04.01.28,第05202101195号,,466,ＹＵＮＡＭＩ　ＦＡＣＴＯＲＹ　,098,098-996-5087,,,,久米島町字兼城１１４６－１,沖縄県島尻郡久米島町字兼城１１４６－１,,216504,47,47361,兼城,,2022/01/28,2022/01/28,,,株式会社　與那嶺商会,,098-985-2323  ,,,,,,,,第05202101195号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＹＵＮＡＭＩＦＡＣＴＯＲＹ098-996-508721650447361,2a1b2cd9-2aae-4487-a879-8449616e6411,株式会社與那嶺商会,2cdbccfe-eaab-44b4-afbe-12159ff89217,a8ff8890-d114-4034-a0b9-ad89469cbc5e,2022/01/28,ＹＵＮＡＭＩ　ＦＡＣＴＯＲＹ　,ＹＵＮＡＭＩＦＡＣＴＯＲＹ,株式会社與那嶺商会
津山ひまわり園,,津山ひまわり園　,糸満市字阿波根８５２－１,,              ,飲食店営業,食堂,一般社団法人あたいぐゎー,098-987-1110  ,R04.01.21,R04.01.21,第05202101146号,,466,津山ひまわり園　,098,,,,,糸満市字阿波根８５２－１,沖縄県糸満市字阿波根８５２－１,,215811,47,47210,阿波根,,2022/01/21,2022/01/21,,,一般社団法人あたいぐゎー,,098-987-1110  ,,,,,,,,第05202101146号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,津山ひまわり園21581147210,c25fdc9e-76e3-4034-ac37-44119ff2939a,一般社団法人あたいぐゎー,0411561a-f7e5-452e-8c11-8335ee842992,2e1ea3f8-01a6-4d59-a64f-fd5920ec30f3,2022/01/21,津山ひまわり園　,津山ひまわり園,一般社団法人あたいぐゎー
島の装い。ＳＴＯＲＥ,,島の装い。ＳＴＯＲＥ　,豊見城市豊崎１－３２９,,098-987-1593  ,飲食店営業,パーラー,有限会社ホーセル,098-987-1591  ,R03.12.17,R03.12.17,第05202101077号,,466,島の装い。ＳＴＯＲＥ　,098,098-987-1593,,,,豊見城市豊崎１－３２９,沖縄県豊見城市豊崎１－３２９,,216016,47,47212,豊崎,,2021/12/17,2021/12/17,,,有限会社ホーセル,,098-987-1591  ,,,,,,,,第05202101077号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,島の装いＳＴＯＲＥ098-987-159321601647212,d84f305e-f205-4a36-8fd9-bcffb40b0ace,有限会社ホーセル,3cc81888-36d8-4a09-b131-b18586fc215c,e6b6172f-461d-47f0-b67e-30d819b68b6f,2021/12/17,島の装い。ＳＴＯＲＥ　,島の装いＳＴＯＲＥ,有限会社ホーセル
ペンション　ゲルマ,,ペンション　ゲルマ　,座間味村字慶留間６０,,098-987-2976  ,飲食店営業,旅館,有限会社ケラママリン企画,098-987-2976  ,R04.01.04,R04.01.04,第05202101106号,,466,ペンション　ゲルマ　,098,098-987-2976,,,,座間味村字慶留間６０,沖縄県島尻郡座間味村字慶留間６０,,216389,47,47354,慶留間,,2022/01/04,2022/01/04,,,有限会社ケラママリン企画,,098-987-2976  ,,,,,,,,第05202101106号,,飲食店営業, 旅館,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ペンションゲルマ098-987-297621638947354,3409ee6a-6714-4620-982e-045b6653b5f6,有限会社ケラママリン企画,bea9a529-88d9-41d4-9cbd-b9c225ca70f6,c3fdb9c0-4b59-41ab-b89c-a3b731df7781,2022/01/04,ペンション　ゲルマ　,ペンションゲルマ,有限会社ケラママリン企画
株式会社さし草屋,,株式会社さし草屋　,南城市大里字仲間９３７,,098-988-1209  ,そうざい製造業,そうざい製造業,株式会社さし草屋,098-988-1209  ,R04.01.21,R04.01.21,第05202101144号,,466,株式会社さし草屋　,098,098-988-1209,,,,南城市大里字仲間９３７,沖縄県南城市大里字仲間９３７,,216126,47,47215,大里,,2022/01/21,2022/01/21,,,株式会社さし草屋,,098-988-1209  ,,,,,,,,第05202101144号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,株式会社さし草屋098-988-120921612647215,9bb59b7f-0781-42b2-bd45-13aa824fc2fb,株式会社さし草屋,cbd19ed9-b1bc-45d6-a5b9-66d52b87d183,ae434dea-94a9-48aa-b943-11b7ec5f76e4,2022/01/21,株式会社さし草屋　,株式会社さし草屋,株式会社さし草屋
株式会社さし草屋,,株式会社さし草屋　,南城市大里字仲間９３７,,098-988-1209  ,菓子製造業,菓子製造業,株式会社さし草屋,098-988-1209  ,R04.01.21,R04.01.21,第05202101143号,,466,株式会社さし草屋　,098,098-988-1209,,,,南城市大里字仲間９３７,沖縄県南城市大里字仲間９３７,,216126,47,47215,大里,,2022/01/21,2022/01/21,,,株式会社さし草屋,,098-988-1209  ,,,,,,,,第05202101143号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,株式会社さし草屋098-988-120921612647215,9bb59b7f-0781-42b2-bd45-13aa824fc2fb,株式会社さし草屋,cbd19ed9-b1bc-45d6-a5b9-66d52b87d183,fd0e98e0-3a30-4f33-9fa7-30fedf71203c,2022/01/21,株式会社さし草屋　,株式会社さし草屋,株式会社さし草屋
パパジラフ沖縄店,,パパジラフ沖縄店　,浦添市牧港２－４３－８　,１Ｆ（右）,098-988-8974  ,飲食店営業,レストラン,株式会社　杉崎商店,098-988-8974  ,R04.02.28,R04.02.28,第05202101282号,,466,パパジラフ沖縄店　,098,098-988-8974,,,,浦添市牧港２－４３－８　,沖縄県浦添市牧港２－４３－８,１Ｆ（右）,215695,47,47208,牧港２,,2022/02/28,2022/02/28,,,株式会社　杉崎商店,,098-988-8974  ,,,,,,,,第05202101282号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,パパジラフ沖縄店098-988-897421569547208,51d026d7-bd47-4f78-a200-70795c704463,株式会社杉崎商店,935ff457-3612-4622-b7eb-48063e10bef0,7035b7a3-c31c-4c23-adcf-b02f1f078d22,2022/02/28,パパジラフ沖縄店　,パパジラフ沖縄店,株式会社杉崎商店
