https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-住所1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設＿名称（屋号・商号）,所在地,,,施設＿電話番号（所在地）,業種,申請者＿申請者名,申請者＿住所,申請者＿電話番号,初回許可年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
イタリア料理店   こすめあ,大和郡山市小泉町東   ２－１１－７井川テナント３号,大和郡山市小泉町東,２－１１－７井川テナント３号,0743-56-0639,飲食店営業,林   千秋,,,R03.09.27,R03.09.27,第421313号,,321,イタリア料理店   こすめあ,0743,0743-56-0639,,,,大和郡山市小泉町東,奈良県大和郡山市小泉町東,２－１１－７井川テナント３号,172846,29,29203,小泉町,,2021/09/27,2021/09/27,,,,林   千秋,,,,,,,,,第421313号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,イタリア料理店こすめあ0743-56-063917284629203,a82c8599-1f58-4b7f-a1da-4b4115bf7980,,personal,11cfbf69-5710-48f8-8cbf-dd772e4ecd23,2021/09/27,イタリア料理店　こすめあ,イタリア料理店こすめあ,
南部公民館喫茶コーナー,大和郡山市筒井町   ６００－４,大和郡山市筒井町,６００－４,0743-59-1316,飲食店営業,大和郡山市,大和郡山市北郡山町   ２４８－４,0743-53-1151,R03.09.27,R03.09.27,第421314号,,321,南部公民館喫茶コーナー,0743,0743-59-1316,,,,大和郡山市筒井町,奈良県大和郡山市筒井町,６００－４,172877,29,29203,筒井町,,2021/09/27,2021/09/27,,,大和郡山市,,0743-53-1151,大和郡山市北郡山町   ２４８－４,奈良県大和郡山市北郡山町２４８－４,,172840,奈良県,大和郡山市,北郡山町,第421314号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,南部公民館喫茶コナ0743-59-131617287729203,6becdfa9-d373-4572-a447-8ef7431e86fc,172840,6ae7a491-1ed3-4e23-9ec1-38169d0d9953,9a4b54b8-63b3-40c9-bd79-d10f9bc89854,2021/09/27,南部公民館喫茶コーナー,南部公民館喫茶コナ,
カリー事変,高市郡高取町上土佐   ６２－１,高市郡高取町上土佐,６２－１,,飲食店営業,藤巻   美雪,,,R03.09.27,R03.09.27,第821464号,,322,カリー事変,0744,,,,,高市郡高取町上土佐,奈良県高市郡高取町上土佐,６２－１,174228,29,29401,上土佐,,2021/09/27,2021/09/27,,,,藤巻   美雪,,,,,,,,,第821464号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,カリ事変17422829401,86ba3d12-398e-4cbc-a776-4063866c36a7,,personal,44dbee78-78c7-4344-9798-dd09aea1061b,2021/09/27,カリー事変,カリ事変,
串料理   田里津,北葛城郡上牧町上牧   ３３９９－３,北葛城郡上牧町上牧,３３９９－３,0745-77-7206,飲食店営業,田島   幸子,,,R03.09.27,R03.09.27,第821474号,,322,串料理   田里津,0745,0745-77-7206,,,,北葛城郡上牧町上牧,奈良県北葛城郡上牧町上牧,３３９９－３,174302,29,29424,上牧,,2021/09/27,2021/09/27,,,,田島   幸子,,,,,,,,,第821474号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,串料理田里津0745-77-720617430229424,173667d8-8554-4cf4-8707-57c58c4afe53,,personal,3e78ae11-ee62-46f2-b023-ff5d1d74e8a0,2021/09/27,串料理　田里津,串料理田里津,
ひよしのさと加工センター,吉野郡東吉野村鷲家２２４,吉野郡東吉野村鷲家２２４,,0746-42-0153,密封包装食品製造業,有限会社小さな道の駅ひよしのさと,吉野郡東吉野村鷲家２２４,0746-42-0153,R03.09.27,R03.09.27,第521081号,,324,ひよしのさと加工センター,0746,0746-42-0153,,,,吉野郡東吉野村鷲家２２４,奈良県吉野郡東吉野村鷲家２２４,,174629,29,29453,鷲家,,2021/09/27,2021/09/27,,,有限会社小さな道の駅ひよしのさと,,0746-42-0153,吉野郡東吉野村鷲家２２４,奈良県吉野郡東吉野村鷲家２２４,,174629,奈良県,吉野郡東吉野村,鷲家,第521081号,,密封包装食品製造業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,E,9,,,ひよしのさと加工センタ0746-42-015317462929453,7840adc8-f36f-4732-a7f0-18866e523234,有限会社小さな道の駅ひよしのさと174629,dfb1611b-7086-453a-9c42-c01c085c07e1,64d5f3ce-b835-49f7-bf85-ad6294189133,2021/09/27,ひよしのさと加工センター,ひよしのさと加工センタ,有限会社小さな道の駅ひよしのさと
こもれびｃａｆé,生駒市高山町   ３４２０,生駒市高山町,３４２０,,飲食店営業,金子   秀樹,,,R03.09.24,R03.09.24,第421303号,,321,こもれびｃａｆé,0743,,,,,生駒市高山町,奈良県生駒市高山町,３４２０,173504,29,29209,高山町,,2021/09/24,2021/09/24,,,,金子   秀樹,,,,,,,,,第421303号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,こもれびｃａｆe17350429209,244f91d7-562b-4873-a326-77f1d361d6c5,,personal,f7c3e356-7611-446e-bcf6-8659e5aaaa89,2021/09/24,こもれびｃａｆé,こもれびｃａｆe,
サーティワン   アイスクリーム   イオンモール大和郡山,大和郡山市下三橋町   ７４１,大和郡山市下三橋町,７４１,0743-54-0031,飲食店営業,株式会社ワイズ,生駒市あすか野南   ２－１－８   ワイズビル２Ｆ,0743-71-0123,R03.09.24,R03.09.24,第421304号,,321,サーティワン   アイスクリーム   イオンモール大和郡山,0743,0743-54-0031,,,,大和郡山市下三橋町,奈良県大和郡山市下三橋町,７４１,172855,29,29203,下三橋町,,2021/09/24,2021/09/24,,,株式会社ワイズ,,0743-71-0123,生駒市あすか野南   ２－１－８   ワイズビル２Ｆ,奈良県生駒市あすか野南２－１－８,ワイズビル２Ｆ,173472,奈良県,生駒市,あすか野南２,第421304号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,サティワンアイスクリムイオンモル大和郡山0743-54-003117285529203,74e46a00-2a6a-4902-91da-17bfe56c79c2,株式会社ワイズ173472,89a3726a-5721-40e2-b680-d8ca8a1eca61,79691c27-8fc7-47b3-86f0-d3e04a928bb1,2021/09/24,サーティワン　アイスクリーム　イオンモール大和郡山,サティワンアイスクリムイオンモル大和郡山,株式会社ワイズ
ＢＯＤＹ   ＦＯＯＤ,大和高田市片塩町   ６－６－１０１,大和高田市片塩町,６－６－１０１,0745-51-7688,そうざい製造業,田口開発株式会社,大和高田市昭和町   ８－１０－４１２朝日プラザウエストウイング,0745-51-7688,R03.09.24,R03.09.24,第821472号,,322,ＢＯＤＹ   ＦＯＯＤ,0745,0745-51-7688,,,,大和高田市片塩町,奈良県大和高田市片塩町,６－６－１０１,172759,29,29202,片塩町,,2021/09/24,2021/09/24,,,田口開発株式会社,,0745-51-7688,大和高田市昭和町   ８－１０－４１２朝日プラザウエストウイング,奈良県大和高田市昭和町８－１０－４１２,朝日プラザウエストウイング,172767,奈良県,大和高田市,昭和町,第821472号,,そうざい製造業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,E,9,,,ＢＯＤＹＦＯＯＤ0745-51-768817275929202,f759cd1c-a4f5-4982-9cba-108e9a9bbd40,田口開発株式会社172767,73765a78-923c-431c-837b-fee44e09f1d6,3a54cf0a-5d27-46e4-963c-ce202192f9ba,2021/09/24,ＢＯＤＹ　ＦＯＯＤ,ＢＯＤＹＦＯＯＤ,田口開発株式会社
レストラン   ピノ   ノワール,橿原市今井町   １－５－１２,橿原市今井町,１－５－１２,,飲食店営業,小松   郁雄,,,R03.09.24,R03.09.24,第821466号,,322,レストラン   ピノ   ノワール,0744,,,,,橿原市今井町,奈良県橿原市今井町１－５－１２,,173019,29,29205,今井町１,,2021/09/24,2021/09/24,,,,小松   郁雄,,,,,,,,,第821466号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,レストランピノノワル17301929205,5ace2627-5f38-4b68-9961-8702a8fb88f2,,personal,3579928b-cc57-4d3f-b2e2-000331f4dc1e,2021/09/24,レストラン　ピノ　ノワール,レストランピノノワル,
まごころ弁当   香芝店,香芝市西真美   ２－１８－２７,香芝市西真美,２－１８－２７,0745-60-6206,飲食店営業,髙目   みどり,,,R03.09.24,R03.09.24,第821473号,,322,まごころ弁当   香芝店,0745,0745-60-6206,,,,香芝市西真美,奈良県香芝市西真美２－１８－２７,,173638,29,29210,西真美２,,2021/09/24,2021/09/24,,,,髙目   みどり,,,,,,,,,第821473号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,まごころ弁当香芝店0745-60-620617363829210,9a4bbe20-3d28-41c0-ac78-54ee4e280fb8,,personal,367ab201-fe6b-4fb1-a094-dada2bfae63d,2021/09/24,まごころ弁当　香芝店,まごころ弁当香芝店,
サービス付き高齢者住宅   かぎろひ,橿原市小槻町   ４４０－３,橿原市小槻町,４４０－３,0744-22-7920,飲食店営業,ミストラルＨＤ株式会社,岩出市根来   ２５１－２８,0736-67-6490,R03.09.24,R03.09.24,第821465号,,322,サービス付き高齢者住宅   かぎろひ,0744,0744-22-7920,,,,橿原市小槻町,奈良県橿原市小槻町,４４０－３,173028,29,29205,小槻町,,2021/09/24,2021/09/24,,,ミストラルＨＤ株式会社,,0736-67-6490,岩出市根来   ２５１－２８,和歌山県岩出市根来２５１－２８,,176014,和歌山県,岩出市,根来,第821465号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,サビス付き高齢者住宅かぎろひ0744-22-792017302829205,669035b8-68e8-47ac-8602-2212541092ce,ミストラルＨＤ株式会社176014,46c56a40-43ce-4bfa-8692-f98152f6a492,aaa88fcb-0e4f-451e-aee7-8a78f710cba7,2021/09/24,サービス付き高齢者住宅　かぎろひ,サビス付き高齢者住宅かぎろひ,ミストラルＨＤ株式会社
ベルライフ葛城,葛城市北花内   ５２７－１,葛城市北花内 ５２７－１,,0745-69-8068,飲食店営業,株式会社タクサン,葛城市疋田   ５５６－１,0745-69-4718,R03.09.24,R03.09.24,第821471号,,322,ベルライフ葛城,0745,0745-69-8068,,,,葛城市北花内 ５２７－１,奈良県葛城市北花内５２７－１,,173688,29,29211,北花内,,2021/09/24,2021/09/24,,,株式会社タクサン,,0745-69-4718,葛城市疋田   ５５６－１,奈良県葛城市疋田５５６－１,,173708,奈良県,葛城市,疋田,第821471号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ベルライフ葛城0745-69-806817368829211,e87472e2-0c64-43ae-a02d-5437f3679708,株式会社タクサン173708,71fc656f-f378-4cd1-8dae-6ed63a0e671b,fd7827ad-4b6a-44e6-af21-0bf3a8da6164,2021/09/24,ベルライフ葛城,ベルライフ葛城,株式会社タクサン
ゴルフガーデン   大御門,大和郡山市井戸野町   ３３３,大和郡山市井戸野町,３３３,0743-52-1455,飲食店営業,株式会社成和観光,大和郡山市美濃庄町   ２３,0743-53-7501,R03.09.22,R03.09.22,第421287号,,321,ゴルフガーデン   大御門,0743,0743-52-1455,,,,大和郡山市井戸野町,奈良県大和郡山市井戸野町,３３３,172826,29,29203,井戸野町,,2021/09/22,2021/09/22,,,株式会社成和観光,,0743-53-7501,大和郡山市美濃庄町   ２３,奈良県大和郡山市美濃庄町２３,,172914,奈良県,大和郡山市,美濃庄町,第421287号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ゴルフガデン大御門0743-52-145517282629203,c8d37370-a549-4192-8eff-e822cb0dd38a,株式会社成和観光172914,e2ab26d2-6169-4306-8c5e-b8aded5ba7ea,9f852ea5-7506-4491-8aa8-acc9411ecc3d,2021/09/22,ゴルフガーデン　大御門,ゴルフガデン大御門,株式会社成和観光
ファミリーマート大和郡山外川町店,大和郡山市外川町   ５３－１,大和郡山市外川町,５３－１,0743-58-5090,飲食店営業,谷   誠浩,,,R03.09.22,R03.09.22,第421288号,,321,ファミリーマート大和郡山外川町店,0743,0743-58-5090,,,,大和郡山市外川町,奈良県大和郡山市外川町,５３－１,172883,29,29203,外川町,,2021/09/22,2021/09/22,,,,谷   誠浩,,,,,,,,,第421288号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ファミリマト大和郡山外川町店0743-58-509017288329203,fffd6af6-7f26-4e4e-a481-2f980628ce23,,personal,7c5a5c23-ef59-4a07-bd9d-702bb414df61,2021/09/22,ファミリーマート大和郡山外川町店,ファミリマト大和郡山外川町店,
ハーベス大和郡山店,大和郡山市高田町   ９２－１４,大和郡山市高田町,９２－１４,0743-53-3311,飲食店営業,株式会社近商ストア,松原市上田   ３－８－２８,072-338-3800,R03.09.22,R03.09.22,第421289号,,321,ハーベス大和郡山店,0743,0743-53-3311,,,,大和郡山市高田町,奈良県大和郡山市高田町,９２－１４,172871,29,29203,高田町,,2021/09/22,2021/09/22,,,株式会社近商ストア,,072-338-3800,松原市上田   ３－８－２８,大阪府松原市上田３－８－２８,,160582,大阪府,松原市,上田３,第421289号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ハベス大和郡山店0743-53-331117287129203,de970e1f-960e-4f68-b1b2-02c26732ae3f,株式会社近商ストア160582,4e6813d4-59b5-40f1-97f0-ddec6725b24d,3f51beea-bb4c-484f-a310-0bd19d023339,2021/09/22,ハーベス大和郡山店,ハベス大和郡山店,株式会社近商ストア
ハーベス大和郡山店,大和郡山市高田町   ９２－１４,大和郡山市高田町,９２－１４,0743-53-3311,食肉販売業,株式会社近商ストア,松原市上田   ３－８－２８,072-338-3800,R03.09.22,R03.09.22,第421290号,,321,ハーベス大和郡山店,0743,0743-53-3311,,,,大和郡山市高田町,奈良県大和郡山市高田町,９２－１４,172871,29,29203,高田町,,2021/09/22,2021/09/22,,,株式会社近商ストア,,072-338-3800,松原市上田   ３－８－２８,大阪府松原市上田３－８－２８,,160582,大阪府,松原市,上田３,第421290号,,食肉販売業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,I,58,583,,ハベス大和郡山店0743-53-331117287129203,de970e1f-960e-4f68-b1b2-02c26732ae3f,株式会社近商ストア160582,4e6813d4-59b5-40f1-97f0-ddec6725b24d,870b17c2-1dd3-4240-bea8-597a56ca0462,2021/09/22,ハーベス大和郡山店,ハベス大和郡山店,株式会社近商ストア
ハーベス大和郡山店,大和郡山市高田町   ９２－１４,大和郡山市高田町,９２－１４,0743-53-3311,魚介類販売業,株式会社近商ストア,松原市上田   ３－８－２８,072-338-3800,R03.09.22,R03.09.22,第421291号,,321,ハーベス大和郡山店,0743,0743-53-3311,,,,大和郡山市高田町,奈良県大和郡山市高田町,９２－１４,172871,29,29203,高田町,,2021/09/22,2021/09/22,,,株式会社近商ストア,,072-338-3800,松原市上田   ３－８－２８,大阪府松原市上田３－８－２８,,160582,大阪府,松原市,上田３,第421291号,,魚介類販売業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,I,58,,,ハベス大和郡山店0743-53-331117287129203,de970e1f-960e-4f68-b1b2-02c26732ae3f,株式会社近商ストア160582,4e6813d4-59b5-40f1-97f0-ddec6725b24d,770aaece-3851-4b98-a920-463360e55107,2021/09/22,ハーベス大和郡山店,ハベス大和郡山店,株式会社近商ストア
オステリア   オルベテッロ,大和郡山市紺屋町   １０,大和郡山市紺屋町,１０,0743-53-3183,飲食店営業,中川   圭,,,R03.09.22,R03.09.22,第421292号,,321,オステリア   オルベテッロ,0743,0743-53-3183,,,,大和郡山市紺屋町,奈良県大和郡山市紺屋町,１０,172849,29,29203,紺屋町,,2021/09/22,2021/09/22,,,,中川   圭,,,,,,,,,第421292号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,オステリアオルベテッロ0743-53-318317284929203,675ed492-007c-4cf2-8733-a062dbb2353e,,personal,6c9653c0-ecd0-4f23-a520-d127de754d7e,2021/09/22,オステリア　オルベテッロ,オステリアオルベテッロ,
プライスカット大和小泉店,大和郡山市小泉町七川   １９－１,大和郡山市小泉町七川,１９－１,0743-55-2800,飲食店営業,株式会社オークワ,和歌山市中島１８５－３,073-425-2481,R03.09.22,R03.09.22,第421293号,,321,プライスカット大和小泉店,0743,0743-55-2800,,,,大和郡山市小泉町七川,奈良県大和郡山市小泉町七川,１９－１,172846,29,29203,小泉町,,2021/09/22,2021/09/22,,,株式会社オークワ,,073-425-2481,和歌山市中島１８５－３,和歌山県和歌山市中島１８５－３,,175031,和歌山県,和歌山市,中島,第421293号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,プライスカット大和小泉店0743-55-280017284629203,52610304-3d1a-4e5d-9ddf-261de6ee30e2,株式会社オークワ175031,92404fef-cb7a-475b-a07e-364ff9f9a1e6,86fc014d-29fc-4f40-8a55-908b77a1809f,2021/09/22,プライスカット大和小泉店,プライスカット大和小泉店,株式会社オークワ
奈良県農業協同組合   矢田地区   農産物加工研修施設,大和郡山市外川町   １６６－１,大和郡山市外川町,１６６－１,0743-53-3531,みそ又はしょうゆ製造業,奈良県農業協同組合,奈良市大森町   ５７－３,0742-27-4013,R03.09.22,R03.09.22,第421294号,,321,奈良県農業協同組合   矢田地区   農産物加工研修施設,0743,0743-53-3531,,,,大和郡山市外川町,奈良県大和郡山市外川町,１６６－１,172883,29,29203,外川町,,2021/09/22,2021/09/22,,,奈良県農業協同組合,,0742-27-4013,奈良市大森町   ５７－３,奈良県奈良市大森町５７－３,,172145,奈良県,奈良市,大森町,第421294号,,みそ製造業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,E,9,,,奈良県農業協同組合矢田地区農産物加工研修施設0743-53-353117288329203,2c42b330-bea0-4012-b632-d1c1f7544184,奈良県農業協同組合172145,c16372f2-cd58-4bd1-a794-037d41741176,33c66ca6-cc11-45d7-829e-939db253cece,2021/09/22,奈良県農業協同組合　矢田地区　農産物加工研修施設,奈良県農業協同組合矢田地区農産物加工研修施設,奈良県農業協同組合
紫苑,大和郡山市小泉町   １６０１,大和郡山市小泉町,１６０１,0743-52-8832,飲食店営業,嶋崎   富枝,,,R03.09.22,R03.09.22,第421295号,,321,紫苑,0743,0743-52-8832,,,,大和郡山市小泉町,奈良県大和郡山市小泉町,１６０１,172846,29,29203,小泉町,,2021/09/22,2021/09/22,,,,嶋崎   富枝,,,,,,,,,第421295号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,紫苑0743-52-883217284629203,1800b473-f5ca-4d30-aa00-0d6e0eb43bd9,,personal,2c72f9af-e4e4-4ca3-af58-7165ad158b0b,2021/09/22,紫苑,紫苑,
ご馳走うどん   おしどり。,大和郡山市小泉町   ２８８０－１   ウエストスプリング   １０２,大和郡山市小泉町 ２８８０－１   ,ウエストスプリング １０２,0743-55-5685,飲食店営業,株式会社おしどり,大和郡山市小泉町   ２８７８－３,,R03.09.22,R03.09.22,第421296号,,321,ご馳走うどん   おしどり。,0743,0743-55-5685,,,,大和郡山市小泉町 ２８８０－１   ,奈良県大和郡山市小泉町２８８０－１,ウエストスプリング １０２,172846,29,29203,小泉町,,2021/09/22,2021/09/22,,,株式会社おしどり,,,大和郡山市小泉町   ２８７８－３,奈良県大和郡山市小泉町２８７８－３,,172846,奈良県,大和郡山市,小泉町,第421296号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ご馳走うどんおしどり0743-55-568517284629203,dc5807cf-474e-4b11-8d05-5861c65eb0ef,株式会社おしどり172846,1daf1703-46e2-4f96-916c-17587fe00f1d,4187b2b6-bae4-4783-b700-e3979f7febf2,2021/09/22,ご馳走うどん　おしどり。,ご馳走うどんおしどり,株式会社おしどり
谷食品,大和郡山市小泉町   ３２９,大和郡山市小泉町,３２９,0743-52-3113,豆腐製造業,谷   光司,,,R03.09.22,R03.09.22,第421297号,,321,谷食品,0743,0743-52-3113,,,,大和郡山市小泉町,奈良県大和郡山市小泉町,３２９,172846,29,29203,小泉町,,2021/09/22,2021/09/22,,,,谷   光司,,,,,,,,,第421297号,,豆腐製造業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,E,9,,,谷食品0743-52-311317284629203,387e6acc-2e30-4167-92e0-ba5c06b7978b,,personal,9b9e8a5a-1390-4524-ac3b-958767da0d11,2021/09/22,谷食品,谷食品,
福助食堂,大和郡山市本庄町   ２９６－３,大和郡山市本庄町,２９６－３,0743-56-4276,飲食店営業,垰   眞弓,,,R03.09.22,R03.09.22,第421298号,,321,福助食堂,0743,0743-56-4276,,,,大和郡山市本庄町,奈良県大和郡山市本庄町,２９６－３,172906,29,29203,本庄町,,2021/09/22,2021/09/22,,,,垰   眞弓,,,,,,,,,第421298号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,福助食堂0743-56-427617290629203,218e44c0-b069-4959-b72f-1df3f5c48ea4,,personal,5a537a44-993c-4ce1-af20-d3390f36c5a2,2021/09/22,福助食堂,福助食堂,
モスバ－ガ－   近鉄郡山店,大和郡山市南郡山町   ５３９－１１ＹＫビル   １Ｆ,大和郡山市南郡山町 ５３９－１１,ＹＫビル １Ｆ,0743-55-1588,飲食店営業,株式会社ヤマ一・フード,大和郡山市南郡山町   ５３９－１１ＹＫビル,0743-59-3755,R03.09.22,R03.09.22,第421299号,,321,モスバ－ガ－   近鉄郡山店,0743,0743-55-1588,,,,大和郡山市南郡山町 ５３９－１１ＹＫビル   １Ｆ,奈良県大和郡山市南郡山町５３９－１１,ＹＫビル １Ｆ,172912,29,29203,南郡山町,,2021/09/22,2021/09/22,,,株式会社ヤマ一・フード,,0743-59-3755,大和郡山市南郡山町   ５３９－１１ＹＫビル,奈良県大和郡山市南郡山町５３９－１１,ＹＫビル,172912,奈良県,大和郡山市,南郡山町,第421299号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,モスバガ近鉄郡山店0743-55-158817291229203,c2b666f2-9213-440f-a742-55b9c973ffb1,株式会社ヤマ一・フード172912,1e7684e3-059a-4165-9d66-b1eba3f1c469,31f13584-7a75-4873-8b46-f00286d4e129,2021/09/22,モスバ－ガ－　近鉄郡山店,モスバガ近鉄郡山店,株式会社ヤマ一・フード
愛菜弁当屋,大和郡山市九条町   １０４３－１４５,大和郡山市九条町,１０４３－１４５,0743-53-4019,飲食店営業,木澤   俊子,,,R03.09.22,R03.09.22,第421300号,,321,愛菜弁当屋,0743,0743-53-4019,,,,大和郡山市九条町,奈良県大和郡山市九条町,１０４３－１４５,172843,29,29203,九条町,,2021/09/22,2021/09/22,,,,木澤   俊子,,,,,,,,,第421300号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,愛菜弁当屋0743-53-401917284329203,8a0c5a2a-b99c-4ab8-a2fe-2dfd2b6d5bbd,,personal,4e2faa8a-e6f2-48ec-aae9-fff69969300f,2021/09/22,愛菜弁当屋,愛菜弁当屋,
和風居酒屋よばれ,大和郡山市小泉町   ６７１－１３７シティロイヤル大和小泉   A棟１０３,大和郡山市小泉町 ６７１－１３７,シティロイヤル大和小泉 A棟１０３,0743-54-3370,飲食店営業,目戸   あゆみ,,,R03.09.22,R03.09.22,第421301号,,321,和風居酒屋よばれ,0743,0743-54-3370,,,,大和郡山市小泉町 ６７１－１３７,奈良県大和郡山市小泉町６７１－１３７,シティロイヤル大和小泉 A棟１０３,172846,29,29203,小泉町,,2021/09/22,2021/09/22,,,,目戸   あゆみ,,,,,,,,,第421301号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,和風居酒屋よばれ0743-54-337017284629203,0e821b52-2ccd-4526-b5c8-973f01364ae9,,personal,853e2f70-16a3-4cb1-a65f-78382d6f80ba,2021/09/22,和風居酒屋よばれ,和風居酒屋よばれ,
らぁ～めん京,大和郡山市下三橋町   ７４１イオンモール大和郡山１Ｆ   １６５区画,大和郡山市下三橋町 ７４１,イオンモール大和郡山１Ｆ   １６５区画,0743-55-1385,飲食店営業,株式会社エスジーカンパニー,春日井市田楽町字更屋敷   １４７７－３,0568-89-0045,R03.09.22,R03.09.22,第421302号,,321,らぁ～めん京,0743,0743-55-1385,,,,大和郡山市下三橋町 ７４１,奈良県大和郡山市下三橋町７４１,イオンモール大和郡山１Ｆ   １６５区画,172855,29,29203,下三橋町,,2021/09/22,2021/09/22,,,株式会社エスジーカンパニー,,0568-89-0045,春日井市田楽町字更屋敷   １４７７－３,愛知県春日井市田楽町字更屋敷１４７７－３,,120150,愛知県,春日井市,田楽町,第421302号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,らぁめん京0743-55-138517285529203,be6edd36-01f9-4622-b28c-355674cd071d,株式会社エスジーカンパニー120150,7d021e0a-1e06-4d1d-8047-d7ee66ca5f11,83ae4c53-9543-4b45-9529-4e253ad79ec0,2021/09/22,らぁ～めん京,らぁめん京,株式会社エスジーカンパニー
株式会社   宝屋本店,葛城市當麻   ８９－３,葛城市當麻,８９－３,0745-48-1135,菓子製造業,株式会社宝屋本店,葛城市當麻   ８９－３,0745-48-1135,R03.09.22,R03.09.22,第821460号,,322,株式会社   宝屋本店,0745,0745-48-1135,,,,葛城市當麻,奈良県葛城市当麻,８９－３,173697,29,29211,当麻,,2021/09/22,2021/09/22,,,株式会社宝屋本店,,0745-48-1135,葛城市當麻   ８９－３,奈良県葛城市当麻８９－３,,173697,奈良県,葛城市,当麻,第821460号,,菓子製造業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,E,9,,,株式会社宝屋本店0745-48-113517369729211,ec2c6cae-d2c4-4b37-8011-8896d3edc2ef,株式会社宝屋本店173697,7d6258a1-4c91-4457-b44e-fdd520516c6e,e29dbe76-1727-46fb-a3ba-44639e0de72a,2021/09/22,株式会社　宝屋本店,株式会社宝屋本店,株式会社宝屋本店
