https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請者1,申請-電話番号1,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,,,施設名,業種,その他,確認番号,許可年月日,開業年月日,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,株式会社　エイチ・エス・エー,0465-32-2532  ,神奈川県,小田原市飯泉１２０３－１,,0465-43-8803  ,ＨＳＡ住宅型有料老人ホーム,ひなた飯泉,ＨＳＡ住宅型有料老人ホーム　ひなた飯泉,,営業届,第2021-051-0526号,R03.11.15,R03.11.15,新規,,149,ＨＳＡ住宅型有料老人ホーム　ひなた飯泉,0465,0465-43-8803,,,,神奈川県　小田原市飯泉１２０３－１,神奈川県小田原市飯泉１２０３－１,,81830,14,14206,飯泉,,2021/11/15,2021/11/15,,,株式会社　エイチ・エス・エー,,0465-32-2532  ,,,,,,,,第2021-051-0526号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,ＨＳＡ住宅型有料老人ホムひなた飯泉0465-43-88038183014206,73f6fadc-ad0e-4fcd-b9e3-5d5bf6d22c29,株式会社エイチ・エス・エー,584de762-8796-4b05-8cdf-a715a68f0bbe,3f292ae4-1e01-42cf-a52f-a4aa77711998,2021/11/15,ＨＳＡ住宅型有料老人ホーム　ひなた飯泉,ＨＳＡ住宅型有料老人ホムひなた飯泉,株式会社エイチ・エス・エー
135,株式会社　スギ薬局,0562-45-2720  ,神奈川県,小田原市小台３５２－１,,0465-43-6917  ,スギドラッグ　小田原小台店,,スギドラッグ　小田原小台店　,,営業届,第2021-051-0760号,R03.11.30,R03.11.30,新規,,149,スギドラッグ　小田原小台店　,0465,0465-43-6917,,,,神奈川県　小田原市小台３５２－１,神奈川県小田原市小台３５２－１,,81864,14,14206,小台,,2021/11/30,2021/11/30,,,株式会社　スギ薬局,,0562-45-2720  ,,,,,,,,第2021-051-0760号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,スギドラッグ小田原小台店0465-43-69178186414206,93c3605a-2050-475c-997b-03c7b2d9a204,株式会社スギ薬局,6bbd14aa-651a-4bc1-8126-0282cf6da0b9,60c863b2-a495-4e18-a729-6cb373a3f6c6,2021/11/30,スギドラッグ　小田原小台店　,スギドラッグ小田原小台店,株式会社スギ薬局
206,小田急商事株式会社,044-967-1711  ,神奈川県,小田原市城山１－１－１,小田原駅２F,0465-23-3821  ,小田原駅名産店,,小田原駅名産店　,,営業届,第2021-051-0572号,R03.11.18,R03.11.18,新規,,149,小田原駅名産店　,0465,0465-23-3821,,,,神奈川県　小田原市城山１－１－１,神奈川県小田原市城山１－１－１,小田原駅２F,81892,14,14206,城山１,,2021/11/18,2021/11/18,,,小田急商事株式会社,,044-967-1711  ,,,,,,,,第2021-051-0572号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,小田原駅名産店0465-23-38218189214206,8d4c2b79-515f-4aec-947d-03d6f7217ceb,小田急商事株式会社,5c5d1865-a449-45a7-a0fa-1eca0adc5fc5,c553c90d-4a84-48f2-bfb3-fd7b90fb0000,2021/11/18,小田原駅名産店　,小田原駅名産店,小田急商事株式会社
207,小田急商事株式会社,044-967-1711  ,神奈川県,小田原市城山１－１－１,,0465-23-0996  ,セブンーイレブン小田急小田原上りホーム店,,セブンーイレブン小田急小田原上りホーム店　,,営業届,第2021-051-0667号,R03.11.29,R03.11.29,新規,,149,セブンーイレブン小田急小田原上りホーム店　,0465,0465-23-0996,,,,神奈川県　小田原市城山１－１－１,神奈川県小田原市城山１－１－１,,81892,14,14206,城山１,,2021/11/29,2021/11/29,,,小田急商事株式会社,,044-967-1711  ,,,,,,,,第2021-051-0667号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,セブンイレブン小田急小田原上りホム店0465-23-09968189214206,dde59e3f-af85-4a64-b0a8-694a61778957,小田急商事株式会社,5c5d1865-a449-45a7-a0fa-1eca0adc5fc5,74f9e53b-2a80-4365-84f5-0a39525c3da5,2021/11/29,セブンイレブン小田急小田原上りホーム店　,セブンイレブン小田急小田原上りホム店,小田急商事株式会社
234,株式会社　ＪＲ東日本クロスステーション,,神奈川県,小田原市栄町１－１－９,小田原駅コンコース,0465-21-6632  ,ニューデイズ小田原中央,,ニューデイズ小田原中央　,,営業届,第2021-051-0601号,R03.11.24,R03.11.24,新規,,149,ニューデイズ小田原中央　,0465,0465-21-6632,,,,神奈川県　小田原市栄町１－１－９,神奈川県小田原市栄町１－１－９,小田原駅コンコース,81876,14,14206,栄町１,,2021/11/24,2021/11/24,,,株式会社　ＪＲ東日本クロスステーション,,,,,,,,,,第2021-051-0601号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,ニュデイズ小田原中央0465-21-66328187614206,9e3dd9d3-1862-4f01-a9ba-1314e5847024,株式会社ＪＲ東日本クロスステーション,627b9af0-b449-45a4-8818-8af2146b3322,15ded665-c4ef-4ad2-8ed2-5338925e5305,2021/11/24,ニューデイズ小田原中央　,ニュデイズ小田原中央,株式会社ＪＲ東日本クロスステーション
238,三本珈琲株式会社,045-461-0111  ,神奈川県,小田原市栄町１－１－１５,ミナカ小田原３０２,0465-21-3310  ,三本珈琲店　ミナカ小田原店,,三本珈琲店　ミナカ小田原店　,,営業届,第2021-051-0523号,R03.11.15,R03.11.15,新規,,149,三本珈琲店　ミナカ小田原店　,0465,0465-21-3310,,,,神奈川県　小田原市栄町１－１－１５,神奈川県小田原市栄町１－１－１５,ミナカ小田原３０２,81876,14,14206,栄町１,,2021/11/15,2021/11/15,,,三本珈琲株式会社,,045-461-0111  ,,,,,,,,第2021-051-0523号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,三本珈琲店ミナカ小田原店0465-21-33108187614206,6f7ffed9-60fe-4e8a-9414-39293f760f80,三本珈琲株式会社,af4b18d6-0dcd-475f-8ed6-8ff78b8934b9,601e6803-67ce-4f4b-8bac-34e0f85d82b5,2021/11/15,三本珈琲店　ミナカ小田原店　,三本珈琲店ミナカ小田原店,三本珈琲株式会社
241,株式会社　フロジャパン,0422-37-5267  ,神奈川県,小田原市栄町１－１－９,ラスカ小田原１Ｆ,0465-21-2826  ,フロプレステージュ　小田原ラスカ店,,フロプレステージュ　小田原ラスカ店　,,営業届,第2021-051-0519号,R03.11.12,R03.11.12,新規,,149,フロプレステージュ　小田原ラスカ店　,0465,0465-21-2826,,,,神奈川県　小田原市栄町１－１－９,神奈川県小田原市栄町１－１－９,ラスカ小田原１Ｆ,81876,14,14206,栄町１,,2021/11/12,2021/11/12,,,株式会社　フロジャパン,,0422-37-5267  ,,,,,,,,第2021-051-0519号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,フロプレステジュ小田原ラスカ店0465-21-28268187614206,6d52477b-7df5-4957-86be-1b69c121a54b,株式会社フロジャパン,cfdb519b-0b27-4594-91c3-1a9a1e56dd41,7b4a8d9a-e0aa-40b5-b811-ee994d4994b4,2021/11/12,フロプレステージュ　小田原ラスカ店　,フロプレステジュ小田原ラスカ店,株式会社フロジャパン
242,株式会社　ＪＲ東日本クロスステーション,,神奈川県,小田原市栄町１－１－９,ＪＲ小田原駅構内下りホーム,0465-21-1561  ,ニューデイズキオスク小田原駅,東海道本線下りホーム店,ニューデイズキオスク小田原駅　東海道本線下りホーム店,,営業届,第2021-051-0603号,R03.11.24,R03.11.24,新規,,149,ニューデイズキオスク小田原駅　東海道本線下りホーム店,0465,0465-21-1561,,,,神奈川県　小田原市栄町１－１－９,神奈川県小田原市栄町１－１－９,ＪＲ小田原駅構内下りホーム,81876,14,14206,栄町１,,2021/11/24,2021/11/24,,,株式会社　ＪＲ東日本クロスステーション,,,,,,,,,,第2021-051-0603号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,ニュデイズキオスク小田原駅東海道本線下りホム店0465-21-15618187614206,dc30a49c-aa8d-46fa-8d91-0be937208d3d,株式会社ＪＲ東日本クロスステーション,627b9af0-b449-45a4-8818-8af2146b3322,15262b8a-2a06-48bd-8c37-008fb62029fd,2021/11/24,ニューデイズキオスク小田原駅　東海道本線下りホーム店,ニュデイズキオスク小田原駅東海道本線下りホム店,株式会社ＪＲ東日本クロスステーション
244,株式会社　すかいらーくレストランツ,0422-37-5218  ,神奈川県,小田原市南町２－２－６０,,0465-21-1481  ,ガスト　小田原南店,,ガスト　小田原南店　,,営業届,第2021-051-0473号,R03.11.08,R03.11.08,新規,,149,ガスト　小田原南店　,0465,0465-21-1481,,,,神奈川県　小田原市南町２－２－６０,神奈川県小田原市南町２－２－６０,,81949,14,14206,南町２,,2021/11/08,2021/11/08,,,株式会社　すかいらーくレストランツ,,0422-37-5218  ,,,,,,,,第2021-051-0473号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,ガスト小田原南店0465-21-14818194914206,b15d11ef-84f5-45c6-9501-42a3285efdfa,株式会社すかいらーくレストランツ,03ee98ae-5701-4260-a8b3-3fe4a48597cb,be50534f-9234-4b3b-95d9-8bada320c84b,2021/11/08,ガスト　小田原南店　,ガスト小田原南店,株式会社すかいらーくレストランツ
249,株式会社　銀座コージーコーナー,03-3567-5015  ,神奈川県,小田原市中里２０８,ダイナシティウエスト１Ｆ,0465-20-8841  ,株式会社銀座コージーコーナー,小田原ダイナシティ店,株式会社銀座コージーコーナー　小田原ダイナシティ店,,営業届,第2021-051-0445号,R03.11.05,R03.11.05,新規,,149,株式会社銀座コージーコーナー　小田原ダイナシティ店,0465,0465-20-8841,,,,神奈川県　小田原市中里２０８,神奈川県小田原市中里２０８,ダイナシティウエスト１Ｆ,81909,14,14206,中里,,2021/11/05,2021/11/05,,,株式会社　銀座コージーコーナー,,03-3567-5015  ,,,,,,,,第2021-051-0445号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,株式会社銀座コジコナ小田原ダイナシティ店0465-20-88418190914206,d739c24a-db91-442a-a598-86b54e629153,株式会社銀座コージーコーナー,451e4280-3302-491e-9da1-a9df7087de90,fa1affc9-ba2e-4bbb-9a73-b55325f9a833,2021/11/05,株式会社銀座コージーコーナー　小田原ダイナシティ店,株式会社銀座コジコナ小田原ダイナシティ店,株式会社銀座コージーコーナー
264,株式会社　ココカラファインヘルスケア,045-548-5685  ,神奈川県,足柄下郡箱根町仙石原３９－１,,0460-84-8281  ,ココカラファイン仙石原店,,ココカラファイン仙石原店　,,営業届,第2021-051-0665号,R03.11.29,R03.11.29,新規,,149,ココカラファイン仙石原店　,0460,0460-84-8281,,,,神奈川県　足柄下郡箱根町仙石原３９－１,神奈川県足柄下郡箱根町仙石原３９－１,,83092,14,14382,仙石原,,2021/11/29,2021/11/29,,,株式会社　ココカラファインヘルスケア,,045-548-5685  ,,,,,,,,第2021-051-0665号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,ココカラファイン仙石原店0460-84-82818309214382,b42d25e1-19d6-4213-bd03-a66fe7d58e15,株式会社ココカラファインヘルスケア,abecc53b-1801-41b0-acfb-e575a5857ba3,3c82c3e3-3b75-4c11-9ae6-20494f341697,2021/11/29,ココカラファイン仙石原店　,ココカラファイン仙石原店,株式会社ココカラファインヘルスケア
281,室伏　千秋,,神奈川県,足柄下郡湯河原町鍛冶屋３９３,,              ,ＪＡかながわ西湘　女性部,湯河原支部　ジャム工場,ＪＡかながわ西湘　女性部　湯河原支部　ジャム工場,,営業届,第2021-051-0395号,R03.11.01,R03.11.01,新規,,149,ＪＡかながわ西湘　女性部　湯河原支部　ジャム工場,0465,,,,,神奈川県　足柄下郡湯河原町鍛冶屋３９３,神奈川県足柄下郡湯河原町鍛冶屋３９３,,83107,14,14384,鍛冶屋,,2021/11/01,2021/11/01,,,,室伏　千秋,,,,,,,,,第2021-051-0395号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,ＪＡかながわ西湘女性部湯河原支部ジャム工場8310714384,bb2e0ed7-d45d-432f-839f-f1b82b8187d9,,personal,029061d3-2f7a-4ba2-93ec-593c87f8c691,2021/11/01,ＪＡかながわ西湘　女性部　湯河原支部　ジャム工場,ＪＡかながわ西湘女性部湯河原支部ジャム工場,
283,株式会社　フジノネ,0557-68-3121  ,神奈川県,足柄下郡箱根町二ノ平１２９７,箱根小湧園ユネッサン内,              ,箱根小涌園ユネッサン　ショッピングモール,ミーオモール,箱根小涌園ユネッサン　ショッピングモール　ミーオモール,,営業届,第2021-051-0660号,R03.11.26,R03.11.26,新規,,149,箱根小涌園ユネッサン　ショッピングモール　ミーオモール,0460,,,,,神奈川県　足柄下郡箱根町二ノ平１２９７,神奈川県足柄下郡箱根町二ノ平１２９７,箱根小湧園ユネッサン内,83095,14,14382,二ノ平,,2021/11/26,2021/11/26,,,株式会社　フジノネ,,0557-68-3121  ,,,,,,,,第2021-051-0660号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,箱根小涌園ユネッサンショッピングモルミオモル8309514382,0526cbba-b076-4a21-af01-860c7b55e552,株式会社フジノネ,061211e2-ae5f-4da8-b2ec-2ca3468a2d02,c8831314-9899-40d4-84a9-ab12594874c3,2021/11/26,箱根小涌園ユネッサン　ショッピングモール　ミーオモール,箱根小涌園ユネッサンショッピングモルミオモル,株式会社フジノネ
287,鈴廣かまぼこ株式会社,0465-24-3141  ,神奈川県,小田原市風祭４２,,              ,えれんなごっそ,ＣＡＦＥ１０７,えれんなごっそ　ＣＡＦＥ１０７,,営業届,第2021-051-0654号,R03.11.26,R03.11.26,新規,,149,えれんなごっそ　ＣＡＦＥ１０７,0465,,,,,神奈川県　小田原市風祭４２,神奈川県小田原市風祭４２,,81848,14,14206,風祭,,2021/11/26,2021/11/26,,,鈴廣かまぼこ株式会社,,0465-24-3141  ,,,,,,,,第2021-051-0654号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,えれんなごっそＣＡＦＥ１０７8184814206,6f1c9f31-ba2b-4302-b359-d73883e4788a,鈴廣かまぼこ株式会社,dadd3c62-0f2e-4375-9b8f-a97e79a06947,994eb065-daff-47d0-8b15-6745df7868e6,2021/11/26,えれんなごっそ　ＣＡＦＥ１０７,えれんなごっそＣＡＦＥ１０７,鈴廣かまぼこ株式会社
292,株式会社　すき家,03-5783-8850  ,神奈川県,小田原市早川３－１９－６,,              ,すき家　小田原早川店,,すき家　小田原早川店　,,営業届,第2021-051-0671号,R03.11.29,R03.11.29,新規,,149,すき家　小田原早川店　,0465,,,,,神奈川県　小田原市早川３－１９－６,神奈川県小田原市早川３－１９－６,,81930,14,14206,早川３,,2021/11/29,2021/11/29,,,株式会社　すき家,,03-5783-8850  ,,,,,,,,第2021-051-0671号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,すき家小田原早川店8193014206,eb497764-9451-4358-a43c-5f00cc82e946,株式会社すき家,387de95e-ef30-4fac-af82-924d0ebc471a,9c2433c3-8bfc-444b-b493-a43d6147cff1,2021/11/29,すき家　小田原早川店　,すき家小田原早川店,株式会社すき家
294,株式会社　すき家,03-5783-8850  ,神奈川県,小田原市栄町１－１４－１,実正堂ビル１Ｆ,              ,すき家　小田原駅東口店,,すき家　小田原駅東口店　,,営業届,第2021-051-0673号,R03.11.29,R03.11.29,新規,,149,すき家　小田原駅東口店　,0465,,,,,神奈川県　小田原市栄町１－１４－１,神奈川県小田原市栄町１－１４－１,実正堂ビル１Ｆ,81876,14,14206,栄町１,,2021/11/29,2021/11/29,,,株式会社　すき家,,03-5783-8850  ,,,,,,,,第2021-051-0673号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,すき家小田原駅東口店8187614206,e560a05b-4d89-4d0b-bf83-8dd666f5dc8a,株式会社すき家,387de95e-ef30-4fac-af82-924d0ebc471a,8fa19bdb-3da1-4001-99ad-7946d6fd62d9,2021/11/29,すき家　小田原駅東口店　,すき家小田原駅東口店,株式会社すき家
295,株式会社　すき家,03-5783-8850  ,神奈川県,小田原市扇町２－５－９,,              ,すき家　小田原扇町店,,すき家　小田原扇町店　,,営業届,第2021-051-0674号,R03.11.29,R03.11.29,新規,,149,すき家　小田原扇町店　,0465,,,,,神奈川県　小田原市扇町２－５－９,神奈川県小田原市扇町２－５－９,,81839,14,14206,扇町２,,2021/11/29,2021/11/29,,,株式会社　すき家,,03-5783-8850  ,,,,,,,,第2021-051-0674号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,すき家小田原扇町店8183914206,49031577-7feb-4852-9d6e-80111a11db36,株式会社すき家,387de95e-ef30-4fac-af82-924d0ebc471a,26c611ff-123c-4b9a-9c1c-dba531b6c6a7,2021/11/29,すき家　小田原扇町店　,すき家小田原扇町店,株式会社すき家
