https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,n処理終了,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設名2,郵便番号,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所1,申請-マンション名,申請-電話番号1,業種,確認番号,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,張園　イオン新潟青山店,,9502002,新潟県,新潟市西区青山２丁目５番１号２階フードコート内,新潟市西区青山２丁目５番１号,２階フードコート内,025-378-3331,ＡＳＡ商事株式会社,近藤　宗柏,新潟県新潟市中央区南長潟２３番８号,,,飲食店営業,2291,R 3.12. 2,,151,張園　イオン新潟青山店,025,025-378-3331,,,,新潟県　新潟市西区青山２丁目５番１号,新潟県新潟市西区青山２丁目５番１号,２階フードコート内,84648,15,15107,青山２,,,2021/12/02,,,ＡＳＡ商事株式会社,近藤　宗柏,,新潟県新潟市中央区南長潟２３番８号,新潟県新潟市中央区南長潟２３番８号,,83998,新潟県,新潟市中央区,南長潟,2291,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,張園イオン新潟青山店025-378-33318464815107,55bc14e0-30a3-4e42-9763-7f656e09d940,ＡＳＡ商事株式会社83998,3740a8e9-e11c-403e-97eb-98642c8d5ffb,5271c1ae-3117-43d7-9d5c-8f83f63567a6,2021/12/02,張園　イオン新潟青山店,張園イオン新潟青山店,ＡＳＡ商事株式会社
26,セレモニー椿あおやま,,9502002,新潟県,新潟市西区青山４丁目６番１３号,新潟市西区青山４丁目６番１３号,,0120-108-401,株式会社福宝,石塚　福栄,新潟県新潟市南区根岸１５１１番地,,025-362-1657,飲食店営業,2591,R 4. 1.26,,151,セレモニー椿あおやま,025,0120-108-401,,,,新潟県　新潟市西区青山４丁目６番１３号,新潟県新潟市西区青山４丁目６番１３号,,84650,15,15107,青山４,,,2022/01/26,,,株式会社福宝,石塚　福栄,025-362-1657,新潟県新潟市南区根岸１５１１番地,新潟県新潟市南区根岸１５１１番地,,84620,新潟県,新潟市南区,根岸,2591,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,セレモニ椿あおやま0120-108-4018465015107,984d84ce-e813-496b-8623-97065997a1b6,株式会社福宝84620,083910a1-6f80-4510-aa79-26972b39ac00,9978972f-13a2-4fb4-bd8a-36e72a158fee,2022/01/26,セレモニー椿あおやま,セレモニ椿あおやま,株式会社福宝
27,新潟ラーメン　なみ福,,9502111,新潟県,新潟市西区大学南２丁目２２番１８号,新潟市西区大学南２丁目２２番１８号,,,株式会社いい日,難波　章浩,新潟県新潟市西区大学南ニ丁目２２番１８号,,025-201-8833,飲食店営業,2396,R 3.12.17,,151,新潟ラーメン　なみ福,025,,,,,新潟県　新潟市西区大学南２丁目２２番１８号,新潟県新潟市西区大学南２丁目２２番１８号,,84789,15,15107,大学南２,,,2021/12/17,,,株式会社いい日,難波　章浩,025-201-8833,新潟県新潟市西区大学南ニ丁目２２番１８号,新潟県新潟市西区大学南２丁目２２番１８号,,84789,新潟県,新潟市西区,大学南２,2396,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,新潟ラメンなみ福8478915107,76ef96be-cc75-4135-8658-5a0a1f9de8c6,株式会社いい日84789,9a1f6676-80de-4219-8e3d-cc71f93555de,8c32dbf4-15c6-4304-be7a-9be844792131,2021/12/17,新潟ラーメン　なみ福,新潟ラメンなみ福,株式会社いい日
28,新潟ラーメン　なみ福,,9502111,新潟県,新潟市西区大学南２丁目２２番１８号,新潟市西区大学南２丁目２２番１８号,,,株式会社いい日,難波　章浩,新潟県新潟市西区大学南ニ丁目２２番１８号,,025-201-8833,そうざい製造業,2397,R 3.12.17,,151,新潟ラーメン　なみ福,025,,,,,新潟県　新潟市西区大学南２丁目２２番１８号,新潟県新潟市西区大学南２丁目２２番１８号,,84789,15,15107,大学南２,,,2021/12/17,,,株式会社いい日,難波　章浩,025-201-8833,新潟県新潟市西区大学南ニ丁目２２番１８号,新潟県新潟市西区大学南２丁目２２番１８号,,84789,新潟県,新潟市西区,大学南２,2397,,そうざい製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,新潟ラメンなみ福8478915107,76ef96be-cc75-4135-8658-5a0a1f9de8c6,株式会社いい日84789,9a1f6676-80de-4219-8e3d-cc71f93555de,f67bb40f-a43d-4b11-9492-4384d758a55d,2021/12/17,新潟ラーメン　なみ福,新潟ラメンなみ福,株式会社いい日
20,ファミリーマート新潟五十嵐中島店,,9502162,新潟県,新潟市西区五十嵐中島３丁目２３番７２号,新潟市西区五十嵐中島３丁目２３番７２号,,025-264-2626,渡邉　英樹,,,,,飲食店営業,2629,R 4. 1.31,,151,ファミリーマート新潟五十嵐中島店,025,025-264-2626,,,,新潟県　新潟市西区五十嵐中島３丁目２３番７２号,新潟県新潟市西区五十嵐中島３丁目２３番７２号,,84671,15,15107,五十嵐中島３,,,2022/01/31,,,,渡邉　英樹 ,,,,,,,,,2629,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ファミリマト新潟五十嵐中島店025-264-26268467115107,f6d6f691-b8fb-4df9-a5df-04c69b578298,,personal,8ecb7b2c-b71e-4a9f-a9bd-03c0fa29036b,2022/01/31,ファミリーマート新潟五十嵐中島店,ファミリマト新潟五十嵐中島店,
22,ＮＯＩＲＯＵＧＥ,,9502054,新潟県,新潟市西区寺尾東１丁目１１番２０号,新潟市西区寺尾東１丁目１１番２０号,,,平山　拓徳,,,,,菓子製造業,2541,R 4. 1.17,,151,ＮＯＩＲＯＵＧＥ,025,,,,,新潟県　新潟市西区寺尾東１丁目１１番２０号,新潟県新潟市西区寺尾東１丁目１１番２０号,,84810,15,15107,寺尾東１,,,2022/01/17,,,,平山　拓徳 ,,,,,,,,,2541,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,ＮＯＩＲＯＵＧＥ8481015107,6b0c25cf-4b21-44b6-b1b1-fbf463859f31,,personal,5dc15dca-bac2-488d-864f-4acdb45c9fcd,2022/01/17,ＮＯＩＲＯＵＧＥ,ＮＯＩＲＯＵＧＥ,
23,レンタルスペース小針　わんクラブこばりだい　,,9502012,新潟県,新潟市西区小針台１番４７号,新潟市西区小針台１番４７号,,,樋浦　真理子,,,,,飲食店営業,2539,R 4. 1.17,,151,レンタルスペース小針　わんクラブこばりだい　,025,,,,,新潟県　新潟市西区小針台１番４７号,新潟県新潟市西区小針台１番４７号,,84747,15,15107,小針台,,,2022/01/17,,,,樋浦　真理子 ,,,,,,,,,2539,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,レンタルスペス小針わんクラブこばりだい8474715107,79ce50cc-cedc-4620-bbd5-39c7dcb87000,,personal,a1e6eb03-762a-4f5c-8401-bc1f8f1a6b1a,2022/01/17,レンタルスペース小針　わんクラブこばりだい　,レンタルスペス小針わんクラブこばりだい,
29,２５３９ｋｉｔｃｈｅｎ,,9502112,新潟県,新潟市西区内野町５５２番地,新潟市西区内野町５５２番地,,,中村　剛,,,,,飲食店営業,2293,R 3.12. 2,,151,２５３９ｋｉｔｃｈｅｎ,025,,,,,新潟県　新潟市西区内野町５５２番地,新潟県新潟市西区内野町５５２番地,,84692,15,15107,内野町,,,2021/12/02,,,,中村　剛 ,,,,,,,,,2293,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,２５３９ｋｉｔｃｈｅｎ8469215107,dfcb7a7b-2edb-4e3e-9359-155368f5e6f7,,personal,224ddfe7-e1c8-4a5e-8482-3d172d203661,2021/12/02,２５３９ｋｉｔｃｈｅｎ,２５３９ｋｉｔｃｈｅｎ,
40,Ｒ,,9518063,新潟県,新潟市中央区古町通８番町１５０１番地国際ビル１０階,新潟市中央区古町通８番町１５０１番地,国際ビル１０階,025-225-1651,清水澤　亮,,,,,飲食店営業,2582,R 4. 1.25,,151,Ｒ,025,025-225-1651,,,,新潟県　新潟市中央区古町通８番町１５０１番地,新潟県新潟市中央区古町通八番町１５０１番地,国際ビル１０階,83947,15,15103,古町通八番町,,,2022/01/25,,,,清水澤　亮 ,,,,,,,,,2582,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,Ｒ025-225-16518394715103,240491f1-9993-4815-8d40-cfc98282df0c,,personal,325bc999-e343-467e-8d6f-d4cf8f58c649,2022/01/25,Ｒ,Ｒ,
34,ＪＲ新潟近江寮,,9500971,新潟県,新潟市中央区近江３丁目２０番１４号,新潟市中央区近江３丁目２０番１４号,,025-283-5507,株式会社ジェイアール新潟ビジネス,今井　孝幸,新潟県新潟市中央区笹口一丁目９番１号,,025-241-2003,飲食店営業,2581,R 4. 1.25,,151,ＪＲ新潟近江寮,025,025-283-5507,,,,新潟県　新潟市中央区近江３丁目２０番１４号,新潟県新潟市中央区近江３丁目２０番１４号,,83623,15,15103,近江３,,,2022/01/25,,,株式会社ジェイアール新潟ビジネス,今井　孝幸,025-241-2003,新潟県新潟市中央区笹口一丁目９番１号,新潟県新潟市中央区笹口１丁目９番１号,,83715,新潟県,新潟市中央区,笹口１,2581,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＪＲ新潟近江寮025-283-55078362315103,2ac0ba9e-a4e7-4d3c-9c5b-151c75cb632d,株式会社ジェイアール新潟ビジネス83715,befbe270-aade-479d-a375-0bc4b412735a,6ef7d21c-73ac-44c5-abcc-3f417f2fd954,2022/01/25,ＪＲ新潟近江寮,ＪＲ新潟近江寮,株式会社ジェイアール新潟ビジネス
41,ＥＧＯＩＳＴ,,9518063,新潟県,新潟市中央区古町通８番町１５０６番地２プラザ８－Ⅰ　３階,新潟市中央区古町通８番町１５０６番地２,プラザ８－Ⅰ ３階,025-225-5567,小田　陽平,,,,,飲食店営業,2443,R 3.12.21,,151,ＥＧＯＩＳＴ,025,025-225-5567,,,,新潟県　新潟市中央区古町通８番町１５０６番地２,新潟県新潟市中央区古町通八番町１５０６番地２,プラザ８－Ⅰ ３階,83947,15,15103,古町通八番町,,,2021/12/21,,,,小田　陽平 ,,,,,,,,,2443,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＥＧＯＩＳＴ025-225-55678394715103,aa57e725-05ec-452b-8651-1854e062860b,,personal,83a6f5f5-0a9e-4027-a32e-29896967a36b,2021/12/21,ＥＧＯＩＳＴ,ＥＧＯＩＳＴ,
32,ａｔｏｒｉ,,9518056,新潟県,新潟市中央区花町１９８３番地１,新潟市中央区花町１９８３番地１,,,天野　千尋,,,,,飲食店営業,2469,R 3.12.24,,151,ａｔｏｒｉ,025,,,,,新潟県　新潟市中央区花町１９８３番地１,新潟県新潟市中央区花町１９８３番地１,,83873,15,15103,花町,,,2021/12/24,,,,天野　千尋 ,,,,,,,,,2469,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ａｔｏｒｉ8387315103,f721fe79-52d7-4d3c-a5f3-ba3b48370ab0,,personal,f4461829-2132-421a-b8cc-8cc3218d1b4d,2021/12/24,ａｔｏｒｉ,ａｔｏｒｉ,
33,洋風食堂ひなた,,9500921,新潟県,新潟市中央区京王３丁目５番３０号ハイマート京王１０５号,新潟市中央区京王３丁目５番３０号,ハイマート京王１０５号,,齋藤　翼,,,,,飲食店営業,2322,R 3.12. 8,,151,洋風食堂ひなた,025,,,,,新潟県　新潟市中央区京王３丁目５番３０号,新潟県新潟市中央区京王３丁目５番３０号,ハイマート京王１０５号,83695,15,15103,京王３,,,2021/12/08,,,,齋藤　翼 ,,,,,,,,,2322,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,洋風食堂ひなた8369515103,15a3b217-8c84-4112-aa2a-427e83a3be9c,,personal,63679abf-f856-4744-9a06-9cedf1c8397c,2021/12/08,洋風食堂ひなた,洋風食堂ひなた,
45,越後のうまいもん小屋　蒲原甚八,,9518063,新潟県,新潟市中央区古町通９番町１４８６番地大昇ビル１階,新潟市中央区古町通９番町１４８６番地,大昇ビル１階,025-222-3680,有限会社ＢｕｔｔｅｒｆｌｙＤｉｎｅｒ,栗林　嘉晃,新潟県新潟市中央区花園１丁目５番７号,,,飲食店営業,2603,R 4. 1.28,,151,越後のうまいもん小屋　蒲原甚八,025,025-222-3680,,,,新潟県　新潟市中央区古町通９番町１４８６番地,新潟県新潟市中央区古町通九番町１４８６番地,大昇ビル１階,83938,15,15103,古町通九番町,,,2022/01/28,,,有限会社ＢｕｔｔｅｒｆｌｙＤｉｎｅｒ,栗林　嘉晃,,新潟県新潟市中央区花園１丁目５番７号,新潟県新潟市中央区花園１丁目５番７号,,83871,新潟県,新潟市中央区,花園１,2603,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,越後のうまいもん小屋蒲原甚八025-222-36808393815103,1fdf3c72-7eed-4296-a4d9-2cb0e8a8adbe,有限会社ＢｕｔｔｅｒｆｌｙＤｉｎｅｒ83871,9ecdc74a-a389-4bb6-b07e-3188b4766fbb,e1cc2d01-9449-481b-bdfc-e2a81f0c7ebb,2022/01/28,越後のうまいもん小屋　蒲原甚八,越後のうまいもん小屋蒲原甚八,有限会社ＢｕｔｔｅｒｆｌｙＤｉｎｅｒ
42,星ノフル夜ニ,,9518063,新潟県,新潟市中央区古町通９番町１４８０番地ＰｒｅｍｉｅｒＦｕｒｕｍａｃｈｉ（プルミエ古町）１階,新潟市中央区古町通９番町１４８０番地,ＰｒｅｍｉｅｒＦｕｒｕｍａｃｈｉ（プルミエ古町）１階,,田中　広記,,,,,飲食店営業,2605,R 4. 1.28,,151,星ノフル夜ニ,025,,,,,新潟県　新潟市中央区古町通９番町１４８０番地,新潟県新潟市中央区古町通九番町１４８０番地,ＰｒｅｍｉｅｒＦｕｒｕｍａｃｈｉ（プルミエ古町）１階,83938,15,15103,古町通九番町,,,2022/01/28,,,,田中　広記 ,,,,,,,,,2605,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,星ノフル夜ニ8393815103,613945d0-a897-4742-a91b-3ea49c81e140,,personal,1405e0d7-20eb-48e3-8b4f-dd17606fd6fa,2022/01/28,星ノフル夜ニ,星ノフル夜ニ,
58,Ｔｓｕｂａｍｅｓａｎｊｏ Ｂｉｔ セントラルキッチン,,9518068,新潟県,新潟市中央区上大川前通７番町１２４０番地２,新潟市中央区上大川前通７番町１２４０番地２,,,株式会社Ｂｉｔ,秋山　武士,新潟県新潟市中央区新島町通一ノ町１９７７番地,第５礎ビル,025-201-7933,そうざい製造業,2471,R 3.12.24,,151,Ｔｓｕｂａｍｅｓａｎｊｏ Ｂｉｔ セントラルキッチン,025,,,,,新潟県　新潟市中央区上大川前通７番町１２４０番地２,新潟県新潟市中央区上大川前通七番町１２４０番地２,,83639,15,15103,上大川前通七番町,,,2021/12/24,,,株式会社Ｂｉｔ,秋山　武士,025-201-7933,新潟県新潟市中央区新島町通一ノ町１９７７番地,新潟県新潟市中央区新島町通一ノ町１９７７番地,第５礎ビル,83743,新潟県,新潟市中央区,新島町通一ノ町,2471,,そうざい製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,ＴｓｕｂａｍｅｓａｎｊｏＢｉｔセントラルキッチン8363915103,b442c910-990d-4d4e-82d7-92cb6255da13,株式会社Ｂｉｔ83743,0dfdf1d3-1385-485d-91bf-a86841c5518e,b731fede-a183-471e-a579-6318a9df2ec5,2021/12/24,Ｔｓｕｂａｍｅｓａｎｊｏ　Ｂｉｔ　セントラルキッチン,ＴｓｕｂａｍｅｓａｎｊｏＢｉｔセントラルキッチン,株式会社Ｂｉｔ
59,Ｔｓｕｂａｍｅｓａｎｊｏ Ｂｉｔ セントラルキッチン,,9518068,新潟県,新潟市中央区上大川前通７番町１２４０番地２,新潟市中央区上大川前通７番町１２４０番地２,,,株式会社Ｂｉｔ,秋山　武士,新潟県新潟市中央区新島町通一ノ町１９７７番地,第５礎ビル,025-201-7933,菓子製造業,2472,R 3.12.24,,151,Ｔｓｕｂａｍｅｓａｎｊｏ Ｂｉｔ セントラルキッチン,025,,,,,新潟県　新潟市中央区上大川前通７番町１２４０番地２,新潟県新潟市中央区上大川前通七番町１２４０番地２,,83639,15,15103,上大川前通七番町,,,2021/12/24,,,株式会社Ｂｉｔ,秋山　武士,025-201-7933,新潟県新潟市中央区新島町通一ノ町１９７７番地,新潟県新潟市中央区新島町通一ノ町１９７７番地,第５礎ビル,83743,新潟県,新潟市中央区,新島町通一ノ町,2472,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,ＴｓｕｂａｍｅｓａｎｊｏＢｉｔセントラルキッチン8363915103,b442c910-990d-4d4e-82d7-92cb6255da13,株式会社Ｂｉｔ83743,0dfdf1d3-1385-485d-91bf-a86841c5518e,939fca6e-bdae-4a23-be76-fb9ea47ba8fd,2021/12/24,Ｔｓｕｂａｍｅｓａｎｊｏ　Ｂｉｔ　セントラルキッチン,ＴｓｕｂａｍｅｓａｎｊｏＢｉｔセントラルキッチン,株式会社Ｂｉｔ
60,Ｔｓｕｂａｍｅｓａｎｊｏ Ｂｉｔ セントラルキッチン,,9518068,新潟県,新潟市中央区上大川前通７番町１２４０番地２,新潟市中央区上大川前通７番町１２４０番地２,,,株式会社Ｂｉｔ,秋山　武士,新潟県新潟市中央区新島町通一ノ町１９７７番地,第５礎ビル,025-201-7933,密封包装食品製造業,2473,R 3.12.24,,151,Ｔｓｕｂａｍｅｓａｎｊｏ Ｂｉｔ セントラルキッチン,025,,,,,新潟県　新潟市中央区上大川前通７番町１２４０番地２,新潟県新潟市中央区上大川前通七番町１２４０番地２,,83639,15,15103,上大川前通七番町,,,2021/12/24,,,株式会社Ｂｉｔ,秋山　武士,025-201-7933,新潟県新潟市中央区新島町通一ノ町１９７７番地,新潟県新潟市中央区新島町通一ノ町１９７７番地,第５礎ビル,83743,新潟県,新潟市中央区,新島町通一ノ町,2473,,密封包装食品製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,ＴｓｕｂａｍｅｓａｎｊｏＢｉｔセントラルキッチン8363915103,b442c910-990d-4d4e-82d7-92cb6255da13,株式会社Ｂｉｔ83743,0dfdf1d3-1385-485d-91bf-a86841c5518e,1b7dd7ee-d606-4d92-9b3b-84a45d8f432f,2021/12/24,Ｔｓｕｂａｍｅｓａｎｊｏ　Ｂｉｔ　セントラルキッチン,ＴｓｕｂａｍｅｓａｎｊｏＢｉｔセントラルキッチン,株式会社Ｂｉｔ
43,星ノフル夜ニ,,9518063,新潟県,新潟市中央区古町通９番町１４８０番地ＰｒｅｍｉｅｒＦｕｒｕｍａｃｈｉ（プルミエ古町）１階,新潟市中央区古町通９番町１４８０番地,ＰｒｅｍｉｅｒＦｕｒｕｍａｃｈｉ（プルミエ古町）１階,,田中　広記,,,,,菓子製造業,2606,R 4. 1.28,,151,星ノフル夜ニ,025,,,,,新潟県　新潟市中央区古町通９番町１４８０番地,新潟県新潟市中央区古町通九番町１４８０番地,ＰｒｅｍｉｅｒＦｕｒｕｍａｃｈｉ（プルミエ古町）１階,83938,15,15103,古町通九番町,,,2022/01/28,,,,田中　広記 ,,,,,,,,,2606,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,星ノフル夜ニ8393815103,613945d0-a897-4742-a91b-3ea49c81e140,,personal,50826c6f-b7f0-438c-b515-0611ef28d9cc,2022/01/28,星ノフル夜ニ,星ノフル夜ニ,
61,ｔｒａｔｔｏｒｉａ　Ｍａｒｅ　Ｆｅｌｉｃｅ,,9518051,新潟県,新潟市中央区新島町通１ノ町１９７７番地２ロイヤル礎１０３,新潟市中央区新島町通１ノ町１９７７番地２,ロイヤル礎１０３,,荻荘　史一,,,,,飲食店営業,2388,R 3.12.17,,151,ｔｒａｔｔｏｒｉａ　Ｍａｒｅ　Ｆｅｌｉｃｅ,025,,,,,新潟県　新潟市中央区新島町通１ノ町１９７７番地２,新潟県新潟市中央区新島町通一ノ町１９７７番地２,ロイヤル礎１０３,83743,15,15103,新島町通一ノ町,,,2021/12/17,,,,荻荘　史一 ,,,,,,,,,2388,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ｔｒａｔｔｏｒｉａＭａｒｅＦｅｌｉｃｅ8374315103,41d1ee1c-f997-44ee-b1b2-6983e8612932,,personal,e9620f42-fb5a-4500-a63c-a15889d48e98,2021/12/17,ｔｒａｔｔｏｒｉａ　Ｍａｒｅ　Ｆｅｌｉｃｅ,ｔｒａｔｔｏｒｉａＭａｒｅＦｅｌｉｃｅ,
64,㐂さらぎ,,9518062,新潟県,新潟市中央区西堀前通８番町１５１８番地　カシマヤビル２階Ｃ号室,新潟市中央区西堀前通８番町１５１８番地 ,カシマヤビル２階Ｃ号室,,小池　正子,,,,,飲食店営業,2519,R 4. 1.14,,151,㐂さらぎ,025,,,,,新潟県　新潟市中央区西堀前通８番町１５１８番地 ,新潟県新潟市中央区西堀前通八番町１５１８番地,カシマヤビル２階Ｃ号室,83851,15,15103,西堀前通八番町,,,2022/01/14,,,,小池　正子 ,,,,,,,,,2519,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,㐂さらぎ8385115103,e72bd6ec-bca0-4e10-b8a5-248835b126a3,,personal,fe6756fd-dced-4fdc-87e9-cc8e84cb6260,2022/01/14,㐂さらぎ,㐂さらぎ,
65,ＦＡＣＥ,,9518062,新潟県,新潟市中央区西堀前通８番町１５２６番地春日井ビル　２階,新潟市中央区西堀前通８番町１５２６番地,春日井ビル ２階,025-229-4599,坂井　由美子,,,,,飲食店営業,2329,R 3.12. 8,,151,ＦＡＣＥ,025,025-229-4599,,,,新潟県　新潟市中央区西堀前通８番町１５２６番地,新潟県新潟市中央区西堀前通八番町１５２６番地,春日井ビル ２階,83851,15,15103,西堀前通八番町,,,2021/12/08,,,,坂井　由美子 ,,,,,,,,,2329,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＦＡＣＥ025-229-45998385115103,5ffa9cc6-2105-4baa-9595-434843c853be,,personal,98885ed5-b6a8-4956-bd1b-c0b603d24d0f,2021/12/08,ＦＡＣＥ,ＦＡＣＥ,
46,ｖｉｎｙｌｉｔｅ　ビニライト,,9500907,新潟県,新潟市中央区幸町１３番７号幸ビル１０２,新潟市中央区幸町１３番７号,幸ビル１０２,,星野　謙一,,,,,飲食店営業,2608,R 4. 1.28,,151,ｖｉｎｙｌｉｔｅ　ビニライト,025,,,,,新潟県　新潟市中央区幸町１３番７号,新潟県新潟市中央区幸町１３番７号,幸ビル１０２,83704,15,15103,幸町,,,2022/01/28,,,,星野　謙一 ,,,,,,,,,2608,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ｖｉｎｙｌｉｔｅビニライト8370415103,94ff23b3-de05-4014-a4f3-34116b255529,,personal,b9e1e892-5fab-4b95-9760-fa9f46151f4f,2022/01/28,ｖｉｎｙｌｉｔｅ　ビニライト,ｖｉｎｙｌｉｔｅビニライト,
48,イチミッツ,,9500903,新潟県,新潟市中央区春日町３番２４号神田アパート１０１号室,新潟市中央区春日町３番２４号,神田アパート１０１号室,025-250-0072,有限会社昭和美装,佐藤　弦,新潟県新潟市中央区西船見町５９３２番地５０１,,025-222-2996,菓子製造業,2503,R 4. 1.11,,151,イチミッツ,025,025-250-0072,,,,新潟県　新潟市中央区春日町３番２４号,新潟県新潟市中央区春日町３番２４号,神田アパート１０１号室,83630,15,15103,春日町,,,2022/01/11,,,有限会社昭和美装,佐藤　弦,025-222-2996,新潟県新潟市中央区西船見町５９３２番地５０１,新潟県新潟市中央区西船見町５９３２番地５０１,,83831,新潟県,新潟市中央区,西船見町,2503,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,イチミッツ025-250-00728363015103,c08e7323-88a0-4c04-bdaf-be01031cf485,有限会社昭和美装83831,df33d228-db0e-4d01-ae15-159c7dac2ad7,eb294d45-3106-47ad-bcca-182839cc5d89,2022/01/11,イチミッツ,イチミッツ,有限会社昭和美装
47,アンテナ,,9500907,新潟県,新潟市中央区幸町１３番７号幸ビル１０３,新潟市中央区幸町１３番７号,幸ビル１０３,,星野　謙一,,,,,飲食店営業,2609,R 4. 1.28,,151,アンテナ,025,,,,,新潟県　新潟市中央区幸町１３番７号,新潟県新潟市中央区幸町１３番７号,幸ビル１０３,83704,15,15103,幸町,,,2022/01/28,,,,星野　謙一 ,,,,,,,,,2609,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,アンテナ8370415103,6cde91dc-e3c0-4f58-be29-0db436468b12,,personal,98eea531-318a-4611-9fc5-bb281df85f6f,2022/01/28,アンテナ,アンテナ,
50,Ｇ．ｌａｂ　ＮＩＩＧＡＴＡ,,9500941,新潟県,新潟市中央区女池７丁目１９番１１号,新潟市中央区女池７丁目１９番１１号,,025-285-0651,株式会社全建,渡辺　公太,新潟県新潟市中央区出来島一丁目１１番２０号,,025-285-0651,飲食店営業,2365,R 3.12.13,,151,Ｇ．ｌａｂ　ＮＩＩＧＡＴＡ,025,025-285-0651,,,,新潟県　新潟市中央区女池７丁目１９番１１号,新潟県新潟市中央区女池７丁目１９番１１号,,84014,15,15103,女池７,,,2021/12/13,,,株式会社全建,渡辺　公太,025-285-0651,新潟県新潟市中央区出来島一丁目１１番２０号,新潟県新潟市中央区出来島１丁目１１番２０号,,83810,新潟県,新潟市中央区,出来島１,2365,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＧｌａｂＮＩＩＧＡＴＡ025-285-06518401415103,5994b94f-f0de-4ec3-bb92-186b72feba62,株式会社全建83810,c057ce63-7394-41d1-82f1-a2e8ba80ad2e,7969e39c-b46d-4210-acf4-532da4430a68,2021/12/13,Ｇ．ｌａｂ　ＮＩＩＧＡＴＡ,ＧｌａｂＮＩＩＧＡＴＡ,株式会社全建
