https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請区分,,,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,,,業種,その他,,確認番号,,,開業年月日,申請年月日,,許可年月日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個人,継続,11117,,ＺＩＰ,糸魚川市本町１－５０,糸魚川市本町１－５０,,025-552-7174,山口　利崇,,,,,,,,,飲食店営業（その他）,,,1 - 112,0,0,2018年03月09日,2018年01月26日,2018年02月08日,2018年02月09日,2023年07月31日,,,,,,160,ＺＩＰ,025,025-552-7174,,,,糸魚川市本町１－５０,新潟県糸魚川市本町１－５０,,88052,15,15216,本町,2018/01/26,2018/03/09,2018/02/09,,2023/07/31,,山口　利崇 ,,,,,,,,,1 - 112,継続,飲食店営業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,ＺＩＰ025-552-71748805215216,a90c7598-a6a2-4e16-9925-463715094750,,personal,f344b4da-22cb-43d5-b517-be10d0a1f9f1,2018/02/09,ＺＩＰ,ＺＩＰ,
個人,継続,240,,とんかつインター,糸魚川市上刈３－１６－１１,糸魚川市上刈３－１６－１１,,025-553-1188,山崎  富士男,,,,,,,,,飲食店営業（一般食堂）,,,1 - 102,0,0,1992年11月25日,2020年11月17日,2020年11月19日,2020年11月20日,2025年11月30日,,,,,,160,とんかつインター,025,025-553-1188,,,,糸魚川市上刈３－１６－１１,新潟県糸魚川市上刈３－１６－１１,,87934,15,15216,上刈３,2020/11/17,1992/11/25,2020/11/20,,2025/11/30,,山崎  富士男 ,,,,,,,,,1 - 102,継続,飲食店営業,（一般食堂）,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,とんかつインタ025-553-11888793415216,64d3ac8a-f068-4747-9f5d-c3ebacb1151a,,personal,24893e1c-c5ef-4f00-bc54-086b699241d2,2020/11/20,とんかつインター,とんかつインタ,
個人,新規,353,,山川製菓,糸魚川市大字四ツ屋２５３の甲,糸魚川市大字四ツ屋２５３の甲,,555-2207,山川  武久,,,,,,,,,飲食店営業（食品調理）,,,933 - 2,0,0,1969年06月20日,1969年06月09日,1969年06月20日,1969年06月20日,,,,,,,160,山川製菓,025,025-555-2207,,,,糸魚川市大字四ツ屋２５３の甲,新潟県糸魚川市四ツ屋２５３ノ甲,,88034,15,15216,四ツ屋,1969/06/09,1969/06/20,1969/06/20,,,,山川  武久 ,,,,,,,,,933 - 2,新規,飲食店営業,（食品調理）,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,山川製菓025-555-22078803415216,2f4b295d-00d3-4cb5-8119-1c6cbf52f7b5,,personal,e6c512b6-3213-4583-960f-707957e86085,1969/06/20,山川製菓,山川製菓,
個人,新規,353,,山川製菓,糸魚川市大字四ツ屋２５３の甲,糸魚川市大字四ツ屋２５３の甲,,555-2207,山川  武久,,,,,,,,,菓子製造業,,,1151,0,0,1958年06月06日,,1958年06月06日,1958年06月06日,,,,,,,160,山川製菓,025,025-555-2207,,,,糸魚川市大字四ツ屋２５３の甲,新潟県糸魚川市四ツ屋２５３ノ甲,,88034,15,15216,四ツ屋,,1958/06/06,1958/06/06,,,,山川  武久 ,,,,,,,,,1151,新規,菓子製造業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,E,9,,,山川製菓025-555-22078803415216,2f4b295d-00d3-4cb5-8119-1c6cbf52f7b5,,personal,5398ee09-a3aa-4843-bf0e-8ffa94441aaa,1958/06/06,山川製菓,山川製菓,
個人,継続,10655,,えびすや商店,糸魚川市大字新町９,糸魚川市大字新町９,,025-555-2307,山川　利雄,,,,,,,,,みそ製造業,,,1 - 116,0,0,2008年12月23日,2019年03月06日,2019年03月28日,2019年03月29日,2024年03月31日,,,,,,160,えびすや商店,025,025-555-2307,,,,糸魚川市大字新町９,新潟県糸魚川市新町９,,87919,15,15216,新町,2019/03/06,2008/12/23,2019/03/29,,2024/03/31,,山川　利雄 ,,,,,,,,,1 - 116,継続,みそ製造業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,E,9,,,えびすや商店025-555-23078791915216,9d008b8c-d465-4f66-8347-9c0717817529,,personal,9f4797b9-c105-42d4-b61b-fc8055b8f181,2019/03/29,えびすや商店,えびすや商店,
個人,新規,11213,,スナック　零　ZERO,糸魚川市本町６－１千国ビル１F,糸魚川市本町６－１,千国ビル１F,025-555-7078,山中　広美,,,,,,,,,飲食店営業（その他）,,,1 - 5,0,0,2020年05月08日,2020年04月20日,2020年05月07日,2020年05月08日,2025年11月30日,,,,,,160,スナック　零　ZERO,025,025-555-7078,,,,糸魚川市本町６－１,新潟県糸魚川市本町６－１,千国ビル１F,88052,15,15216,本町,2020/04/20,2020/05/08,2020/05/08,,2025/11/30,,山中　広美 ,,,,,,,,,1 - 5,新規,飲食店営業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,スナック零ＺＥＲＯ025-555-70788805215216,b0cf89b8-f8e0-4507-af70-cd6d187f6f41,,personal,0e0a4c4b-4915-4f87-9270-b4325f5a8842,2020/05/08,スナック　零　ＺＥＲＯ,スナック零ＺＥＲＯ,
個人,継続,1262,,ナイト・イン・アンジェリーナ,糸魚川市大字能生８３０３－１,糸魚川市大字能生８３０３－１,,025-566-2346,山田  一夫,,,,,,,,,飲食店営業（一般食堂）,,,1 - 3,0,0,1994年06月26日,2019年05月07日,2019年05月16日,2019年05月17日,2024年05月31日,,,,,,160,ナイト・イン・アンジェリーナ,025,025-566-2346,,,,糸魚川市大字能生８３０３－１,新潟県糸魚川市能生８３０３－１,,88098,15,15216,能生,2019/05/07,1994/06/26,2019/05/17,,2024/05/31,,山田  一夫 ,,,,,,,,,1 - 3,継続,飲食店営業,（一般食堂）,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,ナイトインアンジェリナ025-566-23468809815216,63a1802e-9a76-447c-8ac4-6153841722cc,,personal,b0472a45-5a45-43a6-8cf1-da7a44312a15,2019/05/17,ナイト・イン・アンジェリーナ,ナイトインアンジェリナ,
個人,新規,10970,,伝宝丸,糸魚川市大字能生小泊３５９６－２,糸魚川市大字能生小泊３５９６－２,,025-566-3017,山田　吉弘,,,,,,,,,⑬ その他の食料・飲料販売業,,ゆでベニズワイガニ,3     ‐36  ,0,0,,令和 3年 7月 29日,,,,,,,,,160,伝宝丸,025,025-566-3017,,,,糸魚川市大字能生小泊３５９６－２,新潟県糸魚川市能生小泊３５９６－２,,88099,15,15216,能生小泊,2021/07/29,,,,,,山田　吉弘 ,,,,,,,,,3     ‐36  ,新規,食料品販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,A,58,581,5811,伝宝丸025-566-30178809915216,6affb324-50f5-453e-b85c-23c92674d52c,,personal,0ba485ac-ca43-41fc-85e7-58a4783bb558,2021/07/29,伝宝丸,伝宝丸,
個人,継続,10970,,伝宝丸,糸魚川市大字能生小泊３５９６－２,糸魚川市大字能生小泊３５９６－２,,025-566-3017,山田　吉弘,,,,,,,,,弁当類又は惣菜類販売業,ゆでかにの販売に限る,,2 - 5,0,0,2015年03月14日,2020年04月14日,2020年04月16日,2020年04月17日,2025年05月31日,,,,2021年07月28日,,160,伝宝丸,025,025-566-3017,,,,糸魚川市大字能生小泊３５９６－２,新潟県糸魚川市能生小泊３５９６－２,,88099,15,15216,能生小泊,2020/04/14,2015/03/14,2020/04/17,,2025/05/31,,山田　吉弘 ,,,,,,,,,2 - 5,継続,その他,,ゆでかにの販売に限る,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,T,,,,伝宝丸025-566-30178809915216,6affb324-50f5-453e-b85c-23c92674d52c,,personal,94586170-991c-4951-a704-b9cbf3a3c4b5,2020/04/17,伝宝丸,伝宝丸,
個人,新規,10788,,セブン‐イレブン糸魚川能生鬼伏店,糸魚川市大字鬼伏字崩埼5583番,糸魚川市大字鬼伏字崩埼５５８３番,,,山田　順子,,,,,,,,,① 魚介類販売業（包装済みの魚介類のみの販売）,,,3     ‐101 ,0,0,,令和 3年 11月 12日,,,,,,,,,160,セブン‐イレブン糸魚川能生鬼伏店,025,,,,,糸魚川市大字鬼伏字崩埼５５８３番,新潟県糸魚川市鬼伏字崩埼５５８３番,,88066,15,15216,鬼伏,2021/11/12,,,,,,山田　順子 ,,,,,,,,,3     ‐101 ,新規,魚介類販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,,,セブンイレブン糸魚川能生鬼伏店8806615216,bb3730ce-1749-4d18-97fd-9c577cc0bb12,,personal,b318e5c0-bf58-4bb4-a055-8d94e69fb94c,2021/11/12,セブンイレブン糸魚川能生鬼伏店,セブンイレブン糸魚川能生鬼伏店,
個人,新規,10788,,セブン‐イレブン糸魚川能生鬼伏店,糸魚川市大字鬼伏字崩埼5583番,糸魚川市大字鬼伏字崩埼５５８３番,,,山田　順子,,,,,,,,,② 食肉販売業（包装済みの食肉のみの販売）,,,3     ‐101 ,0,0,,令和 3年 11月 12日,,,,,,,,,160,セブン‐イレブン糸魚川能生鬼伏店,025,,,,,糸魚川市大字鬼伏字崩埼５５８３番,新潟県糸魚川市鬼伏字崩埼５５８３番,,88066,15,15216,鬼伏,2021/11/12,,,,,,山田　順子 ,,,,,,,,,3     ‐101 ,新規,食肉販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,583,,セブンイレブン糸魚川能生鬼伏店8806615216,bb3730ce-1749-4d18-97fd-9c577cc0bb12,,personal,de1a30ea-5772-41dc-b4bb-36c10b02c239,2021/11/12,セブンイレブン糸魚川能生鬼伏店,セブンイレブン糸魚川能生鬼伏店,
個人,新規,10788,,セブン‐イレブン糸魚川能生鬼伏店,糸魚川市大字鬼伏字崩埼5583番,糸魚川市大字鬼伏字崩埼５５８３番,,,山田　順子,,,,,,,,,③ 乳類販売業,,,3     ‐101 ,0,0,,令和 3年 11月 12日,,,,,,,,,160,セブン‐イレブン糸魚川能生鬼伏店,025,,,,,糸魚川市大字鬼伏字崩埼５５８３番,新潟県糸魚川市鬼伏字崩埼５５８３番,,88066,15,15216,鬼伏,2021/11/12,,,,,,山田　順子 ,,,,,,,,,3     ‐101 ,新規,乳類販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,,,セブンイレブン糸魚川能生鬼伏店8806615216,bb3730ce-1749-4d18-97fd-9c577cc0bb12,,personal,409d51ea-8941-4cf4-9431-5bc67931910c,2021/11/12,セブンイレブン糸魚川能生鬼伏店,セブンイレブン糸魚川能生鬼伏店,
個人,新規,10788,,セブン‐イレブン糸魚川能生鬼伏店,糸魚川市大字鬼伏字崩埼5583番,糸魚川市大字鬼伏字崩埼５５８３番,,,山田　順子,,,,,,,,,⑩ コンビニエンスストア,,,3     ‐101 ,0,0,,令和 3年 11月 12日,,,,,,,,,160,セブン‐イレブン糸魚川能生鬼伏店,025,,,,,糸魚川市大字鬼伏字崩埼５５８３番,新潟県糸魚川市鬼伏字崩埼５５８３番,,88066,15,15216,鬼伏,2021/11/12,,,,,,山田　順子 ,,,,,,,,,3     ‐101 ,新規,コンビニエンスストア,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,589,5891,セブンイレブン糸魚川能生鬼伏店8806615216,bb3730ce-1749-4d18-97fd-9c577cc0bb12,,personal,06356c22-b3e5-470d-802b-c9566402ef79,2021/11/12,セブンイレブン糸魚川能生鬼伏店,セブンイレブン糸魚川能生鬼伏店,
個人,継続,10788,,セブン‐イレブン糸魚川能生鬼伏店,糸魚川市大字鬼伏字崩埼5583番,糸魚川市大字鬼伏字崩埼５５８３番,,,山田　順子,,,,,,,,,飲食店営業（食品調理）,簡易な調理に限る,,1 - 20,0,0,2011年07月21日,2017年05月12日,2017年05月18日,2017年05月19日,2022年05月31日,,,,,,160,セブン‐イレブン糸魚川能生鬼伏店,025,,,,,糸魚川市大字鬼伏字崩埼５５８３番,新潟県糸魚川市鬼伏字崩埼５５８３番,,88066,15,15216,鬼伏,2017/05/12,2011/07/21,2017/05/19,,2022/05/31,,山田　順子 ,,,,,,,,,1 - 20,継続,飲食店営業,（食品調理）,簡易な調理に限る,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,セブンイレブン糸魚川能生鬼伏店8806615216,bb3730ce-1749-4d18-97fd-9c577cc0bb12,,personal,4f8c5efc-317b-4ecf-a5c8-b729a093ed39,2017/05/19,セブンイレブン糸魚川能生鬼伏店,セブンイレブン糸魚川能生鬼伏店,
個人,継続,10788,,セブン‐イレブン糸魚川能生鬼伏店,糸魚川市大字鬼伏字崩埼5583番,糸魚川市大字鬼伏字崩埼５５８３番,,,山田　順子,,,,,,,,,菓子製造業,揚げる行為に限る,,1 - 20,0,0,2011年07月21日,2017年05月12日,2017年05月18日,2017年05月19日,2022年05月31日,,,,,,160,セブン‐イレブン糸魚川能生鬼伏店,025,,,,,糸魚川市大字鬼伏字崩埼５５８３番,新潟県糸魚川市鬼伏字崩埼５５８３番,,88066,15,15216,鬼伏,2017/05/12,2011/07/21,2017/05/19,,2022/05/31,,山田　順子 ,,,,,,,,,1 - 20,継続,菓子製造業,,揚げる行為に限る,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,E,9,,,セブンイレブン糸魚川能生鬼伏店8806615216,bb3730ce-1749-4d18-97fd-9c577cc0bb12,,personal,54ed0cb7-c1b8-4923-bea9-f2d98a2ea402,2017/05/19,セブンイレブン糸魚川能生鬼伏店,セブンイレブン糸魚川能生鬼伏店,
個人,継続,10788,,セブン‐イレブン糸魚川能生鬼伏店,糸魚川市大字鬼伏字崩埼5583番,糸魚川市大字鬼伏字崩埼５５８３番,,,山田　順子,,,,,,,,,魚介類販売業,調理行為をしないこと,,1 - 20,0,0,2011年07月21日,2017年05月12日,2017年05月18日,2017年05月19日,2022年05月31日,,,,2021年11月11日,,160,セブン‐イレブン糸魚川能生鬼伏店,025,,,,,糸魚川市大字鬼伏字崩埼５５８３番,新潟県糸魚川市鬼伏字崩埼５５８３番,,88066,15,15216,鬼伏,2017/05/12,2011/07/21,2017/05/19,,2022/05/31,,山田　順子 ,,,,,,,,,1 - 20,継続,魚介類販売業,,調理行為をしないこと,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,,,セブンイレブン糸魚川能生鬼伏店8806615216,bb3730ce-1749-4d18-97fd-9c577cc0bb12,,personal,f3bbac9d-c6d0-4efc-9b54-8e408223177b,2017/05/19,セブンイレブン糸魚川能生鬼伏店,セブンイレブン糸魚川能生鬼伏店,
個人,継続,10788,,セブン‐イレブン糸魚川能生鬼伏店,糸魚川市大字鬼伏字崩埼5583番,糸魚川市大字鬼伏字崩埼５５８３番,,,山田　順子,,,,,,,,,食肉販売業,包装食肉の販売に限る,,1 - 20,0,0,2011年07月21日,2017年05月12日,2017年05月18日,2017年05月19日,2022年05月31日,,,,2021年11月11日,,160,セブン‐イレブン糸魚川能生鬼伏店,025,,,,,糸魚川市大字鬼伏字崩埼５５８３番,新潟県糸魚川市鬼伏字崩埼５５８３番,,88066,15,15216,鬼伏,2017/05/12,2011/07/21,2017/05/19,,2022/05/31,,山田　順子 ,,,,,,,,,1 - 20,継続,食肉販売業,,包装食肉の販売に限る,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,583,,セブンイレブン糸魚川能生鬼伏店8806615216,bb3730ce-1749-4d18-97fd-9c577cc0bb12,,personal,77e39943-dd1b-479f-bc76-00e77d837fb8,2017/05/19,セブンイレブン糸魚川能生鬼伏店,セブンイレブン糸魚川能生鬼伏店,
個人,継続,10788,,セブン‐イレブン糸魚川能生鬼伏店,糸魚川市大字鬼伏字崩埼5583番,糸魚川市大字鬼伏字崩埼５５８３番,,,山田　順子,,,,,,,,,乳類販売業,,,1 - 20,0,0,2011年07月21日,2017年05月12日,2017年05月18日,2017年05月19日,2022年05月31日,,,,2021年11月11日,,160,セブン‐イレブン糸魚川能生鬼伏店,025,,,,,糸魚川市大字鬼伏字崩埼５５８３番,新潟県糸魚川市鬼伏字崩埼５５８３番,,88066,15,15216,鬼伏,2017/05/12,2011/07/21,2017/05/19,,2022/05/31,,山田　順子 ,,,,,,,,,1 - 20,継続,乳類販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,,,セブンイレブン糸魚川能生鬼伏店8806615216,bb3730ce-1749-4d18-97fd-9c577cc0bb12,,personal,c983ff81-b864-40bc-8dcc-024b24b92634,2017/05/19,セブンイレブン糸魚川能生鬼伏店,セブンイレブン糸魚川能生鬼伏店,
個人,新規,11192,,サンレパス　ルート８,糸魚川市大字鬼伏字下崩崎４２－１,糸魚川市大字鬼伏字下崩崎４２－１,,025-566-2408,山田　眞砂美,,,,,,,,,飲食店営業（一般食堂）,,,1 - 71,0,0,2019年10月11日,2019年09月13日,2019年10月10日,2019年10月11日,2025年05月31日,,,,,,160,サンレパス　ルート８,025,025-566-2408,,,,糸魚川市大字鬼伏字下崩崎４２－１,新潟県糸魚川市鬼伏字下崩崎４２－１,,88066,15,15216,鬼伏,2019/09/13,2019/10/11,2019/10/11,,2025/05/31,,山田　眞砂美 ,,,,,,,,,1 - 71,新規,飲食店営業,（一般食堂）,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,サンレパスルト８025-566-24088806615216,8e098cdb-4ef0-41de-bac5-8ec5aae02402,,personal,5fcb7622-1a0c-48f6-b0f9-543711520c9d,2019/10/11,サンレパス　ルート８,サンレパスルト８,
個人,継続,1118,,スナック　ゴールド,糸魚川市大字能生１９５７－１７,糸魚川市大字能生１９５７－１７,,025-566-3083,山本  たか子,,,,,,,,,飲食店営業（その他）,,,1 - 7,0,0,1985年06月18日,2017年04月24日,2017年04月27日,2017年04月28日,2022年05月31日,,,,,,160,スナック　ゴールド,025,025-566-3083,,,,糸魚川市大字能生１９５７－１７,新潟県糸魚川市能生１９５７－１７,,88098,15,15216,能生,2017/04/24,1985/06/18,2017/04/28,,2022/05/31,,山本  たか子 ,,,,,,,,,1 - 7,継続,飲食店営業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,スナックゴルド025-566-30838809815216,8a24598b-29d5-46d4-9bed-3f6e30f57052,,personal,40eabfa1-c340-4877-877e-8735882064a0,2017/04/28,スナック　ゴールド,スナックゴルド,
個人,継続,397,,しらふじ,糸魚川市寺町１－９－１０,糸魚川市寺町１－９－１０,,025-553-1055,山本  昭一,,,,,,,,,飲食店営業（一般食堂）,,,1 - 39,0,0,1991年09月02日,2020年06月16日,2020年06月18日,2020年06月19日,2025年07月31日,,,,,,160,しらふじ,025,025-553-1055,,,,糸魚川市寺町１－９－１０,新潟県糸魚川市寺町１－９－１０,,87987,15,15216,寺町１,2020/06/16,1991/09/02,2020/06/19,,2025/07/31,,山本  昭一 ,,,,,,,,,1 - 39,継続,飲食店営業,（一般食堂）,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,しらふじ025-553-10558798715216,4924b1b5-4418-4489-abe3-dcd96fc11125,,personal,e2a2bce1-d167-4bd3-a834-352e112fc299,2020/06/19,しらふじ,しらふじ,
個人,新規,321,,とよばた商店,糸魚川市大字根小屋１２２２,糸魚川市大字根小屋１２２２,,025-558-2124,山本  清,,,,,,,,,飲食店営業（一般食堂）,,,898,0,0,1969年06月09日,1969年05月28日,1969年06月09日,1969年06月09日,,,,,,,160,とよばた商店,025,025-558-2124,,,,糸魚川市大字根小屋１２２２,新潟県糸魚川市根小屋１２２２,,88007,15,15216,根小屋,1969/05/28,1969/06/09,1969/06/09,,,,山本  清 ,,,,,,,,,898,新規,飲食店営業,（一般食堂）,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,とよばた商店025-558-21248800715216,7d7f27c9-cc1e-401d-9fcb-2a4d7441877c,,personal,2bdce1fe-3c82-4640-8390-2526c20d1c32,1969/06/09,とよばた商店,とよばた商店,
個人,新規,321,,とよばた商店,糸魚川市大字根小屋１２２２,糸魚川市大字根小屋１２２２,,025-558-2124,山本  清,,,,,,,,,飲食店営業（仕出し屋）,仕出し屋に限る,,2299,0,0,1966年11月18日,,1966年11月18日,1966年11月18日,,,,,,,160,とよばた商店,025,025-558-2124,,,,糸魚川市大字根小屋１２２２,新潟県糸魚川市根小屋１２２２,,88007,15,15216,根小屋,,1966/11/18,1966/11/18,,,,山本  清 ,,,,,,,,,2299,新規,飲食店営業,（仕出し屋）,仕出し屋に限る,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,とよばた商店025-558-21248800715216,7d7f27c9-cc1e-401d-9fcb-2a4d7441877c,,personal,89028838-13a9-4707-8583-71ac6edf5a2b,1966/11/18,とよばた商店,とよばた商店,
個人,新規,11082,,食事処　利休,糸魚川市大字須沢５５－２３,糸魚川市大字須沢５５－２３,,553-0113,山本　和雄,,,,,,,,,飲食店営業（一般食堂）,,,1 - 33,0,0,2017年06月16日,2017年06月05日,2017年06月15日,2017年06月16日,2022年09月30日,,,,,,160,食事処　利休,025,025-553-0113,,,,糸魚川市大字須沢５５－２３,新潟県糸魚川市須沢５５－２３,,88079,15,15216,須沢,2017/06/05,2017/06/16,2017/06/16,,2022/09/30,,山本　和雄 ,,,,,,,,,1 - 33,新規,飲食店営業,（一般食堂）,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,食事処利休025-553-01138807915216,332912aa-949e-4825-b297-24aced3770a5,,personal,7c40d381-febf-4085-bb97-e976aae3173f,2017/06/16,食事処　利休,食事処利休,
個人,新規,10578,,ローソン糸魚川中宿店,糸魚川市大字中宿５１９－１,糸魚川市大字中宿５１９－１,,025-555-3071,寺﨑　典行,,,,,,,,,① 魚介類販売業（包装済みの魚介類のみの販売）,,,3     ‐161 ,0,0,,令和 3年 12月 6日,,,,,,,,,160,ローソン糸魚川中宿店,025,025-555-3071,,,,糸魚川市大字中宿５１９－１,新潟県糸魚川市中宿５１９－１,,87995,15,15216,中宿,2021/12/06,,,,,,寺﨑　典行 ,,,,,,,,,3     ‐161 ,新規,魚介類販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,,,ロソン糸魚川中宿店025-555-30718799515216,f281bc04-9618-47e9-aab4-a6a0fe80e696,,personal,3c3dc3ab-719d-4013-a3b3-eb93c2dd6122,2021/12/06,ローソン糸魚川中宿店,ロソン糸魚川中宿店,
個人,新規,10578,,ローソン糸魚川中宿店,糸魚川市大字中宿５１９－１,糸魚川市大字中宿５１９－１,,025-555-3071,寺﨑　典行,,,,,,,,,② 食肉販売業（包装済みの食肉のみの販売）,,,3     ‐161 ,0,0,,令和 3年 12月 6日,,,,,,,,,160,ローソン糸魚川中宿店,025,025-555-3071,,,,糸魚川市大字中宿５１９－１,新潟県糸魚川市中宿５１９－１,,87995,15,15216,中宿,2021/12/06,,,,,,寺﨑　典行 ,,,,,,,,,3     ‐161 ,新規,食肉販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,583,,ロソン糸魚川中宿店025-555-30718799515216,f281bc04-9618-47e9-aab4-a6a0fe80e696,,personal,96365589-8bbe-4f84-ae1d-3e2cba3aa3e5,2021/12/06,ローソン糸魚川中宿店,ロソン糸魚川中宿店,
個人,新規,10578,,ローソン糸魚川中宿店,糸魚川市大字中宿５１９－１,糸魚川市大字中宿５１９－１,,025-555-3071,寺﨑　典行,,,,,,,,,③ 乳類販売業,,,3     ‐161 ,0,0,,令和 3年 12月 6日,,,,,,,,,160,ローソン糸魚川中宿店,025,025-555-3071,,,,糸魚川市大字中宿５１９－１,新潟県糸魚川市中宿５１９－１,,87995,15,15216,中宿,2021/12/06,,,,,,寺﨑　典行 ,,,,,,,,,3     ‐161 ,新規,乳類販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,,,ロソン糸魚川中宿店025-555-30718799515216,f281bc04-9618-47e9-aab4-a6a0fe80e696,,personal,dc3f9a1a-0e45-4b40-941e-6046ee22c409,2021/12/06,ローソン糸魚川中宿店,ロソン糸魚川中宿店,
個人,新規,10578,,ローソン糸魚川中宿店,糸魚川市大字中宿５１９－１,糸魚川市大字中宿５１９－１,,025-555-3071,寺﨑　典行,,,,,,,,,⑩ コンビニエンスストア,,,3     ‐161 ,0,0,,令和 3年 12月 6日,,,,,,,,,160,ローソン糸魚川中宿店,025,025-555-3071,,,,糸魚川市大字中宿５１９－１,新潟県糸魚川市中宿５１９－１,,87995,15,15216,中宿,2021/12/06,,,,,,寺﨑　典行 ,,,,,,,,,3     ‐161 ,新規,コンビニエンスストア,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,589,5891,ロソン糸魚川中宿店025-555-30718799515216,f281bc04-9618-47e9-aab4-a6a0fe80e696,,personal,9944a4ac-babc-478c-bac0-8b8da673b954,2021/12/06,ローソン糸魚川中宿店,ロソン糸魚川中宿店,
個人,継続,10578,,ローソン糸魚川中宿店,糸魚川市大字中宿５１９－１,糸魚川市大字中宿５１９－１,,025-555-3071,寺﨑　典行,,,,,,,,,飲食店営業（食品調理）,簡易な調理に限る,,1 - 122,0,0,2007年04月26日,2018年03月05日,2018年03月08日,2018年03月09日,2023年03月31日,,,,,,160,ローソン糸魚川中宿店,025,025-555-3071,,,,糸魚川市大字中宿５１９－１,新潟県糸魚川市中宿５１９－１,,87995,15,15216,中宿,2018/03/05,2007/04/26,2018/03/09,,2023/03/31,,寺﨑　典行 ,,,,,,,,,1 - 122,継続,飲食店営業,（食品調理）,簡易な調理に限る,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,ロソン糸魚川中宿店025-555-30718799515216,f281bc04-9618-47e9-aab4-a6a0fe80e696,,personal,f6a61cc9-9773-40a7-b808-7b2a776e263f,2018/03/09,ローソン糸魚川中宿店,ロソン糸魚川中宿店,
