,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
株式会社　KICHIRI 代表取締役　平田　哲士,03-5466-3456,ハンバーグ＆ステーキ　いしがま工房,名古屋市西区二方町４０番　mozoワンダーシティ ３F,名古屋市西区二方町４０番,mozoワンダーシティ ３F,325-8883,飲食店営業,2022/7/27,4西保健第1-164号,2022/7/27,2028/10/20,,名古屋市保健所,ハンバーグ＆ステーキ　いしがま工房,052,052-325-8883,,,,名古屋市西区二方町４０番,愛知県名古屋市西区二方町４０番,mozoワンダーシティ ３F,114370,愛知県,名古屋市西区,二方町,,2022/07/27,,2022/07/27,2028/10/20,株式会社　KICHIRI ,代表取締役　平田　哲士,03-5466-3456,,,,,,,,4西保健第1-164号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ハンバーグ＆ステーキ　いしがま工房,ハンバグステキいしがま工房,株式会社ＫＩＣＨＩＲＩ　,,1,,,,,
VITINCO FOOD 合同会社 代表社員 NGUYEN THI TUONG VI,,AM THUC VITINCO Ⅱ,名古屋市西区城町五丁目１番地　欽花園ハイツ１階C号室,名古屋市西区城町５丁目１番地, 欽花園ハイツ１階C号室,,食肉販売業,2022/7/28,4西保健第1-199号,2022/7/28,2028/10/20,,名古屋市保健所,AM THUC VITINCO Ⅱ,052,,,,,名古屋市西区城町５丁目１番地,愛知県名古屋市西区城町５丁目１番地, 欽花園ハイツ１階C号室,114327,愛知県,名古屋市西区,城町,,2022/07/28,,2022/07/28,2028/10/20,VITINCO FOOD 合同会社 ,代表社員 NGUYEN THI TUONG VI,,,,,,,,,4西保健第1-199号,,食肉販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,ＡＭ　ＴＨＵＣ　ＶＩＴＩＮＣＯ　Ⅱ,ＡＭＴＨＵＣＶＩＴＩＮＣＯⅡ,ＶＩＴＩＮＣＯ　ＦＯＯＤ　合同会社,,1,,,,,
株式会社　フードアイデア 代表取締役　福井　優子,050-5876-6929,キッチン　アイデア,名古屋市西区南堀越二丁目１番１４号　,名古屋市西区南堀越２丁目１番１４号, ,,飲食店営業,2022/7/29,4西保健第1-193号,2022/7/29,2029/1/20,,名古屋市保健所,キッチン　アイデア,052,,,,,名古屋市西区南堀越２丁目１番１４号,愛知県名古屋市西区南堀越２丁目１番１４号, ,114439,愛知県,名古屋市西区,南堀越２,,2022/07/29,,2022/07/29,2029/01/20,株式会社　フードアイデア ,代表取締役　福井　優子,050-5876-6929,,,,,,,,4西保健第1-193号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,キッチン　アイデア,キッチンアイデア,株式会社フードアイデア　,,2,,,,,
株式会社　フードアイデア 代表取締役　福井　優子,050-5876-6929,キッチン　アイデア,名古屋市西区南堀越二丁目１番１４号　,名古屋市西区南堀越２丁目１番１４号, ,,密封包装食品製造業,2022/7/29,4西保健第1-194号,2022/7/29,2029/1/20,,名古屋市保健所,キッチン　アイデア,052,,,,,名古屋市西区南堀越２丁目１番１４号,愛知県名古屋市西区南堀越２丁目１番１４号, ,114439,愛知県,名古屋市西区,南堀越２,,2022/07/29,,2022/07/29,2029/01/20,株式会社　フードアイデア ,代表取締役　福井　優子,050-5876-6929,,,,,,,,4西保健第1-194号,,密封包装食品製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,キッチン　アイデア,キッチンアイデア,株式会社フードアイデア　,,2,,,,,
伊東　美香,,アトリエ　トランキリテ,名古屋市西区大野木二丁目１５３番地　,名古屋市西区大野木２丁目１５３番地 ,,,菓子製造業,2022/7/29,4西保健第1-202号,2022/7/29,2029/2/20,,名古屋市保健所,アトリエ　トランキリテ,052,,,,,名古屋市西区大野木２丁目１５３番地 ,愛知県名古屋市西区大野木２丁目１５３番地,,114286,愛知県,名古屋市西区,大野木２,,2022/07/29,,2022/07/29,2029/02/20,,伊東　美香,,,,,,,,,4西保健第1-202号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,アトリエ　トランキリテ,アトリエトランキリテ,,,3,,,,,
伊東　美香,,アトリエ　トランキリテ,名古屋市西区大野木二丁目１５３番地　,名古屋市西区大野木２丁目１５３番地 ,,,飲食店営業,2022/7/29,4西保健第1-201号,2022/7/29,2029/2/20,,名古屋市保健所,アトリエ　トランキリテ,052,,,,,名古屋市西区大野木２丁目１５３番地 ,愛知県名古屋市西区大野木２丁目１５３番地,,114286,愛知県,名古屋市西区,大野木２,,2022/07/29,,2022/07/29,2029/02/20,,伊東　美香,,,,,,,,,4西保健第1-201号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,アトリエ　トランキリテ,アトリエトランキリテ,,,3,,,,,
伊東　美香,,アトリエ　トランキリテ,名古屋市西区大野木二丁目１５３番地　,名古屋市西区大野木２丁目１５３番地 ,,,漬物製造業,2022/7/29,4西保健第1-203号,2022/7/29,2029/2/20,,名古屋市保健所,アトリエ　トランキリテ,052,,,,,名古屋市西区大野木２丁目１５３番地 ,愛知県名古屋市西区大野木２丁目１５３番地,,114286,愛知県,名古屋市西区,大野木２,,2022/07/29,,2022/07/29,2029/02/20,,伊東　美香,,,,,,,,,4西保健第1-203号,,漬物製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,アトリエ　トランキリテ,アトリエトランキリテ,,,3,,,,,
株式会社　アール・ティー・コーポレーション 代表取締役社長　花谷　聡子,03-5205-6041,ディンタイフォン　mozoワンダーシティ店,名古屋市西区二方町４０番　mozoワンダーシティ１階,名古屋市西区二方町４０番, mozoワンダーシティ１階,,飲食店営業,2022/7/29,4西保健第1-155号,2022/7/29,2028/10/20,,名古屋市保健所,ディンタイフォン　mozoワンダーシティ店,052,,,,,名古屋市西区二方町４０番,愛知県名古屋市西区二方町４０番, mozoワンダーシティ１階,114370,愛知県,名古屋市西区,二方町,,2022/07/29,,2022/07/29,2028/10/20,株式会社　アール・ティー・コーポレーション ,代表取締役社長　花谷　聡子,03-5205-6041,,,,,,,,4西保健第1-155号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ディンタイフォン　ｍｏｚｏワンダーシティ店,ディンタイフォンｍｏｚｏワンダシティ店,株式会社アール・ティー・コーポレーション　,,1,,,,,
株式会社　イデックス 代表取締役　八木　和典,251-3290,焼肉　やぎや,名古屋市西区二方町４０番　1階　1007区画,名古屋市西区二方町４０番,１階 １００７区画,934-7113,飲食店営業,2022/7/29,4西保健第1-99号,2022/7/29,2028/10/20,,名古屋市保健所,焼肉　やぎや,052,052-934-7113,,,,名古屋市西区二方町４０番,愛知県名古屋市西区二方町４０番,１階 １００７区画,114370,愛知県,名古屋市西区,二方町,,2022/07/29,,2022/07/29,2028/10/20,株式会社　イデックス ,代表取締役　八木　和典,-251-3290,,,,,,,,4西保健第1-99号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,焼肉　やぎや,焼肉やぎや,株式会社イデックス　,,1,,,,,
株式会社　すき家 代表取締役　笹川　直樹,03-5783-8850,すき家　中村黄金通店,名古屋市中村区黄金通２丁目５５番地　,名古屋市中村区黄金通２丁目５５番地 ,,483-7225,飲食店営業,2022/7/11,4中村保管第1-262号,2022/8/21,2028/8/20,,名古屋市保健所,すき家　中村黄金通店,052,052-483-7225,,,,名古屋市中村区黄金通２丁目５５番地 ,愛知県名古屋市中村区黄金通２丁目５５番地,,114496,愛知県,名古屋市中村区,黄金通２,,2022/07/11,,2022/08/21,2028/08/20,株式会社　すき家 ,代表取締役　笹川　直樹,03-5783-8850,,,,,,,,4中村保管第1-262号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,すき家　中村黄金通店,すき家中村黄金通店,株式会社すき家　,すき家,1,宿泊業，飲食サービス業,飲食店,そば・うどん店,そば・うどん店,
株式会社　勇佑 代表取締役社長　寺西　功,419-0311,ローソン　中村本陣通五丁目店,名古屋市中村区本陣通５丁目７３番地　,名古屋市中村区本陣通５丁目７３番地 ,,414-7972,そうざい製造業,2022/7/6,4中村保管第1-222号,2022/7/6,2029/3/20,,名古屋市保健所,ローソン　中村本陣通五丁目店,052,052-414-7972,,,,名古屋市中村区本陣通５丁目７３番地 ,愛知県名古屋市中村区本陣通５丁目７３番地,,114760,愛知県,名古屋市中村区,本陣通５,,2022/07/06,,2022/07/06,2029/03/20,株式会社　勇佑 ,代表取締役社長　寺西　功,-419-0311,,,,,,,,4中村保管第1-222号,,そうざい製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ローソン　中村本陣通五丁目店,ロソン中村本陣通五丁目店,株式会社勇佑　,ローソン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
株式会社　トミダ 代表取締役社長　富田　克美,052-911-2060,ナフコ千成店,名古屋市中村区名西通２丁目６番地　,名古屋市中村区名西通２丁目６番地 ,,486-7888,飲食店営業,2022/7/28,4中村保管第1-288号,2022/8/21,2028/8/20,,名古屋市保健所,ナフコ千成店,052,052-486-7888,,,,名古屋市中村区名西通２丁目６番地 ,愛知県名古屋市中村区名西通２丁目６番地,,114787,愛知県,名古屋市中村区,名西通２,,2022/07/28,,2022/08/21,2028/08/20,株式会社　トミダ ,代表取締役社長　富田　克美,052-911-2060,,,,,,,,4中村保管第1-288号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ナフコ千成店,ナフコ千成店,株式会社トミダ　,,4,,,,,
株式会社　トミダ 代表取締役社長　富田　克美,052-911-2060,ナフコ千成店,名古屋市中村区名西通２丁目６番地　,名古屋市中村区名西通２丁目６番地 ,,486-7888,飲食店営業,2022/7/28,4中村保管第1-289号,2022/8/21,2028/8/20,,名古屋市保健所,ナフコ千成店,052,052-486-7888,,,,名古屋市中村区名西通２丁目６番地 ,愛知県名古屋市中村区名西通２丁目６番地,,114787,愛知県,名古屋市中村区,名西通２,,2022/07/28,,2022/08/21,2028/08/20,株式会社　トミダ ,代表取締役社長　富田　克美,052-911-2060,,,,,,,,4中村保管第1-289号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ナフコ千成店,ナフコ千成店,株式会社トミダ　,,4,,,,,
株式会社　トミダ 代表取締役社長　富田　克美,052-911-2060,ナフコ千成店,名古屋市中村区名西通２丁目６番地　,名古屋市中村区名西通２丁目６番地 ,,486-7888,食肉販売業,2022/7/28,4中村保管第1-286号,2022/8/21,2028/8/20,,名古屋市保健所,ナフコ千成店,052,052-486-7888,,,,名古屋市中村区名西通２丁目６番地 ,愛知県名古屋市中村区名西通２丁目６番地,,114787,愛知県,名古屋市中村区,名西通２,,2022/07/28,,2022/08/21,2028/08/20,株式会社　トミダ ,代表取締役社長　富田　克美,052-911-2060,,,,,,,,4中村保管第1-286号,,食肉販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,ナフコ千成店,ナフコ千成店,株式会社トミダ　,,4,,,,,
株式会社　トミダ 代表取締役社長　富田　克美,052-911-2060,ナフコ千成店,名古屋市中村区名西通２丁目６番地　,名古屋市中村区名西通２丁目６番地 ,,486-7888,魚介類販売業,2022/7/28,4中村保管第1-287号,2022/8/21,2028/8/20,,名古屋市保健所,ナフコ千成店,052,052-486-7888,,,,名古屋市中村区名西通２丁目６番地 ,愛知県名古屋市中村区名西通２丁目６番地,,114787,愛知県,名古屋市中村区,名西通２,,2022/07/28,,2022/08/21,2028/08/20,株式会社　トミダ ,代表取締役社長　富田　克美,052-911-2060,,,,,,,,4中村保管第1-287号,,魚介類販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,,,,,,,,,ナフコ千成店,ナフコ千成店,株式会社トミダ　,,4,,,,,
小野　恵子,,立呑み　けいちゃん,名古屋市中村区名駅四丁目２２番８号　駅前横丁ビル１階　１E,名古屋市中村区名駅４丁目２２番８号,駅前横丁ビル１階 １E,,飲食店営業,2022/7/1,4中村保管第1-189号,2022/7/7,2029/6/20,,名古屋市保健所,立呑み　けいちゃん,052,,,,,名古屋市中村区名駅４丁目２２番８号,愛知県名古屋市中村区名駅４丁目２２番８号,駅前横丁ビル１階 １E,114784,愛知県,名古屋市中村区,名駅４,,2022/07/01,,2022/07/07,2029/06/20,,小野　恵子,,,,,,,,,4中村保管第1-189号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,立呑み　けいちゃん,立呑みけいちゃん,,,1,,,,,
株式会社　イートクリエイト 代表取締役　加藤　寛之,733-5757,横浜家系ラーメン　かすたむ家,名古屋市中村区岩塚町向田３６番地の４　奥山ビル１F,名古屋市中村区岩塚町向田３６番地の４,奥山ビル１F,485-9984,飲食店営業,2022/7/5,4中村保管第1-196号,2022/7/6,2028/7/20,,名古屋市保健所,横浜家系ラーメン　かすたむ家,052,052-485-9984,,,,名古屋市中村区岩塚町向田３６番地の４,愛知県名古屋市中村区岩塚町向田３６番地ノ４,奥山ビル１F,114478,愛知県,名古屋市中村区,岩塚町,,2022/07/05,,2022/07/06,2028/07/20,株式会社　イートクリエイト ,代表取締役　加藤　寛之,-733-5757,,,,,,,,4中村保管第1-196号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,横浜家系ラーメン　かすたむ家,横浜家系ラメンかすたむ家,株式会社イートクリエイト　,,1,,,,,
株式会社　鎌倉ハム 代表取締役　髙橋　英二,052-442-1121,亀島スクリーンゴルフ　ＫＷカフェ,名古屋市中村区亀島一丁目１２番２５号　,名古屋市中村区亀島１丁目１２番２５号, ,052-451-2319,飲食店営業,2022/7/8,4中村保管第1-235号,2022/7/15,2028/9/20,,名古屋市保健所,亀島スクリーンゴルフ　ＫＷカフェ,052,052-451-2319,,,,名古屋市中村区亀島１丁目１２番２５号,愛知県名古屋市中村区亀島１丁目１２番２５号, ,114540,愛知県,名古屋市中村区,亀島１,,2022/07/08,,2022/07/15,2028/09/20,株式会社　鎌倉ハム ,代表取締役　髙橋　英二,052-442-1121,,,,,,,,4中村保管第1-235号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,亀島スクリーンゴルフ　ＫＷカフェ,亀島スクリンゴルフＫＷカフェ,株式会社鎌倉ハム　,,1,,,,,
連鵬,,四川料理　郷味居,名古屋市中村区井深町１８番２２号　服部ビル１Ｆ,名古屋市中村区井深町１８番２２号, 服部ビル１Ｆ,052-750-8030,飲食店営業,2022/7/8,4中村保管第1-238号,2022/7/15,2028/9/20,,名古屋市保健所,四川料理　郷味居,052,052-750-8030,,,,名古屋市中村区井深町１８番２２号,愛知県名古屋市中村区井深町１８番２２号, 服部ビル１Ｆ,114476,愛知県,名古屋市中村区,井深町,,2022/07/08,,2022/07/15,2028/09/20,,連鵬,,,,,,,,,4中村保管第1-238号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,四川料理　郷味居,四川料理郷味居,,,1,,,,,
伊藤　正史,,肴菜処　尚,名古屋市中村区本陣通５丁目１５５番地　本陣通ビル　１階,名古屋市中村区本陣通５丁目１５５番地,本陣通ビル １階,,飲食店営業,2022/7/12,4中村保管第1-231号,2022/7/15,2029/3/20,,名古屋市保健所,肴菜処　尚,052,,,,,名古屋市中村区本陣通５丁目１５５番地,愛知県名古屋市中村区本陣通５丁目１５５番地,本陣通ビル １階,114760,愛知県,名古屋市中村区,本陣通５,,2022/07/12,,2022/07/15,2029/03/20,,伊藤　正史,,,,,,,,,4中村保管第1-231号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,肴菜処　尚,肴菜処尚,,,1,,,,,
株式会社　ベスト・モア 代表取締役　三木　規彰,052-934-7746,肉汁餃子のダンダダン　名駅三丁目店,名古屋市中村区名駅三丁目１８番１３号　,名古屋市中村区名駅３丁目１８番１３号, ,052-562-9003,飲食店営業,2022/7/11,4中村保管第1-261号,2022/7/19,2029/6/20,,名古屋市保健所,肉汁餃子のダンダダン　名駅三丁目店,052,052-562-9003,,,,名古屋市中村区名駅３丁目１８番１３号,愛知県名古屋市中村区名駅３丁目１８番１３号, ,114783,愛知県,名古屋市中村区,名駅３,,2022/07/11,,2022/07/19,2029/06/20,株式会社　ベスト・モア ,代表取締役　三木　規彰,052-934-7746,,,,,,,,4中村保管第1-261号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,肉汁餃子のダンダダン　名駅三丁目店,肉汁餃子のダンダダン名駅三丁目店,株式会社ベスト・モア　,,1,,,,,
濵島　和人,,濵島水産,名古屋市中村区名駅四丁目１５番１５号　名古屋綜合市場ビル１階　２５－Ａ,名古屋市中村区名駅４丁目１５番１５号,名古屋綜合市場ビル１階 ２５－Ａ,,魚介類販売業,2022/7/14,4中村保管第1-269号,2022/7/14,2029/6/20,,名古屋市保健所,濵島水産,052,,,,,名古屋市中村区名駅４丁目１５番１５号,愛知県名古屋市中村区名駅４丁目１５番１５号,名古屋綜合市場ビル１階 ２５－Ａ,114784,愛知県,名古屋市中村区,名駅４,,2022/07/14,,2022/07/14,2029/06/20,,濵島　和人,,,,,,,,,4中村保管第1-269号,,魚介類販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,,,,,,,,,濵島水産,濵島水産,,,1,,,,,
株式会社　サイゼリヤ 代表取締役　正垣泰彦,048-991-9611,サイゼリヤ　名駅太閤通口ビル店,名古屋市中村区椿町１５番２７号　名駅太閤通口ビル３F,名古屋市中村区椿町１５番２７号, 名駅太閤通口ビル３F,459-3071,飲食店営業,2022/7/8,4中村保管第1-199号,2022/7/13,2028/10/20,,名古屋市保健所,サイゼリヤ　名駅太閤通口ビル店,052,052-459-3071,,,,名古屋市中村区椿町１５番２７号,愛知県名古屋市中村区椿町１５番２７号, 名駅太閤通口ビル３F,114653,愛知県,名古屋市中村区,椿町,,2022/07/08,,2022/07/13,2028/10/20,株式会社　サイゼリヤ ,代表取締役　正垣泰彦,048-991-9611,,,,,,,,4中村保管第1-199号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,サイゼリヤ　名駅太閤通口ビル店,サイゼリヤ名駅太閤通口ビル店,株式会社サイゼリヤ　,サイゼリヤ,1,宿泊業，飲食サービス業,飲食店,酒場，ビヤホール,酒場，ビヤホール,
榎原　信子,,cafe&bar　ゆきっち,名古屋市中村区権現通３丁目６番地　サントピア中村　3B,名古屋市中村区権現通３丁目６番地,サントピア中村 ３B,050-5473-8128,飲食店営業,2022/7/14,4中村保管第1-191号,2022/8/1,2028/11/20,,名古屋市保健所,cafe&bar　ゆきっち,052,050-5473-8128,,,,名古屋市中村区権現通３丁目６番地,愛知県名古屋市中村区権現通３丁目６番地,サントピア中村 ３B,114575,愛知県,名古屋市中村区,権現通３,,2022/07/14,,2022/08/01,2028/11/20,,榎原　信子,,,,,,,,,4中村保管第1-191号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｃａｆｅ＆ｂａｒ　ゆきっち,ｃａｆｅｂａｒゆきっち,,,1,,,,,
榎原　信子,,cafe＆bar　ゆきっち　はなれ,名古屋市中村区権現通３丁目６番地　サントピア中村　３A,名古屋市中村区権現通３丁目６番地,サントピア中村 ３A,050-5473-8128,飲食店営業,2022/7/14,4中村保管第1-192号,2022/8/1,2028/11/20,,名古屋市保健所,cafe＆bar　ゆきっち　はなれ,052,050-5473-8128,,,,名古屋市中村区権現通３丁目６番地,愛知県名古屋市中村区権現通３丁目６番地,サントピア中村 ３A,114575,愛知県,名古屋市中村区,権現通３,,2022/07/14,,2022/08/01,2028/11/20,,榎原　信子,,,,,,,,,4中村保管第1-192号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｃａｆｅ＆ｂａｒ　ゆきっち　はなれ,ｃａｆｅｂａｒゆきっちはなれ,,,1,,,,,
株式会社　松浦商店 代表取締役　松浦　英一郎,052-452-4506,マツウラベーカリー本店,名古屋市中村区佐古前町７番５号　,名古屋市中村区佐古前町７番５号, ,052-485-9452,飲食店営業,2022/7/19,4中村保管第1-280号,2022/7/20,2028/9/20,,名古屋市保健所,マツウラベーカリー本店,052,052-485-9452,,,,名古屋市中村区佐古前町７番５号,愛知県名古屋市中村区佐古前町７番５号, ,114578,愛知県,名古屋市中村区,佐古前町,,2022/07/19,,2022/07/20,2028/09/20,株式会社　松浦商店 ,代表取締役　松浦　英一郎,052-452-4506,,,,,,,,4中村保管第1-280号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,マツウラベーカリー本店,マツウラベカリ本店,株式会社松浦商店　,,2,,,,,
株式会社　松浦商店 代表取締役　松浦　英一郎,052-452-4506,マツウラベーカリー本店,名古屋市中村区佐古前町７番５号　,名古屋市中村区佐古前町７番５号, ,052-485-9452,菓子製造業,2022/7/19,4中村保管第1-279号,2022/7/20,2028/9/20,,名古屋市保健所,マツウラベーカリー本店,052,052-485-9452,,,,名古屋市中村区佐古前町７番５号,愛知県名古屋市中村区佐古前町７番５号, ,114578,愛知県,名古屋市中村区,佐古前町,,2022/07/19,,2022/07/20,2028/09/20,株式会社　松浦商店 ,代表取締役　松浦　英一郎,052-452-4506,,,,,,,,4中村保管第1-279号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,マツウラベーカリー本店,マツウラベカリ本店,株式会社松浦商店　,,2,,,,,
豊田　孝則,,タンドリー,名古屋市中村区高道町１丁目４番７号　,名古屋市中村区高道町１丁目４番７号, ,,飲食店営業,2022/7/13,4中村保管第1-260号,2022/7/19,2029/3/20,,名古屋市保健所,タンドリー,052,,,,,名古屋市中村区高道町１丁目４番７号,愛知県名古屋市中村区高道町１丁目４番７号, ,114643,愛知県,名古屋市中村区,高道町１,,2022/07/13,,2022/07/19,2029/03/20,,豊田　孝則,,,,,,,,,4中村保管第1-260号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,タンドリー,タンドリ,,,1,,,,,
川上　紗也香,,ＡＩＬＥ,名古屋市中村区名駅三丁目１３番１２号　アンロシェ名駅８Ｆ,名古屋市中村区名駅３丁目１３番１２号, アンロシェ名駅８Ｆ,,飲食店営業,2022/7/22,4中村保管第1-296号,2022/7/23,2029/6/20,,名古屋市保健所,ＡＩＬＥ,052,,,,,名古屋市中村区名駅３丁目１３番１２号,愛知県名古屋市中村区名駅３丁目１３番１２号, アンロシェ名駅８Ｆ,114783,愛知県,名古屋市中村区,名駅３,,2022/07/22,,2022/07/23,2029/06/20,,川上　紗也香,,,,,,,,,4中村保管第1-296号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡＩＬＥ,ＡＩＬＥ,,,1,,,,,
株式会社　ZERO 代表取締役　中谷　英人,052-753-9930,スタミナ満点らーめん　アブラカラメ,名古屋市中村区太閤三丁目２番１３号　太閤林中駒ビル１F,名古屋市中村区太閤３丁目２番１３号, 太閤林中駒ビル１F,052-526-0557,飲食店営業,2022/7/19,4中村保管第1-263号,2022/7/31,2028/10/20,,名古屋市保健所,スタミナ満点らーめん　アブラカラメ,052,052-526-0557,,,,名古屋市中村区太閤３丁目２番１３号,愛知県名古屋市中村区太閤３丁目２番１３号, 太閤林中駒ビル１F,114821,愛知県,名古屋市中村区,太閤３,,2022/07/19,,2022/07/31,2028/10/20,株式会社　ZERO ,代表取締役　中谷　英人,052-753-9930,,,,,,,,4中村保管第1-263号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スタミナ満点らーめん　アブラカラメ,スタミナ満点らめんアブラカラメ,株式会社ＺＥＲＯ　,,1,,,,,
野口　貴広,,Ｇｅｍｉａ,名古屋市中村区中島町２丁目１６番地の１　,名古屋市中村区中島町２丁目１６番地の１,,,飲食店営業,2022/7/28,4中村保管第1-277号,2022/7/28,2028/9/20,,名古屋市保健所,Ｇｅｍｉａ,052,,,,,名古屋市中村区中島町２丁目１６番地の１,愛知県名古屋市中村区中島町２丁目１６番地ノ１,,114668,愛知県,名古屋市中村区,中島町２,,2022/07/28,,2022/07/28,2028/09/20,,野口　貴広,,,,,,,,,4中村保管第1-277号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｇｅｍｉａ,Ｇｅｍｉａ,,,1,,,,,
株式会社　トランザム 代表取締役　李　沈君,,ＮＯＥＬ,名古屋市中村区椿町１５番７号　第２鶴八太閤ビル９階９Ｆ号室,名古屋市中村区椿町１５番７号,第２鶴八太閤ビル９階９Ｆ号室,526-9200,飲食店営業,2022/7/28,4中村保管第1-273号,2022/7/28,2028/10/20,,名古屋市保健所,ＮＯＥＬ,052,052-526-9200,,,,名古屋市中村区椿町１５番７号,愛知県名古屋市中村区椿町１５番７号,第２鶴八太閤ビル９階９Ｆ号室,114653,愛知県,名古屋市中村区,椿町,,2022/07/28,,2022/07/28,2028/10/20,株式会社　トランザム ,代表取締役　李　沈君,,,,,,,,,4中村保管第1-273号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＮＯＥＬ,ＮＯＥＬ,株式会社トランザム　,,1,,,,,
