,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
株式会社　石川製麺,飲食店営業,飲食店営業,,220633,R 4. 7.13,R10.11.30,R 4. 7.13,4311209,静岡県浜松市西区舘山寺町１８９１番地,,,株式会社　石川製麺,静岡県袋井市松原８８８番地,,0538-23-3132,代表取締役,石川　剛寛,飲食店,,浜松市保健所,株式会社　石川製麺,053,,4311209,,,静岡県浜松市西区舘山寺町１８９１番地,静岡県浜松市西区館山寺町１８９１番地,,110893,静岡県,浜松市西区,館山寺町,,2022/07/13,,2022/07/13,2028/11/30,株式会社　石川製麺,代表取締役 石川　剛寛,0538-23-3132,静岡県袋井市松原８８８番地　,静岡県袋井市松原８８８番地,,112952,静岡県,袋井市,松原,220633,,飲食店営業, 飲食店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社石川製麺,株式会社石川製麺,株式会社石川製麺,,1,,,,,
なつ梅,飲食店営業,飲食店営業,,220629,R 4. 7.13,R 9. 9.30,R 4. 7.13,4350056,静岡県浜松市東区小池町１３６４番地の１,,466-7927,なつ梅株式会社,静岡県浜松市東区小池町１３６４番地の１,,466-7927,代表取締役,夏目　貴章,日本料理店,,浜松市保健所,なつ梅,053,053-466-7927,4350056,,,静岡県浜松市東区小池町１３６４番地の１,静岡県浜松市東区小池町１３６４番地ノ１,,110843,静岡県,浜松市東区,小池町,,2022/07/13,,2022/07/13,2027/09/30,なつ梅株式会社,代表取締役 夏目　貴章,-466-7927,静岡県浜松市東区小池町１３６４番地の１　,静岡県浜松市東区小池町１３６４番地ノ１,,110843,静岡県,浜松市東区,小池町,220629,,飲食店営業, 日本料理店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,なつ梅,なつ梅,なつ梅株式会社,,1,,,,,
Ｎａｔｓｈｅｌｌ,菓子製造業,菓子製造業,,220634,R 4. 7.13,R10. 5.31,R 4. 7.13,4300854,静岡県浜松市南区瓜内町６７０番地,,441-4100,株式会社　Ｎａｔｓｈｅｌｌ,静岡県浜松市南区瓜内町６７０番地,,441-4100,代表取締役,小池　美代,菓子製造,,浜松市保健所,Ｎａｔｓｈｅｌｌ,053,053-441-4100,4300854,,,静岡県浜松市南区瓜内町６７０番地,静岡県浜松市南区瓜内町６７０番地,,110934,静岡県,浜松市南区,瓜内町,,2022/07/13,,2022/07/13,2028/05/31,株式会社　Ｎａｔｓｈｅｌｌ,代表取締役 小池　美代,-441-4100,静岡県浜松市南区瓜内町６７０番地　,静岡県浜松市南区瓜内町６７０番地,,110934,静岡県,浜松市南区,瓜内町,220634,,菓子製造業, 菓子製造,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｎａｔｓｈｅｌｌ,Ｎａｔｓｈｅｌｌ,株式会社Ｎａｔｓｈｅｌｌ,,1,,,,,
ＯＭＧ．Ｂ．ＣＡＦＥ,飲食店営業,飲食店営業,,220625,R 4. 7.13,R10. 2.29,R 4. 7.13,4340035,静岡県浜松市浜北区寺島１０４３番地,,,酒井　幸代,,,,,,カフェ,,浜松市保健所,ＯＭＧ．Ｂ．ＣＡＦＥ,053,,4340035,,,静岡県浜松市浜北区寺島１０４３番地,静岡県浜松市浜北区寺島１０４３番地,,111081,静岡県,浜松市浜北区,寺島,,2022/07/13,,2022/07/13,2028/02/29,,酒井　幸代,,　,,,,,,,220625,,飲食店営業, カフェ,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＯＭＧ．Ｂ．ＣＡＦＥ,ＯＭＧＢＣＡＦＥ,,,1,,,,,
ｃｈｕｉｃｈｕｉｂｅｒｒｙ,飲食店営業,飲食店営業,,220626,R 4. 7.13,R 9.11.30,R 4. 7.13,,浜松市内一円,,,佐藤　忠明,,,,,,自動車形態,,浜松市保健所,ｃｈｕｉｃｈｕｉｂｅｒｒｙ,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/13,,2022/07/13,2027/11/30,,佐藤　忠明,,　,,,,,,,220626,,飲食店営業, 自動車形態,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｃｈｕｉｃｈｕｉｂｅｒｒｙ,ｃｈｕｉｃｈｕｉｂｅｒｒｙ,,,1,,,,,
株式会社　エフエンタープライズ,飲食店営業,飲食店営業,,220627,R 4. 7.13,R10. 2.29,R 4. 7.13,,浜松市内一円,,052-665-6871,株式会社　エフエンタープライズ,愛知県名古屋市港区入場一丁目９０４番地,,052-665-6871,代表取締役,永田　貴史,洋食（キッチンカー）,,浜松市保健所,株式会社　エフエンタープライズ,,052-665-6871,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/13,,2022/07/13,2028/02/29,株式会社　エフエンタープライズ,代表取締役 永田　貴史,052-665-6871,愛知県名古屋市港区入場一丁目９０４番地　,愛知県名古屋市港区入場１丁目９０４番地,,116493,愛知県,名古屋市港区,入場１,220627,,飲食店営業, 洋食（キッチンカー）,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社エフエンタープライズ,株式会社エフエンタプライズ,株式会社エフエンタープライズ,,1,,,,,
楽飲酒場　大ひろ,飲食店営業,飲食店営業,,220636,R 4. 7.14,R11. 2.28,R 4. 7.14,4340031,静岡県浜松市浜北区小林１２７２番地の２,,,大村　増宏,,,,,,居酒屋,,浜松市保健所,楽飲酒場　大ひろ,053,,4340031,,,静岡県浜松市浜北区小林１２７２番地の２,静岡県浜松市浜北区小林１２７２番地ノ２,,111068,静岡県,浜松市浜北区,小林,,2022/07/14,,2022/07/14,2029/02/28,,大村　増宏,,　,,,,,,,220636,,飲食店営業, 居酒屋,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,楽飲酒場　大ひろ,楽飲酒場大ひろ,,,1,,,,,
ローソン浜北染地台店,飲食店営業,飲食店営業,,220635,R 4. 7.14,R11. 2.28,R 4. 7.14,4340046,静岡県浜松市浜北区染地台五丁目７番１０号,,585-2148,北澤　芳光,,,,,,コンビニエンス,,浜松市保健所,ローソン浜北染地台店,053,053-585-2148,4340046,,,静岡県浜松市浜北区染地台五丁目７番１０号,静岡県浜松市浜北区染地台５丁目７番１０号,,111077,静岡県,浜松市浜北区,染地台５,,2022/07/14,,2022/07/14,2029/02/28,,北澤　芳光,,　,,,,,,,220635,,飲食店営業, コンビニエンス,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ローソン浜北染地台店,ロソン浜北染地台店,,ローソン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
ＮａＮａＣａｆｅ,飲食店営業,飲食店営業,,220637,R 4. 7.14,R10. 2.29,R 4. 7.14,,浜松市内一円,,,弘中　南香,,,,,,キッチンカー,,浜松市保健所,ＮａＮａＣａｆｅ,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/14,,2022/07/14,2028/02/29,,弘中　南香,,　,,,,,,,220637,,飲食店営業, キッチンカー,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＮａＮａＣａｆｅ,ＮａＮａＣａｆｅ,,,1,,,,,
１５ぱーみる,飲食店営業,飲食店営業,,220638,R 4. 7.14,R10. 2.29,R 4. 7.14,,浜松市内一円,,,澤幡　昇志,,,,,,キッチンカー,,浜松市保健所,１５ぱーみる,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/14,,2022/07/14,2028/02/29,,澤幡　昇志,,　,,,,,,,220638,,飲食店営業, キッチンカー,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,１５ぱーみる,１５ぱみる,,,1,,,,,
美食処　しおまち,飲食店営業,飲食店営業,,220640,R 4. 7.15,R10. 2.29,R 4. 7.15,4328034,静岡県浜松市中区塩町１４番地,,523-9100,有限会社　久野商店,静岡県浜松市南区鼡野町２１９番地,,426-2715,代表取締役,久野　光久,和食店,,浜松市保健所,美食処　しおまち,053,053-523-9100,4328034,,,静岡県浜松市中区塩町１４番地,静岡県浜松市中区塩町１４番地,,110692,静岡県,浜松市中区,塩町,,2022/07/15,,2022/07/15,2028/02/29,有限会社　久野商店,代表取締役 久野　光久,-426-2715,静岡県浜松市南区鼡野町２１９番地　,静岡県浜松市南区鼡野町２１９番地,,110974,静岡県,浜松市南区,鼡野町,220640,,飲食店営業, 和食店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,美食処　しおまち,美食処しおまち,有限会社久野商店,,1,,,,,
ＢＲＡＺＩＬＩＡＮ　ＦＡＳＴ　ＦＯＯＤＳ,飲食店営業,飲食店営業,,220639,R 4. 7.15,R10. 2.29,R 4. 7.15,,浜松市内一円,,,井上　クレベルソン,,,,,,自動車形態,,浜松市保健所,ＢＲＡＺＩＬＩＡＮ　ＦＡＳＴ　ＦＯＯＤＳ,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/15,,2022/07/15,2028/02/29,,井上　クレベルソン,,　,,,,,,,220639,,飲食店営業, 自動車形態,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＲＡＺＩＬＩＡＮ　ＦＡＳＴ　ＦＯＯＤＳ,ＢＲＡＺＩＬＩＡＮＦＡＳＴＦＯＯＤＳ,,,1,,,,,
風雲児　日ノ本,飲食店営業,飲食店営業,,220642,R 4. 7.19,R10. 2.29,R 4. 7.19,,浜松市内一円,,,株式会社　ＡＲＩＧＡＴＯ　ＦＡＣＴＯＲＹ,奈良県大和郡山市上三橋町１５２－１,,0743-58-5529,代表取締役,迫　幸昌,露店,,浜松市保健所,風雲児　日ノ本,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/19,,2022/07/19,2028/02/29,株式会社　ＡＲＩＧＡＴＯ　ＦＡＣＴＯＲＹ,代表取締役 迫　幸昌,0743-58-5529,奈良県大和郡山市上三橋町１５２－１　,奈良県大和郡山市上三橋町１５２－１,,172836,奈良県,大和郡山市,上三橋町,220642,,飲食店営業, 露店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,風雲児　日ノ本,風雲児日ノ本,株式会社ＡＲＩＧＡＴＯ　ＦＡＣＴＯＲＹ,,2,,,,,
風雲児　日ノ本,飲食店営業,飲食店営業,,220643,R 4. 7.19,R10. 2.29,R 4. 7.19,,浜松市内一円,,,株式会社　ＡＲＩＧＡＴＯ　ＦＡＣＴＯＲＹ,奈良県大和郡山市上三橋町１５２－１,,0743-58-5529,代表取締役,迫　幸昌,キッチンカー,,浜松市保健所,風雲児　日ノ本,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/19,,2022/07/19,2028/02/29,株式会社　ＡＲＩＧＡＴＯ　ＦＡＣＴＯＲＹ,代表取締役 迫　幸昌,0743-58-5529,奈良県大和郡山市上三橋町１５２－１　,奈良県大和郡山市上三橋町１５２－１,,172836,奈良県,大和郡山市,上三橋町,220643,,飲食店営業, キッチンカー,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,風雲児　日ノ本,風雲児日ノ本,株式会社ＡＲＩＧＡＴＯ　ＦＡＣＴＯＲＹ,,2,,,,,
ｓｔｕｄｉｏ　ＨＡＲＵ,飲食店営業,飲食店営業,,220641,R 4. 7.19,R 9.11.30,R 4. 7.19,,浜松市内一円,,,高場　亜衣,,,,,,露店形態,,浜松市保健所,ｓｔｕｄｉｏ　ＨＡＲＵ,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/19,,2022/07/19,2027/11/30,,高場　亜衣,,　,,,,,,,220641,,飲食店営業, 露店形態,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｓｔｕｄｉｏ　ＨＡＲＵ,ｓｔｕｄｉｏＨＡＲＵ,,,1,,,,,
懇　ＫＯＮ,飲食店営業,飲食店営業,,220648,R 4. 7.20,R10. 2.29,R 4. 7.20,4300934,静岡県浜松市中区千歳町１２６番地,カノンビル２階,488-8952,平井　淑乃,,,,,,ラウンジ,,浜松市保健所,懇　ＫＯＮ,053,053-488-8952,4300934,,,静岡県浜松市中区千歳町１２６番地,静岡県浜松市中区千歳町１２６番地,カノンビル２階,110736,静岡県,浜松市中区,千歳町,,2022/07/20,,2022/07/20,2028/02/29,,平井　淑乃,,　,,,,,,,220648,,飲食店営業, ラウンジ,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,懇　ＫＯＮ,懇ＫＯＮ,,,1,,,,,
セブン－イレブン　浜松高塚北店,飲食店営業,飲食店営業,,220644,R 4. 7.20,R10. 5.31,R 4. 7.20,4328065,静岡県浜松市南区高塚町１６３１番地,,440-3227,株式会社　花邑,静岡県浜松市西区舞阪町浜田１５１番地の２,,592-3028,代表取締役,鈴木　清,コンビニエンスストア,,浜松市保健所,セブン－イレブン　浜松高塚北店,053,053-440-3227,4328065,,,静岡県浜松市南区高塚町１６３１番地,静岡県浜松市南区高塚町１６３１番地,,110961,静岡県,浜松市南区,高塚町,,2022/07/20,,2022/07/20,2028/05/31,株式会社　花邑,代表取締役 鈴木　清,-592-3028,静岡県浜松市西区舞阪町浜田１５１番地の２　,静岡県浜松市西区舞阪町浜田１５１番地ノ２,,110916,静岡県,浜松市西区,舞阪町浜田,220644,,飲食店営業, コンビニエンスストア,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,セブンイレブン　浜松高塚北店,セブンイレブン浜松高塚北店,株式会社花邑,セブンイレブン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
セブン－イレブン　浜松馬郡店,飲食店営業,飲食店営業,,220645,R 4. 7.20,R10. 5.31,R 4. 7.20,4310203,静岡県浜松市西区馬郡町２６９０番地の１,,596-4977,株式会社　花邑,静岡県浜松市西区舞阪町浜田１５１番地の２,,592-3028,代表取締役,鈴木　清,コンビニエンスストア,,浜松市保健所,セブン－イレブン　浜松馬郡店,053,053-596-4977,4310203,,,静岡県浜松市西区馬郡町２６９０番地の１,静岡県浜松市西区馬郡町２６９０番地ノ１,,110919,静岡県,浜松市西区,馬郡町,,2022/07/20,,2022/07/20,2028/05/31,株式会社　花邑,代表取締役 鈴木　清,-592-3028,静岡県浜松市西区舞阪町浜田１５１番地の２　,静岡県浜松市西区舞阪町浜田１５１番地ノ２,,110916,静岡県,浜松市西区,舞阪町浜田,220645,,飲食店営業, コンビニエンスストア,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,セブンイレブン　浜松馬郡店,セブンイレブン浜松馬郡店,株式会社花邑,セブンイレブン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
Ｔｏｒｕｓ,飲食店営業,飲食店営業,,220646,R 4. 7.20,R 9.11.30,R 4. 7.20,4310102,静岡県浜松市西区雄踏町宇布見９９８１番地,,,株式会社　ＫＥＩコーポレーション,静岡県浜松市西区大平台四丁目２１番７号,,,代表取締役,長門　慶次,かき氷屋,,浜松市保健所,Ｔｏｒｕｓ,053,,4310102,,,静岡県浜松市西区雄踏町宇布見９９８１番地,静岡県浜松市西区雄踏町宇布見９９８１番地,,110921,静岡県,浜松市西区,雄踏町宇布見,,2022/07/20,,2022/07/20,2027/11/30,株式会社　ＫＥＩコーポレーション,代表取締役 長門　慶次,,静岡県浜松市西区大平台四丁目２１番７号　,静岡県浜松市西区大平台４丁目２１番７号,,110889,静岡県,浜松市西区,大平台４,220646,,飲食店営業, かき氷屋,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｔｏｒｕｓ,Ｔｏｒｕｓ,株式会社ＫＥＩコーポレーション,,1,,,,,
マックスバリュエクスプレス　浜松中央店,飲食店営業,飲食店営業,,220649,R 4. 7.20,R11. 2.28,R 4. 7.20,4300929,静岡県浜松市中区中央一丁目１３番２５号,,401-2510,マックスバリュ東海株式会社,静岡県浜松市東区篠ケ瀬町１２９５番地の１,,581-7553,代表取締役,作道　政昭,そうざい、弁当の店内販売,,浜松市保健所,マックスバリュエクスプレス　浜松中央店,053,053-401-2510,4300929,,,静岡県浜松市中区中央一丁目１３番２５号,静岡県浜松市中区中央１丁目１３番２５号,,110737,静岡県,浜松市中区,中央１,,2022/07/20,,2022/07/20,2029/02/28,マックスバリュ東海株式会社,代表取締役 作道　政昭,-581-7553,静岡県浜松市東区篠ケ瀬町１２９５番地の１　,静岡県浜松市東区篠が瀬町１２９５番地ノ１,,110846,静岡県,浜松市東区,篠が瀬町,220649,,飲食店営業, そうざい、弁当の店内販売,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,マックスバリュエクスプレス　浜松中央店,マックスバリュエクスプレス浜松中央店,マックスバリュ東海株式会社,,1,,,,,
ＣＨＡ・ＲＵ・ＲＵ,飲食店営業,飲食店営業,,220650,R 4. 7.20,R11. 2.28,R 4. 7.20,4300933,静岡県浜松市中区鍛冶町１番地の４７,林ビル１Ｆ南,,株式会社　アイウィル,静岡県浜松市東区市野町１４２７番地の８,,421-9101,代表取締役,塚﨑　智之,ドリンク販売店,,浜松市保健所,ＣＨＡ・ＲＵ・ＲＵ,053,,4300933,,,静岡県浜松市中区鍛冶町１番地の４７,静岡県浜松市中区鍛冶町１番地ノ４７,林ビル１Ｆ南,110654,静岡県,浜松市中区,鍛冶町,,2022/07/20,,2022/07/20,2029/02/28,株式会社　アイウィル,代表取締役 塚﨑　智之,-421-9101,静岡県浜松市東区市野町１４２７番地の８　,静岡県浜松市東区市野町１４２７番地ノ８,,110829,静岡県,浜松市東区,市野町,220650,,飲食店営業, ドリンク販売店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＣＨＡ・ＲＵ・ＲＵ,ＣＨＡＲＵＲＵ,株式会社アイウィル,,1,,,,,
Ｓｍｉｌｅ　ｋｉｔｃｈｅｎ　０　焼き鳥　政,飲食店営業,飲食店営業,,220652,R 4. 7.20,R 9. 9.30,R 4. 7.20,,浜松市内一円,,,株式会社　Ｄｒｅａｍｅｒ,静岡県浜松市東区有玉台四丁目７番７号,,,代表取締役,平野　政貴,露店,,浜松市保健所,Ｓｍｉｌｅ　ｋｉｔｃｈｅｎ　０　焼き鳥　政,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/20,,2022/07/20,2027/09/30,株式会社　Ｄｒｅａｍｅｒ,代表取締役 平野　政貴,,静岡県浜松市東区有玉台四丁目７番７号　,静岡県浜松市東区有玉台４丁目７番７号,,110824,静岡県,浜松市東区,有玉台４,220652,,飲食店営業, 露店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｓｍｉｌｅ　ｋｉｔｃｈｅｎ　０　焼き鳥　政,Ｓｍｉｌｅｋｉｔｃｈｅｎ０焼き鳥政,株式会社Ｄｒｅａｍｅｒ,,1,,,,,
コジゴロ,飲食店営業,飲食店営業,,220647,R 4. 7.20,R10. 2.29,R 4. 7.20,,浜松市内一円,,,後藤　充暁,,,,,,キッチンカー,,浜松市保健所,コジゴロ,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/20,,2022/07/20,2028/02/29,,後藤　充暁,,　,,,,,,,220647,,飲食店営業, キッチンカー,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,コジゴロ,コジゴロ,,,1,,,,,
風と月　韓フーズキッチン,飲食店営業,飲食店営業,,220655,R 4. 7.22,R11. 2.28,R 4. 7.22,4340041,静岡県浜松市浜北区平口２８６１番地,サンストリート浜北１Ｆ,584-6199,株式会社　Ｎｅｘｔ　Ｆｏｏｄｓ,愛知県名古屋市守山区新守山３４１３番地,,052-793-1947,代表取締役,宍倉　知行,レストラン,,浜松市保健所,風と月　韓フーズキッチン,053,053-584-6199,4340041,,,静岡県浜松市浜北区平口２８６１番地,静岡県浜松市浜北区平口２８６１番地,サンストリート浜北１Ｆ,111094,静岡県,浜松市浜北区,平口,,2022/07/22,,2022/07/22,2029/02/28,株式会社　Ｎｅｘｔ　Ｆｏｏｄｓ,代表取締役 宍倉　知行,052-793-1947,愛知県名古屋市守山区新守山３４１３番地　,愛知県名古屋市守山区新守山３４１３番地,,117068,愛知県,名古屋市守山区,新守山,220655,,飲食店営業, レストラン,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,風と月　韓フーズキッチン,風と月韓フズキッチン,株式会社Ｎｅｘｔ　Ｆｏｏｄｓ,,1,,,,,
フィリピン酒場　ＡＢＥＮＤ２,飲食店営業,飲食店営業,,220660,R 4. 7.25,R10. 2.29,R 4. 7.25,4300944,静岡県浜松市中区田町３１６番地の２２,,,梅林　義史,,,,,,食堂,,浜松市保健所,フィリピン酒場　ＡＢＥＮＤ２,053,,4300944,,,静岡県浜松市中区田町３１６番地の２２,静岡県浜松市中区田町３１６番地ノ２２,,110734,静岡県,浜松市中区,田町,,2022/07/25,,2022/07/25,2028/02/29,,梅林　義史,,　,,,,,,,220660,,飲食店営業, 食堂,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,フィリピン酒場　ＡＢＥＮＤ２,フィリピン酒場ＡＢＥＮＤ２,,,1,,,,,
Ｌａ　Ｃａｃｈｅｔｔｅ,菓子製造業,菓子製造業,,220658,R 4. 7.25,R10. 2.29,R 4. 7.25,4300928,静岡県浜松市中区板屋町１０２番地の１７,,453-1881,西澤　桂司,,,,,,,,浜松市保健所,Ｌａ　Ｃａｃｈｅｔｔｅ,053,053-453-1881,4300928,,,静岡県浜松市中区板屋町１０２番地の１７,静岡県浜松市中区板屋町１０２番地ノ１７,,110648,静岡県,浜松市中区,板屋町,,2022/07/25,,2022/07/25,2028/02/29,,西澤　桂司,,　,,,,,,,220658,,菓子製造業,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｌａ　Ｃａｃｈｅｔｔｅ,ＬａＣａｃｈｅｔｔｅ,,,2,,,,,
Ｌａ　Ｃａｃｈｅｔｔｅ,そうざい製造業,そうざい製造業,,220659,R 4. 7.25,R10. 2.29,R 4. 7.25,4300928,静岡県浜松市中区板屋町１０２番地の１７,,453-1881,西澤　桂司,,,,,,,,浜松市保健所,Ｌａ　Ｃａｃｈｅｔｔｅ,053,053-453-1881,4300928,,,静岡県浜松市中区板屋町１０２番地の１７,静岡県浜松市中区板屋町１０２番地ノ１７,,110648,静岡県,浜松市中区,板屋町,,2022/07/25,,2022/07/25,2028/02/29,,西澤　桂司,,　,,,,,,,220659,,そうざい製造業,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｌａ　Ｃａｃｈｅｔｔｅ,ＬａＣａｃｈｅｔｔｅ,,,2,,,,,
チムニー珈琲焙煎所,飲食店営業,飲食店営業,,220657,R 4. 7.25,R10. 2.29,R 4. 7.25,,浜松市内一円,,,大久保　香織,,,,,,露店,,浜松市保健所,チムニー珈琲焙煎所,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/25,,2022/07/25,2028/02/29,,大久保　香織,,　,,,,,,,220657,,飲食店営業, 露店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,チムニー珈琲焙煎所,チムニ珈琲焙煎所,,,1,,,,,
椿乃珈琲,飲食店営業,飲食店営業,,220666,R 4. 7.26,R 9. 9.30,R 4. 7.26,4338112,静岡県浜松市北区初生町６２６番地の１,ラフレ初生内,,田中　操乃,,,,,,カフェ,,浜松市保健所,椿乃珈琲,053,,4338112,,,静岡県浜松市北区初生町６２６番地の１,静岡県浜松市北区初生町６２６番地ノ１,ラフレ初生内,111024,静岡県,浜松市北区,初生町,,2022/07/26,,2022/07/26,2027/09/30,,田中　操乃,,　,,,,,,,220666,,飲食店営業, カフェ,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,椿乃珈琲,椿乃珈琲,,,1,,,,,
ＰＩＮＫ　ｎｏ　ＧＡＫＫＯＵ,菓子製造業,菓子製造業,,220667,R 4. 7.26,R10. 9.30,R 4. 7.26,4338112,静岡県浜松市北区初生町６２６番地の１,ラフレ初生内,,株式会社　ＰＩＮＫ　ｎｏ　ＧＡＫＫＯＵ,静岡県浜松市西区入野町１００２１番地の５,１０３,,代表取締役,和田　祐樹,,,浜松市保健所,ＰＩＮＫ　ｎｏ　ＧＡＫＫＯＵ,053,,4338112,,,静岡県浜松市北区初生町６２６番地の１,静岡県浜松市北区初生町６２６番地ノ１,ラフレ初生内,111024,静岡県,浜松市北区,初生町,,2022/07/26,,2022/07/26,2028/09/30,株式会社　ＰＩＮＫ　ｎｏ　ＧＡＫＫＯＵ,代表取締役 和田　祐樹,,静岡県浜松市西区入野町１００２１番地の５　１０３,静岡県浜松市西区入野町１００２１番地ノ５１０３,,110883,静岡県,浜松市西区,入野町,220667,,菓子製造業,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＰＩＮＫ　ｎｏ　ＧＡＫＫＯＵ,ＰＩＮＫｎｏＧＡＫＫＯＵ,株式会社ＰＩＮＫ　ｎｏ　ＧＡＫＫＯＵ,,1,,,,,
