https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,確認番号,,申請-住所0,申請-住所1,申請-マンション名,申請者1,,申請者2,,,申請-電話番号1,郵便番号,施設-住所0,施設-住所1,施設-住所2,施設-マンション名,施設名,施設-電話番号1,業種,業態,その他,その他,開業年月日,許可年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業,25327,保生第772,238-0032,,,,,,益子 千代子,益子 千代子,マスコチヨコ,,238-0012,横須賀市安浦町２－８ Ａ号室,神奈川県,横須賀市安浦町２－８,Ａ号室,ルパン ,,飲食店営業,飲食店（客席を設ける営業）,,一般,12/13/21 0:00,12/13/21 0:00,12/13/21 0:00,2/29/28 0:00,,144,ルパン ,046,,,,,神奈川県　横須賀市安浦町２－８,神奈川県横須賀市安浦町２－８,Ａ号室,81247,14,14201,安浦町２,,2021/12/13,2021/12/13,2021/12/13,2028/02/29,,益子 千代子,,,,,,,,,保生第772,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ルパン8124714201,89fa07fa-0e9f-4768-85bc-51462d1799e6,,personal,6da96a4c-c383-41e4-b776-4b0a550672bc,2021/12/13,ルパン　,ルパン,
営業,25336,保生第775,240-0032,,,,,,阿佐部 大樹,阿佐部 大樹,アサベダイキ,,238-0315,横須賀市林２－７－１２,神奈川県,横須賀市林２－７－１２,,ドミノ・ピザ　横須賀林店 ,,飲食店営業,飲食店（客席を設けない営業）,,一般,12/17/21 0:00,12/17/21 0:00,12/17/21 0:00,2/28/29 0:00,,144,ドミノ・ピザ　横須賀林店 ,046,,,,,神奈川県　横須賀市林２－７－１２,神奈川県横須賀市林２－７－１２,,81186,14,14201,林２,,2021/12/17,2021/12/17,2021/12/17,2029/02/28,,阿佐部 大樹,,,,,,,,,保生第775,,飲食店営業, 飲食店（客席を設けない営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ドミノピザ横須賀林店8118614201,c49e0313-298b-4caf-a984-5caa4d467c2f,,personal,5a27e165-d99c-4776-9955-5b225ce0c979,2021/12/17,ドミノ・ピザ　横須賀林店　,ドミノピザ横須賀林店,
営業,25337,保生第776,239-0807,,,,,,奥田 浩人,奥田 浩人,オクダヒロヒト,,238-0031,横須賀市衣笠栄町３－４８ 藤倉ビル　１Ｆ－３,神奈川県,横須賀市衣笠栄町３－４８,藤倉ビル １Ｆ－３,酒菜　ハスノハナ ,,飲食店営業,飲食店（客席を設ける営業）,,一般,12/20/21 0:00,12/20/21 0:00,12/20/21 0:00,2/28/29 0:00,,144,酒菜　ハスノハナ ,046,,,,,神奈川県　横須賀市衣笠栄町３－４８,神奈川県横須賀市衣笠栄町３－４８,藤倉ビル １Ｆ－３,81045,14,14201,衣笠栄町３,,2021/12/20,2021/12/20,2021/12/20,2029/02/28,,奥田 浩人,,,,,,,,,保生第776,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,酒菜ハスノハナ8104514201,d884d0fd-39fd-4aa3-b2bb-5ce528ba5ea2,,personal,c10602c9-3c04-4685-b047-570302f28876,2021/12/20,酒菜　ハスノハナ　,酒菜ハスノハナ,
営業,25333,保生第774,116-0013,東京都荒川区西日暮里２－３４ １１－４０４号,東京都荒川区西日暮里２－３４ー１１,４０４号,株式会社ＺＥＮＪＩ,代表取締役,工藤 拓也,代表取締役　工藤 拓也,ゼンジ,,238-0007,横須賀市若松町１－４,神奈川県,横須賀市若松町１－４,,らぁ麺　善治 ,827-7988,飲食店営業,飲食店（客席を設ける営業）,,一般,12/14/21 0:00,12/14/21 0:00,12/14/21 0:00,2/29/28 0:00,,144,らぁ麺　善治 ,046,046-827-7988,,,,神奈川県　横須賀市若松町１－４,神奈川県横須賀市若松町１－４,,81258,14,14201,若松町１,,2021/12/14,2021/12/14,2021/12/14,2028/02/29,株式会社ＺＥＮＪＩ,代表取締役　工藤 拓也,,東京都荒川区西日暮里２－３４ー１１,東京都荒川区西日暮里２－３４－１１,４０４号,74991,東京都,荒川区,西日暮里２,保生第774,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,らぁ麺善治046-827-79888125814201,61ba5ec2-50d8-4fc3-89ad-74ee2f292f4a,株式会社ＺＥＮＪＩ74991,872ba4ba-ca80-4ac6-a413-0efe8ec45c75,11f8de2f-bec2-4194-85da-7966992c5deb,2021/12/14,らぁ麺　善治　,らぁ麺善治,株式会社ＺＥＮＪＩ
営業,25379,保生第782,238-0102,,,,,,池田 由美子,池田 由美子,イケダユミコ,,238-0007,横須賀市若松町３－１３ ２階,神奈川県,横須賀市若松町３－１３,２階,Ｃｈａｎｃｅ ,,飲食店営業,飲食店（客席を設ける営業）,,一般,12/27/21 0:00,12/27/21 0:00,12/27/21 0:00,2/29/28 0:00,,144,Ｃｈａｎｃｅ ,046,,,,,神奈川県　横須賀市若松町３－１３,神奈川県横須賀市若松町３－１３,２階,81260,14,14201,若松町３,,2021/12/27,2021/12/27,2021/12/27,2028/02/29,,池田 由美子,,,,,,,,,保生第782,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,Ｃｈａｎｃｅ8126014201,fa8160f4-280d-4cde-97dd-e6486021ba03,,personal,36115a11-9c4f-443a-bbe9-aea456f348d9,2021/12/27,Ｃｈａｎｃｅ　,Ｃｈａｎｃｅ,
営業,25380,保生第781,238-0016,神奈川県横須賀市深田台２－６８,神奈川県横須賀市深田台２－６８,,エムアンドイーピー株式会社,代表取締役,パターソン 舞美,代表取締役　パターソン 舞美,エムアンドイーピー,080-6616-5002,238-0008,横須賀市大滝町１－２４ 大滝町かつ七第５ビル２Ｆ,神奈川県,横須賀市大滝町１－２４,大滝町かつ七第５ビル２Ｆ,Ｒｅａｄｙ　Ｅｄｄｉｅ'ｓ ,,飲食店営業,飲食店（客席を設ける営業）,,一般,12/27/21 0:00,12/27/21 0:00,12/27/21 0:00,2/29/28 0:00,,144,Ｒｅａｄｙ　Ｅｄｄｉｅ'ｓ ,046,,,,,神奈川県　横須賀市大滝町１－２４,神奈川県横須賀市大滝町１－２４,大滝町かつ七第５ビル２Ｆ,81010,14,14201,大滝町１,,2021/12/27,2021/12/27,2021/12/27,2028/02/29,エムアンドイーピー株式会社,代表取締役　パターソン 舞美,080-6616-5002,神奈川県横須賀市深田台２－６８,神奈川県横須賀市深田台２－６８,,81205,神奈川県,横須賀市,深田台,保生第781,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＲｅａｄｙＥｄｄｉｅｓ8101014201,28d25c90-a80c-45f4-9761-9d065dbd6954,エムアンドイーピー株式会社81205,718e5740-1ccd-4ac9-9e8b-8f2a2ff405fb,5642ad77-12b0-40ed-bbbe-18897c2d0fdb,2021/12/27,Ｒｅａｄｙ　Ｅｄｄｉｅ＇ｓ　,ＲｅａｄｙＥｄｄｉｅｓ,エムアンドイーピー株式会社
営業,25381,保生第785,332-0031,埼玉県川口市青木５－１８－３０,埼玉県川口市青木５－１８－３０,,株式会社ドアフロントサービス,代表取締役,荘 良太郎,代表取締役　荘 良太郎,ドアフロントサービス,048-229-1919,239-0807,横須賀市根岸町３－１－５ シーアイマンション久里浜　店舗５,神奈川県,横須賀市根岸町３－１－５,シーアイマンション久里浜 店舗５,ばいりんきっず ,876-5188,飲食店営業,飲食店（客席を設ける営業）,,一般,12/28/21 0:00,12/28/21 0:00,12/28/21 0:00,2/29/28 0:00,,144,ばいりんきっず ,046,046-876-5188,,,,神奈川県　横須賀市根岸町３－１－５,神奈川県横須賀市根岸町３－１－５,シーアイマンション久里浜 店舗５,81167,14,14201,根岸町３,,2021/12/28,2021/12/28,2021/12/28,2028/02/29,株式会社ドアフロントサービス,代表取締役　荘 良太郎,048-229-1919,埼玉県川口市青木５－１８－３０,埼玉県川口市青木５－１８－３０,,62671,埼玉県,川口市,青木５,保生第785,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ばいりんきっず046-876-51888116714201,ebfe974e-c407-4e12-a531-ffe0330e9563,株式会社ドアフロントサービス62671,0b9e7951-451b-485e-8431-1d2329a59b17,80ca0132-e25b-4a87-8e3e-5335eb5b3152,2021/12/28,ばいりんきっず　,ばいりんきっず,株式会社ドアフロントサービス
営業,25382,保生第789,239-0808,,,,,,白石 大和,白石 大和,シライシヤマト,,239-0831,横須賀市久里浜４－７－５,神奈川県,横須賀市久里浜４－７－５,,ハイカラ ,835-9997,飲食店営業,飲食店（客席を設ける営業）,,一般,12/28/21 0:00,12/28/21 0:00,12/28/21 0:00,2/29/28 0:00,,144,ハイカラ ,046,046-835-9997,,,,神奈川県　横須賀市久里浜４－７－５,神奈川県横須賀市久里浜４－７－５,,81061,14,14201,久里浜４,,2021/12/28,2021/12/28,2021/12/28,2028/02/29,,白石 大和,,,,,,,,,保生第789,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ハイカラ046-835-99978106114201,cabf6b77-cd61-4d6d-9b0f-9ab2064e40c1,,personal,a825a40b-96d3-4d6d-bc2e-348beabd9387,2021/12/28,ハイカラ　,ハイカラ,
営業,25372,保生第777,239-0842,,,,,,小嶌 さゆり,小嶌 さゆり,コジマサユリ,,238-0011,横須賀市米が浜通１－１ 米が浜店舗２Ｆ,神奈川県,横須賀市米が浜通１－１,米が浜店舗２Ｆ,カラオケスナック　リズム ,,飲食店営業,飲食店（客席を設ける営業）,,一般,12/22/21 0:00,12/22/21 0:00,12/22/21 0:00,2/29/28 0:00,,144,カラオケスナック　リズム ,046,,,,,神奈川県　横須賀市米が浜通１－１,神奈川県横須賀市米が浜通１－１,米が浜店舗２Ｆ,81256,14,14201,米が浜通１,,2021/12/22,2021/12/22,2021/12/22,2028/02/29,,小嶌 さゆり,,,,,,,,,保生第777,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,カラオケスナックリズム8125614201,1a818971-5968-49d6-b918-f181b3cf89e9,,personal,e66a3744-6c3b-4486-b8b9-c9634ef0bdd8,2021/12/22,カラオケスナック　リズム　,カラオケスナックリズム,
営業,25373,保生第779,238-0016,,,,,,ＴＡＫＡＨＡＳＨＩ　ＲＯＳＥＭＡＲＩＥ　ＪＯＳＥ,ＴＡＫＡＨＡＳＨＩ　ＲＯＳＥＭＡＲＩＥ　ＪＯＳＥ,タカハシローズマリーホセ,,238-0007,横須賀市若松町３－８－５ コバヤシビル２Ｆ,神奈川県,横須賀市若松町３－８－５,コバヤシビル２Ｆ,ＨＡＮＧ　ＯＵＴ　ＲＥＳＴＯ ,845-6582,飲食店営業,飲食店（客席を設ける営業）,,一般,12/24/21 0:00,12/24/21 0:00,12/24/21 0:00,2/29/28 0:00,,144,ＨＡＮＧ　ＯＵＴ　ＲＥＳＴＯ ,046,046-845-6582,,,,神奈川県　横須賀市若松町３－８－５,神奈川県横須賀市若松町３－８－５,コバヤシビル２Ｆ,81260,14,14201,若松町３,,2021/12/24,2021/12/24,2021/12/24,2028/02/29,,ＴＡＫＡＨＡＳＨＩ　ＲＯＳＥＭＡＲＩＥ　ＪＯＳＥ,,,,,,,,,保生第779,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＨＡＮＧＯＵＴＲＥＳＴＯ046-845-65828126014201,1ad6749e-bfc0-474a-ba16-2217a587bdb5,,personal,d3844197-36ae-463d-8cec-794cf5dac0ea,2021/12/24,ＨＡＮＧ　ＯＵＴ　ＲＥＳＴＯ　,ＨＡＮＧＯＵＴＲＥＳＴＯ,
営業,25133,保生第662,238-0014,神奈川県横須賀市三春町１－１１,神奈川県横須賀市三春町１－１１,,有限会社明食,代表取締役,嶋田 琴絵,代表取締役　嶋田 琴絵,メイショク,046-826-1202,238-0022,横須賀市公郷町１－５７－１４,神奈川県,横須賀市公郷町１－５７－１４,,ブッチャーズデリ ,825-3111,食肉販売業,食肉販売,,一般,11/12/21 0:00,11/12/21 0:00,11/12/21 0:00,11/30/27 0:00,,144,ブッチャーズデリ ,046,046-825-3111,,,,神奈川県　横須賀市公郷町１－５７－１４,神奈川県横須賀市公郷町１－５７－１４,,81048,14,14201,公郷町１,,2021/11/12,2021/11/12,2021/11/12,2027/11/30,有限会社明食,代表取締役　嶋田 琴絵,046-826-1202,神奈川県横須賀市三春町１－１１,神奈川県横須賀市三春町１－１１,,81233,神奈川県,横須賀市,三春町１,保生第662,,食肉販売業, 食肉販売,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,583,,ブッチャズデリ046-825-31118104814201,68b55333-5eb0-48d4-96b9-e8806e34972f,有限会社明食81233,074204cd-e361-4121-a8f2-697b84ed5c48,cd33ed58-95cc-48a1-b1ca-cce6acabfe3c,2021/11/12,ブッチャーズデリ　,ブッチャズデリ,有限会社明食
営業,25366,保生第762,240-0046,神奈川県横浜市保土ケ谷区仏向西４８－２２,神奈川県横浜市保土ケ谷区仏向西４８－２２,,ＢＢＱ　ＦＡＣＴＯＲＹ合同会社,代表社員,川村 愛子,代表社員　川村 愛子,バーベキューファクトリー,045-565-9191,239-0811,横須賀市走水２－１１５７－２,神奈川県,横須賀市走水２－１１５７－２,,シーサイドバーベキュー京急観音崎 ,,食肉処理業,牛豚等分割処理,,一般,11/29/21 0:00,11/29/21 0:00,11/29/21 0:00,11/30/28 0:00,,144,シーサイドバーベキュー京急観音崎 ,046,,,,,神奈川県　横須賀市走水２－１１５７－２,神奈川県横須賀市走水２－１１５７－２,,81182,14,14201,走水２,,2021/11/29,2021/11/29,2021/11/29,2028/11/30,ＢＢＱ　ＦＡＣＴＯＲＹ合同会社,代表社員　川村 愛子,045-565-9191,神奈川県横浜市保土ケ谷区仏向西４８－２２,神奈川県横浜市保土が谷区仏向西４８－２２,,78989,神奈川県,横浜市保土ケ谷区,仏向西,保生第762,,食肉販売業, 牛豚等分割処理,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,583,,シサイドバベキュ京急観音崎8118214201,83bfb2ab-7b7a-4070-9fed-b8c94c78a7cc,ＢＢＱ　ＦＡＣＴＯＲＹ合同会社78989,1b43e01e-edbf-4dd8-a7a0-a901362c9d8d,1b3bff64-ad7d-4775-8a50-c597639fe98d,2021/11/29,シーサイドバーベキュー京急観音崎　,シサイドバベキュ京急観音崎,ＢＢＱ　ＦＡＣＴＯＲＹ合同会社
営業,25324,保生第768,239-0831,神奈川県横須賀市久里浜８－１７－２７,神奈川県横須賀市久里浜８－１７－２７,,三富屋商事株式会社,代表取締役,内田 惣七郎,代表取締役　内田 惣七郎,サントミヤショウジ,046-835-6221,239-0831,横須賀市久里浜８－１７－２７,神奈川県,横須賀市久里浜８－１７－２７,,三富屋商事株式会社 ,835-6221,食肉処理業,加工処理,,一般,12/13/21 0:00,12/13/21 0:00,12/13/21 0:00,2/28/29 0:00,,144,三富屋商事株式会社 ,046,046-835-6221,,,,神奈川県　横須賀市久里浜８－１７－２７,神奈川県横須賀市久里浜８－１７－２７,,81065,14,14201,久里浜８,,2021/12/13,2021/12/13,2021/12/13,2029/02/28,三富屋商事株式会社,代表取締役　内田 惣七郎,046-835-6221,神奈川県横須賀市久里浜８－１７－２７,神奈川県横須賀市久里浜８－１７－２７,,81065,神奈川県,横須賀市,久里浜８,保生第768,,食肉販売業, 加工処理,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,583,,三富屋商事株式会社046-835-62218106514201,0c7e0ccd-c159-4f52-95fa-6a2369e58ee0,三富屋商事株式会社81065,2a272e13-55e7-48fe-82f3-c43e03a296d4,f88f5917-a1d4-4b91-a665-fb6f49122890,2021/12/13,三富屋商事株式会社,三富屋商事株式会社,三富屋商事株式会社
営業,25329,保生第773,239-0822,,,,,,下山 彩恵,下山 彩恵,シモヤマサエ,,238-0008,横須賀市大滝町２－１７ ＥＬＳビル２階ーＤ,神奈川県,横須賀市大滝町２－１７,ＥＬＳビル２階ーＤ,ｍｉｌａｃａｋｅ ,080-3380-0308,菓子製造業,菓子,,一般,12/14/21 0:00,12/14/21 0:00,12/14/21 0:00,2/29/28 0:00,,144,ｍｉｌａｃａｋｅ ,046,080-3380-0308,,,,神奈川県　横須賀市大滝町２－１７,神奈川県横須賀市大滝町２－１７,ＥＬＳビル２階ーＤ,81011,14,14201,大滝町２,,2021/12/14,2021/12/14,2021/12/14,2028/02/29,,下山 彩恵,,,,,,,,,保生第773,,菓子製造業, 菓子,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,,,ｍｉｌａｃａｋｅ080-3380-03088101114201,a0bbbe46-a6d9-4db3-9f79-a29ad5e19e57,,personal,6812ac92-192c-484b-92b7-de2e389d8ced,2021/12/14,ｍｉｌａｃａｋｅ　,ｍｉｌａｃａｋｅ,
営業,25131,保生第622,238-0006,神奈川県横須賀市日の出町３－９,神奈川県横須賀市日の出町３－９,,株式会社ヨコショク,代表取締役,苅部 一夫,代表取締役　苅部 一夫,ヨコショク,046-826-1871,238-0006,横須賀市日の出町３－９,神奈川県,横須賀市日の出町３－９,,ル・ミトロン食パン横須賀日の出町店 ,826-1871,菓子製造業,パン,,一般,11/5/21 0:00,11/5/21 0:00,11/5/21 0:00,11/30/28 0:00,,144,ル・ミトロン食パン横須賀日の出町店 ,046,046-826-1871,,,,神奈川県　横須賀市日の出町３－９,神奈川県横須賀市日ノ出町３－９,,81196,14,14201,日の出町３,,2021/11/05,2021/11/05,2021/11/05,2028/11/30,株式会社ヨコショク,代表取締役　苅部 一夫,046-826-1871,神奈川県横須賀市日の出町３－９,神奈川県横須賀市日ノ出町３－９,,81196,神奈川県,横須賀市,日の出町３,保生第622,,菓子製造業, パン,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,,,ルミトロン食パン横須賀日の出町店046-826-18718119614201,ed92928d-7fe6-4c81-b947-191b89a739cc,株式会社ヨコショク81196,bea23e2f-7b37-4af1-90ec-86e501eac9fe,327a5a51-71ff-4d2a-ad3b-eed7ee9ed8ff,2021/11/05,ル・ミトロン食パン横須賀日の出町店　,ルミトロン食パン横須賀日の出町店,株式会社ヨコショク
営業,25117,保生第595,238-0316,神奈川県横須賀市長井５－２４－７,神奈川県横須賀市長井５－２４－７,,長井水産株式会社,代表取締役,宍戸 和信,代表取締役　宍戸 和信,ナガイスイサン,046-858-1010,238-0316,横須賀市長井５－２４－７ ３階,神奈川県,横須賀市長井５－２４－７,３階,長井水産株式会社 ,858-1007,水産製品製造業,魚介類加工品,,一般,11/1/21 0:00,11/1/21 0:00,11/1/21 0:00,11/30/28 0:00,,144,長井水産株式会社 ,046,046-858-1007,,,,神奈川県　横須賀市長井５－２４－７,神奈川県横須賀市長井５－２４－７,３階,81139,14,14201,長井５,,2021/11/01,2021/11/01,2021/11/01,2028/11/30,長井水産株式会社,代表取締役　宍戸 和信,046-858-1010,神奈川県横須賀市長井５－２４－７,神奈川県横須賀市長井５－２４－７,,81139,神奈川県,横須賀市,長井５,保生第595,,水産製品製造業, 魚介類加工品,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,92,,長井水産株式会社046-858-10078113914201,07bf9ad6-7283-4914-b3ed-bbc6b6b75a42,長井水産株式会社81139,069de324-5c97-4e87-be1c-7a2f022fcbe0,b05993a5-6784-4c33-ab5a-9d8eb11ef7cc,2021/11/01,長井水産株式会社,長井水産株式会社,長井水産株式会社
営業,25286,保生第766,239-0806,神奈川県横須賀市池田町１－２２－１２,神奈川県横須賀市池田町１－２２－１２,,社会福祉法人誠心会,理事,濵田 徹,理事　濵田 徹,セイシンカイ,046-834-0690,239-0831,横須賀市久里浜６－１－６,神奈川県,横須賀市久里浜６－１－６,,茜洋舎 ,834-0957,漬物製造業,浅漬け,,一般,12/13/21 0:00,12/13/21 0:00,12/13/21 0:00,2/29/28 0:00,,144,茜洋舎 ,046,046-834-0957,,,,神奈川県　横須賀市久里浜６－１－６,神奈川県横須賀市久里浜６－１－６,,81063,14,14201,久里浜６,,2021/12/13,2021/12/13,2021/12/13,2028/02/29,社会福祉法人誠心会,理事　濵田 徹,046-834-0690,神奈川県横須賀市池田町１－２２－１２,神奈川県横須賀市池田町１－２２－１２,,80972,神奈川県,横須賀市,池田町１,保生第766,,漬物製造業, 浅漬け,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,,,茜洋舎046-834-09578106314201,97533485-91da-4d98-8fd6-aa6d2969a92f,社会福祉法人誠心会80972,fd2acce0-14b6-4906-b0f1-da432e0467b7,0a973f91-9fdd-49fa-9216-c502cb92ca8e,2021/12/13,茜洋舎　,茜洋舎,社会福祉法人誠心会
営業,25319,保生第-,220-0011,神奈川県横浜市西区高島２－１２－６,神奈川県横浜市西区高島２－１２－６,,株式会社崎陽軒,代表取締役,野並 直文,代表取締役　野並 直文,キヨウケン,045-441-8851,238-0007,横須賀市若松町２－３０ 横須賀モアーズシティＢ１Ｆ,神奈川県,横須賀市若松町２－３０,横須賀モアーズシティＢ１Ｆ,㈱崎陽軒　横須賀モアーズシティ店 ,825-1471,弁当販売業,弁当販売業,,販売業,11/30/21 0:00,11/30/21 0:00,,12/31/87 0:00,,144,㈱崎陽軒　横須賀モアーズシティ店 ,046,046-825-1471,,,,神奈川県　横須賀市若松町２－３０,神奈川県横須賀市若松町２－３０,横須賀モアーズシティＢ１Ｆ,81259,14,14201,若松町２,,2021/11/30,2021/11/30,,2087/12/31,株式会社崎陽軒,代表取締役　野並 直文,045-441-8851,神奈川県横浜市西区高島２－１２－６,神奈川県横浜市西区高島２－１２－６,,78475,神奈川県,横浜市西区,高島２,,,弁当販売業, 弁当販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,581,5811,株式会社崎陽軒横須賀モアズシティ店046-825-14718125914201,2d83cce4-dfaf-4f5e-8f5e-f41a9a8fbb07,株式会社崎陽軒78475,d32793c7-428c-42a1-bbbc-3b467831d733,73c4f7ba-9c80-443e-bff4-ec5d8e7113f6,2021/11/30,株式会社崎陽軒　横須賀モアーズシティ店　,株式会社崎陽軒横須賀モアズシティ店,株式会社崎陽軒
営業,25320,保生第-,220-0011,神奈川県横浜市西区高島２－１２－６,神奈川県横浜市西区高島２－１２－６,,株式会社　崎陽軒,代表取締役,野並 直文,代表取締役　野並 直文,キヨウケン,045-441-8851,239-0831,横須賀市久里浜４－４－１０ 京急ストア久里浜店１Ｆ,神奈川県,横須賀市久里浜４－４－１０,京急ストア久里浜店１Ｆ,崎陽軒　京急ストア久里浜店 ,834-5213,弁当販売業,弁当販売業,,販売業,11/30/21 0:00,11/30/21 0:00,,12/31/87 0:00,,144,崎陽軒　京急ストア久里浜店 ,046,046-834-5213,,,,神奈川県　横須賀市久里浜４－４－１０,神奈川県横須賀市久里浜４－４－１０,京急ストア久里浜店１Ｆ,81061,14,14201,久里浜４,,2021/11/30,2021/11/30,,2087/12/31,株式会社　崎陽軒,代表取締役　野並 直文,045-441-8851,神奈川県横浜市西区高島２－１２－６,神奈川県横浜市西区高島２－１２－６,,78475,神奈川県,横浜市西区,高島２,,,弁当販売業, 弁当販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,581,5811,崎陽軒京急ストア久里浜店046-834-52138106114201,f056aea2-9362-4de8-b96d-8e91ed1b440c,株式会社崎陽軒78475,d32793c7-428c-42a1-bbbc-3b467831d733,52864444-700b-460e-832d-ab25e680dc1c,2021/11/30,崎陽軒　京急ストア久里浜店　,崎陽軒京急ストア久里浜店,株式会社崎陽軒
営業,25330,保生第-,238-0012,神奈川県横須賀市安浦町２－６,神奈川県横須賀市安浦町２－６,,浜勇商事株式会社,代表取締役,鈴木 一朗,代表取締役　鈴木 一朗,ハマユウショウジ,046-822-2387,238-0008,横須賀市大滝町２－２５,神奈川県,横須賀市大滝町２－２５,,浜勇三笠店 ,822-0880,野菜果物販売業,野菜果物販売業,,販売業,11/29/21 0:00,11/29/21 0:00,,12/31/87 0:00,,144,浜勇三笠店 ,046,046-822-0880,,,,神奈川県　横須賀市大滝町２－２５,神奈川県横須賀市大滝町２－２５,,81011,14,14201,大滝町２,,2021/11/29,2021/11/29,,2087/12/31,浜勇商事株式会社,代表取締役　鈴木 一朗,046-822-2387,神奈川県横須賀市安浦町２－６,神奈川県横須賀市安浦町２－６,,81247,神奈川県,横須賀市,安浦町２,,,野菜果物販売業, 野菜果物販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,582,,浜勇三笠店046-822-08808101114201,63722d96-0bd3-43eb-9e46-51092c42f837,浜勇商事株式会社81247,2a3dac7b-7577-461b-b920-3a8c8f1bf092,3e5e8c04-35c4-4a3f-9e21-ab38df74907f,2021/11/29,浜勇三笠店　,浜勇三笠店,浜勇商事株式会社
営業,25331,保生第-,238-0012,神奈川県横須賀市安浦町２－６,神奈川県横須賀市安浦町２－６,,浜勇商事株式会社,代表取締役,鈴木 一朗,代表取締役　鈴木 一朗,ハマユウショウジ,046-822-2387,238-0012,横須賀市安浦町２－６,神奈川県,横須賀市安浦町２－６,,浜勇本店 ,822-2387,野菜果物販売業,野菜果物販売業,,販売業,11/29/21 0:00,11/29/21 0:00,,12/31/87 0:00,,144,浜勇本店 ,046,046-822-2387,,,,神奈川県　横須賀市安浦町２－６,神奈川県横須賀市安浦町２－６,,81247,14,14201,安浦町２,,2021/11/29,2021/11/29,,2087/12/31,浜勇商事株式会社,代表取締役　鈴木 一朗,046-822-2387,神奈川県横須賀市安浦町２－６,神奈川県横須賀市安浦町２－６,,81247,神奈川県,横須賀市,安浦町２,,,野菜果物販売業, 野菜果物販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,582,,浜勇本店046-822-23878124714201,dade5ee9-421a-45fc-aaa6-abaffcff47a7,浜勇商事株式会社81247,2a3dac7b-7577-461b-b920-3a8c8f1bf092,7aee9d78-c52e-43a7-8573-350939ce1a4a,2021/11/29,浜勇本店　,浜勇本店,浜勇商事株式会社
