https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,業態,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三原トモヱ,,,,,ロード,福岡県,北九州市八幡東区中央二丁目７－５,北九州市八幡東区中央２丁目７－５,,093-672-7256,① 飲食店営業,,2021-50068,2021/11/29,2021/11/29,2021/12/1,2027/11/30,,390,ロード,093,093-672-7256,,,,福岡県　北九州市八幡東区中央２丁目７－５,福岡県北九州市八幡東区中央２丁目７－５,,199297,40,40108,中央２,,2021/11/29,2021/11/29,2021/12/01,2027/11/30,,三原トモヱ ,,,,,,,,,2021-50068,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ロド093-672-725619929740108,180f6d3e-8685-498e-83e2-0656eef98aae,,personal,4a60d0f5-96e6-48a8-9450-ce8e4b2b2003,2021/11/29,ロード,ロド,
吉井広美,,,,,ショコラ,福岡県,北九州市若松区中川町１－３１,北九州市若松区中川町１－３１,,093-751-1557,① 飲食店営業,,2021-40094,2021/11/9,2021/11/9,2021/11/9,2027/11/30,,390,ショコラ,093,093-751-1557,,,,福岡県　北九州市若松区中川町１－３１,福岡県北九州市若松区中川町１－３１,,198446,40,40103,中川町,,2021/11/09,2021/11/09,2021/11/09,2027/11/30,,吉井広美 ,,,,,,,,,2021-40094,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ショコラ093-751-155719844640103,0e1a044e-a752-4ccf-a48f-37361cbcc061,,personal,2daf5172-d638-4c50-b2bf-beb4af0cbd8a,2021/11/09,ショコラ,ショコラ,
もやいネット北九州株式会社,権頭秀作,北九州市八幡西区鉄王二丁目２－３６,北九州市八幡西区鉄王２丁目２－３６,,MOYAIステーション９６Cafe,福岡県,北九州市八幡西区黒崎二丁目８－７長島ビル１F,北九州市八幡西区黒崎２丁目８－７,長島ビル１F,,① 飲食店営業,カフェ,2021-60426,2021/11/10,2021/11/10,2021/12/1,2027/11/30,,390,MOYAIステーション９６Cafe,093,,,,,福岡県　北九州市八幡西区黒崎２丁目８－７,福岡県北九州市八幡西区黒崎２丁目８－７,長島ビル１F,199430,40,40109,黒崎２,,2021/11/10,2021/11/10,2021/12/01,2027/11/30,もやいネット北九州株式会社,権頭秀作,,北九州市八幡西区鉄王２丁目２－３６,福岡県北九州市八幡西区鉄王２丁目２－３６,,199496,福岡県,北九州市八幡西区,鉄王２,2021-60426,,飲食店営業, カフェ,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ＭＯＹＡＩステション９６Ｃａｆｅ19943040109,2291237c-1a25-492b-92a6-9f57006f08b2,もやいネット北九州株式会社199496,9e23416f-8f53-4f45-a78c-5190b5034d23,73e78901-4002-4fa4-95d8-e87eee0334bb,2021/11/10,ＭＯＹＡＩステーション９６Ｃａｆｅ,ＭＯＹＡＩステション９６Ｃａｆｅ,もやいネット北九州株式会社
もやいネット北九州株式会社,権頭秀作,北九州市八幡西区鉄王二丁目２－３６,北九州市八幡西区鉄王２丁目２－３６,,銀杏庵穴生倶楽部,福岡県,北九州市八幡西区鉄王二丁目２－３６,北九州市八幡西区鉄王２丁目２－３６,,,① 飲食店営業,給食施設,2021-60437,2021/11/19,2021/11/19,2021/12/1,2028/11/30,,390,銀杏庵穴生倶楽部,093,,,,,福岡県　北九州市八幡西区鉄王２丁目２－３６,福岡県北九州市八幡西区鉄王２丁目２－３６,,199496,40,40109,鉄王２,,2021/11/19,2021/11/19,2021/12/01,2028/11/30,もやいネット北九州株式会社,権頭秀作,,北九州市八幡西区鉄王２丁目２－３６,福岡県北九州市八幡西区鉄王２丁目２－３６,,199496,福岡県,北九州市八幡西区,鉄王２,2021-60437,,飲食店営業, 給食施設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,銀杏庵穴生倶楽部19949640109,5903f098-f42e-4e2c-9bdf-de3e799c93d1,もやいネット北九州株式会社199496,9e23416f-8f53-4f45-a78c-5190b5034d23,d765bf55-4268-4163-8c6f-0985466ef04f,2021/11/19,銀杏庵穴生倶楽部,銀杏庵穴生倶楽部,もやいネット北九州株式会社
竹村美保,,,,,ローゼ,福岡県,北九州市八幡西区熊手一丁目１－３７　麻生ビル５F,北九州市八幡西区熊手１丁目１－３７,麻生ビル５F,093-642-7830,① 飲食店営業,スナック,2021-60427,2021/11/10,2021/11/10,2021/11/10,2027/11/30,,390,ローゼ,093,093-642-7830,,,,福岡県　北九州市八幡西区熊手１丁目１－３７,福岡県北九州市八幡西区熊手１丁目１－３７,麻生ビル５F,199424,40,40109,熊手１,,2021/11/10,2021/11/10,2021/11/10,2027/11/30,,竹村美保 ,,,,,,,,,2021-60427,,飲食店営業, スナック,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ロゼ093-642-783019942440109,f1403060-d3e5-415f-8baf-c20bfd47bf7d,,personal,05eca61d-bb7c-419e-8285-031eee89290e,2021/11/10,ローゼ,ロゼ,
株式会社イル・ユイマール,日高正博,西宮市甲陽園目神山町２５－６０,西宮市甲陽園目神山町２５－６０,,コスタリブレ,福岡県,北九州市小倉北区魚町三丁目３－２０ビッコロ三番街,北九州市小倉北区魚町３丁目３－２０,ビッコロ三番街,,① 飲食店営業,,2021-20767,2021/11/8,2021/11/8,2021/12/1,2027/11/30,,390,コスタリブレ,093,,,,,福岡県　北九州市小倉北区魚町３丁目３－２０,福岡県北九州市小倉北区魚町３丁目３－２０,ビッコロ三番街,198682,40,40106,魚町３,,2021/11/08,2021/11/08,2021/12/01,2027/11/30,株式会社イル・ユイマール,日高正博,,西宮市甲陽園目神山町２５－６０,兵庫県西宮市甲陽園目神山町２５－６０,,167508,兵庫県,西宮市,甲陽園目神山町,2021-20767,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,コスタリブレ19868240106,935b9393-11e6-4265-b675-153fa76687a8,株式会社イル・ユイマール167508,a1c5d73f-86b4-4d83-b0a2-6f5255d3afae,4ab62935-2396-46dd-a06e-044aeab69c9b,2021/11/08,コスタリブレ,コスタリブレ,株式会社イル・ユイマール
株式会社　友口,山中一哉,北九州市小倉南区舞ケ丘一丁目２－７,北九州市小倉南区舞ケ丘１丁目２－７,,株式会社友口,福岡県,北九州市小倉南区舞ケ丘一丁目２－７,北九州市小倉南区舞ケ丘１丁目２－７,,093-965-8600,⑪ 菓子製造業,,2021-30082,2021/11/22,2021/11/22,2021/12/1,2028/11/30,,390,株式会社友口,093,093-965-8600,,,,福岡県　北九州市小倉南区舞ケ丘１丁目２－７,福岡県北九州市小倉南区舞が丘１丁目２－７,,199201,40,40107,舞が丘１,,2021/11/22,2021/11/22,2021/12/01,2028/11/30,株式会社　友口,山中一哉,,北九州市小倉南区舞ケ丘１丁目２－７,福岡県北九州市小倉南区舞が丘１丁目２－７,,199201,福岡県,北九州市小倉南区,舞が丘１,2021-30082,,菓子製造業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,E,9,,,株式会社友口093-965-860019920140107,9ea631df-193f-4ae6-ac07-5885b045849f,株式会社友口199201,c9e469cf-eeb7-4acb-8899-3c5e08204161,7887a2d7-645f-441f-a3b1-b54897abcfd1,2021/11/22,株式会社友口,株式会社友口,株式会社友口
井上義武,,,,,小料理なみ,福岡県,北九州市小倉北区紺屋町４－１５岩岡ビル１F,北九州市小倉北区紺屋町４－１５,岩岡ビル１F,093-521-7341,① 飲食店営業,一般食堂,2021-20784,2021/11/4,2021/11/4,2021/12/1,2027/11/30,,390,小料理なみ,093,093-521-7341,,,,福岡県　北九州市小倉北区紺屋町４－１５,福岡県北九州市小倉北区紺屋町４－１５,岩岡ビル１F,198757,40,40106,紺屋町,,2021/11/04,2021/11/04,2021/12/01,2027/11/30,,井上義武 ,,,,,,,,,2021-20784,,飲食店営業, 一般食堂,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,小料理なみ093-521-734119875740106,e043c845-14a2-47e4-9c38-d35e6303b5c0,,personal,a102e842-215b-4493-ba5a-b501bfb69516,2021/11/04,小料理なみ,小料理なみ,
荒木健嗣,,,,,炭火焼肉　健美,福岡県,北九州市小倉南区横代東町一丁目１－１ブルースカイハイツ２－１０３,北九州市小倉南区横代東町１丁目１－１,ブルースカイハイツ２　１０３,093-234-8847,① 飲食店営業,,2021-30083,2021/11/22,2021/11/22,2021/11/22,2027/11/30,,390,炭火焼肉　健美,093,093-234-8847,,,,福岡県　北九州市小倉南区横代東町１丁目１－１,福岡県北九州市小倉南区横代東町１丁目１－１,ブルースカイハイツ２　１０３,199054,40,40107,横代東町１,,2021/11/22,2021/11/22,2021/11/22,2027/11/30,,荒木健嗣 ,,,,,,,,,2021-30083,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,炭火焼肉健美093-234-884719905440107,c8039d3f-f7a5-4cc0-b9e1-5860c060c38f,,personal,6dbfd5c3-c704-4f78-9440-1565b24cd9ee,2021/11/22,炭火焼肉　健美,炭火焼肉健美,
朝倉禮子,,,,,食事処たまき,福岡県,北九州市八幡東区中央二丁目６－２０,北九州市八幡東区中央２丁目６－２０,,093-662-5084,① 飲食店営業,居酒屋,2021-50069,2021/11/29,2021/11/29,2022/1/1,2027/12/31,,390,食事処たまき,093,093-662-5084,,,,福岡県　北九州市八幡東区中央２丁目６－２０,福岡県北九州市八幡東区中央２丁目６－２０,,199297,40,40108,中央２,,2021/11/29,2021/11/29,2022/01/01,2027/12/31,,朝倉禮子 ,,,,,,,,,2021-50069,,飲食店営業, 居酒屋,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,食事処たまき093-662-508419929740108,3ccbc2b7-f443-46f5-8c6e-32f9ebec012b,,personal,bb0e08ef-16bf-4f25-aef5-3383e103bb4d,2021/11/29,食事処たまき,食事処たまき,
山下真利枝,,,,,亜麻,福岡県,北九州市八幡西区熊手一丁目１－４２　よし川ビル３Fー１号室,北九州市八幡西区熊手１丁目１－４２,よし川ビル３Fー１号室,,① 飲食店営業,スナック,2021-60428,2021/11/15,2021/11/15,2021/11/15,2027/11/30,,390,亜麻,093,,,,,福岡県　北九州市八幡西区熊手１丁目１－４２,福岡県北九州市八幡西区熊手１丁目１－４２,よし川ビル３Fー１号室,199424,40,40109,熊手１,,2021/11/15,2021/11/15,2021/11/15,2027/11/30,,山下真利枝 ,,,,,,,,,2021-60428,,飲食店営業, スナック,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,亜麻19942440109,e739ed22-6d2d-49d2-910e-0d86b85113e6,,personal,078ab2a0-58eb-4859-81de-20fdf66e7c99,2021/11/15,亜麻,亜麻,
Food Show株式会社,登永達也,北九州市小倉南区徳力五丁目１２番１－７１１,北九州市小倉南区徳力５丁目１２番１,７１１,関門玄海の幸千魚万笑,福岡県,北九州市小倉北区室町一丁目１‐１　　リバーウォーク北九州４Ｆ,北九州市小倉北区室町１丁目１－１, リバーウォーク北九州４Ｆ,093-383-7709,① 飲食店営業,,2021-20817,2021/11/11,2021/11/11,2021/12/1,2027/11/30,,390,関門玄海の幸千魚万笑,093,093-383-7709,,,,福岡県　北九州市小倉北区室町１丁目１－１,福岡県北九州市小倉北区室町１丁目１－１, リバーウォーク北九州４Ｆ,198863,40,40106,室町１,,2021/11/11,2021/11/11,2021/12/01,2027/11/30,Food Show株式会社,登永達也,,北九州市小倉南区徳力５丁目１２番１,福岡県北九州市小倉南区徳力５丁目１２番１,７１１,198964,福岡県,北九州市小倉南区,徳力５,2021-20817,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,関門玄海の幸千魚万笑093-383-770919886340106,5cc7ef7d-3386-4ac1-8585-7ee09cb64d3e,Ｆｏｏｄ　Ｓｈｏｗ株式会社198964,8e01d765-9c0d-4c5a-b1d3-11eaa4ebb81a,bd74e970-32de-4d1d-b6c5-ebebf21dbb5b,2021/11/11,関門玄海の幸千魚万笑,関門玄海の幸千魚万笑,Ｆｏｏｄ　Ｓｈｏｗ株式会社
石橋誠,,,,,ポンピェール,福岡県,北九州市小倉北区鍛冶町一丁目３－１３,北九州市小倉北区鍛冶町１丁目３－１３,,,① 飲食店営業,一般食堂,2021-20785,2021/11/5,2021/11/5,2021/12/1,2027/11/30,,390,ポンピェール,093,,,,,福岡県　北九州市小倉北区鍛冶町１丁目３－１３,福岡県北九州市小倉北区鍛冶町１丁目３－１３,,198693,40,40106,鍛冶町１,,2021/11/05,2021/11/05,2021/12/01,2027/11/30,,石橋誠 ,,,,,,,,,2021-20785,,飲食店営業, 一般食堂,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ポンピェル19869340106,7e50b5cb-271b-4bca-9770-601c6db2752d,,personal,c8d6bbdb-bc75-42e9-8cf4-34021ae11d46,2021/11/05,ポンピェール,ポンピェル,
太田千宏,,,,,菜喰　太田屋,福岡県,北九州市小倉北区魚町四丁目２－１２,北九州市小倉北区魚町４丁目２－１２,,093-541-8080,① 飲食店営業,食堂,2021-20818,2021/11/22,2021/11/22,2021/12/1,2027/11/30,,390,菜喰　太田屋,093,093-541-8080,,,,福岡県　北九州市小倉北区魚町４丁目２－１２,福岡県北九州市小倉北区魚町４丁目２－１２,,198683,40,40106,魚町４,,2021/11/22,2021/11/22,2021/12/01,2027/11/30,,太田千宏 ,,,,,,,,,2021-20818,,飲食店営業, 食堂,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,菜喰太田屋093-541-808019868340106,38dfa976-ce18-4fb1-bfd4-d8c8975abaa8,,personal,f46acaef-7899-48cd-8fd9-17c8c6b75fcd,2021/11/22,菜喰　太田屋,菜喰太田屋,
株式会社あなぶき社宅サービス,清藤博幸,高松市紺屋町３－６,高松市紺屋町３－６,,大手町食堂,福岡県,北九州市小倉北区大手町13-38,北九州市小倉北区大手町１３－３８,,,① 飲食店営業,,2021-20764,2021/11/2,2021/11/2,2021/12/1,2027/11/30,,390,大手町食堂,093,,,,,福岡県　北九州市小倉北区大手町１３－３８,福岡県北九州市小倉北区大手町１３－３８,,198689,40,40106,大手町,,2021/11/02,2021/11/02,2021/12/01,2027/11/30,株式会社あなぶき社宅サービス,清藤博幸,,高松市紺屋町３－６,香川県高松市紺屋町３－６,,192840,香川県,高松市,紺屋町,2021-20764,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,大手町食堂19868940106,87693245-885f-4b92-928f-6e060eb33c83,株式会社あなぶき社宅サービス192840,c7ed1602-4102-454b-9c3e-71b57c1fe86e,7e054977-f114-44c4-bf9a-d5077cb20e56,2021/11/02,大手町食堂,大手町食堂,株式会社あなぶき社宅サービス
池田浩治,,,,,ラーメン白銀亭,福岡県,北九州市小倉北区白銀１丁目3-5,北九州市小倉北区白銀１丁目３－５,,,① 飲食店営業,,2021-20449,2021/11/10,2021/11/10,2021/11/10,2027/11/30,,390,ラーメン白銀亭,093,,,,,福岡県　北九州市小倉北区白銀１丁目３－５,福岡県北九州市小倉北区白銀１丁目３－５,,198785,40,40106,白銀１,,2021/11/10,2021/11/10,2021/11/10,2027/11/30,,池田浩治 ,,,,,,,,,2021-20449,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ラメン白銀亭19878540106,3b10895f-8f70-4f0f-b449-ce77951d3773,,personal,f0bd4dd8-7e55-408d-b437-28d274f4890a,2021/11/10,ラーメン白銀亭,ラメン白銀亭,
有松位,,,,,ピッツェリアカントナータ,福岡県,北九州市小倉北区城内１－２,北九州市小倉北区城内１－２,,,① 飲食店営業,自動車営業,2021-60422,2021/11/9,2021/11/9,2021/11/9,2026/11/30,,390,ピッツェリアカントナータ,093,,,,,福岡県　北九州市小倉北区城内１－２,福岡県北九州市小倉北区城内１－２,,198792,40,40106,城内,,2021/11/09,2021/11/09,2021/11/09,2026/11/30,,有松位 ,,,,,,,,,2021-60422,,飲食店営業, 自動車営業,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ピッツェリアカントナタ19879240106,5136da3a-a9fa-4c09-811f-9944a336f6b5,,personal,f5c6b59b-eafb-4e29-88dd-04c7f58dd8b3,2021/11/09,ピッツェリアカントナータ,ピッツェリアカントナタ,
下村来輝,,,,,来鶏からあげ,福岡県,北九州市小倉北区真鶴二丁目9-1-102B,北九州市小倉北区真鶴２丁目９－１,１０２B,093-654-8355,① 飲食店営業,,2021-20755,2021/11/5,2021/11/5,2021/11/5,2027/11/30,,390,来鶏からあげ,093,093-654-8355,,,,福岡県　北九州市小倉北区真鶴２丁目９－１,福岡県北九州市小倉北区真鶴２丁目９－１,１０２B,198850,40,40106,真鶴２,,2021/11/05,2021/11/05,2021/11/05,2027/11/30,,下村来輝 ,,,,,,,,,2021-20755,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,来鶏からあげ093-654-835519885040106,e28dbbb6-2906-4e15-a3ad-654d42c4b28b,,personal,dd8b8a87-35bf-4ca7-9ead-77f753ac8fcf,2021/11/05,来鶏からあげ,来鶏からあげ,
株式会社こめ花,篠原秀明,北九州市小倉北区三郎丸二丁目３番２０号,北九州市小倉北区三郎丸２丁目３番２０号,,こめ花炊飯事業部,福岡県,北九州市小倉北区三郎丸二丁目３－２０,北九州市小倉北区三郎丸２丁目３－２０,,093-923-1150,① 飲食店営業,,2021-20811,2021/11/11,2021/11/11,2021/12/1,2027/11/30,,390,こめ花炊飯事業部,093,093-923-1150,,,,福岡県　北九州市小倉北区三郎丸２丁目３－２０,福岡県北九州市小倉北区三郎丸２丁目３－２０,,198763,40,40106,三郎丸２,,2021/11/11,2021/11/11,2021/12/01,2027/11/30,株式会社こめ花,篠原秀明,,北九州市小倉北区三郎丸２丁目３番２０号,福岡県北九州市小倉北区三郎丸２丁目３番２０号,,198763,福岡県,北九州市小倉北区,三郎丸２,2021-20811,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,こめ花炊飯事業部093-923-115019876340106,1e9ccc0a-316d-451e-9f7d-c9a06eb29f13,株式会社こめ花198763,d945cc79-92c9-4c58-94c8-094d41c2f689,94ceff8d-695d-4b55-aa96-52c48bddfabf,2021/11/11,こめ花炊飯事業部,こめ花炊飯事業部,株式会社こめ花
株式会社ふじや,中川佳太郎,北九州市若松区北浜一丁目７－２－１,北九州市若松区北浜１丁目７－２－１,,ふじや,福岡県,北九州市若松区北湊町４－９,北九州市若松区北湊町４－９,,093-751-9599,① 飲食店営業,,2021-40095,2021/11/18,2021/11/18,2021/11/18,2027/11/30,,390,ふじや,093,093-751-9599,,,,福岡県　北九州市若松区北湊町４－９,福岡県北九州市若松区北湊町４－９,,198420,40,40103,北湊町,,2021/11/18,2021/11/18,2021/11/18,2027/11/30,株式会社ふじや,中川佳太郎,,北九州市若松区北浜１丁目７－２－１,福岡県北九州市若松区北浜１丁目７－２－１,,198418,福岡県,北九州市若松区,北浜１,2021-40095,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ふじや093-751-959919842040103,9e74fed4-8714-4a96-af66-8bc6d9f33d9f,株式会社ふじや198418,fa305f5c-3431-4430-b4a6-60d582e8a264,abf5b01c-9cfb-4404-a75b-4f91fdd10aa1,2021/11/18,ふじや,ふじや,株式会社ふじや
萩野勇悟,,,,,門司はぎの亜紀丸,福岡県,北九州市門司区大字柄杓田１４１９,北九州市門司区大字柄杓田１４１９,,,④ 魚介類販売業,,2021-20822,2021/11/10,2021/11/10,2021/11/10,2026/11/30,,390,門司はぎの亜紀丸,093,,,,,福岡県　北九州市門司区大字柄杓田１４１９,福岡県北九州市門司区柄杓田１４１９,,198347,40,40101,柄杓田,,2021/11/10,2021/11/10,2021/11/10,2026/11/30,,萩野勇悟 ,,,,,,,,,2021-20822,,魚介類販売業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,I,58,,,門司はぎの亜紀丸19834740101,05616308-d85f-4c67-ab35-826495e16f44,,personal,d99dfd09-f44e-4870-a6a8-984e1a27ad1c,2021/11/10,門司はぎの亜紀丸,門司はぎの亜紀丸,
山本勝,,,,,山本鮮魚店,福岡県,北九州市小倉北区宇佐町一丁目８－３２,北九州市小倉北区宇佐町１丁目８－３２,,093-531-6243,④ 魚介類販売業,,2021-20820,2021/11/11,2021/11/11,2021/12/1,2027/11/30,,390,山本鮮魚店,093,093-531-6243,,,,福岡県　北九州市小倉北区宇佐町１丁目８－３２,福岡県北九州市小倉北区宇佐町１丁目８－３２,,198684,40,40106,宇佐町１,,2021/11/11,2021/11/11,2021/12/01,2027/11/30,,山本勝 ,,,,,,,,,2021-20820,,魚介類販売業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,I,58,,,山本鮮魚店093-531-624319868440106,1bc17765-d0ea-44e7-a9bd-b7859ae0cba1,,personal,6394462e-0fea-448c-aee2-4d89fe3ed96c,2021/11/11,山本鮮魚店,山本鮮魚店,
渡辺翼,,,,,BAR REGALIS,福岡県,北九州市八幡西区黒崎一丁目３－１０ニュー紳士街１F,北九州市八幡西区黒崎１丁目３－１０,ニュー紳士街１F,,① 飲食店営業,BAR,2021-60410,2021/11/12,2021/11/12,2021/11/12,2027/11/30,,390,BAR REGALIS,093,,,,,福岡県　北九州市八幡西区黒崎１丁目３－１０,福岡県北九州市八幡西区黒崎１丁目３－１０,ニュー紳士街１F,199429,40,40109,黒崎１,,2021/11/12,2021/11/12,2021/11/12,2027/11/30,,渡辺翼 ,,,,,,,,,2021-60410,,飲食店営業, BAR,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ＢＡＲＲＥＧＡＬＩＳ19942940109,bf2c7861-0452-4241-bbc5-4b7e4b83b5f5,,personal,4ed3afdc-dc12-4812-9070-32d4205a193e,2021/11/12,ＢＡＲ　ＲＥＧＡＬＩＳ,ＢＡＲＲＥＧＡＬＩＳ,
末松康道,,,,,ｃｌｕｂ　Ｎｏｖａ,福岡県,北九州市小倉北区堺町１丁目8-4　第一ウィンザービル5階,北九州市小倉北区堺町１丁目８－４,第一ウィンザービル５階,,① 飲食店営業,,2021-20766,2021/11/11,2021/11/11,2021/11/11,2027/11/30,,390,ｃｌｕｂ　Ｎｏｖａ,093,,,,,福岡県　北九州市小倉北区堺町１丁目８－４,福岡県北九州市小倉北区堺町１丁目８－４,第一ウィンザービル５階,198760,40,40106,堺町１,,2021/11/11,2021/11/11,2021/11/11,2027/11/30,,末松康道 ,,,,,,,,,2021-20766,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ｃｌｕｂＮｏｖａ19876040106,8bb03310-aef4-431e-8918-2d1a5cba8b1c,,personal,75a7df2b-fb4b-4c85-90be-339fa5bd2ea2,2021/11/11,ｃｌｕｂ　Ｎｏｖａ,ｃｌｕｂＮｏｖａ,
末松康道,,,,,N+,福岡県,北九州市小倉北区堺町一丁目４番１１号林ビル２F,北九州市小倉北区堺町１丁目４番１１号,林ビル２F,,① 飲食店営業,,2021-20765,2021/11/10,2021/11/10,2021/11/10,2027/11/30,,390,N+,093,,,,,福岡県　北九州市小倉北区堺町１丁目４番１１号,福岡県北九州市小倉北区堺町１丁目４番１１号,林ビル２F,198760,40,40106,堺町１,,2021/11/10,2021/11/10,2021/11/10,2027/11/30,,末松康道 ,,,,,,,,,2021-20765,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,Ｎ19876040106,e3ec76e9-3e25-4a7c-8bba-0208fb755450,,personal,f35a54e4-e252-4625-a99a-fb63bd051380,2021/11/10,Ｎ＋,Ｎ,
山口一馬,,,,,Bar　LEGALISS,福岡県,北九州市小倉北区堺町一丁目５－３NYスクエアビル２F　２０１号,北九州市小倉北区堺町１丁目５－３,NYスクエアビル２F ２０１号,,① 飲食店営業,,2021-20807,2021/11/10,2021/11/10,2021/11/10,2027/11/30,,390,Bar　LEGALISS,093,,,,,福岡県　北九州市小倉北区堺町１丁目５－３,福岡県北九州市小倉北区堺町１丁目５－３,NYスクエアビル２F ２０１号,198760,40,40106,堺町１,,2021/11/10,2021/11/10,2021/11/10,2027/11/30,,山口一馬 ,,,,,,,,,2021-20807,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ＢａｒＬＥＧＡＬＩＳＳ19876040106,03a0ce90-2f1a-47dd-943a-699c99d99182,,personal,e3cc35d8-0371-4cce-be86-53b395388683,2021/11/10,Ｂａｒ　ＬＥＧＡＬＩＳＳ,ＢａｒＬＥＧＡＬＩＳＳ,
岩本みち子,,,,,広島流お好み焼きみほ,福岡県,北九州市八幡西区町上津役東二丁目８－１９,北九州市八幡西区町上津役東２丁目８－１９,,093-611-6965,① 飲食店営業,お好み焼き屋,2021-60429,2021/11/19,2021/11/19,2021/12/1,2027/11/30,,390,広島流お好み焼きみほ,093,093-611-6965,,,,福岡県　北九州市八幡西区町上津役東２丁目８－１９,福岡県北九州市八幡西区町上津役東２丁目８－１９,,199674,40,40109,町上津役東２,,2021/11/19,2021/11/19,2021/12/01,2027/11/30,,岩本みち子 ,,,,,,,,,2021-60429,,飲食店営業, お好み焼き屋,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,広島流お好み焼きみほ093-611-696519967440109,a9bcee75-7754-43d9-84f9-d7eb1bf1aa44,,personal,7c102b22-8f57-4c57-bbe1-33c49a62f18d,2021/11/19,広島流お好み焼きみほ,広島流お好み焼きみほ,
池永博道,,,,,リストランテ　ピアット,福岡県,北九州市小倉北区中井５丁目１４－１２,北九州市小倉北区中井５丁目１４－１２,,093-562-1333,① 飲食店営業,,2021-20813,2021/11/10,2021/11/10,2021/12/1,2027/11/30,,390,リストランテ　ピアット,093,093-562-1333,,,,福岡県　北九州市小倉北区中井５丁目１４－１２,福岡県北九州市小倉北区中井５丁目１４－１２,,198823,40,40106,中井５,,2021/11/10,2021/11/10,2021/12/01,2027/11/30,,池永博道 ,,,,,,,,,2021-20813,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,リストランテピアット093-562-133319882340106,02544d7f-5dc4-431b-9c4e-19329934e886,,personal,e5ce78d6-a975-47db-b212-c0a60eaf3fbb,2021/11/10,リストランテ　ピアット,リストランテピアット,
