https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,施設-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可,食肉処理業,株式会社ｼﾞﾋﾞｴ工房加工所直売所,石狩郡当別町字青山77の内,石狩郡当別町字青山７７の内,,0133-23-2900,株式会社ｼﾞﾋﾞｴ工房,岩間勝,石狩郡当別町六軒町71-50,石狩郡当別町六軒町７１－５０,,0133-23-2900 ,2021/12/13,2021/12/13,27-57,,5,株式会社ｼﾞﾋﾞｴ工房加工所直売所,0133,0133-23-2900,,,,石狩郡当別町字青山７７の内,北海道石狩郡当別町青山７７ノ内,,701180,1,1303,青山,,2021/12/13,2021/12/13,2021/12/13,,株式会社ｼﾞﾋﾞｴ工房,岩間勝,0133-23-2900 ,石狩郡当別町六軒町７１－５０,北海道石狩郡当別町六軒町７１－５０,,17199,北海道,石狩郡当別町,六軒町,27-57,,食肉販売業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,I,58,583,,株式会社ジビエ工房加工所直売所0133-23-29007011801303,21e405c5-6770-4571-b768-63d1f41d3585,株式会社ジビエ工房17199,7565ca5c-1871-4d30-b751-3025e46c1ac8,fcf90263-a307-4f43-9bca-4beacbd917d3,2021/12/13,株式会社ジビエ工房加工所直売所,株式会社ジビエ工房加工所直売所,株式会社ジビエ工房
許可,漬物製造業,原田のつけもの工房,石狩郡当別町対雁59-3,石狩郡当別町対雁５９－３,,,原田敏文,,,,,,2021/12/13,2021/12/13,27-57,,5,原田のつけもの工房,0133,,,,,石狩郡当別町対雁５９－３,北海道石狩郡当別町対雁５９－３,,17198,1,1303,対雁,,2021/12/13,2021/12/13,2021/12/13,,,原田敏文 ,,,,,,,,,27-57,,漬物製造業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,E,9,,,原田のつけもの工房171981303,a528c938-9697-400b-aecd-5f41ec38c839,,personal,6b0b016d-15aa-4bf6-8e2e-61c68c615535,2021/12/13,原田のつけもの工房,原田のつけもの工房,
許可,飲食店営業,ﾗｰﾒﾝ天山,江別市野幌美幸町24-5 ｻﾝﾘﾊﾞｰﾊｲﾂ壱番館1F,江別市野幌美幸町２４－５,ｻﾝﾘﾊﾞｰﾊｲﾂ壱番館１F,011-384-9324,宮澤正明,,,,,,2021/12/10,2021/12/10,464-46,,5,ﾗｰﾒﾝ天山,011,011-384-9324,,,,江別市野幌美幸町２４－５,北海道江別市野幌美幸町２４－５,ｻﾝﾘﾊﾞｰﾊｲﾂ壱番館１F,13569,1,1217,野幌美幸町,,2021/12/10,2021/12/10,2021/12/10,,,宮澤正明 ,,,,,,,,,464-46,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,ラメン天山011-384-9324135691217,eb5f5f8c-f356-4e21-b1da-3529c6cfd36e,,personal,1990121e-9568-40a2-ac18-8d3bc5195dca,2021/12/10,ラーメン天山,ラメン天山,
許可,飲食店営業,ｷｯﾁﾝつむりん,江別市野幌寿町44-14,江別市野幌寿町４４－１４,,011-380-5300,医療法人ｶﾀﾂﾑﾘ,今野渉,江別市野幌寿町44-14,江別市野幌寿町４４－１４,,011-380-5300,2021/12/10,2021/12/10,464-46,,5,ｷｯﾁﾝつむりん,011,011-380-5300,,,,江別市野幌寿町４４－１４,北海道江別市野幌寿町４４－１４,,13566,1,1217,野幌寿町,,2021/12/10,2021/12/10,2021/12/10,,医療法人ｶﾀﾂﾑﾘ,今野渉,011-380-5300,江別市野幌寿町４４－１４,北海道江別市野幌寿町４４－１４,,13566,北海道,江別市,野幌寿町,464-46,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,キッチンつむりん011-380-5300135661217,bd6d107d-74fd-4ebe-b57d-3179da28407f,医療法人カタツムリ13566,69bbb556-362f-4c0d-9599-03c3e051a567,4fdab69e-d6ae-4ebb-98ee-96797d16b312,2021/12/10,キッチンつむりん,キッチンつむりん,医療法人カタツムリ
許可,飲食店営業,江別天然温泉湯の花江別殿(2階飲食ｺｰﾅｰ),江別市野幌美幸町33-1,江別市野幌美幸町３３－１,,011-385-4444,株式会社ｱｰｽｷｭｱ,橋本繁子,小樽市手宮1丁目5-20,小樽市手宮１丁目５－２０,,0134-54-4444,2021/12/10,2021/12/10,464-46,,5,江別天然温泉湯の花江別殿(2階飲食ｺｰﾅｰ),011,011-385-4444,,,,江別市野幌美幸町３３－１,北海道江別市野幌美幸町３３－１,,13569,1,1217,野幌美幸町,,2021/12/10,2021/12/10,2021/12/10,,株式会社ｱｰｽｷｭｱ,橋本繁子,0134-54-4444,小樽市手宮１丁目５－２０,北海道小樽市手宮１丁目５－２０,,6388,北海道,小樽市,手宮１,464-46,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,江別天然温泉湯の花江別殿２階飲食コナ011-385-4444135691217,d766bdd3-72a6-4aec-9877-c44719c6f744,株式会社アースキュア6388,22f8b603-fdfa-4943-bbeb-3d8e2c4b8b68,6e3b5c47-4d1c-4c0c-93d8-0bd5a7aa49d8,2021/12/10,江別天然温泉湯の花江別殿（２階飲食コーナー）,江別天然温泉湯の花江別殿２階飲食コナ,株式会社アースキュア
許可,飲食店営業,ｶﾞﾄｰ･ﾄﾞ･ﾉﾎﾟﾛ,江別市東野幌本町44-19,江別市東野幌本町４４－１９,,011-381-4609,有限会社ｶﾞﾄｰ･ﾄﾞ･ﾉﾎﾟﾛ,梶原孝一,江別市東野幌本町44-19,江別市東野幌本町４４－１９,,011-381-4609,2021/12/10,2021/12/10,464-46,,5,ｶﾞﾄｰ･ﾄﾞ･ﾉﾎﾟﾛ,011,011-381-4609,,,,江別市東野幌本町４４－１９,北海道江別市東野幌本町４４－１９,,13494,1,1217,東野幌本町,,2021/12/10,2021/12/10,2021/12/10,,有限会社ｶﾞﾄｰ･ﾄﾞ･ﾉﾎﾟﾛ,梶原孝一,011-381-4609,江別市東野幌本町４４－１９,北海道江別市東野幌本町４４－１９,,13494,北海道,江別市,東野幌本町,464-46,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,ガトドノポロ011-381-4609134941217,5b1ef31c-7347-4899-912a-96e2537bd6f0,有限会社ガトー・ド・ノポロ13494,c223df25-784f-4491-859c-acd79e86ed0b,e6734883-ae24-4390-b60c-2ffee4562378,2021/12/10,ガトー・ド・ノポロ,ガトドノポロ,有限会社ガトー・ド・ノポロ
許可,そうざい製造業,株式会社ﾄﾝﾃﾞﾝﾌｧｰﾑ,江別市元野幌968-5,江別市元野幌９６８－５,,011-383-8226,株式会社ﾄﾝﾃﾞﾝﾌｧｰﾑ,作井省三郎,江別市元野幌968-5,江別市元野幌９６８－５,,011-383-8226,2021/12/8,2021/12/8,464-45,,5,株式会社ﾄﾝﾃﾞﾝﾌｧｰﾑ,011,011-383-8226,,,,江別市元野幌９６８－５,北海道江別市元野幌９６８－５,,13506,1,1217,元野幌,,2021/12/08,2021/12/08,2021/12/08,,株式会社ﾄﾝﾃﾞﾝﾌｧｰﾑ,作井省三郎,011-383-8226,江別市元野幌９６８－５,北海道江別市元野幌９６８－５,,13506,北海道,江別市,元野幌,464-45,,そうざい製造業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,E,9,,,株式会社トンデンファム011-383-8226135061217,871fb360-60c4-44b6-99ca-775cbba6a458,株式会社トンデンファーム13506,c33decbc-6116-481b-bd67-85b6d58e49bf,973056da-79a2-435d-9c30-f79d793d2165,2021/12/08,株式会社トンデンファーム,株式会社トンデンファム,株式会社トンデンファーム
許可,飲食店営業,三日月terrace,江別市牧場町14-1 江別蔦屋書店C棟,江別市牧場町１４－１,江別蔦屋書店C棟,011-375-8789,株式会社AKI NAGAO,長尾彰浩,札幌市中央区南6条西20丁目2-1-705,札幌市中央区南６条西２０丁目２－１,７０５,011-206-1789,2021/12/8,2021/12/8,464-44,,5,三日月terrace,011,011-375-8789,,,,江別市牧場町１４－１,北海道江別市牧場町１４－１,江別蔦屋書店C棟,13552,1,1217,牧場町,,2021/12/08,2021/12/08,2021/12/08,,株式会社AKI NAGAO,長尾彰浩,011-206-1789,札幌市中央区南６条西２０丁目２－１,北海道札幌市中央区南六条西２０丁目２－１,７０５,0628,北海道,札幌市中央区,南六条西２０,464-44,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,三日月ｔｅｒｒａｃｅ011-375-8789135521217,28ca4dd7-e92d-49d3-a5c3-d5e6b248ff85,株式会社ＡＫＩ　ＮＡＧＡＯ628,b7f1eb3e-e32b-4e0c-8a34-280ab7655eab,2f45332e-4f59-4509-9928-bfe97f38721f,2021/12/08,三日月ｔｅｒｒａｃｅ,三日月ｔｅｒｒａｃｅ,株式会社ＡＫＩ　ＮＡＧＡＯ
許可,菓子製造業,三日月terrace,江別市牧場町14-1 江別蔦屋書店C棟,江別市牧場町１４－１,江別蔦屋書店C棟,011-375-8789,株式会社AKI NAGAO,長尾彰浩,札幌市中央区南6条西20丁目2-1-705,札幌市中央区南６条西２０丁目２－１,７０５,011-206-1789,2021/12/8,2021/12/8,464-44,,5,三日月terrace,011,011-375-8789,,,,江別市牧場町１４－１,北海道江別市牧場町１４－１,江別蔦屋書店C棟,13552,1,1217,牧場町,,2021/12/08,2021/12/08,2021/12/08,,株式会社AKI NAGAO,長尾彰浩,011-206-1789,札幌市中央区南６条西２０丁目２－１,北海道札幌市中央区南六条西２０丁目２－１,７０５,0628,北海道,札幌市中央区,南六条西２０,464-44,,菓子製造業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,E,9,,,三日月ｔｅｒｒａｃｅ011-375-8789135521217,28ca4dd7-e92d-49d3-a5c3-d5e6b248ff85,株式会社ＡＫＩ　ＮＡＧＡＯ628,b7f1eb3e-e32b-4e0c-8a34-280ab7655eab,82eb008b-4a48-4c13-869e-dc4fae8b470c,2021/12/08,三日月ｔｅｒｒａｃｅ,三日月ｔｅｒｒａｃｅ,株式会社ＡＫＩ　ＮＡＧＡＯ
許可,飲食店営業,当別駅前ｺﾞﾙﾌ倶楽部CHIP IN,石狩郡当別町園生294-56,石狩郡当別町園生２９４－５６,,0133-27-7272,合同会社とうべつむげん工房,佐藤立,石狩郡当別町園生294-56,石狩郡当別町園生２９４－５６,,0133-27-7272,2021/12/7,2021/12/7,464-43,,5,当別駅前ｺﾞﾙﾌ倶楽部CHIP IN,0133,0133-27-7272,,,,石狩郡当別町園生２９４－５６,北海道石狩郡当別町園生２９４－５６,,17191,1,1303,園生,,2021/12/07,2021/12/07,2021/12/07,,合同会社とうべつむげん工房,佐藤立,0133-27-7272,石狩郡当別町園生２９４－５６,北海道石狩郡当別町園生２９４－５６,,17191,北海道,石狩郡当別町,園生,464-43,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,当別駅前ゴルフ倶楽部ＣＨＩＰＩＮ0133-27-7272171911303,d7fc6973-e94e-403d-98f2-45be364c1510,合同会社とうべつむげん工房17191,1c7e1ca8-c06e-4efd-8144-13f981e67237,a47d70a5-a996-48e6-90e0-c8b29c8e18f8,2021/12/07,当別駅前ゴルフ倶楽部ＣＨＩＰ　ＩＮ,当別駅前ゴルフ倶楽部ＣＨＩＰＩＮ,合同会社とうべつむげん工房
許可,飲食店営業,ｽｰﾊﾟｰｱｰｸｽ当別店,石狩郡当別町樺戸町106-11,石狩郡当別町樺戸町１０６－１１,,0133-23-3888,株式会社ﾗﾙｽﾞ,猫宮一久,札幌市中央区南13条西11丁目2-32,札幌市中央区南１３条西１１丁目２－３２,,011-530-6030,2021/12/7,2021/12/7,464-43,,5,ｽｰﾊﾟｰｱｰｸｽ当別店,0133,0133-23-3888,,,,石狩郡当別町樺戸町１０６－１１,北海道石狩郡当別町樺戸町１０６－１１,,17195,1,1303,樺戸町,,2021/12/07,2021/12/07,2021/12/07,,株式会社ﾗﾙｽﾞ,猫宮一久,011-530-6030,札幌市中央区南１３条西１１丁目２－３２,北海道札幌市中央区南十三条西１１丁目２－３２,,0783,北海道,札幌市中央区,南十三条西１１,464-43,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,スパアクス当別店0133-23-3888171951303,68969a4e-ad34-4be2-9aa1-e695a6b23b52,株式会社ラルズ783,71a50dfd-5364-4726-b050-d39562dfd1f9,9ca4d7b2-646e-4300-8f86-59b0610a8825,2021/12/07,スーパーアークス当別店,スパアクス当別店,株式会社ラルズ
許可,飲食店営業,浅野農場ｽﾏｲﾙﾎﾟｰｸ,石狩郡当別町対雁10,石狩郡当別町対雁１０,,0133-22-4129,有限会社浅野農場,浅野政輝,石狩郡当別町字上当別2190,石狩郡当別町字上当別２１９０,,0133-26-2201,2021/12/6,2021/12/6,464-42,,5,浅野農場ｽﾏｲﾙﾎﾟｰｸ,0133,0133-22-4129,,,,石狩郡当別町対雁１０,北海道石狩郡当別町対雁１０,,17198,1,1303,対雁,,2021/12/06,2021/12/06,2021/12/06,,有限会社浅野農場,浅野政輝,0133-26-2201,石狩郡当別町字上当別２１９０,北海道石狩郡当別町字上当別２１９０,,701178,北海道,石狩郡当別町,上当別,464-42,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,浅野農場スマイルポク0133-22-4129171981303,7ce6c7ec-c518-4cfe-b6df-5d114a3828d2,有限会社浅野農場701178,fc0e9f17-e7c7-4428-865a-29de56b10a0f,ee72d2ae-82ff-4e5f-95f1-11cebaf24d13,2021/12/06,浅野農場スマイルポーク,浅野農場スマイルポク,有限会社浅野農場
許可,飲食店営業,ﾊﾟﾃｨｽﾘｰ ら・じゅゆな,江別市野幌寿町24-1,江別市野幌寿町２４－１,,011-398-5043,霜鳥純,,,,,,2021/12/3,2021/12/3,464-40,,5,ﾊﾟﾃｨｽﾘｰ ら・じゅゆな,011,011-398-5043,,,,江別市野幌寿町２４－１,北海道江別市野幌寿町２４－１,,13566,1,1217,野幌寿町,,2021/12/03,2021/12/03,2021/12/03,,,霜鳥純 ,,,,,,,,,464-40,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,パティスリらじゅゆな011-398-5043135661217,90f7badc-aca8-4ce8-abf5-0dd8783e24ea,,personal,baecce75-1e91-4628-b575-3da7ac0e7cdc,2021/12/03,パティスリー　ら・じゅゆな,パティスリらじゅゆな,
許可,飲食店営業,味のあおき,江別市向ヶ丘27-18,江別市向ヶ丘２７－１８,,,青木弘夫,,,,,,2021/12/3,2021/12/3,464-40,,5,味のあおき,011,,,,,江別市向ヶ丘２７－１８,北海道江別市向が丘２７－１８,,13504,1,1217,向が丘,,2021/12/03,2021/12/03,2021/12/03,,,青木弘夫 ,,,,,,,,,464-40,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,味のあおき135041217,f383cf9c-2d71-4414-843d-05f6b733066e,,personal,da0a11bd-edc1-483a-b241-36e7e04c2c9a,2021/12/03,味のあおき,味のあおき,
許可,飲食店営業,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ江別大麻桜木町店,江別市大麻桜木町8-6,江別市大麻桜木町８－６,,011-386-3088,合同会社TQｶﾝﾊﾟﾆｰ,武田正紀,江別市大麻扇町4-5ｱｰﾊﾞﾝ扇町405,江別市大麻扇町４－５,ｱｰﾊﾞﾝ扇町４０５,011-387-6099,2021/12/3,2021/12/3,464-41,,5,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ江別大麻桜木町店,011,011-386-3088,,,,江別市大麻桜木町８－６,北海道江別市大麻桜木町８－６,,13581,1,1217,大麻桜木町,,2021/12/03,2021/12/03,2021/12/03,,合同会社TQｶﾝﾊﾟﾆｰ,武田正紀,011-387-6099,江別市大麻扇町４－５,北海道江別市大麻扇町４－５,ｱｰﾊﾞﾝ扇町４０５,13465,北海道,江別市,大麻扇町,464-41,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,セブンイレブン江別大麻桜木町店011-386-3088135811217,2ef3424a-0b23-42e9-834c-fe1b235d05c3,合同会社ＴＱカンパニー13465,c50c890f-1365-4c99-aecf-b5da7a7e596a,f60525af-e59d-4f76-81ee-c8d609e22a54,2021/12/03,セブン－イレブン江別大麻桜木町店,セブンイレブン江別大麻桜木町店,合同会社ＴＱカンパニー
許可,菓子製造業,ﾊﾟﾃｨｽﾘｰ ら・じゅゆな,江別市野幌寿町24-1,江別市野幌寿町２４－１,,011-398-5043,霜鳥純,,,,,,2021/12/3,2021/12/3,464-40,,5,ﾊﾟﾃｨｽﾘｰ ら・じゅゆな,011,011-398-5043,,,,江別市野幌寿町２４－１,北海道江別市野幌寿町２４－１,,13566,1,1217,野幌寿町,,2021/12/03,2021/12/03,2021/12/03,,,霜鳥純 ,,,,,,,,,464-40,,菓子製造業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,E,9,,,パティスリらじゅゆな011-398-5043135661217,90f7badc-aca8-4ce8-abf5-0dd8783e24ea,,personal,283c8576-25f3-40ba-a689-7081ce4e0d8a,2021/12/03,パティスリー　ら・じゅゆな,パティスリらじゅゆな,
許可,飲食店営業,ﾗｰﾒﾝ山岡家江別店,江別市一番町30-27,江別市一番町３０－２７,,011-382-7170,株式会社丸千代山岡家,一由聡,札幌市東区東雁来7条1丁目4-32,札幌市東区東雁来７条１丁目４－３２,,011-781-7170,2021/12/1,2021/12/1,464-39,,5,ﾗｰﾒﾝ山岡家江別店,011,011-382-7170,,,,江別市一番町３０－２７,北海道江別市一番町３０－２７,,13460,1,1217,一番町,,2021/12/01,2021/12/01,2021/12/01,,株式会社丸千代山岡家,一由聡,011-781-7170,札幌市東区東雁来７条１丁目４－３２,北海道札幌市東区東雁来七条１丁目４－３２,,3179,北海道,札幌市東区,東雁来七条１,464-39,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,ラメン山岡家江別店011-382-7170134601217,2c2f061a-db72-4dfc-9717-97ceff071239,株式会社丸千代山岡家3179,e70b5102-f7d4-4449-8231-1cf04471e595,ed675c46-2cc0-4d1d-9b8c-2996179940c6,2021/12/01,ラーメン山岡家江別店,ラメン山岡家江別店,株式会社丸千代山岡家
許可,飲食店営業,morrys,石狩郡当別町園生416-12,石狩郡当別町園生４１６－１２,,0133-23-4556,合同会社ﾜｲﾝﾄﾞｱｯﾌﾟ,中多一康,石狩郡当別町園生416-12,石狩郡当別町園生４１６－１２,,0133-23-4556,2021/12/1,2021/12/1,464-39,,5,morrys,0133,0133-23-4556,,,,石狩郡当別町園生４１６－１２,北海道石狩郡当別町園生４１６－１２,,17191,1,1303,園生,,2021/12/01,2021/12/01,2021/12/01,,合同会社ﾜｲﾝﾄﾞｱｯﾌﾟ,中多一康,0133-23-4556,石狩郡当別町園生４１６－１２,北海道石狩郡当別町園生４１６－１２,,17191,北海道,石狩郡当別町,園生,464-39,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,ｍｏｒｒｙｓ0133-23-4556171911303,d23fd0c8-2a74-4ded-9a8b-0065c8b1f264,合同会社ワインドアップ17191,96506e95-b13a-4051-bdbe-f9794dcd07ab,40c51651-74f0-4ad0-8b8b-1db7a563dc1f,2021/12/01,ｍｏｒｒｙｓ,ｍｏｒｒｙｓ,合同会社ワインドアップ
許可,飲食店営業,郷,石狩郡当別町園生416-12,石狩郡当別町園生４１６－１２,,0133-23-4556,合同会社ﾜｲﾝﾄﾞｱｯﾌﾟ,中多一康,石狩郡当別町園生416-12,石狩郡当別町園生４１６－１２,,0133-23-4556,2021/12/1,2021/12/1,464-39,,5,郷,0133,0133-23-4556,,,,石狩郡当別町園生４１６－１２,北海道石狩郡当別町園生４１６－１２,,17191,1,1303,園生,,2021/12/01,2021/12/01,2021/12/01,,合同会社ﾜｲﾝﾄﾞｱｯﾌﾟ,中多一康,0133-23-4556,石狩郡当別町園生４１６－１２,北海道石狩郡当別町園生４１６－１２,,17191,北海道,石狩郡当別町,園生,464-39,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,郷0133-23-4556171911303,7b8abbb5-f012-47f9-b70d-c5261ba7301c,合同会社ワインドアップ17191,96506e95-b13a-4051-bdbe-f9794dcd07ab,041d0322-f862-47c2-934b-4cef83c1436b,2021/12/01,郷,郷,合同会社ワインドアップ
