https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所0,施設-住所1,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-039087,戸生第8987,,小島 正博,横浜市戸塚区川上町90-1,横浜市戸塚区川上町９０－１,,セブン-イレブン横浜東戸塚駅西口店 ,8267790,コンビニエンスストア,,2021年11月18日,2117年12月31日,2021年11月18日,,141,セブン-イレブン横浜東戸塚駅西口店 ,045,045-826-7790,,,,横浜市戸塚区川上町９０－１,神奈川県横浜市戸塚区川上町９０－１,,79284,14,14110,川上町,,2021/11/18,2021/11/18,,2117/12/31,,小島 正博,,,,,,,,,戸生第8987,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,セブンイレブン横浜東戸塚駅西口店045-826-77907928414110,00141_59240aa4-a2eb-4619-bf79-b973085ed584,,personal,c204c9c4-7f94-4888-af9d-d4a49d9ae0a7,2021/11/18,セブンイレブン横浜東戸塚駅西口店　,セブンイレブン横浜東戸塚駅西口店,
90-039088,戸生第8988,株式会社イズミ商事,,横浜市戸塚区影取町15-4,横浜市戸塚区影取町１５－４,,ファミリーマート影取鉄砲宿店 ,8583356,コンビニエンスストア,,2021年11月19日,2117年12月31日,2021年11月19日,,141,ファミリーマート影取鉄砲宿店 ,045,045-858-3356,,,,横浜市戸塚区影取町１５－４,神奈川県横浜市戸塚区影取町１５－４,,79279,14,14110,影取町,,2021/11/19,2021/11/19,,2117/12/31,株式会社イズミ商事,,,,,,,,,,戸生第8988,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ファミリマト影取鉄砲宿店045-858-33567927914110,00141_8f1ce65d-62b0-4769-a591-a47f79be5ea4,株式会社イズミ商事,4dce94f4-e9ec-4ace-bb20-becf6444d81b,72ece125-ee76-49fd-9861-22c62c25dc0b,2021/11/19,ファミリーマート影取鉄砲宿店　,ファミリマト影取鉄砲宿店,株式会社イズミ商事
90-039089,戸生第8989,株式会社鈴音,,横浜市戸塚区品濃町537-1 西武東戸塚S.C店内 1F,横浜市戸塚区品濃町５３７－１,西武東戸塚S.C店内 １F,横濱元町霧笛楼西武東戸塚Ｓ.Ｃ店 ,8244499,その他の食料・飲料販売業,菓子販売業,2021年11月19日,2117年12月31日,2021年11月19日,,141,横濱元町霧笛楼西武東戸塚Ｓ.Ｃ店 ,045,045-824-4499,,,,横浜市戸塚区品濃町５３７－１,神奈川県横浜市戸塚区品濃町５３７－１,西武東戸塚S.C店内 １F,79287,14,14110,品濃町,,2021/11/19,2021/11/19,,2117/12/31,株式会社鈴音,,,,,,,,,,戸生第8989,,その他の食料品製造・加工業,(包装) 菓子販売業,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,横濱元町霧笛楼西武東戸塚ＳＣ店045-824-44997928714110,b9362474-45f0-4d44-a274-7385edea826f,株式会社鈴音,dfc264ba-741a-4df3-83ba-bbece9ee2bda,f77aa714-7e00-4f64-a18e-201a87e20753,2021/11/19,横濱元町霧笛楼西武東戸塚Ｓ．Ｃ店　,横濱元町霧笛楼西武東戸塚ＳＣ店,株式会社鈴音
90-039090,戸生第8990,株式会社　ﾌｫｰﾗｲﾌ企画,,横浜市戸塚区上品濃16-8,横浜市戸塚区上品濃１６－８,,東戸塚ホスピタル売店 ,,その他の食料・飲料販売業,,2021年11月19日,2117年12月31日,2021年11月19日,,141,東戸塚ホスピタル売店 ,045,,,,,横浜市戸塚区上品濃１６－８,神奈川県横浜市戸塚区上品濃１６－８,,79317,14,14110,上品濃,,2021/11/19,2021/11/19,,2117/12/31,株式会社　ﾌｫｰﾗｲﾌ企画,,,,,,,,,,戸生第8990,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,東戸塚ホスピタル売店7931714110,b9ff5fc1-69bc-4e0f-aac3-545d4454ea46,株式会社フォーライフ企画,92e10c33-09dd-4291-b5b2-e7e6b2393d1b,59c55dde-197f-42f1-8357-743bb0a8a679,2021/11/19,東戸塚ホスピタル売店　,東戸塚ホスピタル売店,株式会社フォーライフ企画
90-039091,戸生第8991,伊藤ハムフードソリューション株式会社,,横浜市戸塚区品濃町537-1 ㈱そごう西武　西武東戸塚店,横浜市戸塚区品濃町５３７－１,㈱そごう西武 西武東戸塚店,西武東戸塚　肉の匠いとう ,8282492,食肉販売業（包装済みの食肉のみの販売）,小売業,2021年11月20日,2117年12月31日,2021年11月20日,,141,西武東戸塚　肉の匠いとう ,045,045-828-2492,,,,横浜市戸塚区品濃町５３７－１,神奈川県横浜市戸塚区品濃町５３７－１,㈱そごう西武 西武東戸塚店,79287,14,14110,品濃町,,2021/11/20,2021/11/20,,2117/12/31,伊藤ハムフードソリューション株式会社,,,,,,,,,,戸生第8991,,食肉販売業,包装済みの食肉のみの販売 小売業,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,583,,西武東戸塚肉の匠いとう045-828-24927928714110,858307b1-4556-42bd-b2a3-b800b7f06a53,伊藤ハムフードソリューション株式会社,7e635e12-8088-41fb-aaad-69a293ad8168,316986fa-299b-4882-a79c-8d9eda326855,2021/11/20,西武東戸塚　肉の匠いとう　,西武東戸塚肉の匠いとう,伊藤ハムフードソリューション株式会社
90-039092,戸生第8992,株式会社崎陽軒,,横浜市戸塚区戸塚町12-1 横浜市営地下鉄戸塚駅 改札外 B1,横浜市戸塚区戸塚町１２－１ ,横浜市営地下鉄戸塚駅 改札外 B１,崎陽軒　市営地下鉄戸塚駅店 ,8614326,弁当販売業,,2021年11月25日,2117年12月31日,2021年11月25日,,141,崎陽軒　市営地下鉄戸塚駅店 ,045,045-861-4326,,,,横浜市戸塚区戸塚町１２－１ ,神奈川県横浜市戸塚区戸塚町１２－１,横浜市営地下鉄戸塚駅 改札外 B１,79289,14,14110,戸塚町,,2021/11/25,2021/11/25,,2117/12/31,株式会社崎陽軒,,,,,,,,,,戸生第8992,,弁当販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,581,5811,崎陽軒市営地下鉄戸塚駅店045-861-43267928914110,58f7ee81-3272-449d-9e20-a0142cef9531,株式会社崎陽軒,68a13e89-bd06-4184-a916-9cd1cee0bc3d,b706f261-0ac2-4603-8a41-2a974cb38436,2021/11/25,崎陽軒　市営地下鉄戸塚駅店　,崎陽軒市営地下鉄戸塚駅店,株式会社崎陽軒
90-039095,戸生第8995,株式会社崎陽軒,,横浜市戸塚区汲沢町1201-3 サンシティ汲沢106,横浜市戸塚区汲沢町１２０１－３,サンシティ汲沢１０６,崎陽軒　戸塚ぐみざわ店 ,3923873,弁当販売業,,2021年11月25日,2117年12月31日,2021年11月25日,,141,崎陽軒　戸塚ぐみざわ店 ,045,045-392-3873,,,,横浜市戸塚区汲沢町１２０１－３,神奈川県横浜市戸塚区汲沢町１２０１－３,サンシティ汲沢１０６,79285,14,14110,汲沢町,,2021/11/25,2021/11/25,,2117/12/31,株式会社崎陽軒,,,,,,,,,,戸生第8995,,弁当販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,581,5811,崎陽軒戸塚ぐみざわ店045-392-38737928514110,3bffdd61-1646-4bed-b692-1ef70535b521,株式会社崎陽軒,68a13e89-bd06-4184-a916-9cd1cee0bc3d,cb2b2b12-2272-4cfc-8fc0-275646237144,2021/11/25,崎陽軒　戸塚ぐみざわ店　,崎陽軒戸塚ぐみざわ店,株式会社崎陽軒
90-039096,戸生第8996,株式会社崎陽軒,,横浜市戸塚区品濃町537-1 西武東戸塚S.C.1F,横浜市戸塚区品濃町５３７－１,西武東戸塚S.C.１F,崎陽軒　西武東戸塚S.C.店 ,8270522,弁当販売業,,2021年11月25日,2117年12月31日,2021年11月25日,,141,崎陽軒　西武東戸塚S.C.店 ,045,045-827-0522,,,,横浜市戸塚区品濃町５３７－１,神奈川県横浜市戸塚区品濃町５３７－１,西武東戸塚S.C.１F,79287,14,14110,品濃町,,2021/11/25,2021/11/25,,2117/12/31,株式会社崎陽軒,,,,,,,,,,戸生第8996,,弁当販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,581,5811,崎陽軒西武東戸塚ＳＣ店045-827-05227928714110,3ffa65ac-5554-4867-bcef-a64d9c9f934e,株式会社崎陽軒,68a13e89-bd06-4184-a916-9cd1cee0bc3d,af6c72a2-4fde-4b56-b6f7-74c2e870f37d,2021/11/25,崎陽軒　西武東戸塚Ｓ．Ｃ．店　,崎陽軒西武東戸塚ＳＣ店,株式会社崎陽軒
90-039097,戸生第8994,株式会社崎陽軒,,横浜市戸塚区原宿4-37-1,横浜市戸塚区原宿４－３７－１,,崎陽軒　戸塚 崎陽軒 ショップ ,3900618,弁当販売業,,2021年11月25日,2117年12月31日,2021年11月25日,,141,崎陽軒　戸塚 崎陽軒 ショップ ,045,045-390-0618,,,,横浜市戸塚区原宿４－３７－１,神奈川県横浜市戸塚区原宿４－３７－１,,79321,14,14110,原宿４,,2021/11/25,2021/11/25,,2117/12/31,株式会社崎陽軒,,,,,,,,,,戸生第8994,,弁当販売業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,581,5811,崎陽軒戸塚崎陽軒ショップ045-390-06187932114110,5f388821-606a-4026-8ca7-1835a7e81c54,株式会社崎陽軒,68a13e89-bd06-4184-a916-9cd1cee0bc3d,e4944d13-74a0-4acb-afa2-cd2ceb6f8a98,2021/11/25,崎陽軒　戸塚　崎陽軒　ショップ　,崎陽軒戸塚崎陽軒ショップ,株式会社崎陽軒
83-031956,都筑生指令第220,ジャパン・アルジェ株式会社,,横浜市都筑区池辺町3267,横浜市都筑区池辺町３２６７,,ジャパン・アルジェ株式会社　横浜工場 ,459293150,添加物製造業,,2021年11月26日,2028年11月25日,2021年11月26日,,141,ジャパン・アルジェ株式会社　横浜工場 ,045,045-929-3150,,,,横浜市都筑区池辺町３２６７,神奈川県横浜市都筑区池辺町３２６７,,79801,14,14118,池辺町,,2021/11/26,2021/11/26,,2028/11/25,ジャパン・アルジェ株式会社,,,,,,,,,,都筑生指令第220,,添加物製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,ジャパンアルジェ株式会社横浜工場045-929-31507980114118,348737a3-f11c-415e-b082-663e68641886,ジャパン・アルジェ株式会社,0bb44d25-4f01-4b52-ad04-f0a0ed581542,0ca0bd1e-e2f8-47b8-be27-5e5652220a56,2021/11/26,ジャパン・アルジェ株式会社横浜工場　,ジャパンアルジェ株式会社横浜工場,ジャパン・アルジェ株式会社
83-031957,都筑生指令第216,マリエンタルランド株式会社,,横浜市都筑区仲町台1-16-1,横浜市都筑区仲町台１－１６－１,,BLUE CORNER ,7066427940,菓子製造業,,2021年11月19日,2028年11月18日,2021年11月19日,,141,BLUE CORNER ,045,070-6642-7940,,,,横浜市都筑区仲町台１－１６－１,神奈川県横浜市都筑区仲町台１－１６－１,,79872,14,14118,仲町台１,,2021/11/19,2021/11/19,,2028/11/18,マリエンタルランド株式会社,,,,,,,,,,都筑生指令第216,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,ＢＬＵＥＣＯＲＮＥＲ070-6642-79407987214118,837bea95-aa91-49b3-aef9-7b104871e10a,マリエンタルランド株式会社,2bd49e89-3be1-42a6-91da-a3c55b06eef3,602da26c-1875-4dcd-a817-20d1f01bd0d8,2021/11/19,ＢＬＵＥ　ＣＯＲＮＥＲ　,ＢＬＵＥＣＯＲＮＥＲ,マリエンタルランド株式会社
83-031969,都筑生指令第218,,荻野 清茂,横浜市都筑区中川中央1-33-5 スカイフローリッシュ 101,横浜市都筑区中川中央１－３３－５,スカイフローリッシュ １０１,Irish Pub Ks （ｱｲﾘｯｼｭ ﾊﾟﾌﾞ ｹｲｽ）,,飲食店営業,,2021年11月26日,2028年11月25日,2021年11月26日,,141,Irish Pub Ks （ｱｲﾘｯｼｭ ﾊﾟﾌﾞ ｹｲｽ）,045,,,,,横浜市都筑区中川中央１－３３－５,神奈川県横浜市都筑区中川中央１－３３－５,スカイフローリッシュ １０１,79870,14,14118,中川中央１,,2021/11/26,2021/11/26,,2028/11/25,,荻野 清茂,,,,,,,,,都筑生指令第218,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,ＩｒｉｓｈＰｕｂＫｓアイリッシュパブケイス7987014118,fb833125-876d-4923-8484-513ec62c089e,,personal,9d0f5401-52f9-4991-948a-e894ed2faec7,2021/11/26,Ｉｒｉｓｈ　Ｐｕｂ　Ｋｓ　（アイリッシュ　パブ　ケイス）,ＩｒｉｓｈＰｕｂＫｓアイリッシュパブケイス,
83-035219,都筑生指令第199,株式会社シードラゴン,,横浜市都筑区池辺町4239-2,横浜市都筑区池辺町４２３９－２,,セブンイレブン　横浜池辺町薮根店 ,459362048,飲食店営業,,2021年11月5日,2028年11月4日,2021年11月5日,,141,セブンイレブン　横浜池辺町薮根店 ,045,045-936-2048,,,,横浜市都筑区池辺町４２３９－２,神奈川県横浜市都筑区池辺町４２３９－２,,79801,14,14118,池辺町,,2021/11/05,2021/11/05,,2028/11/04,株式会社シードラゴン,,,,,,,,,,都筑生指令第199,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,セブンイレブン横浜池辺町薮根店045-936-20487980114118,00141_77656383-acdd-46a7-a6db-ed8ca32b627f,株式会社シードラゴン,236f561b-6246-4dac-9294-5e5ad6e4c540,6e2e925c-cefd-4d01-871a-9280a3ea4ed9,2021/11/05,セブンイレブン　横浜池辺町薮根店　,セブンイレブン横浜池辺町薮根店,株式会社シードラゴン
83-035230,都筑生指令第194,,森屋 領介,横浜市都筑区茅ケ崎中央51-13 森ﾋﾞﾙ201,横浜市都筑区茅ケ崎中央５１－１３,森ﾋﾞﾙ２０１,インフィニティ ,459455106,飲食店営業,,2021年11月5日,2028年11月4日,2021年11月5日,,141,インフィニティ ,045,045-945-5106,,,,横浜市都筑区茅ケ崎中央５１－１３,神奈川県横浜市都筑区茅が崎中央５１－１３,森ﾋﾞﾙ２０１,79850,14,14118,茅が崎中央,,2021/11/05,2021/11/05,,2028/11/04,,森屋 領介,,,,,,,,,都筑生指令第194,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,インフィニティ045-945-51067985014118,20fad7d3-77be-4df4-a6cd-5ac7eae28789,,personal,58f7589c-0764-4b79-a553-6875f692cef4,2021/11/05,インフィニティ　,インフィニティ,
83-035231,都筑生指令第208,,井上 大輔,横浜市都筑区仲町台1－7－1 佐藤ビル102,横浜市都筑区仲町台１－７－１,佐藤ビル１０２,春ひなた ,455151219,飲食店営業,,2021年11月17日,2028年11月16日,2021年11月17日,,141,春ひなた ,045,045-515-1219,,,,横浜市都筑区仲町台１－７－１,神奈川県横浜市都筑区仲町台１－７－１,佐藤ビル１０２,79872,14,14118,仲町台１,,2021/11/17,2021/11/17,,2028/11/16,,井上 大輔,,,,,,,,,都筑生指令第208,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,春ひなた045-515-12197987214118,922d61ca-e576-44e9-bd06-01b671393e52,,personal,3639d3bd-b65d-485c-a7da-ec241d28a4be,2021/11/17,春ひなた　,春ひなた,
83-035243,都筑生指令第224,有限会社マルキュウ平野屋,,横浜市都筑区池辺町4337,横浜市都筑区池辺町４３３７,,ファミリーマート横浜都筑池辺町店 ,459294017,飲食店営業,,2021年11月29日,2028年11月28日,2021年11月29日,,141,ファミリーマート横浜都筑池辺町店 ,045,045-929-4017,,,,横浜市都筑区池辺町４３３７,神奈川県横浜市都筑区池辺町４３３７,,79801,14,14118,池辺町,,2021/11/29,2021/11/29,,2028/11/28,有限会社マルキュウ平野屋,,,,,,,,,,都筑生指令第224,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,ファミリマト横浜都筑池辺町店045-929-40177980114118,f0bc6264-e200-403c-81be-2b2cb91b1db9,有限会社マルキュウ平野屋,03ba478e-c74a-49a1-947a-985c7563c534,1218c887-41d2-4fdc-a99c-20c87ce36f9a,2021/11/29,ファミリーマート横浜都筑池辺町店　,ファミリマト横浜都筑池辺町店,有限会社マルキュウ平野屋
83-038809,都筑生指令第192,株式会社トライアウト,,横浜市都筑区中川中央1-1-5 Yotsubako 2F,横浜市都筑区中川中央１－１－５,Yotsubako ２F,YAMAMARU/GYOZA LIFE.com ,455079072,冷凍食品製造業,,2021年11月5日,2027年11月4日,2021年11月5日,,141,YAMAMARU/GYOZA LIFE.com ,045,045-507-9072,,,,横浜市都筑区中川中央１－１－５,神奈川県横浜市都筑区中川中央１－１－５,Yotsubako ２F,79870,14,14118,中川中央１,,2021/11/05,2021/11/05,,2027/11/04,株式会社トライアウト,,,,,,,,,,都筑生指令第192,,冷凍食品製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,ＹＡＭＡＭＡＲＵＧＹＯＺＡＬＩＦＥｃｏｍ045-507-90727987014118,e1a262fa-8a18-4b94-a886-e9df8825849a,株式会社トライアウト,7381a7db-9cf0-434f-80f9-71e2961faf9f,baf83b92-9992-41ac-87a8-d6d9127a83c1,2021/11/05,ＹＡＭＡＭＡＲＵ／ＧＹＯＺＡ　ＬＩＦＥ．ｃｏｍ　,ＹＡＭＡＭＡＲＵＧＹＯＺＡＬＩＦＥｃｏｍ,株式会社トライアウト
83-038813,都筑生第8631,NPO法人荏田南はまっ子ランド,,横浜市都筑区荏田南2-5-2,横浜市都筑区荏田南２－５－２,,荏田南小学校放課後キッズクラブ ,459412185,集団給食施設,,2021年11月1日,2117年12月31日,2021年11月1日,,141,荏田南小学校放課後キッズクラブ ,045,045-941-2185,,,,横浜市都筑区荏田南２－５－２,神奈川県横浜市都筑区荏田南２－５－２,,79820,14,14118,荏田南２,,2021/11/01,2021/11/01,,2117/12/31,NPO法人荏田南はまっ子ランド,,,,,,,,,,都筑生第8631,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,荏田南小学校放課後キッズクラブ045-941-21857982014118,88c41ef1-e30b-4808-a162-3bfdeb23516c,ＮＰＯ法人荏田南はまっ子ランド,139b1235-6196-4590-9179-2bb23a7ceee9,23f42a77-0b25-4a72-92f5-d857dc1ae925,2021/11/01,荏田南小学校放課後キッズクラブ　,荏田南小学校放課後キッズクラブ,ＮＰＯ法人荏田南はまっ子ランド
83-038814,都筑生第8633,株式会社シードラゴン,,横浜市都筑区池辺町4239-2,横浜市都筑区池辺町４２３９－２,,セブン-イレブン　横浜池辺町薮根店 ,459362048,コンビニエンスストア,,2021年11月1日,2117年12月31日,2021年11月1日,,141,セブン-イレブン　横浜池辺町薮根店 ,045,045-936-2048,,,,横浜市都筑区池辺町４２３９－２,神奈川県横浜市都筑区池辺町４２３９－２,,79801,14,14118,池辺町,,2021/11/01,2021/11/01,,2117/12/31,株式会社シードラゴン,,,,,,,,,,都筑生第8633,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,セブンイレブン横浜池辺町薮根店045-936-20487980114118,00141_77656383-acdd-46a7-a6db-ed8ca32b627f,株式会社シードラゴン,236f561b-6246-4dac-9294-5e5ad6e4c540,7c8910c4-c1f3-4e3d-a946-63f33433677e,2021/11/01,セブンイレブン　横浜池辺町薮根店　,セブンイレブン横浜池辺町薮根店,株式会社シードラゴン
83-038815,都筑生第8635,株式会社シードラゴン,,横浜市都筑区佐江戸町1727-1,横浜市都筑区佐江戸町１７２７－１,,セブン-イレブン　横浜佐江戸町店 ,459324677,コンビニエンスストア,,2021年11月1日,2117年12月31日,2021年11月1日,,141,セブン-イレブン　横浜佐江戸町店 ,045,045-932-4677,,,,横浜市都筑区佐江戸町１７２７－１,神奈川県横浜市都筑区佐江戸町１７２７－１,,79845,14,14118,佐江戸町,,2021/11/01,2021/11/01,,2117/12/31,株式会社シードラゴン,,,,,,,,,,都筑生第8635,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,セブンイレブン横浜佐江戸町店045-932-46777984514118,318efa4a-66d3-468a-b0de-1b0800a798d6,株式会社シードラゴン,236f561b-6246-4dac-9294-5e5ad6e4c540,e035253b-f5ca-4b93-8782-6016e14e6c1d,2021/11/01,セブンイレブン　横浜佐江戸町店　,セブンイレブン横浜佐江戸町店,株式会社シードラゴン
83-038816,都筑生指令第195,アニヴェルセル株式会社,,横浜市都筑区茅ケ崎中央4-1,横浜市都筑区茅ケ崎中央４－１,,アニヴェルセルヒルズ横浜 ,459490888,菓子製造業,,2021年11月5日,2028年11月4日,2021年11月5日,,141,アニヴェルセルヒルズ横浜 ,045,045-949-0888,,,,横浜市都筑区茅ケ崎中央４－１,神奈川県横浜市都筑区茅が崎中央４－１,,79850,14,14118,茅が崎中央,,2021/11/05,2021/11/05,,2028/11/04,アニヴェルセル株式会社,,,,,,,,,,都筑生指令第195,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,アニヴェルセルヒルズ横浜045-949-08887985014118,f1fd89dc-86c2-4ba0-9566-f4d98f3f41d8,アニヴェルセル株式会社,94b2787a-f510-4dd7-a322-c4d76efe5f75,dc672d54-8dd5-4634-875f-c3a71fbcc80c,2021/11/05,アニヴェルセルヒルズ横浜　,アニヴェルセルヒルズ横浜,アニヴェルセル株式会社
83-038817,都筑生指令第197,株式会社East－Lucky TR,,横浜市都筑区池辺町4449,横浜市都筑区池辺町４４４９,,セブン-イレブン　横浜池辺町店 ,459337171,飲食店営業,,2021年11月5日,2028年11月4日,2021年11月5日,,141,セブン-イレブン　横浜池辺町店 ,045,045-933-7171,,,,横浜市都筑区池辺町４４４９,神奈川県横浜市都筑区池辺町４４４９,,79801,14,14118,池辺町,,2021/11/05,2021/11/05,,2028/11/04,株式会社East－Lucky TR,,,,,,,,,,都筑生指令第197,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,セブンイレブン横浜池辺町店045-933-71717980114118,00141_0d005cdf-faa8-43b1-858a-f23875f444fb,株式会社Ｅａｓｔ－Ｌｕｃｋｙ　ＴＲ,a66968aa-655f-400c-ba6c-78786dc62798,f2d1bd2e-de46-41ca-9927-f4599285087c,2021/11/05,セブンイレブン　横浜池辺町店　,セブンイレブン横浜池辺町店,株式会社Ｅａｓｔ－Ｌｕｃｋｙ　ＴＲ
83-038819,都筑生指令第198,株式会社East－Lucky TR,,横浜市都筑区川向町100-1,横浜市都筑区川向町１００－１,,セブン-イレブン　横浜川向町店 ,454739046,飲食店営業,,2021年11月5日,2028年11月4日,2021年11月5日,,141,セブン-イレブン　横浜川向町店 ,045,045-473-9046,,,,横浜市都筑区川向町１００－１,神奈川県横浜市都筑区川向町１００－１,,79834,14,14118,川向町,,2021/11/05,2021/11/05,,2028/11/04,株式会社East－Lucky TR,,,,,,,,,,都筑生指令第198,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,セブンイレブン横浜川向町店045-473-90467983414118,00141_94b4e342-6782-4bcc-8acb-2f2146fc323b,株式会社Ｅａｓｔ－Ｌｕｃｋｙ　ＴＲ,a66968aa-655f-400c-ba6c-78786dc62798,9c8d4c0e-fa1f-4ff0-b1de-0a776b7b864b,2021/11/05,セブンイレブン　横浜川向町店　,セブンイレブン横浜川向町店,株式会社Ｅａｓｔ－Ｌｕｃｋｙ　ＴＲ
83-038822,都筑生指令第200,,SCHUETZE MAIK,横浜市都筑区茅ケ崎南2-4-1 東京横浜独逸学園内,横浜市都筑区茅ケ崎南２－４－１,東京横浜独逸学園内,Maik's Kochloeffel ,459444731,菓子製造業,,2021年11月5日,2028年11月4日,2021年11月5日,,141,Maik's Kochloeffel ,045,045-944-4731,,,,横浜市都筑区茅ケ崎南２－４－１,神奈川県横浜市都筑区茅が崎南２－４－１,東京横浜独逸学園内,79858,14,14118,茅が崎南２,,2021/11/05,2021/11/05,,2028/11/04,,SCHUETZE MAIK,,,,,,,,,都筑生指令第200,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,ＭａｉｋｓＫｏｃｈｌｏｅｆｆｅｌ045-944-47317985814118,0ddd025d-a075-4656-a245-3140cd713a5a,,personal,e1fc027f-082a-4868-89e5-bec8951624be,2021/11/05,Ｍａｉｋ＇ｓ　Ｋｏｃｈｌｏｅｆｆｅｌ　,ＭａｉｋｓＫｏｃｈｌｏｅｆｆｅｌ,
83-038823,都筑生指令第201,,SCHUETZE MAIK,横浜市都筑区茅ケ崎南2-4-1 東京横浜独逸学園内,横浜市都筑区茅ケ崎南２－４－１,東京横浜独逸学園内,Maik's Kochloeffel ,459444731,そうざい製造業,,2021年11月5日,2028年11月4日,2021年11月5日,,141,Maik's Kochloeffel ,045,045-944-4731,,,,横浜市都筑区茅ケ崎南２－４－１,神奈川県横浜市都筑区茅が崎南２－４－１,東京横浜独逸学園内,79858,14,14118,茅が崎南２,,2021/11/05,2021/11/05,,2028/11/04,,SCHUETZE MAIK,,,,,,,,,都筑生指令第201,,そうざい製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,ＭａｉｋｓＫｏｃｈｌｏｅｆｆｅｌ045-944-47317985814118,0ddd025d-a075-4656-a245-3140cd713a5a,,personal,3ce2db78-596a-43f4-9efb-6531f92902c2,2021/11/05,Ｍａｉｋ＇ｓ　Ｋｏｃｈｌｏｅｆｆｅｌ　,ＭａｉｋｓＫｏｃｈｌｏｅｆｆｅｌ,
