11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
松泉宮グリーンガーデン,8800122,宮崎県宮崎市大字塩路字浜山３０８３,宮崎県宮崎市大字塩路字浜山３０８３,,,フェニックスリゾート株式会社,代表取締役  片桐  孝一,8800122,宮崎県宮崎市大字塩路字浜山３０８３,宮崎県宮崎市大字塩路字浜山３０８３,,21-1111,飲食店営業,05:飲食店営業（東洋料理店）,R 4. 7.20,R 4. 7.20,01-345,,宮崎市保健所,松泉宮グリーンガーデン,0985,,8800122,,,宮崎県宮崎市大字塩路字浜山３０８３,宮崎県宮崎市塩路字浜山３０８３,,212266,宮崎県,宮崎市,塩路,,2022/07/20,2022/07/20,,,フェニックスリゾート株式会社,代表取締役  片桐  孝一,21-1111,宮崎県宮崎市大字塩路字浜山３０８３　,宮崎県宮崎市塩路字浜山３０８３,,212266,宮崎県,宮崎市,塩路,01-345,,飲食店営業, 05:飲食店営業（東洋料理店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,松泉宮グリーンガーデン,松泉宮グリンガデン,フェニックスリゾート株式会社,,1,,,,,
個室焼肉  流川－彩膳－,8800002,宮崎県宮崎市中央通８－２７  杉の穂ビル２Ｆ,宮崎県宮崎市中央通８－２７,杉の穂ビル２Ｆ,,有限会社  街乃蔵,代表取締役  青木  誠,8800806,宮崎県宮崎市広島２－１１－６  広島通ビル３０１,宮崎県宮崎市広島２－１１－６,広島通ビル３０１,22-2869,飲食店営業,05:飲食店営業（東洋料理店）,R 4. 7.20,R 4. 7.20,01-351,,宮崎市保健所,個室焼肉  流川－彩膳－,0985,,8800002,,,宮崎県宮崎市中央通８－２７,宮崎県宮崎市中央通８－２７,杉の穂ビル２Ｆ,212320,宮崎県,宮崎市,中央通,,2022/07/20,2022/07/20,,,有限会社  街乃蔵,代表取締役  青木  誠,22-2869,宮崎県宮崎市広島２－１１－６　広島通ビル３０１,宮崎県宮崎市広島２－１１－６広島通ビル３０１,,212372,宮崎県,宮崎市,広島２,01-351,,飲食店営業, 05:飲食店営業（東洋料理店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,個室焼肉　流川－彩膳－,個室焼肉流川彩膳,有限会社街乃蔵,,1,,,,,
ｍｕｓｕｖｉ．,8800805,宮崎県宮崎市橘通東３－５－２６  カサディ２．４ビル  １Ｆ中央,宮崎県宮崎市橘通東３－５－２６ ,カサディ２．４ビル  １Ｆ中央,,坂松  正太郎,,,,,,,飲食店営業,08:飲食店営業（軽食・喫茶店）,R 4. 7.20,R 4. 7.20,01-342,,宮崎市保健所,ｍｕｓｕｖｉ．,0985,,8800805,,,宮崎県宮崎市橘通東３－５－２６ ,宮崎県宮崎市橘通東３－５－２６,カサディ２．４ビル  １Ｆ中央,212306,宮崎県,宮崎市,橘通東３,,2022/07/20,2022/07/20,,,,,,　,,,,,,,01-342,,飲食店営業, 08:飲食店営業（軽食・喫茶店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｍｕｓｕｖｉ．,ｍｕｓｕｖｉ,,,1,,,,,
Ｎ,8800002,宮崎県宮崎市中央通２－２８  カテイ堂ビル５０２,宮崎県宮崎市中央通２－２８,カテイ堂ビル５０２,,岩切  成美,,,,,,,飲食店営業,16:飲食店営業（バー、キャバレー、ナイトクラブ）,R 4. 7.20,R 4. 7.20,01-319,,宮崎市保健所,Ｎ,0985,,8800002,,,宮崎県宮崎市中央通２－２８,宮崎県宮崎市中央通２－２８,カテイ堂ビル５０２,212320,宮崎県,宮崎市,中央通,,2022/07/20,2022/07/20,,,,,,　,,,,,,,01-319,,飲食店営業, 16:飲食店営業（バー、キャバレー、ナイトクラブ）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｎ,Ｎ,,,1,,,,,
立噺  ほっこり,8800001,宮崎県宮崎市橘通西２－７－２７  トピカＳＵＮＳビル２Ｆ,宮崎県宮崎市橘通西２－７－２７,トピカＳＵＮＳビル２Ｆ,,株式会社ビギナーズラック・ダイニング,代表取締役  荒武  大翔,8800001,宮崎県宮崎市橘通西３－１０－２４竹原第３ビル６Ｆ,宮崎県宮崎市橘通西３－１０－２４,竹原第３ビル６Ｆ,82-7892,飲食店営業,17:飲食店営業（酒場、ビアホール）,R 4. 7.20,R 4. 7.20,01-336,,宮崎市保健所,立噺  ほっこり,0985,,8800001,,,宮崎県宮崎市橘通西２－７－２７,宮崎県宮崎市橘通西２－７－２７,トピカＳＵＮＳビル２Ｆ,212300,宮崎県,宮崎市,橘通西２,,2022/07/20,2022/07/20,,,株式会社ビギナーズラック・ダイニング,代表取締役  荒武  大翔,82-7892,宮崎県宮崎市橘通西３－１０－２４　竹原第３ビル６Ｆ,宮崎県宮崎市橘通西３－１０－２４竹原第３ビル６Ｆ,,212301,宮崎県,宮崎市,橘通西３,01-336,,飲食店営業, 17:飲食店営業（酒場、ビアホール）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,立噺　ほっこり,立噺ほっこり,株式会社ビギナーズラック・ダイニング,,1,,,,,
くわまる食堂,8800001,宮崎県宮崎市橘通西２－１－１８  高橋ビル１Ｆ,宮崎県宮崎市橘通西２－１－１８,高橋ビル１Ｆ,,桑水流  功,,,,,,,飲食店営業,01:飲食店営業（一般食堂）,R 4. 7.22,R 4. 7.22,01-358,,宮崎市保健所,くわまる食堂,0985,,8800001,,,宮崎県宮崎市橘通西２－１－１８,宮崎県宮崎市橘通西２－１－１８,高橋ビル１Ｆ,212300,宮崎県,宮崎市,橘通西２,,2022/07/22,2022/07/22,,,,,,　,,,,,,,01-358,,飲食店営業, 01:飲食店営業（一般食堂）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,くわまる食堂,くわまる食堂,,,1,,,,,
ｓａｉｎｔ  Ｍ,8800805,宮崎県宮崎市橘通東３ー７－６  中馬ビル２Ｆ,宮崎県宮崎市橘通東３ー７－６,中馬ビル２Ｆ,77-8370,宮下  和弥,,,,,,,飲食店営業,03:飲食店営業（西洋料理店）,R 4. 7.22,R 4. 7.22,01-391,,宮崎市保健所,ｓａｉｎｔ  Ｍ,0985,0985-77-8370,8800805,,,宮崎県宮崎市橘通東３ー７－６,宮崎県宮崎市橘通東３－７－６,中馬ビル２Ｆ,212306,宮崎県,宮崎市,橘通東３,,2022/07/22,2022/07/22,,,,,,　,,,,,,,01-391,,飲食店営業, 03:飲食店営業（西洋料理店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｓａｉｎｔ　Ｍ,ｓａｉｎｔＭ,,,1,,,,,
居酒屋  なか那珂,8800303,宮崎県宮崎市佐土原町東上那珂１３０８６－１,宮崎県宮崎市佐土原町東上那珂１３０８６－１,,74-4011,合同会社  初心,代表社員  渕  和光,8800211,宮崎県宮崎市佐土原町下田島３４ ９,宮崎県宮崎市佐土原町下田島３４,９,74-4011,飲食店営業,17:飲食店営業（酒場、ビアホール）,R 4. 7.22,R 4. 7.22,01-350,,宮崎市保健所,居酒屋  なか那珂,0985,0985-74-4011,8800303,,,宮崎県宮崎市佐土原町東上那珂１３０８６－１,宮崎県宮崎市佐土原町東上那珂１３０８６－１,,212586,宮崎県,宮崎市,佐土原町東上那珂,,2022/07/22,2022/07/22,,,合同会社  初心,代表社員  渕  和光,74-4011,宮崎県宮崎市佐土原町下田島３４　９,宮崎県宮崎市佐土原町下田島３４９,,212582,宮崎県,宮崎市,佐土原町下田島,01-350,,飲食店営業, 17:飲食店営業（酒場、ビアホール）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,居酒屋　なか那珂,居酒屋なか那珂,合同会社初心,,1,,,,,
ＯＭＵＳＵＢＩ  ＭＵＲＡ,8800213,宮崎県宮崎市佐土原町石崎３－５－ ５,宮崎県宮崎市佐土原町石崎３－５－５,,,永田  博美,,,,,,,飲食店営業,23:弁当  （持ち帰り弁当）  （１回 ３００／１日７５０未満）,R 4. 7.22,R 4. 7.22,01-348,,宮崎市保健所,ＯＭＵＳＵＢＩ  ＭＵＲＡ,0985,,8800213,,,宮崎県宮崎市佐土原町石崎３－５－５,宮崎県宮崎市佐土原町石崎３－５－５,,212608,宮崎県,宮崎市,佐土原町石崎３,,2022/07/22,2022/07/22,,,,,,　,,,,,,,01-348,,飲食店営業, 23:弁当  （持ち帰り弁当）  （１回 ３００／１日７５０未満）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＯＭＵＳＵＢＩ　ＭＵＲＡ,ＯＭＵＳＵＢＩＭＵＲＡ,,,1,,,,,
鬼まで笑う馳走あり,8800805,宮崎県宮崎市橘通東１－８－１５,宮崎県宮崎市橘通東１－８－１５,,71-2778,合同会社  ｇｒｏｏｖｅ,代表社員  大牟田  真之介,8800805,宮崎県宮崎市橘通東３－７  １５ＴＲストーンビル４Ｆ,宮崎県宮崎市橘通東３－７,１５ＴＲストーンビル４Ｆ,,飲食店営業,17:飲食店営業（酒場、ビアホール）,R 4. 7.25,R 4. 7.25,01-334,,宮崎市保健所,鬼まで笑う馳走あり,0985,0985-71-2778,8800805,,,宮崎県宮崎市橘通東１－８－１５,宮崎県宮崎市橘通東１－８－１５,,212304,宮崎県,宮崎市,橘通東１,,2022/07/25,2022/07/25,,,合同会社  ｇｒｏｏｖｅ,代表社員  大牟田  真之介,,宮崎県宮崎市橘通東３－７　１５ＴＲストーンビル４Ｆ,宮崎県宮崎市橘通東３－７１５ＴＲスト－ンビル４Ｆ,,212306,宮崎県,宮崎市,橘通東３,01-334,,飲食店営業, 17:飲食店営業（酒場、ビアホール）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,鬼まで笑う馳走あり,鬼まで笑う馳走あり,合同会社ｇｒｏｏｖｅ,,1,,,,,
本家  宮崎肉巻きおにぎり,8800912,宮崎県宮崎市大字赤江飛江田９７９－１,宮崎県宮崎市大字赤江飛江田９７９－１,,78-0808,株式会社  アーバン高塚,代表取締役  矢野  修,8800001,宮崎県宮崎市橘通西２－７－１,宮崎県宮崎市橘通西２－７－１,,32-1156,食肉販売業,38:食肉販売業,R 4. 7.27,R 4. 7.27,04-10,,宮崎市保健所,本家  宮崎肉巻きおにぎり,0985,0985-78-0808,8800912,,,宮崎県宮崎市大字赤江飛江田９７９－１,宮崎県宮崎市赤江飛江田９７９－１,,212176,宮崎県,宮崎市,赤江,,2022/07/27,2022/07/27,,,株式会社  アーバン高塚,代表取締役  矢野  修,32-1156,宮崎県宮崎市橘通西２－７－１　,宮崎県宮崎市橘通西２－７－１,,212300,宮崎県,宮崎市,橘通西２,04-10,,食肉販売業, 38:食肉販売業,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,本家　宮崎肉巻きおにぎり,本家宮崎肉巻きおにぎり,株式会社アーバン高塚,,3,,,,,
本家  宮崎肉巻きおにぎり,8800912,宮崎県宮崎市大字赤江字飛江田９７ ９－１,宮崎県宮崎市大字赤江字飛江田９７,９－１,78-0808,株式会社  アーバン高塚,代表取締役  矢野  修,8800001,宮崎県宮崎市橘通西２－７－１,宮崎県宮崎市橘通西２－７－１,,32-1156,そうざい製造業,71:そうざい製造業（１回３００/１日７５０未満）,R 4. 7.27,R 4. 7.27,26-35,,宮崎市保健所,本家  宮崎肉巻きおにぎり,0985,0985-78-0808,8800912,,,宮崎県宮崎市大字赤江字飛江田９７,宮崎県宮崎市赤江字飛江田９７,９－１,212176,宮崎県,宮崎市,赤江,,2022/07/27,2022/07/27,,,株式会社  アーバン高塚,代表取締役  矢野  修,32-1156,宮崎県宮崎市橘通西２－７－１　,宮崎県宮崎市橘通西２－７－１,,212300,宮崎県,宮崎市,橘通西２,26-35,,そうざい製造業, 71:そうざい製造業（１回３００/１日７５０未満）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,本家　宮崎肉巻きおにぎり,本家宮崎肉巻きおにぎり,株式会社アーバン高塚,,3,,,,,
本家  宮崎肉巻きおにぎり,8800912,宮崎県宮崎市大字赤江字飛江田９７ ９－１,宮崎県宮崎市大字赤江字飛江田９７,９－１,78-0808,株式会社  アーバン高塚,代表取締役  矢野  修,8800001,宮崎県宮崎市橘通西２－７－１,宮崎県宮崎市橘通西２－７－１,,32-1156,冷凍食品製造業,75:冷凍食品製造業,R 4. 7.27,R 4. 7.27,28-4,,宮崎市保健所,本家  宮崎肉巻きおにぎり,0985,0985-78-0808,8800912,,,宮崎県宮崎市大字赤江字飛江田９７,宮崎県宮崎市赤江字飛江田９７,９－１,212176,宮崎県,宮崎市,赤江,,2022/07/27,2022/07/27,,,株式会社  アーバン高塚,代表取締役  矢野  修,32-1156,宮崎県宮崎市橘通西２－７－１　,宮崎県宮崎市橘通西２－７－１,,212300,宮崎県,宮崎市,橘通西２,28-4,,冷凍食品製造業, 75:冷凍食品製造業,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,本家　宮崎肉巻きおにぎり,本家宮崎肉巻きおにぎり,株式会社アーバン高塚,,3,,,,,
月曜日のあんこ,8800834,宮崎県宮崎市新別府町薦藁７１６－ １,宮崎県宮崎市新別府町薦藁７１６－１,,27-5836,浜田  庄治,,,,,,,飲食店営業,08:飲食店営業（軽食・喫茶店）,R 4. 7.28,R 4. 7.28,01-856,,宮崎市保健所,月曜日のあんこ,0985,0985-27-5836,8800834,,,宮崎県宮崎市新別府町薦藁７１６－１,宮崎県宮崎市新別府町薦藁７１６－１,,212278,宮崎県,宮崎市,新別府町,,2022/07/28,2022/07/28,,,,,,　,,,,,,,01-856,,飲食店営業, 08:飲食店営業（軽食・喫茶店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,月曜日のあんこ,月曜日のあんこ,,,1,,,,,
味噌ぎ家  総本店,8800824,宮崎県宮崎市大島町原ノ前１４３５,宮崎県宮崎市大島町原ノ前１４３５,,40-1201,外山昇店株式会社,代表取締役  外山  昇,8800036,宮崎県宮崎市花ケ島町赤江町１３５０,宮崎県宮崎市花ケ島町赤江町１３５０,,40-1740,飲食店営業,01:飲食店営業（一般食堂）,R 4. 7.29,R 4. 7.29,01-373,,宮崎市保健所,味噌ぎ家  総本店,0985,0985-40-1201,8800824,,,宮崎県宮崎市大島町原ノ前１４３５,宮崎県宮崎市大島町原ノ前１４３５,,212204,宮崎県,宮崎市,大島町,,2022/07/29,2022/07/29,,,外山昇店株式会社,代表取締役  外山  昇,40-1740,宮崎県宮崎市花ケ島町赤江町１３５０　,宮崎県宮崎市花が島町赤江町１３５０,,212364,宮崎県,宮崎市,花が島町,01-373,,飲食店営業, 01:飲食店営業（一般食堂）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,味噌ぎ家　総本店,味噌ぎ家総本店,外山昇店株式会社,,1,,,,,
釣りガール,8800002,宮崎県宮崎市中央通２－８  三笠ビル５０３,宮崎県宮崎市中央通２－８,三笠ビル５０３,,佐藤  耕輔,,,,,,,飲食店営業,16:飲食店営業（バー、キャバレー、ナイトクラブ）,R 4. 7.29,R 4. 7.29,01-467,,宮崎市保健所,釣りガール,0985,,8800002,,,宮崎県宮崎市中央通２－８,宮崎県宮崎市中央通２－８,三笠ビル５０３,212320,宮崎県,宮崎市,中央通,,2022/07/29,2022/07/29,,,,,,　,,,,,,,01-467,,飲食店営業, 16:飲食店営業（バー、キャバレー、ナイトクラブ）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,釣りガール,釣りガル,,,1,,,,,
Ｓｎａｃｋ  ａｄｄ,8800006,宮崎県宮崎市千草町１－６  中本ビル５－Ａ,宮崎県宮崎市千草町１－６,中本ビル５－Ａ,,﨑向  佑弥,,,,,,,飲食店営業,16:飲食店営業（バー、キャバレー、ナイトクラブ）,R 4. 7.29,R 4. 7.29,01-468,,宮崎市保健所,Ｓｎａｃｋ  ａｄｄ,0985,,8800006,,,宮崎県宮崎市千草町１－６,宮崎県宮崎市千草町１－６,中本ビル５－Ａ,212319,宮崎県,宮崎市,千草町,,2022/07/29,2022/07/29,,,,,,　,,,,,,,01-468,,飲食店営業, 16:飲食店営業（バー、キャバレー、ナイトクラブ）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｓｎａｃｋ　ａｄｄ,Ｓｎａｃｋａｄｄ,,,1,,,,,
ＢＡＲ  ＷＡＳＲＥＮＡ,8800003,宮崎県宮崎市高松町３－３３  第３三蔵ビル１０３号,宮崎県宮崎市高松町３－３３,第３三蔵ビル１０３号,,菊田  竜斗,,,,,,,飲食店営業,17:飲食店営業（酒場、ビアホール）,R 4. 7.29,R 4. 7.29,01-464,,宮崎市保健所,ＢＡＲ  ＷＡＳＲＥＮＡ,0985,,8800003,,,宮崎県宮崎市高松町３－３３,宮崎県宮崎市高松町３－３３,第３三蔵ビル１０３号,212297,宮崎県,宮崎市,高松町,,2022/07/29,2022/07/29,,,,,,　,,,,,,,01-464,,飲食店営業, 17:飲食店営業（酒場、ビアホール）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＡＲ　ＷＡＳＲＥＮＡ,ＢＡＲＷＡＳＲＥＮＡ,,,1,,,,,
