11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スナック銀座,宮崎県,北諸県郡三股町,樺山,３４７２－５３,,,① 飲食店営業,本田伸一,,,,,,,,2022/7/6,2022/7/6,４０４３－１－１１９,,都城保健所,スナック銀座,0986,,,,,宮崎県　北諸県郡三股町　樺山　３４７２－５３,宮崎県北諸県郡三股町樺山３４７２－５３,,213429,宮崎県,北諸県郡三股町,樺山,,2022/07/06,2022/07/06,,,,,,　　　　,,,,,,,４０４３－１－１１９,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナック銀座,スナック銀座,,,1,,,,,
古民家カフェ　余韻,宮崎県,児湯郡木城町,大字椎木,５９２０－５,,090-5720-4143,① 飲食店営業,加藤栄子,,,,,,,,2022/7/15,2022/7/15,４０４５－１－４９,,高鍋保健所,古民家カフェ　余韻,0983,090-5720-4143,,,,宮崎県　児湯郡木城町　大字椎木　５９２０－５,宮崎県児湯郡木城町椎木５９２０－５,,213475,宮崎県,児湯郡木城町,椎木,,2022/07/15,2022/07/15,,,,,,　　　　,,,,,,,４０４５－１－４９,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,古民家カフェ　余韻,古民家カフェ余韻,,,1,,,,,
今村美代子,宮崎県,都城市,高木町,５０３９－１,,0986-38-1797,㉙ 漬物製造業,今村　美代子,,,,,,,,2022/7/4,2022/7/4,４０４３ー６５ー２,,都城保健所,今村美代子,0986,0986-38-1797,,,,宮崎県　都城市　高木町　５０３９－１,宮崎県都城市高木町５０３９－１,,212681,宮崎県,都城市,高木町,,2022/07/04,2022/07/04,,,,,,　　　　,,,,,,,４０４３ー６５ー２,,漬物製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,今村美代子,今村美代子,,,1,,,,,
ｃｏｐａｉｎ,宮崎県,日向市,上町,6-9,アラータビル2Ｆ,,① 飲食店営業,村上勝也,,,,,,,,2022/7/1,2022/7/1,４０４６－１－５０,,日向保健所,ｃｏｐａｉｎ,0982,,,,,宮崎県　日向市　上町　6-9,宮崎県日向市上町６－９,アラータビル2Ｆ,213212,宮崎県,日向市,上町,,2022/07/01,2022/07/01,,,,,,　　　　,,,,,,,４０４６－１－５０,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｃｏｐａｉｎ,ｃｏｐａｉｎ,,,1,,,,,
鬼が島,宮崎県,えびの市,大字池島,４９３,,0984-35-2374,㉕ そうざい製造業,鬼川みゆき,,,,,,,,2022/7/4,2022/7/4,４０４４－５５－２,,小林保健所,鬼が島,0984,0984-35-2374,,,,宮崎県　えびの市　大字池島　４９３,宮崎県えびの市池島４９３,,213397,宮崎県,えびの市,池島,,2022/07/04,2022/07/04,,,,,,　　　　,,,,,,,４０４４－５５－２,,そうざい製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,鬼が島,鬼が島,,,1,,,,,
弁当の家,宮崎県,日向市,亀崎東,4-24,,090-9791-6123,① 飲食店営業,山本卓二,,,,,,,,2022/7/4,2022/7/4,４０４６－１－５２,,日向保健所,弁当の家,0982,090-9791-6123,,,,宮崎県　日向市　亀崎東　4-24,宮崎県日向市亀崎東４－２４,,213292,宮崎県,日向市,亀崎東４,,2022/07/04,2022/07/04,,,,,,　　　　,,,,,,,４０４６－１－５２,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,弁当の家,弁当の家,,,1,,,,,
たかはる古民家カフェ,宮崎県,西諸県郡高原町,蒲牟田,７５２６,,080-6474-3881,① 飲食店営業,合同会社チームにしもろ,鈴木孝充,宮崎県,西諸県郡高原町,大字蒲牟田,７５２６,,050-5534-0711,2022/7/13,2022/7/13,４０４４－１－１５,,小林保健所,たかはる古民家カフェ,0984,080-6474-3881,,,,宮崎県　西諸県郡高原町　蒲牟田　７５２６,宮崎県西諸県郡高原町蒲牟田７５２６,,213443,宮崎県,西諸県郡高原町,蒲牟田,,2022/07/13,2022/07/13,,,合同会社チームにしもろ,鈴木孝充,050-5534-0711,宮崎県　西諸県郡高原町　大字蒲牟田　７５２６　,宮崎県西諸県郡高原町蒲牟田７５２６,,213443,宮崎県,西諸県郡高原町,蒲牟田,４０４４－１－１５,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,たかはる古民家カフェ,たかはる古民家カフェ,合同会社チームにしもろ,,1,,,,,
纏　日向店,宮崎県,日向市,財光寺,7309-9,,080-4079-4552,⑪ 菓子製造業,石井良憲,,,,,,,,2022/7/4,2022/7/4,４０４６－８－１２,,日向保健所,纏　日向店,0982,080-4079-4552,,,,宮崎県　日向市　財光寺　7309-9,宮崎県日向市財光寺７３０９－９,,213222,宮崎県,日向市,財光寺,,2022/07/04,2022/07/04,,,,,,　　　　,,,,,,,４０４６－８－１２,,菓子製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,纏　日向店,纏日向店,,,1,,,,,
てげ鳥,宮崎県,日向市,永江町,3丁目116番地,,0982-60-6134,① 飲食店営業,寺原佳孝,,,,,,,,2022/7/5,2022/7/5,４０４６－１－５３,,日向保健所,てげ鳥,0982,0982-60-6134,,,,宮崎県　日向市　永江町　3丁目116番地,宮崎県日向市永江町３丁目１１６番地,,213241,宮崎県,日向市,永江町３,,2022/07/05,2022/07/05,,,,,,　　　　,,,,,,,４０４６－１－５３,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,てげ鳥,てげ鳥,,,1,,,,,
スナック　平,宮崎県,西諸県郡高原町,大字西麓,９５３－１,,090-1875-1305,① 飲食店営業,平千代子,,,,,,,,2022/7/13,2022/7/13,４０４４－１－１６,,小林保健所,スナック　平,0984,090-1875-1305,,,,宮崎県　西諸県郡高原町　大字西麓　９５３－１,宮崎県西諸県郡高原町西麓９５３－１,,213444,宮崎県,西諸県郡高原町,西麓,,2022/07/13,2022/07/13,,,,,,　　　　,,,,,,,４０４４－１－１６,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナック　平,スナック平,,,1,,,,,
燻製工房　山本商店,宮崎県,延岡市,大野町,１４４８－９,,,㉕ そうざい製造業,山本洋樹,,,,,,,,2022/7/8,2022/7/8,４０４７－５５－１０,,延岡保健所,燻製工房　山本商店,0982,,,,,宮崎県　延岡市　大野町　１４４８－９,宮崎県延岡市大野町１４４８－９,,212798,宮崎県,延岡市,大野町,,2022/07/08,2022/07/08,,,,,,　　　　,,,,,,,４０４７－５５－１０,,そうざい製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,燻製工房　山本商店,燻製工房山本商店,,,1,,,,,
ふくふく,宮崎県,都城市,南鷹尾町,１６－５,,,㉕ そうざい製造業,社会福祉法人キャンバスの会,楠元洋子,宮崎県,都城市,年見町３０号１番地２,,,0986515132,2022/7/13,2022/7/13,４０４３－５５－１４,,都城保健所,ふくふく,0986,,,,,宮崎県　都城市　南鷹尾町　１６－５,宮崎県都城市南鷹尾町１６－５,,212710,宮崎県,都城市,南鷹尾町,,2022/07/13,2022/07/13,,,社会福祉法人キャンバスの会,楠元洋子,0986-51-5132,宮崎県　都城市　年見町３０号１番地２　　,宮崎県都城市年見町３０号１番地２,,212688,宮崎県,都城市,年見町,４０４３－５５－１４,,そうざい製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ふくふく,ふくふく,社会福祉法人キャンバスの会,,1,,,,,
水野屋,宮崎県,日向市,東郷町下三ケ,334番地,,080-2716-9784,㉙ 漬物製造業,水野順一,,,,,,,,2022/7/5,2022/7/5,４０４６－６５－７,,日向保健所,水野屋,0982,080-2716-9784,,,,宮崎県　日向市　東郷町下三ケ　334番地,宮崎県日向市東郷町下三が３３４番地,,213297,宮崎県,日向市,東郷町下三が,,2022/07/05,2022/07/05,,,,,,　　　　,,,,,,,４０４６－６５－７,,漬物製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,水野屋,水野屋,,,1,,,,,
ラムサ宮崎　Ｒｏｒｅｒｉｒａ,宮崎県,日向市,美々津町,845,,090-1087-6085,⑪ 菓子製造業,棚橋利文,,,,,,,,2022/7/5,2022/7/5,４０４６－８－１３,,日向保健所,ラムサ宮崎　Ｒｏｒｅｒｉｒａ,0982,090-1087-6085,,,,宮崎県　日向市　美々津町　845,宮崎県日向市美々津町８４５,,213254,宮崎県,日向市,美々津町,,2022/07/05,2022/07/05,,,,,,　　　　,,,,,,,４０４６－８－１３,,菓子製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ラムサ宮崎　Ｒｏｒｅｒｉｒａ,ラムサ宮崎Ｒｏｒｅｒｉｒａ,,,1,,,,,
食酒処　どんたく,宮崎県,児湯郡新富町,富田,２－９０,,,① 飲食店営業,原口智恵子,,,,,,,,2022/7/20,2022/7/20,４０４５－１－５１,,高鍋保健所,食酒処　どんたく,0983,,,,,宮崎県　児湯郡新富町　富田　２－９０,宮崎県児湯郡新富町富田２－９０,,213486,宮崎県,児湯郡新富町,富田２,,2022/07/20,2022/07/20,,,,,,　　　　,,,,,,,４０４５－１－５１,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,食酒処　どんたく,食酒処どんたく,,,1,,,,,
スナック　純,宮崎県,西都市,妻町,３－３２,桜川ビル１F101,080-8554-9932,① 飲食店営業,横山純子,,,,,,,,2022/7/26,2022/7/26,４０４５－１－５２,,高鍋保健所,スナック　純,0983,080-8554-9932,,,,宮崎県　西都市　妻町　３－３２,宮崎県西都市妻町３－３２,桜川ビル１F101,213364,宮崎県,西都市,妻町３,,2022/07/26,2022/07/26,,,,,,　　　　,,,,,,,４０４５－１－５２,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナック　純,スナック純,,,1,,,,,
ｔａｋｅ　ｏｕｔ　ｓｈｏｐ　楓咲,宮崎県,東臼杵郡門川町,東栄町,3丁目3-2,,090-1086-1558,① 飲食店営業,原田照代,,,,,,,,2022/7/8,2022/7/8,４０４６－１－５４,,日向保健所,ｔａｋｅ　ｏｕｔ　ｓｈｏｐ　楓咲,0982,090-1086-1558,,,,宮崎県　東臼杵郡門川町　東栄町　3丁目3-2,宮崎県東臼杵郡門川町東栄町３丁目３－２,,213530,宮崎県,東臼杵郡門川町,東栄町３,,2022/07/08,2022/07/08,,,,,,　　　　,,,,,,,４０４６－１－５４,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｔａｋｅ　ｏｕｔ　ｓｈｏｐ　楓咲,ｔａｋｅｏｕｔｓｈｏｐ楓咲,,,1,,,,,
まごころ,宮崎県,日南市,岩崎,三丁目４１４７－１,,070-8515-5278,① 飲食店営業,峯上直也,,,,,,,,2022/7/20,2022/7/20,4042-1-33,,日南保健所,まごころ,0987,070-8515-5278,,,,宮崎県　日南市　岩崎　三丁目４１４７－１,宮崎県日南市岩崎３丁目４１４７－１,,213123,宮崎県,日南市,岩崎３,,2022/07/20,2022/07/20,,,,,,　　　　,,,,,,,4042-1-33,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,まごころ,まごころ,,,2,,,,,
まごころ,宮崎県,日南市,中央通,二丁目２－１３,,090-3737-6495,⑪ 菓子製造業,峯上直也,,,,,,,,2022/7/20,2022/7/20,4042-8-9,,日南保健所,まごころ,0987,090-3737-6495,,,,宮崎県　日南市　中央通　二丁目２－１３,宮崎県日南市中央通２丁目２－１３,,213085,宮崎県,日南市,中央通２,,2022/07/20,2022/07/20,,,,,,　　　　,,,,,,,4042-8-9,,菓子製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,まごころ,まごころ,,,2,,,,,
ひなた鰻,宮崎県,日向市,財光寺,3229,,,① 飲食店営業,甲斐誉司,,,,,,,,2022/7/12,2022/7/12,４０４６－１－５８,,日向保健所,ひなた鰻,0982,,,,,宮崎県　日向市　財光寺　3229,宮崎県日向市財光寺３２２９,,213222,宮崎県,日向市,財光寺,,2022/07/12,2022/07/12,,,,,,　　　　,,,,,,,４０４６－１－５８,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ひなた鰻,ひなた鰻,,,1,,,,,
福山,宮崎県,東諸県郡国富町,大字深年,６６１１－３,,,⑪ 菓子製造業,福山ヨシ子,,,,,,,,2022/7/13,2022/7/13,シレイ４０４１－８－３,,中央保健所,福山,0985,,,,,宮崎県　東諸県郡国富町　大字深年　６６１１－３,宮崎県東諸県郡国富町深年６６１１－３,,213461,宮崎県,東諸県郡国富町,深年,,2022/07/13,2022/07/13,,,,,,　　　　,,,,,,,シレイ４０４１－８－３,,菓子製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,福山,福山,,,1,,,,,
Calme,宮崎県,日南市,材木町,９－８,,080-8360-3600,① 飲食店営業,河畑有彩,,,,,,,,2022/7/20,2022/7/20,4042-1-53,,日南保健所,Calme,0987,080-8360-3600,,,,宮崎県　日南市　材木町　９－８,宮崎県日南市材木町９－８,,213079,宮崎県,日南市,材木町,,2022/07/20,2022/07/20,,,,,,　　　　,,,,,,,4042-1-53,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃａｌｍｅ,Ｃａｌｍｅ,,,1,,,,,
スナック皐月,宮崎県,都城市,牟田町,１９－６,池田ビル１Ｆ　Ａ号,,① 飲食店営業,廣瀬由美子,,,,,,,,2022/7/21,2022/7/21,４０４３－１－１７３,,都城保健所,スナック皐月,0986,,,,,宮崎県　都城市　牟田町　１９－６,宮崎県都城市牟田町１９－６,池田ビル１Ｆ　Ａ号,212716,宮崎県,都城市,牟田町,,2022/07/21,2022/07/21,,,,,,　　　　,,,,,,,４０４３－１－１７３,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナック皐月,スナック皐月,,,1,,,,,
ｓｅｃｏｎｄ,宮崎県,延岡市,新町,５－１２,公徳ビル　２Ｆ　１０号,090-9794-0402,① 飲食店営業,中原真由子,,,,,,,,2022/7/25,2022/7/25,４０４７－１－９８,,延岡保健所,ｓｅｃｏｎｄ,0982,090-9794-0402,,,,宮崎県　延岡市　新町　５－１２,宮崎県延岡市新町５－１２,公徳ビル　２Ｆ　１０号,212864,宮崎県,延岡市,新町,,2022/07/25,2022/07/25,,,,,,　　　　,,,,,,,４０４７－１－９８,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｓｅｃｏｎｄ,ｓｅｃｏｎｄ,,,1,,,,,
源　井上商店,宮崎県,延岡市,中川原町,１－４５９１－７,,0982-21-1211,④ 魚介類販売業,井上玉典,,,,,,,,2022/7/20,2022/7/20,４０４７－２７－７,,延岡保健所,源　井上商店,0982,0982-21-1211,,,,宮崎県　延岡市　中川原町　１－４５９１－７,宮崎県延岡市中川原町１－４５９１－７,,212893,宮崎県,延岡市,中川原町１,,2022/07/20,2022/07/20,,,,,,　　　　,,,,,,,４０４７－２７－７,,魚介類販売業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,,,,,,,,,源　井上商店,源井上商店,,,1,,,,,
Ｐ－ｃｈｉ,宮崎県,都城市,牟田町,１１－５,ＡＢＣ８８ビル３－４,,① 飲食店営業,山下廉司,,,,,,,,2022/7/25,2022/7/25,４０４３－１－１７４,,都城保健所,Ｐ－ｃｈｉ,0986,,,,,宮崎県　都城市　牟田町　１１－５,宮崎県都城市牟田町１１－５,ＡＢＣ８８ビル３－４,212716,宮崎県,都城市,牟田町,,2022/07/25,2022/07/25,,,,,,　　　　,,,,,,,４０４３－１－１７４,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｐ－ｃｈｉ,Ｐｃｈｉ,,,1,,,,,
山一食品（催事部）味の山一,宮崎県,西臼杵郡五ヶ瀬町,大字三ヶ所,１０７２１－２,（Aコープ五ヶ瀬）,,① 飲食店営業,渡邊禮,,,,,,,,2017/8/10,2022/7/22,4048-2-23,,,山一食品（催事部）味の山一,0982,,,,,宮崎県　西臼杵郡五ヶ瀬町　大字三ヶ所　１０７２１－２,宮崎県西臼杵郡五が瀬町三が所１０７２１－２,（Aコープ五ヶ瀬）,213609,宮崎県,西臼杵郡五が瀬町,三が所,,2017/08/10,2022/07/22,,,,,,　　　　,,,,,,,4048-2-23,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,山一食品（催事部）味の山一,山一食品催事部味の山一,,,1,,,,,
五～ちゃん工房,宮崎県,西臼杵郡五ヶ瀬町,大字三ヶ所,5287-2,,080-5261-5872,⑪ 菓子製造業,山中五子,,,,,,,,2022/7/27,2022/7/27,４０４８－８－１,,,五～ちゃん工房,0982,080-5261-5872,,,,宮崎県　西臼杵郡五ヶ瀬町　大字三ヶ所　5287-2,宮崎県西臼杵郡五が瀬町三が所５２８７－２,,213609,宮崎県,西臼杵郡五が瀬町,三が所,,2022/07/27,2022/07/27,,,,,,　　　　,,,,,,,４０４８－８－１,,菓子製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,五～ちゃん工房,五ちゃん工房,,,2,,,,,
五～ちゃん工房,宮崎県,西臼杵郡五ヶ瀬町,大字三ヶ所,５２８７－２,,080-5261-5872,㉕ そうざい製造業,山中五子,,,,,,,,2022/7/27,2022/7/27,４０４８－５５－２,,,五～ちゃん工房,0982,080-5261-5872,,,,宮崎県　西臼杵郡五ヶ瀬町　大字三ヶ所　５２８７－２,宮崎県西臼杵郡五が瀬町三が所５２８７－２,,213609,宮崎県,西臼杵郡五が瀬町,三が所,,2022/07/27,2022/07/27,,,,,,　　　　,,,,,,,４０４８－５５－２,,そうざい製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,五～ちゃん工房,五ちゃん工房,,,2,,,,,
ｈｉｂｉ　日々,宮崎県,都城市,大岩田町,５８９６－３,,,① 飲食店営業,新福紗和,,,,,,,,2022/7/29,2022/7/29,４０４３－１－１７６,,都城保健所,ｈｉｂｉ　日々,0986,,,,,宮崎県　都城市　大岩田町　５８９６－３,宮崎県都城市大岩田町５８９６－３,,212645,宮崎県,都城市,大岩田町,,2022/07/29,2022/07/29,,,,,,　　　　,,,,,,,４０４３－１－１７６,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｈｉｂｉ　日々,ｈｉｂｉ日,,,1,,,,,
ｓｎａｃｋ　Ａｍｙ,宮崎県,延岡市,船倉町,１－５－１４,レアルアドヴァンスビル２Ｆ　２０１号,0982-22-0314,① 飲食店営業,矢野理恵,,,,,,,,2022/7/26,2022/7/26,４０４７－１－９９,,延岡保健所,ｓｎａｃｋ　Ａｍｙ,0982,0982-22-0314,,,,宮崎県　延岡市　船倉町　１－５－１４,宮崎県延岡市船倉町１－５－１４,レアルアドヴァンスビル２Ｆ　２０１号,212941,宮崎県,延岡市,船倉町１,,2022/07/26,2022/07/26,,,,,,　　　　,,,,,,,４０４７－１－９９,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｓｎａｃｋ　Ａｍｙ,ｓｎａｃｋＡｍｙ,,,1,,,,,
Hanaの木moto,宮崎県,西諸県郡高原町,大字蒲牟田,５５－２,,0984-42-4191,⑪ 菓子製造業,花木朋美,,,,,,,,2022/7/29,2022/7/29,４０４４－８－６,,小林保健所,Hanaの木moto,0984,0984-42-4191,,,,宮崎県　西諸県郡高原町　大字蒲牟田　５５－２,宮崎県西諸県郡高原町蒲牟田５５－２,,213443,宮崎県,西諸県郡高原町,蒲牟田,,2022/07/29,2022/07/29,,,,,,　　　　,,,,,,,４０４４－８－６,,菓子製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｈａｎａの木ｍｏｔｏ,Ｈａｎａの木ｍｏｔｏ,,,2,,,,,
Hanaの木moto,宮崎県,西諸県郡高原町,大字蒲牟田,５５－２,,0984-42-4191,㉕ そうざい製造業,花木朋美,,,,,,,,2022/7/29,2022/7/29,４０４４－５５－３,,小林保健所,Hanaの木moto,0984,0984-42-4191,,,,宮崎県　西諸県郡高原町　大字蒲牟田　５５－２,宮崎県西諸県郡高原町蒲牟田５５－２,,213443,宮崎県,西諸県郡高原町,蒲牟田,,2022/07/29,2022/07/29,,,,,,　　　　,,,,,,,４０４４－５５－３,,そうざい製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｈａｎａの木ｍｏｔｏ,Ｈａｎａの木ｍｏｔｏ,,,2,,,,,
メロディースタジオ,宮崎県,小林市,真方,２０８－１,,0984-22-3924,① 飲食店営業,有限会社　えにし,温水愛子,宮崎県,宮崎市,下北方町下郷,６０４５－４,,0985-23-2472,1993/8/3,2022/7/22,４０４４－２－２０,,小林保健所,メロディースタジオ,0984,0984-22-3924,,,,宮崎県　小林市　真方　２０８－１,宮崎県小林市真方２０８－１,,213199,宮崎県,小林市,真方,,1993/08/03,2022/07/22,,,有限会社　えにし,温水愛子,0985-23-2472,宮崎県　宮崎市　下北方町下郷　６０４５－４　,宮崎県宮崎市下北方町下郷６０４５－４,,212272,宮崎県,宮崎市,下北方町,４０４４－２－２０,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,メロディースタジオ,メロディスタジオ,有限会社えにし,,1,,,,,
しんぺい,宮崎県,小林市,細野,２２５６－１,,0984-23-1753,① 飲食店営業,草野道子,,,,,,,,1983/8/30,2022/7/21,４０４４－２－２３,,小林保健所,しんぺい,0984,0984-23-1753,,,,宮崎県　小林市　細野　２２５６－１,宮崎県小林市細野２２５６－１,,213198,宮崎県,小林市,細野,,1983/08/30,2022/07/21,,,,,,　　　　,,,,,,,４０４４－２－２３,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,しんぺい,しんぺい,,,1,,,,,
グルマンハウスふじや,宮崎県,小林市,本町,７７,,0984-23-1712,① 飲食店営業,鶴丸俊郎,,,,,,,,1989/6/21,2022/7/22,４０４４－２－２５,,小林保健所,グルマンハウスふじや,0984,0984-23-1712,,,,宮崎県　小林市　本町　７７,宮崎県小林市本町７７,,213201,宮崎県,小林市,本町,,1989/06/21,2022/07/22,,,,,,　　　　,,,,,,,４０４４－２－２５,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,グルマンハウスふじや,グルマンハウスふじや,,,1,,,,,
今村旅館,宮崎県,小林市,本町,７５,,0984-22-2022,① 飲食店営業,西牟田三和子,,,,,,,,1990/6/7,2022/7/22,４０４４－５－３,,小林保健所,今村旅館,0984,0984-22-2022,,,,宮崎県　小林市　本町　７５,宮崎県小林市本町７５,,213201,宮崎県,小林市,本町,,1990/06/07,2022/07/22,,,,,,　　　　,,,,,,,４０４４－５－３,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,今村旅館,今村旅館,,,1,,,,,
外薗鮮魚精肉店,宮崎県,小林市,真方,７５５－９,,0984-22-2014,③ 食肉販売業,外薗慶一郎,,,,,,,,2004/8/31,2022/7/22,４０４４－２４－４,,小林保健所,外薗鮮魚精肉店,0984,0984-22-2014,,,,宮崎県　小林市　真方　７５５－９,宮崎県小林市真方７５５－９,,213199,宮崎県,小林市,真方,,2004/08/31,2022/07/22,,,,,,　　　　,,,,,,,４０４４－２４－４,,食肉販売業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,外薗鮮魚精肉店,外薗鮮魚精肉店,,,2,,,,,
外薗鮮魚精肉店,宮崎県,小林市,真方,７５５－９,,0984-22-2014,④ 魚介類販売業,外薗慶一郎,,,,,,,,2004/8/31,2022/7/22,４０４４－２８－３,,小林保健所,外薗鮮魚精肉店,0984,0984-22-2014,,,,宮崎県　小林市　真方　７５５－９,宮崎県小林市真方７５５－９,,213199,宮崎県,小林市,真方,,2004/08/31,2022/07/22,,,,,,　　　　,,,,,,,４０４４－２８－３,,魚介類販売業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,,,,,,,,,外薗鮮魚精肉店,外薗鮮魚精肉店,,,2,,,,,
